TABLE=001 | AREA=Phường Biên Hòa
--- SEQUENCE=5 | SECTION=non-agricultural | PAGES=2147-2160 | LINES=979 ---
P=2154 | X=0106.850-0383.860 | Y=0353.350-0364.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2154 | X=0106.850-0332.820 | Y=0370.850-0382.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2154 | X=0312.300-0398.850 | Y=0388.850-0400.010 | Chạm tới giữa ranh
P=2154 | X=0312.300-0386.060 | Y=0400.350-0411.510 | thửa đất số 9, tờ
P=2154 | X=0226.600-0297.630 | Y=0406.100-0417.260 | Đường Bùi Hữu
P=2154 | X=0092.800-0199.200 | Y=0411.850-0423.010 | 57 Đường Trần Văn Ơn
P=2154 | X=0312.300-0386.730 | Y=0411.850-0423.010 | BĐĐC số 124 và
P=2154 | X=0407.950-0474.720 | Y=0411.850-0423.010 | 15.400 10.800
P=2154 | X=0492.550-0517.560 | Y=0411.850-0423.010 | 9.200
P=2154 | X=0226.600-0253.270 | Y=0417.600-0428.760 | Nghĩa
P=2154 | X=0312.300-0386.060 | Y=0423.350-0434.510 | thửa đất số 8, tờ
P=2154 | X=0312.300-0376.730 | Y=0434.850-0446.010 | BĐĐC số 124)
P=2154 | X=0106.850-0398.860 | Y=0452.850-0464.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=2154 | X=0106.850-0393.580 | Y=0464.350-0475.510 | Ơn đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới giữa ranh thửa
P=2154 | X=0106.850-0388.200 | Y=0475.850-0487.010 | đất số 9, tờ BĐĐC số 124 và thửa đất số 8, tờ BĐĐC số 124 có
P=2154 | X=0092.800-0300.090 | Y=0487.350-0498.760 | 58 hiện trạng là đường nhựa, bê tông xi măng:
P=2154 | X=0413.550-0438.560 | Y=0487.600-0498.760 | 7.800
P=2154 | X=0449.750-0474.760 | Y=0487.600-0498.760 | 5.500
P=2154 | X=0492.550-0517.560 | Y=0487.600-0498.760 | 4.700
P=2154 | X=0106.850-0329.350 | Y=0504.850-0516.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2154 | X=0106.850-0383.510 | Y=0522.350-0533.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2154 | X=0106.850-0398.860 | Y=0540.350-0551.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=2154 | X=0106.850-0393.580 | Y=0551.850-0563.010 | Ơn đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới giữa ranh thửa
P=2154 | X=0106.850-0388.200 | Y=0563.350-0574.510 | đất số 9, tờ BĐĐC số 124 và thửa đất số 8, tờ BĐĐC số 124 có
P=2154 | X=0106.850-0300.090 | Y=0574.850-0586.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=2154 | X=0092.800-0329.700 | Y=0589.600-0603.510 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2154 | X=0413.550-0438.560 | Y=0589.600-0600.760 | 4.900
P=2154 | X=0449.750-0474.760 | Y=0589.600-0600.760 | 3.400
P=2154 | X=0492.550-0517.560 | Y=0589.600-0600.760 | 2.900
P=2154 | X=0106.850-0393.320 | Y=0609.850-0621.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2154 | X=0106.850-0159.560 | Y=0621.350-0632.510 | đến ≤600m.
P=2154 | X=0106.850-0329.700 | Y=0638.850-0650.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2154 | X=0092.800-0398.860 | Y=0656.850-0668.010 | 60 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=2154 | X=0413.550-0438.560 | Y=0656.850-0668.010 | 3.700
P=2154 | X=0449.750-0474.760 | Y=0656.850-0668.010 | 2.600
P=2154 | X=0492.550-0517.560 | Y=0656.850-0668.010 | 2.200
P=2154 | X=0106.850-0393.580 | Y=0668.350-0679.510 | Ơn đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới giữa ranh thửa
P=2154 | X=0106.850-0388.200 | Y=0679.850-0691.010 | đất số 9, tờ BĐĐC số 124 và thửa đất số 8, tờ BĐĐC số 124 có
P=2154 | X=0106.850-0300.090 | Y=0691.350-0702.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=2155 | X=0106.850-0383.860 | Y=0078.850-0090.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2155 | X=0106.850-0330.040 | Y=0096.350-0107.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2155 | X=0106.850-0391.760 | Y=0114.350-0125.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2155 | X=0106.850-0402.880 | Y=0125.850-0137.010 | Đường Trần Văn Ơn đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới
P=2155 | X=0106.850-0379.930 | Y=0137.350-0148.510 | giữa ranh thửa đất số 9, tờ BĐĐC số 124 và thửa đất số 8, tờ
P=2155 | X=0092.800-0377.300 | Y=0148.850-0160.260 | 61 BĐĐC số 124 có hiện trạng là đường nhựa, bê tông xi măng:
P=2155 | X=0413.550-0438.560 | Y=0149.100-0160.260 | 7.000
P=2155 | X=0449.750-0474.760 | Y=0149.100-0160.260 | 4.900
P=2155 | X=0492.550-0517.560 | Y=0149.100-0160.260 | 4.200
P=2155 | X=0106.850-0329.350 | Y=0166.350-0177.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2155 | X=0106.850-0383.510 | Y=0183.850-0195.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2155 | X=0106.850-0391.760 | Y=0201.850-0213.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2155 | X=0106.850-0402.880 | Y=0213.350-0224.510 | Đường Trần Văn Ơn đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới
P=2155 | X=0106.850-0379.930 | Y=0224.850-0236.010 | giữa ranh thửa đất số 9, tờ BĐĐC số 124 và thửa đất số 8, tờ
P=2155 | X=0106.850-0377.300 | Y=0236.350-0247.510 | BĐĐC số 124 có hiện trạng là đường nhựa, bê tông xi măng:
P=2155 | X=0092.800-0329.700 | Y=0251.100-0265.010 | 62 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2155 | X=0413.550-0438.560 | Y=0251.100-0262.260 | 4.400
P=2155 | X=0449.750-0474.760 | Y=0251.100-0262.260 | 3.100
P=2155 | X=0492.550-0517.560 | Y=0251.100-0262.260 | 2.600
P=2155 | X=0106.850-0393.320 | Y=0271.350-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2155 | X=0106.850-0159.560 | Y=0282.850-0294.010 | đến ≤600m.
P=2155 | X=0106.850-0329.700 | Y=0300.350-0311.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2155 | X=0106.850-0391.760 | Y=0318.350-0329.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2155 | X=0106.850-0402.880 | Y=0329.850-0341.010 | Đường Trần Văn Ơn đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới
P=2155 | X=0106.850-0379.930 | Y=0341.350-0352.510 | giữa ranh thửa đất số 9, tờ BĐĐC số 124 và thửa đất số 8, tờ
P=2155 | X=0092.800-0377.300 | Y=0352.850-0364.260 | 63 BĐĐC số 124 có hiện trạng là đường nhựa, bê tông xi măng:
P=2155 | X=0413.550-0438.560 | Y=0353.100-0364.260 | 3.300
P=2155 | X=0449.750-0474.760 | Y=0353.100-0364.260 | 2.300
P=2155 | X=0492.550-0517.560 | Y=0353.100-0364.260 | 2.000
P=2155 | X=0106.850-0383.860 | Y=0370.350-0381.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2155 | X=0106.850-0332.820 | Y=0387.850-0399.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2155 | X=0226.600-0289.810 | Y=0405.850-0417.010 | Giáp ranh giới
P=2155 | X=0092.800-0213.970 | Y=0417.350-0428.510 | 64 Đường Nguyễn Ái Quốc
P=2155 | X=0226.600-0366.740 | Y=0417.350-0428.510 | thành phố Hồ Chí Cầu Hóa An
P=2155 | X=0407.950-0474.720 | Y=0417.350-0428.510 | 22.300 15.600
P=2155 | X=0486.950-0517.520 | Y=0417.350-0428.510 | 13.400
P=2155 | X=0226.600-0248.270 | Y=0428.850-0440.010 | Minh
P=2155 | X=0106.850-0403.870 | Y=0446.850-0458.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=2155 | X=0106.850-0401.150 | Y=0458.350-0469.510 | Quốc đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Cầu Hóa
P=2155 | X=0106.850-0328.410 | Y=0469.850-0481.010 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=2155 | X=0092.800-0103.920 | Y=0475.850-0487.010 | 65
P=2155 | X=0407.950-0438.520 | Y=0475.850-0487.010 | 11.200
P=2155 | X=0449.750-0474.760 | Y=0475.850-0487.010 | 7.800
P=2155 | X=0492.550-0517.560 | Y=0475.850-0487.010 | 6.700
P=2155 | X=0106.850-0329.350 | Y=0487.350-0498.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2155 | X=0106.850-0383.510 | Y=0504.850-0516.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2155 | X=0106.850-0403.870 | Y=0522.850-0534.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=2155 | X=0106.850-0401.150 | Y=0534.350-0545.510 | Quốc đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Cầu Hóa
P=2155 | X=0106.850-0328.410 | Y=0545.850-0557.010 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=2155 | X=0092.800-0329.700 | Y=0563.350-0577.510 | 66 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2155 | X=0413.550-0438.560 | Y=0566.350-0577.510 | 5.500
P=2155 | X=0449.750-0474.760 | Y=0566.350-0577.510 | 3.900
P=2155 | X=0492.550-0517.560 | Y=0566.350-0577.510 | 3.300
P=2155 | X=0106.850-0393.320 | Y=0580.850-0592.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2155 | X=0106.850-0159.560 | Y=0592.350-0603.510 | đến ≤600m.
P=2155 | X=0106.850-0329.700 | Y=0609.850-0621.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2155 | X=0106.850-0403.870 | Y=0627.850-0639.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=2155 | X=0106.850-0401.150 | Y=0639.350-0650.510 | Quốc đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Cầu Hóa
P=2155 | X=0106.850-0328.410 | Y=0650.850-0662.010 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=2155 | X=0092.800-0103.920 | Y=0656.850-0668.010 | 67
P=2155 | X=0413.550-0438.560 | Y=0656.850-0668.010 | 3.900
P=2155 | X=0449.750-0474.760 | Y=0656.850-0668.010 | 2.700
P=2155 | X=0492.550-0517.560 | Y=0656.850-0668.010 | 2.300
P=2155 | X=0106.850-0383.860 | Y=0668.350-0679.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2155 | X=0106.850-0330.040 | Y=0685.850-0697.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2155 | X=0092.800-0391.760 | Y=0703.850-0715.010 | 68 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2155 | X=0407.950-0438.520 | Y=0703.850-0715.010 | 10.100
P=2155 | X=0449.750-0474.760 | Y=0703.850-0715.010 | 7.100
P=2155 | X=0492.550-0517.560 | Y=0703.850-0715.010 | 6.100
P=2156 | X=0106.850-0398.280 | Y=0078.850-0090.010 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh giới thành phố Hồ Chí
P=2156 | X=0106.850-0383.990 | Y=0090.350-0101.510 | Minh đến Cầu Hóa An có hiện trạng là đường nhựa, bê tông xi
P=2156 | X=0106.850-0134.630 | Y=0101.850-0113.010 | măng:
P=2156 | X=0106.850-0329.350 | Y=0119.350-0130.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2156 | X=0106.850-0383.510 | Y=0136.850-0148.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2156 | X=0106.850-0391.760 | Y=0154.850-0166.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2156 | X=0106.850-0398.280 | Y=0166.350-0177.510 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh giới thành phố Hồ Chí
P=2156 | X=0106.850-0383.990 | Y=0177.850-0189.010 | Minh đến Cầu Hóa An có hiện trạng là đường nhựa, bê tông xi
P=2156 | X=0106.850-0134.630 | Y=0189.350-0200.510 | măng:
P=2156 | X=0092.800-0329.700 | Y=0204.100-0218.010 | 69 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2156 | X=0413.550-0438.560 | Y=0204.100-0215.260 | 5.000
P=2156 | X=0449.750-0474.760 | Y=0204.100-0215.260 | 3.500
P=2156 | X=0492.550-0517.560 | Y=0204.100-0215.260 | 3.000
P=2156 | X=0106.850-0393.320 | Y=0224.350-0235.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2156 | X=0106.850-0159.560 | Y=0235.850-0247.010 | đến ≤600m.
P=2156 | X=0106.850-0329.700 | Y=0253.350-0264.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2156 | X=0106.850-0391.760 | Y=0271.350-0282.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2156 | X=0106.850-0398.280 | Y=0282.850-0294.010 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh giới thành phố Hồ Chí
P=2156 | X=0106.850-0383.990 | Y=0294.350-0305.510 | Minh đến Cầu Hóa An có hiện trạng là đường nhựa, bê tông xi
P=2156 | X=0092.800-0134.630 | Y=0305.850-0317.260 | 70 măng:
P=2156 | X=0413.550-0438.560 | Y=0306.100-0317.260 | 3.500
P=2156 | X=0449.750-0474.760 | Y=0306.100-0317.260 | 2.500
P=2156 | X=0492.550-0517.560 | Y=0306.100-0317.260 | 2.100
P=2156 | X=0106.850-0383.860 | Y=0323.350-0334.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2156 | X=0106.850-0332.820 | Y=0340.850-0352.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2156 | X=0106.850-0195.090 | Y=0358.850-0370.010 | Đường Hoàng Minh
P=2156 | X=0226.600-0383.330 | Y=0358.850-0370.010 | Đường Nguyễn Ái Đường Bùi Hữu
P=2156 | X=0092.800-0103.920 | Y=0364.600-0375.760 | 71
P=2156 | X=0407.950-0474.720 | Y=0364.600-0375.760 | 20.300 14.200
P=2156 | X=0486.950-0517.520 | Y=0364.600-0375.760 | 12.200
P=2156 | X=0106.850-0136.310 | Y=0370.350-0381.510 | Chánh
P=2156 | X=0226.600-0250.490 | Y=0370.350-0381.510 | Quốc
P=2156 | X=0312.300-0338.970 | Y=0370.350-0381.510 | Nghĩa
P=2156 | X=0106.850-0387.220 | Y=0388.350-0399.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=2156 | X=0106.850-0401.140 | Y=0399.850-0411.010 | Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến Đường Bùi Hữu
P=2156 | X=0106.850-0342.850 | Y=0411.350-0422.510 | Nghĩa có hiện trạng là đường nhựa, bê tông xi măng:
P=2156 | X=0092.800-0103.920 | Y=0417.350-0428.510 | 72
P=2156 | X=0407.950-0438.520 | Y=0417.350-0428.510 | 11.200
P=2156 | X=0449.750-0474.760 | Y=0417.350-0428.510 | 7.800
P=2156 | X=0492.550-0517.560 | Y=0417.350-0428.510 | 6.700
P=2156 | X=0106.850-0329.350 | Y=0428.850-0440.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2156 | X=0106.850-0383.510 | Y=0446.350-0457.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2156 | X=0106.850-0387.220 | Y=0464.350-0475.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=2156 | X=0106.850-0401.140 | Y=0475.850-0487.010 | Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến Đường Bùi Hữu
P=2156 | X=0106.850-0342.850 | Y=0487.350-0498.510 | Nghĩa có hiện trạng là đường nhựa, bê tông xi măng:
P=2156 | X=0092.800-0329.700 | Y=0504.850-0519.010 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2156 | X=0413.550-0438.560 | Y=0507.850-0519.010 | 5.500
P=2156 | X=0449.750-0474.760 | Y=0507.850-0519.010 | 3.900
P=2156 | X=0492.550-0517.560 | Y=0507.850-0519.010 | 3.300
P=2156 | X=0106.850-0393.320 | Y=0522.350-0533.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2156 | X=0106.850-0159.560 | Y=0533.850-0545.010 | đến ≤600m.
P=2156 | X=0106.850-0329.700 | Y=0551.350-0562.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2156 | X=0106.850-0387.220 | Y=0569.350-0580.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=2156 | X=0106.850-0401.140 | Y=0580.850-0592.010 | Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến Đường Bùi Hữu
P=2156 | X=0106.850-0342.850 | Y=0592.350-0603.510 | Nghĩa có hiện trạng là đường nhựa, bê tông xi măng:
P=2156 | X=0092.800-0103.920 | Y=0598.350-0609.510 | 74
P=2156 | X=0413.550-0438.560 | Y=0598.350-0609.510 | 3.700
P=2156 | X=0449.750-0474.760 | Y=0598.350-0609.510 | 2.600
P=2156 | X=0492.550-0517.560 | Y=0598.350-0609.510 | 2.200
P=2156 | X=0106.850-0383.860 | Y=0609.850-0621.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2156 | X=0106.850-0330.040 | Y=0627.350-0638.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2156 | X=0092.800-0391.760 | Y=0645.350-0656.510 | 75 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2156 | X=0407.950-0438.520 | Y=0645.350-0656.510 | 10.100
P=2156 | X=0449.750-0474.760 | Y=0645.350-0656.510 | 7.100
P=2156 | X=0492.550-0517.560 | Y=0645.350-0656.510 | 6.100
P=2156 | X=0106.850-0393.900 | Y=0656.850-0668.010 | Đường Hoàng Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến
P=2156 | X=0106.850-0386.120 | Y=0668.350-0679.510 | Đường Bùi Hữu Nghĩa có hiện trạng là đường nhựa, bê tông xi
P=2156 | X=0106.850-0134.630 | Y=0679.850-0691.010 | măng:
P=2156 | X=0106.850-0329.350 | Y=0697.350-0708.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2157 | X=0106.850-0383.510 | Y=0078.850-0090.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2157 | X=0106.850-0391.760 | Y=0096.850-0108.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2157 | X=0106.850-0393.900 | Y=0108.350-0119.510 | Đường Hoàng Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến
P=2157 | X=0106.850-0386.120 | Y=0119.850-0131.010 | Đường Bùi Hữu Nghĩa có hiện trạng là đường nhựa, bê tông xi
P=2157 | X=0106.850-0134.630 | Y=0131.350-0142.510 | măng:
P=2157 | X=0092.800-0329.700 | Y=0146.100-0160.010 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2157 | X=0413.550-0438.560 | Y=0146.100-0157.260 | 5.000
P=2157 | X=0449.750-0474.760 | Y=0146.100-0157.260 | 3.500
P=2157 | X=0492.550-0517.560 | Y=0146.100-0157.260 | 3.000
P=2157 | X=0106.850-0393.320 | Y=0166.350-0177.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2157 | X=0106.850-0159.560 | Y=0177.850-0189.010 | đến ≤600m.
P=2157 | X=0106.850-0329.700 | Y=0195.350-0206.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2157 | X=0106.850-0391.760 | Y=0213.350-0224.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2157 | X=0106.850-0393.900 | Y=0224.850-0236.010 | Đường Hoàng Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến
P=2157 | X=0106.850-0386.120 | Y=0236.350-0247.510 | Đường Bùi Hữu Nghĩa có hiện trạng là đường nhựa, bê tông xi
P=2157 | X=0092.800-0134.630 | Y=0247.850-0259.260 | 77 măng:
P=2157 | X=0413.550-0438.560 | Y=0248.100-0259.260 | 3.300
P=2157 | X=0449.750-0474.760 | Y=0248.100-0259.260 | 2.300
P=2157 | X=0492.550-0517.560 | Y=0248.100-0259.260 | 2.000
P=2157 | X=0106.850-0383.860 | Y=0265.350-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2157 | X=0106.850-0332.820 | Y=0282.850-0294.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2157 | X=0312.300-0390.630 | Y=0300.850-0312.010 | Nghĩa trang Sùng
P=2157 | X=0312.300-0394.970 | Y=0312.350-0323.510 | Chính Phước Kiến
P=2157 | X=0106.850-0195.090 | Y=0318.100-0329.260 | Đường Hoàng Minh
P=2157 | X=0226.600-0307.060 | Y=0318.100-0329.260 | Đường Nguyễn Ái
P=2157 | X=0092.800-0103.920 | Y=0323.850-0335.010 | 78
P=2157 | X=0312.300-0374.460 | Y=0323.850-0335.010 | (dự án đường
P=2157 | X=0407.950-0474.720 | Y=0323.850-0335.010 | 17.300 12.100
P=2157 | X=0486.950-0517.520 | Y=0323.850-0335.010 | 10.400
P=2157 | X=0106.850-0136.310 | Y=0329.600-0340.760 | Chánh
P=2157 | X=0226.600-0250.490 | Y=0329.600-0340.760 | Quốc
P=2157 | X=0312.300-0398.420 | Y=0335.350-0346.510 | Hoàng Minh Chánh
P=2157 | X=0312.300-0345.080 | Y=0346.850-0358.010 | nối dài)
P=2157 | X=0106.850-0387.220 | Y=0364.850-0376.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=2157 | X=0106.850-0382.330 | Y=0376.350-0387.510 | Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến Nghĩa trang
P=2157 | X=0106.850-0385.580 | Y=0387.850-0399.010 | Sùng Chính Phước Kiến (dự án đường Hoàng Minh Chánh nối
P=2157 | X=0092.800-0332.860 | Y=0399.350-0410.760 | 79 dài) có hiện trạng là đường nhựa, bê tông xi măng:
P=2157 | X=0413.550-0438.560 | Y=0399.600-0410.760 | 9.000
P=2157 | X=0449.750-0474.760 | Y=0399.600-0410.760 | 6.300
P=2157 | X=0492.550-0517.560 | Y=0399.600-0410.760 | 5.400
P=2157 | X=0106.850-0329.350 | Y=0416.850-0428.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2157 | X=0106.850-0383.510 | Y=0434.350-0445.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2157 | X=0106.850-0387.220 | Y=0452.350-0463.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=2157 | X=0106.850-0382.330 | Y=0463.850-0475.010 | Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến Nghĩa trang
P=2157 | X=0106.850-0385.580 | Y=0475.350-0486.510 | Sùng Chính Phước Kiến (dự án đường Hoàng Minh Chánh nối
P=2157 | X=0106.850-0332.860 | Y=0486.850-0498.010 | dài) có hiện trạng là đường nhựa, bê tông xi măng:
P=2157 | X=0092.800-0329.700 | Y=0501.600-0515.510 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2157 | X=0413.550-0438.560 | Y=0501.600-0512.760 | 4.900
P=2157 | X=0449.750-0474.760 | Y=0501.600-0512.760 | 3.400
P=2157 | X=0492.550-0517.560 | Y=0501.600-0512.760 | 2.900
P=2157 | X=0106.850-0393.320 | Y=0521.850-0533.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2157 | X=0106.850-0159.560 | Y=0533.350-0544.510 | đến ≤600m.
P=2157 | X=0106.850-0329.700 | Y=0550.850-0562.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2157 | X=0106.850-0387.220 | Y=0568.850-0580.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=2157 | X=0106.850-0382.330 | Y=0580.350-0591.510 | Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến Nghĩa trang
P=2157 | X=0106.850-0385.580 | Y=0591.850-0603.010 | Sùng Chính Phước Kiến (dự án đường Hoàng Minh Chánh nối
P=2157 | X=0092.800-0332.860 | Y=0603.350-0614.760 | 81 dài) có hiện trạng là đường nhựa, bê tông xi măng:
P=2157 | X=0413.550-0438.560 | Y=0603.600-0614.760 | 2.900
P=2157 | X=0449.750-0474.760 | Y=0603.600-0614.760 | 2.000
P=2157 | X=0492.550-0517.560 | Y=0603.600-0614.760 | 1.700
P=2157 | X=0106.850-0383.860 | Y=0620.850-0632.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2157 | X=0106.850-0330.040 | Y=0638.350-0649.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2157 | X=0092.800-0391.760 | Y=0656.350-0667.510 | 82 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2157 | X=0413.550-0438.560 | Y=0656.350-0667.510 | 8.100
P=2157 | X=0449.750-0474.760 | Y=0656.350-0667.510 | 5.700
P=2157 | X=0492.550-0517.560 | Y=0656.350-0667.510 | 4.900
P=2157 | X=0106.850-0393.900 | Y=0667.850-0679.010 | Đường Hoàng Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến
P=2157 | X=0106.850-0392.220 | Y=0679.350-0690.510 | Nghĩa trang Sùng Chính Phước Kiến (dự án đường Hoàng Minh
P=2157 | X=0106.850-0381.190 | Y=0690.850-0702.010 | Chánh nối dài) có hiện trạng là đường nhựa, bê tông xi măng:
P=2157 | X=0106.850-0329.350 | Y=0708.350-0719.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2158 | X=0106.850-0383.510 | Y=0078.850-0090.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2158 | X=0106.850-0391.760 | Y=0096.850-0108.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2158 | X=0106.850-0393.900 | Y=0108.350-0119.510 | Đường Hoàng Minh Chánh đoạn từ Đường Nguyễn Ái Quốc đến
P=2158 | X=0106.850-0392.220 | Y=0119.850-0131.010 | Nghĩa trang Sùng Chính Phước Kiến (dự án đường Hoàng Minh
P=2158 | X=0106.850-0381.190 | Y=0131.350-0142.510 | Chánh nối dài) có hiện trạng là đường nhựa, bê tông xi măng:
P=2158 | X=0092.800-0329.700 | Y=0146.100-0160.010 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2158 | X=0413.550-0438.560 | Y=0146.100-0157.260 | 4.400
P=2158 | X=0449.750-0474.760 | Y=0146.100-0157.260 | 3.100
P=2158 | X=0492.550-0517.560 | Y=0146.100-0157.260 | 2.600
P=2158 | X=0106.850-0393.320 | Y=0166.350-0177.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
