TABLE=023 | AREA=Phường Bình Lộc | SECTION=non-agricultural | SEGMENTS=1
P=0839 | X=0112.610-0401.740 | Y=0171.170-0182.410 | 290 về bên phải và hết ranh thửa đất số 341, tờ BĐĐC số 290 về
P=0839 | X=0112.610-0386.110 | Y=0182.690-0193.930 | bên trái, xã Xuân Lộc có hiện trạng là đường nhựa, bê tông xi
P=0839 | X=0112.610-0140.610 | Y=0194.210-0205.450 | măng:
P=0839 | X=0092.660-0109.300 | Y=0205.230-0214.550 | 402
P=0839 | X=0415.340-0431.980 | Y=0205.230-0214.550 | 590
P=0839 | X=0451.610-0468.250 | Y=0205.230-0214.550 | 410
P=0839 | X=0505.390-0522.030 | Y=0205.230-0214.550 | 350
P=0839 | X=0112.610-0344.160 | Y=0211.750-0222.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0839 | X=0112.610-0399.500 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0839 | X=0112.610-0173.730 | Y=0240.790-0252.030 | đến ≤1.000m.
P=0839 | X=0112.610-0335.780 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0839 | X=0112.610-0403.900 | Y=0276.070-0287.310 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Việt Kiều
P=0839 | X=0112.610-0393.830 | Y=0287.620-0298.860 | 1 đoạn từ Quốc lộ 1 đến Hết ranh thửa đất số 163, tờ BĐĐC số
P=0839 | X=0112.610-0401.740 | Y=0299.140-0310.380 | 290 về bên phải và hết ranh thửa đất số 341, tờ BĐĐC số 290 về
P=0839 | X=0112.610-0386.110 | Y=0310.660-0321.900 | bên trái, xã Xuân Lộc có hiện trạng là đường nhựa, bê tông xi
P=0839 | X=0092.660-0109.300 | Y=0318.540-0327.860 | 403
P=0839 | X=0415.340-0431.980 | Y=0318.540-0327.860 | 470
P=0839 | X=0451.610-0468.250 | Y=0318.540-0327.860 | 330
P=0839 | X=0505.390-0522.030 | Y=0318.540-0327.860 | 280
P=0839 | X=0112.610-0140.610 | Y=0321.940-0333.180 | măng:
P=0839 | X=0112.610-0398.420 | Y=0339.460-0350.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0839 | X=0112.610-0336.250 | Y=0356.980-0368.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0839 | X=0112.610-0397.870 | Y=0374.760-0386.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0839 | X=0112.610-0392.380 | Y=0386.280-0397.520 | Đường Việt Kiều 1 đoạn từ Quốc lộ 1 đến Hết ranh thửa đất số
P=0839 | X=0112.610-0403.240 | Y=0397.800-0409.040 | 163, tờ BĐĐC số 290 về bên phải và hết ranh thửa đất số 341, tờ
P=0839 | X=0112.610-0388.540 | Y=0409.320-0420.560 | BĐĐC số 290 về bên trái, xã Xuân Lộc có hiện trạng là đường
P=0839 | X=0092.660-0109.300 | Y=0417.200-0426.520 | 404
P=0839 | X=0415.340-0431.980 | Y=0417.200-0426.520 | 640
P=0839 | X=0451.610-0468.250 | Y=0417.200-0426.520 | 450
P=0839 | X=0505.390-0522.030 | Y=0417.200-0426.520 | 380
P=0839 | X=0112.610-0215.720 | Y=0420.840-0432.080 | nhựa, bê tông xi măng:
P=0839 | X=0112.610-0343.690 | Y=0438.360-0449.600 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0839 | X=0112.610-0389.800 | Y=0455.900-0467.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0839 | X=0112.610-0397.870 | Y=0473.660-0484.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0839 | X=0112.610-0392.380 | Y=0485.180-0496.420 | Đường Việt Kiều 1 đoạn từ Quốc lộ 1 đến Hết ranh thửa đất số
P=0839 | X=0112.610-0403.240 | Y=0496.460-0507.700 | 163, tờ BĐĐC số 290 về bên phải và hết ranh thửa đất số 341, tờ
P=0839 | X=0112.610-0388.540 | Y=0507.980-0519.220 | BĐĐC số 290 về bên trái, xã Xuân Lộc có hiện trạng là đường
P=0839 | X=0112.610-0215.720 | Y=0519.500-0530.740 | nhựa, bê tông xi măng:
P=0839 | X=0092.660-0109.300 | Y=0530.500-0539.820 | 405
P=0839 | X=0415.340-0431.980 | Y=0530.500-0539.820 | 530
P=0839 | X=0451.610-0468.250 | Y=0530.500-0539.820 | 370
P=0839 | X=0505.390-0522.030 | Y=0530.500-0539.820 | 320
P=0839 | X=0112.610-0344.160 | Y=0537.050-0548.290 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0839 | X=0112.610-0399.500 | Y=0554.570-0565.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0839 | X=0112.610-0173.730 | Y=0566.090-0577.330 | đến ≤1.000m.
P=0839 | X=0112.610-0335.780 | Y=0583.610-0594.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0839 | X=0112.610-0397.870 | Y=0601.370-0612.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0839 | X=0112.610-0392.380 | Y=0612.890-0624.130 | Đường Việt Kiều 1 đoạn từ Quốc lộ 1 đến Hết ranh thửa đất số
P=0839 | X=0112.610-0403.240 | Y=0624.430-0635.670 | 163, tờ BĐĐC số 290 về bên phải và hết ranh thửa đất số 341, tờ
P=0839 | X=0112.610-0388.540 | Y=0635.950-0647.190 | BĐĐC số 290 về bên trái, xã Xuân Lộc có hiện trạng là đường
P=0839 | X=0092.660-0109.300 | Y=0643.830-0653.150 | 406
P=0839 | X=0415.340-0431.980 | Y=0643.830-0653.150 | 420
P=0839 | X=0451.610-0468.250 | Y=0643.830-0653.150 | 290
P=0839 | X=0505.390-0522.030 | Y=0643.830-0653.150 | 250
P=0839 | X=0112.610-0215.720 | Y=0647.470-0658.710 | nhựa, bê tông xi măng:
P=0839 | X=0112.610-0398.420 | Y=0664.750-0675.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0839 | X=0112.610-0336.250 | Y=0682.270-0693.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0839 | X=0092.660-0255.780 | Y=0700.050-0711.290 | 407 Đường hẻm 2652/2, Quốc lộ 1
P=0839 | X=0286.660-0386.820 | Y=0701.940-0711.260 | Giáp suối và giáp ranh
P=0839 | X=0407.180-0432.230 | Y=0701.940-0711.260 | 1.400
P=0839 | X=0451.610-0468.250 | Y=0701.940-0711.260 | 980
P=0839 | X=0505.390-0522.030 | Y=0701.940-0711.260 | 840
P=0840 | X=0112.610-0206.080 | Y=0072.500-0083.740 | đường Xuân Hiệp 22
P=0840 | X=0286.660-0397.420 | Y=0072.500-0083.740 | thửa đất số 52, tờ BĐĐC
P=0840 | X=0286.660-0377.900 | Y=0085.900-0095.220 | số 269, xã Xuân Lộc
P=0840 | X=0112.610-0383.180 | Y=0101.780-0113.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường hẻm
P=0840 | X=0112.610-0403.180 | Y=0113.300-0124.540 | 2652/2, đường Xuân Hiệp 22 đoạn từ Quốc lộ 1 đến Giáp suối và
P=0840 | X=0112.610-0396.710 | Y=0124.850-0136.090 | giáp ranh thửa đất số 52, tờ BĐĐC số 269, xã Xuân Lộc có hiện
P=0840 | X=0092.660-0284.390 | Y=0136.370-0147.810 | 408 trạng là đường nhựa, bê tông xi măng:
P=0840 | X=0415.340-0431.980 | Y=0138.490-0147.810 | 710
P=0840 | X=0451.610-0468.250 | Y=0138.490-0147.810 | 500
P=0840 | X=0505.390-0522.030 | Y=0138.490-0147.810 | 430
P=0840 | X=0112.610-0343.690 | Y=0153.650-0164.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0840 | X=0112.610-0389.800 | Y=0171.170-0182.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0840 | X=0112.610-0383.180 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường hẻm
P=0840 | X=0112.610-0403.170 | Y=0200.470-0211.710 | 2652/2, đường Xuân Hiệp 22 đoạn từ Quốc lộ 1 đến Giáp suối và
P=0840 | X=0112.610-0396.710 | Y=0211.990-0223.230 | giáp ranh thửa đất số 52, tờ BĐĐC số 269, xã Xuân Lộc có hiện
P=0840 | X=0112.610-0284.390 | Y=0223.510-0234.750 | trạng là đường nhựa, bê tông xi măng:
P=0840 | X=0092.660-0344.160 | Y=0240.270-0252.270 | 409 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0840 | X=0415.340-0431.980 | Y=0240.270-0249.590 | 590
P=0840 | X=0451.610-0468.250 | Y=0240.270-0249.590 | 410
P=0840 | X=0505.390-0522.030 | Y=0240.270-0249.590 | 350
P=0840 | X=0112.610-0399.500 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0840 | X=0112.610-0173.730 | Y=0270.070-0281.310 | đến ≤1.000m.
P=0840 | X=0112.610-0335.780 | Y=0287.620-0298.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0840 | X=0112.610-0383.180 | Y=0305.380-0316.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường hẻm
P=0840 | X=0112.610-0403.170 | Y=0316.900-0328.140 | 2652/2, đường Xuân Hiệp 22 đoạn từ Quốc lộ 1 đến Giáp suối và
P=0840 | X=0112.610-0396.710 | Y=0328.420-0339.660 | giáp ranh thửa đất số 52, tờ BĐĐC số 269, xã Xuân Lộc có hiện
P=0840 | X=0092.660-0284.390 | Y=0339.700-0351.140 | 410 trạng là đường nhựa, bê tông xi măng:
P=0840 | X=0415.340-0431.980 | Y=0341.820-0351.140 | 470
P=0840 | X=0451.610-0468.250 | Y=0341.820-0351.140 | 330
P=0840 | X=0505.390-0522.030 | Y=0341.820-0351.140 | 280
P=0840 | X=0112.610-0398.420 | Y=0357.220-0368.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0840 | X=0112.610-0336.250 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0840 | X=0112.610-0397.870 | Y=0392.520-0403.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0840 | X=0112.610-0401.270 | Y=0404.040-0415.280 | Đường hẻm 2652/2, đường Xuân Hiệp 22 đoạn từ Quốc lộ 1 đến
P=0840 | X=0112.610-0401.000 | Y=0415.560-0426.800 | Giáp suối và giáp ranh thửa đất số 52, tờ BĐĐC số 269, xã Xuân
P=0840 | X=0092.660-0338.410 | Y=0427.080-0438.520 | 411 Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0840 | X=0415.340-0431.980 | Y=0429.200-0438.520 | 640
P=0840 | X=0451.610-0468.250 | Y=0429.200-0438.520 | 450
P=0840 | X=0505.390-0522.030 | Y=0429.200-0438.520 | 380
P=0840 | X=0112.610-0343.690 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0840 | X=0112.610-0389.800 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0840 | X=0112.610-0397.870 | Y=0479.900-0491.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0840 | X=0112.610-0401.270 | Y=0491.420-0502.660 | Đường hẻm 2652/2, đường Xuân Hiệp 22 đoạn từ Quốc lộ 1 đến
P=0840 | X=0112.610-0401.000 | Y=0502.940-0514.180 | Giáp suối và giáp ranh thửa đất số 52, tờ BĐĐC số 269, xã Xuân
P=0840 | X=0112.610-0338.410 | Y=0514.220-0525.460 | Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0840 | X=0092.660-0344.160 | Y=0530.980-0542.980 | 412 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0840 | X=0415.340-0431.980 | Y=0530.980-0540.300 | 530
P=0840 | X=0451.610-0468.250 | Y=0530.980-0540.300 | 370
P=0840 | X=0505.390-0522.030 | Y=0530.980-0540.300 | 320
P=0840 | X=0112.610-0399.500 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0840 | X=0112.610-0173.730 | Y=0560.810-0572.050 | đến ≤1.000m.
P=0840 | X=0112.610-0335.780 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0840 | X=0112.610-0397.870 | Y=0596.090-0607.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0840 | X=0112.610-0401.270 | Y=0607.610-0618.850 | Đường hẻm 2652/2, đường Xuân Hiệp 22 đoạn từ Quốc lộ 1 đến
P=0840 | X=0112.610-0401.000 | Y=0619.150-0630.390 | Giáp suối và giáp ranh thửa đất số 52, tờ BĐĐC số 269, xã Xuân
P=0840 | X=0092.660-0338.410 | Y=0630.670-0642.110 | 413 Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0840 | X=0415.340-0431.980 | Y=0632.790-0642.110 | 420
P=0840 | X=0451.610-0468.250 | Y=0632.790-0642.110 | 290
P=0840 | X=0505.390-0522.030 | Y=0632.790-0642.110 | 250
P=0840 | X=0112.610-0398.460 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0840 | X=0112.610-0336.250 | Y=0665.710-0676.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0840 | X=0286.660-0393.100 | Y=0683.470-0694.710 | Đường quanh núi Chứa
P=0840 | X=0092.660-0155.660 | Y=0691.110-0700.430 | 414 Hiệp Tiến
P=0840 | X=0212.710-0255.780 | Y=0691.110-0700.430 | Quốc lộ 1
P=0840 | X=0407.180-0432.230 | Y=0691.110-0700.430 | 1.400
P=0840 | X=0451.610-0468.250 | Y=0691.110-0700.430 | 980
P=0840 | X=0505.390-0522.030 | Y=0691.110-0700.430 | 840
P=0840 | X=0286.660-0310.520 | Y=0696.630-0705.950 | Chan
P=0841 | X=0112.610-0397.430 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Hiệp Tiến đoạn
P=0841 | X=0112.610-0394.060 | Y=0090.020-0101.260 | từ Quốc lộ 1 đến Đường quanh núi Chứa Chan có hiện trạng là
P=0841 | X=0112.610-0248.380 | Y=0101.540-0112.780 | đường nhựa, bê tông xi măng:
P=0841 | X=0092.660-0109.300 | Y=0109.420-0118.740 | 415
P=0841 | X=0415.340-0431.980 | Y=0109.420-0118.740 | 710
P=0841 | X=0451.610-0468.250 | Y=0109.420-0118.740 | 500
P=0841 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 430
P=0841 | X=0112.610-0343.690 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0841 | X=0112.610-0389.800 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0841 | X=0112.610-0397.430 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Hiệp Tiến đoạn
P=0841 | X=0112.610-0394.060 | Y=0165.650-0176.890 | từ Quốc lộ 1 đến Đường quanh núi Chứa Chan có hiện trạng là
P=0841 | X=0112.610-0248.380 | Y=0177.170-0188.410 | đường nhựa, bê tông xi măng:
P=0841 | X=0092.660-0344.160 | Y=0194.690-0209.030 | 416 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0841 | X=0415.340-0431.980 | Y=0199.710-0209.030 | 590
P=0841 | X=0451.610-0468.250 | Y=0199.710-0209.030 | 410
P=0841 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 350
P=0841 | X=0112.610-0399.500 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0841 | X=0112.610-0173.730 | Y=0223.750-0234.990 | đến ≤1.000m.
P=0841 | X=0112.610-0335.780 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0841 | X=0112.610-0397.430 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Hiệp Tiến đoạn
P=0841 | X=0112.610-0394.060 | Y=0270.550-0281.790 | từ Quốc lộ 1 đến Đường quanh núi Chứa Chan có hiện trạng là
P=0841 | X=0112.610-0248.380 | Y=0282.100-0293.340 | đường nhựa, bê tông xi măng:
P=0841 | X=0092.660-0109.300 | Y=0289.980-0299.300 | 417
P=0841 | X=0415.340-0431.980 | Y=0289.980-0299.300 | 470
P=0841 | X=0451.610-0468.250 | Y=0289.980-0299.300 | 330
P=0841 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 280
P=0841 | X=0112.610-0398.420 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0841 | X=0112.610-0336.250 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0841 | X=0112.610-0397.870 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0841 | X=0112.610-0393.350 | Y=0346.420-0357.660 | Hiệp Tiến đoạn từ Quốc lộ 1 đến Đường quanh núi Chứa Chan
P=0841 | X=0112.610-0319.460 | Y=0357.700-0368.940 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0841 | X=0092.660-0109.300 | Y=0365.580-0374.900 | 418
P=0841 | X=0415.340-0431.980 | Y=0365.580-0374.900 | 640
P=0841 | X=0451.610-0468.250 | Y=0365.580-0374.900 | 450
P=0841 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 380
P=0841 | X=0112.610-0343.690 | Y=0375.240-0386.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0841 | X=0112.610-0389.800 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0841 | X=0112.610-0397.870 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0841 | X=0112.610-0393.350 | Y=0422.040-0433.280 | Hiệp Tiến đoạn từ Quốc lộ 1 đến Đường quanh núi Chứa Chan
P=0841 | X=0112.610-0319.460 | Y=0433.560-0444.800 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0841 | X=0092.660-0344.160 | Y=0451.100-0465.180 | 419 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0841 | X=0415.340-0431.980 | Y=0455.860-0465.180 | 530
P=0841 | X=0451.610-0468.250 | Y=0455.860-0465.180 | 370
P=0841 | X=0505.390-0522.030 | Y=0455.860-0465.180 | 320
P=0841 | X=0112.610-0399.500 | Y=0468.620-0479.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0841 | X=0112.610-0173.730 | Y=0480.140-0491.380 | đến ≤1.000m.
P=0841 | X=0112.610-0335.780 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0841 | X=0112.610-0397.870 | Y=0515.420-0526.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0841 | X=0112.610-0393.350 | Y=0526.940-0538.180 | Hiệp Tiến đoạn từ Quốc lộ 1 đến Đường quanh núi Chứa Chan
P=0841 | X=0112.610-0319.460 | Y=0538.250-0549.490 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0841 | X=0092.660-0109.300 | Y=0546.130-0555.450 | 420
P=0841 | X=0415.340-0431.980 | Y=0546.130-0555.450 | 420
P=0841 | X=0451.610-0468.250 | Y=0546.130-0555.450 | 290
P=0841 | X=0505.390-0522.030 | Y=0546.130-0555.450 | 250
P=0841 | X=0112.610-0398.420 | Y=0555.770-0567.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0841 | X=0112.610-0336.250 | Y=0573.290-0584.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0841 | X=0112.610-0190.950 | Y=0591.050-0602.290 | Đường quanh núi
P=0841 | X=0212.710-0265.630 | Y=0591.050-0602.290 | Đường Ngô
P=0841 | X=0286.660-0364.060 | Y=0596.810-0608.050 | Đường Hiệp Tiến
P=0841 | X=0092.660-0109.300 | Y=0598.690-0608.010 | 421
P=0841 | X=0407.180-0432.230 | Y=0598.690-0608.010 | 2.300
P=0841 | X=0443.450-0468.500 | Y=0598.690-0608.010 | 1.600
P=0841 | X=0497.230-0522.280 | Y=0598.690-0608.010 | 1.400
P=0841 | X=0212.710-0246.900 | Y=0602.570-0613.810 | Đức Kế
P=0841 | X=0112.610-0164.300 | Y=0604.450-0613.770 | Chứa Chan
P=0841 | X=0112.610-0391.420 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường quanh
P=0841 | X=0112.610-0387.350 | Y=0631.870-0643.110 | núi Chứa Chan đoạn từ Đường Ngô Đức Kế đến Đường Hiệp
P=0841 | X=0112.610-0341.770 | Y=0643.390-0654.630 | Tiến có hiện trạng là đường nhựa, bê tông xi măng:
P=0841 | X=0092.660-0109.300 | Y=0651.270-0660.590 | 422
P=0841 | X=0407.180-0432.230 | Y=0651.270-0660.590 | 1.100
P=0841 | X=0451.610-0468.250 | Y=0651.270-0660.590 | 770
P=0841 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 660
P=0841 | X=0112.610-0335.520 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0841 | X=0112.610-0389.820 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0841 | X=0112.610-0391.420 | Y=0696.190-0707.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường quanh
P=0841 | X=0092.660-0109.300 | Y=0703.860-0713.180 | 423
P=0841 | X=0407.180-0432.230 | Y=0703.860-0713.180 | 1.000
P=0841 | X=0451.610-0468.250 | Y=0703.860-0713.180 | 700
P=0841 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 600
P=0841 | X=0112.610-0387.350 | Y=0707.730-0718.970 | núi Chứa Chan đoạn từ Đường Ngô Đức Kế đến Đường Hiệp
P=0842 | X=0112.610-0341.770 | Y=0072.500-0083.740 | Tiến có hiện trạng là đường nhựa, bê tông xi măng:
P=0842 | X=0112.610-0335.780 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0842 | X=0112.610-0399.500 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0842 | X=0112.610-0165.570 | Y=0119.090-0130.330 | đến ≤600m.
P=0842 | X=0112.610-0335.780 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0842 | X=0112.610-0391.420 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường quanh
P=0842 | X=0112.610-0387.350 | Y=0165.650-0176.890 | núi Chứa Chan đoạn từ Đường Ngô Đức Kế đến Đường Hiệp
P=0842 | X=0112.610-0341.770 | Y=0177.170-0188.410 | Tiến có hiện trạng là đường nhựa, bê tông xi măng:
P=0842 | X=0092.660-0109.300 | Y=0185.050-0194.370 | 424
P=0842 | X=0415.340-0431.980 | Y=0185.050-0194.370 | 880
P=0842 | X=0451.610-0468.250 | Y=0185.050-0194.370 | 620
P=0842 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 530
P=0842 | X=0112.610-0390.040 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0842 | X=0112.610-0336.250 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0842 | X=0112.610-0397.870 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0842 | X=0112.610-0394.540 | Y=0241.510-0252.750 | Đường quanh núi Chứa Chan đoạn từ Đường Ngô Đức Kế đến
P=0842 | X=0112.610-0399.390 | Y=0253.030-0264.270 | Đường Hiệp Tiến có hiện trạng là đường nhựa, bê tông xi măng:
P=0842 | X=0092.660-0109.300 | Y=0260.910-0270.230 | 425
P=0842 | X=0415.340-0431.980 | Y=0260.910-0270.230 | 990
P=0842 | X=0451.610-0468.250 | Y=0260.910-0270.230 | 690
P=0842 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 590
P=0842 | X=0112.610-0335.520 | Y=0270.550-0281.790 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0842 | X=0112.610-0389.800 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0842 | X=0112.610-0397.900 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0842 | X=0112.610-0394.540 | Y=0317.380-0328.620 | Đường quanh núi Chứa Chan đoạn từ Đường Ngô Đức Kế đến
P=0842 | X=0112.610-0399.390 | Y=0328.900-0340.140 | Đường Hiệp Tiến có hiện trạng là đường nhựa, bê tông xi măng:
P=0842 | X=0092.660-0335.780 | Y=0346.420-0360.500 | 426 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0842 | X=0415.340-0431.980 | Y=0351.180-0360.500 | 900
P=0842 | X=0451.610-0468.250 | Y=0351.180-0360.500 | 630
P=0842 | X=0505.390-0522.030 | Y=0351.180-0360.500 | 540
P=0842 | X=0112.610-0399.500 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0842 | X=0112.610-0165.570 | Y=0375.240-0386.480 | đến ≤600m.
P=0842 | X=0112.610-0335.780 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0842 | X=0112.610-0397.870 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0842 | X=0112.610-0394.540 | Y=0422.040-0433.280 | Đường quanh núi Chứa Chan đoạn từ Đường Ngô Đức Kế đến
P=0842 | X=0112.610-0399.390 | Y=0433.560-0444.800 | Đường Hiệp Tiến có hiện trạng là đường nhựa, bê tông xi măng:
P=0842 | X=0092.660-0109.300 | Y=0441.440-0450.760 | 427
P=0842 | X=0415.340-0431.980 | Y=0441.440-0450.760 | 790
P=0842 | X=0451.610-0468.250 | Y=0441.440-0450.760 | 550
P=0842 | X=0505.390-0522.030 | Y=0441.440-0450.760 | 470
P=0842 | X=0112.610-0390.040 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0842 | X=0112.610-0336.250 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0842 | X=0212.710-0271.390 | Y=0486.380-0497.620 | Bệnh viện đa
P=0842 | X=0092.660-0195.510 | Y=0497.900-0509.140 | 428 Đường Song hành
P=0842 | X=0286.660-0381.830 | Y=0497.900-0509.140 | Đường Xuân Hiệp 12
P=0842 | X=0212.710-0264.420 | Y=0499.780-0509.100 | khoa huyện
P=0842 | X=0407.180-0432.230 | Y=0499.780-0509.100 | 1.900
P=0842 | X=0443.450-0468.500 | Y=0499.780-0509.100 | 1.300
P=0842 | X=0497.230-0522.280 | Y=0499.780-0509.100 | 1.100
P=0842 | X=0212.710-0268.250 | Y=0509.420-0520.660 | Xuân Lộc cũ
P=0842 | X=0112.610-0387.090 | Y=0527.180-0538.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Song
P=0842 | X=0112.610-0400.310 | Y=0538.490-0549.730 | hành đoạn từ Bệnh viện đa khoa huyện Xuân Lộc cũ đến Đường
P=0842 | X=0112.610-0383.070 | Y=0550.010-0561.250 | Xuân Hiệp 12 có hiện trạng là đường nhựa, bê tông xi măng:
P=0842 | X=0092.660-0109.300 | Y=0557.890-0567.210 | 429
