TABLE=036 | AREA=Xã An Viễn | SECTION=non-agricultural | SEGMENTS=1
P=1296 | X=0111.170-0381.820 | Y=0404.040-0415.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 5
P=1296 | X=0111.170-0381.040 | Y=0415.560-0426.800 | - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp sông Buông trừ
P=1296 | X=0111.170-0378.200 | Y=0427.080-0438.320 | đoạn từ đường vào khu công nghiệp Giang Điền về hai phía
P=1296 | X=0111.170-0345.860 | Y=0438.600-0449.840 | 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1296 | X=0094.820-0105.940 | Y=0446.480-0455.800 | 51
P=1296 | X=0406.220-0431.270 | Y=0446.480-0455.800 | 1.700
P=1296 | X=0453.770-0478.820 | Y=0446.480-0455.800 | 1.200
P=1296 | X=0497.230-0522.280 | Y=0446.480-0455.800 | 1.000
P=1296 | X=0111.170-0342.250 | Y=0456.140-0467.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1296 | X=0111.170-0352.280 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1296 | X=0111.170-0144.690 | Y=0485.180-0496.420 | ≤500m.
P=1296 | X=0111.170-0381.820 | Y=0502.940-0514.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 5
P=1296 | X=0111.170-0381.040 | Y=0514.220-0525.460 | - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp sông Buông trừ
P=1296 | X=0111.170-0378.200 | Y=0525.740-0536.980 | đoạn từ đường vào khu công nghiệp Giang Điền về hai phía
P=1296 | X=0111.170-0345.850 | Y=0537.290-0548.530 | 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1296 | X=0094.820-0342.720 | Y=0554.050-0566.050 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1296 | X=0406.220-0431.270 | Y=0554.050-0563.370 | 1.500
P=1296 | X=0453.770-0478.820 | Y=0554.050-0563.370 | 1.100
P=1296 | X=0505.390-0522.030 | Y=0554.050-0563.370 | 900
P=1296 | X=0111.170-0364.480 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1296 | X=0111.170-0206.120 | Y=0583.850-0595.090 | >500m đến ≤1.000m.
P=1296 | X=0111.170-0334.340 | Y=0601.370-0612.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1296 | X=0111.170-0381.820 | Y=0619.150-0630.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 5
P=1296 | X=0111.170-0381.040 | Y=0630.670-0641.910 | - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp sông Buông trừ
P=1296 | X=0111.170-0378.200 | Y=0642.190-0653.430 | đoạn từ đường vào khu công nghiệp Giang Điền về hai phía
P=1296 | X=0111.170-0345.860 | Y=0653.710-0664.950 | 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1296 | X=0094.820-0105.940 | Y=0661.590-0670.910 | 53
P=1296 | X=0406.220-0431.270 | Y=0661.590-0670.910 | 1.100
P=1296 | X=0461.930-0478.570 | Y=0661.590-0670.910 | 770
P=1296 | X=0505.390-0522.030 | Y=0661.590-0670.910 | 660
P=1296 | X=0111.170-0352.280 | Y=0671.230-0682.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1296 | X=0111.170-0153.310 | Y=0684.390-0693.710 | >1.000m.
P=1296 | X=0111.170-0334.810 | Y=0700.050-0711.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1297 | X=0111.170-0384.680 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1297 | X=0111.170-0377.710 | Y=0090.020-0101.260 | ra Đường ấp 5 - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp
P=1297 | X=0111.170-0374.840 | Y=0101.540-0112.780 | sông Buông trừ đoạn từ đường vào khu công nghiệp Giang
P=1297 | X=0111.170-0380.350 | Y=0113.060-0124.300 | Điền về hai phía 500m có hiện trạng là đường nhựa, bê tông
P=1297 | X=0094.820-0149.000 | Y=0124.610-0136.050 | 54 xi măng:
P=1297 | X=0406.220-0431.270 | Y=0126.730-0136.050 | 1.500
P=1297 | X=0453.770-0478.820 | Y=0126.730-0136.050 | 1.100
P=1297 | X=0505.390-0522.030 | Y=0126.730-0136.050 | 900
P=1297 | X=0111.170-0342.250 | Y=0142.130-0153.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1297 | X=0111.170-0352.280 | Y=0159.410-0170.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1297 | X=0111.170-0144.690 | Y=0170.930-0182.170 | ≤500m.
P=1297 | X=0111.170-0384.680 | Y=0188.690-0199.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1297 | X=0111.170-0377.710 | Y=0200.230-0211.470 | ra Đường ấp 5 - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp
P=1297 | X=0111.170-0374.840 | Y=0211.750-0222.990 | sông Buông trừ đoạn từ đường vào khu công nghiệp Giang
P=1297 | X=0111.170-0380.350 | Y=0223.270-0234.510 | Điền về hai phía 500m có hiện trạng là đường nhựa, bê tông
P=1297 | X=0111.170-0149.000 | Y=0234.790-0246.030 | xi măng:
P=1297 | X=0094.820-0105.940 | Y=0245.550-0254.870 | 55
P=1297 | X=0406.220-0431.270 | Y=0245.550-0254.870 | 1.400
P=1297 | X=0461.930-0478.570 | Y=0245.550-0254.870 | 980
P=1297 | X=0505.390-0522.030 | Y=0245.550-0254.870 | 840
P=1297 | X=0111.170-0342.720 | Y=0252.310-0263.550 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1297 | X=0111.170-0364.480 | Y=0269.830-0281.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1297 | X=0111.170-0206.120 | Y=0281.380-0292.620 | >500m đến ≤1.000m.
P=1297 | X=0111.170-0334.340 | Y=0298.900-0310.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1297 | X=0111.170-0384.680 | Y=0316.660-0327.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1297 | X=0111.170-0377.710 | Y=0327.940-0339.180 | ra Đường ấp 5 - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp
P=1297 | X=0111.170-0374.840 | Y=0339.460-0350.700 | sông Buông trừ đoạn từ đường vào khu công nghiệp Giang
P=1297 | X=0111.170-0380.350 | Y=0350.980-0362.220 | Điền về hai phía 500m có hiện trạng là đường nhựa, bê tông
P=1297 | X=0094.820-0149.000 | Y=0362.500-0373.940 | 56 xi măng:
P=1297 | X=0414.380-0431.050 | Y=0364.620-0373.940 | 990
P=1297 | X=0461.930-0478.570 | Y=0364.620-0373.940 | 690
P=1297 | X=0505.390-0522.030 | Y=0364.620-0373.940 | 590
P=1297 | X=0111.170-0352.280 | Y=0380.040-0391.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1297 | X=0111.170-0153.310 | Y=0393.440-0402.760 | >1.000m.
P=1297 | X=0111.170-0334.810 | Y=0409.080-0420.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1297 | X=0300.360-0367.390 | Y=0428.720-0438.040 | Hết ranh xã An
P=1297 | X=0094.820-0201.520 | Y=0432.600-0443.840 | 57 Đường liên ấp 2-3-4
P=1297 | X=0219.430-0273.540 | Y=0432.600-0443.840 | Đường ấp 2
P=1297 | X=0406.220-0431.270 | Y=0434.480-0443.800 | 3.600
P=1297 | X=0453.770-0478.820 | Y=0434.480-0443.800 | 2.500
P=1297 | X=0497.230-0522.280 | Y=0434.480-0443.800 | 2.200
P=1297 | X=0300.360-0320.600 | Y=0440.240-0449.560 | Viễn
P=1297 | X=0111.170-0377.950 | Y=0456.140-0467.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1297 | X=0111.170-0367.400 | Y=0467.660-0478.900 | ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn có
P=1297 | X=0111.170-0304.780 | Y=0479.180-0490.420 | hiện trạng là đường nhựa, bê tông xi măng:
P=1297 | X=0094.820-0105.940 | Y=0492.820-0502.140 | 58
P=1297 | X=0406.220-0431.270 | Y=0492.820-0502.140 | 1.800
P=1297 | X=0453.770-0478.820 | Y=0492.820-0502.140 | 1.300
P=1297 | X=0497.230-0522.280 | Y=0492.820-0502.140 | 1.100
P=1297 | X=0111.170-0342.250 | Y=0496.460-0507.700 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1297 | X=0111.170-0352.280 | Y=0513.980-0525.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1297 | X=0111.170-0144.690 | Y=0525.500-0536.740 | ≤500m.
P=1297 | X=0111.170-0377.950 | Y=0543.290-0554.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1297 | X=0111.170-0367.400 | Y=0554.810-0566.050 | ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn có
P=1297 | X=0111.170-0304.810 | Y=0566.330-0577.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=1297 | X=0094.820-0342.720 | Y=0583.850-0598.170 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1297 | X=0406.220-0431.270 | Y=0588.850-0598.170 | 1.500
P=1297 | X=0453.770-0478.820 | Y=0588.850-0598.170 | 1.100
P=1297 | X=0505.390-0522.030 | Y=0588.850-0598.170 | 900
P=1297 | X=0111.170-0364.480 | Y=0601.370-0612.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1297 | X=0111.170-0206.120 | Y=0612.890-0624.130 | >500m đến ≤1.000m.
P=1297 | X=0111.170-0334.340 | Y=0630.430-0641.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1297 | X=0111.170-0377.950 | Y=0648.190-0659.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1297 | X=0111.170-0367.400 | Y=0659.710-0670.950 | ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn có
P=1297 | X=0094.820-0304.780 | Y=0671.230-0685.310 | 60 hiện trạng là đường nhựa, bê tông xi măng:
P=1297 | X=0406.220-0431.270 | Y=0675.990-0685.310 | 1.100
P=1297 | X=0461.930-0478.570 | Y=0675.990-0685.310 | 770
P=1297 | X=0505.390-0522.030 | Y=0675.990-0685.310 | 660
P=1297 | X=0111.170-0352.280 | Y=0688.510-0699.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1297 | X=0111.170-0153.310 | Y=0701.940-0711.260 | >1.000m.
P=1298 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1298 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1298 | X=0111.170-0381.060 | Y=0107.780-0119.020 | ra Đường liên ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã
P=1298 | X=0111.170-0355.930 | Y=0119.330-0130.570 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=1298 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 61
P=1298 | X=0406.220-0431.270 | Y=0132.970-0142.290 | 1.600
P=1298 | X=0453.770-0478.820 | Y=0132.970-0142.290 | 1.100
P=1298 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 960
P=1298 | X=0111.170-0342.250 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1298 | X=0111.170-0352.280 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1298 | X=0111.170-0144.690 | Y=0165.650-0176.890 | ≤500m.
P=1298 | X=0111.170-0384.680 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1298 | X=0111.170-0381.060 | Y=0194.930-0206.170 | ra Đường liên ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã
P=1298 | X=0111.170-0355.930 | Y=0206.470-0217.710 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=1298 | X=0094.820-0342.720 | Y=0223.990-0238.310 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1298 | X=0406.220-0431.270 | Y=0228.990-0238.310 | 1.400
P=1298 | X=0461.930-0478.570 | Y=0228.990-0238.310 | 980
P=1298 | X=0505.390-0522.030 | Y=0228.990-0238.310 | 840
P=1298 | X=0111.170-0364.480 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1298 | X=0111.170-0206.120 | Y=0253.030-0264.270 | >500m đến ≤1.000m.
P=1298 | X=0111.170-0334.340 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1298 | X=0111.170-0384.680 | Y=0288.340-0299.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1298 | X=0111.170-0381.060 | Y=0299.860-0311.100 | ra Đường liên ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã
P=1298 | X=0111.170-0355.930 | Y=0311.380-0322.620 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=1298 | X=0094.820-0105.940 | Y=0325.020-0334.340 | 63
P=1298 | X=0414.380-0431.020 | Y=0325.020-0334.340 | 990
P=1298 | X=0461.930-0478.570 | Y=0325.020-0334.340 | 690
P=1298 | X=0505.390-0522.030 | Y=0325.020-0334.340 | 590
P=1298 | X=0111.170-0352.280 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1298 | X=0111.170-0153.310 | Y=0342.300-0351.620 | >1.000m.
P=1298 | X=0111.170-0334.810 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1298 | X=0219.430-0289.630 | Y=0375.480-0386.720 | Đường tỉnh 777
P=1298 | X=0219.430-0281.700 | Y=0387.000-0398.240 | (đường Trảng
P=1298 | X=0300.360-0385.100 | Y=0387.000-0398.240 | Đường liên ấp 2-3-
P=1298 | X=0094.820-0165.250 | Y=0392.760-0404.000 | 64 Đường ấp 2
P=1298 | X=0406.220-0431.270 | Y=0394.640-0403.960 | 3.400
P=1298 | X=0453.770-0478.820 | Y=0394.640-0403.960 | 2.400
P=1298 | X=0497.230-0522.270 | Y=0394.640-0403.960 | 2.000
P=1298 | X=0219.430-0271.380 | Y=0400.400-0409.720 | Bom - Long
P=1298 | X=0300.360-0305.960 | Y=0400.400-0409.720 | 4
P=1298 | X=0219.430-0251.110 | Y=0411.920-0421.240 | Thành)
P=1298 | X=0111.170-0381.820 | Y=0427.800-0439.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2
P=1298 | X=0111.170-0372.140 | Y=0439.320-0450.560 | đoạn từ Đường tỉnh 777 (đường Trảng Bom - Long Thành)
P=1298 | X=0111.170-0367.410 | Y=0450.860-0462.100 | đến Đường liên ấp 2-3-4 có hiện trạng là đường nhựa, bê
P=1298 | X=0111.170-0171.330 | Y=0462.380-0473.620 | tông xi măng:
P=1298 | X=0094.820-0105.940 | Y=0470.260-0479.580 | 65
P=1298 | X=0406.220-0431.270 | Y=0470.260-0479.580 | 1.600
P=1298 | X=0453.770-0478.820 | Y=0470.260-0479.580 | 1.100
P=1298 | X=0505.390-0522.030 | Y=0470.260-0479.580 | 960
P=1298 | X=0111.170-0342.250 | Y=0479.900-0491.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1298 | X=0111.170-0352.280 | Y=0497.420-0508.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1298 | X=0111.170-0144.690 | Y=0508.940-0520.180 | ≤500m.
P=1298 | X=0111.170-0381.820 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2
P=1298 | X=0111.170-0372.140 | Y=0538.010-0549.250 | đoạn từ Đường tỉnh 777 (đường Trảng Bom - Long Thành)
P=1298 | X=0111.170-0367.410 | Y=0549.530-0560.770 | đến Đường liên ấp 2-3-4 có hiện trạng là đường nhựa, bê
P=1298 | X=0111.170-0171.330 | Y=0561.050-0572.290 | tông xi măng:
P=1298 | X=0094.820-0342.720 | Y=0577.810-0589.810 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1298 | X=0406.220-0431.270 | Y=0577.810-0587.130 | 1.300
P=1298 | X=0461.930-0478.570 | Y=0577.810-0587.130 | 910
P=1298 | X=0505.390-0522.030 | Y=0577.810-0587.130 | 780
P=1298 | X=0111.170-0364.480 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1298 | X=0111.170-0206.120 | Y=0607.610-0618.850 | >500m đến ≤1.000m.
P=1298 | X=0111.170-0334.340 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1298 | X=0111.170-0381.820 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2
P=1298 | X=0111.170-0372.140 | Y=0654.430-0665.670 | đoạn từ Đường tỉnh 777 (đường Trảng Bom - Long Thành)
P=1298 | X=0111.170-0367.410 | Y=0665.950-0677.190 | đến Đường liên ấp 2-3-4 có hiện trạng là đường nhựa, bê
P=1298 | X=0094.820-0171.330 | Y=0676.470-0688.710 | 67 tông xi măng:
P=1298 | X=0406.220-0431.270 | Y=0676.470-0685.790 | 1.200
P=1298 | X=0461.930-0478.570 | Y=0676.470-0685.790 | 840
P=1298 | X=0505.390-0522.030 | Y=0676.470-0685.790 | 720
P=1298 | X=0111.170-0352.280 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1298 | X=0111.170-0153.310 | Y=0708.180-0717.500 | >1.000m.
P=1299 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1299 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1299 | X=0111.170-0381.260 | Y=0107.780-0119.020 | ra Đường ấp 2 đoạn từ Đường tỉnh 777 (đường Trảng Bom -
P=1299 | X=0111.170-0384.220 | Y=0119.330-0130.570 | Long Thành) đến Đường liên ấp 2-3-4 có hiện trạng là đường
P=1299 | X=0111.170-0214.280 | Y=0130.850-0142.090 | nhựa, bê tông xi măng:
P=1299 | X=0094.820-0105.940 | Y=0138.730-0148.050 | 68
P=1299 | X=0406.220-0431.270 | Y=0138.730-0148.050 | 1.400
P=1299 | X=0461.930-0478.570 | Y=0138.730-0148.050 | 980
P=1299 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 840
P=1299 | X=0111.170-0342.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1299 | X=0111.170-0352.280 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1299 | X=0111.170-0144.690 | Y=0177.170-0188.410 | ≤500m.
P=1299 | X=0111.170-0384.680 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1299 | X=0111.170-0381.260 | Y=0206.470-0217.710 | ra Đường ấp 2 đoạn từ Đường tỉnh 777 (đường Trảng Bom -
P=1299 | X=0111.170-0384.220 | Y=0217.990-0229.230 | Long Thành) đến Đường liên ấp 2-3-4 có hiện trạng là đường
P=1299 | X=0111.170-0214.280 | Y=0229.510-0240.750 | nhựa, bê tông xi măng:
P=1299 | X=0094.820-0342.720 | Y=0246.270-0258.270 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1299 | X=0406.220-0431.270 | Y=0246.270-0255.590 | 1.200
P=1299 | X=0461.930-0478.570 | Y=0246.270-0255.590 | 840
P=1299 | X=0505.390-0522.030 | Y=0246.270-0255.590 | 720
P=1299 | X=0111.170-0364.480 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1299 | X=0111.170-0206.120 | Y=0276.070-0287.310 | >500m đến ≤1.000m.
P=1299 | X=0111.170-0334.340 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1299 | X=0111.170-0384.680 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1299 | X=0111.170-0381.260 | Y=0322.900-0334.140 | ra Đường ấp 2 đoạn từ Đường tỉnh 777 (đường Trảng Bom -
P=1299 | X=0111.170-0384.220 | Y=0334.420-0345.660 | Long Thành) đến Đường liên ấp 2-3-4 có hiện trạng là đường
P=1299 | X=0111.170-0214.280 | Y=0345.700-0356.940 | nhựa, bê tông xi măng:
P=1299 | X=0094.820-0105.940 | Y=0353.580-0362.900 | 70
P=1299 | X=0406.220-0431.270 | Y=0353.580-0362.900 | 1.100
P=1299 | X=0461.930-0478.570 | Y=0353.580-0362.900 | 770
P=1299 | X=0505.390-0522.030 | Y=0353.580-0362.900 | 660
P=1299 | X=0111.170-0352.280 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1299 | X=0111.170-0153.310 | Y=0376.640-0385.960 | >1.000m.
P=1299 | X=0111.170-0334.810 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1299 | X=0219.430-0374.830 | Y=0410.040-0421.280 | Đường liên ấp 2- Đường lô cao su
P=1299 | X=0094.820-0165.250 | Y=0415.800-0427.040 | 71 Đường ấp 2
P=1299 | X=0406.220-0431.270 | Y=0417.680-0427.000 | 3.000
P=1299 | X=0453.770-0478.820 | Y=0417.680-0427.000 | 2.100
P=1299 | X=0497.230-0522.280 | Y=0417.680-0427.000 | 1.800
P=1299 | X=0219.430-0233.940 | Y=0423.440-0432.760 | 3-4
P=1299 | X=0300.360-0348.930 | Y=0423.440-0432.760 | xã An Viễn
P=1299 | X=0111.170-0381.820 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2
P=1299 | X=0111.170-0386.620 | Y=0450.860-0462.100 | đoạn từ Đường liên ấp 2-3-4 đến Đường lô cao su xã An Viễn
P=1299 | X=0111.170-0318.020 | Y=0462.380-0473.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1299 | X=0094.820-0105.940 | Y=0476.020-0485.340 | 72
P=1299 | X=0406.220-0431.270 | Y=0476.020-0485.340 | 1.400
P=1299 | X=0461.930-0478.570 | Y=0476.020-0485.340 | 980
P=1299 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 840
P=1299 | X=0111.170-0342.270 | Y=0479.900-0491.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1299 | X=0111.170-0352.280 | Y=0497.420-0508.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1299 | X=0111.170-0144.690 | Y=0508.940-0520.180 | ≤500m.
P=1299 | X=0111.170-0381.820 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2
P=1299 | X=0111.170-0386.620 | Y=0538.010-0549.250 | đoạn từ Đường liên ấp 2-3-4 đến Đường lô cao su xã An Viễn
P=1299 | X=0111.170-0318.020 | Y=0549.530-0560.770 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1299 | X=0094.820-0342.720 | Y=0567.050-0581.370 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1299 | X=0406.220-0431.270 | Y=0572.050-0581.370 | 1.200
P=1299 | X=0461.930-0478.570 | Y=0572.050-0581.370 | 840
P=1299 | X=0505.390-0522.030 | Y=0572.050-0581.370 | 720
P=1299 | X=0111.170-0364.480 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1299 | X=0111.170-0206.120 | Y=0596.090-0607.330 | >500m đến ≤1.000m.
P=1299 | X=0111.170-0334.340 | Y=0613.610-0624.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1299 | X=0111.170-0381.820 | Y=0631.390-0642.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2
P=1299 | X=0111.170-0386.620 | Y=0642.910-0654.150 | đoạn từ Đường liên ấp 2-3-4 đến Đường lô cao su xã An Viễn
P=1299 | X=0111.170-0318.020 | Y=0654.430-0665.670 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1299 | X=0094.820-0105.940 | Y=0668.070-0677.390 | 74
P=1299 | X=0406.220-0431.270 | Y=0668.070-0677.390 | 1.000
P=1299 | X=0461.930-0478.570 | Y=0668.070-0677.390 | 700
P=1299 | X=0505.390-0522.030 | Y=0668.070-0677.390 | 600
P=1299 | X=0111.170-0352.280 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1299 | X=0111.170-0153.310 | Y=0685.350-0694.670 | >1.000m.
P=1299 | X=0111.170-0334.810 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1300 | X=0111.170-0384.680 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1300 | X=0111.170-0371.470 | Y=0090.020-0101.260 | ra Đường ấp 2 đoạn từ Đường liên ấp 2-3-4 đến Đường lô
P=1300 | X=0111.170-0370.750 | Y=0101.540-0112.780 | cao su xã An Viễn có hiện trạng là đường nhựa, bê tông xi
P=1300 | X=0111.170-0139.170 | Y=0113.060-0124.300 | măng:
P=1300 | X=0094.820-0105.940 | Y=0120.970-0130.290 | 75
P=1300 | X=0406.220-0431.270 | Y=0120.970-0130.290 | 1.300
P=1300 | X=0461.930-0478.570 | Y=0120.970-0130.290 | 910
P=1300 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 780
P=1300 | X=0111.170-0342.250 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1300 | X=0111.170-0352.280 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1300 | X=0111.170-0144.690 | Y=0159.410-0170.650 | ≤500m.
P=1300 | X=0111.170-0384.680 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1300 | X=0111.170-0371.470 | Y=0188.690-0199.930 | ra Đường ấp 2 đoạn từ Đường liên ấp 2-3-4 đến Đường lô
P=1300 | X=0111.170-0370.750 | Y=0200.230-0211.470 | cao su xã An Viễn có hiện trạng là đường nhựa, bê tông xi
P=1300 | X=0111.170-0139.170 | Y=0211.750-0222.990 | măng:
P=1300 | X=0094.820-0342.720 | Y=0228.510-0240.510 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1300 | X=0406.220-0431.270 | Y=0228.510-0237.830 | 1.100
P=1300 | X=0461.930-0478.570 | Y=0228.510-0237.830 | 770
P=1300 | X=0505.390-0522.030 | Y=0228.510-0237.830 | 660
P=1300 | X=0111.170-0364.480 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1300 | X=0111.170-0206.120 | Y=0258.310-0269.550 | >500m đến ≤1.000m.
P=1300 | X=0111.170-0334.340 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1300 | X=0111.170-0384.680 | Y=0293.620-0304.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1300 | X=0111.170-0371.470 | Y=0305.140-0316.380 | ra Đường ấp 2 đoạn từ Đường liên ấp 2-3-4 đến Đường lô
