TABLE=019 | AREA=Phường Long Khánh | SECTION=non-agricultural | SEGMENTS=1
P=0663 | X=0090.020-0106.660 | Y=0243.630-0252.950 | 422
P=0663 | X=0424.970-0450.020 | Y=0243.630-0252.950 | 3.400
P=0663 | X=0461.210-0486.260 | Y=0243.630-0252.950 | 2.400
P=0663 | X=0497.230-0522.280 | Y=0243.630-0252.950 | 2.000
P=0663 | X=0106.850-0329.760 | Y=0253.270-0264.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0663 | X=0106.850-0384.020 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0663 | X=0106.850-0407.980 | Y=0288.580-0299.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Du
P=0663 | X=0106.850-0391.190 | Y=0300.100-0311.340 | đoạn từ Đường Thích Quảng Đức đến Đường Trần Phú có hiện
P=0663 | X=0106.850-0278.630 | Y=0311.620-0322.860 | trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0090.020-0330.040 | Y=0329.140-0343.220 | 423 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0663 | X=0424.970-0450.020 | Y=0333.900-0343.220 | 2.400
P=0663 | X=0461.210-0486.260 | Y=0333.900-0343.220 | 1.700
P=0663 | X=0497.230-0522.280 | Y=0333.900-0343.220 | 1.400
P=0663 | X=0106.850-0413.270 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0663 | X=0106.850-0140.370 | Y=0357.940-0369.180 | ≤600m.
P=0663 | X=0106.850-0330.020 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0663 | X=0106.850-0407.980 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Du
P=0663 | X=0106.850-0391.190 | Y=0404.760-0416.000 | đoạn từ Đường Thích Quảng Đức đến Đường Trần Phú có hiện
P=0663 | X=0106.850-0278.630 | Y=0416.280-0427.520 | trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0090.020-0106.660 | Y=0424.160-0433.480 | 424
P=0663 | X=0424.970-0450.020 | Y=0424.160-0433.480 | 1.400
P=0663 | X=0469.370-0486.010 | Y=0424.160-0433.480 | 980
P=0663 | X=0505.390-0522.030 | Y=0424.160-0433.480 | 840
P=0663 | X=0106.850-0384.260 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0663 | X=0106.850-0330.490 | Y=0451.340-0462.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0663 | X=0106.850-0392.110 | Y=0469.100-0480.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0663 | X=0106.850-0399.350 | Y=0480.620-0491.860 | Đường Nguyễn Du đoạn từ Đường Thích Quảng Đức đến Đường
P=0663 | X=0106.850-0357.380 | Y=0492.140-0503.380 | Trần Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0090.020-0106.660 | Y=0500.020-0509.340 | 425
P=0663 | X=0424.970-0450.020 | Y=0500.020-0509.340 | 3.100
P=0663 | X=0461.210-0486.260 | Y=0500.020-0509.340 | 2.200
P=0663 | X=0497.230-0522.280 | Y=0500.020-0509.340 | 1.900
P=0663 | X=0106.850-0329.760 | Y=0509.660-0520.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0663 | X=0106.850-0384.020 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0663 | X=0106.850-0392.110 | Y=0544.970-0556.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0663 | X=0106.850-0399.350 | Y=0556.250-0567.490 | Đường Nguyễn Du đoạn từ Đường Thích Quảng Đức đến Đường
P=0663 | X=0106.850-0357.380 | Y=0567.770-0579.010 | Trần Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0090.020-0330.020 | Y=0585.290-0599.610 | 426 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0663 | X=0424.970-0450.020 | Y=0590.290-0599.610 | 2.200
P=0663 | X=0461.210-0486.260 | Y=0590.290-0599.610 | 1.500
P=0663 | X=0497.230-0522.280 | Y=0590.290-0599.610 | 1.300
P=0663 | X=0106.850-0413.270 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0663 | X=0106.850-0140.370 | Y=0614.330-0625.570 | ≤600m.
P=0663 | X=0106.850-0330.020 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0663 | X=0106.850-0392.110 | Y=0649.630-0660.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0663 | X=0106.850-0399.350 | Y=0661.150-0672.390 | Đường Nguyễn Du đoạn từ Đường Thích Quảng Đức đến Đường
P=0663 | X=0106.850-0357.380 | Y=0672.670-0683.910 | Trần Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=0663 | X=0090.020-0106.660 | Y=0680.550-0689.870 | 427
P=0663 | X=0424.970-0450.020 | Y=0680.550-0689.870 | 1.300
P=0663 | X=0469.370-0486.010 | Y=0680.550-0689.870 | 910
P=0663 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 780
P=0663 | X=0106.850-0384.260 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0663 | X=0106.850-0333.140 | Y=0707.730-0718.970 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0664 | X=0090.020-0213.210 | Y=0078.500-0089.740 | 428 Đường Nguyễn Văn Cừ
P=0664 | X=0235.540-0311.210 | Y=0078.500-0089.740 | Đường Trần Phú
P=0664 | X=0322.200-0450.020 | Y=0078.500-0089.740 | Đường Quang Trung 7.000
P=0664 | X=0461.210-0486.260 | Y=0080.380-0089.700 | 4.900
P=0664 | X=0497.230-0522.280 | Y=0080.380-0089.700 | 4.200
P=0664 | X=0106.850-0413.020 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0664 | X=0106.850-0412.780 | Y=0107.780-0119.020 | Cừ đoạn từ Đường Trần Phú đến Đường Quang Trung có hiện trạng
P=0664 | X=0106.850-0253.180 | Y=0119.330-0130.570 | là đường nhựa, bê tông xi măng:
P=0664 | X=0090.020-0106.660 | Y=0127.210-0136.530 | 429
P=0664 | X=0424.970-0450.020 | Y=0127.210-0136.530 | 3.400
P=0664 | X=0461.210-0486.260 | Y=0127.210-0136.530 | 2.400
P=0664 | X=0497.230-0522.280 | Y=0127.210-0136.530 | 2.000
P=0664 | X=0106.850-0329.760 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0664 | X=0106.850-0384.020 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0664 | X=0106.850-0413.020 | Y=0172.130-0183.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0664 | X=0106.850-0412.780 | Y=0183.410-0194.650 | Cừ đoạn từ Đường Trần Phú đến Đường Quang Trung có hiện trạng
P=0664 | X=0106.850-0253.180 | Y=0194.930-0206.170 | là đường nhựa, bê tông xi măng:
P=0664 | X=0090.020-0330.020 | Y=0212.470-0226.790 | 430 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0664 | X=0424.970-0450.020 | Y=0217.470-0226.790 | 2.800
P=0664 | X=0461.210-0486.260 | Y=0217.470-0226.790 | 2.000
P=0664 | X=0497.230-0522.280 | Y=0217.470-0226.790 | 1.700
P=0664 | X=0106.850-0413.270 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0664 | X=0106.850-0140.370 | Y=0241.510-0252.750 | ≤600m.
P=0664 | X=0106.850-0330.020 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0664 | X=0106.850-0413.020 | Y=0276.790-0288.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0664 | X=0106.850-0412.780 | Y=0288.340-0299.580 | Cừ đoạn từ Đường Trần Phú đến Đường Quang Trung có hiện trạng
P=0664 | X=0106.850-0253.180 | Y=0299.860-0311.100 | là đường nhựa, bê tông xi măng:
P=0664 | X=0090.020-0106.660 | Y=0307.740-0317.060 | 431
P=0664 | X=0424.970-0450.020 | Y=0307.740-0317.060 | 1.400
P=0664 | X=0469.370-0486.010 | Y=0307.740-0317.060 | 980
P=0664 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 840
P=0664 | X=0106.850-0384.300 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0664 | X=0106.850-0330.490 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0664 | X=0106.850-0392.110 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0664 | X=0106.850-0415.430 | Y=0363.940-0375.180 | Đường Nguyễn Văn Cừ đoạn từ Đường Trần Phú đến Đường Quang
P=0664 | X=0106.850-0342.730 | Y=0375.480-0386.720 | Trung có hiện trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0090.020-0106.660 | Y=0383.360-0392.680 | 432
P=0664 | X=0424.970-0450.020 | Y=0383.360-0392.680 | 3.100
P=0664 | X=0461.210-0486.260 | Y=0383.360-0392.680 | 2.200
P=0664 | X=0497.230-0522.280 | Y=0383.360-0392.680 | 1.900
P=0664 | X=0106.850-0329.760 | Y=0393.000-0404.240 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0664 | X=0106.850-0384.020 | Y=0410.520-0421.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0664 | X=0106.850-0392.110 | Y=0428.280-0439.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0664 | X=0106.850-0415.430 | Y=0439.800-0451.040 | Đường Nguyễn Văn Cừ đoạn từ Đường Trần Phú đến Đường Quang
P=0664 | X=0106.850-0342.730 | Y=0451.340-0462.580 | Trung có hiện trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0090.020-0330.020 | Y=0468.860-0482.940 | 433 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0664 | X=0424.970-0450.020 | Y=0473.620-0482.940 | 2.500
P=0664 | X=0461.210-0486.260 | Y=0473.620-0482.940 | 1.800
P=0664 | X=0497.230-0522.280 | Y=0473.620-0482.940 | 1.500
P=0664 | X=0106.850-0413.270 | Y=0486.380-0497.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0664 | X=0106.850-0140.370 | Y=0497.900-0509.140 | ≤600m.
P=0664 | X=0106.850-0330.020 | Y=0515.420-0526.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0664 | X=0106.850-0392.110 | Y=0533.210-0544.450 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0664 | X=0106.850-0415.430 | Y=0544.490-0555.730 | Đường Nguyễn Văn Cừ đoạn từ Đường Trần Phú đến Đường Quang
P=0664 | X=0106.850-0342.730 | Y=0556.010-0567.250 | Trung có hiện trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0090.020-0106.660 | Y=0563.890-0573.210 | 434
P=0664 | X=0424.970-0450.010 | Y=0563.890-0573.210 | 1.300
P=0664 | X=0469.370-0486.010 | Y=0563.890-0573.210 | 910
P=0664 | X=0505.390-0522.030 | Y=0563.890-0573.210 | 780
P=0664 | X=0106.850-0384.260 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0664 | X=0106.850-0333.140 | Y=0591.050-0602.290 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0664 | X=0235.540-0300.190 | Y=0608.810-0620.050 | Đường Quang
P=0664 | X=0322.200-0391.900 | Y=0608.810-0620.050 | Đường Tô Hiến
P=0664 | X=0090.020-0213.210 | Y=0614.570-0625.810 | 435 Đường Nguyễn Văn Cừ
P=0664 | X=0424.970-0450.020 | Y=0616.450-0625.770 | 4.200
P=0664 | X=0461.210-0486.260 | Y=0616.450-0625.770 | 2.900
P=0664 | X=0497.230-0522.280 | Y=0616.450-0625.770 | 2.500
P=0664 | X=0235.540-0261.780 | Y=0622.230-0631.550 | Trung
P=0664 | X=0322.200-0350.610 | Y=0622.230-0631.550 | Thành
P=0664 | X=0106.850-0413.020 | Y=0638.110-0649.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0664 | X=0106.850-0412.310 | Y=0649.630-0660.870 | Cừ đoạn từ Đường Quang Trung đến Đường Tô Hiến Thành có hiện
P=0664 | X=0106.850-0278.670 | Y=0661.150-0672.390 | trạng là đường nhựa, bê tông xi măng:
P=0664 | X=0090.020-0106.660 | Y=0669.030-0678.350 | 436
P=0664 | X=0424.970-0450.020 | Y=0669.030-0678.350 | 2.100
P=0664 | X=0461.210-0486.260 | Y=0669.030-0678.350 | 1.500
P=0664 | X=0497.230-0522.280 | Y=0669.030-0678.350 | 1.300
P=0664 | X=0106.850-0329.760 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0664 | X=0106.850-0384.020 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0665 | X=0106.850-0413.020 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0665 | X=0106.850-0412.310 | Y=0090.020-0101.260 | Cừ đoạn từ Đường Quang Trung đến Đường Tô Hiến Thành có hiện
P=0665 | X=0106.850-0278.630 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0090.020-0330.020 | Y=0119.090-0133.170 | 437 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0665 | X=0424.970-0450.020 | Y=0123.850-0133.170 | 1.700
P=0665 | X=0461.210-0486.260 | Y=0123.850-0133.170 | 1.200
P=0665 | X=0497.230-0522.280 | Y=0123.850-0133.170 | 1.000
P=0665 | X=0106.850-0413.270 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0665 | X=0106.850-0140.370 | Y=0148.130-0159.370 | ≤600m.
P=0665 | X=0106.850-0330.020 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0665 | X=0106.850-0413.020 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0665 | X=0106.850-0412.310 | Y=0194.690-0205.930 | Cừ đoạn từ Đường Quang Trung đến Đường Tô Hiến Thành có hiện
P=0665 | X=0106.850-0278.630 | Y=0206.230-0217.470 | trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0090.020-0106.660 | Y=0214.110-0223.430 | 438
P=0665 | X=0424.970-0450.020 | Y=0214.110-0223.430 | 1.300
P=0665 | X=0469.370-0486.010 | Y=0214.110-0223.430 | 910
P=0665 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 780
P=0665 | X=0106.850-0384.260 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0665 | X=0106.850-0330.490 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0665 | X=0106.850-0392.110 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0665 | X=0106.850-0414.930 | Y=0270.550-0281.790 | Đường Nguyễn Văn Cừ đoạn từ Đường Quang Trung đến Đường Tô
P=0665 | X=0106.850-0367.950 | Y=0282.100-0293.340 | Hiến Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0090.020-0106.660 | Y=0289.980-0299.300 | 439
P=0665 | X=0424.970-0450.020 | Y=0289.980-0299.300 | 1.900
P=0665 | X=0461.210-0486.260 | Y=0289.980-0299.300 | 1.300
P=0665 | X=0497.230-0522.280 | Y=0289.980-0299.300 | 1.100
P=0665 | X=0106.850-0329.760 | Y=0299.620-0310.860 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0665 | X=0106.850-0384.020 | Y=0317.140-0328.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0665 | X=0106.850-0392.110 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0665 | X=0106.850-0414.930 | Y=0346.420-0357.660 | Đường Nguyễn Văn Cừ đoạn từ Đường Quang Trung đến Đường Tô
P=0665 | X=0106.850-0367.950 | Y=0357.700-0368.940 | Hiến Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0090.020-0330.020 | Y=0375.240-0389.560 | 440 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0665 | X=0424.970-0450.020 | Y=0380.240-0389.560 | 1.500
P=0665 | X=0461.210-0486.260 | Y=0380.240-0389.560 | 1.100
P=0665 | X=0505.390-0522.030 | Y=0380.240-0389.560 | 900
P=0665 | X=0106.850-0413.270 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0665 | X=0106.850-0140.370 | Y=0404.280-0415.520 | ≤600m.
P=0665 | X=0106.850-0330.020 | Y=0421.800-0433.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0665 | X=0106.850-0392.110 | Y=0439.560-0450.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0665 | X=0106.850-0414.930 | Y=0451.100-0462.340 | Đường Nguyễn Văn Cừ đoạn từ Đường Quang Trung đến Đường Tô
P=0665 | X=0106.850-0367.950 | Y=0462.620-0473.860 | Hiến Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0090.020-0106.660 | Y=0470.500-0479.820 | 441
P=0665 | X=0424.970-0450.020 | Y=0470.500-0479.820 | 1.200
P=0665 | X=0469.370-0486.010 | Y=0470.500-0479.820 | 840
P=0665 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 720
P=0665 | X=0106.850-0384.260 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0665 | X=0106.850-0333.140 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0665 | X=0322.200-0414.470 | Y=0515.420-0526.660 | Đường Thích Quảng
P=0665 | X=0090.020-0210.710 | Y=0521.180-0532.420 | 442 Đường Lý Thường Kiệt
P=0665 | X=0235.540-0311.210 | Y=0521.180-0532.420 | Đường Trần Phú
P=0665 | X=0424.970-0450.020 | Y=0523.060-0532.380 | 5.600
P=0665 | X=0461.210-0486.260 | Y=0523.060-0532.380 | 3.900
P=0665 | X=0497.230-0522.280 | Y=0523.060-0532.380 | 3.400
P=0665 | X=0322.200-0341.160 | Y=0526.940-0538.180 | Đức
P=0665 | X=0106.850-0407.510 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thường
P=0665 | X=0106.850-0411.110 | Y=0556.010-0567.250 | Kiệt đoạn từ Đường Trần Phú đến Đường Thích Quảng Đức có hiện
P=0665 | X=0106.850-0278.630 | Y=0567.530-0578.770 | trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0090.020-0106.660 | Y=0575.410-0584.730 | 443
P=0665 | X=0424.970-0450.020 | Y=0575.410-0584.730 | 2.700
P=0665 | X=0461.210-0486.260 | Y=0575.410-0584.730 | 1.900
P=0665 | X=0497.230-0522.280 | Y=0575.410-0584.730 | 1.600
P=0665 | X=0106.850-0329.760 | Y=0585.050-0596.290 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0665 | X=0106.850-0384.020 | Y=0602.570-0613.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0665 | X=0106.850-0407.510 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thường
P=0665 | X=0106.850-0411.110 | Y=0631.870-0643.110 | Kiệt đoạn từ Đường Trần Phú đến Đường Thích Quảng Đức có hiện
P=0665 | X=0106.850-0278.630 | Y=0643.390-0654.630 | trạng là đường nhựa, bê tông xi măng:
P=0665 | X=0090.020-0330.020 | Y=0660.910-0674.990 | 444 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0665 | X=0424.970-0450.020 | Y=0665.670-0674.990 | 2.000
P=0665 | X=0461.210-0486.260 | Y=0665.670-0674.990 | 1.400
P=0665 | X=0497.230-0522.280 | Y=0665.670-0674.990 | 1.200
P=0665 | X=0106.850-0413.270 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0665 | X=0106.850-0140.370 | Y=0689.950-0701.190 | ≤600m.
P=0665 | X=0106.850-0330.020 | Y=0707.490-0718.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0666 | X=0106.850-0407.510 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thường
P=0666 | X=0106.850-0411.110 | Y=0090.020-0101.260 | Kiệt đoạn từ Đường Trần Phú đến Đường Thích Quảng Đức có hiện
P=0666 | X=0106.850-0278.630 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0090.020-0106.660 | Y=0109.420-0118.740 | 445
P=0666 | X=0424.970-0450.020 | Y=0109.420-0118.740 | 1.300
P=0666 | X=0469.370-0486.010 | Y=0109.420-0118.740 | 910
P=0666 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 780
P=0666 | X=0106.850-0384.260 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0666 | X=0106.850-0330.490 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0666 | X=0106.850-0392.140 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0666 | X=0106.850-0407.970 | Y=0165.650-0176.890 | Đường Lý Thường Kiệt đoạn từ Đường Trần Phú đến Đường Thích
P=0666 | X=0106.850-0367.950 | Y=0177.170-0188.410 | Quảng Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0090.020-0106.660 | Y=0185.050-0194.370 | 446
P=0666 | X=0424.970-0450.020 | Y=0185.050-0194.370 | 2.400
P=0666 | X=0461.210-0486.260 | Y=0185.050-0194.370 | 1.700
P=0666 | X=0497.230-0522.280 | Y=0185.050-0194.370 | 1.400
P=0666 | X=0106.850-0329.760 | Y=0194.690-0205.930 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0666 | X=0106.850-0384.020 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0666 | X=0106.850-0392.110 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0666 | X=0106.850-0407.970 | Y=0241.510-0252.750 | Đường Lý Thường Kiệt đoạn từ Đường Trần Phú đến Đường Thích
P=0666 | X=0106.850-0367.950 | Y=0253.030-0264.270 | Quảng Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0090.020-0330.020 | Y=0270.550-0284.630 | 447 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0666 | X=0424.970-0450.020 | Y=0275.310-0284.630 | 1.800
P=0666 | X=0461.210-0486.260 | Y=0275.310-0284.630 | 1.300
P=0666 | X=0497.230-0522.280 | Y=0275.310-0284.630 | 1.100
P=0666 | X=0106.850-0413.270 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0666 | X=0106.850-0140.370 | Y=0299.620-0310.860 | ≤600m.
P=0666 | X=0106.850-0330.020 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0666 | X=0106.850-0392.110 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0666 | X=0106.850-0407.970 | Y=0346.420-0357.660 | Đường Lý Thường Kiệt đoạn từ Đường Trần Phú đến Đường Thích
P=0666 | X=0106.850-0367.950 | Y=0357.700-0368.940 | Quảng Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0090.020-0106.660 | Y=0365.580-0374.900 | 448
P=0666 | X=0424.970-0450.020 | Y=0365.580-0374.900 | 1.200
P=0666 | X=0469.370-0486.010 | Y=0365.580-0374.900 | 840
P=0666 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 720
P=0666 | X=0106.850-0384.260 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0666 | X=0106.850-0333.140 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0666 | X=0235.540-0414.470 | Y=0410.520-0421.760 | Đường Phan Chu Đường Thích Quảng
P=0666 | X=0090.020-0208.700 | Y=0416.280-0427.520 | 449 Đường Phan Bội Châu
P=0666 | X=0424.970-0450.020 | Y=0418.160-0427.480 | 3.900
P=0666 | X=0461.210-0486.260 | Y=0418.160-0427.480 | 2.700
P=0666 | X=0497.230-0522.280 | Y=0418.160-0427.480 | 2.300
P=0666 | X=0322.200-0341.160 | Y=0422.040-0433.280 | Đức
P=0666 | X=0235.540-0258.640 | Y=0423.920-0433.240 | Trinh
P=0666 | X=0106.850-0398.620 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Bội
P=0666 | X=0106.850-0411.500 | Y=0451.340-0462.580 | Châu đoạn từ Đường Phan Chu Trinh đến Đường Thích Quảng Đức
P=0666 | X=0106.850-0313.700 | Y=0462.860-0474.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0090.020-0106.660 | Y=0470.740-0480.060 | 450
P=0666 | X=0424.970-0450.020 | Y=0470.740-0480.060 | 2.000
P=0666 | X=0461.210-0486.260 | Y=0470.740-0480.060 | 1.400
P=0666 | X=0497.230-0522.280 | Y=0470.740-0480.060 | 1.200
P=0666 | X=0106.850-0329.760 | Y=0480.380-0491.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0666 | X=0106.850-0384.060 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0666 | X=0106.850-0398.620 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Bội
P=0666 | X=0106.850-0411.500 | Y=0527.180-0538.420 | Châu đoạn từ Đường Phan Chu Trinh đến Đường Thích Quảng Đức
P=0666 | X=0106.850-0313.700 | Y=0538.490-0549.730 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0090.020-0330.020 | Y=0556.010-0570.330 | 451 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0666 | X=0424.970-0450.020 | Y=0561.010-0570.330 | 1.500
P=0666 | X=0461.210-0486.260 | Y=0561.010-0570.330 | 1.100
P=0666 | X=0505.390-0522.030 | Y=0561.010-0570.330 | 900
P=0666 | X=0106.850-0413.270 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0666 | X=0106.850-0140.370 | Y=0585.050-0596.290 | ≤600m.
P=0666 | X=0106.850-0330.020 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0666 | X=0106.850-0398.620 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Bội
