TABLE=002 | AREA=Phường Trấn Biên | SECTION=non-agricultural | SEGMENTS=1
P=0066 | X=0215.110-0276.950 | Y=0447.680-0457.000 | 630m giáp bờ
P=0066 | X=0215.110-0239.840 | Y=0459.220-0468.540 | sông)
P=0066 | X=0114.290-0362.610 | Y=0475.340-0486.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0066 | X=0114.290-0373.180 | Y=0486.860-0498.100 | Đặng Đại Độ đoạn từ Hết thửa đất số 56, tờ BĐĐC số 278
P=0066 | X=0114.290-0388.980 | Y=0498.380-0509.620 | (chiều dài 630m giáp bờ sông) đến Đường Đặng Văn Trơn có
P=0066 | X=0114.290-0307.900 | Y=0509.900-0521.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=0066 | X=0093.380-0110.020 | Y=0517.780-0527.100 | 353
P=0066 | X=0400.700-0425.750 | Y=0517.780-0527.100 | 4.500
P=0066 | X=0437.210-0462.260 | Y=0517.780-0527.100 | 3.200
P=0066 | X=0497.230-0522.280 | Y=0517.780-0527.100 | 2.700
P=0066 | X=0114.290-0337.200 | Y=0527.420-0538.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0066 | X=0114.290-0355.400 | Y=0544.970-0556.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0066 | X=0114.290-0147.810 | Y=0556.250-0567.490 | ≤400m.
P=0066 | X=0114.290-0362.610 | Y=0574.250-0585.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0066 | X=0114.290-0373.180 | Y=0585.770-0597.010 | Đặng Đại Độ đoạn từ Hết thửa đất số 56, tờ BĐĐC số 278
P=0066 | X=0114.290-0388.980 | Y=0597.290-0608.530 | (chiều dài 630m giáp bờ sông) đến Đường Đặng Văn Trơn có
P=0066 | X=0114.290-0307.900 | Y=0608.810-0620.050 | hiện trạng là đường nhựa, bê tông xi măng:
P=0066 | X=0093.380-0337.460 | Y=0625.590-0637.590 | 354 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0066 | X=0400.700-0425.750 | Y=0625.590-0634.910 | 3.700
P=0066 | X=0437.210-0462.260 | Y=0625.590-0634.910 | 2.600
P=0066 | X=0497.230-0522.280 | Y=0625.590-0634.910 | 2.200
P=0066 | X=0114.290-0367.600 | Y=0643.870-0655.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0066 | X=0114.290-0200.840 | Y=0655.390-0666.630 | >400m đến ≤600m.
P=0066 | X=0114.290-0337.460 | Y=0672.910-0684.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0066 | X=0114.290-0362.610 | Y=0690.910-0702.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0066 | X=0093.380-0110.020 | Y=0698.550-0707.870 | 355
P=0066 | X=0400.700-0425.750 | Y=0698.550-0707.870 | 2.600
P=0066 | X=0437.210-0462.260 | Y=0698.550-0707.870 | 1.800
P=0066 | X=0497.230-0522.280 | Y=0698.550-0707.870 | 1.600
P=0066 | X=0114.290-0373.180 | Y=0702.450-0713.690 | Đặng Đại Đô đoạn từ Hết thửa đất số 56, tờ BĐĐC số 278
P=0067 | X=0114.290-0388.980 | Y=0072.740-0083.980 | (chiều dài 630m giáp bờ sông) đến Đường Đặng Văn Trơn có
P=0067 | X=0114.290-0307.900 | Y=0084.260-0095.500 | hiện trạng là đường nhựa, bê tông xi măng:
P=0067 | X=0114.290-0355.400 | Y=0101.780-0113.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0067 | X=0114.290-0148.050 | Y=0115.180-0124.500 | >600m.
P=0067 | X=0114.290-0337.930 | Y=0130.850-0142.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0067 | X=0114.290-0387.800 | Y=0148.850-0160.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0067 | X=0114.290-0386.620 | Y=0160.370-0171.610 | ra Đường Đặng Đại Độ đoạn từ Hết thửa đất số 56, tờ BĐĐC
P=0067 | X=0114.290-0383.960 | Y=0171.650-0182.890 | số 278 (chiều dài 630m giáp bờ sông) đến Đường Đặng Văn
P=0067 | X=0114.290-0345.610 | Y=0183.170-0194.410 | Trơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0067 | X=0093.380-0110.020 | Y=0191.050-0200.370 | 356
P=0067 | X=0400.700-0425.750 | Y=0191.050-0200.370 | 4.100
P=0067 | X=0437.210-0462.260 | Y=0191.050-0200.370 | 2.900
P=0067 | X=0497.230-0522.280 | Y=0191.050-0200.370 | 2.500
P=0067 | X=0114.290-0337.200 | Y=0200.710-0211.950 | - Cố bề rộng ≥5m, cách đường giao thông ≤600m.
P=0067 | X=0114.290-0355.400 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0067 | X=0114.290-0147.810 | Y=0229.750-0240.990 | ≤400m.
P=0067 | X=0114.290-0387.800 | Y=0247.750-0258.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0067 | X=0114.290-0386.620 | Y=0259.270-0270.510 | ra Đường Đặng Đại Độ đoạn từ Hết thửa đất số 56, tờ BĐĐC
P=0067 | X=0114.290-0383.960 | Y=0270.790-0282.030 | số 278 (chiều dài 630m giáp bờ sông) đến Đường Đặng Văn
P=0067 | X=0114.290-0345.610 | Y=0282.340-0293.580 | Trơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0067 | X=0093.380-0337.460 | Y=0298.860-0311.100 | 357 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0067 | X=0400.700-0425.750 | Y=0298.860-0308.180 | 3.300
P=0067 | X=0437.210-0462.260 | Y=0298.860-0308.180 | 2.300
P=0067 | X=0497.230-0522.280 | Y=0298.860-0308.180 | 2.000
P=0067 | X=0114.290-0367.600 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0067 | X=0114.290-0200.840 | Y=0328.900-0340.140 | >400m đến ≤600m.
P=0067 | X=0114.290-0337.460 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0067 | X=0114.290-0387.800 | Y=0364.180-0375.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0067 | X=0114.290-0386.620 | Y=0375.720-0386.960 | ra Đường Đặng Đại Độ đoạn từ Hết thửa đất số 56, tờ BĐĐC
P=0067 | X=0114.290-0383.960 | Y=0387.240-0398.480 | số 278 (chiều dài 630m giáp bờ sông) đến Đường Đặng Văn
P=0067 | X=0114.290-0345.610 | Y=0398.760-0410.000 | Trơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0067 | X=0093.380-0110.020 | Y=0406.640-0415.960 | 358
P=0067 | X=0400.700-0425.750 | Y=0406.640-0415.960 | 2.300
P=0067 | X=0437.210-0462.260 | Y=0406.640-0415.960 | 1.600
P=0067 | X=0497.230-0522.280 | Y=0406.640-0415.960 | 1.400
P=0067 | X=0114.290-0355.400 | Y=0416.280-0427.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0067 | X=0114.290-0148.050 | Y=0429.680-0439.000 | >600m.
P=0067 | X=0114.290-0337.930 | Y=0445.320-0456.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0067 | X=0114.290-0203.910 | Y=0463.340-0474.580 | Đường Nguyễn Văn
P=0067 | X=0215.110-0275.620 | Y=0463.340-0474.580 | Đường Phạm
P=0067 | X=0296.280-0380.380 | Y=0469.100-0480.340 | Đường Võ Thị Sáu
P=0067 | X=0093.380-0110.020 | Y=0470.980-0480.300 | 359
P=0067 | X=0395.180-0462.260 | Y=0470.980-0480.300 | 26.600 18.600
P=0067 | X=0491.710-0522.280 | Y=0470.980-0480.300 | 16.000
P=0067 | X=0215.110-0264.180 | Y=0474.860-0486.100 | Văn Thuận
P=0067 | X=0114.290-0132.620 | Y=0476.740-0486.060 | Hoa
P=0067 | X=0114.290-0362.610 | Y=0492.860-0504.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0067 | X=0114.290-0362.390 | Y=0504.380-0515.620 | Nguyễn Văn Hoa đoạn từ Đường Phạm Văn Thuận đến
P=0067 | X=0114.290-0377.230 | Y=0515.900-0527.140 | Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi
P=0067 | X=0114.290-0142.290 | Y=0527.420-0538.660 | măng:
P=0067 | X=0093.380-0110.020 | Y=0535.330-0544.650 | 360
P=0067 | X=0395.180-0425.750 | Y=0535.330-0544.650 | 14.000
P=0067 | X=0437.210-0462.260 | Y=0535.330-0544.650 | 9.800
P=0067 | X=0497.230-0522.280 | Y=0535.330-0544.650 | 8.400
P=0067 | X=0114.290-0337.230 | Y=0544.970-0556.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0067 | X=0114.290-0355.400 | Y=0562.250-0573.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0067 | X=0114.290-0147.810 | Y=0573.770-0585.010 | ≤400m.
P=0067 | X=0114.290-0362.610 | Y=0591.770-0603.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0067 | X=0114.290-0362.390 | Y=0603.290-0614.530 | Nguyễn Văn Hoa đoạn từ Đường Phạm Văn Thuận đến
P=0067 | X=0114.290-0377.230 | Y=0614.810-0626.050 | Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi
P=0067 | X=0114.290-0142.290 | Y=0626.350-0637.590 | măng:
P=0067 | X=0093.380-0337.460 | Y=0643.110-0655.110 | 361 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0067 | X=0400.700-0425.750 | Y=0643.110-0652.430 | 8.200
P=0067 | X=0437.210-0462.260 | Y=0643.110-0652.430 | 5.700
P=0067 | X=0497.230-0522.280 | Y=0643.110-0652.430 | 4.900
P=0067 | X=0114.290-0367.600 | Y=0661.390-0672.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0067 | X=0114.290-0200.840 | Y=0672.910-0684.150 | >400m đến ≤600m.
P=0067 | X=0114.290-0337.460 | Y=0690.430-0701.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0067 | X=0093.380-0362.610 | Y=0708.450-0719.690 | 362 Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0067 | X=0400.700-0425.750 | Y=0710.340-0719.660 | 5.700
P=0067 | X=0437.210-0462.260 | Y=0710.340-0719.660 | 4.000
P=0067 | X=0497.230-0522.280 | Y=0710.340-0719.660 | 3.400
P=0068 | X=0114.290-0362.390 | Y=0072.740-0083.980 | Nguyễn Văn Hoa đoạn từ Đường Phạm Văn Thuận đến
P=0068 | X=0114.290-0377.230 | Y=0084.260-0095.500 | Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi
P=0068 | X=0114.290-0142.290 | Y=0095.780-0107.020 | măng:
P=0068 | X=0114.290-0355.400 | Y=0113.300-0124.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0068 | X=0114.290-0148.050 | Y=0126.730-0136.050 | >600m.
P=0068 | X=0114.290-0337.930 | Y=0142.370-0153.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0068 | X=0114.290-0387.800 | Y=0160.370-0171.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0068 | X=0114.290-0389.020 | Y=0171.650-0182.890 | ra Đường Nguyễn Văn Hoa đoạn từ Đường Phạm Văn Thuận
P=0068 | X=0114.290-0386.600 | Y=0183.170-0194.410 | đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê tông
P=0068 | X=0114.290-0152.120 | Y=0194.690-0205.930 | xi măng:
P=0068 | X=0093.380-0110.020 | Y=0202.590-0211.910 | 363
P=0068 | X=0395.180-0425.750 | Y=0202.590-0211.910 | 12.600
P=0068 | X=0437.210-0462.260 | Y=0202.590-0211.910 | 8.800
P=0068 | X=0497.230-0522.280 | Y=0202.590-0211.910 | 7.600
P=0068 | X=0114.290-0337.200 | Y=0212.230-0223.470 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0068 | X=0114.290-0355.400 | Y=0229.750-0240.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0068 | X=0114.290-0147.810 | Y=0241.270-0252.510 | ≤400m.
P=0068 | X=0114.290-0387.800 | Y=0259.270-0270.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0068 | X=0114.290-0389.020 | Y=0270.790-0282.030 | ra Đường Nguyễn Văn Hoa đoạn từ Đường Phạm Văn Thuận
P=0068 | X=0114.290-0386.600 | Y=0282.340-0293.580 | đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê tông
P=0068 | X=0114.290-0152.120 | Y=0293.860-0305.100 | xi măng:
P=0068 | X=0093.380-0337.460 | Y=0310.380-0322.620 | 364 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0068 | X=0400.700-0425.750 | Y=0310.380-0319.700 | 7.400
P=0068 | X=0437.210-0462.260 | Y=0310.380-0319.700 | 5.200
P=0068 | X=0497.230-0522.280 | Y=0310.380-0319.700 | 4.400
P=0068 | X=0114.290-0367.600 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0068 | X=0114.290-0200.840 | Y=0340.420-0351.660 | >400m đến ≤600m.
P=0068 | X=0114.290-0337.460 | Y=0357.700-0368.940 | - Cố bề rộng <3m, cách đường giao thông ≤200m.
P=0068 | X=0114.290-0387.800 | Y=0375.720-0386.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0068 | X=0114.290-0389.020 | Y=0387.240-0398.480 | ra Đường Nguyễn Văn Hoa đoạn từ Đường Phạm Văn Thuận
P=0068 | X=0114.290-0386.600 | Y=0398.760-0410.000 | đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê tông
P=0068 | X=0114.290-0152.120 | Y=0410.280-0421.520 | xi măng:
P=0068 | X=0093.380-0110.020 | Y=0418.160-0427.480 | 365
P=0068 | X=0400.700-0425.750 | Y=0418.160-0427.480 | 5.100
P=0068 | X=0437.210-0462.260 | Y=0418.160-0427.480 | 3.600
P=0068 | X=0497.230-0522.280 | Y=0418.160-0427.480 | 3.100
P=0068 | X=0114.290-0355.400 | Y=0427.800-0439.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0068 | X=0114.290-0148.050 | Y=0441.200-0450.520 | >600m.
P=0068 | X=0114.290-0340.580 | Y=0456.860-0468.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0068 | X=0221.590-0285.060 | Y=0474.860-0486.100 | Đường Võ Thị
P=0068 | X=0299.400-0385.180 | Y=0476.740-0486.060 | Ranh phường Trấn
P=0068 | X=0093.380-0220.470 | Y=0480.620-0491.860 | 366 Đường Huỳnh Văn Hớn
P=0068 | X=0395.180-0462.260 | Y=0482.500-0491.820 | 25.400 17.800
P=0068 | X=0491.710-0522.280 | Y=0482.500-0491.820 | 15.200
P=0068 | X=0221.590-0239.430 | Y=0488.260-0497.580 | Sáu
P=0068 | X=0299.400-0319.640 | Y=0488.260-0497.580 | Biên
P=0068 | X=0114.290-0362.610 | Y=0504.380-0515.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0068 | X=0114.290-0356.130 | Y=0515.900-0527.140 | Huỳnh Văn Hớn đoạn từ Đường Võ Thị Sáu đến Ranh
P=0068 | X=0114.290-0375.080 | Y=0527.420-0538.660 | phường Trấn Biên có hiện trạng là đường nhựa, bê tông xi
P=0068 | X=0114.290-0142.290 | Y=0538.970-0550.210 | măng:
P=0068 | X=0093.380-0110.020 | Y=0546.850-0556.170 | 367
P=0068 | X=0395.180-0425.750 | Y=0546.850-0556.170 | 14.000
P=0068 | X=0437.210-0462.260 | Y=0546.850-0556.170 | 9.800
P=0068 | X=0497.230-0522.280 | Y=0546.850-0556.170 | 8.400
P=0068 | X=0114.290-0337.200 | Y=0556.250-0567.490 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0068 | X=0114.290-0355.400 | Y=0573.770-0585.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0068 | X=0114.290-0147.810 | Y=0585.290-0596.530 | ≤400m.
P=0068 | X=0114.290-0362.610 | Y=0603.290-0614.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0068 | X=0114.290-0356.130 | Y=0614.810-0626.050 | Huỳnh Văn Hớn đoạn từ Đường Võ Thị Sáu đến Ranh
P=0068 | X=0114.290-0375.080 | Y=0626.350-0637.590 | phường Trấn Biên có hiện trạng là đường nhựa, bê tông xi
P=0068 | X=0114.290-0142.290 | Y=0637.870-0649.110 | măng:
P=0068 | X=0093.380-0337.480 | Y=0654.390-0666.630 | 368 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0068 | X=0395.180-0425.750 | Y=0654.390-0663.710 | 10.200
P=0068 | X=0437.210-0462.260 | Y=0654.390-0663.710 | 7.100
P=0068 | X=0497.230-0522.280 | Y=0654.390-0663.710 | 6.100
P=0068 | X=0114.290-0367.600 | Y=0672.910-0684.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0068 | X=0114.290-0200.840 | Y=0684.430-0695.670 | >400m đến ≤600m.
P=0068 | X=0114.290-0337.460 | Y=0701.970-0713.210 | - Cố bề rộng <3m, cách đường giao thông ≤200m.
P=0069 | X=0114.290-0362.610 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0069 | X=0114.290-0356.130 | Y=0090.260-0101.500 | Huỳnh Văn Hớn đoạn từ Đường Võ Thị Sáu đến Ranh
P=0069 | X=0114.290-0375.080 | Y=0101.780-0113.020 | phường Trấn Biên có hiện trạng là đường nhựa, bê tông xi
P=0069 | X=0114.290-0142.290 | Y=0113.300-0124.540 | măng:
P=0069 | X=0093.380-0110.020 | Y=0121.210-0130.530 | 369
P=0069 | X=0400.700-0425.750 | Y=0121.210-0130.530 | 5.700
P=0069 | X=0437.210-0462.260 | Y=0121.210-0130.530 | 4.000
P=0069 | X=0497.230-0522.280 | Y=0121.210-0130.530 | 3.400
P=0069 | X=0114.290-0355.400 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0069 | X=0114.290-0148.050 | Y=0144.250-0153.570 | >600m.
P=0069 | X=0114.290-0337.930 | Y=0159.650-0170.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0069 | X=0114.290-0387.800 | Y=0177.650-0188.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0069 | X=0114.290-0375.340 | Y=0189.170-0200.410 | ra Đường Huỳnh Văn Hớn đoạn từ Đường Võ Thị Sáu đến
P=0069 | X=0114.290-0369.340 | Y=0200.710-0211.950 | Ranh phường Trấn Biên có hiện trạng là đường nhựa, bê
P=0069 | X=0114.290-0174.450 | Y=0212.230-0223.470 | tông xi măng:
P=0069 | X=0093.380-0110.020 | Y=0220.110-0229.430 | 370
P=0069 | X=0395.180-0425.750 | Y=0220.110-0229.430 | 12.600
P=0069 | X=0437.210-0462.260 | Y=0220.110-0229.430 | 8.800
P=0069 | X=0497.230-0522.280 | Y=0220.110-0229.430 | 7.600
P=0069 | X=0114.290-0337.200 | Y=0229.750-0240.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0069 | X=0114.290-0355.400 | Y=0247.270-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0069 | X=0114.290-0147.810 | Y=0258.790-0270.030 | ≤400m.
P=0069 | X=0114.290-0387.800 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0069 | X=0114.290-0375.340 | Y=0288.340-0299.580 | ra Đường Huỳnh Văn Hớn đoạn từ Đường Võ Thị Sáu đến
P=0069 | X=0114.290-0369.340 | Y=0299.860-0311.100 | Ranh phường Trấn Biên có hiện trạng là đường nhựa, bê
P=0069 | X=0114.290-0174.450 | Y=0311.380-0322.620 | tông xi măng:
P=0069 | X=0093.380-0337.460 | Y=0327.900-0340.140 | 371 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0069 | X=0400.700-0425.750 | Y=0327.900-0337.220 | 9.200
P=0069 | X=0437.210-0462.260 | Y=0327.900-0337.220 | 6.400
P=0069 | X=0497.230-0522.280 | Y=0327.900-0337.220 | 5.500
P=0069 | X=0114.290-0367.610 | Y=0346.420-0357.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0069 | X=0114.290-0200.840 | Y=0357.700-0368.940 | >400m đến ≤600m.
P=0069 | X=0114.290-0337.460 | Y=0375.240-0386.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0069 | X=0114.290-0387.800 | Y=0393.240-0404.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0069 | X=0114.290-0375.340 | Y=0404.760-0416.000 | ra Đường Huỳnh Văn Hớn đoạn từ Đường Võ Thị Sáu đến
P=0069 | X=0114.290-0369.330 | Y=0416.280-0427.520 | Ranh phường Trấn Biên có hiện trạng là đường nhựa, bê
P=0069 | X=0114.290-0174.450 | Y=0427.800-0439.040 | tông xi măng:
P=0069 | X=0093.380-0110.020 | Y=0435.680-0445.000 | 372
P=0069 | X=0400.700-0425.750 | Y=0435.680-0445.000 | 5.100
P=0069 | X=0437.210-0462.260 | Y=0435.680-0445.000 | 3.600
P=0069 | X=0497.230-0522.280 | Y=0435.680-0445.000 | 3.100
P=0069 | X=0114.290-0355.400 | Y=0445.320-0456.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0069 | X=0114.290-0148.050 | Y=0458.740-0468.060 | >600m.
P=0069 | X=0114.290-0340.580 | Y=0474.380-0485.620 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0069 | X=0114.290-0207.270 | Y=0492.380-0503.620 | Đường nối từ đường
P=0069 | X=0215.110-0294.180 | Y=0498.140-0509.380 | Đường Đặng Văn
P=0069 | X=0093.380-0202.720 | Y=0503.900-0515.140 | 373 Đặng Văn Trơn đến
P=0069 | X=0296.280-0357.570 | Y=0505.780-0515.100 | Cầu Bửu Hòa
P=0069 | X=0395.180-0462.260 | Y=0505.780-0515.100 | 20.100 14.100
P=0069 | X=0491.710-0522.280 | Y=0505.780-0515.100 | 12.100
P=0069 | X=0215.110-0237.010 | Y=0509.660-0520.900 | Trơn
P=0069 | X=0114.290-0173.420 | Y=0517.300-0526.620 | cầu Bửu Hòa
P=0069 | X=0114.290-0378.700 | Y=0533.450-0544.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nối
P=0069 | X=0114.290-0384.460 | Y=0544.970-0556.210 | từ đường Đặng Văn Trơn đến cầu Bửu Hòa (đoạn từ Đường
P=0069 | X=0114.290-0373.900 | Y=0556.250-0567.490 | Đặng Văn Trơn đến Cầu Bửu Hòa) có hiện trạng là đường
P=0069 | X=0114.290-0217.400 | Y=0567.770-0579.010 | nhựa, bê tông xi măng:
P=0069 | X=0093.380-0110.020 | Y=0575.650-0584.970 | 374
P=0069 | X=0400.700-0425.750 | Y=0575.650-0584.970 | 9.500
P=0069 | X=0437.210-0462.260 | Y=0575.650-0584.970 | 6.700
P=0069 | X=0497.230-0522.280 | Y=0575.650-0584.970 | 5.700
P=0069 | X=0114.290-0337.200 | Y=0585.290-0596.530 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0069 | X=0114.290-0355.400 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0069 | X=0114.290-0147.810 | Y=0614.330-0625.570 | ≤400m.
P=0069 | X=0114.290-0378.700 | Y=0632.350-0643.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nối
P=0069 | X=0114.290-0386.620 | Y=0643.870-0655.110 | từ đường Đặng Văn Trơn đến Cầu Bửu Hòa (đoạn từ Đường
P=0069 | X=0114.290-0373.900 | Y=0655.390-0666.630 | Đặng Văn Trơn đến Cầu Bửu Hòa) có hiện trạng là đường
P=0069 | X=0093.380-0217.400 | Y=0666.910-0678.350 | 375 nhựa, bê tông xi măng:
P=0069 | X=0400.700-0425.740 | Y=0669.030-0678.350 | 4.100
P=0069 | X=0437.210-0462.260 | Y=0669.030-0678.350 | 2.900
P=0069 | X=0497.230-0522.280 | Y=0669.030-0678.350 | 2.500
P=0069 | X=0114.290-0337.460 | Y=0684.430-0695.670 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0069 | X=0114.290-0367.600 | Y=0701.970-0713.210 | - Có bê rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0070 | X=0114.290-0200.840 | Y=0072.740-0083.980 | >400m đến ≤600m.
P=0070 | X=0114.290-0337.460 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0070 | X=0114.290-0378.700 | Y=0108.260-0119.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nối
P=0070 | X=0114.290-0384.460 | Y=0119.810-0131.050 | từ đường Đặng Văn Trơn đến cầu Bửu Hòa (đoạn từ Đường
P=0070 | X=0114.290-0371.740 | Y=0131.330-0142.570 | Đặng Văn Trơn đến cầu Bửu Hòa) có hiện trạng là đường
P=0070 | X=0114.290-0217.400 | Y=0142.850-0154.090 | nhựa, bê tông xi măng:
P=0070 | X=0093.380-0110.020 | Y=0150.730-0160.050 | 376
P=0070 | X=0400.700-0425.750 | Y=0150.730-0160.050 | 3.100
P=0070 | X=0437.210-0462.260 | Y=0150.730-0160.050 | 2.200
P=0070 | X=0497.230-0522.280 | Y=0150.730-0160.050 | 1.900
P=0070 | X=0114.290-0355.400 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0070 | X=0114.290-0148.050 | Y=0173.530-0182.850 | >600m.
P=0070 | X=0114.290-0337.930 | Y=0189.170-0200.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0070 | X=0114.290-0387.800 | Y=0207.190-0218.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0070 | X=0114.290-0373.650 | Y=0218.710-0229.950 | ra Đường nối từ đường Đặng Văn Trơn đến Cầu Bửu Hòa
P=0070 | X=0114.290-0380.150 | Y=0230.230-0241.470 | (đoạn từ Đường Đặng Văn Trơn đến Cầu Bửu Hòa) có hiện
P=0070 | X=0114.290-0286.070 | Y=0241.750-0252.990 | trạng là đường nhựa, bê tông xi măng:
P=0070 | X=0093.380-0110.020 | Y=0249.630-0258.950 | 377
P=0070 | X=0400.700-0425.750 | Y=0249.630-0258.950 | 8.600
P=0070 | X=0437.210-0462.260 | Y=0249.630-0258.950 | 6.000
P=0070 | X=0497.230-0522.280 | Y=0249.630-0258.950 | 5.200
P=0070 | X=0114.290-0337.200 | Y=0259.270-0270.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0070 | X=0114.290-0355.400 | Y=0276.790-0288.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0070 | X=0114.290-0147.810 | Y=0288.340-0299.580 | ≤400m.
P=0070 | X=0114.290-0387.800 | Y=0306.340-0317.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0070 | X=0114.290-0371.490 | Y=0317.860-0329.100 | ra Đường nối từ đường Đặng Văn Trơn đến cầu Bửu Hòa
P=0070 | X=0114.290-0380.150 | Y=0329.380-0340.620 | (đoạn từ Đường Đặng Văn Trơn đến Cầu Bửu Hòa) có hiện
P=0070 | X=0114.290-0286.100 | Y=0340.900-0352.140 | trạng là đường nhựa, bê tông xi măng:
P=0070 | X=0093.380-0337.460 | Y=0357.420-0369.420 | 378 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0070 | X=0400.700-0425.750 | Y=0357.420-0366.740 | 3.700
