TABLE=009 | AREA=Phường Phước Tân | SECTION=non-agricultural | SEGMENTS=1
P=0331 | X=0112.850-0364.060 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0331 | X=0112.850-0378.140 | Y=0584.570-0595.810 | 51 đoạn từ Cầu Sông Buông đến Giáp ranh phường Phước
P=0331 | X=0112.850-0339.850 | Y=0596.090-0607.330 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0331 | X=0095.810-0106.930 | Y=0609.730-0619.050 | 53
P=0331 | X=0397.820-0422.870 | Y=0609.730-0619.050 | 3.100
P=0331 | X=0446.330-0471.380 | Y=0609.730-0619.050 | 2.200
P=0331 | X=0497.230-0522.280 | Y=0609.730-0619.050 | 1.900
P=0331 | X=0112.850-0353.960 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0331 | X=0112.850-0146.610 | Y=0627.030-0636.350 | >600m.
P=0331 | X=0112.850-0336.490 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0331 | X=0112.850-0358.760 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0331 | X=0112.850-0360.440 | Y=0671.950-0683.190 | thông ra Quốc lộ 51 đoạn từ Cầu Sông Buông đến Giáp
P=0331 | X=0095.810-0106.930 | Y=0679.590-0688.910 | 54
P=0331 | X=0397.820-0422.870 | Y=0679.590-0688.910 | 5.300
P=0331 | X=0446.330-0471.370 | Y=0679.590-0688.910 | 3.700
P=0331 | X=0497.230-0522.280 | Y=0679.590-0688.910 | 3.200
P=0331 | X=0112.850-0371.250 | Y=0683.470-0694.710 | ranh phường Phước Tân có hiện trạng là đường nhựa, bê
P=0331 | X=0112.850-0173.010 | Y=0694.750-0705.990 | tông xi măng:
P=0332 | X=0112.850-0335.760 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0332 | X=0112.850-0353.960 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0332 | X=0112.850-0146.370 | Y=0107.540-0118.780 | ≤400m.
P=0332 | X=0112.850-0358.760 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0332 | X=0112.850-0360.440 | Y=0136.850-0148.090 | thông ra Quốc lộ 51 đoạn từ Cầu Sông Buông đến Giáp
P=0332 | X=0112.850-0371.250 | Y=0148.370-0159.610 | ranh phường Phước Tân có hiện trạng là đường nhựa, bê
P=0332 | X=0112.850-0173.010 | Y=0159.650-0170.890 | tông xi măng:
P=0332 | X=0095.810-0336.020 | Y=0176.410-0188.410 | 55 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0332 | X=0397.820-0422.870 | Y=0176.410-0185.730 | 4.100
P=0332 | X=0446.330-0471.380 | Y=0176.410-0185.730 | 2.900
P=0332 | X=0497.230-0522.280 | Y=0176.410-0185.730 | 2.500
P=0332 | X=0112.850-0366.160 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0332 | X=0112.850-0199.400 | Y=0206.230-0217.470 | >400m đến ≤600m.
P=0332 | X=0112.850-0336.020 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0332 | X=0112.850-0358.760 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0332 | X=0112.850-0360.440 | Y=0253.030-0264.270 | thông ra Quốc lộ 51 đoạn từ Cầu Sông Buông đến Giáp
P=0332 | X=0112.850-0371.250 | Y=0264.550-0275.790 | ranh phường Phước Tân có hiện trạng là đường nhựa, bê
P=0332 | X=0112.850-0173.010 | Y=0276.070-0287.310 | tông xi măng:
P=0332 | X=0095.810-0106.930 | Y=0283.980-0293.300 | 56
P=0332 | X=0397.820-0422.870 | Y=0283.980-0293.300 | 2.800
P=0332 | X=0446.330-0471.380 | Y=0283.980-0293.300 | 2.000
P=0332 | X=0497.230-0522.280 | Y=0283.980-0293.300 | 1.700
P=0332 | X=0112.850-0353.960 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0332 | X=0112.850-0146.610 | Y=0307.020-0316.340 | >600m.
P=0332 | X=0112.850-0339.140 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0332 | X=0297.240-0374.150 | Y=0340.420-0351.660 | Hết ranh phường
P=0332 | X=0112.850-0204.070 | Y=0351.700-0362.940 | Đường Phước Tân -
P=0332 | X=0297.240-0372.420 | Y=0351.700-0362.940 | Phước Tân, giáp
P=0332 | X=0095.810-0106.930 | Y=0359.340-0368.660 | 57
P=0332 | X=0211.030-0259.620 | Y=0359.340-0368.660 | Quốc lộ 51
P=0332 | X=0392.300-0422.870 | Y=0359.340-0368.660 | 10.200
P=0332 | X=0446.330-0471.380 | Y=0359.340-0368.660 | 7.100
P=0332 | X=0497.230-0522.280 | Y=0359.340-0368.660 | 6.100
P=0332 | X=0112.850-0162.860 | Y=0363.220-0374.460 | Long Hưng
P=0332 | X=0297.240-0355.640 | Y=0363.220-0374.460 | ranh phường
P=0332 | X=0297.240-0347.250 | Y=0374.760-0386.000 | Long Hưng
P=0332 | X=0112.850-0361.170 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0332 | X=0112.850-0371.250 | Y=0404.040-0415.280 | Phước Tân - Long Hưng đoạn từ Quốc lộ 51 đến Hết ranh
P=0332 | X=0112.850-0375.100 | Y=0415.560-0426.800 | phường Phước Tân, giáp ranh phường Long Hưng có hiện
P=0332 | X=0112.850-0284.630 | Y=0427.080-0438.320 | trạng là đường nhựa, bê tông xi măng:
P=0332 | X=0095.810-0106.930 | Y=0434.960-0444.280 | 58
P=0332 | X=0397.820-0422.870 | Y=0434.960-0444.280 | 5.100
P=0332 | X=0446.330-0471.380 | Y=0434.960-0444.280 | 3.600
P=0332 | X=0497.230-0522.280 | Y=0434.960-0444.280 | 3.100
P=0332 | X=0112.850-0335.770 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0332 | X=0112.850-0353.960 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0332 | X=0112.850-0146.370 | Y=0473.660-0484.900 | ≤400m.
P=0332 | X=0112.850-0361.170 | Y=0491.420-0502.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0332 | X=0112.850-0371.250 | Y=0502.940-0514.180 | Phước Tân - Long Hưng đoạn từ Quốc lộ 51 đến Hết ranh
P=0332 | X=0112.850-0375.100 | Y=0514.220-0525.460 | phường Phước Tân, giáp ranh phường Long Hưng có hiện
P=0332 | X=0112.850-0284.630 | Y=0525.740-0536.980 | trạng là đường nhựa, bê tông xi măng:
P=0332 | X=0095.810-0336.020 | Y=0542.530-0554.530 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0332 | X=0397.820-0422.870 | Y=0542.530-0551.850 | 3.700
P=0332 | X=0446.330-0471.380 | Y=0542.530-0551.850 | 2.600
P=0332 | X=0497.230-0522.280 | Y=0542.530-0551.850 | 2.200
P=0332 | X=0112.850-0366.160 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0332 | X=0112.850-0199.400 | Y=0572.330-0583.570 | >400m đến ≤600m.
P=0332 | X=0112.850-0336.020 | Y=0589.850-0601.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0332 | X=0112.850-0361.170 | Y=0607.610-0618.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0332 | X=0112.850-0371.250 | Y=0619.150-0630.390 | Phước Tân - Long Hưng đoạn từ Quốc lộ 51 đến Hết ranh
P=0332 | X=0112.850-0375.100 | Y=0630.670-0641.910 | phường Phước Tân, giáp ranh phường Long Hưng có hiện
P=0332 | X=0112.850-0284.630 | Y=0642.190-0653.430 | trạng là đường nhựa, bê tông xi măng:
P=0332 | X=0095.810-0106.930 | Y=0650.070-0659.390 | 60
P=0332 | X=0397.820-0422.870 | Y=0650.070-0659.390 | 2.300
P=0332 | X=0446.330-0471.380 | Y=0650.070-0659.390 | 1.600
P=0332 | X=0497.230-0522.280 | Y=0650.070-0659.390 | 1.400
P=0332 | X=0112.850-0353.960 | Y=0659.710-0670.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0332 | X=0112.850-0146.610 | Y=0673.110-0682.430 | >600m.
P=0332 | X=0112.850-0336.500 | Y=0688.510-0699.750 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0332 | X=0095.810-0358.760 | Y=0706.290-0717.530 | 61 Các tuyến đường giao thông không đấu nối trực tiếp và
P=0332 | X=0397.820-0422.870 | Y=0708.180-0717.500 | 4.600
P=0332 | X=0446.330-0471.380 | Y=0708.180-0717.500 | 3.200
P=0332 | X=0497.230-0522.280 | Y=0708.180-0717.500 | 2.800
P=0333 | X=0112.850-0371.020 | Y=0072.500-0083.740 | thông ra Đường Phước Tân - Long Hưng đoạn từ Quốc lộ
P=0333 | X=0112.850-0361.650 | Y=0084.020-0095.260 | 51 đến Hết ranh phường Phước Tân, giáp ranh phường
P=0333 | X=0112.850-0372.270 | Y=0095.540-0106.780 | Long Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0333 | X=0112.850-0335.760 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0333 | X=0112.850-0353.960 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0333 | X=0112.850-0146.370 | Y=0142.130-0153.370 | ≤400m.
P=0333 | X=0112.850-0358.760 | Y=0159.650-0170.890 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0333 | X=0112.850-0371.020 | Y=0171.170-0182.410 | thông ra Đường Phước Tân - Long Hưng đoạn từ Quốc lộ
P=0333 | X=0112.850-0361.650 | Y=0182.690-0193.930 | 51 đến Hết ranh phường Phước Tân, giáp ranh phường
P=0333 | X=0112.850-0372.270 | Y=0194.210-0205.450 | Long Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0333 | X=0095.810-0336.020 | Y=0210.990-0222.990 | 62 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0333 | X=0397.820-0422.870 | Y=0210.990-0220.310 | 3.300
P=0333 | X=0446.330-0471.370 | Y=0210.990-0220.310 | 2.300
P=0333 | X=0497.230-0522.280 | Y=0210.990-0220.310 | 2.000
P=0333 | X=0112.850-0366.160 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0333 | X=0112.850-0199.400 | Y=0240.790-0252.030 | >400m đến ≤600m.
P=0333 | X=0112.850-0336.020 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0333 | X=0112.850-0358.760 | Y=0276.070-0287.310 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0333 | X=0112.850-0371.020 | Y=0287.620-0298.860 | thông ra Đường Phước Tân - Long Hưng đoạn từ Quốc lộ
P=0333 | X=0112.850-0361.650 | Y=0299.140-0310.380 | 51 đến Hết ranh phường Phước Tân, giáp ranh phường
P=0333 | X=0112.850-0372.270 | Y=0310.660-0321.900 | Long Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0333 | X=0095.810-0106.930 | Y=0318.540-0327.860 | 63
P=0333 | X=0397.820-0422.870 | Y=0318.540-0327.860 | 2.100
P=0333 | X=0446.330-0471.380 | Y=0318.540-0327.860 | 1.500
P=0333 | X=0497.230-0522.280 | Y=0318.540-0327.860 | 1.300
P=0333 | X=0112.850-0353.960 | Y=0327.940-0339.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0333 | X=0112.850-0146.610 | Y=0341.340-0350.660 | >600m.
P=0333 | X=0112.850-0339.140 | Y=0356.980-0368.220 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0333 | X=0297.240-0375.910 | Y=0374.760-0386.000 | Hết ranh thửa đất
P=0333 | X=0297.240-0373.400 | Y=0386.280-0397.520 | số 117, tờ BĐĐC
P=0333 | X=0297.240-0360.200 | Y=0399.680-0409.000 | số 102 về bên
P=0333 | X=0297.240-0369.080 | Y=0411.200-0420.520 | phải và hết ranh
P=0333 | X=0095.810-0189.720 | Y=0420.840-0432.080 | 64 Đường Nam Cao
P=0333 | X=0297.240-0370.130 | Y=0420.840-0432.080 | thửa đất số 120,
P=0333 | X=0211.030-0259.620 | Y=0422.720-0432.040 | Quốc lộ 51
P=0333 | X=0392.300-0422.870 | Y=0422.720-0432.040 | 10.200
P=0333 | X=0446.330-0471.380 | Y=0422.720-0432.040 | 7.100
P=0333 | X=0497.230-0522.280 | Y=0422.720-0432.040 | 6.100
P=0333 | X=0297.240-0370.520 | Y=0432.360-0443.600 | tờ BĐĐC số 102
P=0333 | X=0297.240-0346.840 | Y=0445.760-0455.080 | về bên trái,
P=0333 | X=0297.240-0366.140 | Y=0455.420-0466.660 | phường Phước
P=0333 | X=0297.240-0314.600 | Y=0468.820-0478.140 | Tân
P=0333 | X=0112.850-0361.170 | Y=0484.460-0495.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0333 | X=0112.850-0357.560 | Y=0495.980-0507.220 | Nam Cao đoạn từ Quốc lộ 51 đến Hết ranh thửa đất số
P=0333 | X=0112.850-0368.860 | Y=0507.500-0518.740 | 117, tờ BĐĐC số 102 về bên phải và hết ranh thửa đất số
P=0333 | X=0112.850-0365.470 | Y=0519.020-0530.260 | 120, tờ BĐĐC số 102 về bên trái, phường Phước Tân có
P=0333 | X=0095.810-0306.490 | Y=0530.540-0541.980 | 65 hiện trạng là đường nhựa, bê tông xi măng:
P=0333 | X=0397.820-0422.870 | Y=0532.660-0541.980 | 5.100
P=0333 | X=0446.330-0471.380 | Y=0532.660-0541.980 | 3.600
P=0333 | X=0497.230-0522.280 | Y=0532.660-0541.980 | 3.100
P=0333 | X=0112.850-0335.760 | Y=0548.090-0559.330 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0333 | X=0112.850-0353.960 | Y=0565.610-0576.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0333 | X=0112.850-0146.370 | Y=0577.130-0588.370 | ≤400m.
P=0333 | X=0112.850-0361.170 | Y=0594.890-0606.130 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0333 | X=0112.850-0357.560 | Y=0606.410-0617.650 | Nam Cao đoạn từ Quốc lộ 51 đến Hết ranh thửa đất số
P=0333 | X=0112.850-0368.860 | Y=0617.950-0629.190 | 117, tờ BĐĐC số 102 về bên phải và hết ranh thửa đất số
P=0333 | X=0112.850-0365.470 | Y=0629.470-0640.710 | 120, tờ BĐĐC số 102 về bên trái, phường Phước Tân có
P=0333 | X=0112.850-0306.460 | Y=0640.750-0651.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=0333 | X=0095.810-0106.930 | Y=0651.750-0661.070 | 66
P=0333 | X=0397.820-0422.870 | Y=0651.750-0661.070 | 3.700
P=0333 | X=0446.330-0471.380 | Y=0651.750-0661.070 | 2.600
P=0333 | X=0497.230-0522.280 | Y=0651.750-0661.070 | 2.200
P=0333 | X=0112.850-0336.020 | Y=0658.270-0669.510 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0333 | X=0112.850-0366.160 | Y=0675.790-0687.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0333 | X=0112.850-0199.400 | Y=0687.310-0698.550 | >400m đến ≤600m.
P=0333 | X=0112.850-0336.020 | Y=0704.850-0716.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0334 | X=0112.850-0361.170 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0334 | X=0112.850-0357.560 | Y=0090.020-0101.260 | Nam Cao đoạn từ Quốc lộ 51 đến Hết ranh thửa đất số
P=0334 | X=0112.850-0368.860 | Y=0101.540-0112.780 | 117, tờ BĐĐC số 102 về bên phải và hết ranh thửa đất số
P=0334 | X=0112.850-0365.470 | Y=0113.060-0124.300 | 120, tờ BĐĐC số 102 về bên trái, phường Phước Tân có
P=0334 | X=0095.810-0306.460 | Y=0124.610-0136.050 | 67 hiện trạng là đường nhựa, bê tông xi măng:
P=0334 | X=0397.820-0422.870 | Y=0126.730-0136.050 | 2.300
P=0334 | X=0446.330-0471.380 | Y=0126.730-0136.050 | 1.600
P=0334 | X=0497.230-0522.280 | Y=0126.730-0136.050 | 1.400
P=0334 | X=0112.850-0353.960 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0334 | X=0112.850-0146.610 | Y=0155.290-0164.610 | >600m.
P=0334 | X=0112.850-0336.490 | Y=0170.930-0182.170 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0334 | X=0112.850-0358.760 | Y=0188.690-0199.930 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0334 | X=0112.850-0355.250 | Y=0200.230-0211.470 | thông ra Đường Nam Cao đoạn từ Quốc lộ 51 đến Hết
P=0334 | X=0112.850-0368.940 | Y=0211.750-0222.990 | ranh thửa đất số 117, tờ BĐĐC số 102 về bên phải và hết
P=0334 | X=0112.850-0375.350 | Y=0223.270-0234.510 | ranh thửa đất số 120, tờ BĐĐC số 102 về bên trái, phường
P=0334 | X=0095.810-0372.750 | Y=0234.790-0246.230 | 68 Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0334 | X=0397.820-0422.870 | Y=0236.910-0246.230 | 4.600
P=0334 | X=0446.330-0471.380 | Y=0236.910-0246.230 | 3.200
P=0334 | X=0497.230-0522.280 | Y=0236.910-0246.230 | 2.800
P=0334 | X=0112.850-0335.770 | Y=0252.310-0263.550 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0334 | X=0112.850-0353.960 | Y=0269.830-0281.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0334 | X=0112.850-0146.370 | Y=0281.380-0292.620 | ≤400m.
P=0334 | X=0112.850-0358.760 | Y=0299.140-0310.380 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0334 | X=0112.850-0355.250 | Y=0310.660-0321.900 | thông ra Đường Nam Cao đoạn từ Quốc lộ 51 đến Hết
P=0334 | X=0112.850-0368.940 | Y=0321.940-0333.180 | ranh thửa đất số 117, tờ BĐĐC số 102 về bên phải và hết
P=0334 | X=0112.850-0375.350 | Y=0333.460-0344.700 | ranh thửa đất số 120, tờ BĐĐC số 102 về bên trái, phường
P=0334 | X=0112.850-0372.750 | Y=0344.980-0356.220 | Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0334 | X=0095.810-0106.930 | Y=0355.980-0365.300 | 69
P=0334 | X=0397.820-0422.870 | Y=0355.980-0365.300 | 3.300
P=0334 | X=0446.330-0471.380 | Y=0355.980-0365.300 | 2.300
P=0334 | X=0497.230-0522.280 | Y=0355.980-0365.300 | 2.000
P=0334 | X=0112.850-0336.020 | Y=0362.500-0373.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0334 | X=0112.850-0366.160 | Y=0380.040-0391.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0334 | X=0112.850-0199.400 | Y=0391.560-0402.800 | >400m đến ≤600m.
P=0334 | X=0112.850-0336.020 | Y=0409.080-0420.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0334 | X=0112.850-0358.760 | Y=0426.840-0438.080 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0334 | X=0112.850-0355.250 | Y=0438.360-0449.600 | thông ra Đường Nam Cao đoạn từ Quốc lộ 51 đến Hết
P=0334 | X=0112.850-0368.940 | Y=0449.900-0461.140 | ranh thửa đất số 117, tờ BĐĐC số 102 về bên phải và hết
P=0334 | X=0112.850-0375.350 | Y=0461.420-0472.660 | ranh thửa đất số 120, tờ BĐĐC số 102 về bên trái, phường
P=0334 | X=0095.810-0372.750 | Y=0472.940-0484.380 | 70 Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0334 | X=0397.820-0422.870 | Y=0475.060-0484.380 | 2.100
P=0334 | X=0446.330-0471.380 | Y=0475.060-0484.380 | 1.500
P=0334 | X=0497.230-0522.280 | Y=0475.060-0484.380 | 1.300
P=0334 | X=0112.850-0353.960 | Y=0490.220-0501.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0334 | X=0112.850-0146.610 | Y=0503.620-0512.940 | >600m.
P=0334 | X=0112.850-0339.140 | Y=0519.260-0530.500 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0334 | X=0297.240-0375.910 | Y=0537.050-0548.290 | Hết ranh thửa đất
P=0334 | X=0297.240-0373.400 | Y=0548.570-0559.810 | số 242, tờ BĐĐC
P=0334 | X=0297.240-0376.290 | Y=0561.970-0571.290 | số 88 về bên phải
P=0334 | X=0112.850-0200.780 | Y=0571.610-0582.850 | Đường Hoàng Đình
P=0334 | X=0297.240-0371.030 | Y=0573.490-0582.810 | và hết ranh thửa
P=0334 | X=0095.810-0106.930 | Y=0579.250-0588.570 | 71
P=0334 | X=0211.030-0259.620 | Y=0579.250-0588.570 | Quốc lộ 51
P=0334 | X=0392.300-0422.870 | Y=0579.250-0588.570 | 10.200
P=0334 | X=0446.330-0471.380 | Y=0579.250-0588.570 | 7.100
P=0334 | X=0497.230-0522.280 | Y=0579.250-0588.570 | 6.100
P=0334 | X=0297.240-0359.060 | Y=0583.130-0594.370 | đất số 271, tờ
P=0334 | X=0112.850-0131.170 | Y=0585.010-0594.330 | Cận
P=0334 | X=0297.240-0366.470 | Y=0594.650-0605.890 | BĐĐC số 88 về
P=0334 | X=0297.240-0371.980 | Y=0606.170-0617.410 | bên trái, phường
P=0334 | X=0297.240-0347.960 | Y=0617.710-0628.950 | Phước Tân
P=0334 | X=0112.850-0361.170 | Y=0635.470-0646.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0334 | X=0112.850-0376.390 | Y=0646.750-0657.990 | Hoàng Đình Cận đoạn từ Quốc lộ 51 đến Hết ranh thửa đất
P=0334 | X=0112.850-0376.780 | Y=0658.270-0669.510 | số 242, tờ BĐĐC số 88 về bên phải và hết ranh thửa đất số
P=0334 | X=0095.810-0359.950 | Y=0669.030-0681.030 | 72 271, tờ BĐĐC số 88 về bên trái, phường Phước Tân có
P=0334 | X=0397.820-0422.870 | Y=0669.030-0678.350 | 5.100
P=0334 | X=0446.330-0471.380 | Y=0669.030-0678.350 | 3.600
P=0334 | X=0497.230-0522.280 | Y=0669.030-0678.350 | 3.100
P=0334 | X=0112.850-0306.460 | Y=0681.310-0692.550 | hiện trạng là đường nhựa, bê tông xi măng:
P=0334 | X=0112.850-0335.760 | Y=0698.830-0710.070 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0335 | X=0112.850-0353.960 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0335 | X=0112.850-0146.370 | Y=0090.020-0101.260 | ≤400m.
P=0335 | X=0112.850-0361.170 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0335 | X=0112.850-0376.390 | Y=0119.330-0130.570 | Hoàng Đình Cận đoạn từ Quốc lộ 51 đến Hết ranh thửa đất
P=0335 | X=0112.850-0376.780 | Y=0130.850-0142.090 | số 242, tờ BĐĐC số 88 về bên phải và hết ranh thửa đất số
P=0335 | X=0112.850-0359.950 | Y=0142.370-0153.610 | 271, tờ BĐĐC số 88 về bên trái, phường Phước Tân có
P=0335 | X=0112.850-0306.460 | Y=0153.650-0164.890 | hiện trạng là đường nhựa, bê tông xi măng:
P=0335 | X=0095.810-0106.930 | Y=0164.650-0173.970 | 73
P=0335 | X=0397.820-0422.870 | Y=0164.650-0173.970 | 3.700
P=0335 | X=0446.330-0471.380 | Y=0164.650-0173.970 | 2.600
P=0335 | X=0497.230-0522.280 | Y=0164.650-0173.970 | 2.200
P=0335 | X=0112.850-0336.020 | Y=0171.170-0182.410 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0335 | X=0112.850-0366.160 | Y=0188.690-0199.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0335 | X=0112.850-0199.400 | Y=0200.230-0211.470 | >400m đến ≤600m.
P=0335 | X=0112.850-0336.020 | Y=0217.750-0228.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0335 | X=0112.850-0361.170 | Y=0235.510-0246.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0335 | X=0112.850-0376.390 | Y=0247.030-0258.270 | Hoàng Đình Cận đoạn từ Quốc lộ 51 đến Hết ranh thửa đất
P=0335 | X=0112.850-0376.780 | Y=0258.550-0269.790 | số 242, tờ BĐĐC số 88 về bên phải và hết ranh thửa đất số
P=0335 | X=0112.850-0359.950 | Y=0270.070-0281.310 | 271, tờ BĐĐC số 88 về bên trái, phường Phước Tân có
P=0335 | X=0095.810-0306.460 | Y=0281.620-0293.060 | 74 hiện trạng là đường nhựa, bê tông xi măng:
P=0335 | X=0397.820-0422.870 | Y=0283.740-0293.060 | 2.300
P=0335 | X=0446.330-0471.380 | Y=0283.740-0293.060 | 1.600
P=0335 | X=0497.230-0522.280 | Y=0283.740-0293.060 | 1.400
P=0335 | X=0112.850-0353.960 | Y=0299.140-0310.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0335 | X=0112.850-0146.610 | Y=0312.540-0321.860 | >600m.
P=0335 | X=0112.850-0336.490 | Y=0327.940-0339.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0335 | X=0112.850-0358.760 | Y=0345.700-0356.940 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0335 | X=0112.850-0369.100 | Y=0357.220-0368.460 | thông ra Đường Hoàng Đình Cận đoạn từ Quốc lộ 51 đến
P=0335 | X=0112.850-0365.470 | Y=0368.760-0380.000 | Hết ranh thửa đất số 242, tờ BĐĐC số 88 về bên phải và
P=0335 | X=0112.850-0348.040 | Y=0380.280-0391.520 | hết ranh thửa đất số 271, tờ BĐĐC số 88 về bên trái,
P=0335 | X=0112.850-0370.530 | Y=0391.800-0403.040 | phường Phước Tân có hiện trạng là đường nhựa, bê tông
P=0335 | X=0095.810-0106.930 | Y=0399.680-0409.000 | 75
P=0335 | X=0397.820-0422.870 | Y=0399.680-0409.000 | 4.600
P=0335 | X=0446.330-0471.380 | Y=0399.680-0409.000 | 3.200
P=0335 | X=0497.230-0522.280 | Y=0399.680-0409.000 | 2.800
P=0335 | X=0112.850-0150.680 | Y=0403.320-0414.560 | xi măng:
P=0335 | X=0112.850-0335.760 | Y=0420.840-0432.080 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0335 | X=0112.850-0353.960 | Y=0438.360-0449.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0335 | X=0112.850-0146.370 | Y=0449.900-0461.140 | ≤400m.
P=0335 | X=0112.850-0358.760 | Y=0467.660-0478.900 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0335 | X=0112.850-0369.100 | Y=0479.180-0490.420 | thông ra Đường Hoàng Đình Cận đoạn từ Quốc lộ 51 đến
P=0335 | X=0112.850-0365.470 | Y=0490.460-0501.700 | Hết ranh thửa đất số 242, tờ BĐĐC số 88 về bên phải và
P=0335 | X=0112.850-0348.040 | Y=0501.980-0513.220 | hết ranh thửa đất số 271, tờ BĐĐC số 88 về bên trái,
