TABLE=031 | AREA=Xã Xuân Quế | SECTION=non-agricultural | SEGMENTS=1
P=1125 | X=0094.820-0105.940 | Y=0394.640-0403.960 | 53
P=1125 | X=0413.900-0430.540 | Y=0394.640-0403.960 | 820
P=1125 | X=0461.690-0478.330 | Y=0394.640-0403.960 | 570
P=1125 | X=0505.390-0522.030 | Y=0394.640-0403.960 | 490
P=1125 | X=0111.170-0352.280 | Y=0398.520-0409.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1125 | X=0111.170-0153.310 | Y=0411.920-0421.240 | >1.000m.
P=1125 | X=0111.170-0334.810 | Y=0427.560-0438.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1125 | X=0111.170-0384.680 | Y=0445.320-0456.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1125 | X=0111.170-0376.780 | Y=0456.860-0468.100 | ra Đường Suối Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến
P=1125 | X=0111.170-0371.300 | Y=0468.380-0479.620 | Xã Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=1125 | X=0094.820-0105.940 | Y=0476.260-0485.580 | 54
P=1125 | X=0405.740-0430.790 | Y=0476.260-0485.580 | 1.100
P=1125 | X=0461.690-0478.330 | Y=0476.260-0485.580 | 770
P=1125 | X=0505.390-0522.030 | Y=0476.260-0485.580 | 660
P=1125 | X=0111.170-0342.250 | Y=0485.900-0497.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1125 | X=0111.170-0388.360 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1125 | X=0111.170-0384.680 | Y=0521.180-0532.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1125 | X=0111.170-0376.780 | Y=0532.490-0543.730 | ra Đường Suối Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến
P=1125 | X=0111.170-0371.300 | Y=0544.010-0555.250 | Xã Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=1125 | X=0094.820-0342.720 | Y=0561.530-0575.850 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1125 | X=0413.900-0430.540 | Y=0566.530-0575.850 | 900
P=1125 | X=0461.690-0478.330 | Y=0566.530-0575.850 | 630
P=1125 | X=0505.390-0522.030 | Y=0566.530-0575.850 | 540
P=1125 | X=0111.170-0364.480 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1125 | X=0111.170-0206.120 | Y=0590.570-0601.810 | >500m đến ≤1.000m.
P=1125 | X=0111.170-0334.340 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1125 | X=0111.170-0384.680 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1125 | X=0111.170-0376.780 | Y=0637.390-0648.630 | ra Đường Suối Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến
P=1125 | X=0111.170-0371.300 | Y=0648.910-0660.150 | Xã Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=1125 | X=0094.820-0105.940 | Y=0662.550-0671.870 | 56
P=1125 | X=0413.900-0430.540 | Y=0662.550-0671.870 | 740
P=1125 | X=0461.690-0478.330 | Y=0662.550-0671.870 | 520
P=1125 | X=0505.390-0522.030 | Y=0662.550-0671.870 | 440
P=1125 | X=0111.170-0352.280 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1125 | X=0111.170-0153.310 | Y=0679.830-0689.150 | >1.000m.
P=1125 | X=0111.170-0334.810 | Y=0695.470-0706.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1126 | X=0111.170-0220.160 | Y=0078.500-0089.740 | Đường Hương lộ 10 xây
P=1126 | X=0111.170-0384.190 | Y=0090.020-0101.260 | dựng mới tránh sân bay Đoạn từ giáp ranh Giáp ranh xã Bình
P=1126 | X=0094.820-0105.940 | Y=0097.660-0106.980 | 57
P=1126 | X=0405.740-0430.790 | Y=0097.660-0106.980 | 1.900
P=1126 | X=0453.530-0478.580 | Y=0097.660-0106.980 | 1.300
P=1126 | X=0497.230-0522.280 | Y=0097.660-0106.980 | 1.100
P=1126 | X=0111.170-0315.800 | Y=0101.540-0112.780 | Long Thành, đoạn thuộc xã Xuân Đường An
P=1126 | X=0111.170-0169.830 | Y=0114.940-0124.260 | xã Xuân Quế
P=1126 | X=0111.170-0359.490 | Y=0130.850-0142.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1126 | X=0111.170-0378.950 | Y=0142.370-0153.610 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1126 | X=0111.170-0375.780 | Y=0153.650-0164.890 | thuộc xã Xuân Quế có hiện trạng là đường nhựa, bê tông xi
P=1126 | X=0094.820-0139.170 | Y=0165.170-0176.610 | 58 măng:
P=1126 | X=0413.900-0430.540 | Y=0167.290-0176.610 | 940
P=1126 | X=0461.690-0478.330 | Y=0167.290-0176.610 | 660
P=1126 | X=0505.390-0522.030 | Y=0167.290-0176.610 | 560
P=1126 | X=0111.170-0342.250 | Y=0182.690-0193.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1126 | X=0111.170-0388.360 | Y=0200.230-0211.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1126 | X=0111.170-0359.490 | Y=0217.990-0229.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1126 | X=0111.170-0378.950 | Y=0229.510-0240.750 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1126 | X=0111.170-0375.780 | Y=0241.030-0252.270 | thuộc xã Xuân Quế có hiện trạng là đường nhựa, bê tông xi
P=1126 | X=0111.170-0139.170 | Y=0252.550-0263.790 | măng:
P=1126 | X=0094.820-0342.720 | Y=0269.070-0281.310 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1126 | X=0413.900-0430.540 | Y=0269.070-0278.390 | 820
P=1126 | X=0461.690-0478.330 | Y=0269.070-0278.390 | 570
P=1126 | X=0505.390-0522.030 | Y=0269.070-0278.390 | 490
P=1126 | X=0111.170-0364.480 | Y=0287.620-0298.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1126 | X=0111.170-0206.120 | Y=0299.140-0310.380 | >500m đến ≤1.000m.
P=1126 | X=0111.170-0334.340 | Y=0316.660-0327.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1126 | X=0111.170-0359.490 | Y=0334.420-0345.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1126 | X=0111.170-0378.950 | Y=0345.700-0356.940 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1126 | X=0111.170-0375.780 | Y=0357.220-0368.460 | thuộc xã Xuân Quế có hiện trạng là đường nhựa, bê tông xi
P=1126 | X=0111.170-0139.170 | Y=0368.760-0380.000 | măng:
P=1126 | X=0094.820-0105.940 | Y=0376.640-0385.960 | 60
P=1126 | X=0413.900-0430.540 | Y=0376.640-0385.960 | 640
P=1126 | X=0461.690-0478.330 | Y=0376.640-0385.960 | 450
P=1126 | X=0505.390-0522.030 | Y=0376.640-0385.960 | 380
P=1126 | X=0111.170-0352.280 | Y=0386.280-0397.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1126 | X=0111.170-0153.310 | Y=0399.680-0409.000 | >1.000m.
P=1126 | X=0111.170-0334.810 | Y=0415.320-0426.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1126 | X=0111.170-0384.680 | Y=0433.080-0444.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1126 | X=0111.170-0366.180 | Y=0444.600-0455.840 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1126 | X=0111.170-0388.630 | Y=0456.140-0467.380 | Thành, đoạn thuộc xã Xuân Quế có hiện trạng là đường nhựa,
P=1126 | X=0094.820-0185.250 | Y=0467.660-0479.100 | 61 bê tông xi măng:
P=1126 | X=0413.900-0430.540 | Y=0469.780-0479.100 | 850
P=1126 | X=0461.690-0478.330 | Y=0469.780-0479.100 | 600
P=1126 | X=0505.390-0522.030 | Y=0469.780-0479.100 | 510
P=1126 | X=0111.170-0342.250 | Y=0485.180-0496.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1126 | X=0111.170-0388.360 | Y=0502.460-0513.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1126 | X=0111.170-0384.680 | Y=0520.220-0531.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1126 | X=0111.170-0366.180 | Y=0531.740-0542.980 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1126 | X=0111.170-0388.630 | Y=0543.290-0554.530 | Thành, đoạn thuộc xã Xuân Quế có hiện trạng là đường nhựa,
P=1126 | X=0111.170-0185.250 | Y=0554.810-0566.050 | bê tông xi măng:
P=1126 | X=0094.820-0342.720 | Y=0571.570-0583.570 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1126 | X=0413.900-0430.540 | Y=0571.570-0580.890 | 740
P=1126 | X=0461.690-0478.330 | Y=0571.570-0580.890 | 520
P=1126 | X=0505.390-0522.030 | Y=0571.570-0580.890 | 440
P=1126 | X=0111.170-0364.480 | Y=0589.850-0601.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1126 | X=0111.170-0206.120 | Y=0601.370-0612.610 | >500m đến ≤1.000m.
P=1126 | X=0111.170-0334.340 | Y=0618.910-0630.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1126 | X=0111.170-0384.680 | Y=0636.670-0647.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1126 | X=0111.170-0366.180 | Y=0648.190-0659.430 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1126 | X=0111.170-0388.630 | Y=0659.710-0670.950 | Thành, đoạn thuộc xã Xuân Quế có hiện trạng là đường nhựa,
P=1126 | X=0094.820-0185.250 | Y=0670.230-0682.470 | 63 bê tông xi măng:
P=1126 | X=0413.900-0430.540 | Y=0670.230-0679.550 | 580
P=1126 | X=0461.690-0478.330 | Y=0670.230-0679.550 | 410
P=1126 | X=0505.390-0522.030 | Y=0670.230-0679.550 | 350
P=1126 | X=0111.170-0352.280 | Y=0688.510-0699.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1126 | X=0111.170-0153.310 | Y=0701.940-0711.260 | >1.000m.
P=1127 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1127 | X=0111.170-0207.510 | Y=0096.260-0107.500 | Đường Khu 3 ấp 6 xã
P=1127 | X=0220.870-0278.830 | Y=0096.260-0107.500 | Đường Sông
P=1127 | X=0094.820-0105.940 | Y=0103.900-0113.220 | 64
P=1127 | X=0303.480-0355.070 | Y=0103.900-0113.220 | Hết 3.000m
P=1127 | X=0405.740-0430.790 | Y=0103.900-0113.220 | 1.400
P=1127 | X=0461.690-0478.330 | Y=0103.900-0113.220 | 980
P=1127 | X=0505.390-0522.030 | Y=0103.900-0113.220 | 840
P=1127 | X=0111.170-0174.610 | Y=0107.780-0119.020 | Sông Nhạn cũ
P=1127 | X=0220.870-0295.530 | Y=0109.660-0118.980 | Nhạn - Dầu Giây
P=1127 | X=0111.170-0388.510 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu 3
P=1127 | X=0111.170-0385.330 | Y=0137.090-0148.330 | ấp 6 xã Sông Nhạn cũ đoạn từ Đường Sông Nhạn - Dầu Giây
P=1127 | X=0111.170-0361.400 | Y=0148.610-0159.850 | đến Hết 3.000m có hiện trạng là đường nhựa, bê tông xi
P=1127 | X=0094.820-0139.170 | Y=0160.130-0171.570 | 65 măng:
P=1127 | X=0413.900-0430.540 | Y=0162.250-0171.570 | 700
P=1127 | X=0461.690-0478.330 | Y=0162.250-0171.570 | 490
P=1127 | X=0505.390-0522.030 | Y=0162.250-0171.570 | 420
P=1127 | X=0111.170-0342.250 | Y=0177.410-0188.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1127 | X=0111.170-0388.360 | Y=0194.930-0206.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1127 | X=0111.170-0388.510 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu 3
P=1127 | X=0111.170-0385.330 | Y=0224.230-0235.470 | ấp 6 xã Sông Nhạn cũ đoạn từ Đường Sông Nhạn - Dầu Giây
P=1127 | X=0111.170-0361.400 | Y=0235.750-0246.990 | đến Hết 3.000m có hiện trạng là đường nhựa, bê tông xi
P=1127 | X=0111.170-0139.170 | Y=0247.270-0258.510 | măng:
P=1127 | X=0094.820-0342.720 | Y=0263.790-0276.030 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1127 | X=0413.900-0430.540 | Y=0263.790-0273.110 | 590
P=1127 | X=0461.690-0478.330 | Y=0263.790-0273.110 | 410
P=1127 | X=0505.390-0522.030 | Y=0263.790-0273.110 | 350
P=1127 | X=0111.170-0364.480 | Y=0282.340-0293.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1127 | X=0111.170-0206.120 | Y=0293.860-0305.100 | >500m đến ≤1.000m.
P=1127 | X=0111.170-0334.340 | Y=0311.380-0322.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1127 | X=0111.170-0388.510 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu 3
P=1127 | X=0111.170-0385.330 | Y=0340.660-0351.900 | ấp 6 xã Sông Nhạn cũ đoạn từ Đường Sông Nhạn - Dầu Giây
P=1127 | X=0111.170-0361.400 | Y=0351.940-0363.180 | đến Hết 3.000m có hiện trạng là đường nhựa, bê tông xi
P=1127 | X=0111.170-0139.170 | Y=0363.460-0374.700 | măng:
P=1127 | X=0094.820-0105.940 | Y=0371.360-0380.680 | 67
P=1127 | X=0413.900-0430.540 | Y=0371.360-0380.680 | 470
P=1127 | X=0461.690-0478.330 | Y=0371.360-0380.680 | 330
P=1127 | X=0505.390-0522.030 | Y=0371.360-0380.680 | 280
P=1127 | X=0111.170-0352.280 | Y=0381.000-0392.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1127 | X=0111.170-0153.310 | Y=0394.400-0403.720 | >1.000m.
P=1127 | X=0111.170-0334.810 | Y=0410.040-0421.280 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1127 | X=0111.170-0384.680 | Y=0427.800-0439.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1127 | X=0111.170-0383.010 | Y=0439.320-0450.560 | ra Đường Khu 3 ấp 6 xã Sông Nhạn cũ đoạn từ Đường Sông
P=1127 | X=0111.170-0363.560 | Y=0450.860-0462.100 | Nhạn - Dầu Giây đến Hết 3.000m có hiện trạng là đường
P=1127 | X=0094.820-0214.280 | Y=0462.380-0473.820 | 68 nhựa, bê tông xi măng:
P=1127 | X=0413.900-0430.540 | Y=0464.500-0473.820 | 630
P=1127 | X=0461.690-0478.330 | Y=0464.500-0473.820 | 440
P=1127 | X=0505.390-0522.030 | Y=0464.500-0473.820 | 380
P=1127 | X=0111.170-0342.250 | Y=0479.900-0491.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1127 | X=0111.170-0388.360 | Y=0497.420-0508.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1127 | X=0111.170-0384.680 | Y=0515.180-0526.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1127 | X=0111.170-0383.010 | Y=0526.460-0537.700 | ra Đường Khu 3 ấp 6 xã Sông Nhạn cũ đoạn từ Đường Sông
P=1127 | X=0111.170-0363.560 | Y=0538.010-0549.250 | Nhạn - Dầu Giây đến Hết 3.000m có hiện trạng là đường
P=1127 | X=0111.170-0214.280 | Y=0549.530-0560.770 | nhựa, bê tông xi măng:
P=1127 | X=0094.820-0342.720 | Y=0566.290-0578.290 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1127 | X=0413.900-0430.540 | Y=0566.290-0575.610 | 530
P=1127 | X=0461.690-0478.330 | Y=0566.290-0575.610 | 370
P=1127 | X=0505.390-0522.030 | Y=0566.290-0575.610 | 320
P=1127 | X=0111.170-0364.480 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1127 | X=0111.170-0206.120 | Y=0596.090-0607.330 | >500m đến ≤1.000m.
P=1127 | X=0111.170-0334.340 | Y=0613.610-0624.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1127 | X=0111.170-0384.680 | Y=0631.390-0642.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1127 | X=0111.170-0383.010 | Y=0642.910-0654.150 | ra Đường Khu 3 ấp 6 xã Sông Nhạn cũ đoạn từ Đường Sông
P=1127 | X=0111.170-0363.560 | Y=0654.430-0665.670 | Nhạn - Dầu Giây đến Hết 3.000m có hiện trạng là đường
P=1127 | X=0094.820-0214.280 | Y=0664.950-0677.190 | 70 nhựa, bê tông xi măng:
P=1127 | X=0413.900-0430.540 | Y=0664.950-0674.270 | 420
P=1127 | X=0461.690-0478.330 | Y=0664.950-0674.270 | 290
P=1127 | X=0505.390-0522.030 | Y=0664.950-0674.270 | 250
P=1127 | X=0111.170-0352.280 | Y=0683.470-0694.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1127 | X=0111.170-0153.310 | Y=0696.630-0705.950 | >1.000m.
P=1128 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1128 | X=0220.870-0372.130 | Y=0096.260-0107.500 | Đoạn từ đường Hết khu dân cư
P=1128 | X=0111.170-0207.510 | Y=0102.020-0113.260 | Đường Khu 3 ấp 6 xã
P=1128 | X=0220.870-0378.920 | Y=0107.780-0119.020 | Sông Nhạn - Dầu hiện hữu ấp 3 xã
P=1128 | X=0094.820-0105.940 | Y=0109.660-0118.980 | 71
P=1128 | X=0405.740-0430.790 | Y=0109.660-0118.980 | 1.600
P=1128 | X=0453.530-0478.580 | Y=0109.660-0118.980 | 1.100
P=1128 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 960
P=1128 | X=0111.170-0174.610 | Y=0113.540-0124.780 | Sông Nhạn cũ
P=1128 | X=0220.870-0366.920 | Y=0119.330-0130.570 | Giây (+3.000 m) Sông Nhạn cũ
P=1128 | X=0111.170-0388.510 | Y=0137.090-0148.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu 3
P=1128 | X=0111.170-0378.140 | Y=0148.610-0159.850 | ấp 6 xã Sông Nhạn cũ đoạn từ Đoạn từ đường Sông Nhạn -
P=1128 | X=0111.170-0373.160 | Y=0160.130-0171.370 | Dầu Giây (+3.000 m) đến Hết khu dân cư hiện hữu ấp 3 xã
P=1128 | X=0094.820-0384.270 | Y=0171.410-0182.850 | 72 Sông Nhạn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1128 | X=0413.900-0430.540 | Y=0173.530-0182.850 | 820
P=1128 | X=0461.690-0478.330 | Y=0173.530-0182.850 | 570
P=1128 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 490
P=1128 | X=0111.170-0342.250 | Y=0188.930-0200.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1128 | X=0111.170-0388.360 | Y=0206.470-0217.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1128 | X=0111.170-0388.510 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu 3
P=1128 | X=0111.170-0378.140 | Y=0235.750-0246.990 | ấp 6 xã Sông Nhạn cũ đoạn từ Đoạn từ đường Sông Nhạn -
P=1128 | X=0111.170-0373.160 | Y=0247.270-0258.510 | Dầu Giây (+3.000 m) đến Hết khu dân cư hiện hữu ấp 3 xã
P=1128 | X=0111.170-0384.270 | Y=0258.790-0270.030 | Sông Nhạn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1128 | X=0094.820-0342.720 | Y=0275.310-0287.550 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1128 | X=0413.900-0430.540 | Y=0275.310-0284.630 | 640
P=1128 | X=0461.690-0478.330 | Y=0275.310-0284.630 | 450
P=1128 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 380
P=1128 | X=0111.170-0364.480 | Y=0293.860-0305.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1128 | X=0111.170-0206.120 | Y=0305.380-0316.620 | >500m đến ≤1.000m.
P=1128 | X=0111.170-0334.340 | Y=0322.900-0334.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1128 | X=0111.170-0388.510 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu 3
P=1128 | X=0111.170-0378.140 | Y=0351.940-0363.180 | ấp 6 xã Sông Nhạn cũ đoạn từ Đoạn từ đường Sông Nhạn -
P=1128 | X=0111.170-0373.160 | Y=0363.460-0374.700 | Dầu Giây (+3.000 m) đến Hết khu dân cư hiện hữu ấp 3 xã
P=1128 | X=0111.170-0384.270 | Y=0375.000-0386.240 | Sông Nhạn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1128 | X=0094.820-0105.940 | Y=0382.880-0392.200 | 74
P=1128 | X=0413.900-0430.540 | Y=0382.880-0392.200 | 470
P=1128 | X=0461.690-0478.330 | Y=0382.880-0392.200 | 330
P=1128 | X=0505.390-0522.030 | Y=0382.880-0392.200 | 280
P=1128 | X=0111.170-0352.280 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1128 | X=0111.170-0153.310 | Y=0405.920-0415.240 | >1.000m.
P=1128 | X=0111.170-0334.810 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1128 | X=0111.170-0384.680 | Y=0439.320-0450.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1128 | X=0111.170-0361.370 | Y=0450.860-0462.100 | ra Đường Khu 3 ấp 6 xã Sông Nhạn cũ đoạn từ Đoạn từ
P=1128 | X=0111.170-0386.560 | Y=0462.380-0473.620 | đường Sông Nhạn - Dầu Giây (+3.000 m) đến Hết khu dân cư
P=1128 | X=0111.170-0385.270 | Y=0473.900-0485.140 | hiện hữu ấp 3 xã Sông Nhạn cũ có hiện trạng là đường nhựa,
P=1128 | X=0094.820-0105.940 | Y=0481.780-0491.100 | 75
P=1128 | X=0413.900-0430.540 | Y=0481.780-0491.100 | 740
P=1128 | X=0461.690-0478.330 | Y=0481.780-0491.100 | 520
P=1128 | X=0505.390-0522.030 | Y=0481.780-0491.100 | 440
P=1128 | X=0111.170-0185.250 | Y=0485.420-0496.660 | bê tông xi măng:
P=1128 | X=0111.170-0342.250 | Y=0502.940-0514.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1128 | X=0111.170-0388.360 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1128 | X=0111.170-0384.680 | Y=0538.010-0549.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1128 | X=0111.170-0361.370 | Y=0549.530-0560.770 | ra Đường Khu 3 ấp 6 xã Sông Nhạn cũ đoạn từ Đoạn từ
P=1128 | X=0111.170-0386.540 | Y=0561.050-0572.290 | đường Sông Nhạn - Dầu Giây (+3.000 m) đến Hết khu dân cư
P=1128 | X=0111.170-0385.270 | Y=0572.570-0583.810 | hiện hữu ấp 3 xã Sông Nhạn cũ có hiện trạng là đường nhựa,
P=1128 | X=0111.170-0185.250 | Y=0584.090-0595.330 | bê tông xi măng:
P=1128 | X=0094.820-0105.940 | Y=0595.090-0604.410 | 76
P=1128 | X=0413.900-0430.540 | Y=0595.090-0604.410 | 580
P=1128 | X=0461.690-0478.330 | Y=0595.090-0604.410 | 410
P=1128 | X=0505.390-0522.030 | Y=0595.090-0604.410 | 350
P=1128 | X=0111.170-0342.720 | Y=0601.610-0612.850 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1128 | X=0111.170-0364.480 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1128 | X=0111.170-0206.120 | Y=0630.670-0641.910 | >500m đến ≤1.000m.
P=1128 | X=0111.170-0334.340 | Y=0648.190-0659.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1128 | X=0111.170-0384.680 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1128 | X=0111.170-0361.370 | Y=0677.470-0688.710 | ra Đường Khu 3 ấp 6 xã Sông Nhạn cũ đoạn từ Đoạn từ
P=1128 | X=0094.820-0105.940 | Y=0685.110-0694.430 | 77
P=1128 | X=0413.900-0430.540 | Y=0685.110-0694.430 | 420
P=1128 | X=0461.690-0478.330 | Y=0685.110-0694.430 | 290
P=1128 | X=0505.390-0522.030 | Y=0685.110-0694.430 | 250
P=1128 | X=0111.170-0386.540 | Y=0688.750-0699.990 | đường Sông Nhạn - Dầu Giây (+3.000 m) đến Hết khu dân cư
P=1128 | X=0111.170-0385.270 | Y=0700.290-0711.530 | hiện hữu ấp 3 xã Sông Nhạn cũ có hiện trạng là đường nhựa,
P=1129 | X=0111.170-0185.250 | Y=0072.500-0083.740 | bê tông xi măng:
P=1129 | X=0111.170-0352.280 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1129 | X=0111.170-0153.310 | Y=0103.420-0112.740 | >1.000m.
P=1129 | X=0111.170-0334.810 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1129 | X=0303.480-0380.380 | Y=0136.850-0148.090 | Đường Hương lộ
P=1129 | X=0220.870-0379.180 | Y=0148.370-0159.610 | Hết khu dân cư 10 xây dựng mới
P=1129 | X=0111.170-0207.510 | Y=0154.130-0165.370 | Đường Khu 3 ấp 6 xã
P=1129 | X=0220.870-0389.010 | Y=0159.650-0170.890 | hiện hữu ấp 3 xã tránh sân bay Long
P=1129 | X=0094.820-0105.940 | Y=0161.530-0170.850 | 78
P=1129 | X=0405.740-0430.790 | Y=0161.530-0170.850 | 1.400
P=1129 | X=0461.690-0478.330 | Y=0161.530-0170.850 | 980
P=1129 | X=0505.390-0522.030 | Y=0161.530-0170.850 | 840
P=1129 | X=0111.170-0174.610 | Y=0165.410-0176.650 | Sông Nhạn cũ
P=1129 | X=0220.870-0284.340 | Y=0171.170-0182.410 | Sông Nhạn cũ
P=1129 | X=0303.480-0387.020 | Y=0171.170-0182.410 | Thành, đoạn thuộc
P=1129 | X=0303.480-0362.140 | Y=0184.570-0193.890 | xã Xuân Quế
P=1129 | X=0111.170-0388.510 | Y=0200.470-0211.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu 3
P=1129 | X=0111.170-0383.260 | Y=0211.990-0223.230 | ấp 6 xã Sông Nhạn cũ đoạn từ Hết khu dân cư hiện hữu ấp 3
P=1129 | X=0111.170-0365.260 | Y=0223.510-0234.750 | xã Sông Nhạn cũ đến Đường Hương lộ 10 xây dựng mới
P=1129 | X=0111.170-0379.420 | Y=0235.030-0246.270 | tránh sân bay Long Thành, đoạn thuộc xã Xuân Quế có hiện
P=1129 | X=0094.820-0105.940 | Y=0242.910-0252.230 | 79
