TABLE=025 | AREA=Xã Xuân Hòa | SECTION=non-agricultural | SEGMENTS=1
P=0949 | X=0112.130-0385.640 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0949 | X=0112.130-0389.510 | Y=0253.030-0264.270 | ra Quốc lộ 1 đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh
P=0949 | X=0112.130-0375.550 | Y=0264.550-0275.790 | giới tỉnh Lâm Đồng có hiện trạng là đường nhựa, bê tông xi
P=0949 | X=0112.130-0140.130 | Y=0276.070-0287.310 | măng:
P=0949 | X=0095.330-0106.450 | Y=0283.980-0293.300 | 56
P=0949 | X=0408.140-0424.780 | Y=0283.980-0293.300 | 660
P=0949 | X=0444.410-0461.050 | Y=0283.980-0293.300 | 460
P=0949 | X=0505.390-0522.030 | Y=0283.980-0293.300 | 400
P=0949 | X=0112.130-0353.240 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0949 | X=0112.130-0154.270 | Y=0307.020-0316.340 | >1.000m.
P=0949 | X=0112.130-0335.770 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0949 | X=0112.130-0232.230 | Y=0340.420-0351.660 | Đường Xuân Tâm đi Trảng
P=0949 | X=0320.520-0372.030 | Y=0342.300-0351.620 | Quốc lộ 1 +
P=0949 | X=0095.330-0106.450 | Y=0347.820-0357.140 | 57
P=0949 | X=0243.460-0286.500 | Y=0347.820-0357.140 | Quốc lộ 1
P=0949 | X=0399.980-0425.030 | Y=0347.820-0357.140 | 2.300
P=0949 | X=0436.250-0461.300 | Y=0347.820-0357.140 | 1.600
P=0949 | X=0497.230-0522.280 | Y=0347.820-0357.140 | 1.400
P=0949 | X=0112.130-0129.490 | Y=0353.580-0362.900 | Táo
P=0949 | X=0320.520-0345.480 | Y=0353.580-0362.900 | 100m
P=0949 | X=0112.130-0386.370 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0949 | X=0112.130-0389.460 | Y=0381.000-0392.240 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 + 100m có
P=0949 | X=0112.130-0305.740 | Y=0392.520-0403.760 | hiện trạng là đường nhựa, bê tông xi măng:
P=0949 | X=0095.330-0106.450 | Y=0400.400-0409.720 | 58
P=0949 | X=0399.980-0425.030 | Y=0400.400-0409.720 | 1.200
P=0949 | X=0444.410-0461.050 | Y=0400.400-0409.720 | 840
P=0949 | X=0505.390-0522.030 | Y=0400.400-0409.720 | 720
P=0949 | X=0112.130-0343.210 | Y=0410.040-0421.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0949 | X=0112.130-0389.320 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0949 | X=0112.130-0386.370 | Y=0445.320-0456.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0949 | X=0112.130-0389.460 | Y=0456.860-0468.100 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 + 100m có
P=0949 | X=0112.130-0305.740 | Y=0468.380-0479.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0949 | X=0095.330-0343.680 | Y=0485.900-0499.980 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0949 | X=0408.140-0424.780 | Y=0490.660-0499.980 | 800
P=0949 | X=0444.410-0461.050 | Y=0490.660-0499.980 | 560
P=0949 | X=0505.390-0522.030 | Y=0490.660-0499.980 | 480
P=0949 | X=0112.130-0365.440 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0949 | X=0112.130-0207.080 | Y=0514.940-0526.180 | >500m đến ≤1.000m.
P=0949 | X=0112.130-0335.300 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0949 | X=0112.130-0386.370 | Y=0550.010-0561.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0949 | X=0112.130-0389.460 | Y=0561.530-0572.770 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 + 100m có
P=0949 | X=0112.130-0305.740 | Y=0573.050-0584.290 | hiện trạng là đường nhựa, bê tông xi măng:
P=0949 | X=0095.330-0106.450 | Y=0586.690-0596.010 | 60
P=0949 | X=0408.140-0424.780 | Y=0586.690-0596.010 | 580
P=0949 | X=0444.410-0461.050 | Y=0586.690-0596.010 | 410
P=0949 | X=0505.390-0522.030 | Y=0586.690-0596.010 | 350
P=0949 | X=0112.130-0353.240 | Y=0590.570-0601.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0949 | X=0112.130-0154.270 | Y=0603.970-0613.290 | >1.000m.
P=0949 | X=0112.130-0335.780 | Y=0619.630-0630.870 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0949 | X=0112.130-0385.640 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0949 | X=0112.130-0366.230 | Y=0648.910-0660.150 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến
P=0949 | X=0112.130-0370.520 | Y=0660.430-0671.670 | Quốc lộ 1 + 100m có hiện trạng là đường nhựa, bê tông xi
P=0949 | X=0095.330-0140.130 | Y=0671.950-0683.390 | 61 măng:
P=0949 | X=0399.980-0425.030 | Y=0674.070-0683.390 | 1.100
P=0949 | X=0444.410-0461.050 | Y=0674.070-0683.390 | 770
P=0949 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 660
P=0949 | X=0112.130-0343.210 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0949 | X=0112.130-0389.320 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0950 | X=0112.130-0385.640 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0950 | X=0112.130-0366.230 | Y=0090.020-0101.260 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến
P=0950 | X=0112.130-0370.520 | Y=0101.540-0112.780 | Quốc lộ 1 + 100m có hiện trạng là đường nhựa, bê tông xi
P=0950 | X=0112.130-0140.130 | Y=0113.060-0124.300 | măng:
P=0950 | X=0095.330-0343.680 | Y=0129.610-0141.850 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0950 | X=0408.140-0424.780 | Y=0129.610-0138.930 | 720
P=0950 | X=0444.410-0461.050 | Y=0129.610-0138.930 | 500
P=0950 | X=0505.390-0522.030 | Y=0129.610-0138.930 | 430
P=0950 | X=0112.130-0365.440 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0950 | X=0112.130-0207.080 | Y=0159.410-0170.650 | >500m đến ≤1.000m.
P=0950 | X=0112.130-0335.300 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0950 | X=0112.130-0385.640 | Y=0194.690-0205.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0950 | X=0112.130-0366.230 | Y=0206.230-0217.470 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến
P=0950 | X=0112.130-0370.520 | Y=0217.750-0228.990 | Quốc lộ 1 + 100m có hiện trạng là đường nhựa, bê tông xi
P=0950 | X=0112.130-0140.130 | Y=0229.270-0240.510 | măng:
P=0950 | X=0095.330-0106.450 | Y=0237.150-0246.470 | 63
P=0950 | X=0408.140-0424.780 | Y=0237.150-0246.470 | 520
P=0950 | X=0444.410-0461.050 | Y=0237.150-0246.470 | 360
P=0950 | X=0505.390-0522.030 | Y=0237.150-0246.470 | 310
P=0950 | X=0112.130-0353.240 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0950 | X=0112.130-0154.270 | Y=0260.190-0269.510 | >1.000m.
P=0950 | X=0112.130-0335.770 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0950 | X=0112.130-0232.230 | Y=0293.620-0304.860 | Đường Xuân Tâm đi Trảng
P=0950 | X=0243.460-0294.950 | Y=0295.500-0304.820 | Quốc lộ 1 +
P=0950 | X=0320.520-0372.030 | Y=0295.500-0304.820 | Quốc lộ 1 +
P=0950 | X=0095.330-0106.450 | Y=0301.260-0310.580 | 64
P=0950 | X=0399.980-0425.030 | Y=0301.260-0310.580 | 2.000
P=0950 | X=0436.250-0461.300 | Y=0301.260-0310.580 | 1.400
P=0950 | X=0497.230-0522.280 | Y=0301.260-0310.580 | 1.200
P=0950 | X=0112.130-0129.490 | Y=0307.020-0316.340 | Táo
P=0950 | X=0243.460-0268.420 | Y=0307.020-0316.340 | 100m
P=0950 | X=0320.520-0345.480 | Y=0307.020-0316.340 | 400m
P=0950 | X=0112.130-0386.370 | Y=0322.900-0334.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0950 | X=0112.130-0384.740 | Y=0334.420-0345.660 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc lộ 1 +
P=0950 | X=0112.130-0346.810 | Y=0345.700-0356.940 | 400m có hiện trạng là đường nhựa, bê tông xi măng:
P=0950 | X=0095.330-0106.450 | Y=0353.580-0362.900 | 65
P=0950 | X=0399.980-0425.030 | Y=0353.580-0362.900 | 1.000
P=0950 | X=0444.410-0461.050 | Y=0353.580-0362.900 | 700
P=0950 | X=0505.390-0522.030 | Y=0353.580-0362.900 | 600
P=0950 | X=0112.130-0343.240 | Y=0363.220-0374.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0950 | X=0112.130-0389.320 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0950 | X=0112.130-0386.370 | Y=0398.520-0409.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0950 | X=0112.130-0384.740 | Y=0410.040-0421.280 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc lộ 1 +
P=0950 | X=0112.130-0346.810 | Y=0421.560-0432.800 | 400m có hiện trạng là đường nhựa, bê tông xi măng:
P=0950 | X=0095.330-0343.680 | Y=0439.080-0453.160 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0950 | X=0408.140-0424.780 | Y=0443.840-0453.160 | 800
P=0950 | X=0444.410-0461.050 | Y=0443.840-0453.160 | 560
P=0950 | X=0505.390-0522.030 | Y=0443.840-0453.160 | 480
P=0950 | X=0112.130-0365.440 | Y=0456.620-0467.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0950 | X=0112.130-0207.080 | Y=0468.140-0479.380 | >500m đến ≤1.000m.
P=0950 | X=0112.130-0335.300 | Y=0485.660-0496.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0950 | X=0112.130-0386.370 | Y=0503.420-0514.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0950 | X=0112.130-0384.740 | Y=0514.940-0526.180 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc lộ 1 +
P=0950 | X=0112.130-0346.810 | Y=0526.220-0537.460 | 400m có hiện trạng là đường nhựa, bê tông xi măng:
P=0950 | X=0095.330-0106.450 | Y=0539.890-0549.210 | 67
P=0950 | X=0408.140-0424.780 | Y=0539.890-0549.210 | 580
P=0950 | X=0444.410-0461.050 | Y=0539.890-0549.210 | 410
P=0950 | X=0505.390-0522.030 | Y=0539.890-0549.210 | 350
P=0950 | X=0112.130-0353.240 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0950 | X=0112.130-0154.270 | Y=0557.170-0566.490 | >1.000m.
P=0950 | X=0112.130-0335.770 | Y=0572.810-0584.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0950 | X=0112.130-0385.640 | Y=0590.570-0601.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0950 | X=0112.130-0383.160 | Y=0602.090-0613.330 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m
P=0950 | X=0112.130-0389.710 | Y=0613.610-0624.850 | đến Quốc lộ 1 + 400m có hiện trạng là đường nhựa, bê tông xi
P=0950 | X=0095.330-0140.130 | Y=0625.150-0636.590 | 68 măng:
P=0950 | X=0408.140-0424.780 | Y=0627.270-0636.590 | 900
P=0950 | X=0444.410-0461.050 | Y=0627.270-0636.590 | 630
P=0950 | X=0505.390-0522.030 | Y=0627.270-0636.590 | 540
P=0950 | X=0112.130-0343.210 | Y=0642.670-0653.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0950 | X=0112.130-0389.320 | Y=0660.190-0671.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0950 | X=0112.130-0385.640 | Y=0677.950-0689.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0950 | X=0095.330-0383.160 | Y=0689.470-0700.710 | 69 ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m
P=0950 | X=0408.140-0424.780 | Y=0691.350-0700.670 | 720
P=0950 | X=0444.410-0461.050 | Y=0691.350-0700.670 | 500
P=0950 | X=0505.390-0522.030 | Y=0691.350-0700.670 | 430
P=0950 | X=0112.130-0389.710 | Y=0700.770-0712.010 | đến Quốc lộ 1 + 400m có hiện trạng là đường nhựa, bê tông xi
P=0951 | X=0112.130-0140.130 | Y=0072.500-0083.740 | măng:
P=0951 | X=0112.130-0343.680 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0951 | X=0112.130-0365.440 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0951 | X=0112.130-0207.080 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=0951 | X=0112.130-0335.300 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0951 | X=0112.130-0385.640 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0951 | X=0112.130-0383.160 | Y=0165.650-0176.890 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m
P=0951 | X=0112.130-0389.710 | Y=0177.170-0188.410 | đến Quốc lộ 1 + 400m có hiện trạng là đường nhựa, bê tông xi
P=0951 | X=0112.130-0140.130 | Y=0188.690-0199.930 | măng:
P=0951 | X=0095.330-0106.450 | Y=0196.570-0205.890 | 70
P=0951 | X=0408.140-0424.780 | Y=0196.570-0205.890 | 520
P=0951 | X=0444.410-0461.050 | Y=0196.570-0205.890 | 360
P=0951 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 310
P=0951 | X=0112.130-0353.240 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0951 | X=0112.130-0154.270 | Y=0219.630-0228.950 | >1.000m.
P=0951 | X=0112.130-0335.770 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0951 | X=0112.130-0232.230 | Y=0253.030-0264.270 | Đường Xuân Tâm đi Trảng
P=0951 | X=0243.460-0294.950 | Y=0254.910-0264.230 | Quốc lộ 1 +
P=0951 | X=0320.520-0380.760 | Y=0254.910-0264.230 | Qua nhà máy
P=0951 | X=0095.330-0106.450 | Y=0260.670-0269.990 | 71
P=0951 | X=0399.980-0425.030 | Y=0260.670-0269.990 | 1.800
P=0951 | X=0436.250-0461.300 | Y=0260.670-0269.990 | 1.300
P=0951 | X=0497.230-0522.270 | Y=0260.670-0269.990 | 1.100
P=0951 | X=0112.130-0129.490 | Y=0266.430-0275.750 | Táo
P=0951 | X=0243.460-0268.420 | Y=0266.430-0275.750 | 400m
P=0951 | X=0320.520-0364.450 | Y=0266.430-0275.750 | cồn 200m
P=0951 | X=0112.130-0386.370 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0951 | X=0112.130-0371.500 | Y=0293.860-0305.100 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua nhà
P=0951 | X=0112.130-0387.400 | Y=0305.380-0316.620 | máy cồn 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=0951 | X=0095.330-0106.450 | Y=0313.260-0322.580 | 72
P=0951 | X=0408.140-0424.780 | Y=0313.260-0322.580 | 880
P=0951 | X=0444.410-0461.050 | Y=0313.260-0322.580 | 620
P=0951 | X=0505.390-0522.030 | Y=0313.260-0322.580 | 530
P=0951 | X=0112.130-0343.210 | Y=0322.900-0334.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0951 | X=0112.130-0389.320 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0951 | X=0112.130-0386.370 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0951 | X=0112.130-0371.500 | Y=0369.480-0380.720 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua nhà
P=0951 | X=0112.130-0387.400 | Y=0381.000-0392.240 | máy cồn 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=0951 | X=0095.330-0343.700 | Y=0398.520-0412.840 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0951 | X=0408.140-0424.780 | Y=0403.520-0412.840 | 730
P=0951 | X=0444.410-0461.050 | Y=0403.520-0412.840 | 510
P=0951 | X=0505.390-0522.030 | Y=0403.520-0412.840 | 440
P=0951 | X=0112.130-0365.440 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0951 | X=0112.130-0207.080 | Y=0427.560-0438.800 | >500m đến ≤1.000m.
P=0951 | X=0112.130-0335.300 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0951 | X=0112.130-0386.370 | Y=0462.860-0474.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0951 | X=0112.130-0371.510 | Y=0474.380-0485.620 | Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua nhà
P=0951 | X=0112.130-0387.400 | Y=0485.900-0497.140 | máy cồn 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=0951 | X=0095.330-0106.450 | Y=0499.540-0508.860 | 74
P=0951 | X=0408.140-0424.780 | Y=0499.540-0508.860 | 580
P=0951 | X=0444.410-0461.050 | Y=0499.540-0508.860 | 410
P=0951 | X=0505.390-0522.030 | Y=0499.540-0508.860 | 350
P=0951 | X=0112.130-0353.240 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0951 | X=0112.130-0154.270 | Y=0516.820-0526.140 | >1.000m.
P=0951 | X=0112.130-0335.770 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0951 | X=0112.130-0385.640 | Y=0550.010-0561.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0951 | X=0112.130-0383.160 | Y=0561.530-0572.770 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m
P=0951 | X=0112.130-0385.180 | Y=0573.050-0584.290 | đến Qua nhà máy cồn 200m có hiện trạng là đường nhựa, bê
P=0951 | X=0095.330-0172.290 | Y=0584.570-0596.010 | 75 tông xi măng:
P=0951 | X=0408.140-0424.780 | Y=0586.690-0596.010 | 790
P=0951 | X=0444.410-0461.050 | Y=0586.690-0596.010 | 550
P=0951 | X=0505.390-0522.030 | Y=0586.690-0596.010 | 470
P=0951 | X=0112.130-0343.210 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0951 | X=0112.130-0389.320 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0951 | X=0112.130-0385.640 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0951 | X=0112.130-0383.160 | Y=0648.910-0660.150 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m
P=0951 | X=0112.130-0385.180 | Y=0660.430-0671.670 | đến Qua nhà máy cồn 200m có hiện trạng là đường nhựa, bê
P=0951 | X=0095.330-0172.290 | Y=0671.950-0683.390 | 76 tông xi măng:
P=0951 | X=0408.140-0424.780 | Y=0674.070-0683.390 | 660
P=0951 | X=0444.410-0461.050 | Y=0674.070-0683.390 | 460
P=0951 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 400
P=0951 | X=0112.130-0343.680 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0951 | X=0112.130-0365.440 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0952 | X=0112.130-0207.080 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=0952 | X=0112.130-0335.300 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0952 | X=0112.130-0385.640 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0952 | X=0112.130-0383.160 | Y=0119.330-0130.570 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m
P=0952 | X=0112.130-0385.180 | Y=0130.850-0142.090 | đến Qua nhà máy cồn 200m có hiện trạng là đường nhựa, bê
P=0952 | X=0112.130-0172.290 | Y=0142.370-0153.610 | tông xi măng:
P=0952 | X=0095.330-0106.450 | Y=0150.250-0159.570 | 77
P=0952 | X=0408.140-0424.780 | Y=0150.250-0159.570 | 520
P=0952 | X=0444.410-0461.050 | Y=0150.250-0159.570 | 360
P=0952 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 310
P=0952 | X=0112.130-0353.240 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0952 | X=0112.130-0154.270 | Y=0173.050-0182.370 | >1.000m.
P=0952 | X=0112.130-0335.770 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0952 | X=0112.130-0232.230 | Y=0206.470-0217.710 | Đường Xuân Tâm đi Trảng
P=0952 | X=0243.460-0303.700 | Y=0208.350-0217.670 | Qua nhà máy
P=0952 | X=0320.520-0377.490 | Y=0208.350-0217.670 | Ranh giới xã
P=0952 | X=0095.330-0106.450 | Y=0214.110-0223.430 | 78
P=0952 | X=0399.980-0425.030 | Y=0214.110-0223.430 | 1.900
P=0952 | X=0436.250-0461.300 | Y=0214.110-0223.430 | 1.300
P=0952 | X=0497.230-0522.280 | Y=0214.110-0223.430 | 1.100
P=0952 | X=0112.130-0129.490 | Y=0219.870-0229.190 | Táo
P=0952 | X=0243.460-0287.390 | Y=0219.870-0229.190 | cồn 200m
P=0952 | X=0320.520-0374.860 | Y=0219.870-0229.190 | Xuân Thành
P=0952 | X=0112.130-0386.370 | Y=0235.750-0246.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0952 | X=0112.130-0384.450 | Y=0247.270-0258.510 | Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến Ranh
P=0952 | X=0112.130-0378.440 | Y=0258.790-0270.030 | giới xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi
P=0952 | X=0095.330-0140.130 | Y=0270.310-0281.750 | 79 măng:
P=0952 | X=0408.140-0424.780 | Y=0272.430-0281.750 | 950
P=0952 | X=0444.410-0461.050 | Y=0272.430-0281.750 | 670
P=0952 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 570
P=0952 | X=0112.130-0343.210 | Y=0287.860-0299.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0952 | X=0112.130-0389.320 | Y=0305.380-0316.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0952 | X=0112.130-0386.370 | Y=0323.140-0334.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0952 | X=0112.130-0384.450 | Y=0334.660-0345.900 | Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến Ranh
P=0952 | X=0112.130-0378.440 | Y=0345.940-0357.180 | giới xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi
P=0952 | X=0112.130-0140.130 | Y=0357.460-0368.700 | măng:
P=0952 | X=0095.330-0343.700 | Y=0374.240-0386.240 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0952 | X=0408.140-0424.780 | Y=0374.240-0383.560 | 730
P=0952 | X=0444.410-0461.050 | Y=0374.240-0383.560 | 510
P=0952 | X=0505.390-0522.030 | Y=0374.240-0383.560 | 440
P=0952 | X=0112.130-0365.440 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0952 | X=0112.130-0207.080 | Y=0404.040-0415.280 | >500m đến ≤1.000m.
P=0952 | X=0112.130-0335.300 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0952 | X=0112.130-0386.370 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0952 | X=0112.130-0384.470 | Y=0450.860-0462.100 | Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến Ranh
P=0952 | X=0112.130-0378.440 | Y=0462.380-0473.620 | giới xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi
P=0952 | X=0112.130-0140.130 | Y=0473.900-0485.140 | măng:
P=0952 | X=0095.330-0106.450 | Y=0481.780-0491.100 | 81
P=0952 | X=0408.140-0424.780 | Y=0481.780-0491.100 | 580
P=0952 | X=0444.410-0461.050 | Y=0481.780-0491.100 | 410
P=0952 | X=0505.390-0522.030 | Y=0481.780-0491.100 | 350
P=0952 | X=0112.130-0353.240 | Y=0491.420-0502.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0952 | X=0112.130-0154.270 | Y=0504.820-0514.140 | >1.000m.
P=0952 | X=0112.130-0335.770 | Y=0520.220-0531.460 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0952 | X=0112.130-0385.640 | Y=0538.010-0549.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0952 | X=0112.130-0383.030 | Y=0549.530-0560.770 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn
P=0952 | X=0112.130-0377.260 | Y=0561.050-0572.290 | 200m đến Ranh giới xã Xuân Thành có hiện trạng là đường
P=0952 | X=0095.330-0215.240 | Y=0572.570-0584.010 | 82 nhựa, bê tông xi măng:
P=0952 | X=0408.140-0424.780 | Y=0574.690-0584.010 | 860
P=0952 | X=0444.410-0461.050 | Y=0574.690-0584.010 | 600
P=0952 | X=0505.390-0522.030 | Y=0574.690-0584.010 | 520
P=0952 | X=0112.130-0343.210 | Y=0590.090-0601.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0952 | X=0112.130-0389.320 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0952 | X=0112.130-0385.640 | Y=0625.390-0636.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0952 | X=0112.130-0383.030 | Y=0636.910-0648.150 | ra Đường Xuân Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn
P=0952 | X=0112.130-0377.260 | Y=0648.430-0659.670 | 200m đến Ranh giới xã Xuân Thành có hiện trạng là đường
