TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=non-agricultural | SEGMENTS=1
P=1684 | X=0108.530-0384.460 | Y=0374.760-0386.000 | Hết ranh thửa đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh
P=1684 | X=0108.530-0367.150 | Y=0386.280-0397.520 | thửa đất số 376, tờ BĐĐC số 6 về bên trái có hiện trạng là
P=1684 | X=0108.530-0244.280 | Y=0397.800-0409.040 | đường nhựa, bê tông xi măng:
P=1684 | X=0093.620-0104.740 | Y=0408.800-0418.120 | 55
P=1684 | X=0413.180-0429.820 | Y=0408.800-0418.120 | 240
P=1684 | X=0461.450-0478.090 | Y=0408.800-0418.120 | 170
P=1684 | X=0505.390-0522.030 | Y=0408.800-0418.120 | 140
P=1684 | X=0108.530-0340.080 | Y=0415.320-0426.560 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1684 | X=0108.530-0361.840 | Y=0432.840-0444.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1684 | X=0108.530-0203.480 | Y=0444.360-0455.600 | >500m đến ≤1.000m.
P=1684 | X=0108.530-0331.700 | Y=0461.900-0473.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1684 | X=0108.530-0382.040 | Y=0479.660-0490.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1684 | X=0108.530-0377.510 | Y=0491.180-0502.420 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến
P=1684 | X=0108.530-0384.460 | Y=0502.460-0513.700 | Hết ranh thửa đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh
P=1684 | X=0108.530-0367.150 | Y=0513.980-0525.220 | thửa đất số 376, tờ BĐĐC số 6 về bên trái có hiện trạng là
P=1684 | X=0093.620-0244.280 | Y=0525.500-0536.940 | 56 đường nhựa, bê tông xi măng:
P=1684 | X=0413.180-0429.820 | Y=0527.620-0536.940 | 200
P=1684 | X=0461.450-0478.090 | Y=0527.620-0536.940 | 140
P=1684 | X=0505.390-0522.030 | Y=0527.620-0536.940 | 120
P=1684 | X=0108.530-0349.620 | Y=0543.050-0554.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1684 | X=0108.530-0150.670 | Y=0556.450-0565.770 | >1.000m.
P=1684 | X=0108.530-0332.170 | Y=0572.090-0583.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1684 | X=0219.910-0298.610 | Y=0589.850-0601.090 | Hết ranh thửa đất
P=1684 | X=0219.910-0296.100 | Y=0601.370-0612.610 | số 490, tờ BĐĐC
P=1684 | X=0108.530-0204.380 | Y=0612.890-0624.130 | Đường Phú Lập đi xã
P=1684 | X=0219.910-0296.200 | Y=0614.770-0624.090 | số 6 về bên phải;
P=1684 | X=0301.800-0359.650 | Y=0618.670-0629.910 | Đường 600A
P=1684 | X=0093.620-0104.740 | Y=0620.550-0629.870 | 57
P=1684 | X=0413.180-0429.820 | Y=0620.550-0629.870 | 820
P=1684 | X=0461.450-0478.090 | Y=0620.550-0629.870 | 570
P=1684 | X=0505.390-0522.030 | Y=0620.550-0629.870 | 490
P=1684 | X=0219.910-0296.930 | Y=0624.430-0635.670 | hết ranh thửa đất
P=1684 | X=0108.530-0170.500 | Y=0626.310-0635.630 | Nam Cát Tiên
P=1684 | X=0219.910-0296.100 | Y=0635.950-0647.190 | số 376, tờ BĐĐC
P=1684 | X=0219.910-0288.420 | Y=0649.350-0658.670 | số 6 về bên trái
P=1684 | X=0108.530-0377.480 | Y=0665.230-0676.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1684 | X=0108.530-0379.720 | Y=0676.510-0687.750 | Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số 490, tờ
P=1684 | X=0093.620-0104.740 | Y=0684.150-0693.470 | 58
P=1684 | X=0413.180-0429.820 | Y=0684.150-0693.470 | 410
P=1684 | X=0461.450-0478.090 | Y=0684.150-0693.470 | 290
P=1684 | X=0505.390-0522.030 | Y=0684.150-0693.470 | 250
P=1684 | X=0108.530-0387.350 | Y=0688.030-0699.270 | BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ BĐĐC số
P=1684 | X=0108.530-0390.460 | Y=0699.550-0710.790 | 6 về bên trái đến Đường 600A có hiện trạng là đường nhựa, bê
P=1685 | X=0108.530-0168.690 | Y=0072.500-0083.740 | tông xi măng:
P=1685 | X=0108.530-0339.640 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1685 | X=0108.530-0385.700 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1685 | X=0108.530-0377.480 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1685 | X=0108.530-0379.720 | Y=0136.850-0148.090 | Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số 490, tờ
P=1685 | X=0108.530-0387.350 | Y=0148.370-0159.610 | BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ BĐĐC số
P=1685 | X=0108.530-0390.460 | Y=0159.650-0170.890 | 6 về bên trái đến Đường 600A có hiện trạng là đường nhựa, bê
P=1685 | X=0108.530-0168.690 | Y=0171.170-0182.410 | tông xi măng:
P=1685 | X=0093.620-0104.740 | Y=0182.170-0191.490 | 59
P=1685 | X=0413.180-0429.820 | Y=0182.170-0191.490 | 340
P=1685 | X=0461.450-0478.090 | Y=0182.170-0191.490 | 240
P=1685 | X=0505.390-0522.030 | Y=0182.170-0191.490 | 200
P=1685 | X=0108.530-0340.080 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1685 | X=0108.530-0361.840 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1685 | X=0108.530-0203.480 | Y=0217.750-0228.990 | >500m đến ≤1.000m.
P=1685 | X=0108.530-0331.700 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1685 | X=0108.530-0377.480 | Y=0253.030-0264.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1685 | X=0108.530-0379.720 | Y=0264.550-0275.790 | Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số 490, tờ
P=1685 | X=0108.530-0387.350 | Y=0276.070-0287.310 | BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ BĐĐC số
P=1685 | X=0108.530-0390.460 | Y=0287.620-0298.860 | 6 về bên trái đến Đường 600A có hiện trạng là đường nhựa, bê
P=1685 | X=0093.620-0168.690 | Y=0299.140-0310.580 | 60 tông xi măng:
P=1685 | X=0413.180-0429.820 | Y=0301.260-0310.580 | 220
P=1685 | X=0461.450-0478.090 | Y=0301.260-0310.580 | 150
P=1685 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 130
P=1685 | X=0108.530-0349.620 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1685 | X=0108.530-0150.670 | Y=0329.820-0339.140 | >1.000m.
P=1685 | X=0108.530-0332.170 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1685 | X=0108.530-0382.040 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1685 | X=0108.530-0382.300 | Y=0374.760-0386.000 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa
P=1685 | X=0108.530-0373.180 | Y=0386.280-0397.520 | đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số
P=1685 | X=0108.530-0383.030 | Y=0397.800-0409.040 | 376, tờ BĐĐC số 6 về bên trái đến Đường 600A có hiện trạng
P=1685 | X=0093.620-0104.740 | Y=0405.680-0415.000 | 61
P=1685 | X=0413.180-0429.820 | Y=0405.680-0415.000 | 370
P=1685 | X=0461.450-0478.090 | Y=0405.680-0415.000 | 260
P=1685 | X=0505.390-0522.030 | Y=0405.680-0415.000 | 220
P=1685 | X=0108.530-0254.860 | Y=0409.320-0420.560 | là đường nhựa, bê tông xi măng:
P=1685 | X=0108.530-0339.610 | Y=0426.840-0438.080 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1685 | X=0108.530-0385.700 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1685 | X=0108.530-0382.040 | Y=0462.140-0473.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1685 | X=0108.530-0382.300 | Y=0473.660-0484.900 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa
P=1685 | X=0108.530-0373.180 | Y=0485.180-0496.420 | đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số
P=1685 | X=0108.530-0383.030 | Y=0496.460-0507.700 | 376, tờ BĐĐC số 6 về bên trái đến Đường 600A có hiện trạng
P=1685 | X=0108.530-0254.860 | Y=0507.980-0519.220 | là đường nhựa, bê tông xi măng:
P=1685 | X=0093.620-0104.740 | Y=0518.980-0528.300 | 62
P=1685 | X=0413.180-0429.820 | Y=0518.980-0528.300 | 310
P=1685 | X=0461.450-0478.090 | Y=0518.980-0528.300 | 220
P=1685 | X=0505.390-0522.030 | Y=0518.980-0528.300 | 190
P=1685 | X=0108.530-0340.080 | Y=0525.500-0536.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1685 | X=0108.530-0361.840 | Y=0543.050-0554.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1685 | X=0108.530-0203.480 | Y=0554.570-0565.810 | >500m đến ≤1.000m.
P=1685 | X=0108.530-0331.700 | Y=0572.090-0583.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1685 | X=0108.530-0382.040 | Y=0589.850-0601.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1685 | X=0108.530-0382.300 | Y=0601.370-0612.610 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa
P=1685 | X=0108.530-0373.180 | Y=0612.890-0624.130 | đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số
P=1685 | X=0108.530-0383.030 | Y=0624.430-0635.670 | 376, tờ BĐĐC số 6 về bên trái đến Đường 600A có hiện trạng
P=1685 | X=0093.620-0254.860 | Y=0635.950-0647.390 | 63 là đường nhựa, bê tông xi măng:
P=1685 | X=0413.180-0429.820 | Y=0638.070-0647.390 | 200
P=1685 | X=0461.450-0478.090 | Y=0638.070-0647.390 | 140
P=1685 | X=0505.390-0522.030 | Y=0638.070-0647.390 | 120
P=1685 | X=0108.530-0349.640 | Y=0653.470-0664.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1685 | X=0108.530-0150.670 | Y=0666.630-0675.950 | >1.000m.
P=1685 | X=0108.530-0332.170 | Y=0682.270-0693.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1685 | X=0093.620-0173.830 | Y=0700.050-0711.290 | 64 Đường 6A- 6B
P=1685 | X=0219.910-0374.150 | Y=0700.050-0711.290 | Đường Phú Lập Ngã ba (Trường
P=1685 | X=0413.180-0429.820 | Y=0701.940-0711.260 | 550
P=1685 | X=0461.450-0478.090 | Y=0701.940-0711.260 | 390
P=1685 | X=0505.390-0522.030 | Y=0701.940-0711.260 | 330
P=1686 | X=0219.910-0383.660 | Y=0072.500-0083.740 | đi Nam Cát Tiên THCS Núi Tượng)
P=1686 | X=0108.530-0390.390 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 6A- 6B
P=1686 | X=0108.530-0387.340 | Y=0101.780-0113.020 | đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã ba (Trường
P=1686 | X=0108.530-0369.320 | Y=0113.300-0124.540 | THCS Núi Tượng) có hiện trạng là đường nhựa, bê tông xi
P=1686 | X=0093.620-0136.530 | Y=0124.850-0136.290 | 65 măng:
P=1686 | X=0413.180-0429.820 | Y=0126.970-0136.290 | 270
P=1686 | X=0461.450-0478.090 | Y=0126.970-0136.290 | 190
P=1686 | X=0505.390-0522.030 | Y=0126.970-0136.290 | 160
P=1686 | X=0108.530-0339.610 | Y=0142.370-0153.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1686 | X=0108.530-0385.700 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1686 | X=0108.530-0390.390 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 6A- 6B
P=1686 | X=0108.530-0387.340 | Y=0188.930-0200.170 | đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã ba (Trường
P=1686 | X=0108.530-0369.320 | Y=0200.470-0211.710 | THCS Núi Tượng) có hiện trạng là đường nhựa, bê tông xi
P=1686 | X=0108.530-0136.530 | Y=0211.990-0223.230 | măng:
P=1686 | X=0093.620-0340.080 | Y=0228.750-0240.750 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1686 | X=0413.180-0429.820 | Y=0228.750-0238.070 | 230
P=1686 | X=0461.450-0478.090 | Y=0228.750-0238.070 | 160
P=1686 | X=0505.390-0522.030 | Y=0228.750-0238.070 | 140
P=1686 | X=0108.530-0361.840 | Y=0247.030-0258.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1686 | X=0108.530-0203.480 | Y=0258.550-0269.790 | >500m đến ≤1.000m.
P=1686 | X=0108.530-0331.700 | Y=0276.070-0287.310 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1686 | X=0108.530-0390.390 | Y=0293.860-0305.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 6A- 6B
P=1686 | X=0108.530-0387.340 | Y=0305.380-0316.620 | đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã ba (Trường
P=1686 | X=0108.530-0369.320 | Y=0316.900-0328.140 | THCS Núi Tượng) có hiện trạng là đường nhựa, bê tông xi
P=1686 | X=0108.530-0136.530 | Y=0328.420-0339.660 | măng:
P=1686 | X=0093.620-0104.740 | Y=0336.300-0345.620 | 67
P=1686 | X=0413.180-0429.820 | Y=0336.300-0345.620 | 210
P=1686 | X=0461.450-0478.090 | Y=0336.300-0345.620 | 150
P=1686 | X=0505.390-0522.030 | Y=0336.300-0345.620 | 130
P=1686 | X=0108.530-0349.620 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1686 | X=0108.530-0150.670 | Y=0359.100-0368.420 | >1.000m.
P=1686 | X=0108.530-0332.170 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1686 | X=0108.530-0382.040 | Y=0392.520-0403.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1686 | X=0108.530-0391.660 | Y=0404.040-0415.280 | ra Đường 6A- 6B đoạn từ Đường Phú Lập đi Nam Cát Tiên đến
P=1686 | X=0108.530-0369.100 | Y=0415.560-0426.800 | Ngã ba (Trường THCS Núi Tượng) có hiện trạng là đường
P=1686 | X=0093.620-0211.640 | Y=0427.080-0438.520 | 68 nhựa, bê tông xi măng:
P=1686 | X=0413.180-0429.820 | Y=0429.200-0438.520 | 240
P=1686 | X=0461.450-0478.090 | Y=0429.200-0438.520 | 170
P=1686 | X=0505.390-0522.030 | Y=0429.200-0438.520 | 140
P=1686 | X=0108.530-0339.610 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1686 | X=0108.530-0385.700 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1686 | X=0108.530-0382.040 | Y=0479.900-0491.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1686 | X=0108.530-0391.660 | Y=0491.420-0502.660 | ra Đường 6A- 6B đoạn từ Đường Phú Lập đi Nam Cát Tiên đến
P=1686 | X=0108.530-0369.100 | Y=0502.940-0514.180 | Ngã ba (Trường THCS Núi Tượng) có hiện trạng là đường
P=1686 | X=0108.530-0211.640 | Y=0514.220-0525.460 | nhựa, bê tông xi măng:
P=1686 | X=0093.620-0340.080 | Y=0530.980-0542.980 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1686 | X=0413.180-0429.820 | Y=0530.980-0540.300 | 210
P=1686 | X=0461.450-0478.090 | Y=0530.980-0540.300 | 150
P=1686 | X=0505.390-0522.030 | Y=0530.980-0540.300 | 130
P=1686 | X=0108.530-0361.840 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1686 | X=0108.530-0203.480 | Y=0560.810-0572.050 | >500m đến ≤1.000m.
P=1686 | X=0108.530-0331.700 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1686 | X=0108.530-0382.040 | Y=0596.090-0607.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1686 | X=0108.530-0391.660 | Y=0607.610-0618.850 | ra Đường 6A- 6B đoạn từ Đường Phú Lập đi Nam Cát Tiên đến
P=1686 | X=0108.530-0369.100 | Y=0619.150-0630.390 | Ngã ba (Trường THCS Núi Tượng) có hiện trạng là đường
P=1686 | X=0108.530-0211.640 | Y=0630.670-0641.910 | nhựa, bê tông xi măng:
P=1686 | X=0093.620-0104.740 | Y=0638.550-0647.870 | 70
P=1686 | X=0413.180-0429.820 | Y=0638.550-0647.870 | 190
P=1686 | X=0461.450-0478.090 | Y=0638.550-0647.870 | 130
P=1686 | X=0505.390-0522.030 | Y=0638.550-0647.870 | 110
P=1686 | X=0108.530-0349.620 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1686 | X=0108.530-0150.670 | Y=0661.590-0670.910 | >1.000m.
P=1686 | X=0108.530-0332.170 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1686 | X=0301.800-0377.380 | Y=0696.630-0705.950 | Hết ranh xã Nam
P=1686 | X=0093.620-0166.380 | Y=0700.530-0711.770 | 71 Đường 600B
P=1686 | X=0219.910-0277.790 | Y=0700.530-0711.770 | Đường 600A
P=1686 | X=0413.180-0429.820 | Y=0702.420-0711.740 | 690
P=1686 | X=0461.450-0478.090 | Y=0702.420-0711.740 | 480
P=1686 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 410
P=1686 | X=0301.800-0339.780 | Y=0708.180-0717.500 | Cát Tiên
P=1687 | X=0108.530-0382.930 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600B
P=1687 | X=0108.530-0377.270 | Y=0090.020-0101.260 | đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có hiện
P=1687 | X=0108.530-0280.310 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=1687 | X=0093.620-0104.740 | Y=0109.420-0118.740 | 72
P=1687 | X=0413.180-0429.820 | Y=0109.420-0118.740 | 340
P=1687 | X=0461.450-0478.090 | Y=0109.420-0118.740 | 240
P=1687 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 200
P=1687 | X=0108.530-0339.610 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1687 | X=0108.530-0385.700 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1687 | X=0108.530-0382.930 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600B
P=1687 | X=0108.530-0377.270 | Y=0165.650-0176.890 | đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có hiện
P=1687 | X=0108.530-0280.310 | Y=0177.170-0188.410 | trạng là đường nhựa, bê tông xi măng:
P=1687 | X=0093.620-0340.080 | Y=0194.690-0209.030 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1687 | X=0413.180-0429.820 | Y=0199.710-0209.030 | 270
P=1687 | X=0461.450-0478.090 | Y=0199.710-0209.030 | 190
P=1687 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 160
P=1687 | X=0108.530-0361.840 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1687 | X=0108.530-0203.480 | Y=0223.750-0234.990 | >500m đến ≤1.000m.
P=1687 | X=0108.530-0331.720 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1687 | X=0108.530-0382.930 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600B
P=1687 | X=0108.530-0377.270 | Y=0270.550-0281.790 | đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có hiện
P=1687 | X=0108.530-0280.310 | Y=0282.100-0293.340 | trạng là đường nhựa, bê tông xi măng:
P=1687 | X=0093.620-0104.740 | Y=0295.740-0305.060 | 74
P=1687 | X=0413.180-0429.820 | Y=0295.740-0305.060 | 210
P=1687 | X=0461.450-0478.090 | Y=0295.740-0305.060 | 150
P=1687 | X=0505.390-0522.030 | Y=0295.740-0305.060 | 130
P=1687 | X=0108.530-0349.620 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1687 | X=0108.530-0150.670 | Y=0313.020-0322.340 | >1.000m.
P=1687 | X=0108.530-0332.170 | Y=0328.660-0339.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1687 | X=0108.530-0382.040 | Y=0346.420-0357.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1687 | X=0108.530-0391.940 | Y=0357.700-0368.940 | ra Đường 600B đoạn từ Đường 600A đến Hết ranh xã Nam Cát
P=1687 | X=0108.530-0337.690 | Y=0369.240-0380.480 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1687 | X=0093.620-0104.740 | Y=0377.120-0386.440 | 75
P=1687 | X=0413.180-0429.820 | Y=0377.120-0386.440 | 310
P=1687 | X=0461.450-0478.090 | Y=0377.120-0386.440 | 220
P=1687 | X=0505.390-0522.030 | Y=0377.120-0386.440 | 190
P=1687 | X=0108.530-0339.640 | Y=0386.760-0398.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1687 | X=0108.530-0385.700 | Y=0404.280-0415.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1687 | X=0108.530-0382.040 | Y=0422.040-0433.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1687 | X=0108.530-0391.940 | Y=0433.560-0444.800 | ra Đường 600B đoạn từ Đường 600A đến Hết ranh xã Nam Cát
P=1687 | X=0108.530-0337.690 | Y=0445.080-0456.320 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1687 | X=0093.620-0340.080 | Y=0462.620-0476.700 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1687 | X=0413.180-0429.820 | Y=0467.380-0476.700 | 240
P=1687 | X=0461.450-0478.090 | Y=0467.380-0476.700 | 170
P=1687 | X=0505.390-0522.030 | Y=0467.380-0476.700 | 140
P=1687 | X=0108.530-0361.840 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1687 | X=0108.530-0203.480 | Y=0491.660-0502.900 | >500m đến ≤1.000m.
P=1687 | X=0108.530-0331.700 | Y=0509.180-0520.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1687 | X=0108.530-0382.040 | Y=0526.940-0538.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1687 | X=0108.530-0391.940 | Y=0538.250-0549.490 | ra Đường 600B đoạn từ Đường 600A đến Hết ranh xã Nam Cát
P=1687 | X=0108.530-0337.690 | Y=0549.770-0561.010 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1687 | X=0093.620-0104.740 | Y=0563.410-0572.730 | 77
P=1687 | X=0413.180-0429.820 | Y=0563.410-0572.730 | 190
P=1687 | X=0461.450-0478.090 | Y=0563.410-0572.730 | 130
P=1687 | X=0505.390-0522.030 | Y=0563.410-0572.730 | 110
P=1687 | X=0108.530-0349.620 | Y=0567.290-0578.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1687 | X=0108.530-0150.670 | Y=0580.690-0590.010 | >1.000m.
P=1687 | X=0108.530-0332.170 | Y=0596.330-0607.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1687 | X=0301.800-0377.420 | Y=0615.970-0625.290 | Hết ranh xã Nam
P=1687 | X=0093.620-0277.790 | Y=0619.870-0631.110 | 78 Đường nhà thờ Kim Lân Đường 600A
P=1687 | X=0413.180-0429.820 | Y=0621.750-0631.070 | 550
P=1687 | X=0461.450-0478.090 | Y=0621.750-0631.070 | 390
P=1687 | X=0505.390-0522.030 | Y=0621.750-0631.070 | 330
P=1687 | X=0301.800-0339.780 | Y=0627.510-0636.830 | Cát Tiên
P=1687 | X=0108.530-0376.290 | Y=0643.390-0654.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà
P=1687 | X=0108.530-0377.050 | Y=0654.910-0666.150 | thờ Kim Lân đoạn từ Đường 600A đến Hết ranh xã Nam Cát
P=1687 | X=0108.530-0337.690 | Y=0666.430-0677.670 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1687 | X=0093.620-0104.740 | Y=0674.310-0683.630 | 79
P=1687 | X=0413.180-0429.820 | Y=0674.310-0683.630 | 270
P=1687 | X=0461.450-0478.090 | Y=0674.310-0683.630 | 190
P=1687 | X=0505.390-0522.030 | Y=0674.310-0683.630 | 160
P=1687 | X=0108.530-0339.610 | Y=0683.950-0695.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1687 | X=0108.530-0385.700 | Y=0701.490-0712.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1688 | X=0108.530-0376.290 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà
P=1688 | X=0108.530-0377.050 | Y=0090.020-0101.260 | thờ Kim Lân đoạn từ Đường 600A đến Hết ranh xã Nam Cát
P=1688 | X=0108.530-0337.690 | Y=0101.540-0112.780 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1688 | X=0093.620-0340.090 | Y=0119.090-0133.170 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1688 | X=0413.180-0429.820 | Y=0123.850-0133.170 | 230
P=1688 | X=0461.450-0478.090 | Y=0123.850-0133.170 | 160
P=1688 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 140
P=1688 | X=0108.530-0361.840 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1688 | X=0108.530-0203.480 | Y=0148.130-0159.370 | >500m đến ≤1.000m.
P=1688 | X=0108.530-0331.700 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1688 | X=0108.530-0376.290 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà
P=1688 | X=0108.530-0377.070 | Y=0194.690-0205.930 | thờ Kim Lân đoạn từ Đường 600A đến Hết ranh xã Nam Cát
P=1688 | X=0108.530-0337.690 | Y=0206.230-0217.470 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1688 | X=0093.620-0104.740 | Y=0219.870-0229.190 | 81
P=1688 | X=0413.180-0429.820 | Y=0219.870-0229.190 | 210
P=1688 | X=0461.450-0478.090 | Y=0219.870-0229.190 | 150
P=1688 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 130
