TABLE=038 | AREA=Xã Bình Minh | SECTION=non-agricultural | SEGMENTS=1
P=1340 | X=0497.230-0522.280 | Y=0674.790-0684.110 | 1.300
P=1340 | X=0106.850-0338.400 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1340 | X=0106.850-0413.270 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1340 | X=0106.850-0148.530 | Y=0707.730-0718.970 | ≤1.000m.
P=1341 | X=0106.850-0330.020 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1341 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1341 | X=0106.850-0406.310 | Y=0107.780-0119.020 | Đường tỉnh 767 đoạn từ Trường Tiểu học Sông Mây đến Cầu Sông
P=1341 | X=0106.850-0339.380 | Y=0119.330-0130.570 | Thao có hiện trạng là đường nhựa, bê tông xi măng:
P=1341 | X=0090.020-0106.660 | Y=0127.210-0136.530 | 119
P=1341 | X=0424.970-0450.020 | Y=0127.210-0136.530 | 1.300
P=1341 | X=0469.370-0486.010 | Y=0127.210-0136.530 | 910
P=1341 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 780
P=1341 | X=0106.850-0392.640 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1341 | X=0106.850-0330.490 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1341 | X=0322.200-0400.790 | Y=0172.130-0183.370 | Ngã 3 đường vào
P=1341 | X=0090.020-0194.760 | Y=0177.650-0188.890 | 120 Đường Sông Mây 8
P=1341 | X=0235.540-0305.710 | Y=0177.650-0188.890 | Đường tỉnh 767
P=1341 | X=0424.970-0450.020 | Y=0179.530-0188.850 | 3.300
P=1341 | X=0461.210-0486.260 | Y=0179.530-0188.850 | 2.300
P=1341 | X=0497.230-0522.280 | Y=0179.530-0188.850 | 2.000
P=1341 | X=0322.200-0414.620 | Y=0183.410-0194.650 | Nghĩa Địa Sông Mây
P=1341 | X=0106.850-0411.550 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1341 | X=0106.850-0410.050 | Y=0212.710-0223.950 | đoạn từ Đường tỉnh 767 đến Ngã 3 đường vào Nghĩa Địa Sông Mây
P=1341 | X=0106.850-0313.700 | Y=0224.230-0235.470 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1341 | X=0090.020-0106.660 | Y=0232.110-0241.430 | 121
P=1341 | X=0424.970-0450.010 | Y=0232.110-0241.430 | 2.300
P=1341 | X=0461.210-0486.260 | Y=0232.110-0241.430 | 1.600
P=1341 | X=0497.230-0522.280 | Y=0232.110-0241.430 | 1.400
P=1341 | X=0106.850-0337.930 | Y=0241.750-0252.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1341 | X=0106.850-0384.020 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1341 | X=0106.850-0411.550 | Y=0277.030-0288.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1341 | X=0106.850-0410.050 | Y=0288.580-0299.820 | đoạn từ Đường tỉnh 767 đến Ngã 3 đường vào Nghĩa Địa Sông Mây
P=1341 | X=0106.850-0313.700 | Y=0300.100-0311.340 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1341 | X=0090.020-0338.400 | Y=0317.620-0331.700 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1341 | X=0424.970-0450.020 | Y=0322.380-0331.700 | 1.800
P=1341 | X=0461.210-0486.260 | Y=0322.380-0331.700 | 1.300
P=1341 | X=0497.230-0522.280 | Y=0322.380-0331.700 | 1.100
P=1341 | X=0106.850-0413.270 | Y=0335.140-0346.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1341 | X=0106.850-0148.530 | Y=0346.660-0357.900 | ≤1.000m.
P=1341 | X=0106.850-0330.020 | Y=0363.940-0375.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1341 | X=0106.850-0411.550 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1341 | X=0106.850-0410.050 | Y=0393.240-0404.480 | đoạn từ Đường tỉnh 767 đến Ngã 3 đường vào Nghĩa Địa Sông Mây
P=1341 | X=0106.850-0313.700 | Y=0404.760-0416.000 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1341 | X=0090.020-0106.660 | Y=0412.640-0421.960 | 123
P=1341 | X=0424.970-0450.020 | Y=0412.640-0421.960 | 1.300
P=1341 | X=0469.370-0486.010 | Y=0412.640-0421.960 | 910
P=1341 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 780
P=1341 | X=0106.850-0392.640 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1341 | X=0106.850-0330.490 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1341 | X=0106.850-0392.110 | Y=0457.580-0468.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1341 | X=0106.850-0405.590 | Y=0469.100-0480.340 | Đường Sông Mây 8 đoạn từ Đường tỉnh 767 đến Ngã 3 đường vào
P=1341 | X=0106.850-0408.990 | Y=0480.620-0491.860 | Nghĩa Địa Sông Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1341 | X=0090.020-0106.660 | Y=0488.500-0497.820 | 124
P=1341 | X=0424.970-0450.020 | Y=0488.500-0497.820 | 2.100
P=1341 | X=0461.210-0486.260 | Y=0488.500-0497.820 | 1.500
P=1341 | X=0497.230-0522.280 | Y=0488.500-0497.820 | 1.300
P=1341 | X=0106.850-0337.930 | Y=0498.140-0509.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1341 | X=0106.850-0384.020 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1341 | X=0106.850-0392.110 | Y=0533.450-0544.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1341 | X=0106.850-0405.590 | Y=0544.970-0556.210 | Đường Sông Mây 8 đoạn từ Đường tỉnh 767 đến Ngã 3 đường vào
P=1341 | X=0106.850-0408.990 | Y=0556.250-0567.490 | Nghĩa Địa Sông Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1341 | X=0090.020-0338.400 | Y=0573.770-0588.090 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1341 | X=0424.970-0450.020 | Y=0578.770-0588.090 | 1.600
P=1341 | X=0461.210-0486.260 | Y=0578.770-0588.090 | 1.100
P=1341 | X=0505.390-0522.030 | Y=0578.770-0588.090 | 960
P=1341 | X=0106.850-0413.270 | Y=0591.290-0602.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1341 | X=0106.850-0148.530 | Y=0602.810-0614.050 | ≤1.000m.
P=1341 | X=0106.850-0330.020 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1341 | X=0106.850-0392.110 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1341 | X=0106.850-0405.590 | Y=0649.630-0660.870 | Đường Sông Mây 8 đoạn từ Đường tỉnh 767 đến Ngã 3 đường vào
P=1341 | X=0106.850-0408.990 | Y=0661.150-0672.390 | Nghĩa Địa Sông Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1341 | X=0090.020-0106.660 | Y=0669.030-0678.350 | 126
P=1341 | X=0424.970-0450.020 | Y=0669.030-0678.350 | 1.200
P=1341 | X=0469.370-0486.010 | Y=0669.030-0678.350 | 840
P=1341 | X=0505.390-0522.030 | Y=0669.030-0678.350 | 720
P=1341 | X=0106.850-0392.640 | Y=0678.670-0689.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1341 | X=0106.850-0330.490 | Y=0696.190-0707.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1342 | X=0235.540-0413.030 | Y=0078.500-0089.740 | Ngã 3 đường vào Đường đối diện Nhà
P=1342 | X=0090.020-0194.760 | Y=0090.020-0101.260 | 127 Đường Sông Mây 8
P=1342 | X=0235.540-0306.430 | Y=0090.020-0101.260 | Nghĩa Địa Sông
P=1342 | X=0322.200-0401.270 | Y=0090.020-0101.260 | Văn Hóa ấp Sông
P=1342 | X=0424.970-0450.020 | Y=0091.900-0101.220 | 2.300
P=1342 | X=0461.210-0486.250 | Y=0091.900-0101.220 | 1.600
P=1342 | X=0497.230-0522.280 | Y=0091.900-0101.220 | 1.400
P=1342 | X=0235.540-0254.500 | Y=0103.420-0112.740 | Mây
P=1342 | X=0322.200-0341.160 | Y=0103.420-0112.740 | Mây
P=1342 | X=0106.850-0411.550 | Y=0119.330-0130.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1342 | X=0106.850-0409.420 | Y=0130.850-0142.090 | đoạn từ Ngã 3 đường vào Nghĩa Địa Sông Mây đến Đường đối diện
P=1342 | X=0106.850-0407.720 | Y=0142.370-0153.610 | Nhà Văn Hóa ấp Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1342 | X=0090.020-0134.850 | Y=0153.650-0165.330 | 128 măng:
P=1342 | X=0424.970-0450.020 | Y=0156.010-0165.330 | 1.600
P=1342 | X=0461.210-0486.260 | Y=0156.010-0165.330 | 1.100
P=1342 | X=0505.390-0522.030 | Y=0156.010-0165.330 | 960
P=1342 | X=0106.850-0337.970 | Y=0171.170-0182.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1342 | X=0106.850-0384.020 | Y=0188.690-0199.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1342 | X=0106.850-0411.550 | Y=0206.470-0217.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1342 | X=0106.850-0409.420 | Y=0217.990-0229.230 | đoạn từ Ngã 3 đường vào Nghĩa Địa Sông Mây đến Đường đối diện
P=1342 | X=0106.850-0407.720 | Y=0229.510-0240.750 | Nhà Văn Hóa ấp Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1342 | X=0106.850-0134.850 | Y=0241.030-0252.270 | măng:
P=1342 | X=0090.020-0338.400 | Y=0257.550-0269.790 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1342 | X=0424.970-0450.020 | Y=0257.550-0266.870 | 1.200
P=1342 | X=0469.370-0486.010 | Y=0257.550-0266.870 | 840
P=1342 | X=0505.390-0522.030 | Y=0257.550-0266.870 | 720
P=1342 | X=0106.850-0413.270 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1342 | X=0106.850-0148.530 | Y=0287.620-0298.860 | ≤1.000m.
P=1342 | X=0106.850-0330.020 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1342 | X=0106.850-0411.550 | Y=0322.900-0334.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1342 | X=0106.850-0409.420 | Y=0334.420-0345.660 | đoạn từ Ngã 3 đường vào Nghĩa Địa Sông Mây đến Đường đối diện
P=1342 | X=0106.850-0407.720 | Y=0345.700-0356.940 | Nhà Văn Hóa ấp Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1342 | X=0090.020-0134.850 | Y=0357.220-0368.660 | 130 măng:
P=1342 | X=0433.130-0449.770 | Y=0359.340-0368.660 | 550
P=1342 | X=0469.370-0486.010 | Y=0359.340-0368.660 | 390
P=1342 | X=0505.390-0522.030 | Y=0359.340-0368.660 | 330
P=1342 | X=0106.850-0392.640 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1342 | X=0106.850-0330.520 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1342 | X=0106.850-0392.110 | Y=0410.040-0421.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1342 | X=0106.850-0408.370 | Y=0421.560-0432.800 | Đường Sông Mây 8 đoạn từ Ngã 3 đường vào Nghĩa Địa Sông Mây
P=1342 | X=0106.850-0391.890 | Y=0433.080-0444.320 | đến Đường đối diện Nhà Văn Hóa ấp Sông Mây có hiện trạng là
P=1342 | X=0090.020-0242.600 | Y=0444.600-0456.040 | 131 đường nhựa, bê tông xi măng:
P=1342 | X=0424.970-0450.020 | Y=0446.720-0456.040 | 1.400
P=1342 | X=0469.370-0486.010 | Y=0446.720-0456.040 | 980
P=1342 | X=0505.390-0522.030 | Y=0446.720-0456.040 | 840
P=1342 | X=0106.850-0337.930 | Y=0462.140-0473.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1342 | X=0106.850-0384.020 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1342 | X=0106.850-0392.110 | Y=0497.420-0508.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1342 | X=0106.850-0408.370 | Y=0508.940-0520.180 | Đường Sông Mây 8 đoạn từ Ngã 3 đường vào Nghĩa Địa Sông Mây
P=1342 | X=0106.850-0391.890 | Y=0520.220-0531.460 | đến Đường đối diện Nhà Văn Hóa ấp Sông Mây có hiện trạng là
P=1342 | X=0106.850-0242.600 | Y=0531.740-0542.980 | đường nhựa, bê tông xi măng:
P=1342 | X=0090.020-0338.400 | Y=0548.530-0560.530 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1342 | X=0424.970-0450.020 | Y=0548.530-0557.850 | 1.100
P=1342 | X=0469.370-0486.010 | Y=0548.530-0557.850 | 770
P=1342 | X=0505.390-0522.030 | Y=0548.530-0557.850 | 660
P=1342 | X=0106.850-0413.270 | Y=0566.810-0578.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1342 | X=0106.850-0148.530 | Y=0578.330-0589.570 | ≤1.000m.
P=1342 | X=0106.850-0330.020 | Y=0595.850-0607.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1342 | X=0106.850-0392.110 | Y=0613.610-0624.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1342 | X=0106.850-0408.370 | Y=0625.150-0636.390 | Đường Sông Mây 8 đoạn từ Ngã 3 đường vào Nghĩa Địa Sông Mây
P=1342 | X=0106.850-0391.890 | Y=0636.670-0647.910 | đến Đường đối diện Nhà Văn Hóa ấp Sông Mây có hiện trạng là
P=1342 | X=0090.020-0242.600 | Y=0648.190-0659.630 | 133 đường nhựa, bê tông xi măng:
P=1342 | X=0433.130-0449.770 | Y=0650.310-0659.630 | 500
P=1342 | X=0469.370-0486.010 | Y=0650.310-0659.630 | 350
P=1342 | X=0505.390-0522.030 | Y=0650.310-0659.630 | 300
P=1342 | X=0106.850-0392.660 | Y=0665.710-0676.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1342 | X=0106.850-0330.490 | Y=0683.230-0694.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1342 | X=0090.020-0194.760 | Y=0700.770-0712.010 | 134 Đường Sông Mây 8
P=1342 | X=0235.540-0305.240 | Y=0700.770-0712.010 | Đường đối diện
P=1342 | X=0322.200-0404.620 | Y=0700.770-0712.010 | Ngã 3 Trường tiểu
P=1342 | X=0424.970-0450.020 | Y=0702.660-0711.980 | 3.100
P=1342 | X=0461.210-0486.260 | Y=0702.660-0711.980 | 2.200
P=1342 | X=0497.230-0522.280 | Y=0702.660-0711.980 | 1.900
P=1343 | X=0235.540-0309.560 | Y=0072.500-0083.740 | Nhà Văn Hóa ấp
P=1343 | X=0322.200-0386.270 | Y=0074.380-0083.700 | học Sông Mây
P=1343 | X=0235.540-0280.660 | Y=0085.900-0095.220 | Sông Mây
P=1343 | X=0106.850-0411.550 | Y=0101.780-0113.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1343 | X=0106.850-0387.070 | Y=0113.300-0124.540 | đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông Mây đến Ngã 3
P=1343 | X=0106.850-0405.320 | Y=0124.850-0136.090 | Trường tiểu học Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1343 | X=0090.020-0134.850 | Y=0136.370-0147.810 | 135 măng:
P=1343 | X=0424.970-0450.020 | Y=0138.490-0147.810 | 2.000
P=1343 | X=0461.210-0486.260 | Y=0138.490-0147.810 | 1.400
P=1343 | X=0497.230-0522.280 | Y=0138.490-0147.810 | 1.200
P=1343 | X=0106.850-0337.930 | Y=0153.650-0164.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1343 | X=0106.850-0384.020 | Y=0171.170-0182.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1343 | X=0106.850-0411.550 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1343 | X=0106.850-0387.070 | Y=0200.470-0211.710 | đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông Mây đến Ngã 3
P=1343 | X=0106.850-0405.320 | Y=0211.990-0223.230 | Trường tiểu học Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1343 | X=0106.850-0134.850 | Y=0223.510-0234.750 | măng:
P=1343 | X=0090.020-0338.400 | Y=0240.270-0252.270 | 136 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1343 | X=0424.970-0450.020 | Y=0240.270-0249.590 | 1.200
P=1343 | X=0469.370-0486.010 | Y=0240.270-0249.590 | 840
P=1343 | X=0505.390-0522.030 | Y=0240.270-0249.590 | 720
P=1343 | X=0106.850-0413.270 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1343 | X=0106.850-0148.530 | Y=0270.070-0281.310 | ≤1.000m.
P=1343 | X=0106.850-0330.020 | Y=0287.620-0298.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1343 | X=0106.850-0411.550 | Y=0305.380-0316.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây 8
P=1343 | X=0106.850-0387.070 | Y=0316.900-0328.140 | đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông Mây đến Ngã 3
P=1343 | X=0106.850-0405.320 | Y=0328.420-0339.660 | Trường tiểu học Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1343 | X=0090.020-0134.850 | Y=0339.700-0351.140 | 137 măng:
P=1343 | X=0433.130-0449.770 | Y=0341.820-0351.140 | 550
P=1343 | X=0469.370-0486.010 | Y=0341.820-0351.140 | 390
P=1343 | X=0505.390-0522.030 | Y=0341.820-0351.140 | 330
P=1343 | X=0106.850-0392.640 | Y=0357.220-0368.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1343 | X=0106.850-0330.490 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1343 | X=0106.850-0392.110 | Y=0392.520-0403.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1343 | X=0106.850-0407.030 | Y=0404.040-0415.280 | Đường Sông Mây 8 đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông
P=1343 | X=0106.850-0401.020 | Y=0415.560-0426.800 | Mây đến Ngã 3 Trường tiểu học Sông Mây có hiện trạng là đường
P=1343 | X=0090.020-0209.960 | Y=0427.080-0438.520 | 138 nhựa, bê tông xi măng:
P=1343 | X=0424.970-0450.020 | Y=0429.200-0438.520 | 1.800
P=1343 | X=0461.210-0486.260 | Y=0429.200-0438.520 | 1.300
P=1343 | X=0497.230-0522.280 | Y=0429.200-0438.520 | 1.100
P=1343 | X=0106.850-0337.930 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1343 | X=0106.850-0384.020 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1343 | X=0106.850-0392.110 | Y=0479.900-0491.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1343 | X=0106.850-0407.030 | Y=0491.420-0502.660 | Đường Sông Mây 8 đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông
P=1343 | X=0106.850-0401.020 | Y=0502.940-0514.180 | Mây đến Ngã 3 Trường tiểu học Sông Mây có hiện trạng là đường
P=1343 | X=0106.850-0209.960 | Y=0514.220-0525.460 | nhựa, bê tông xi măng:
P=1343 | X=0090.020-0338.430 | Y=0530.980-0542.980 | 139 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1343 | X=0424.970-0450.020 | Y=0530.980-0540.300 | 1.100
P=1343 | X=0469.370-0486.010 | Y=0530.980-0540.300 | 770
P=1343 | X=0505.390-0522.030 | Y=0530.980-0540.300 | 660
P=1343 | X=0106.850-0413.270 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1343 | X=0106.850-0148.530 | Y=0560.810-0572.050 | ≤1.000m.
P=1343 | X=0106.850-0330.020 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1343 | X=0106.850-0392.110 | Y=0596.090-0607.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1343 | X=0106.850-0407.030 | Y=0607.610-0618.850 | Đường Sông Mây 8 đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông
P=1343 | X=0106.850-0401.020 | Y=0619.150-0630.390 | Mây đến Ngã 3 Trường tiểu học Sông Mây có hiện trạng là đường
P=1343 | X=0090.020-0209.960 | Y=0630.670-0642.110 | 140 nhựa, bê tông xi măng:
P=1343 | X=0433.130-0449.770 | Y=0632.790-0642.110 | 500
P=1343 | X=0469.370-0486.010 | Y=0632.790-0642.110 | 350
P=1343 | X=0505.390-0522.030 | Y=0632.790-0642.110 | 300
P=1343 | X=0106.850-0392.640 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1343 | X=0106.850-0330.490 | Y=0665.710-0676.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1343 | X=0106.850-0224.230 | Y=0683.470-0694.710 | Đường liên xã Bình Minh -
P=1343 | X=0322.200-0412.540 | Y=0683.470-0694.710 | Hết đài đức mẹ giáo
P=1343 | X=0235.540-0305.710 | Y=0689.230-0700.470 | Đường tỉnh 767
P=1343 | X=0090.020-0106.660 | Y=0691.110-0700.430 | 141
P=1343 | X=0424.970-0450.020 | Y=0691.110-0700.430 | 3.100
P=1343 | X=0461.210-0486.260 | Y=0691.110-0700.430 | 2.200
P=1343 | X=0497.230-0522.280 | Y=0691.110-0700.430 | 1.900
P=1343 | X=0322.200-0366.950 | Y=0694.750-0705.990 | xứ Bùi Đệ
P=1343 | X=0106.850-0156.290 | Y=0696.630-0705.950 | Trảng Bom
P=1344 | X=0106.850-0410.340 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã Bình
P=1344 | X=0106.850-0409.420 | Y=0090.020-0101.260 | Minh - Trảng Bom đoạn từ Đường tỉnh 767 đến Hết đài đức mẹ giáo
P=1344 | X=0106.850-0360.740 | Y=0101.540-0112.780 | xứ Bùi Đệ có hiện trạng là đường nhựa, bê tông xi măng:
P=1344 | X=0090.020-0106.660 | Y=0109.420-0118.740 | 142
P=1344 | X=0424.970-0450.020 | Y=0109.420-0118.740 | 2.000
P=1344 | X=0461.210-0486.260 | Y=0109.420-0118.740 | 1.400
P=1344 | X=0497.230-0522.280 | Y=0109.420-0118.740 | 1.200
P=1344 | X=0106.850-0337.930 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1344 | X=0106.850-0384.020 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1344 | X=0106.850-0410.340 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã Bình
P=1344 | X=0106.850-0409.420 | Y=0165.650-0176.890 | Minh - Trảng Bom đoạn từ Đường tỉnh 767 đến Hết đài đức mẹ giáo
P=1344 | X=0106.850-0360.740 | Y=0177.170-0188.410 | xứ Bùi Đệ có hiện trạng là đường nhựa, bê tông xi măng:
P=1344 | X=0090.020-0338.400 | Y=0194.690-0209.030 | 143 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1344 | X=0424.970-0450.020 | Y=0199.710-0209.030 | 1.200
P=1344 | X=0469.370-0486.010 | Y=0199.710-0209.030 | 840
P=1344 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 720
P=1344 | X=0106.850-0413.270 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1344 | X=0106.850-0148.530 | Y=0223.750-0234.990 | ≤1.000m.
P=1344 | X=0106.850-0330.020 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1344 | X=0106.850-0410.340 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã Bình
P=1344 | X=0106.850-0409.420 | Y=0270.550-0281.790 | Minh - Trảng Bom đoạn từ Đường tỉnh 767 đến Hết đài đức mẹ giáo
P=1344 | X=0106.850-0360.740 | Y=0282.100-0293.340 | xứ Bùi Đệ có hiện trạng là đường nhựa, bê tông xi măng:
P=1344 | X=0090.020-0106.660 | Y=0289.980-0299.300 | 144
P=1344 | X=0433.130-0449.770 | Y=0289.980-0299.300 | 550
P=1344 | X=0469.370-0486.010 | Y=0289.980-0299.300 | 390
P=1344 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 330
P=1344 | X=0106.850-0392.640 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1344 | X=0106.850-0330.490 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1344 | X=0106.850-0392.110 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1344 | X=0106.850-0406.060 | Y=0346.420-0357.660 | Đường liên xã Bình Minh - Trảng Bom đoạn từ Đường tỉnh 767 đến
P=1344 | X=0106.850-0413.250 | Y=0357.700-0368.940 | Hết đài đức mẹ giáo xứ Bùi Đệ có hiện trạng là đường nhựa, bê tông
P=1344 | X=0090.020-0144.680 | Y=0369.240-0380.680 | 145 xi măng:
P=1344 | X=0424.970-0450.020 | Y=0371.360-0380.680 | 1.800
P=1344 | X=0461.210-0486.260 | Y=0371.360-0380.680 | 1.300
P=1344 | X=0497.230-0522.280 | Y=0371.360-0380.680 | 1.100
P=1344 | X=0106.850-0337.930 | Y=0386.760-0398.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1344 | X=0106.850-0384.020 | Y=0404.280-0415.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1344 | X=0106.850-0392.110 | Y=0422.040-0433.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1344 | X=0106.850-0406.060 | Y=0433.560-0444.800 | Đường liên xã Bình Minh - Trảng Bom đoạn từ Đường tỉnh 767 đến
P=1344 | X=0106.850-0413.250 | Y=0445.080-0456.320 | Hết đài đức mẹ giáo xứ Bùi Đệ có hiện trạng là đường nhựa, bê tông
