TABLE=049 | AREA=Xã Tà Lài | SECTION=non-agricultural | SEGMENTS=1
P=1668 | X=0108.530-0331.700 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1668 | X=0108.530-0382.040 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1668 | X=0108.530-0388.980 | Y=0422.040-0433.280 | ra Đường Tà Lài đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có
P=1668 | X=0108.530-0302.140 | Y=0433.560-0444.800 | hiện trạng là đường nhựa, bê tông xi măng:
P=1668 | X=0093.620-0104.740 | Y=0447.200-0456.520 | 56
P=1668 | X=0413.180-0429.820 | Y=0447.200-0456.520 | 200
P=1668 | X=0461.210-0477.850 | Y=0447.200-0456.520 | 140
P=1668 | X=0505.390-0522.030 | Y=0447.200-0456.520 | 120
P=1668 | X=0108.530-0349.620 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1668 | X=0108.530-0150.670 | Y=0464.500-0473.820 | >1.000m.
P=1668 | X=0108.530-0332.170 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1668 | X=0219.910-0285.790 | Y=0497.900-0509.140 | Ngã ba trường
P=1668 | X=0108.530-0210.870 | Y=0503.660-0514.900 | Đường Phú Xuân - Núi
P=1668 | X=0302.280-0387.500 | Y=0505.540-0514.860 | Ngã ba xã Phú Lộc
P=1668 | X=0219.910-0293.760 | Y=0509.420-0520.660 | Trung học cơ sở
P=1668 | X=0093.620-0104.740 | Y=0511.300-0520.620 | 57
P=1668 | X=0413.180-0429.820 | Y=0511.300-0520.620 | 910
P=1668 | X=0461.210-0477.850 | Y=0511.300-0520.620 | 640
P=1668 | X=0505.390-0522.030 | Y=0511.300-0520.620 | 550
P=1668 | X=0108.530-0139.330 | Y=0515.180-0526.420 | Tượng
P=1668 | X=0302.280-0380.300 | Y=0517.060-0526.380 | (xã Tân Phú mới)
P=1668 | X=0219.910-0268.500 | Y=0520.940-0532.180 | Núi Tượng
P=1668 | X=0108.530-0377.480 | Y=0538.490-0549.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1668 | X=0108.530-0389.020 | Y=0550.010-0561.250 | Xuân - Núi Tượng đoạn từ Ngã ba trường Trung học cơ sở Núi
P=1668 | X=0108.530-0387.590 | Y=0561.530-0572.770 | Tượng đến Ngã ba xã Phú Lộc (xã Tân Phú mới) có hiện trạng
P=1668 | X=0093.620-0254.860 | Y=0573.050-0584.490 | 58 là đường nhựa, bê tông xi măng:
P=1668 | X=0413.180-0429.820 | Y=0575.170-0584.490 | 460
P=1668 | X=0461.210-0477.850 | Y=0575.170-0584.490 | 320
P=1668 | X=0505.390-0522.030 | Y=0575.170-0584.490 | 280
P=1668 | X=0108.530-0339.610 | Y=0590.570-0601.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1668 | X=0108.530-0385.720 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1668 | X=0108.530-0377.480 | Y=0625.870-0637.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1668 | X=0108.530-0389.020 | Y=0637.390-0648.630 | Xuân - Núi Tượng đoạn từ Ngã ba trường Trung học cơ sở Núi
P=1668 | X=0108.530-0387.590 | Y=0648.910-0660.150 | Tượng đến Ngã ba xã Phú Lộc (xã Tân Phú mới) có hiện trạng
P=1668 | X=0108.530-0254.860 | Y=0660.430-0671.670 | là đường nhựa, bê tông xi măng:
P=1668 | X=0093.620-0104.740 | Y=0668.310-0677.630 | 59
P=1668 | X=0413.180-0429.820 | Y=0668.310-0677.630 | 340
P=1668 | X=0461.210-0477.850 | Y=0668.310-0677.630 | 240
P=1668 | X=0505.390-0522.030 | Y=0668.310-0677.630 | 200
P=1668 | X=0108.530-0340.080 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1668 | X=0108.530-0361.840 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1668 | X=0108.530-0203.480 | Y=0706.770-0718.010 | >500m đến ≤1.000m.
P=1669 | X=0108.530-0331.700 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1669 | X=0108.530-0377.480 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1669 | X=0108.530-0389.020 | Y=0107.780-0119.020 | Xuân - Núi Tượng đoạn từ Ngã ba trường Trung học cơ sở Núi
P=1669 | X=0108.530-0387.590 | Y=0119.330-0130.570 | Tượng đến Ngã ba xã Phú Lộc (xã Tân Phú mới) có hiện trạng
P=1669 | X=0108.530-0254.860 | Y=0130.850-0142.090 | là đường nhựa, bê tông xi măng:
P=1669 | X=0093.620-0104.740 | Y=0138.730-0148.050 | 60
P=1669 | X=0413.180-0429.820 | Y=0138.730-0148.050 | 220
P=1669 | X=0461.210-0477.850 | Y=0138.730-0148.050 | 150
P=1669 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 130
P=1669 | X=0108.530-0349.620 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1669 | X=0108.530-0150.670 | Y=0161.530-0170.850 | >1.000m.
P=1669 | X=0108.530-0332.170 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1669 | X=0108.530-0382.040 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1669 | X=0108.530-0361.170 | Y=0206.470-0217.710 | ra Đường Phú Xuân - Núi Tượng đoạn từ Ngã ba trường
P=1669 | X=0108.530-0377.470 | Y=0217.990-0229.230 | Trung học cơ sở Núi Tượng đến Ngã ba xã Phú Lộc (xã Tân
P=1669 | X=0093.620-0359.050 | Y=0229.510-0240.950 | 61 Phú mới) có hiện trạng là đường nhựa, bê tông xi măng:
P=1669 | X=0413.180-0429.820 | Y=0231.630-0240.950 | 410
P=1669 | X=0461.210-0477.850 | Y=0231.630-0240.950 | 290
P=1669 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 250
P=1669 | X=0108.530-0339.650 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1669 | X=0108.530-0385.700 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1669 | X=0108.530-0382.040 | Y=0282.340-0293.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1669 | X=0108.530-0361.170 | Y=0293.860-0305.100 | ra Đường Phú Xuân - Núi Tượng đoạn từ Ngã ba trường
P=1669 | X=0108.530-0377.470 | Y=0305.380-0316.620 | Trung học cơ sở Núi Tượng đến Ngã ba xã Phú Lộc (xã Tân
P=1669 | X=0108.530-0359.050 | Y=0316.900-0328.140 | Phú mới) có hiện trạng là đường nhựa, bê tông xi măng:
P=1669 | X=0093.620-0340.080 | Y=0333.420-0345.660 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1669 | X=0413.180-0429.820 | Y=0333.420-0342.740 | 310
P=1669 | X=0461.210-0477.850 | Y=0333.420-0342.740 | 220
P=1669 | X=0505.390-0522.030 | Y=0333.420-0342.740 | 190
P=1669 | X=0108.530-0361.840 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1669 | X=0108.530-0203.480 | Y=0363.220-0374.460 | >500m đến ≤1.000m.
P=1669 | X=0108.530-0331.700 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1669 | X=0108.530-0382.040 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1669 | X=0108.530-0361.170 | Y=0410.040-0421.280 | ra Đường Phú Xuân - Núi Tượng đoạn từ Ngã ba trường
P=1669 | X=0108.530-0377.470 | Y=0421.560-0432.800 | Trung học cơ sở Núi Tượng đến Ngã ba xã Phú Lộc (xã Tân
P=1669 | X=0108.530-0359.050 | Y=0433.080-0444.320 | Phú mới) có hiện trạng là đường nhựa, bê tông xi măng:
P=1669 | X=0093.620-0104.740 | Y=0440.960-0450.280 | 63
P=1669 | X=0413.180-0429.820 | Y=0440.960-0450.280 | 200
P=1669 | X=0461.210-0477.850 | Y=0440.960-0450.280 | 140
P=1669 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 120
P=1669 | X=0108.530-0349.620 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1669 | X=0108.530-0150.690 | Y=0464.020-0473.340 | >1.000m.
P=1669 | X=0108.530-0332.170 | Y=0479.660-0490.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1669 | X=0302.280-0380.950 | Y=0497.420-0508.660 | Hết ranh thửa đất
P=1669 | X=0302.280-0384.220 | Y=0508.940-0520.180 | số 1366, tờ BĐĐC
P=1669 | X=0219.910-0285.790 | Y=0520.220-0531.460 | Ngã ba trường
P=1669 | X=0302.280-0376.270 | Y=0522.100-0531.420 | số 31 về bên trái
P=1669 | X=0108.530-0197.590 | Y=0525.980-0537.220 | Đường Núi Tượng -
P=1669 | X=0219.910-0376.070 | Y=0531.740-0542.980 | Trung học cơ sở và hết ranh thửa
P=1669 | X=0093.620-0104.740 | Y=0533.620-0542.940 | 64
P=1669 | X=0413.180-0429.820 | Y=0533.620-0542.940 | 910
P=1669 | X=0461.210-0477.850 | Y=0533.620-0542.940 | 640
P=1669 | X=0505.390-0522.030 | Y=0533.620-0542.940 | 550
P=1669 | X=0108.530-0170.500 | Y=0539.410-0548.730 | Nam Cát Tiên
P=1669 | X=0219.910-0268.500 | Y=0543.290-0554.530 | Núi Tượng
P=1669 | X=0302.280-0364.120 | Y=0543.290-0554.530 | đất số 924, tờ
P=1669 | X=0302.280-0371.510 | Y=0554.810-0566.050 | BĐĐC số 31 về
P=1669 | X=0302.280-0387.290 | Y=0568.210-0577.530 | bên phải, xã Tà Lài
P=1669 | X=0108.530-0374.600 | Y=0584.090-0595.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Núi
P=1669 | X=0108.530-0377.540 | Y=0595.610-0606.850 | Tượng - Nam Cát Tiên đoạn từ Ngã ba trường Trung học cơ
P=1669 | X=0108.530-0383.500 | Y=0607.130-0618.370 | sở Núi Tượng đến Hết ranh thửa đất số 1366, tờ BĐĐC số 31
P=1669 | X=0108.530-0387.100 | Y=0618.670-0629.910 | về bên trái và hết ranh thửa đất số 924, tờ BĐĐC số 31 về bên
P=1669 | X=0093.620-0104.740 | Y=0626.550-0635.870 | 65
P=1669 | X=0413.180-0429.820 | Y=0626.550-0635.870 | 460
P=1669 | X=0461.210-0477.850 | Y=0626.550-0635.870 | 320
P=1669 | X=0505.390-0522.030 | Y=0626.550-0635.870 | 280
P=1669 | X=0108.530-0383.800 | Y=0630.190-0641.430 | phải, xã Tà Lài có hiện trạng là đường nhựa, bê tông xi măng:
P=1669 | X=0108.530-0339.610 | Y=0647.710-0658.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1669 | X=0108.530-0385.700 | Y=0665.230-0676.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1669 | X=0108.530-0374.600 | Y=0682.750-0693.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Núi
P=1669 | X=0093.620-0377.540 | Y=0694.270-0705.510 | 66 Tượng - Nam Cát Tiên đoạn từ Ngã ba trường Trung học cơ
P=1669 | X=0413.180-0429.820 | Y=0696.150-0705.470 | 340
P=1669 | X=0461.210-0477.850 | Y=0696.150-0705.470 | 240
P=1669 | X=0505.390-0522.030 | Y=0696.150-0705.470 | 200
P=1669 | X=0108.530-0383.500 | Y=0705.810-0717.050 | sở Núi Tượng đến Hết ranh thửa đất số 1366, tờ BĐĐC số 31
P=1670 | X=0108.530-0387.100 | Y=0072.500-0083.740 | về bên trái và hết ranh thửa đất số 924, tờ BĐĐC số 31 về bên
P=1670 | X=0108.530-0383.800 | Y=0084.020-0095.260 | phải, xã Tà Lài có hiện trạng là đường nhựa, bê tông xi măng:
P=1670 | X=0108.530-0340.090 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1670 | X=0108.530-0361.840 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1670 | X=0108.530-0203.480 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1670 | X=0108.530-0331.700 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1670 | X=0108.530-0374.600 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Núi
P=1670 | X=0108.530-0377.540 | Y=0177.170-0188.410 | Tượng - Nam Cát Tiên đoạn từ Ngã ba trường Trung học cơ
P=1670 | X=0108.530-0383.500 | Y=0188.690-0199.930 | sở Núi Tượng đến Hết ranh thửa đất số 1366, tờ BĐĐC số 31
P=1670 | X=0108.530-0387.100 | Y=0200.230-0211.470 | về bên trái và hết ranh thửa đất số 924, tờ BĐĐC số 31 về bên
P=1670 | X=0093.620-0383.800 | Y=0211.750-0223.190 | 67 phải, xã Tà Lài có hiện trạng là đường nhựa, bê tông xi măng:
P=1670 | X=0413.180-0429.820 | Y=0213.870-0223.190 | 220
P=1670 | X=0461.210-0477.850 | Y=0213.870-0223.190 | 150
P=1670 | X=0505.390-0522.030 | Y=0213.870-0223.190 | 130
P=1670 | X=0108.530-0349.620 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1670 | X=0108.530-0150.670 | Y=0242.670-0251.990 | >1.000m.
P=1670 | X=0108.530-0332.170 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1670 | X=0108.530-0382.040 | Y=0276.070-0287.310 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1670 | X=0108.530-0379.190 | Y=0287.620-0298.860 | ra Đường Núi Tượng - Nam Cát Tiên đoạn từ Ngã ba trường
P=1670 | X=0108.530-0387.390 | Y=0299.140-0310.380 | Trung học cơ sở Núi Tượng đến Hết ranh thửa đất số 1366, tờ
P=1670 | X=0108.530-0385.420 | Y=0310.660-0321.900 | BĐĐC số 31 về bên trái và hết ranh thửa đất số 924, tờ BĐĐC
P=1670 | X=0093.620-0381.100 | Y=0321.940-0333.620 | 68 số 31 về bên phải, xã Tà Lài có hiện trạng là đường nhựa, bê
P=1670 | X=0413.180-0429.820 | Y=0324.300-0333.620 | 410
P=1670 | X=0461.210-0477.850 | Y=0324.300-0333.620 | 290
P=1670 | X=0505.390-0522.030 | Y=0324.300-0333.620 | 250
P=1670 | X=0108.530-0168.690 | Y=0333.460-0344.700 | tông xi măng:
P=1670 | X=0108.530-0339.610 | Y=0350.980-0362.220 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1670 | X=0108.530-0385.700 | Y=0368.520-0379.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1670 | X=0108.530-0382.040 | Y=0386.280-0397.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1670 | X=0108.530-0379.190 | Y=0397.800-0409.040 | ra Đường Núi Tượng - Nam Cát Tiên đoạn từ Ngã ba trường
P=1670 | X=0108.530-0387.390 | Y=0409.320-0420.560 | Trung học cơ sở Núi Tượng đến Hết ranh thửa đất số 1366, tờ
P=1670 | X=0108.530-0385.420 | Y=0420.840-0432.080 | BĐĐC số 31 về bên trái và hết ranh thửa đất số 924, tờ BĐĐC
P=1670 | X=0108.530-0381.100 | Y=0432.360-0443.600 | số 31 về bên phải, xã Tà Lài có hiện trạng là đường nhựa, bê
P=1670 | X=0093.620-0168.690 | Y=0443.880-0458.200 | 69 tông xi măng:
P=1670 | X=0413.180-0429.820 | Y=0448.880-0458.200 | 310
P=1670 | X=0461.210-0477.850 | Y=0448.880-0458.200 | 220
P=1670 | X=0505.390-0522.030 | Y=0448.880-0458.200 | 190
P=1670 | X=0108.530-0340.080 | Y=0461.420-0472.660 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1670 | X=0108.530-0361.840 | Y=0478.940-0490.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1670 | X=0108.530-0203.480 | Y=0490.220-0501.460 | >500m đến ≤1.000m.
P=1670 | X=0108.530-0331.700 | Y=0507.740-0518.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1670 | X=0108.530-0382.040 | Y=0525.500-0536.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1670 | X=0108.530-0379.190 | Y=0537.050-0548.290 | ra Đường Núi Tượng - Nam Cát Tiên đoạn từ Ngã ba trường
P=1670 | X=0108.530-0387.390 | Y=0548.570-0559.810 | Trung học cơ sở Núi Tượng đến Hết ranh thửa đất số 1366, tờ
P=1670 | X=0108.530-0385.420 | Y=0560.090-0571.330 | BĐĐC số 31 về bên trái và hết ranh thửa đất số 924, tờ BĐĐC
P=1670 | X=0108.530-0381.110 | Y=0571.610-0582.850 | số 31 về bên phải, xã Tà Lài có hiện trạng là đường nhựa, bê
P=1670 | X=0093.620-0104.740 | Y=0579.490-0588.810 | 70
P=1670 | X=0413.180-0429.820 | Y=0579.490-0588.810 | 200
P=1670 | X=0461.210-0477.850 | Y=0579.490-0588.810 | 140
P=1670 | X=0505.390-0522.030 | Y=0579.490-0588.810 | 120
P=1670 | X=0108.530-0168.690 | Y=0583.130-0594.370 | tông xi măng:
P=1670 | X=0108.530-0349.620 | Y=0600.650-0611.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1670 | X=0108.530-0150.670 | Y=0614.050-0623.370 | >1.000m.
P=1670 | X=0108.530-0332.170 | Y=0629.710-0640.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1670 | X=0302.280-0380.950 | Y=0647.470-0658.710 | Hết ranh thửa đất
P=1670 | X=0219.910-0286.760 | Y=0653.230-0664.470 | Đường chuyên
P=1670 | X=0093.620-0217.590 | Y=0658.750-0669.990 | 71 Đường vào đập Hàm Vô
P=1670 | X=0302.280-0386.150 | Y=0658.750-0669.990 | số 41, tờ BĐĐC số
P=1670 | X=0413.180-0429.820 | Y=0660.630-0669.950 | 520
P=1670 | X=0461.210-0477.850 | Y=0660.630-0669.950 | 360
P=1670 | X=0505.390-0522.030 | Y=0660.630-0669.950 | 310
P=1670 | X=0219.910-0242.070 | Y=0666.390-0675.710 | dùng
P=1670 | X=0302.280-0313.400 | Y=0672.150-0681.470 | 49
P=1670 | X=0108.530-0376.050 | Y=0688.030-0699.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1670 | X=0093.620-0104.740 | Y=0695.670-0704.990 | 72
P=1670 | X=0413.180-0429.820 | Y=0695.670-0704.990 | 260
P=1670 | X=0461.210-0477.850 | Y=0695.670-0704.990 | 180
P=1670 | X=0505.390-0522.030 | Y=0695.670-0704.990 | 160
P=1670 | X=0108.530-0380.150 | Y=0699.550-0710.790 | đập Hàm Vô đoạn từ Đường chuyên dùng đến Hết ranh thửa
P=1671 | X=0108.530-0369.800 | Y=0072.500-0083.740 | đất số 41, tờ BĐĐC số 49 có hiện trạng là đường nhựa, bê
P=1671 | X=0108.530-0168.690 | Y=0084.020-0095.260 | tông xi măng:
P=1671 | X=0108.530-0339.610 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1671 | X=0108.530-0385.740 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1671 | X=0108.530-0376.050 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1671 | X=0108.530-0380.150 | Y=0148.370-0159.610 | đập Hàm Vô đoạn từ Đường chuyên dùng đến Hết ranh thửa
P=1671 | X=0108.530-0369.800 | Y=0159.650-0170.890 | đất số 41, tờ BĐĐC số 49 có hiện trạng là đường nhựa, bê
P=1671 | X=0108.530-0168.690 | Y=0171.170-0182.410 | tông xi măng:
P=1671 | X=0093.620-0340.120 | Y=0187.930-0199.930 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1671 | X=0413.180-0429.820 | Y=0187.930-0197.250 | 220
P=1671 | X=0461.210-0477.850 | Y=0187.930-0197.250 | 150
P=1671 | X=0505.390-0522.030 | Y=0187.930-0197.250 | 130
P=1671 | X=0108.530-0361.840 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1671 | X=0108.530-0203.480 | Y=0217.750-0228.990 | >500m đến ≤1.000m.
P=1671 | X=0108.530-0331.700 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1671 | X=0108.530-0376.050 | Y=0253.030-0264.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1671 | X=0108.530-0380.150 | Y=0264.550-0275.790 | đập Hàm Vô đoạn từ Đường chuyên dùng đến Hết ranh thửa
P=1671 | X=0108.530-0369.800 | Y=0276.070-0287.310 | đất số 41, tờ BĐĐC số 49 có hiện trạng là đường nhựa, bê
P=1671 | X=0108.530-0168.690 | Y=0287.620-0298.860 | tông xi măng:
P=1671 | X=0093.620-0104.740 | Y=0295.500-0304.820 | 74
P=1671 | X=0413.180-0429.820 | Y=0295.500-0304.820 | 200
P=1671 | X=0461.210-0477.850 | Y=0295.500-0304.820 | 140
P=1671 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 120
P=1671 | X=0108.530-0349.620 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1671 | X=0108.530-0150.670 | Y=0318.540-0327.860 | >1.000m.
P=1671 | X=0108.530-0332.170 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1671 | X=0108.530-0382.040 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1671 | X=0108.530-0380.140 | Y=0363.220-0374.460 | ra Đường vào đập Hàm Vô đoạn từ Đường chuyên dùng đến
P=1671 | X=0108.530-0358.760 | Y=0374.760-0386.000 | Hết ranh thửa đất số 41, tờ BĐĐC số 49 có hiện trạng là
P=1671 | X=0093.620-0244.280 | Y=0386.280-0397.720 | 75 đường nhựa, bê tông xi măng:
P=1671 | X=0413.180-0429.820 | Y=0388.400-0397.720 | 230
P=1671 | X=0461.210-0477.850 | Y=0388.400-0397.720 | 160
P=1671 | X=0505.390-0522.030 | Y=0388.400-0397.720 | 140
P=1671 | X=0108.530-0339.610 | Y=0403.800-0415.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1671 | X=0108.530-0385.700 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1671 | X=0108.530-0382.040 | Y=0439.080-0450.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1671 | X=0108.530-0380.140 | Y=0450.620-0461.860 | ra Đường vào đập Hàm Vô đoạn từ Đường chuyên dùng đến
P=1671 | X=0108.530-0358.760 | Y=0462.140-0473.380 | Hết ranh thửa đất số 41, tờ BĐĐC số 49 có hiện trạng là
P=1671 | X=0108.530-0244.280 | Y=0473.660-0484.900 | đường nhựa, bê tông xi măng:
P=1671 | X=0093.620-0340.080 | Y=0490.180-0502.420 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1671 | X=0413.180-0429.820 | Y=0490.180-0499.500 | 200
P=1671 | X=0461.210-0477.850 | Y=0490.180-0499.500 | 140
P=1671 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 120
P=1671 | X=0108.530-0361.840 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1671 | X=0108.530-0203.480 | Y=0519.980-0531.220 | >500m đến ≤1.000m.
P=1671 | X=0108.530-0331.700 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1671 | X=0108.530-0382.040 | Y=0555.290-0566.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1671 | X=0108.530-0380.140 | Y=0566.810-0578.050 | ra Đường vào đập Hàm Vô đoạn từ Đường chuyên dùng đến
P=1671 | X=0108.530-0358.760 | Y=0578.330-0589.570 | Hết ranh thửa đất số 41, tờ BĐĐC số 49 có hiện trạng là
P=1671 | X=0108.530-0244.280 | Y=0589.850-0601.090 | đường nhựa, bê tông xi măng:
P=1671 | X=0093.620-0104.740 | Y=0597.730-0607.050 | 77
P=1671 | X=0413.180-0429.820 | Y=0597.730-0607.050 | 180
P=1671 | X=0461.210-0477.850 | Y=0597.730-0607.050 | 130
P=1671 | X=0505.390-0522.030 | Y=0597.730-0607.050 | 110
P=1671 | X=0108.530-0349.620 | Y=0607.370-0618.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1671 | X=0108.530-0150.670 | Y=0620.790-0630.110 | >1.000m.
P=1671 | X=0108.530-0332.170 | Y=0636.430-0647.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1671 | X=0302.280-0380.950 | Y=0654.190-0665.430 | Hết ranh thửa đất
P=1671 | X=0219.910-0290.100 | Y=0659.950-0671.190 | Đường vào đập
P=1671 | X=0093.620-0200.320 | Y=0665.710-0676.950 | 71 Đường chuyên dùng
P=1671 | X=0302.280-0378.440 | Y=0665.710-0676.950 | số 478, tờ BĐĐC
P=1671 | X=0413.180-0429.820 | Y=0667.590-0676.910 | 520
P=1671 | X=0461.210-0477.850 | Y=0667.590-0676.910 | 360
P=1671 | X=0505.390-0522.030 | Y=0667.590-0676.910 | 310
P=1671 | X=0219.910-0256.230 | Y=0673.350-0682.670 | Hàm Vô
P=1671 | X=0302.280-0326.600 | Y=0679.110-0688.430 | số 54
P=1671 | X=0108.530-0356.850 | Y=0694.750-0705.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1671 | X=0093.620-0104.740 | Y=0702.420-0711.740 | 72
P=1671 | X=0413.180-0429.820 | Y=0702.420-0711.740 | 260
P=1671 | X=0461.210-0477.850 | Y=0702.420-0711.740 | 180
P=1671 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 160
P=1671 | X=0108.530-0375.320 | Y=0706.290-0717.530 | chuyên dùng đoạn từ Đường vào đập Hàm Vô đến Hết ranh
P=1672 | X=0108.530-0384.790 | Y=0072.500-0083.740 | thửa đất số 478, tờ BĐĐC số 54 có hiện trạng là đường nhựa,
P=1672 | X=0108.530-0182.610 | Y=0084.020-0095.260 | bê tông xi măng:
P=1672 | X=0108.530-0339.620 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1672 | X=0108.530-0385.700 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1672 | X=0108.530-0356.850 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1672 | X=0108.530-0375.320 | Y=0148.370-0159.610 | chuyên dùng đoạn từ Đường vào đập Hàm Vô đến Hết ranh
P=1672 | X=0108.530-0384.790 | Y=0159.650-0170.890 | thửa đất số 478, tờ BĐĐC số 54 có hiện trạng là đường nhựa,
P=1672 | X=0108.530-0182.600 | Y=0171.170-0182.410 | bê tông xi măng:
P=1672 | X=0093.620-0340.080 | Y=0187.930-0199.930 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1672 | X=0413.180-0429.820 | Y=0187.930-0197.250 | 220
