TABLE=054 | AREA=Xã Tân An | SECTION=non-agricultural | SEGMENTS=1
P=1800 | X=0108.290-0178.270 | Y=0370.640-0379.960 | thông >1.000m.
P=1800 | X=0108.290-0331.950 | Y=0386.280-0397.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1800 | X=0108.290-0341.000 | Y=0404.040-0415.280 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1800 | X=0108.290-0337.880 | Y=0415.560-0426.800 | và thông ra Đường Cộ - Cây Xoài đoạn từ Cầu số 1
P=1800 | X=0108.290-0344.610 | Y=0427.080-0438.320 | đến Đường tỉnh 767 có hiện trạng là đường nhựa, bê
P=1800 | X=0108.290-0168.450 | Y=0438.600-0449.840 | tông xi măng:
P=1800 | X=0093.380-0104.500 | Y=0446.480-0455.800 | 54
P=1800 | X=0380.780-0405.830 | Y=0446.480-0455.800 | 1.300
P=1800 | X=0450.170-0466.810 | Y=0446.480-0455.800 | 910
P=1800 | X=0505.390-0522.030 | Y=0446.480-0455.800 | 780
P=1800 | X=0108.290-0339.370 | Y=0456.140-0467.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1800 | X=0108.290-0321.540 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1800 | X=0108.290-0169.410 | Y=0485.180-0496.420 | thông ≤500m.
P=1800 | X=0108.290-0341.000 | Y=0502.940-0514.180 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1800 | X=0108.290-0337.880 | Y=0514.220-0525.460 | và thông ra Đường Cộ - Cây Xoài đoạn từ Cầu số 1
P=1800 | X=0108.290-0344.610 | Y=0525.740-0536.980 | đến Đường tỉnh 767 có hiện trạng là đường nhựa, bê
P=1800 | X=0108.290-0168.450 | Y=0537.290-0548.530 | tông xi măng:
P=1800 | X=0093.380-0339.860 | Y=0554.050-0566.050 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1800 | X=0380.780-0405.830 | Y=0554.050-0563.370 | 1.100
P=1800 | X=0450.170-0466.810 | Y=0554.050-0563.370 | 770
P=1800 | X=0505.390-0522.030 | Y=0554.050-0563.370 | 660
P=1800 | X=0108.290-0321.540 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1800 | X=0108.290-0243.140 | Y=0583.850-0595.090 | thông từ >500m đến ≤1.000m.
P=1800 | X=0108.290-0331.460 | Y=0601.370-0612.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1800 | X=0108.290-0341.000 | Y=0619.150-0630.390 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1800 | X=0108.290-0337.880 | Y=0630.670-0641.910 | và thông ra Đường Cộ - Cây Xoài đoạn từ Cầu số 1
P=1800 | X=0108.290-0344.610 | Y=0642.190-0653.430 | đến Đường tỉnh 767 có hiện trạng là đường nhựa, bê
P=1800 | X=0108.290-0168.450 | Y=0653.710-0664.950 | tông xi măng:
P=1800 | X=0093.380-0104.500 | Y=0661.590-0670.910 | 56
P=1800 | X=0388.940-0405.580 | Y=0661.590-0670.910 | 900
P=1800 | X=0450.170-0466.810 | Y=0661.590-0670.910 | 630
P=1800 | X=0505.390-0522.030 | Y=0661.590-0670.910 | 540
P=1800 | X=0108.290-0321.540 | Y=0671.230-0682.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1800 | X=0108.290-0178.270 | Y=0684.390-0693.710 | thông >1.000m.
P=1800 | X=0108.290-0331.960 | Y=0700.050-0711.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1801 | X=0191.830-0258.900 | Y=0080.380-0089.700 | Giáp ranh giữa
P=1801 | X=0191.830-0343.400 | Y=0091.900-0101.220 | xã Tân An và Giáp ranh xã Bình
P=1801 | X=0093.380-0181.810 | Y=0095.780-0107.020 | 57 Đường Kênh N3
P=1801 | X=0380.780-0405.830 | Y=0097.660-0106.980 | 2.000
P=1801 | X=0442.010-0467.060 | Y=0097.660-0106.980 | 1.400
P=1801 | X=0497.230-0522.280 | Y=0097.660-0106.980 | 1.200
P=1801 | X=0191.830-0284.570 | Y=0101.540-0112.780 | Phường Trảng Minh
P=1801 | X=0191.830-0206.790 | Y=0114.940-0124.260 | Dài
P=1801 | X=0108.290-0322.520 | Y=0130.850-0142.090 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1801 | X=0108.290-0337.160 | Y=0142.370-0153.610 | Đường Kênh N3 đoạn từ Giáp ranh giữa xã Tân An
P=1801 | X=0108.290-0332.600 | Y=0153.650-0164.890 | và Phường Trảng Dài đến Giáp ranh xã Bình Minh
P=1801 | X=0108.290-0315.150 | Y=0165.170-0176.410 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1801 | X=0093.380-0104.500 | Y=0173.050-0182.370 | 58
P=1801 | X=0388.940-0405.580 | Y=0173.050-0182.370 | 950
P=1801 | X=0450.170-0466.810 | Y=0173.050-0182.370 | 670
P=1801 | X=0505.390-0522.030 | Y=0173.050-0182.370 | 570
P=1801 | X=0108.290-0339.380 | Y=0182.690-0193.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1801 | X=0108.290-0321.540 | Y=0200.230-0211.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1801 | X=0108.290-0169.410 | Y=0211.750-0222.990 | thông ≤500m.
P=1801 | X=0108.290-0322.520 | Y=0229.510-0240.750 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1801 | X=0108.290-0337.130 | Y=0241.030-0252.270 | Đường Kênh N3 đoạn từ Giáp ranh giữa xã Tân An
P=1801 | X=0108.290-0332.600 | Y=0252.550-0263.790 | và Phường Trảng Dài đến Giáp ranh xã Bình Minh
P=1801 | X=0108.290-0315.140 | Y=0264.070-0275.310 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1801 | X=0093.380-0339.840 | Y=0280.590-0292.860 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1801 | X=0388.940-0405.580 | Y=0280.590-0289.910 | 810
P=1801 | X=0450.170-0466.810 | Y=0280.590-0289.910 | 570
P=1801 | X=0505.390-0522.030 | Y=0280.590-0289.910 | 490
P=1801 | X=0108.290-0321.540 | Y=0299.140-0310.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1801 | X=0108.290-0243.110 | Y=0310.660-0321.900 | thông từ >500m đến ≤1.000m.
P=1801 | X=0108.290-0331.460 | Y=0327.940-0339.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1801 | X=0108.290-0322.520 | Y=0345.700-0356.940 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1801 | X=0108.290-0337.160 | Y=0357.220-0368.460 | Đường Kênh N3 đoạn từ Giáp ranh giữa xã Tân An
P=1801 | X=0108.290-0332.600 | Y=0368.760-0380.000 | và Phường Trảng Dài đến Giáp ranh xã Bình Minh
P=1801 | X=0108.290-0315.140 | Y=0380.280-0391.520 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1801 | X=0093.380-0104.500 | Y=0388.160-0397.480 | 60
P=1801 | X=0388.940-0405.580 | Y=0388.160-0397.480 | 680
P=1801 | X=0450.170-0466.810 | Y=0388.160-0397.480 | 480
P=1801 | X=0505.390-0522.030 | Y=0388.160-0397.480 | 410
P=1801 | X=0108.290-0321.540 | Y=0397.800-0409.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1801 | X=0108.290-0178.270 | Y=0411.200-0420.520 | thông >1.000m.
P=1801 | X=0108.290-0331.930 | Y=0426.840-0438.080 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1801 | X=0108.290-0341.000 | Y=0444.600-0455.840 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1801 | X=0108.290-0341.480 | Y=0456.140-0467.380 | và thông ra Đường Kênh N3 đoạn từ Giáp ranh giữa
P=1801 | X=0108.290-0333.060 | Y=0467.660-0478.900 | xã Tân An và Phường Trảng Dài đến Giáp ranh xã
P=1801 | X=0108.290-0332.340 | Y=0479.180-0490.420 | Bình Minh có hiện trạng là đường nhựa, bê tông xi
P=1801 | X=0093.380-0136.290 | Y=0490.460-0502.140 | 61 măng:
P=1801 | X=0388.940-0405.580 | Y=0492.820-0502.140 | 860
P=1801 | X=0450.170-0466.810 | Y=0492.820-0502.140 | 600
P=1801 | X=0505.390-0522.030 | Y=0492.820-0502.140 | 520
P=1801 | X=0108.290-0339.370 | Y=0507.980-0519.220 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1801 | X=0108.290-0321.540 | Y=0525.500-0536.740 | - Có bê rộng từ ≥3m đến <5m, cách đường giao
P=1801 | X=0108.290-0169.410 | Y=0537.050-0548.290 | thông ≤500m.
P=1801 | X=0108.290-0341.000 | Y=0554.810-0566.050 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1801 | X=0108.290-0341.480 | Y=0566.330-0577.570 | và thông ra Đường Kênh N3 đoạn từ Giáp ranh giữa
P=1801 | X=0108.290-0333.060 | Y=0577.850-0589.090 | xã Tân An và Phường Trảng Dài đến Giáp ranh xã
P=1801 | X=0108.290-0332.340 | Y=0589.370-0600.610 | Bình Minh có hiện trạng là đường nhựa, bê tông xi
P=1801 | X=0108.290-0136.290 | Y=0600.890-0612.130 | măng:
P=1801 | X=0093.380-0104.500 | Y=0611.650-0620.970 | 62
P=1801 | X=0388.940-0405.580 | Y=0611.650-0620.970 | 730
P=1801 | X=0450.170-0466.810 | Y=0611.650-0620.970 | 510
P=1801 | X=0505.390-0522.030 | Y=0611.650-0620.970 | 440
P=1801 | X=0108.290-0339.840 | Y=0618.430-0629.670 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1801 | X=0108.290-0321.540 | Y=0635.950-0647.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1801 | X=0108.290-0243.110 | Y=0647.470-0658.710 | thông từ >500m đến ≤1.000m.
P=1801 | X=0108.290-0331.460 | Y=0664.750-0675.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1801 | X=0108.290-0341.000 | Y=0682.510-0693.750 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1801 | X=0093.380-0341.480 | Y=0694.030-0705.270 | 63 và thông ra Đường Kênh N3 đoạn từ Giáp ranh giữa
P=1801 | X=0388.940-0405.580 | Y=0695.910-0705.230 | 610
P=1801 | X=0450.170-0466.810 | Y=0695.910-0705.230 | 430
P=1801 | X=0505.390-0522.030 | Y=0695.910-0705.230 | 370
P=1801 | X=0108.290-0333.060 | Y=0705.570-0716.810 | xã Tân An và Phường Trảng Dài đến Giáp ranh xã
P=1802 | X=0108.290-0332.370 | Y=0072.500-0083.740 | Bình Minh có hiện trạng là đường nhựa, bê tông xi
P=1802 | X=0108.290-0136.290 | Y=0084.020-0095.260 | măng:
P=1802 | X=0108.290-0321.540 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1802 | X=0108.290-0178.270 | Y=0114.940-0124.260 | thông >1.000m.
P=1802 | X=0108.290-0331.960 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1802 | X=0262.660-0335.620 | Y=0150.250-0159.570 | Ngã ba (Công ty
P=1802 | X=0191.830-0245.380 | Y=0159.650-0170.890 | Đường Cộ -
P=1802 | X=0262.660-0333.340 | Y=0161.530-0170.850 | TNHH Gỗ Châu
P=1802 | X=0093.380-0180.550 | Y=0165.410-0176.650 | 64 Đường Bến Xúc
P=1802 | X=0380.780-0405.830 | Y=0167.290-0176.610 | 3.200
P=1802 | X=0442.010-0467.060 | Y=0167.290-0176.610 | 2.200
P=1802 | X=0497.230-0522.280 | Y=0167.290-0176.610 | 1.900
P=1802 | X=0191.830-0232.230 | Y=0173.050-0182.370 | Cây Xoài
P=1802 | X=0262.660-0339.030 | Y=0173.050-0182.370 | Âu EUROWOOD
P=1802 | X=0262.660-0302.950 | Y=0184.570-0193.890 | CO.LTD)
P=1802 | X=0108.290-0322.520 | Y=0200.470-0211.710 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1802 | X=0108.290-0336.920 | Y=0211.990-0223.230 | Đường Bến Xúc đoạn từ Đường Cộ - Cây Xoài đến
P=1802 | X=0108.290-0333.790 | Y=0225.390-0234.710 | Ngã ba (Công ty TNHH Gỗ Châu Âu EUROWOOD
P=1802 | X=0108.290-0327.300 | Y=0235.030-0246.270 | CO.LTD) có hiện trạng là đường nhựa, bê tông xi
P=1802 | X=0093.380-0136.290 | Y=0246.550-0257.990 | 65 măng:
P=1802 | X=0380.780-0405.830 | Y=0248.670-0257.990 | 1.600
P=1802 | X=0442.010-0467.060 | Y=0248.670-0257.990 | 1.100
P=1802 | X=0505.390-0522.030 | Y=0248.670-0257.990 | 960
P=1802 | X=0108.290-0339.370 | Y=0264.070-0275.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1802 | X=0108.290-0321.540 | Y=0281.620-0292.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1802 | X=0108.290-0169.410 | Y=0293.140-0304.380 | thông ≤500m.
P=1802 | X=0108.290-0322.520 | Y=0310.900-0322.140 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1802 | X=0108.290-0336.920 | Y=0322.420-0333.660 | Đường Bến Xúc đoạn từ Đường Cộ - Cây Xoài đến
P=1802 | X=0108.290-0333.760 | Y=0335.580-0344.900 | Ngã ba (Công ty TNHH Gỗ Châu Âu EUROWOOD
P=1802 | X=0108.290-0327.300 | Y=0345.220-0356.460 | CO.LTD) có hiện trạng là đường nhựa, bê tông xi
P=1802 | X=0108.290-0136.290 | Y=0356.740-0367.980 | măng:
P=1802 | X=0093.380-0104.500 | Y=0367.760-0377.080 | 66
P=1802 | X=0380.780-0405.830 | Y=0367.760-0377.080 | 1.100
P=1802 | X=0450.170-0466.810 | Y=0367.760-0377.080 | 770
P=1802 | X=0505.390-0522.030 | Y=0367.760-0377.080 | 660
P=1802 | X=0108.290-0339.840 | Y=0374.280-0385.520 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1802 | X=0108.290-0322.760 | Y=0391.800-0403.040 | - Cứ bề rộng từ ≥3m đến <5m, cách đường giao
P=1802 | X=0108.290-0243.110 | Y=0403.320-0414.560 | thông từ >500m đến ≤1.000m.
P=1802 | X=0108.290-0331.460 | Y=0420.840-0432.080 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1802 | X=0108.290-0322.520 | Y=0438.600-0449.840 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1802 | X=0108.290-0336.920 | Y=0450.140-0461.380 | Đường Bến Xúc đoạn từ Đường Cộ - Cây Xoài đến
P=1802 | X=0108.290-0333.760 | Y=0463.540-0472.860 | Ngã ba (Công ty TNHH Gỗ Châu Âu EUROWOOD
P=1802 | X=0108.290-0327.300 | Y=0473.180-0484.420 | CO.LTD) có hiện trạng là đường nhựa, bê tông xi
P=1802 | X=0093.380-0136.290 | Y=0484.460-0496.140 | 67 măng:
P=1802 | X=0388.940-0405.580 | Y=0486.820-0496.140 | 780
P=1802 | X=0450.170-0466.810 | Y=0486.820-0496.140 | 550
P=1802 | X=0505.390-0522.030 | Y=0486.820-0496.140 | 470
P=1802 | X=0108.290-0321.540 | Y=0501.980-0513.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1802 | X=0108.290-0178.270 | Y=0515.380-0524.700 | thông >1.000m.
P=1802 | X=0108.290-0331.930 | Y=0531.020-0542.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1802 | X=0108.290-0341.000 | Y=0548.810-0560.050 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1802 | X=0108.290-0326.760 | Y=0560.330-0571.570 | và thông ra Đường Bến Xúc đoạn từ Đường Cộ -
P=1802 | X=0108.290-0332.600 | Y=0571.850-0583.090 | Cây Xoài đến Ngã ba (Công ty TNHH Gỗ Châu Âu
P=1802 | X=0108.290-0316.280 | Y=0583.370-0594.610 | EUROWOOD CO.LTD) có hiện trạng là đường
P=1802 | X=0093.380-0211.400 | Y=0594.890-0606.330 | 68 nhựa, bê tông xi măng:
P=1802 | X=0380.780-0405.830 | Y=0597.010-0606.330 | 1.400
P=1802 | X=0450.170-0466.810 | Y=0597.010-0606.330 | 980
P=1802 | X=0505.390-0522.030 | Y=0597.010-0606.330 | 840
P=1802 | X=0108.290-0339.370 | Y=0612.410-0623.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1802 | X=0108.290-0321.540 | Y=0629.950-0641.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1802 | X=0108.290-0169.410 | Y=0641.470-0652.710 | thông ≤500m.
P=1802 | X=0108.290-0341.000 | Y=0659.230-0670.470 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1802 | X=0108.290-0326.760 | Y=0670.510-0681.750 | và thông ra Đường Bến Xúc đoạn từ Đường Cộ -
P=1802 | X=0093.380-0332.610 | Y=0682.030-0693.270 | 69 Cây Xoài đến Ngã ba (Công ty TNHH Gỗ Châu Âu
P=1802 | X=0380.780-0405.830 | Y=0683.910-0693.230 | 1.000
P=1802 | X=0450.170-0466.810 | Y=0683.910-0693.230 | 700
P=1802 | X=0505.390-0522.030 | Y=0683.910-0693.230 | 600
P=1802 | X=0108.290-0316.280 | Y=0693.550-0704.790 | EUROWOOD CO.LTD) có hiện trạng là đường
P=1802 | X=0108.290-0211.400 | Y=0705.090-0716.330 | nhựa, bê tông xi măng:
P=1803 | X=0108.290-0339.840 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1803 | X=0108.290-0321.540 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1803 | X=0108.290-0243.110 | Y=0107.540-0118.780 | thông từ >500m đến ≤1.000m.
P=1803 | X=0108.290-0331.460 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1803 | X=0108.290-0341.000 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1803 | X=0108.290-0326.760 | Y=0154.370-0165.610 | và thông ra Đường Bến Xúc đoạn từ Đường Cộ -
P=1803 | X=0108.290-0332.610 | Y=0165.650-0176.890 | Cây Xoài đến Ngã ba (Công ty TNHH Gỗ Châu Âu
P=1803 | X=0108.290-0316.280 | Y=0177.170-0188.410 | EUROWOOD CO.LTD) có hiện trạng là đường
P=1803 | X=0093.380-0211.440 | Y=0188.690-0200.130 | 70 nhựa, bê tông xi măng:
P=1803 | X=0388.940-0405.580 | Y=0190.810-0200.130 | 700
P=1803 | X=0450.170-0466.810 | Y=0190.810-0200.130 | 490
P=1803 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 420
P=1803 | X=0108.290-0321.560 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1803 | X=0108.290-0178.270 | Y=0219.630-0228.950 | thông >1.000m.
P=1803 | X=0108.290-0331.930 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1803 | X=0191.830-0254.090 | Y=0254.910-0264.230 | Ngã ba (Công
P=1803 | X=0191.830-0246.670 | Y=0266.430-0275.750 | ty TNHH Gỗ
P=1803 | X=0262.660-0319.530 | Y=0272.190-0281.510 | Hết nhà máy
P=1803 | X=0093.380-0180.550 | Y=0276.070-0287.310 | 71 Đường Bến Xúc
P=1803 | X=0191.830-0230.800 | Y=0277.950-0287.270 | Châu Âu
P=1803 | X=0380.780-0405.830 | Y=0277.950-0287.270 | 2.300
P=1803 | X=0442.010-0467.060 | Y=0277.950-0287.270 | 1.600
P=1803 | X=0497.230-0522.280 | Y=0277.950-0287.270 | 1.400
P=1803 | X=0262.660-0334.420 | Y=0281.860-0293.100 | nước Sông Mây
P=1803 | X=0191.830-0253.330 | Y=0289.500-0298.820 | EUROWOOD
P=1803 | X=0191.830-0232.120 | Y=0301.020-0310.340 | CO.LTD)
P=1803 | X=0108.290-0322.520 | Y=0316.900-0328.140 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1803 | X=0108.290-0340.280 | Y=0328.420-0339.660 | Đường Bến Xúc đoạn từ Ngã ba (Công ty TNHH Gỗ
P=1803 | X=0108.290-0332.970 | Y=0339.700-0350.940 | Châu Âu EUROWOOD CO.LTD) đến Hết nhà máy
P=1803 | X=0108.290-0326.850 | Y=0351.220-0362.460 | nước Sông Mây có hiện trạng là đường nhựa, bê
P=1803 | X=0093.380-0168.450 | Y=0362.740-0374.180 | 72 tông xi măng:
P=1803 | X=0380.780-0405.830 | Y=0364.860-0374.180 | 1.200
P=1803 | X=0450.170-0466.810 | Y=0364.860-0374.180 | 840
P=1803 | X=0505.390-0522.030 | Y=0364.860-0374.180 | 720
P=1803 | X=0108.290-0339.370 | Y=0380.280-0391.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1803 | X=0108.290-0321.540 | Y=0397.800-0409.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1803 | X=0108.290-0169.410 | Y=0409.320-0420.560 | thông ≤500m.
P=1803 | X=0108.290-0322.520 | Y=0427.080-0438.320 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1803 | X=0108.290-0340.280 | Y=0438.600-0449.840 | Đường Bến Xúc đoạn từ Ngã ba (Công ty TNHH Gỗ
P=1803 | X=0108.290-0332.990 | Y=0450.140-0461.380 | Châu Âu EUROWOOD CO.LTD) đến Hết nhà máy
P=1803 | X=0108.290-0326.850 | Y=0461.660-0472.900 | nước Sông Mây có hiện trạng là đường nhựa, bê
P=1803 | X=0108.290-0168.450 | Y=0473.180-0484.420 | tông xi măng:
P=1803 | X=0093.380-0104.500 | Y=0483.940-0493.260 | 73
P=1803 | X=0388.940-0405.580 | Y=0483.940-0493.260 | 900
P=1803 | X=0450.170-0466.810 | Y=0483.940-0493.260 | 630
P=1803 | X=0505.390-0522.030 | Y=0483.940-0493.260 | 540
P=1803 | X=0108.290-0339.840 | Y=0490.460-0501.700 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1803 | X=0108.290-0321.540 | Y=0507.980-0519.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1803 | X=0108.290-0243.140 | Y=0519.500-0530.740 | thông từ >500m đến ≤1.000m.
P=1803 | X=0108.290-0331.460 | Y=0537.050-0548.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1803 | X=0108.290-0322.520 | Y=0554.810-0566.050 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1803 | X=0108.290-0340.280 | Y=0566.330-0577.570 | Đường Bến Xúc đoạn từ Ngã ba (Công ty TNHH Gỗ
P=1803 | X=0108.290-0332.970 | Y=0577.850-0589.090 | Châu Âu EUROWOOD CO.LTD) đến Hết nhà máy
P=1803 | X=0108.290-0326.850 | Y=0589.370-0600.610 | nước Sông Mây có hiện trạng là đường nhựa, bê
P=1803 | X=0093.380-0168.450 | Y=0600.890-0612.330 | 74 tông xi măng:
P=1803 | X=0388.940-0405.580 | Y=0603.010-0612.330 | 730
P=1803 | X=0450.170-0466.810 | Y=0603.010-0612.330 | 510
P=1803 | X=0505.390-0522.030 | Y=0603.010-0612.330 | 440
P=1803 | X=0108.290-0321.540 | Y=0618.430-0629.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1803 | X=0108.290-0178.270 | Y=0631.830-0641.150 | thông >1.000m.
P=1803 | X=0108.290-0331.930 | Y=0647.470-0658.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1803 | X=0108.290-0341.000 | Y=0665.230-0676.470 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1803 | X=0108.290-0335.740 | Y=0676.510-0687.750 | và thông ra Đường Bến Xúc đoạn từ Ngã ba (Công
P=1803 | X=0093.380-0104.500 | Y=0684.150-0693.470 | 75
P=1803 | X=0380.780-0405.830 | Y=0684.150-0693.470 | 1.100
P=1803 | X=0450.170-0466.810 | Y=0684.150-0693.470 | 770
P=1803 | X=0505.390-0522.030 | Y=0684.150-0693.470 | 660
P=1803 | X=0108.290-0330.690 | Y=0688.030-0699.270 | ty TNHH Gỗ Châu Âu EUROWOOD CO.LTD) đến
P=1803 | X=0108.290-0343.640 | Y=0699.550-0710.790 | Hết nhà máy nước Sông Mây có hiện trạng là đường
P=1804 | X=0108.290-0211.430 | Y=0074.380-0083.700 | nhựa, bê tông xi măng:
P=1804 | X=0108.290-0339.370 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1804 | X=0108.290-0321.540 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1804 | X=0108.290-0169.410 | Y=0119.090-0130.330 | thông ≤500m.
P=1804 | X=0108.290-0341.000 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1804 | X=0108.290-0335.720 | Y=0148.370-0159.610 | và thông ra Đường Bến Xúc đoạn từ Ngã ba (Công
P=1804 | X=0108.290-0330.680 | Y=0159.650-0170.890 | ty TNHH Gỗ Châu Âu EUROWOOD CO.LTD) đến
P=1804 | X=0108.290-0343.640 | Y=0171.170-0182.410 | Hết nhà máy nước Sông Mây có hiện trạng là đường
P=1804 | X=0108.290-0211.420 | Y=0182.690-0193.930 | nhựa, bê tông xi măng:
P=1804 | X=0093.380-0104.500 | Y=0193.690-0203.010 | 76
P=1804 | X=0388.940-0405.580 | Y=0193.690-0203.010 | 810
P=1804 | X=0450.170-0466.810 | Y=0193.690-0203.010 | 570
P=1804 | X=0505.390-0522.030 | Y=0193.690-0203.010 | 490
P=1804 | X=0108.290-0339.840 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1804 | X=0108.290-0321.540 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1804 | X=0108.290-0243.110 | Y=0229.270-0240.510 | thông từ >500m đến ≤1.000m.
P=1804 | X=0108.290-0331.460 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1804 | X=0108.290-0341.000 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1804 | X=0108.290-0335.740 | Y=0276.070-0287.310 | và thông ra Đường Bến Xúc đoạn từ Ngã ba (Công
P=1804 | X=0108.290-0330.680 | Y=0287.620-0298.860 | ty TNHH Gỗ Châu Âu EUROWOOD CO.LTD) đến
P=1804 | X=0108.290-0343.640 | Y=0299.140-0310.380 | Hết nhà máy nước Sông Mây có hiện trạng là đường
P=1804 | X=0093.380-0211.400 | Y=0310.660-0322.100 | 77 nhựa, bê tông xi măng:
P=1804 | X=0388.940-0405.580 | Y=0312.780-0322.100 | 660
P=1804 | X=0450.170-0466.810 | Y=0312.780-0322.100 | 460
P=1804 | X=0505.390-0522.030 | Y=0312.780-0322.100 | 400
P=1804 | X=0108.290-0321.540 | Y=0327.940-0339.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1804 | X=0108.290-0178.310 | Y=0341.340-0350.660 | thông >1.000m.
P=1804 | X=0108.290-0331.930 | Y=0356.980-0368.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1804 | X=0108.290-0181.270 | Y=0374.760-0386.000 | Đường Tân An -
P=1804 | X=0262.660-0337.870 | Y=0374.760-0386.000 | Đường vào chùa
P=1804 | X=0191.830-0262.030 | Y=0380.520-0391.760 | Đường tỉnh 767
P=1804 | X=0093.380-0104.500 | Y=0382.400-0391.720 | 78
P=1804 | X=0380.780-0405.830 | Y=0382.400-0391.720 | 3.400
P=1804 | X=0442.010-0467.060 | Y=0382.400-0391.720 | 2.400
