TABLE=006 | AREA=Phường Hố Nai | SECTION=non-agricultural | SEGMENTS=1
P=0224 | X=0424.970-0450.020 | Y=0470.500-0479.820 | 9.300
P=0224 | X=0461.210-0486.260 | Y=0470.500-0479.820 | 6.500
P=0224 | X=0497.230-0522.280 | Y=0470.500-0479.820 | 5.600
P=0224 | X=0322.200-0395.500 | Y=0474.380-0485.620 | tờ BĐĐC số 103
P=0224 | X=0106.850-0413.450 | Y=0492.140-0503.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Ngũ Phúc 1 đoạn từ
P=0224 | X=0106.850-0405.100 | Y=0503.660-0514.900 | Quốc lộ 1 đến Hết thửa đất số 76, tờ BĐĐC số 103 có hiện trạng là
P=0224 | X=0106.850-0242.600 | Y=0515.180-0526.420 | đường nhựa, bê tông xi măng:
P=0224 | X=0090.020-0106.660 | Y=0523.060-0532.380 | 135
P=0224 | X=0424.970-0450.020 | Y=0523.060-0532.380 | 5.600
P=0224 | X=0461.210-0486.260 | Y=0523.060-0532.380 | 3.900
P=0224 | X=0497.230-0522.280 | Y=0523.060-0532.380 | 3.400
P=0224 | X=0106.850-0337.930 | Y=0532.490-0543.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0224 | X=0106.850-0384.020 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0224 | X=0106.850-0413.450 | Y=0567.770-0579.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Ngũ Phúc 1 đoạn từ
P=0224 | X=0106.850-0405.100 | Y=0579.290-0590.530 | Quốc lộ 1 đến Hết thửa đất số 76, tờ BĐĐC số 103 có hiện trạng là
P=0224 | X=0106.850-0242.600 | Y=0590.810-0602.050 | đường nhựa, bê tông xi măng:
P=0224 | X=0090.020-0338.400 | Y=0608.330-0622.650 | 136 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0224 | X=0424.970-0450.020 | Y=0613.330-0622.650 | 5.000
P=0224 | X=0461.210-0486.260 | Y=0613.330-0622.650 | 3.500
P=0224 | X=0497.230-0522.280 | Y=0613.330-0622.650 | 3.000
P=0224 | X=0106.850-0413.270 | Y=0625.870-0637.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0224 | X=0106.850-0148.530 | Y=0637.390-0648.630 | ≤1.000m.
P=0224 | X=0106.850-0330.020 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0224 | X=0106.850-0413.450 | Y=0672.670-0683.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Ngũ Phúc 1 đoạn từ
P=0224 | X=0090.020-0405.100 | Y=0684.190-0695.430 | 137 Quốc lộ 1 đến Hết thửa đất số 76, tờ BĐĐC số 103 có hiện trạng là
P=0224 | X=0424.970-0450.020 | Y=0686.070-0695.390 | 4.500
P=0224 | X=0461.210-0486.260 | Y=0686.070-0695.390 | 3.200
P=0224 | X=0497.230-0522.280 | Y=0686.070-0695.390 | 2.700
P=0224 | X=0106.850-0242.600 | Y=0695.710-0706.950 | đường nhựa, bê tông xi măng:
P=0225 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0225 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0225 | X=0106.850-0413.230 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Ngũ
P=0225 | X=0106.850-0404.620 | Y=0125.330-0136.570 | Phúc 1 đoạn từ Quốc lộ 1 đến Hết thửa đất số 76, tờ BĐĐC số 103
P=0225 | X=0106.850-0313.700 | Y=0136.850-0148.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0225 | X=0090.020-0106.660 | Y=0144.730-0154.050 | 138
P=0225 | X=0424.970-0450.020 | Y=0144.730-0154.050 | 5.000
P=0225 | X=0461.210-0486.260 | Y=0144.730-0154.050 | 3.500
P=0225 | X=0497.230-0522.280 | Y=0144.730-0154.050 | 3.000
P=0225 | X=0106.850-0337.940 | Y=0154.370-0165.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0225 | X=0106.850-0384.020 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0225 | X=0106.850-0413.230 | Y=0189.410-0200.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Ngũ
P=0225 | X=0106.850-0404.620 | Y=0200.950-0212.190 | Phúc 1 đoạn từ Quốc lộ 1 đến Hết thửa đất số 76, tờ BĐĐC số 103
P=0225 | X=0106.850-0313.700 | Y=0212.470-0223.710 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0225 | X=0090.020-0338.400 | Y=0229.990-0244.310 | 139 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0225 | X=0424.970-0450.020 | Y=0234.990-0244.310 | 4.500
P=0225 | X=0461.210-0486.260 | Y=0234.990-0244.310 | 3.200
P=0225 | X=0497.230-0522.280 | Y=0234.990-0244.310 | 2.700
P=0225 | X=0106.850-0413.270 | Y=0247.510-0258.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0225 | X=0106.850-0148.530 | Y=0259.030-0270.270 | ≤1.000m.
P=0225 | X=0106.850-0330.020 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0225 | X=0106.850-0413.230 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Ngũ
P=0225 | X=0106.850-0404.620 | Y=0305.860-0317.100 | Phúc 1 đoạn từ Quốc lộ 1 đến Hết thửa đất số 76, tờ BĐĐC số 103
P=0225 | X=0106.850-0313.700 | Y=0317.380-0328.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0225 | X=0090.020-0106.660 | Y=0325.260-0334.580 | 140
P=0225 | X=0424.970-0450.020 | Y=0325.260-0334.580 | 4.100
P=0225 | X=0461.210-0486.260 | Y=0325.260-0334.580 | 2.900
P=0225 | X=0497.230-0522.270 | Y=0325.260-0334.580 | 2.500
P=0225 | X=0106.850-0392.640 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0225 | X=0106.850-0330.490 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0225 | X=0322.200-0400.870 | Y=0369.960-0381.200 | Bên phải, đến hết
P=0225 | X=0322.200-0415.180 | Y=0381.480-0392.720 | ranh thửa đất số 144
P=0225 | X=0322.200-0398.230 | Y=0393.000-0404.240 | tờ BĐĐC số 103;
P=0225 | X=0090.020-0193.800 | Y=0404.520-0415.760 | 141 Đường Ngũ Phúc 2
P=0225 | X=0322.200-0395.830 | Y=0404.520-0415.760 | Bên trái, đến hết
P=0225 | X=0235.540-0278.580 | Y=0406.400-0415.720 | Quốc lộ 1
P=0225 | X=0424.970-0450.020 | Y=0406.400-0415.720 | 9.300
P=0225 | X=0461.210-0486.260 | Y=0406.400-0415.720 | 6.500
P=0225 | X=0497.230-0522.280 | Y=0406.400-0415.720 | 5.600
P=0225 | X=0322.200-0395.740 | Y=0416.040-0427.280 | ranh thửa đất số
P=0225 | X=0322.200-0398.390 | Y=0427.560-0438.800 | 143, tờ BĐĐC số
P=0225 | X=0322.200-0338.840 | Y=0440.960-0450.280 | 103
P=0225 | X=0106.850-0410.350 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngũ Phúc 2
P=0225 | X=0106.850-0395.550 | Y=0468.380-0479.620 | đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 144 tờ
P=0225 | X=0106.850-0402.230 | Y=0479.900-0491.140 | BĐĐC số 103; Bên trái, đến hết ranh thửa đất số 143, tờ BĐĐC số
P=0225 | X=0090.020-0333.140 | Y=0491.420-0502.860 | 142 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0225 | X=0424.970-0450.020 | Y=0493.540-0502.860 | 5.600
P=0225 | X=0461.210-0486.260 | Y=0493.540-0502.860 | 3.900
P=0225 | X=0497.230-0522.280 | Y=0493.540-0502.860 | 3.400
P=0225 | X=0106.850-0337.930 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0225 | X=0106.850-0384.060 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0225 | X=0106.850-0410.350 | Y=0544.010-0555.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngũ Phúc 2
P=0225 | X=0106.850-0395.550 | Y=0555.530-0566.770 | đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 144 tờ
P=0225 | X=0106.850-0402.230 | Y=0567.050-0578.290 | BĐĐC số 103; Bên trái, đến hết ranh thửa đất số 143, tờ BĐĐC số
P=0225 | X=0106.850-0333.150 | Y=0578.570-0589.810 | 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0225 | X=0090.020-0338.400 | Y=0595.330-0607.330 | 143 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0225 | X=0424.970-0450.020 | Y=0595.330-0604.650 | 5.000
P=0225 | X=0461.210-0486.260 | Y=0595.330-0604.650 | 3.500
P=0225 | X=0497.230-0522.280 | Y=0595.330-0604.650 | 3.000
P=0225 | X=0106.850-0413.270 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0225 | X=0106.850-0148.530 | Y=0625.150-0636.390 | ≤1.000m.
P=0225 | X=0106.850-0330.020 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0225 | X=0106.850-0410.350 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngũ Phúc 2
P=0225 | X=0106.850-0395.550 | Y=0671.950-0683.190 | đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 144 tờ
P=0225 | X=0090.020-0106.660 | Y=0679.590-0688.910 | 144
P=0225 | X=0424.970-0450.020 | Y=0679.590-0688.910 | 4.500
P=0225 | X=0461.210-0486.260 | Y=0679.590-0688.910 | 3.200
P=0225 | X=0497.230-0522.280 | Y=0679.590-0688.910 | 2.700
P=0225 | X=0106.850-0402.230 | Y=0683.470-0694.710 | BĐĐC số 103; Bên trái, đến hết ranh thửa đất số 143, tờ BĐĐC số
P=0225 | X=0106.850-0333.140 | Y=0694.750-0705.990 | 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0226 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0226 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0226 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0226 | X=0106.850-0400.060 | Y=0125.330-0136.570 | Đường Ngũ Phúc 2 đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh
P=0226 | X=0106.850-0408.220 | Y=0136.850-0148.090 | thửa đất số 144 tờ BĐĐC số 103; Bên trái, đến hết ranh thửa đất số
P=0226 | X=0090.020-0412.110 | Y=0148.370-0159.810 | 145 143, tờ BĐĐC số 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0226 | X=0424.970-0450.020 | Y=0150.490-0159.810 | 5.000
P=0226 | X=0461.210-0486.260 | Y=0150.490-0159.810 | 3.500
P=0226 | X=0497.230-0522.280 | Y=0150.490-0159.810 | 3.000
P=0226 | X=0106.850-0337.930 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0226 | X=0106.850-0384.020 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0226 | X=0106.850-0392.140 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0226 | X=0106.850-0400.060 | Y=0212.470-0223.710 | Đường Ngũ Phúc 2 đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh
P=0226 | X=0106.850-0408.220 | Y=0223.990-0235.230 | thửa đất số 144 tờ BĐĐC số 103; Bên trái, đến hết ranh thửa đất số
P=0226 | X=0106.850-0412.110 | Y=0235.510-0246.750 | 143, tờ BĐĐC số 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0226 | X=0090.020-0338.400 | Y=0252.270-0264.270 | 146 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0226 | X=0424.970-0450.020 | Y=0252.270-0261.590 | 4.500
P=0226 | X=0461.210-0486.260 | Y=0252.270-0261.590 | 3.200
P=0226 | X=0497.230-0522.280 | Y=0252.270-0261.590 | 2.700
P=0226 | X=0106.850-0413.270 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0226 | X=0106.850-0148.530 | Y=0282.100-0293.340 | ≤1.000m.
P=0226 | X=0106.850-0330.020 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0226 | X=0106.850-0392.110 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0226 | X=0106.850-0400.060 | Y=0328.900-0340.140 | Đường Ngũ Phúc 2 đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh
P=0226 | X=0106.850-0408.220 | Y=0340.420-0351.660 | thửa đất số 144 tờ BĐĐC số 103; Bên trái, đến hết ranh thửa đất số
P=0226 | X=0090.020-0412.110 | Y=0351.700-0363.140 | 147 143, tờ BĐĐC số 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0226 | X=0424.970-0450.020 | Y=0353.820-0363.140 | 4.100
P=0226 | X=0461.210-0486.250 | Y=0353.820-0363.140 | 2.900
P=0226 | X=0497.230-0522.280 | Y=0353.820-0363.140 | 2.500
P=0226 | X=0106.850-0392.640 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0226 | X=0106.850-0330.490 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0226 | X=0090.020-0278.580 | Y=0404.520-0415.760 | 148 Đường vào đập Thanh Niên Quốc lộ 1
P=0226 | X=0322.200-0394.780 | Y=0406.400-0415.720 | Hết mét thứ 200
P=0226 | X=0424.970-0450.020 | Y=0406.400-0415.720 | 8.600
P=0226 | X=0461.210-0486.260 | Y=0406.400-0415.720 | 6.000
P=0226 | X=0497.230-0522.280 | Y=0406.400-0415.720 | 5.200
P=0226 | X=0106.850-0393.590 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập
P=0226 | X=0106.850-0407.500 | Y=0433.800-0445.040 | Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là
P=0226 | X=0106.850-0242.600 | Y=0445.320-0456.560 | đường nhựa, bê tông xi măng:
P=0226 | X=0090.020-0106.660 | Y=0453.220-0462.540 | 149
P=0226 | X=0424.970-0450.020 | Y=0453.220-0462.540 | 4.300
P=0226 | X=0461.210-0486.260 | Y=0453.220-0462.540 | 3.000
P=0226 | X=0497.230-0522.280 | Y=0453.220-0462.540 | 2.600
P=0226 | X=0106.850-0337.930 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0226 | X=0106.850-0384.020 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0226 | X=0106.850-0393.590 | Y=0498.140-0509.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập
P=0226 | X=0106.850-0407.500 | Y=0509.660-0520.900 | Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là
P=0226 | X=0106.850-0242.600 | Y=0521.180-0532.420 | đường nhựa, bê tông xi măng:
P=0226 | X=0090.020-0338.400 | Y=0538.490-0552.810 | 150 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0226 | X=0424.970-0450.020 | Y=0543.490-0552.810 | 3.300
P=0226 | X=0461.210-0486.260 | Y=0543.490-0552.810 | 2.300
P=0226 | X=0497.230-0522.280 | Y=0543.490-0552.810 | 2.000
P=0226 | X=0106.850-0413.270 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0226 | X=0106.850-0148.530 | Y=0567.530-0578.770 | ≤1.000m.
P=0226 | X=0106.850-0330.020 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0226 | X=0106.850-0393.590 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập
P=0226 | X=0106.850-0407.500 | Y=0614.330-0625.570 | Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là
P=0226 | X=0106.850-0242.600 | Y=0625.870-0637.110 | đường nhựa, bê tông xi măng:
P=0226 | X=0090.020-0106.660 | Y=0633.750-0643.070 | 151
P=0226 | X=0424.970-0450.020 | Y=0633.750-0643.070 | 2.200
P=0226 | X=0461.210-0486.260 | Y=0633.750-0643.070 | 1.500
P=0226 | X=0497.230-0522.280 | Y=0633.750-0643.070 | 1.300
P=0226 | X=0106.850-0392.640 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0226 | X=0106.850-0330.490 | Y=0660.910-0672.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0226 | X=0106.850-0392.110 | Y=0678.670-0689.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0226 | X=0090.020-0408.940 | Y=0690.190-0701.430 | 152 Đường vào đập Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200
P=0226 | X=0424.970-0450.020 | Y=0692.070-0701.390 | 3.900
P=0226 | X=0461.210-0486.260 | Y=0692.070-0701.390 | 2.700
P=0226 | X=0497.230-0522.280 | Y=0692.070-0701.390 | 2.300
P=0226 | X=0106.850-0313.700 | Y=0701.730-0712.970 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0227 | X=0106.850-0337.930 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0227 | X=0106.850-0384.050 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0227 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0227 | X=0106.850-0408.940 | Y=0125.330-0136.570 | Đường vào đập Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200
P=0227 | X=0106.850-0313.700 | Y=0136.850-0148.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0227 | X=0090.020-0338.400 | Y=0154.370-0168.450 | 153 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0227 | X=0424.970-0450.020 | Y=0159.130-0168.450 | 3.000
P=0227 | X=0461.210-0486.260 | Y=0159.130-0168.450 | 2.100
P=0227 | X=0497.230-0522.280 | Y=0159.130-0168.450 | 1.800
P=0227 | X=0106.850-0413.270 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0227 | X=0106.850-0148.530 | Y=0183.170-0194.410 | ≤1.000m.
P=0227 | X=0106.850-0330.020 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0227 | X=0106.850-0392.110 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0227 | X=0106.850-0408.940 | Y=0229.990-0241.230 | Đường vào đập Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200
P=0227 | X=0106.850-0313.700 | Y=0241.510-0252.750 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0227 | X=0090.020-0106.660 | Y=0249.390-0258.710 | 154
P=0227 | X=0424.970-0450.020 | Y=0249.390-0258.710 | 2.000
P=0227 | X=0461.210-0486.260 | Y=0249.390-0258.710 | 1.400
P=0227 | X=0497.230-0522.280 | Y=0249.390-0258.710 | 1.200
P=0227 | X=0106.850-0392.640 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0227 | X=0106.850-0330.490 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0227 | X=0322.200-0400.870 | Y=0294.340-0305.580 | Bên phải, đến hết
P=0227 | X=0322.200-0409.660 | Y=0305.860-0317.100 | ranh thửa đất số 97
P=0227 | X=0322.200-0398.230 | Y=0317.380-0328.620 | tờ BĐĐC số 101;
P=0227 | X=0090.020-0308.120 | Y=0323.140-0334.380 | 155 Đường vào đập Thanh Niên Hết mét thứ 200
P=0227 | X=0424.970-0450.020 | Y=0325.020-0334.340 | 5.800
P=0227 | X=0461.210-0486.260 | Y=0325.020-0334.340 | 4.100
P=0227 | X=0497.230-0522.280 | Y=0325.020-0334.340 | 3.500
P=0227 | X=0322.200-0395.830 | Y=0328.900-0340.140 | Bên trái, đến hết
P=0227 | X=0322.200-0412.390 | Y=0340.420-0351.660 | ranh thửa đất số 10,
P=0227 | X=0322.200-0395.500 | Y=0351.700-0362.940 | tờ BĐĐC số 101
P=0227 | X=0106.850-0393.590 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập
P=0227 | X=0106.850-0394.540 | Y=0381.000-0392.240 | Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết ranh
P=0227 | X=0106.850-0402.700 | Y=0392.520-0403.760 | thửa đất số 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số
P=0227 | X=0090.020-0406.580 | Y=0404.040-0415.480 | 156 10, tờ BĐĐC số 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0227 | X=0424.970-0450.020 | Y=0406.160-0415.480 | 2.900
P=0227 | X=0461.210-0486.260 | Y=0406.160-0415.480 | 2.000
P=0227 | X=0497.230-0522.280 | Y=0406.160-0415.480 | 1.700
P=0227 | X=0106.850-0337.930 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0227 | X=0106.850-0384.020 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0227 | X=0106.850-0393.590 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập
P=0227 | X=0106.850-0394.540 | Y=0468.380-0479.620 | Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết ranh
P=0227 | X=0106.850-0402.700 | Y=0479.900-0491.140 | thửa đất số 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số
P=0227 | X=0106.850-0406.580 | Y=0491.420-0502.660 | 10, tờ BĐĐC số 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0227 | X=0090.020-0338.400 | Y=0507.940-0520.180 | 157 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0227 | X=0424.970-0450.020 | Y=0507.940-0517.260 | 2.400
P=0227 | X=0461.210-0486.260 | Y=0507.940-0517.260 | 1.700
P=0227 | X=0497.230-0522.280 | Y=0507.940-0517.260 | 1.400
P=0227 | X=0106.850-0413.270 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0227 | X=0106.850-0148.530 | Y=0537.770-0549.010 | ≤1.000m.
P=0227 | X=0106.850-0330.020 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0227 | X=0106.850-0393.590 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập
P=0227 | X=0106.850-0394.540 | Y=0584.570-0595.810 | Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết ranh
P=0227 | X=0106.850-0402.700 | Y=0596.090-0607.330 | thửa đất số 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số
P=0227 | X=0090.020-0406.580 | Y=0607.610-0619.050 | 158 10, tờ BĐĐC số 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0227 | X=0424.970-0450.020 | Y=0609.730-0619.050 | 1.600
P=0227 | X=0461.210-0486.260 | Y=0609.730-0619.050 | 1.100
P=0227 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 960
P=0227 | X=0106.850-0392.640 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0227 | X=0106.850-0330.490 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0227 | X=0106.850-0392.110 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0227 | X=0106.850-0408.290 | Y=0671.950-0683.190 | Đường vào đập Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải,
P=0227 | X=0090.020-0408.220 | Y=0683.470-0694.710 | 159 đến hết ranh thửa đất số 97 tờ BĐĐC số 101; Bên trái, đến hết ranh
P=0227 | X=0424.970-0450.020 | Y=0685.350-0694.670 | 2.600
P=0227 | X=0461.210-0486.260 | Y=0685.350-0694.670 | 1.800
P=0227 | X=0497.230-0522.280 | Y=0685.350-0694.670 | 1.600
P=0227 | X=0106.850-0397.180 | Y=0694.750-0705.990 | thửa đất số 10, tờ BĐĐC số 101 có hiện trạng là đường nhựa, bê
P=0227 | X=0106.850-0167.010 | Y=0706.290-0717.530 | tông xi măng:
P=0228 | X=0106.850-0337.930 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0228 | X=0106.850-0384.020 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0228 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0228 | X=0106.850-0408.290 | Y=0125.330-0136.570 | Đường vào đập Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải,
P=0228 | X=0106.850-0408.220 | Y=0136.850-0148.090 | đến hết ranh thửa đất số 97 tờ BĐĐC số 101; Bên trái, đến hết ranh
P=0228 | X=0106.850-0397.180 | Y=0148.370-0159.610 | thửa đất số 10, tờ BĐĐC số 101 có hiện trạng là đường nhựa, bê
P=0228 | X=0106.850-0167.010 | Y=0159.650-0170.890 | tông xi măng:
P=0228 | X=0090.020-0106.660 | Y=0170.650-0179.970 | 160
P=0228 | X=0424.970-0450.020 | Y=0170.650-0179.970 | 2.200
P=0228 | X=0461.210-0486.260 | Y=0170.650-0179.970 | 1.500
P=0228 | X=0497.230-0522.280 | Y=0170.650-0179.970 | 1.300
P=0228 | X=0106.850-0338.400 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0228 | X=0106.850-0413.270 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0228 | X=0106.850-0148.530 | Y=0206.230-0217.470 | ≤1.000m.
P=0228 | X=0106.850-0330.020 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0228 | X=0106.850-0392.110 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0228 | X=0106.850-0408.300 | Y=0253.030-0264.270 | Đường vào đập Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải,
