TABLE=022 | AREA=Phường Hàng Gòn | SECTION=non-agricultural | SEGMENTS=1
P=0748 | X=0412.700-0429.340 | Y=0477.460-0486.780 | 670
P=0748 | X=0449.210-0465.850 | Y=0477.460-0486.780 | 470
P=0748 | X=0505.390-0522.030 | Y=0477.460-0486.780 | 400
P=0748 | X=0121.010-0352.090 | Y=0492.860-0504.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0748 | X=0121.010-0398.200 | Y=0510.380-0521.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0748 | X=0121.010-0395.990 | Y=0528.380-0539.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng
P=0748 | X=0121.010-0376.780 | Y=0539.930-0551.170 | Gòn - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế đến
P=0748 | X=0121.010-0395.260 | Y=0551.450-0562.690 | Giáp ranh xã Xuân Quế có hiện trạng là đường nhựa, bê tông
P=0748 | X=0121.010-0158.840 | Y=0562.970-0574.210 | xi măng:
P=0748 | X=0099.650-0110.770 | Y=0579.490-0588.810 | 52
P=0748 | X=0412.700-0429.340 | Y=0579.490-0588.810 | 650
P=0748 | X=0449.210-0465.850 | Y=0579.490-0588.810 | 460
P=0748 | X=0505.390-0522.030 | Y=0579.490-0588.810 | 390
P=0748 | X=0121.010-0352.560 | Y=0580.250-0591.490 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0748 | X=0121.010-0374.320 | Y=0597.770-0609.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0748 | X=0121.010-0215.980 | Y=0609.290-0620.530 | >500m đến ≤1.000m.
P=0748 | X=0121.010-0344.180 | Y=0626.830-0638.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0748 | X=0121.010-0395.990 | Y=0644.830-0656.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng
P=0748 | X=0121.010-0376.780 | Y=0656.350-0667.590 | Gòn - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế đến
P=0748 | X=0121.010-0395.240 | Y=0667.870-0679.110 | Giáp ranh xã Xuân Quế có hiện trạng là đường nhựa, bê tông
P=0748 | X=0099.650-0110.770 | Y=0678.390-0687.710 | 53
P=0748 | X=0412.700-0429.340 | Y=0678.390-0687.710 | 450
P=0748 | X=0449.210-0465.850 | Y=0678.390-0687.710 | 320
P=0748 | X=0505.390-0522.030 | Y=0678.390-0687.710 | 270
P=0748 | X=0121.010-0158.840 | Y=0679.390-0690.630 | xi măng:
P=0748 | X=0121.010-0362.120 | Y=0696.910-0708.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0748 | X=0121.010-0163.150 | Y=0710.340-0719.660 | >1.000m.
P=0749 | X=0121.010-0344.650 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0749 | X=0121.010-0394.520 | Y=0096.740-0107.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0749 | X=0121.010-0382.300 | Y=0108.260-0119.500 | ra Đường Hàng Gòn - Xuân Quế đoạn từ Ngã ba đường đi
P=0749 | X=0121.010-0397.420 | Y=0119.810-0131.050 | Xuân Quế đến Giáp ranh xã Xuân Quế có hiện trạng là đường
P=0749 | X=0121.010-0224.120 | Y=0131.330-0142.570 | nhựa, bê tông xi măng:
P=0749 | X=0099.650-0110.770 | Y=0133.450-0142.770 | 54
P=0749 | X=0412.700-0429.340 | Y=0133.450-0142.770 | 600
P=0749 | X=0449.210-0465.850 | Y=0133.450-0142.770 | 420
P=0749 | X=0505.390-0522.030 | Y=0133.450-0142.770 | 360
P=0749 | X=0121.010-0352.090 | Y=0148.850-0160.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0749 | X=0121.010-0398.200 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0749 | X=0121.010-0394.520 | Y=0184.370-0195.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0749 | X=0121.010-0382.300 | Y=0195.650-0206.890 | ra Đường Hàng Gòn - Xuân Quế đoạn từ Ngã ba đường đi
P=0749 | X=0121.010-0397.420 | Y=0207.190-0218.430 | Xuân Quế đến Giáp ranh xã Xuân Quế có hiện trạng là đường
P=0749 | X=0121.010-0224.120 | Y=0218.710-0229.950 | nhựa, bê tông xi măng:
P=0749 | X=0099.650-0110.770 | Y=0235.470-0244.790 | 55
P=0749 | X=0412.700-0429.340 | Y=0235.470-0244.790 | 590
P=0749 | X=0449.210-0465.850 | Y=0235.470-0244.790 | 410
P=0749 | X=0505.390-0522.030 | Y=0235.470-0244.790 | 350
P=0749 | X=0121.010-0352.560 | Y=0236.230-0247.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0749 | X=0121.010-0374.320 | Y=0253.750-0264.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0749 | X=0121.010-0215.980 | Y=0265.270-0276.510 | >500m đến ≤1.000m.
P=0749 | X=0121.010-0344.180 | Y=0282.820-0294.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0749 | X=0121.010-0394.520 | Y=0300.820-0312.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0749 | X=0121.010-0382.300 | Y=0312.340-0323.580 | ra Đường Hàng Gòn - Xuân Quế đoạn từ Ngã ba đường đi
P=0749 | X=0121.010-0397.420 | Y=0323.860-0335.100 | Xuân Quế đến Giáp ranh xã Xuân Quế có hiện trạng là đường
P=0749 | X=0121.010-0224.120 | Y=0335.380-0346.620 | nhựa, bê tông xi măng:
P=0749 | X=0099.650-0110.770 | Y=0343.260-0352.580 | 56
P=0749 | X=0412.700-0429.340 | Y=0343.260-0352.580 | 410
P=0749 | X=0449.210-0465.850 | Y=0343.260-0352.580 | 290
P=0749 | X=0505.390-0522.030 | Y=0343.260-0352.580 | 250
P=0749 | X=0121.010-0362.120 | Y=0352.900-0364.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0749 | X=0121.010-0163.150 | Y=0366.060-0375.380 | >1.000m.
P=0749 | X=0121.010-0347.330 | Y=0381.720-0392.960 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0749 | X=0306.360-0390.380 | Y=0399.720-0410.960 | Đường Xuân Tân -
P=0749 | X=0121.010-0291.060 | Y=0405.480-0416.720 | Đường Quốc lộ 56 Đường Quốc lộ 1
P=0749 | X=0099.650-0110.770 | Y=0407.360-0416.680 | 57
P=0749 | X=0404.540-0429.590 | Y=0407.360-0416.680 | 4.900
P=0749 | X=0441.050-0466.100 | Y=0407.360-0416.680 | 3.400
P=0749 | X=0497.230-0522.280 | Y=0407.360-0416.680 | 2.900
P=0749 | X=0306.360-0352.040 | Y=0413.120-0422.440 | Hàng Gòn
P=0749 | X=0121.010-0396.140 | Y=0429.240-0440.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0749 | X=0121.010-0392.880 | Y=0440.760-0452.000 | lộ 56 đoạn từ Đường Quốc lộ 1 đến Đường Xuân Tân - Hàng
P=0749 | X=0121.010-0349.690 | Y=0452.300-0463.540 | Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0749 | X=0099.650-0110.770 | Y=0460.180-0469.500 | 58
P=0749 | X=0404.540-0429.590 | Y=0460.180-0469.500 | 1.600
P=0749 | X=0441.050-0466.100 | Y=0460.180-0469.500 | 1.100
P=0749 | X=0505.390-0522.030 | Y=0460.180-0469.500 | 960
P=0749 | X=0121.010-0343.920 | Y=0469.820-0481.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0749 | X=0121.010-0398.200 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0749 | X=0121.010-0396.140 | Y=0505.340-0516.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0749 | X=0121.010-0392.880 | Y=0516.860-0528.100 | lộ 56 đoạn từ Đường Quốc lộ 1 đến Đường Xuân Tân - Hàng
P=0749 | X=0121.010-0349.690 | Y=0528.380-0539.620 | Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0749 | X=0121.010-0344.180 | Y=0545.930-0557.170 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0749 | X=0099.650-0110.770 | Y=0550.690-0560.010 | 59
P=0749 | X=0404.540-0429.590 | Y=0550.690-0560.010 | 1.100
P=0749 | X=0449.210-0465.850 | Y=0550.690-0560.010 | 770
P=0749 | X=0505.390-0522.030 | Y=0550.690-0560.010 | 660
P=0749 | X=0121.010-0374.320 | Y=0563.450-0574.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0749 | X=0121.010-0207.580 | Y=0574.970-0586.210 | >400m đến ≤600m.
P=0749 | X=0121.010-0344.180 | Y=0592.250-0603.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0749 | X=0121.010-0396.140 | Y=0610.250-0621.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0749 | X=0121.010-0392.880 | Y=0621.790-0633.030 | lộ 56 đoạn từ Đường Quốc lộ 1 đến Đường Xuân Tân - Hàng
P=0749 | X=0121.010-0349.690 | Y=0633.310-0644.550 | Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0749 | X=0099.650-0110.770 | Y=0641.190-0650.510 | 60
P=0749 | X=0412.700-0429.340 | Y=0641.190-0650.510 | 780
P=0749 | X=0449.210-0465.850 | Y=0641.190-0650.510 | 550
P=0749 | X=0505.390-0522.030 | Y=0641.190-0650.510 | 470
P=0749 | X=0121.010-0398.440 | Y=0650.830-0662.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0749 | X=0121.010-0344.670 | Y=0668.350-0679.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0749 | X=0121.010-0394.520 | Y=0686.350-0697.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0749 | X=0099.650-0110.770 | Y=0693.990-0703.310 | 61
P=0749 | X=0404.540-0429.590 | Y=0693.990-0703.310 | 1.400
P=0749 | X=0449.210-0465.850 | Y=0693.990-0703.310 | 980
P=0749 | X=0505.390-0522.030 | Y=0693.990-0703.310 | 840
P=0749 | X=0121.010-0386.630 | Y=0697.870-0709.110 | ra Đường Quốc lộ 56 đoạn từ Đường Quốc lộ 1 đến Đường
P=0750 | X=0121.010-0397.880 | Y=0072.740-0083.980 | Xuân Tân - Hàng Gòn có hiện trạng là đường nhựa, bê tông xi
P=0750 | X=0121.010-0149.010 | Y=0084.260-0095.500 | măng:
P=0750 | X=0121.010-0343.920 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0750 | X=0121.010-0398.200 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0750 | X=0121.010-0394.520 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0750 | X=0121.010-0386.630 | Y=0148.850-0160.090 | ra Đường Quốc lộ 56 đoạn từ Đường Quốc lộ 1 đến Đường
P=0750 | X=0121.010-0397.880 | Y=0160.370-0171.610 | Xuân Tân - Hàng Gòn có hiện trạng là đường nhựa, bê tông xi
P=0750 | X=0121.010-0149.010 | Y=0171.650-0182.890 | măng:
P=0750 | X=0099.650-0110.770 | Y=0188.410-0197.730 | 62
P=0750 | X=0412.700-0429.340 | Y=0188.410-0197.730 | 990
P=0750 | X=0449.210-0465.850 | Y=0188.410-0197.730 | 690
P=0750 | X=0505.390-0522.030 | Y=0188.410-0197.730 | 590
P=0750 | X=0121.010-0344.180 | Y=0189.170-0200.410 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0750 | X=0121.010-0374.320 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0750 | X=0121.010-0207.580 | Y=0218.230-0229.470 | >400m đến ≤600m.
P=0750 | X=0121.010-0344.180 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0750 | X=0121.010-0394.520 | Y=0253.750-0264.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0750 | X=0121.010-0386.630 | Y=0265.270-0276.510 | ra Đường Quốc lộ 56 đoạn từ Đường Quốc lộ 1 đến Đường
P=0750 | X=0121.010-0397.880 | Y=0276.790-0288.030 | Xuân Tân - Hàng Gòn có hiện trạng là đường nhựa, bê tông xi
P=0750 | X=0121.010-0149.010 | Y=0288.340-0299.580 | măng:
P=0750 | X=0099.650-0110.770 | Y=0290.460-0299.780 | 63
P=0750 | X=0412.700-0429.340 | Y=0290.460-0299.780 | 700
P=0750 | X=0449.210-0465.850 | Y=0290.460-0299.780 | 490
P=0750 | X=0505.390-0522.030 | Y=0290.460-0299.780 | 420
P=0750 | X=0121.010-0398.440 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0750 | X=0121.010-0347.330 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0750 | X=0213.670-0387.500 | Y=0341.380-0352.620 | Đường Xuân Tân - Giáp ranh xã Cẩm
P=0750 | X=0121.010-0203.910 | Y=0347.140-0358.380 | Đường Quốc lộ 56
P=0750 | X=0099.650-0110.770 | Y=0349.020-0358.340 | 64
P=0750 | X=0404.540-0429.590 | Y=0349.020-0358.340 | 3.400
P=0750 | X=0441.050-0466.100 | Y=0349.020-0358.340 | 2.400
P=0750 | X=0497.230-0522.280 | Y=0349.020-0358.340 | 2.000
P=0750 | X=0213.670-0259.350 | Y=0354.780-0364.100 | Hàng Gòn
P=0750 | X=0306.360-0319.800 | Y=0354.780-0364.100 | Mỹ
P=0750 | X=0121.010-0396.140 | Y=0370.920-0382.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0750 | X=0121.010-0394.760 | Y=0382.200-0393.440 | lộ 56 đoạn từ Đường Xuân Tân - Hàng Gòn đến Giáp ranh xã
P=0750 | X=0121.010-0367.690 | Y=0393.720-0404.960 | Cẩm Mỹ có hiện trạng là đường nhựa, bê tông xi măng:
P=0750 | X=0099.650-0110.770 | Y=0401.600-0410.920 | 65
P=0750 | X=0404.540-0429.590 | Y=0401.600-0410.920 | 1.400
P=0750 | X=0449.210-0465.850 | Y=0401.600-0410.920 | 980
P=0750 | X=0505.390-0522.030 | Y=0401.600-0410.920 | 840
P=0750 | X=0121.010-0352.120 | Y=0411.240-0422.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0750 | X=0121.010-0398.460 | Y=0428.760-0440.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông <500m.
P=0750 | X=0121.010-0396.140 | Y=0446.760-0458.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0750 | X=0121.010-0394.760 | Y=0458.300-0469.540 | lộ 56 đoạn từ Đường Xuân Tân - Hàng Gòn đến Giáp ranh xã
P=0750 | X=0121.010-0367.690 | Y=0469.820-0481.060 | Cẩm Mỹ có hiện trạng là đường nhựa, bê tông xi măng:
P=0750 | X=0121.010-0352.560 | Y=0487.340-0498.580 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0750 | X=0099.650-0110.770 | Y=0492.100-0501.420 | 66
P=0750 | X=0412.700-0429.340 | Y=0492.100-0501.420 | 950
P=0750 | X=0449.210-0465.850 | Y=0492.100-0501.420 | 670
P=0750 | X=0505.390-0522.030 | Y=0492.100-0501.420 | 570
P=0750 | X=0121.010-0374.320 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0750 | X=0121.010-0215.980 | Y=0516.380-0527.620 | >500m đến ≤1.000m.
P=0750 | X=0121.010-0344.180 | Y=0533.930-0545.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0750 | X=0121.010-0396.140 | Y=0551.930-0563.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0750 | X=0121.010-0394.760 | Y=0563.450-0574.690 | lộ 56 đoạn từ Đường Xuân Tân - Hàng Gòn đến Giáp ranh xã
P=0750 | X=0121.010-0367.690 | Y=0574.970-0586.210 | Cẩm Mỹ có hiện trạng là đường nhựa, bê tông xi măng:
P=0750 | X=0099.650-0110.770 | Y=0588.370-0597.690 | 67
P=0750 | X=0412.700-0429.340 | Y=0588.370-0597.690 | 730
P=0750 | X=0449.210-0465.850 | Y=0588.370-0597.690 | 510
P=0750 | X=0505.390-0522.030 | Y=0588.370-0597.690 | 440
P=0750 | X=0121.010-0362.120 | Y=0592.250-0603.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0750 | X=0121.010-0163.150 | Y=0605.650-0614.970 | >1.000m.
P=0750 | X=0121.010-0344.650 | Y=0621.310-0632.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0750 | X=0121.010-0394.520 | Y=0639.310-0650.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0750 | X=0121.010-0388.040 | Y=0650.830-0662.070 | ra Đường Quốc lộ 56 đoạn từ Đường Xuân Tân - Hàng Gòn
P=0750 | X=0121.010-0384.700 | Y=0662.350-0673.590 | đến Giáp ranh xã Cẩm Mỹ có hiện trạng là đường nhựa, bê
P=0750 | X=0099.650-0110.770 | Y=0667.350-0676.670 | 68
P=0750 | X=0404.540-0429.590 | Y=0667.350-0676.670 | 1.300
P=0750 | X=0449.210-0465.850 | Y=0667.350-0676.670 | 910
P=0750 | X=0505.390-0522.030 | Y=0667.350-0676.670 | 780
P=0750 | X=0121.010-0181.170 | Y=0673.870-0685.110 | tông xi măng:
P=0750 | X=0121.010-0352.090 | Y=0691.390-0702.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0751 | X=0121.010-0398.200 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0751 | X=0121.010-0394.520 | Y=0096.740-0107.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0751 | X=0121.010-0388.040 | Y=0108.260-0119.500 | ra Đường Quốc lộ 56 đoạn từ Đường Xuân Tân - Hàng Gòn
P=0751 | X=0121.010-0384.700 | Y=0119.810-0131.050 | đến Giáp ranh xã Cẩm Mỹ có hiện trạng là đường nhựa, bê
P=0751 | X=0121.010-0181.170 | Y=0131.330-0142.570 | tông xi măng:
P=0751 | X=0099.650-0110.770 | Y=0147.850-0157.170 | 69
P=0751 | X=0412.700-0429.340 | Y=0147.850-0157.170 | 860
P=0751 | X=0449.210-0465.850 | Y=0147.850-0157.170 | 600
P=0751 | X=0505.390-0522.030 | Y=0147.850-0157.170 | 520
P=0751 | X=0121.010-0352.560 | Y=0148.850-0160.090 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0751 | X=0121.010-0374.320 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0751 | X=0121.010-0215.980 | Y=0177.650-0188.890 | >500m đến ≤1.000m.
P=0751 | X=0121.010-0344.180 | Y=0195.170-0206.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0751 | X=0121.010-0394.520 | Y=0213.190-0224.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0751 | X=0121.010-0388.040 | Y=0224.710-0235.950 | ra Đường Quốc lộ 56 đoạn từ Đường Xuân Tân - Hàng Gòn
P=0751 | X=0121.010-0384.700 | Y=0236.230-0247.470 | đến Giáp ranh xã Cẩm Mỹ có hiện trạng là đường nhựa, bê
P=0751 | X=0121.010-0181.170 | Y=0247.750-0258.990 | tông xi măng:
P=0751 | X=0099.650-0110.770 | Y=0255.630-0264.950 | 70
P=0751 | X=0412.700-0429.340 | Y=0255.630-0264.950 | 660
P=0751 | X=0449.210-0465.850 | Y=0255.630-0264.950 | 460
P=0751 | X=0505.390-0522.030 | Y=0255.630-0264.950 | 400
P=0751 | X=0121.010-0362.120 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0751 | X=0121.010-0163.160 | Y=0278.670-0287.990 | >1.000m.
P=0751 | X=0121.010-0347.330 | Y=0294.340-0305.580 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0751 | X=0306.360-0379.910 | Y=0314.220-0323.540 | Giáp Trạm dừng
P=0751 | X=0121.010-0198.390 | Y=0318.100-0329.340 | Đường Quốc lộ 1
P=0751 | X=0099.650-0110.770 | Y=0319.980-0329.300 | 71
P=0751 | X=0213.670-0297.750 | Y=0319.980-0329.300 | Ngã ba Tân Phong
P=0751 | X=0404.540-0429.590 | Y=0319.980-0329.300 | 5.300
P=0751 | X=0441.050-0466.090 | Y=0319.980-0329.300 | 3.700
P=0751 | X=0497.230-0522.280 | Y=0319.980-0329.300 | 3.200
P=0751 | X=0306.360-0374.130 | Y=0325.740-0335.060 | chân Lê Hoàng
P=0751 | X=0121.010-0396.140 | Y=0341.860-0353.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0751 | X=0121.010-0395.250 | Y=0353.380-0364.620 | lộ 1 đoạn từ Ngã ba Tân Phong đến Giáp Trạm dừng chân Lê
P=0751 | X=0121.010-0360.250 | Y=0364.900-0376.140 | Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=0751 | X=0099.650-0110.770 | Y=0372.800-0382.120 | 72
P=0751 | X=0404.540-0429.590 | Y=0372.800-0382.120 | 1,700
P=0751 | X=0441.050-0466.100 | Y=0372.800-0382.120 | 1.200
P=0751 | X=0497.230-0522.280 | Y=0372.800-0382.120 | 1.000
P=0751 | X=0121.010-0343.920 | Y=0382.200-0393.440 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0751 | X=0121.010-0398.200 | Y=0399.720-0410.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0751 | X=0121.010-0396.140 | Y=0417.720-0428.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0751 | X=0121.010-0395.250 | Y=0429.240-0440.480 | lộ 1 đoạn từ Ngã ba Tân Phong đến Giáp Trạm dừng chân Lê
P=0751 | X=0121.010-0360.250 | Y=0440.760-0452.000 | Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=0751 | X=0121.010-0344.210 | Y=0458.300-0469.540 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0751 | X=0099.650-0110.770 | Y=0463.300-0472.620 | 73
P=0751 | X=0404.540-0429.590 | Y=0463.300-0472.620 | 1.200
P=0751 | X=0449.210-0465.850 | Y=0463.300-0472.620 | 840
P=0751 | X=0505.390-0522.030 | Y=0463.300-0472.620 | 720
P=0751 | X=0121.010-0374.320 | Y=0475.820-0487.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0751 | X=0121.010-0207.580 | Y=0487.340-0498.580 | >400m đến ≤600m.
P=0751 | X=0121.010-0344.180 | Y=0504.860-0516.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0751 | X=0121.010-0396.140 | Y=0522.860-0534.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0751 | X=0121.010-0395.270 | Y=0534.410-0545.650 | lộ 1 đoạn từ Ngã ba Tân Phong đến Giáp Trạm dừng chân Lê
P=0751 | X=0121.010-0360.280 | Y=0545.930-0557.170 | Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=0751 | X=0099.650-0110.770 | Y=0553.810-0563.130 | 74
P=0751 | X=0412.700-0429.340 | Y=0553.810-0563.130 | 840
P=0751 | X=0449.210-0465.850 | Y=0553.810-0563.130 | 590
P=0751 | X=0505.390-0522.030 | Y=0553.810-0563.130 | 500
P=0751 | X=0121.010-0398.440 | Y=0563.450-0574.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0751 | X=0121.010-0344.650 | Y=0580.970-0592.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0751 | X=0121.010-0394.520 | Y=0598.970-0610.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0751 | X=0121.010-0377.250 | Y=0610.250-0621.490 | ra Đường Quốc lộ 1 đoạn từ Ngã ba Tân Phong đến Giáp
P=0751 | X=0121.010-0388.060 | Y=0621.790-0633.030 | Trạm dừng chân Lê Hoàng có hiện trạng là đường nhựa, bê
P=0751 | X=0121.010-0181.170 | Y=0633.310-0644.550 | tông xi măng:
P=0751 | X=0099.650-0110.770 | Y=0635.430-0644.750 | 75
P=0751 | X=0404.540-0429.590 | Y=0635.430-0644.750 | 1.500
P=0751 | X=0441.050-0466.100 | Y=0635.430-0644.750 | 1.100
P=0751 | X=0505.390-0522.030 | Y=0635.430-0644.750 | 900
P=0751 | X=0121.010-0343.920 | Y=0650.830-0662.070 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0751 | X=0121.010-0398.200 | Y=0668.350-0679.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0751 | X=0121.010-0394.520 | Y=0686.350-0697.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0751 | X=0099.650-0110.770 | Y=0693.990-0703.310 | 76
P=0751 | X=0404.540-0429.590 | Y=0693.990-0703.310 | 1.100
P=0751 | X=0449.210-0465.850 | Y=0693.990-0703.310 | 770
P=0751 | X=0505.390-0522.030 | Y=0693.990-0703.310 | 660
P=0751 | X=0121.010-0377.250 | Y=0697.870-0709.110 | ra Đường Quốc lộ 1 đoạn từ Ngã ba Tân Phong đến Giáp
P=0752 | X=0121.010-0388.060 | Y=0072.740-0083.980 | Trạm dừng chân Lê Hoàng có hiện trạng là đường nhựa, bê
P=0752 | X=0121.010-0181.190 | Y=0086.140-0095.460 | tông xi măng:
P=0752 | X=0121.010-0344.180 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0752 | X=0121.010-0374.320 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0752 | X=0121.010-0207.580 | Y=0130.850-0142.090 | >400m đến ≤600m.
P=0752 | X=0121.010-0344.180 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0752 | X=0121.010-0394.520 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0752 | X=0121.010-0377.250 | Y=0177.650-0188.890 | ra Đường Quốc lộ 1 đoạn từ Ngã ba Tân Phong đến Giáp
P=0752 | X=0121.010-0388.060 | Y=0189.170-0200.410 | Trạm dừng chân Lê Hoàng có hiện trạng là đường nhựa, bê
P=0752 | X=0121.010-0181.170 | Y=0200.710-0211.950 | tông xi măng:
P=0752 | X=0099.650-0110.770 | Y=0202.830-0212.150 | 77
P=0752 | X=0412.700-0429.340 | Y=0202.830-0212.150 | 760
P=0752 | X=0449.210-0465.850 | Y=0202.830-0212.150 | 530
P=0752 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 460
P=0752 | X=0121.010-0398.440 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0752 | X=0121.010-0347.330 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0752 | X=0213.670-0301.870 | Y=0255.630-0264.950 | Trạm dừng chân Lê
P=0752 | X=0121.010-0198.390 | Y=0259.510-0270.750 | Đường Quốc lộ 1
P=0752 | X=0306.360-0393.350 | Y=0259.510-0270.750 | Ranh xã Xuân Định
P=0752 | X=0099.650-0110.770 | Y=0261.390-0270.710 | 78
