TABLE=020 | AREA=Phường Bảo Vinh | SECTION=non-agricultural | SEGMENTS=1
P=0705 | X=0505.390-0522.030 | Y=0474.580-0483.900 | 720
P=0705 | X=0115.730-0369.040 | Y=0492.860-0504.100 | - Có bồ rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0705 | X=0115.730-0202.300 | Y=0504.380-0515.620 | >400m đến ≤600m.
P=0705 | X=0115.730-0338.900 | Y=0521.900-0533.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0705 | X=0115.730-0389.240 | Y=0539.930-0551.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0705 | X=0115.730-0389.250 | Y=0551.450-0562.690 | ra Đường Ngô Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn
P=0705 | X=0115.730-0386.360 | Y=0562.970-0574.210 | đến Đường Duy Tân có hiện trạng là đường nhựa, bê tông xi
P=0705 | X=0097.010-0143.730 | Y=0574.250-0585.690 | 56 măng:
P=0705 | X=0408.620-0425.260 | Y=0576.370-0585.690 | 880
P=0705 | X=0445.370-0462.010 | Y=0576.370-0585.690 | 620
P=0705 | X=0505.390-0522.030 | Y=0576.370-0585.690 | 530
P=0705 | X=0115.730-0393.160 | Y=0591.770-0603.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0705 | X=0115.730-0342.050 | Y=0609.290-0620.530 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0705 | X=0301.320-0383.740 | Y=0627.310-0638.550 | Giáp ranh phường
P=0705 | X=0097.010-0280.740 | Y=0633.070-0644.310 | 57 Đường Ngô Quyền Đường Duy Tân
P=0705 | X=0400.460-0425.510 | Y=0634.950-0644.270 | 3.100
P=0705 | X=0437.210-0462.260 | Y=0634.950-0644.270 | 2.200
P=0705 | X=0497.230-0522.280 | Y=0634.950-0644.270 | 1.900
P=0705 | X=0301.320-0355.180 | Y=0640.710-0650.030 | Long Khánh
P=0705 | X=0115.730-0385.170 | Y=0656.830-0668.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0705 | X=0115.730-0386.860 | Y=0668.350-0679.590 | Quyền đoạn từ Đường Duy Tân đến Giáp ranh phường Long
P=0705 | X=0097.010-0354.260 | Y=0679.110-0691.110 | 58 Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0400.460-0425.500 | Y=0679.110-0688.430 | 1.700
P=0705 | X=0437.210-0462.260 | Y=0679.110-0688.430 | 1.200
P=0705 | X=0497.230-0522.280 | Y=0679.110-0688.430 | 1.000
P=0705 | X=0115.730-0338.640 | Y=0697.390-0708.630 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0706 | X=0115.730-0392.920 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0706 | X=0115.730-0385.170 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0706 | X=0115.730-0386.860 | Y=0108.260-0119.500 | Quyền đoạn từ Đường Duy Tân đến Giáp ranh phường Long
P=0706 | X=0115.730-0354.260 | Y=0119.810-0131.050 | Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0706 | X=0097.010-0338.900 | Y=0137.330-0151.410 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0706 | X=0400.460-0425.510 | Y=0142.090-0151.410 | 1.400
P=0706 | X=0445.370-0462.010 | Y=0142.090-0151.410 | 980
P=0706 | X=0505.390-0522.030 | Y=0142.090-0151.410 | 840
P=0706 | X=0115.730-0369.040 | Y=0154.850-0166.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0706 | X=0115.730-0202.300 | Y=0166.370-0177.610 | >400m đến ≤600m.
P=0706 | X=0115.730-0338.900 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0706 | X=0115.730-0385.170 | Y=0201.670-0212.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0706 | X=0115.730-0386.860 | Y=0213.190-0224.430 | Quyền đoạn từ Đường Duy Tân đến Giáp ranh phường Long
P=0706 | X=0115.730-0354.260 | Y=0224.710-0235.950 | Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0706 | X=0097.010-0108.130 | Y=0232.590-0241.910 | 60
P=0706 | X=0408.620-0425.260 | Y=0232.590-0241.910 | 980
P=0706 | X=0445.370-0462.010 | Y=0232.590-0241.910 | 690
P=0706 | X=0505.390-0522.030 | Y=0232.590-0241.910 | 590
P=0706 | X=0115.730-0393.160 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0706 | X=0115.730-0339.370 | Y=0259.750-0270.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0706 | X=0115.730-0389.240 | Y=0277.750-0288.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0706 | X=0115.730-0390.690 | Y=0289.300-0300.540 | ra Đường Ngô Quyền đoạn từ Đường Duy Tân đến Giáp ranh
P=0706 | X=0115.730-0387.080 | Y=0300.820-0312.060 | phường Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0706 | X=0097.010-0143.730 | Y=0312.340-0323.780 | 61 măng:
P=0706 | X=0400.460-0425.510 | Y=0314.460-0323.780 | 1.500
P=0706 | X=0437.210-0462.260 | Y=0314.460-0323.780 | 1.100
P=0706 | X=0505.390-0522.030 | Y=0314.460-0323.780 | 900
P=0706 | X=0115.730-0338.640 | Y=0329.860-0341.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0706 | X=0115.730-0392.920 | Y=0347.380-0358.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0706 | X=0115.730-0389.240 | Y=0365.400-0376.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0706 | X=0115.730-0390.690 | Y=0376.920-0388.160 | ra Đường Ngô Quyền đoạn từ Đường Duy Tân đến Giáp ranh
P=0706 | X=0115.730-0387.080 | Y=0388.200-0399.440 | phường Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0706 | X=0115.730-0143.730 | Y=0399.720-0410.960 | măng:
P=0706 | X=0097.010-0338.900 | Y=0416.480-0428.480 | 62 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0706 | X=0400.460-0425.510 | Y=0416.480-0425.800 | 1.300
P=0706 | X=0445.370-0462.010 | Y=0416.480-0425.800 | 910
P=0706 | X=0505.390-0522.030 | Y=0416.480-0425.800 | 780
P=0706 | X=0115.730-0369.040 | Y=0434.760-0446.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0706 | X=0115.730-0202.300 | Y=0446.280-0457.520 | >400m đến ≤600m.
P=0706 | X=0115.730-0338.900 | Y=0463.820-0475.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0706 | X=0115.730-0389.240 | Y=0481.820-0493.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0706 | X=0115.730-0390.690 | Y=0493.340-0504.580 | ra Đường Ngô Quyền đoạn từ Đường Duy Tân đến Giáp ranh
P=0706 | X=0115.730-0387.080 | Y=0504.860-0516.100 | phường Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0706 | X=0097.010-0143.730 | Y=0516.380-0527.820 | 63 măng:
P=0706 | X=0408.620-0425.260 | Y=0518.500-0527.820 | 880
P=0706 | X=0445.370-0462.010 | Y=0518.500-0527.820 | 620
P=0706 | X=0505.390-0522.030 | Y=0518.500-0527.820 | 530
P=0706 | X=0115.730-0393.160 | Y=0533.930-0545.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0706 | X=0115.730-0342.050 | Y=0551.450-0562.690 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0706 | X=0115.730-0197.110 | Y=0569.450-0580.690 | Đường Bảo Vinh -
P=0706 | X=0301.320-0392.540 | Y=0569.450-0580.690 | Đường Bảo Quang -
P=0706 | X=0208.390-0293.710 | Y=0575.210-0586.450 | Đường Ngô Quyền
P=0706 | X=0097.010-0108.130 | Y=0577.090-0586.410 | 64
P=0706 | X=0400.460-0425.510 | Y=0577.090-0586.410 | 1.700
P=0706 | X=0437.210-0462.260 | Y=0577.090-0586.410 | 1.200
P=0706 | X=0497.230-0522.280 | Y=0577.090-0586.410 | 1.000
P=0706 | X=0115.730-0166.460 | Y=0582.850-0592.170 | Bảo Quang
P=0706 | X=0301.320-0336.910 | Y=0582.850-0592.170 | Bàu Cối
P=0706 | X=0115.730-0384.710 | Y=0598.970-0610.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bảo
P=0706 | X=0115.730-0374.390 | Y=0610.250-0621.490 | Vinh - Bảo Quang đoạn từ Đường Ngô Quyền đến Đường
P=0706 | X=0115.730-0389.950 | Y=0621.790-0633.030 | Bảo Quang - Bàu Cối có hiện trạng là đường nhựa, bê tông xi
P=0706 | X=0097.010-0143.730 | Y=0633.310-0644.750 | 65 măng:
P=0706 | X=0408.620-0425.260 | Y=0635.430-0644.750 | 870
P=0706 | X=0445.370-0462.010 | Y=0635.430-0644.750 | 610
P=0706 | X=0505.390-0522.030 | Y=0635.430-0644.750 | 520
P=0706 | X=0115.730-0338.640 | Y=0650.830-0662.070 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0706 | X=0115.730-0392.920 | Y=0668.350-0679.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0706 | X=0115.730-0384.710 | Y=0686.350-0697.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bảo
P=0706 | X=0097.010-0108.130 | Y=0693.990-0703.310 | 66
P=0706 | X=0408.620-0425.260 | Y=0693.990-0703.310 | 730
P=0706 | X=0445.370-0462.010 | Y=0693.990-0703.310 | 510
P=0706 | X=0505.390-0522.030 | Y=0693.990-0703.310 | 440
P=0706 | X=0115.730-0374.390 | Y=0697.870-0709.110 | Vinh - Bảo Quang đoạn từ Đường Ngô Quyền đến Đường
P=0707 | X=0115.730-0389.950 | Y=0072.740-0083.980 | Bảo Quang - Bàu Cối có hiện trạng là đường nhựa, bê tông xi
P=0707 | X=0115.730-0143.730 | Y=0084.260-0095.500 | măng:
P=0707 | X=0115.730-0338.900 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0707 | X=0115.730-0369.040 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0707 | X=0115.730-0202.300 | Y=0130.850-0142.090 | >400m đến ≤600m.
P=0707 | X=0115.730-0338.900 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0707 | X=0115.730-0384.710 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bảo
P=0707 | X=0115.730-0374.390 | Y=0177.650-0188.890 | Vinh - Bảo Quang đoạn từ Đường Ngô Quyền đến Đường
P=0707 | X=0115.730-0389.950 | Y=0189.170-0200.410 | Bảo Quang - Bàu Cối có hiện trạng là đường nhựa, bê tông xi
P=0707 | X=0097.010-0143.730 | Y=0200.710-0212.150 | 67 măng:
P=0707 | X=0408.620-0425.260 | Y=0202.830-0212.150 | 580
P=0707 | X=0445.370-0462.010 | Y=0202.830-0212.150 | 410
P=0707 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 350
P=0707 | X=0115.730-0393.160 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0707 | X=0115.730-0339.370 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0707 | X=0115.730-0389.240 | Y=0253.750-0264.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0707 | X=0115.730-0387.110 | Y=0265.270-0276.510 | ra Đường Bảo Vinh - Bảo Quang đoạn từ Đường Ngô Quyền
P=0707 | X=0115.730-0368.620 | Y=0276.790-0288.030 | đến Đường Bảo Quang - Bàu Cối có hiện trạng là đường
P=0707 | X=0097.010-0218.840 | Y=0288.340-0299.780 | 68 nhựa, bê tông xi măng:
P=0707 | X=0408.620-0425.260 | Y=0290.460-0299.780 | 780
P=0707 | X=0445.370-0462.010 | Y=0290.460-0299.780 | 550
P=0707 | X=0505.390-0522.030 | Y=0290.460-0299.780 | 470
P=0707 | X=0115.730-0338.640 | Y=0305.860-0317.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0707 | X=0115.730-0392.920 | Y=0323.380-0334.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0707 | X=0115.730-0389.240 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0707 | X=0115.730-0387.110 | Y=0352.900-0364.140 | ra Đường Bảo Vinh - Bảo Quang đoạn từ Đường Ngô Quyền
P=0707 | X=0115.730-0368.620 | Y=0364.180-0375.420 | đến Đường Bảo Quang - Bàu Cối có hiện trạng là đường
P=0707 | X=0115.730-0218.840 | Y=0375.720-0386.960 | nhựa, bê tông xi măng:
P=0707 | X=0097.010-0338.900 | Y=0392.480-0404.480 | 69 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0707 | X=0408.620-0425.260 | Y=0392.480-0401.800 | 660
P=0707 | X=0445.370-0462.010 | Y=0392.480-0401.800 | 460
P=0707 | X=0505.390-0522.030 | Y=0392.480-0401.800 | 400
P=0707 | X=0115.730-0369.040 | Y=0410.760-0422.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0707 | X=0115.730-0202.300 | Y=0422.280-0433.520 | >400m đến ≤600m.
P=0707 | X=0115.730-0338.900 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0707 | X=0115.730-0389.240 | Y=0457.820-0469.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0707 | X=0115.730-0387.110 | Y=0469.340-0480.580 | ra Đường Bảo Vinh - Bảo Quang đoạn từ Đường Ngô Quyền
P=0707 | X=0115.730-0368.620 | Y=0480.860-0492.100 | đến Đường Bảo Quang - Bàu Cối có hiện trạng là đường
P=0707 | X=0097.010-0218.840 | Y=0492.380-0503.820 | 70 nhựa, bê tông xi măng:
P=0707 | X=0408.620-0425.260 | Y=0494.500-0503.820 | 520
P=0707 | X=0445.370-0462.010 | Y=0494.500-0503.820 | 360
P=0707 | X=0505.390-0522.030 | Y=0494.500-0503.820 | 310
P=0707 | X=0115.730-0393.180 | Y=0509.900-0521.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0707 | X=0115.730-0342.050 | Y=0527.420-0538.660 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0707 | X=0115.730-0200.770 | Y=0545.450-0556.690 | Đường Thành Thái
P=0707 | X=0097.010-0380.100 | Y=0556.970-0568.210 | 71 (Bảo Vinh B - Ruộng Đường Ngô Quyền Đường Hàm Nghi
P=0707 | X=0400.460-0425.510 | Y=0558.850-0568.170 | 1.700
P=0707 | X=0437.210-0462.260 | Y=0558.850-0568.170 | 1.200
P=0707 | X=0497.230-0522.280 | Y=0558.850-0568.170 | 1.000
P=0707 | X=0115.730-0135.410 | Y=0570.130-0579.450 | Hời)
P=0707 | X=0115.730-0364.050 | Y=0586.250-0597.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0707 | X=0115.730-0375.820 | Y=0597.770-0609.010 | Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô
P=0707 | X=0115.730-0393.100 | Y=0609.290-0620.530 | Quyền đến Đường Hàm Nghi có hiện trạng là đường nhựa, bê
P=0707 | X=0097.010-0175.890 | Y=0620.830-0632.270 | 72 tông xi măng:
P=0707 | X=0400.460-0425.510 | Y=0622.950-0632.270 | 1.000
P=0707 | X=0445.370-0462.010 | Y=0622.950-0632.270 | 700
P=0707 | X=0505.390-0522.030 | Y=0622.950-0632.270 | 600
P=0707 | X=0115.730-0338.640 | Y=0638.350-0649.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0707 | X=0115.730-0392.920 | Y=0655.870-0667.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0707 | X=0115.730-0364.050 | Y=0673.870-0685.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0707 | X=0115.730-0375.820 | Y=0685.390-0696.630 | Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô
P=0707 | X=0097.010-0108.130 | Y=0693.030-0702.350 | 73
P=0707 | X=0408.620-0425.260 | Y=0693.030-0702.350 | 750
P=0707 | X=0445.370-0462.010 | Y=0693.030-0702.350 | 530
P=0707 | X=0505.390-0522.030 | Y=0693.030-0702.350 | 450
P=0707 | X=0115.730-0393.100 | Y=0696.910-0708.150 | Quyền đến Đường Hàm Nghi có hiện trạng là đường nhựa, bê
P=0707 | X=0115.730-0175.890 | Y=0708.450-0719.690 | tông xi măng:
P=0708 | X=0115.730-0338.900 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0708 | X=0115.730-0369.040 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0708 | X=0115.730-0202.300 | Y=0107.780-0119.020 | >400m đến ≤600m.
P=0708 | X=0115.730-0338.900 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0708 | X=0115.730-0364.050 | Y=0143.330-0154.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0708 | X=0115.730-0375.820 | Y=0154.850-0166.090 | Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô
P=0708 | X=0115.730-0393.100 | Y=0166.370-0177.610 | Quyền đến Đường Hàm Nghi có hiện trạng là đường nhựa, bê
P=0708 | X=0097.010-0175.890 | Y=0177.650-0189.330 | 74 tông xi măng:
P=0708 | X=0408.620-0425.260 | Y=0180.010-0189.330 | 620
P=0708 | X=0445.370-0462.010 | Y=0180.010-0189.330 | 430
P=0708 | X=0505.390-0522.030 | Y=0180.010-0189.330 | 370
P=0708 | X=0115.730-0393.160 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0708 | X=0115.730-0339.370 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0708 | X=0115.730-0389.240 | Y=0230.710-0241.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0708 | X=0115.730-0366.410 | Y=0242.230-0253.470 | ra Đường Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ
P=0708 | X=0115.730-0373.150 | Y=0253.750-0264.990 | Đường Ngô Quyền đến Đường Hàm Nghi có hiện trạng là
P=0708 | X=0097.010-0251.500 | Y=0265.270-0276.710 | 75 đường nhựa, bê tông xi măng:
P=0708 | X=0408.620-0425.260 | Y=0267.390-0276.710 | 900
P=0708 | X=0445.370-0462.010 | Y=0267.390-0276.710 | 630
P=0708 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 540
P=0708 | X=0115.730-0338.640 | Y=0282.820-0294.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0708 | X=0115.730-0392.920 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0708 | X=0115.730-0389.240 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0708 | X=0115.730-0366.410 | Y=0329.860-0341.100 | ra Đường Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ
P=0708 | X=0115.730-0373.150 | Y=0341.380-0352.620 | Đường Ngô Quyền đến Đường Hàm Nghi có hiện trạng là
P=0708 | X=0115.730-0251.500 | Y=0352.900-0364.140 | đường nhựa, bê tông xi măng:
P=0708 | X=0097.010-0338.900 | Y=0369.440-0381.440 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0708 | X=0408.620-0425.260 | Y=0369.440-0378.760 | 680
P=0708 | X=0445.370-0462.010 | Y=0369.440-0378.760 | 480
P=0708 | X=0505.390-0522.030 | Y=0369.440-0378.760 | 410
P=0708 | X=0115.730-0369.040 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0708 | X=0115.730-0202.300 | Y=0399.240-0410.480 | >400m đến ≤600m.
P=0708 | X=0115.730-0338.920 | Y=0416.760-0428.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0708 | X=0115.730-0389.240 | Y=0434.760-0446.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0708 | X=0115.730-0366.410 | Y=0446.280-0457.520 | ra Đường Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ
P=0708 | X=0115.730-0373.150 | Y=0457.820-0469.060 | Đường Ngô Quyền đến Đường Hàm Nghi có hiện trạng là
P=0708 | X=0097.010-0251.500 | Y=0469.340-0480.780 | 77 đường nhựa, bê tông xi măng:
P=0708 | X=0408.620-0425.260 | Y=0471.460-0480.780 | 560
P=0708 | X=0445.370-0462.010 | Y=0471.460-0480.780 | 390
P=0708 | X=0505.390-0522.030 | Y=0471.460-0480.780 | 340
P=0708 | X=0115.730-0393.190 | Y=0486.860-0498.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0708 | X=0115.730-0342.050 | Y=0504.380-0515.620 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0708 | X=0115.730-0190.960 | Y=0522.380-0533.620 | Đường vào miếu
P=0708 | X=0208.390-0386.360 | Y=0528.140-0539.380 | Đường Ngô Quyền Đường Thành Thái
P=0708 | X=0097.010-0108.130 | Y=0530.020-0539.340 | 78
P=0708 | X=0400.460-0425.510 | Y=0530.020-0539.340 | 1.700
P=0708 | X=0437.210-0462.260 | Y=0530.020-0539.340 | 1.200
P=0708 | X=0497.230-0522.280 | Y=0530.020-0539.340 | 1.000
P=0708 | X=0115.730-0147.970 | Y=0535.810-0545.130 | ông Hổ
P=0708 | X=0115.730-0383.250 | Y=0551.930-0563.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0708 | X=0115.730-0384.700 | Y=0563.450-0574.690 | miếu Ông Hổ đoạn từ Đường Ngô Quyền đến Đường Thành
P=0708 | X=0115.730-0344.890 | Y=0574.970-0586.210 | Thái có hiện trạng là đường nhựa, bê tông xi măng:
P=0708 | X=0097.010-0108.130 | Y=0582.850-0592.170 | 79
P=0708 | X=0400.460-0425.510 | Y=0582.850-0592.170 | 1.000
P=0708 | X=0445.370-0462.010 | Y=0582.850-0592.170 | 700
P=0708 | X=0505.390-0522.030 | Y=0582.850-0592.170 | 600
P=0708 | X=0115.730-0338.640 | Y=0592.250-0603.490 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0708 | X=0115.730-0392.920 | Y=0609.770-0621.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0708 | X=0115.730-0383.250 | Y=0627.790-0639.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0708 | X=0115.730-0384.700 | Y=0639.310-0650.550 | miếu Ông Hổ đoạn từ Đường Ngô Quyền đến Đường Thành
P=0708 | X=0115.730-0344.890 | Y=0650.830-0662.070 | Thái có hiện trạng là đường nhựa, bê tông xi măng:
P=0708 | X=0097.010-0108.130 | Y=0664.470-0673.790 | 80
P=0708 | X=0408.620-0425.260 | Y=0664.470-0673.790 | 750
P=0708 | X=0445.370-0462.010 | Y=0664.470-0673.790 | 530
P=0708 | X=0505.390-0522.030 | Y=0664.470-0673.790 | 450
P=0708 | X=0115.730-0338.900 | Y=0668.350-0679.590 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0708 | X=0115.730-0369.040 | Y=0685.870-0697.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0708 | X=0115.730-0202.300 | Y=0697.390-0708.630 | >400m đến ≤600m.
P=0709 | X=0115.730-0338.920 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0709 | X=0115.730-0383.250 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0709 | X=0115.730-0384.700 | Y=0108.260-0119.500 | miếu Ông Hổ (loạn từ Đường Ngô Quyền đến Đường Thành
P=0709 | X=0115.730-0344.890 | Y=0119.810-0131.050 | Thái có hiện trạng là đường nhựa, bê tông xi măng:
P=0709 | X=0097.010-0108.130 | Y=0127.690-0137.010 | 81
P=0709 | X=0408.620-0425.260 | Y=0127.690-0137.010 | 620
P=0709 | X=0445.370-0462.010 | Y=0127.690-0137.010 | 430
P=0709 | X=0505.390-0522.030 | Y=0127.690-0137.010 | 370
P=0709 | X=0115.730-0393.160 | Y=0137.330-0148.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0709 | X=0115.730-0339.370 | Y=0154.850-0166.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0709 | X=0115.730-0389.240 | Y=0172.850-0184.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0709 | X=0115.730-0384.230 | Y=0184.370-0195.610 | ra Đường vào miếu Ông Hổ đoạn từ Đường Ngô Quyền đến
P=0709 | X=0115.730-0379.630 | Y=0195.650-0206.890 | Đường Thành Thái có hiện trọng là đường nhựa, bê tông xi
P=0709 | X=0097.010-0143.730 | Y=0207.190-0218.630 | 82 măng:
P=0709 | X=0408.620-0425.260 | Y=0209.310-0218.630 | 900
P=0709 | X=0445.370-0462.010 | Y=0209.310-0218.630 | 630
P=0709 | X=0505.390-0522.030 | Y=0209.310-0218.630 | 540
P=0709 | X=0115.730-0338.660 | Y=0224.710-0235.950 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0709 | X=0115.730-0392.920 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0709 | X=0115.730-0389.240 | Y=0260.230-0271.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0709 | X=0115.730-0384.230 | Y=0271.750-0282.990 | ra Đường vào miếu Ông Hổ đoạn từ Đường Ngô Quyền đến
P=0709 | X=0115.730-0379.630 | Y=0283.300-0294.540 | Đường Thành Thái có hiện trạng là đường nhựa, bê tông xi
P=0709 | X=0115.730-0143.730 | Y=0294.820-0306.060 | măng:
P=0709 | X=0097.010-0338.900 | Y=0311.340-0323.580 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0709 | X=0408.620-0425.260 | Y=0311.340-0320.660 | 680
P=0709 | X=0445.370-0462.010 | Y=0311.340-0320.660 | 480
P=0709 | X=0505.390-0522.030 | Y=0311.340-0320.660 | 410
P=0709 | X=0115.730-0369.040 | Y=0329.860-0341.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0709 | X=0115.730-0202.300 | Y=0341.380-0352.620 | >400m đến ≤600m.
P=0709 | X=0115.730-0338.900 | Y=0358.900-0370.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0709 | X=0115.730-0389.240 | Y=0376.920-0388.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0709 | X=0115.730-0384.230 | Y=0388.200-0399.440 | ra Đường vào miếu Ông Hổ đoạn từ Đường Ngô Quyền đến
P=0709 | X=0115.730-0379.630 | Y=0399.720-0410.960 | Đường Thành Thái có hiện trạng là đường nhựa, bê tông xi
P=0709 | X=0097.010-0143.730 | Y=0411.240-0422.680 | 84 măng:
P=0709 | X=0408.620-0425.260 | Y=0413.360-0422.680 | 560
