TABLE=041 | AREA=Xã Gia Kiệm | SECTION=non-agricultural | SEGMENTS=1
P=1425 | X=0110.930-0369.320 | Y=0584.570-0595.810 | 762 (Trị An - Sóc Lu) đoạn từ Ngã ba trước Xí nghiệp khai
P=1425 | X=0110.930-0382.300 | Y=0596.090-0607.330 | thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có hiện trạng
P=1425 | X=0110.930-0257.270 | Y=0607.610-0618.850 | là đường nhựa, bê tông xi măng:
P=1425 | X=0094.820-0105.940 | Y=0615.490-0624.810 | 53
P=1425 | X=0415.580-0432.220 | Y=0615.490-0624.810 | 530
P=1425 | X=0462.650-0479.290 | Y=0615.490-0624.810 | 370
P=1425 | X=0505.390-0522.030 | Y=0615.490-0624.810 | 320
P=1425 | X=0110.930-0352.040 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1425 | X=0110.930-0153.070 | Y=0638.550-0647.870 | >1.000m.
P=1425 | X=0110.930-0334.570 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1425 | X=0110.930-0384.440 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1425 | X=0110.930-0380.450 | Y=0683.470-0694.710 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Ngã ba trước Xí
P=1425 | X=0094.820-0105.940 | Y=0691.110-0700.430 | 54
P=1425 | X=0415.580-0432.220 | Y=0691.110-0700.430 | 830
P=1425 | X=0462.650-0479.290 | Y=0691.110-0700.430 | 580
P=1425 | X=0505.390-0522.030 | Y=0691.110-0700.430 | 500
P=1425 | X=0110.930-0388.990 | Y=0694.750-0705.990 | nghiệp khai thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có
P=1425 | X=0110.930-0304.540 | Y=0706.290-0717.530 | hiện trạng là đường nhựa, bê tông xi măng:
P=1426 | X=0110.930-0342.010 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1426 | X=0110.930-0388.120 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1426 | X=0110.930-0384.440 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1426 | X=0110.930-0380.450 | Y=0125.330-0136.570 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Ngã ba trước Xí
P=1426 | X=0110.930-0388.990 | Y=0136.850-0148.090 | nghiệp khai thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có
P=1426 | X=0110.930-0304.540 | Y=0148.370-0159.610 | hiện trạng là đường nhựa, bê tông xi măng:
P=1426 | X=0094.820-0342.480 | Y=0164.890-0176.890 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1426 | X=0415.580-0432.220 | Y=0164.890-0174.210 | 660
P=1426 | X=0462.650-0479.290 | Y=0164.890-0174.210 | 460
P=1426 | X=0505.390-0522.030 | Y=0164.890-0174.210 | 400
P=1426 | X=0110.930-0364.240 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1426 | X=0110.930-0205.880 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=1426 | X=0110.930-0334.100 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1426 | X=0110.930-0384.440 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1426 | X=0110.930-0380.450 | Y=0241.510-0252.750 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Ngã ba trước Xí
P=1426 | X=0110.930-0388.990 | Y=0253.030-0264.270 | nghiệp khai thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có
P=1426 | X=0110.930-0304.540 | Y=0264.550-0275.790 | hiện trạng là đường nhựa, bê tông xi măng:
P=1426 | X=0094.820-0105.940 | Y=0272.430-0281.750 | 56
P=1426 | X=0415.580-0432.220 | Y=0272.430-0281.750 | 480
P=1426 | X=0462.650-0479.290 | Y=0272.430-0281.750 | 340
P=1426 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 290
P=1426 | X=0110.930-0352.040 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1426 | X=0110.930-0153.070 | Y=0295.500-0304.820 | >1.000m.
P=1426 | X=0110.930-0334.570 | Y=0311.140-0322.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1426 | X=0110.930-0377.950 | Y=0328.900-0340.140 | Đường tỉnh 762 (Trị An Đường Võ Dõng 3 Giáp ranh xã Bàu
P=1426 | X=0094.820-0105.940 | Y=0336.540-0345.860 | 57
P=1426 | X=0407.420-0432.470 | Y=0336.540-0345.860 | 1.800
P=1426 | X=0454.490-0479.540 | Y=0336.540-0345.860 | 1.300
P=1426 | X=0497.230-0522.280 | Y=0336.540-0345.860 | 1.100
P=1426 | X=0110.930-0151.720 | Y=0342.300-0351.620 | - Sóc Lu)
P=1426 | X=0215.110-0252.630 | Y=0342.300-0351.620 | - Sóc Lu
P=1426 | X=0299.880-0321.000 | Y=0342.300-0351.620 | Hàm
P=1426 | X=0110.930-0378.470 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1426 | X=0110.930-0384.950 | Y=0369.480-0380.720 | 762 (Trị An - Sóc Lu) đoạn từ Đường Võ Dõng 3 - Sóc Lu đến
P=1426 | X=0110.930-0381.790 | Y=0381.000-0392.240 | Giáp ranh xã Bàu Hàm có hiện trạng là đường nhựa, bê tông
P=1426 | X=0094.820-0148.760 | Y=0392.520-0403.960 | 58 xi măng:
P=1426 | X=0415.580-0432.220 | Y=0394.640-0403.960 | 920
P=1426 | X=0462.650-0479.290 | Y=0394.640-0403.960 | 640
P=1426 | X=0505.390-0522.030 | Y=0394.640-0403.960 | 550
P=1426 | X=0110.930-0342.010 | Y=0410.040-0421.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1426 | X=0110.930-0388.120 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1426 | X=0110.930-0378.470 | Y=0445.320-0456.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1426 | X=0110.930-0384.950 | Y=0456.860-0468.100 | 762 (Trị An - Sóc Lu) đoạn từ Đường Võ Dõng 3 - Sóc Lu đến
P=1426 | X=0110.930-0381.790 | Y=0468.380-0479.620 | Giáp ranh xã Bàu Hàm có hiện trạng là đường nhựa, bê tông
P=1426 | X=0110.930-0148.760 | Y=0479.900-0491.140 | xi măng:
P=1426 | X=0094.820-0342.480 | Y=0496.420-0508.660 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1426 | X=0415.580-0432.220 | Y=0496.420-0505.740 | 730
P=1426 | X=0462.650-0479.290 | Y=0496.420-0505.740 | 510
P=1426 | X=0505.390-0522.030 | Y=0496.420-0505.740 | 440
P=1426 | X=0110.930-0364.240 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1426 | X=0110.930-0205.880 | Y=0526.220-0537.460 | >500m đến ≤1.000m.
P=1426 | X=0110.930-0334.100 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1426 | X=0110.930-0378.470 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1426 | X=0110.930-0384.950 | Y=0573.050-0584.290 | 762 (Trị An - Sóc Lu) đoạn từ Đường Võ Dõng 3 - Sóc Lu đến
P=1426 | X=0110.930-0381.790 | Y=0584.570-0595.810 | Giáp ranh xã Bàu Hàm có hiện trạng là đường nhựa, bê tông
P=1426 | X=0110.930-0148.760 | Y=0596.090-0607.330 | xi măng:
P=1426 | X=0094.820-0105.940 | Y=0603.970-0613.290 | 60
P=1426 | X=0415.580-0432.250 | Y=0603.970-0613.290 | 530
P=1426 | X=0462.650-0479.290 | Y=0603.970-0613.290 | 370
P=1426 | X=0505.390-0522.030 | Y=0603.970-0613.290 | 320
P=1426 | X=0110.930-0352.040 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1426 | X=0110.930-0153.070 | Y=0627.030-0636.350 | >1.000m.
P=1426 | X=0110.930-0334.570 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1426 | X=0110.930-0384.440 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1426 | X=0110.930-0382.040 | Y=0671.950-0683.190 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Đường Võ Dõng
P=1426 | X=0094.820-0105.940 | Y=0679.590-0688.910 | 61
P=1426 | X=0415.580-0432.220 | Y=0679.590-0688.910 | 830
P=1426 | X=0462.650-0479.290 | Y=0679.590-0688.910 | 580
P=1426 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 500
P=1426 | X=0110.930-0384.460 | Y=0683.470-0694.710 | 3 - Sóc Lu đến Giáp ranh xã Bàu Hàm có hiện trạng là đường
P=1426 | X=0110.930-0214.040 | Y=0694.750-0705.990 | nhựa, bê tông xi măng:
P=1427 | X=0110.930-0342.040 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1427 | X=0110.930-0388.120 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1427 | X=0110.930-0384.440 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1427 | X=0110.930-0382.040 | Y=0125.330-0136.570 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Đường Võ Dõng
P=1427 | X=0110.930-0384.460 | Y=0136.850-0148.090 | 3 - Sóc Lu đến Giáp ranh xã Bàu Hàm có hiện trạng là đường
P=1427 | X=0110.930-0214.040 | Y=0148.370-0159.610 | nhựa, bê tông xi măng:
P=1427 | X=0094.820-0342.480 | Y=0164.890-0176.890 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1427 | X=0415.580-0432.220 | Y=0164.890-0174.210 | 660
P=1427 | X=0462.650-0479.290 | Y=0164.890-0174.210 | 460
P=1427 | X=0505.390-0522.030 | Y=0164.890-0174.210 | 400
P=1427 | X=0110.930-0364.240 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1427 | X=0110.930-0205.880 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=1427 | X=0110.930-0334.100 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1427 | X=0110.930-0384.440 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1427 | X=0110.930-0382.040 | Y=0241.510-0252.750 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Đường Võ Dõng
P=1427 | X=0110.930-0384.460 | Y=0253.030-0264.270 | 3 - Sóc Lu đến Giáp ranh xã Bàu Hàm có hiện trạng là đường
P=1427 | X=0110.930-0214.040 | Y=0264.550-0275.790 | nhựa, bê tông xi măng:
P=1427 | X=0094.820-0105.940 | Y=0272.430-0281.750 | 63
P=1427 | X=0415.580-0432.220 | Y=0272.430-0281.750 | 480
P=1427 | X=0462.650-0479.290 | Y=0272.430-0281.750 | 340
P=1427 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 290
P=1427 | X=0110.930-0352.040 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1427 | X=0110.930-0153.070 | Y=0295.500-0304.820 | >1.000m.
P=1427 | X=0110.930-0334.600 | Y=0311.140-0322.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1427 | X=0110.930-0209.420 | Y=0328.900-0340.140 | Đường Đống Đa - Gia
P=1427 | X=0299.880-0387.980 | Y=0328.900-0340.140 | Đường Võ Dõng 3 -
P=1427 | X=0094.820-0105.940 | Y=0336.540-0345.860 | 64
P=1427 | X=0215.110-0263.700 | Y=0336.540-0345.860 | Quốc lộ 20
P=1427 | X=0407.420-0432.470 | Y=0336.540-0345.860 | 3.100
P=1427 | X=0454.490-0479.540 | Y=0336.540-0345.860 | 2.200
P=1427 | X=0497.230-0522.280 | Y=0336.540-0345.860 | 1.900
P=1427 | X=0110.930-0133.730 | Y=0342.300-0351.620 | Kiệm
P=1427 | X=0299.880-0331.160 | Y=0342.300-0351.620 | Sóc Lu
P=1427 | X=0110.930-0385.910 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đống
P=1427 | X=0110.930-0372.380 | Y=0369.480-0380.720 | Đa - Gia Kiệm đoạn từ Quốc lộ 20 đến Đường Võ Dõng 3 -
P=1427 | X=0110.930-0351.850 | Y=0381.000-0392.240 | Sóc Lu có hiện trạng là đường nhựa, bê tông xi măng:
P=1427 | X=0094.820-0105.940 | Y=0388.880-0398.200 | 65
P=1427 | X=0407.420-0432.470 | Y=0388.880-0398.200 | 1.700
P=1427 | X=0454.490-0479.540 | Y=0388.880-0398.200 | 1.200
P=1427 | X=0497.230-0522.280 | Y=0388.880-0398.200 | 1.000
P=1427 | X=0110.930-0342.010 | Y=0398.520-0409.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1427 | X=0110.930-0388.120 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1427 | X=0110.930-0385.910 | Y=0433.800-0445.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đống
P=1427 | X=0110.930-0372.380 | Y=0445.320-0456.560 | Đa - Gia Kiệm đoạn từ Quốc lộ 20 đến Đường Võ Dõng 3 -
P=1427 | X=0110.930-0351.840 | Y=0456.860-0468.100 | Sóc Lu có hiện trạng là đường nhựa, bê tông xi măng:
P=1427 | X=0094.820-0342.480 | Y=0474.380-0488.460 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1427 | X=0407.420-0432.470 | Y=0479.140-0488.460 | 1.300
P=1427 | X=0462.650-0479.290 | Y=0479.140-0488.460 | 910
P=1427 | X=0505.390-0522.030 | Y=0479.140-0488.460 | 780
P=1427 | X=0110.930-0364.240 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1427 | X=0110.930-0205.880 | Y=0503.420-0514.660 | >500m đến ≤1.000m.
P=1427 | X=0110.930-0334.100 | Y=0520.940-0532.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1427 | X=0110.930-0385.910 | Y=0538.490-0549.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đống
P=1427 | X=0110.930-0372.380 | Y=0550.010-0561.250 | Đa - Gia Kiệm đoạn từ Quốc lộ 20 đến Đường Võ Dõng 3 -
P=1427 | X=0110.930-0351.840 | Y=0561.530-0572.770 | Sóc Lu có hiện trạng là đường nhựa, bê tông xi măng:
P=1427 | X=0094.820-0105.940 | Y=0575.170-0584.490 | 67
P=1427 | X=0415.580-0432.220 | Y=0575.170-0584.490 | 700
P=1427 | X=0462.650-0479.290 | Y=0575.170-0584.490 | 490
P=1427 | X=0505.390-0522.030 | Y=0575.170-0584.490 | 420
P=1427 | X=0110.930-0352.040 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1427 | X=0110.930-0153.070 | Y=0592.450-0601.770 | >1.000m.
P=1427 | X=0110.930-0334.590 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1427 | X=0110.930-0384.440 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1427 | X=0110.930-0389.020 | Y=0637.390-0648.630 | ra Đường Đống Đa - Gia Kiệm đoạn từ Quốc lộ 20 đến Đường
P=1427 | X=0110.930-0377.230 | Y=0648.910-0660.150 | Võ Dõng 3 - Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1427 | X=0094.820-0138.930 | Y=0660.430-0671.870 | 68 măng:
P=1427 | X=0407.420-0432.470 | Y=0662.550-0671.870 | 1.500
P=1427 | X=0454.490-0479.540 | Y=0662.550-0671.870 | 1.100
P=1427 | X=0505.390-0522.030 | Y=0662.550-0671.870 | 900
P=1427 | X=0110.930-0342.010 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1427 | X=0110.930-0388.120 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1428 | X=0110.930-0384.440 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1428 | X=0110.930-0389.020 | Y=0090.020-0101.260 | ra Đường Đống Đa - Gia Kiệm đoạn từ Quốc lộ 20 đến Đường
P=1428 | X=0110.930-0377.230 | Y=0101.540-0112.780 | Võ Dõng 3 - Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1428 | X=0110.930-0138.930 | Y=0113.060-0124.300 | măng:
P=1428 | X=0094.820-0342.480 | Y=0129.610-0141.850 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1428 | X=0407.420-0432.470 | Y=0129.610-0138.930 | 1.200
P=1428 | X=0462.650-0479.290 | Y=0129.610-0138.930 | 840
P=1428 | X=0505.390-0522.030 | Y=0129.610-0138.930 | 720
P=1428 | X=0110.930-0364.240 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1428 | X=0110.930-0205.880 | Y=0159.410-0170.650 | >500m đến ≤1.000m.
P=1428 | X=0110.930-0334.100 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1428 | X=0110.930-0384.440 | Y=0194.690-0205.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1428 | X=0110.930-0389.020 | Y=0206.230-0217.470 | ra Đường Đống Đa - Gia Kiệm đoạn từ Quốc lộ 20 đến Đường
P=1428 | X=0110.930-0377.230 | Y=0217.750-0228.990 | Võ Dõng 3 - Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1428 | X=0110.930-0138.930 | Y=0229.270-0240.510 | măng:
P=1428 | X=0094.820-0105.940 | Y=0237.150-0246.470 | 70
P=1428 | X=0415.580-0432.220 | Y=0237.150-0246.470 | 630
P=1428 | X=0462.650-0479.290 | Y=0237.150-0246.470 | 440
P=1428 | X=0505.390-0522.030 | Y=0237.150-0246.470 | 380
P=1428 | X=0110.930-0352.040 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1428 | X=0110.930-0153.070 | Y=0260.190-0269.510 | >1.000m.
P=1428 | X=0110.930-0334.570 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1428 | X=0110.930-0199.030 | Y=0293.620-0304.860 | Đường Võ Dõng 3 -
P=1428 | X=0094.820-0105.940 | Y=0301.260-0310.580 | 71
P=1428 | X=0215.110-0263.700 | Y=0301.260-0310.580 | Quốc lộ 20
P=1428 | X=0299.880-0372.460 | Y=0301.260-0310.580 | Hết mét thứ 500
P=1428 | X=0407.420-0432.470 | Y=0301.260-0310.580 | 3.400
P=1428 | X=0454.490-0479.540 | Y=0301.260-0310.580 | 2.400
P=1428 | X=0497.230-0522.280 | Y=0301.260-0310.580 | 2.000
P=1428 | X=0110.930-0142.210 | Y=0307.020-0316.340 | Sóc Lu
P=1428 | X=0110.930-0374.370 | Y=0322.900-0334.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1428 | X=0110.930-0379.640 | Y=0334.420-0345.660 | Dõng 3 - Sóc Lu đoạn từ Quốc lộ 20 đến Hết mét thứ 500 có
P=1428 | X=0110.930-0304.540 | Y=0345.700-0356.940 | hiện trạng là đường nhựa, bê tông xi măng:
P=1428 | X=0094.820-0105.940 | Y=0353.580-0362.900 | 72
P=1428 | X=0407.420-0432.470 | Y=0353.580-0362.900 | 1.500
P=1428 | X=0454.490-0479.540 | Y=0353.580-0362.900 | 1.100
P=1428 | X=0505.390-0522.030 | Y=0353.580-0362.900 | 900
P=1428 | X=0110.930-0342.040 | Y=0363.220-0374.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1428 | X=0110.930-0388.120 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1428 | X=0110.930-0374.370 | Y=0398.520-0409.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1428 | X=0110.930-0379.640 | Y=0410.040-0421.280 | Dõng 3 - Sóc Lu đoạn từ Quốc lộ 20 đến Hết mét thứ 500 có
P=1428 | X=0110.930-0304.540 | Y=0421.560-0432.800 | hiện trạng là đường nhựa, bê tông xi măng:
P=1428 | X=0094.820-0342.480 | Y=0439.080-0453.160 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1428 | X=0415.580-0432.220 | Y=0443.840-0453.160 | 830
P=1428 | X=0462.650-0479.290 | Y=0443.840-0453.160 | 580
P=1428 | X=0505.390-0522.030 | Y=0443.840-0453.160 | 500
P=1428 | X=0110.930-0364.240 | Y=0456.620-0467.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1428 | X=0110.930-0205.880 | Y=0468.140-0479.380 | >500m đến ≤1.000m.
P=1428 | X=0110.930-0334.100 | Y=0485.660-0496.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1428 | X=0110.930-0374.370 | Y=0503.420-0514.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1428 | X=0110.930-0379.640 | Y=0514.940-0526.180 | Dõng 3 - Sóc Lu đoạn từ Quốc lộ 20 đến Hết mét thứ 500 có
P=1428 | X=0110.930-0304.540 | Y=0526.220-0537.460 | hiện trạng là đường nhựa, bê tông xi măng:
P=1428 | X=0094.820-0105.940 | Y=0539.890-0549.210 | 74
P=1428 | X=0415.580-0432.220 | Y=0539.890-0549.210 | 640
P=1428 | X=0462.650-0479.290 | Y=0539.890-0549.210 | 450
P=1428 | X=0505.390-0522.030 | Y=0539.890-0549.210 | 380
P=1428 | X=0110.930-0352.040 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1428 | X=0110.930-0153.070 | Y=0557.170-0566.490 | >1.000m.
P=1428 | X=0110.930-0334.570 | Y=0572.810-0584.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1428 | X=0110.930-0384.440 | Y=0590.570-0601.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1428 | X=0110.930-0370.380 | Y=0602.090-0613.330 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Quốc lộ 20 đến Hết
P=1428 | X=0110.930-0374.440 | Y=0613.610-0624.850 | mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1428 | X=0094.820-0105.940 | Y=0621.510-0630.830 | 75
P=1428 | X=0407.420-0432.470 | Y=0621.510-0630.830 | 1.400
P=1428 | X=0462.650-0479.290 | Y=0621.510-0630.830 | 980
P=1428 | X=0505.390-0522.030 | Y=0621.510-0630.830 | 840
P=1428 | X=0110.930-0342.010 | Y=0631.150-0642.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1428 | X=0110.930-0388.120 | Y=0648.670-0659.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1428 | X=0110.930-0384.440 | Y=0666.430-0677.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1428 | X=0110.930-0370.380 | Y=0677.950-0689.190 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Quốc lộ 20 đến Hết
P=1428 | X=0094.820-0374.440 | Y=0688.470-0700.710 | 76 mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1428 | X=0415.580-0432.220 | Y=0688.470-0697.790 | 750
P=1428 | X=0462.650-0479.290 | Y=0688.470-0697.790 | 530
P=1428 | X=0505.390-0522.030 | Y=0688.470-0697.790 | 450
P=1428 | X=0110.930-0342.480 | Y=0706.770-0718.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1429 | X=0110.930-0364.240 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1429 | X=0110.930-0205.880 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1429 | X=0110.930-0334.100 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1429 | X=0110.930-0384.440 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1429 | X=0110.930-0370.380 | Y=0136.850-0148.090 | ra Đường Võ Dõng 3 - Sóc Lu đoạn từ Quốc lộ 20 đến Hết
P=1429 | X=0110.930-0374.440 | Y=0148.370-0159.610 | mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1429 | X=0094.820-0105.940 | Y=0162.010-0171.330 | 77
P=1429 | X=0415.580-0432.220 | Y=0162.010-0171.330 | 580
P=1429 | X=0462.650-0479.290 | Y=0162.010-0171.330 | 410
P=1429 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 350
P=1429 | X=0110.930-0352.040 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1429 | X=0110.930-0153.070 | Y=0179.050-0188.370 | >1.000m.
P=1429 | X=0110.930-0334.570 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1429 | X=0110.930-0199.030 | Y=0212.470-0223.710 | Đường Võ Dõng 3 -
P=1429 | X=0094.820-0105.940 | Y=0220.110-0229.430 | 78
P=1429 | X=0215.110-0287.700 | Y=0220.110-0229.430 | Hết mét thứ 500
P=1429 | X=0299.880-0319.880 | Y=0220.110-0229.430 | Suối
P=1429 | X=0407.420-0432.470 | Y=0220.110-0229.430 | 2.400
P=1429 | X=0454.490-0479.540 | Y=0220.110-0229.430 | 1.700
P=1429 | X=0497.230-0522.280 | Y=0220.110-0229.430 | 1.400
P=1429 | X=0110.930-0142.210 | Y=0225.870-0235.190 | Sóc Lu
P=1429 | X=0110.930-0374.370 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1429 | X=0110.930-0372.940 | Y=0253.270-0264.510 | Dõng 3 - Sóc Lu đoạn từ Hết mét thứ 500 đến Suối có hiện
P=1429 | X=0110.930-0282.710 | Y=0264.790-0276.030 | trạng là đường nhựa, bê tông xi măng:
P=1429 | X=0094.820-0105.940 | Y=0272.670-0281.990 | 79
P=1429 | X=0407.420-0432.470 | Y=0272.670-0281.990 | 1.100
P=1429 | X=0462.650-0479.290 | Y=0272.670-0281.990 | 770
P=1429 | X=0505.390-0522.030 | Y=0272.670-0281.990 | 660
P=1429 | X=0110.930-0342.010 | Y=0282.340-0293.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1429 | X=0110.930-0388.120 | Y=0299.860-0311.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1429 | X=0110.930-0374.370 | Y=0317.620-0328.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=1429 | X=0110.930-0372.940 | Y=0329.140-0340.380 | Dõng 3 - Sóc Lu đoạn từ Hết mét thứ 500 đến Suối có hiện
P=1429 | X=0110.930-0282.710 | Y=0340.660-0351.900 | trạng là đường nhựa, bê tông xi măng:
