TABLE=051 | AREA=Xã Phú Lâm | SECTION=non-agricultural | SEGMENTS=1
P=1703 | X=0106.850-0405.320 | Y=0288.580-0299.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 30 tháng 4
P=1703 | X=0106.850-0401.020 | Y=0300.100-0311.340 | đoạn từ Km 0+2000 đến Giáp ranh tỉnh Lâm Đồng có hiện trạng là
P=1703 | X=0106.850-0242.600 | Y=0311.620-0322.860 | đường nhựa, bê tông xi măng:
P=1703 | X=0090.020-0338.400 | Y=0329.140-0343.220 | 115 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1703 | X=0433.130-0449.770 | Y=0333.900-0343.220 | 330
P=1703 | X=0469.370-0486.010 | Y=0333.900-0343.220 | 230
P=1703 | X=0505.390-0522.030 | Y=0333.900-0343.220 | 200
P=1703 | X=0106.850-0413.270 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1703 | X=0106.850-0148.530 | Y=0357.940-0369.180 | ≤1.000m.
P=1703 | X=0106.850-0330.020 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1703 | X=0106.850-0405.320 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 30 tháng 4
P=1703 | X=0106.850-0401.020 | Y=0404.760-0416.000 | đoạn từ Km 0+2000 đến Giáp ranh tỉnh Lâm Đồng có hiện trạng là
P=1703 | X=0106.850-0242.600 | Y=0416.280-0427.520 | đường nhựa, bê tông xi măng:
P=1703 | X=0090.020-0106.660 | Y=0424.160-0433.480 | 116
P=1703 | X=0433.130-0449.770 | Y=0424.160-0433.480 | 210
P=1703 | X=0469.370-0486.010 | Y=0424.160-0433.480 | 150
P=1703 | X=0505.390-0522.030 | Y=0424.160-0433.480 | 130
P=1703 | X=0106.850-0392.640 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1703 | X=0106.850-0330.490 | Y=0451.340-0462.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1703 | X=0106.850-0392.110 | Y=0469.100-0480.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1703 | X=0106.850-0414.230 | Y=0480.620-0491.860 | Đường 30 tháng 4 đoạn từ Km 0+2000 đến Giáp ranh tỉnh Lâm Đồng
P=1703 | X=0106.850-0313.700 | Y=0492.140-0503.380 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1703 | X=0090.020-0106.660 | Y=0500.020-0509.340 | 117
P=1703 | X=0433.130-0449.770 | Y=0500.020-0509.340 | 350
P=1703 | X=0469.370-0486.010 | Y=0500.020-0509.340 | 250
P=1703 | X=0505.390-0522.030 | Y=0500.020-0509.340 | 210
P=1703 | X=0106.850-0337.930 | Y=0509.660-0520.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1703 | X=0106.850-0384.020 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1703 | X=0106.850-0392.110 | Y=0544.970-0556.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1703 | X=0106.850-0414.230 | Y=0556.250-0567.490 | Đường 30 tháng 4 đoạn từ Km 0+2000 đến Giáp ranh tỉnh Lâm Đồng
P=1703 | X=0106.850-0313.700 | Y=0567.770-0579.010 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1703 | X=0090.020-0338.400 | Y=0585.290-0599.610 | 118 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1703 | X=0433.130-0449.770 | Y=0590.290-0599.610 | 300
P=1703 | X=0469.370-0486.010 | Y=0590.290-0599.610 | 210
P=1703 | X=0505.390-0522.030 | Y=0590.290-0599.610 | 180
P=1703 | X=0106.850-0413.270 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1703 | X=0106.850-0148.530 | Y=0614.330-0625.570 | ≤1.000m.
P=1703 | X=0106.850-0330.020 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1703 | X=0106.850-0392.110 | Y=0649.630-0660.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1703 | X=0106.850-0414.230 | Y=0661.150-0672.390 | Đường 30 tháng 4 đoạn từ Km 0+2000 đến Giáp ranh tỉnh Lâm Đồng
P=1703 | X=0106.850-0313.700 | Y=0672.670-0683.910 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1703 | X=0090.020-0106.660 | Y=0680.550-0689.870 | 119
P=1703 | X=0433.130-0449.770 | Y=0680.550-0689.870 | 190
P=1703 | X=0469.370-0486.010 | Y=0680.550-0689.870 | 130
P=1703 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 110
P=1703 | X=0106.850-0392.660 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1703 | X=0106.850-0330.490 | Y=0707.730-0718.970 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1704 | X=0322.200-0410.860 | Y=0078.500-0089.740 | Giao đường ấp Phú
P=1704 | X=0090.020-0284.100 | Y=0084.260-0095.500 | 120 Đường Phú Lâm - Phú Bình Quốc lộ 20
P=1704 | X=0433.130-0449.770 | Y=0086.140-0095.460 | 780
P=1704 | X=0469.370-0486.010 | Y=0086.140-0095.460 | 550
P=1704 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 470
P=1704 | X=0322.200-0346.060 | Y=0090.020-0101.260 | Dũng
P=1704 | X=0106.850-0404.300 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1704 | X=0106.850-0408.950 | Y=0119.330-0130.570 | Phú Bình đoạn từ Quốc lộ 20 đến Giao đường ấp Phú Dũng có hiện
P=1704 | X=0106.850-0278.630 | Y=0130.850-0142.090 | trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0090.020-0106.660 | Y=0138.730-0148.050 | 121
P=1704 | X=0433.130-0449.770 | Y=0138.730-0148.050 | 330
P=1704 | X=0469.370-0486.010 | Y=0138.730-0148.050 | 230
P=1704 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 200
P=1704 | X=0106.850-0337.930 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1704 | X=0106.850-0384.020 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1704 | X=0106.850-0404.300 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1704 | X=0106.850-0408.950 | Y=0194.930-0206.170 | Phú Bình đoạn từ Quốc lộ 20 đến Giao đường ấp Phú Dũng có hiện
P=1704 | X=0106.850-0278.630 | Y=0206.470-0217.710 | trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0090.020-0338.400 | Y=0223.990-0238.310 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1704 | X=0433.130-0449.770 | Y=0228.990-0238.310 | 300
P=1704 | X=0469.370-0486.010 | Y=0228.990-0238.310 | 210
P=1704 | X=0505.390-0522.030 | Y=0228.990-0238.310 | 180
P=1704 | X=0106.850-0413.270 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1704 | X=0106.850-0148.530 | Y=0253.030-0264.270 | ≤1.000m.
P=1704 | X=0106.850-0330.040 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1704 | X=0106.850-0404.300 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1704 | X=0106.850-0408.950 | Y=0299.860-0311.100 | Phú Bình đoạn từ Quốc lộ 20 đến Giao đường ấp Phú Dũng có hiện
P=1704 | X=0106.850-0278.630 | Y=0311.380-0322.620 | trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0090.020-0106.660 | Y=0319.260-0328.580 | 123
P=1704 | X=0433.130-0449.770 | Y=0319.260-0328.580 | 260
P=1704 | X=0469.370-0486.010 | Y=0319.260-0328.580 | 180
P=1704 | X=0505.390-0522.030 | Y=0319.260-0328.580 | 160
P=1704 | X=0106.850-0392.640 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1704 | X=0106.850-0330.490 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1704 | X=0106.850-0392.110 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1704 | X=0106.850-0409.900 | Y=0375.480-0386.720 | Đường Phú Lâm - Phú Bình đoạn từ Quốc lộ 20 đến Giao đường ấp
P=1704 | X=0106.850-0360.740 | Y=0387.000-0398.240 | Phú Dũng có hiện trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0090.020-0106.660 | Y=0394.880-0404.200 | 124
P=1704 | X=0433.130-0449.770 | Y=0394.880-0404.200 | 300
P=1704 | X=0469.370-0486.010 | Y=0394.880-0404.200 | 210
P=1704 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 180
P=1704 | X=0106.850-0337.930 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1704 | X=0106.850-0384.020 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1704 | X=0106.850-0392.110 | Y=0439.800-0451.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1704 | X=0106.850-0409.900 | Y=0451.340-0462.580 | Đường Phú Lâm - Phú Bình đoạn từ Quốc lộ 20 đến Giao đường ấp
P=1704 | X=0106.850-0360.740 | Y=0462.860-0474.100 | Phú Dũng có hiện trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0090.020-0338.400 | Y=0480.380-0494.460 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1704 | X=0433.130-0449.770 | Y=0485.140-0494.460 | 270
P=1704 | X=0469.370-0486.010 | Y=0485.140-0494.460 | 190
P=1704 | X=0505.390-0522.030 | Y=0485.140-0494.460 | 160
P=1704 | X=0106.850-0413.270 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1704 | X=0106.850-0148.530 | Y=0509.420-0520.660 | ≤1.000m.
P=1704 | X=0106.850-0330.020 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1704 | X=0106.850-0392.110 | Y=0544.490-0555.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1704 | X=0106.850-0409.900 | Y=0556.010-0567.250 | Đường Phú Lâm - Phú Bình đoạn từ Quốc lộ 20 đến Giao đường ấp
P=1704 | X=0106.850-0360.740 | Y=0567.530-0578.770 | Phú Dũng có hiện trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0090.020-0106.660 | Y=0575.410-0584.730 | 126
P=1704 | X=0433.130-0449.770 | Y=0575.410-0584.730 | 230
P=1704 | X=0469.370-0486.010 | Y=0575.410-0584.730 | 160
P=1704 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 140
P=1704 | X=0106.850-0392.640 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1704 | X=0106.850-0330.490 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1704 | X=0235.540-0303.560 | Y=0620.350-0631.590 | Giáp đường ấp
P=1704 | X=0322.200-0405.810 | Y=0620.350-0631.590 | Giáp đường đi khu
P=1704 | X=0090.020-0231.500 | Y=0626.110-0637.350 | 127 Đường Phú Lâm - Phú Bình
P=1704 | X=0433.130-0449.770 | Y=0627.990-0637.310 | 650
P=1704 | X=0469.370-0486.010 | Y=0627.990-0637.310 | 460
P=1704 | X=0505.390-0522.030 | Y=0627.990-0637.310 | 390
P=1704 | X=0235.540-0280.020 | Y=0631.870-0643.110 | Phú Dũng
P=1704 | X=0322.200-0341.720 | Y=0631.870-0643.110 | Lá ủ
P=1704 | X=0106.850-0404.300 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1704 | X=0106.850-0408.940 | Y=0661.150-0672.390 | Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến Giáp đường đi khu
P=1704 | X=0106.850-0336.020 | Y=0672.670-0683.910 | Lá ủ có hiện trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0090.020-0106.660 | Y=0680.550-0689.870 | 128
P=1704 | X=0433.130-0449.770 | Y=0680.550-0689.870 | 330
P=1704 | X=0469.370-0486.010 | Y=0680.550-0689.870 | 230
P=1704 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 200
P=1704 | X=0106.850-0337.930 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1704 | X=0106.850-0384.020 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1705 | X=0106.850-0404.300 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1705 | X=0106.850-0408.940 | Y=0090.020-0101.260 | Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến Giáp đường đi khu
P=1705 | X=0106.850-0336.010 | Y=0101.540-0112.780 | Lá ủ có hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0090.020-0338.400 | Y=0119.090-0133.170 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1705 | X=0433.130-0449.770 | Y=0123.850-0133.170 | 290
P=1705 | X=0469.370-0486.010 | Y=0123.850-0133.170 | 200
P=1705 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 170
P=1705 | X=0106.850-0413.270 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1705 | X=0106.850-0148.530 | Y=0148.130-0159.370 | ≤1.000m.
P=1705 | X=0106.850-0330.020 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1705 | X=0106.850-0404.300 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1705 | X=0106.850-0408.940 | Y=0194.690-0205.930 | Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến Giáp đường đi khu
P=1705 | X=0106.850-0336.010 | Y=0206.230-0217.470 | Lá ủ có hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0090.020-0106.660 | Y=0214.110-0223.430 | 130
P=1705 | X=0433.130-0449.770 | Y=0214.110-0223.430 | 250
P=1705 | X=0469.370-0486.010 | Y=0214.110-0223.430 | 180
P=1705 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 150
P=1705 | X=0106.850-0392.640 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1705 | X=0106.850-0330.490 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1705 | X=0106.850-0392.110 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1705 | X=0106.850-0405.820 | Y=0270.550-0281.790 | Đường Phú Lâm - Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến
P=1705 | X=0106.850-0391.630 | Y=0282.100-0293.340 | Giáp đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1705 | X=0090.020-0134.850 | Y=0293.620-0305.060 | 131 măng:
P=1705 | X=0433.130-0449.770 | Y=0295.740-0305.060 | 300
P=1705 | X=0469.370-0486.010 | Y=0295.740-0305.060 | 210
P=1705 | X=0505.390-0522.030 | Y=0295.740-0305.060 | 180
P=1705 | X=0106.850-0337.930 | Y=0311.140-0322.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1705 | X=0106.850-0384.020 | Y=0328.660-0339.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1705 | X=0106.850-0392.110 | Y=0346.420-0357.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1705 | X=0106.850-0405.820 | Y=0357.700-0368.940 | Đường Phú Lâm - Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến
P=1705 | X=0106.850-0391.630 | Y=0369.240-0380.480 | Giáp đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1705 | X=0106.850-0134.850 | Y=0380.760-0392.000 | măng:
P=1705 | X=0090.020-0338.400 | Y=0397.520-0409.520 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1705 | X=0433.130-0449.770 | Y=0397.520-0406.840 | 260
P=1705 | X=0469.370-0486.010 | Y=0397.520-0406.840 | 180
P=1705 | X=0505.390-0522.030 | Y=0397.520-0406.840 | 160
P=1705 | X=0106.850-0413.270 | Y=0415.800-0427.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1705 | X=0106.850-0148.530 | Y=0427.320-0438.560 | ≤1.000m.
P=1705 | X=0106.850-0330.020 | Y=0444.840-0456.080 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1705 | X=0106.850-0392.110 | Y=0462.620-0473.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1705 | X=0106.850-0405.820 | Y=0474.140-0485.380 | Đường Phú Lâm - Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến
P=1705 | X=0106.850-0391.630 | Y=0485.660-0496.900 | Giáp đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1705 | X=0090.020-0134.850 | Y=0497.180-0508.620 | 133 măng:
P=1705 | X=0433.130-0449.770 | Y=0499.300-0508.620 | 230
P=1705 | X=0469.370-0486.010 | Y=0499.300-0508.620 | 160
P=1705 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 140
P=1705 | X=0106.850-0392.640 | Y=0514.460-0525.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1705 | X=0106.850-0330.520 | Y=0531.980-0543.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1705 | X=0322.200-0413.980 | Y=0549.770-0561.010 | Hết ranh thửa đất số
P=1705 | X=0322.200-0409.420 | Y=0561.290-0572.530 | 144 tờ BĐĐC số 27
P=1705 | X=0322.200-0403.980 | Y=0574.690-0584.010 | về bên phải và hết
P=1705 | X=0090.020-0319.160 | Y=0578.570-0589.810 | 134 Đường Phú Lâm - Phú Bình Đường đi khu Lá ủ
P=1705 | X=0433.130-0449.770 | Y=0580.450-0589.770 | 650
P=1705 | X=0469.370-0486.010 | Y=0580.450-0589.770 | 460
P=1705 | X=0505.390-0522.030 | Y=0580.450-0589.770 | 390
P=1705 | X=0322.200-0395.740 | Y=0584.330-0595.570 | ranh thửa đất số
P=1705 | X=0322.200-0412.300 | Y=0595.850-0607.090 | 303, tờ BĐĐC số 28
P=1705 | X=0322.200-0369.080 | Y=0609.250-0618.570 | về bên trái
P=1705 | X=0106.850-0404.300 | Y=0625.150-0636.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1705 | X=0106.850-0404.860 | Y=0636.670-0647.910 | Phú Bình đoạn từ Đường đi khu Lá ủ đến Hết ranh thửa đất số 144
P=1705 | X=0106.850-0413.990 | Y=0648.190-0659.430 | tờ BĐĐC số 27 về bên phải và hết ranh thửa đất số 303, tờ BĐĐC số
P=1705 | X=0090.020-0377.310 | Y=0659.710-0671.150 | 135 28 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0433.130-0449.770 | Y=0661.830-0671.150 | 330
P=1705 | X=0469.370-0486.010 | Y=0661.830-0671.150 | 230
P=1705 | X=0505.390-0522.030 | Y=0661.830-0671.150 | 200
P=1705 | X=0106.850-0337.930 | Y=0677.230-0688.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1705 | X=0106.850-0384.020 | Y=0694.510-0705.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1706 | X=0106.850-0404.300 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1706 | X=0106.850-0404.860 | Y=0090.020-0101.260 | Phú Bình đoạn từ Đường đi khu Lá ủ đến Hết ranh thửa đất số 144
P=1706 | X=0106.850-0413.990 | Y=0101.540-0112.780 | tờ BĐĐC số 27 về bên phải và hết ranh thửa đất số 303, tờ BĐĐC số
P=1706 | X=0106.850-0377.310 | Y=0113.060-0124.300 | 28 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=1706 | X=0090.020-0338.400 | Y=0129.610-0141.850 | 136 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1706 | X=0433.130-0449.770 | Y=0129.610-0138.930 | 290
P=1706 | X=0469.370-0486.010 | Y=0129.610-0138.930 | 200
P=1706 | X=0505.390-0522.030 | Y=0129.610-0138.930 | 170
P=1706 | X=0106.850-0413.270 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1706 | X=0106.850-0148.530 | Y=0159.410-0170.650 | ≤1.000m.
P=1706 | X=0106.850-0330.020 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1706 | X=0106.850-0404.300 | Y=0194.690-0205.930 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lâm -
P=1706 | X=0106.850-0404.860 | Y=0206.230-0217.470 | Phú Bình đoạn từ Đường đi khu Lá ủ đến Hết ranh thửa đất số 144
P=1706 | X=0106.850-0413.990 | Y=0217.750-0228.990 | tờ BĐĐC số 27 về bên phải và hết ranh thửa đất số 303, tờ BĐĐC số
P=1706 | X=0090.020-0377.310 | Y=0229.270-0240.710 | 137 28 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=1706 | X=0433.130-0449.770 | Y=0231.390-0240.710 | 250
P=1706 | X=0469.370-0486.010 | Y=0231.390-0240.710 | 180
P=1706 | X=0505.390-0522.030 | Y=0231.390-0240.710 | 150
P=1706 | X=0106.850-0392.640 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1706 | X=0106.850-0330.490 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1706 | X=0106.850-0392.110 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1706 | X=0106.850-0415.420 | Y=0293.620-0304.860 | Đường Phú Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ đến Hết ranh
P=1706 | X=0106.850-0408.220 | Y=0305.140-0316.380 | thửa đất số 144 tờ BĐĐC số 27 về bên phải và hết ranh thửa đất số
P=1706 | X=0106.850-0415.410 | Y=0316.660-0327.900 | 303, tờ BĐĐC số 28 về bên trái có hiện trạng là đường nhựa, bê tông
P=1706 | X=0090.020-0106.660 | Y=0324.540-0333.860 | 138
P=1706 | X=0433.130-0449.770 | Y=0324.540-0333.860 | 300
P=1706 | X=0469.370-0486.010 | Y=0324.540-0333.860 | 210
P=1706 | X=0505.390-0522.030 | Y=0324.540-0333.860 | 180
P=1706 | X=0106.850-0144.680 | Y=0327.940-0339.180 | xi măng:
P=1706 | X=0106.850-0337.930 | Y=0345.460-0356.700 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1706 | X=0106.850-0384.020 | Y=0362.980-0374.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1706 | X=0106.850-0392.110 | Y=0380.760-0392.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1706 | X=0106.850-0415.420 | Y=0392.280-0403.520 | Đường Phú Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ đến Hết ranh
P=1706 | X=0106.850-0408.220 | Y=0403.800-0415.040 | thửa đất số 144 tờ BĐĐC số 27 về bên phải và hết ranh thửa đất số
P=1706 | X=0106.850-0415.410 | Y=0415.320-0426.560 | 303, tờ BĐĐC số 28 về bên trái có hiện trạng là đường nhựa, bê tông
P=1706 | X=0106.850-0144.690 | Y=0426.840-0438.080 | xi măng:
P=1706 | X=0090.020-0106.660 | Y=0437.600-0446.920 | 139
P=1706 | X=0433.130-0449.770 | Y=0437.600-0446.920 | 260
P=1706 | X=0469.370-0486.010 | Y=0437.600-0446.920 | 180
P=1706 | X=0505.390-0522.030 | Y=0437.600-0446.920 | 160
P=1706 | X=0106.850-0338.400 | Y=0444.360-0455.600 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1706 | X=0106.850-0413.270 | Y=0461.900-0473.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1706 | X=0106.850-0148.530 | Y=0473.420-0484.660 | ≤1.000m.
P=1706 | X=0106.850-0330.020 | Y=0490.940-0502.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1706 | X=0106.850-0392.110 | Y=0508.460-0519.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1706 | X=0106.850-0415.420 | Y=0519.980-0531.220 | Đường Phú Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ đến Hết ranh
P=1706 | X=0106.850-0408.220 | Y=0531.500-0542.740 | thửa đất số 144 tờ BĐĐC số 27 về bên phải và hết ranh thửa đất số
P=1706 | X=0106.850-0415.410 | Y=0543.050-0554.290 | 303, tờ BĐĐC số 28 về bên trái có hiện trạng là đường nhựa, bê tông
P=1706 | X=0090.020-0106.660 | Y=0550.930-0560.250 | 140
P=1706 | X=0433.130-0449.770 | Y=0550.930-0560.250 | 230
P=1706 | X=0469.370-0486.010 | Y=0550.930-0560.250 | 160
P=1706 | X=0505.390-0522.030 | Y=0550.930-0560.250 | 140
P=1706 | X=0106.850-0144.680 | Y=0554.570-0565.810 | xi măng:
P=1706 | X=0106.850-0392.700 | Y=0572.090-0583.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1706 | X=0106.850-0330.490 | Y=0589.610-0600.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1706 | X=0106.850-0227.200 | Y=0607.370-0618.610 | Đường Quán Hiến vào khu
P=1706 | X=0235.540-0405.820 | Y=0613.130-0624.370 | Đường 30 tháng 4 Đường đi khu Lá ủ
P=1706 | X=0090.020-0106.660 | Y=0615.010-0624.330 | 141
P=1706 | X=0433.130-0449.770 | Y=0615.010-0624.330 | 780
P=1706 | X=0469.370-0486.010 | Y=0615.010-0624.330 | 550
P=1706 | X=0505.390-0522.030 | Y=0615.010-0624.330 | 470
P=1706 | X=0106.850-0126.370 | Y=0618.910-0630.150 | Lá ủ
P=1706 | X=0106.850-0406.070 | Y=0636.670-0647.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quán Hiến
P=1706 | X=0106.850-0405.100 | Y=0648.190-0659.430 | vào khu Lá ủ đoạn từ Đường 30 tháng 4 đến Đường đi khu Lá ủ có
P=1706 | X=0106.850-0300.460 | Y=0659.710-0670.950 | hiện trạng là đường nhựa, bê tông xi măng:
P=1706 | X=0090.020-0106.660 | Y=0667.590-0676.910 | 142
P=1706 | X=0433.130-0449.770 | Y=0667.590-0676.910 | 390
P=1706 | X=0469.370-0486.010 | Y=0667.590-0676.910 | 270
P=1706 | X=0505.390-0522.030 | Y=0667.590-0676.910 | 230
P=1706 | X=0106.850-0337.930 | Y=0677.230-0688.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
