TABLE=030 | AREA=Xã Cẩm Mỹ | SECTION=non-agricultural | SEGMENTS=1
P=1104 | X=0111.170-0379.650 | Y=0445.080-0456.320 | ra Đường tỉnh 764 đoạn từ Hết cây xăng Xuân Mỹ đến Ranh
P=1104 | X=0111.170-0366.910 | Y=0456.620-0467.860 | giới xã Sông Ray có hiện trạng là đường nhựa, bê tông xi
P=1104 | X=0111.170-0139.170 | Y=0468.140-0479.380 | măng:
P=1104 | X=0094.820-0105.940 | Y=0476.020-0485.340 | 98
P=1104 | X=0414.380-0431.020 | Y=0476.020-0485.340 | 580
P=1104 | X=0461.930-0478.570 | Y=0476.020-0485.340 | 410
P=1104 | X=0505.630-0522.270 | Y=0476.020-0485.340 | 350
P=1104 | X=0111.170-0352.280 | Y=0485.660-0496.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1104 | X=0111.170-0153.310 | Y=0499.060-0508.380 | >1.000m.
P=1104 | X=0111.170-0334.810 | Y=0514.460-0525.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1104 | X=0303.960-0375.800 | Y=0534.100-0543.420 | Giáp ranh thành
P=1104 | X=0094.820-0269.940 | Y=0538.010-0549.250 | 99 Đường Xuân Mỹ - Cù Bị Quốc lộ 56
P=1104 | X=0405.980-0431.030 | Y=0539.890-0549.210 | 2.600
P=1104 | X=0453.530-0478.580 | Y=0539.890-0549.210 | 1.800
P=1104 | X=0497.230-0522.280 | Y=0539.890-0549.210 | 1.600
P=1104 | X=0303.960-0379.150 | Y=0545.650-0554.970 | phố Hồ Chí Minh
P=1104 | X=0111.170-0385.410 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1104 | X=0111.170-0375.340 | Y=0573.050-0584.290 | Mỹ - Cù Bị đoạn từ Quốc lộ 56 đến Giáp ranh thành phố Hồ
P=1104 | X=0111.170-0360.720 | Y=0584.570-0595.810 | Chí Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=1104 | X=0091.940-0108.580 | Y=0592.450-0601.770 | 100
P=1104 | X=0405.980-0431.030 | Y=0592.450-0601.770 | 1.400
P=1104 | X=0461.930-0478.570 | Y=0592.450-0601.770 | 980
P=1104 | X=0505.630-0522.270 | Y=0592.450-0601.770 | 840
P=1104 | X=0111.170-0342.250 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1104 | X=0111.170-0388.360 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1104 | X=0111.170-0385.410 | Y=0637.390-0648.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1104 | X=0111.170-0375.340 | Y=0648.910-0660.150 | Mỹ - Cù Bị đoạn từ Quốc lộ 56 đến Giáp ranh thành phố Hồ
P=1104 | X=0111.170-0360.720 | Y=0660.430-0671.670 | Chí Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=1104 | X=0091.940-0108.580 | Y=0674.070-0683.390 | 101
P=1104 | X=0414.380-0431.020 | Y=0674.070-0683.390 | 940
P=1104 | X=0461.930-0478.570 | Y=0674.070-0683.390 | 660
P=1104 | X=0505.630-0522.270 | Y=0674.070-0683.390 | 560
P=1104 | X=0111.170-0342.720 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1104 | X=0111.170-0364.480 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1104 | X=0111.170-0206.120 | Y=0706.770-0718.010 | >500m đến ≤1.000m.
P=1105 | X=0111.170-0334.340 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1105 | X=0111.170-0385.410 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1105 | X=0111.170-0375.340 | Y=0107.780-0119.020 | Mỹ - Cù Bị đoạn từ Quốc lộ 56 đến Giáp ranh thành phố Hồ
P=1105 | X=0111.170-0360.720 | Y=0119.330-0130.570 | Chí Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=1105 | X=0091.940-0108.580 | Y=0132.970-0142.290 | 102
P=1105 | X=0414.380-0431.020 | Y=0132.970-0142.290 | 700
P=1105 | X=0461.930-0478.570 | Y=0132.970-0142.290 | 490
P=1105 | X=0505.630-0522.270 | Y=0132.970-0142.290 | 420
P=1105 | X=0111.170-0352.280 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1105 | X=0111.170-0153.310 | Y=0150.250-0159.570 | >1.000m.
P=1105 | X=0111.170-0334.810 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1105 | X=0111.170-0384.680 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1105 | X=0111.170-0384.680 | Y=0194.930-0206.170 | ra Đường Xuân Mỹ - Cù Bị đoạn từ Quốc lộ 56 đến Giáp ranh
P=1105 | X=0111.170-0383.000 | Y=0206.470-0217.710 | thành phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông
P=1105 | X=0091.940-0149.000 | Y=0217.990-0229.430 | 103 xi măng:
P=1105 | X=0405.980-0431.030 | Y=0220.110-0229.430 | 1.300
P=1105 | X=0461.930-0478.570 | Y=0220.110-0229.430 | 910
P=1105 | X=0505.630-0522.270 | Y=0220.110-0229.430 | 780
P=1105 | X=0111.170-0342.250 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1105 | X=0111.170-0388.360 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1105 | X=0111.170-0384.680 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1105 | X=0111.170-0384.680 | Y=0282.340-0293.580 | ra Đường Xuân Mỹ - Cù Bị đoạn từ Quốc lộ 56 đến Giáp ranh
P=1105 | X=0111.170-0383.000 | Y=0293.860-0305.100 | thành phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông
P=1105 | X=0111.170-0149.000 | Y=0305.380-0316.620 | xi măng:
P=1105 | X=0091.940-0342.720 | Y=0321.900-0334.140 | 104 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1105 | X=0414.380-0431.050 | Y=0321.900-0331.220 | 850
P=1105 | X=0461.930-0478.570 | Y=0321.900-0331.220 | 600
P=1105 | X=0505.630-0522.270 | Y=0321.900-0331.220 | 510
P=1105 | X=0111.170-0364.480 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1105 | X=0111.170-0206.120 | Y=0351.700-0362.940 | >500m đến ≤1.000m.
P=1105 | X=0111.170-0334.340 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1105 | X=0111.170-0384.680 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1105 | X=0111.170-0384.680 | Y=0398.520-0409.760 | ra Đường Xuân Mỹ - Cù Bị đoạn từ Quốc lộ 56 đến Giáp ranh
P=1105 | X=0111.170-0383.000 | Y=0410.040-0421.280 | thành phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông
P=1105 | X=0111.170-0149.000 | Y=0421.560-0432.800 | xi măng:
P=1105 | X=0091.940-0108.580 | Y=0429.440-0438.760 | 105
P=1105 | X=0414.380-0431.020 | Y=0429.440-0438.760 | 630
P=1105 | X=0461.930-0478.570 | Y=0429.440-0438.760 | 440
P=1105 | X=0505.630-0522.270 | Y=0429.440-0438.760 | 380
P=1105 | X=0111.170-0352.280 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1105 | X=0111.170-0153.310 | Y=0452.500-0461.820 | >1.000m.
P=1105 | X=0111.170-0334.810 | Y=0468.140-0479.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1105 | X=0221.350-0362.370 | Y=0485.900-0497.140 | Giáp ranh phường Đường Nhân
P=1105 | X=0091.940-0159.730 | Y=0493.540-0502.860 | 106 Quốc lộ 56
P=1105 | X=0405.980-0431.030 | Y=0493.540-0502.860 | 3.100
P=1105 | X=0453.530-0478.580 | Y=0493.540-0502.860 | 2.200
P=1105 | X=0497.230-0522.280 | Y=0493.540-0502.860 | 1.900
P=1105 | X=0303.960-0389.500 | Y=0497.420-0508.660 | Nghĩa - Xuân Đông
P=1105 | X=0221.350-0267.030 | Y=0499.300-0508.620 | Hàng Gòn
P=1105 | X=0111.170-0376.300 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1105 | X=0111.170-0389.000 | Y=0526.460-0537.700 | đoạn từ Giáp ranh phường Hàng Gòn đến Đường Nhân Nghĩa
P=1105 | X=0111.170-0377.070 | Y=0538.010-0549.250 | - Xuân Đông có hiện trạng là đường nhựa, bê tông xi măng:
P=1105 | X=0091.940-0108.580 | Y=0545.890-0555.210 | 107
P=1105 | X=0405.980-0431.030 | Y=0545.890-0555.210 | 1.400
P=1105 | X=0461.930-0478.570 | Y=0545.890-0555.210 | 980
P=1105 | X=0505.630-0522.270 | Y=0545.890-0555.210 | 840
P=1105 | X=0111.170-0342.250 | Y=0555.530-0566.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1105 | X=0111.170-0388.360 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1105 | X=0111.170-0376.300 | Y=0590.810-0602.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1105 | X=0111.170-0389.000 | Y=0602.330-0613.570 | đoạn từ Giáp ranh phường Hàng Gòn đến Đường Nhân Nghĩa
P=1105 | X=0111.170-0377.070 | Y=0613.850-0625.090 | - Xuân Đông có hiện trạng là đường nhựa, bê tông xi măng:
P=1105 | X=0091.940-0342.720 | Y=0631.390-0645.470 | 108 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1105 | X=0405.980-0431.030 | Y=0636.150-0645.470 | 1.000
P=1105 | X=0461.930-0478.570 | Y=0636.150-0645.470 | 700
P=1105 | X=0505.630-0522.270 | Y=0636.150-0645.470 | 600
P=1105 | X=0111.170-0364.480 | Y=0648.910-0660.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1105 | X=0111.170-0206.160 | Y=0660.430-0671.670 | >500m đến ≤1.000m.
P=1105 | X=0111.170-0334.340 | Y=0677.950-0689.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1105 | X=0111.170-0376.300 | Y=0695.710-0706.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1105 | X=0091.940-0108.580 | Y=0703.380-0712.700 | 109
P=1105 | X=0414.380-0431.020 | Y=0703.380-0712.700 | 790
P=1105 | X=0461.930-0478.570 | Y=0703.380-0712.700 | 550
P=1105 | X=0505.630-0522.270 | Y=0703.380-0712.700 | 470
P=1105 | X=0111.170-0389.000 | Y=0707.250-0718.490 | đoạn từ Giáp ranh phường Hàng Gòn đến Đường Nhân Nghĩa
P=1106 | X=0111.170-0377.070 | Y=0072.500-0083.740 | - Xuân Đông có hiện trạng là đường nhựa, bê tông xi măng:
P=1106 | X=0111.170-0352.280 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1106 | X=0111.170-0153.310 | Y=0103.420-0112.740 | >1.000m.
P=1106 | X=0111.170-0334.810 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1106 | X=0111.170-0384.680 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1106 | X=0111.170-0361.420 | Y=0148.370-0159.610 | ra Quốc lộ 56 đoạn từ Giáp ranh phường Hàng Gòn đến
P=1106 | X=0111.170-0361.880 | Y=0159.650-0170.890 | Đường Nhân Nghĩa - Xuân Đông có hiện trạng là đường
P=1106 | X=0091.940-0214.280 | Y=0171.170-0182.610 | 110 nhựa, bê tông xi măng:
P=1106 | X=0405.980-0431.030 | Y=0173.290-0182.610 | 1.300
P=1106 | X=0461.930-0478.570 | Y=0173.290-0182.610 | 910
P=1106 | X=0505.630-0522.270 | Y=0173.290-0182.610 | 780
P=1106 | X=0111.170-0342.250 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1106 | X=0111.170-0388.360 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1106 | X=0111.170-0384.680 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1106 | X=0111.170-0361.420 | Y=0235.510-0246.750 | ra Quốc lộ 56 đoạn từ Giáp ranh phường Hàng Gòn đến
P=1106 | X=0111.170-0361.880 | Y=0247.030-0258.270 | Đường Nhân Nghĩa - Xuân Đông có hiện trạng là đường
P=1106 | X=0111.170-0214.280 | Y=0258.550-0269.790 | nhựa, bê tông xi măng:
P=1106 | X=0091.940-0342.720 | Y=0275.070-0287.310 | 111 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1106 | X=0414.380-0431.020 | Y=0275.070-0284.390 | 900
P=1106 | X=0461.930-0478.570 | Y=0275.070-0284.390 | 630
P=1106 | X=0505.630-0522.270 | Y=0275.070-0284.390 | 540
P=1106 | X=0111.170-0364.480 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1106 | X=0111.170-0206.120 | Y=0305.140-0316.380 | >500m đến ≤1.000m.
P=1106 | X=0111.170-0334.340 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1106 | X=0111.170-0384.680 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1106 | X=0111.170-0361.420 | Y=0351.700-0362.940 | ra Quốc lộ 56 đoạn từ Giáp ranh phường Hàng Gòn đến
P=1106 | X=0111.170-0361.880 | Y=0363.220-0374.460 | Đường Nhân Nghĩa - Xuân Đông có hiện trạng là đường
P=1106 | X=0111.170-0214.280 | Y=0374.760-0386.000 | nhựa, bê tông xi măng:
P=1106 | X=0091.940-0108.580 | Y=0382.640-0391.960 | 112
P=1106 | X=0414.380-0431.020 | Y=0382.640-0391.960 | 710
P=1106 | X=0461.930-0478.570 | Y=0382.640-0391.960 | 500
P=1106 | X=0505.630-0522.270 | Y=0382.640-0391.960 | 430
P=1106 | X=0111.170-0352.280 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1106 | X=0111.170-0153.310 | Y=0405.680-0415.000 | >1.000m.
P=1106 | X=0111.170-0334.810 | Y=0421.320-0432.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1106 | X=0221.350-0286.510 | Y=0439.080-0450.320 | Ngã ba đường
P=1106 | X=0221.350-0292.690 | Y=0450.620-0461.860 | vào Nghĩa trang
P=1106 | X=0303.960-0374.130 | Y=0450.620-0461.860 | Đường tỉnh 764
P=1106 | X=0091.940-0159.730 | Y=0452.500-0461.820 | 113 Quốc lộ 56
P=1106 | X=0405.980-0431.030 | Y=0452.500-0461.820 | 3.700
P=1106 | X=0453.530-0478.580 | Y=0452.500-0461.820 | 2.600
P=1106 | X=0497.230-0522.280 | Y=0452.500-0461.820 | 2.200
P=1106 | X=0221.350-0272.550 | Y=0464.020-0473.340 | Hoàn Quân
P=1106 | X=0111.170-0376.300 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1106 | X=0111.170-0360.940 | Y=0491.420-0502.660 | đoạn từ Ngã ba đường vào Nghĩa trang Hoàn Quân đến
P=1106 | X=0111.170-0360.200 | Y=0502.940-0514.180 | Đường tỉnh 764 có hiện trạng là đường nhựa, bê tông xi
P=1106 | X=0091.940-0139.170 | Y=0514.220-0525.660 | 114 măng:
P=1106 | X=0405.980-0431.030 | Y=0516.340-0525.660 | 1.700
P=1106 | X=0453.530-0478.580 | Y=0516.340-0525.660 | 1.200
P=1106 | X=0497.230-0522.280 | Y=0516.340-0525.660 | 1.000
P=1106 | X=0111.170-0342.250 | Y=0531.740-0542.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1106 | X=0111.170-0388.360 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1106 | X=0111.170-0376.300 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1106 | X=0111.170-0360.940 | Y=0578.570-0589.810 | đoạn từ Ngã ba đường vào Nghĩa trang Hoàn Quân đến
P=1106 | X=0111.170-0360.200 | Y=0590.090-0601.330 | Đường tỉnh 764 có hiện trạng là đường nhựa, bê tông xi
P=1106 | X=0111.170-0139.170 | Y=0601.610-0612.850 | măng:
P=1106 | X=0091.940-0342.720 | Y=0618.150-0630.390 | 115 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1106 | X=0405.980-0431.030 | Y=0618.150-0627.470 | 1.000
P=1106 | X=0461.930-0478.570 | Y=0618.150-0627.470 | 700
P=1106 | X=0505.630-0522.270 | Y=0618.150-0627.470 | 600
P=1106 | X=0111.170-0364.480 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1106 | X=0111.170-0206.120 | Y=0648.190-0659.430 | >500m đến ≤1.000m.
P=1106 | X=0111.170-0334.340 | Y=0665.710-0676.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1106 | X=0111.170-0376.300 | Y=0683.470-0694.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1106 | X=0091.940-0360.940 | Y=0694.750-0705.990 | 116 đoạn từ Ngã ba đường vào Nghĩa trang Hoàn Quân đến
P=1106 | X=0414.380-0431.020 | Y=0696.630-0705.950 | 790
P=1106 | X=0461.930-0478.570 | Y=0696.630-0705.950 | 550
P=1106 | X=0505.390-0522.030 | Y=0696.630-0705.950 | 470
P=1106 | X=0111.170-0360.200 | Y=0706.290-0717.530 | Đường tỉnh 764 có hiện trạng là đường nhựa, bê tông xi
P=1107 | X=0111.170-0139.170 | Y=0072.500-0083.740 | măng:
P=1107 | X=0111.170-0352.280 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1107 | X=0111.170-0153.310 | Y=0103.420-0112.740 | >1.000m.
P=1107 | X=0111.170-0334.810 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1107 | X=0111.170-0384.680 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1107 | X=0111.170-0376.770 | Y=0148.370-0159.610 | ra Quốc lộ 56 đoạn từ Ngã ba đường vào Nghĩa trang Hoàn
P=1107 | X=0111.170-0374.840 | Y=0159.650-0170.890 | Quân đến Đường tỉnh 764 có hiện trạng là đường nhựa, bê
P=1107 | X=0091.940-0171.330 | Y=0171.170-0182.610 | 117 tông xi măng:
P=1107 | X=0405.980-0431.030 | Y=0173.290-0182.610 | 1.500
P=1107 | X=0453.530-0478.580 | Y=0173.290-0182.610 | 1.100
P=1107 | X=0505.630-0522.270 | Y=0173.290-0182.610 | 900
P=1107 | X=0111.170-0342.250 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1107 | X=0111.170-0388.360 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1107 | X=0111.170-0384.680 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1107 | X=0111.170-0376.760 | Y=0235.510-0246.750 | ra Quốc lộ 56 đoạn từ Ngã ba đường vào Nghĩa trang Hoàn
P=1107 | X=0111.170-0374.840 | Y=0247.030-0258.270 | Quân đến Đường tỉnh 764 có hiện trạng là đường nhựa, bê
P=1107 | X=0111.170-0171.330 | Y=0258.550-0269.790 | tông xi măng:
P=1107 | X=0091.940-0342.720 | Y=0275.070-0287.310 | 118 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1107 | X=0414.380-0431.020 | Y=0275.070-0284.390 | 900
P=1107 | X=0461.930-0478.570 | Y=0275.070-0284.390 | 630
P=1107 | X=0505.630-0522.270 | Y=0275.070-0284.390 | 540
P=1107 | X=0111.170-0364.480 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1107 | X=0111.170-0206.120 | Y=0305.140-0316.380 | >500m đến ≤1.000m.
P=1107 | X=0111.170-0334.340 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1107 | X=0111.170-0384.680 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1107 | X=0111.170-0376.760 | Y=0351.700-0362.940 | ra Quốc lộ 56 đoạn từ Ngã ba đường vào Nghĩa trang Hoàn
P=1107 | X=0111.170-0374.840 | Y=0363.220-0374.460 | Quân đến Đường tỉnh 764 có hiện trạng là đường nhựa, bê
P=1107 | X=0111.170-0171.320 | Y=0374.760-0386.000 | tông xi măng:
P=1107 | X=0091.940-0108.580 | Y=0382.640-0391.960 | 119
P=1107 | X=0414.380-0431.020 | Y=0382.640-0391.960 | 710
P=1107 | X=0461.930-0478.570 | Y=0382.640-0391.960 | 500
P=1107 | X=0505.630-0522.270 | Y=0382.640-0391.960 | 430
P=1107 | X=0111.170-0352.280 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1107 | X=0111.170-0153.310 | Y=0405.680-0415.000 | >1.000m.
P=1107 | X=0111.170-0334.810 | Y=0421.320-0432.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1107 | X=0303.960-0375.800 | Y=0440.960-0450.280 | Giáp ranh thành
P=1107 | X=0221.350-0291.550 | Y=0444.840-0456.080 | Đường tỉnh 764
P=1107 | X=0091.940-0159.730 | Y=0446.720-0456.040 | 120 Quốc lộ 56
P=1107 | X=0405.980-0431.030 | Y=0446.720-0456.040 | 2.900
P=1107 | X=0453.530-0478.580 | Y=0446.720-0456.040 | 2.000
P=1107 | X=0497.230-0522.280 | Y=0446.720-0456.040 | 1.700
P=1107 | X=0303.960-0379.150 | Y=0452.500-0461.820 | phố Hồ Chí Minh
P=1107 | X=0111.170-0376.300 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1107 | X=0111.170-0390.430 | Y=0479.900-0491.140 | đoạn từ Đường tỉnh 764 đến Giáp ranh thành phố Hồ Chí Minh
P=1107 | X=0111.170-0318.020 | Y=0491.420-0502.660 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1107 | X=0091.940-0108.580 | Y=0499.300-0508.620 | 121
P=1107 | X=0405.980-0431.030 | Y=0499.300-0508.620 | 1.400
P=1107 | X=0461.930-0478.570 | Y=0499.300-0508.620 | 980
P=1107 | X=0505.630-0522.270 | Y=0499.300-0508.620 | 840
P=1107 | X=0111.170-0342.250 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1107 | X=0111.170-0388.360 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1107 | X=0111.170-0376.300 | Y=0544.010-0555.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1107 | X=0111.170-0390.430 | Y=0555.530-0566.770 | đoạn từ Đường tỉnh 764 đến Giáp ranh thành phố Hồ Chí Minh
P=1107 | X=0111.170-0318.020 | Y=0567.050-0578.290 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1107 | X=0091.940-0342.720 | Y=0584.570-0598.890 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1107 | X=0405.980-0431.030 | Y=0589.570-0598.890 | 1.000
P=1107 | X=0461.930-0478.570 | Y=0589.570-0598.890 | 700
P=1107 | X=0505.630-0522.270 | Y=0589.570-0598.890 | 600
P=1107 | X=0111.170-0364.480 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1107 | X=0111.170-0206.120 | Y=0613.610-0624.850 | >500m đến ≤1.000m.
P=1107 | X=0111.170-0334.340 | Y=0631.150-0642.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1107 | X=0111.170-0376.300 | Y=0648.910-0660.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 56
P=1107 | X=0111.170-0390.430 | Y=0660.430-0671.670 | đoạn từ Đường tỉnh 764 đến Giáp ranh thành phố Hồ Chí Minh
P=1107 | X=0091.940-0318.020 | Y=0671.950-0686.030 | 123 có hiện trạng là đường nhựa, bê tông xi măng:
P=1107 | X=0414.380-0431.020 | Y=0676.710-0686.030 | 790
P=1107 | X=0461.930-0478.570 | Y=0676.710-0686.030 | 550
P=1107 | X=0505.630-0522.270 | Y=0676.710-0686.030 | 470
P=1107 | X=0111.170-0352.280 | Y=0689.470-0700.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1107 | X=0111.170-0153.310 | Y=0702.660-0711.980 | >1.000m.
P=1108 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1108 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1108 | X=0111.170-0375.110 | Y=0107.780-0119.020 | ra Quốc lộ 56 đoạn từ Đường tỉnh 764 đến Giáp ranh thành
P=1108 | X=0111.170-0365.230 | Y=0119.330-0130.570 | phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông xi
P=1108 | X=0091.940-0139.170 | Y=0130.850-0142.290 | 124 măng:
P=1108 | X=0405.980-0431.030 | Y=0132.970-0142.290 | 1.300
P=1108 | X=0461.930-0478.570 | Y=0132.970-0142.290 | 910
P=1108 | X=0505.630-0522.270 | Y=0132.970-0142.290 | 780
P=1108 | X=0111.170-0342.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1108 | X=0111.170-0388.360 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1108 | X=0111.170-0384.680 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1108 | X=0111.170-0375.100 | Y=0194.930-0206.170 | ra Quốc lộ 56 đoạn từ Đường tỉnh 764 đến Giáp ranh thành
P=1108 | X=0111.170-0365.230 | Y=0206.470-0217.710 | phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông xi
P=1108 | X=0111.170-0139.170 | Y=0217.990-0229.230 | măng:
P=1108 | X=0091.940-0342.720 | Y=0234.750-0246.750 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1108 | X=0414.380-0431.020 | Y=0234.750-0244.070 | 900
P=1108 | X=0461.930-0478.570 | Y=0234.750-0244.070 | 630
P=1108 | X=0505.630-0522.270 | Y=0234.750-0244.070 | 540
P=1108 | X=0111.170-0364.480 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1108 | X=0111.170-0206.120 | Y=0264.550-0275.790 | >500m đến ≤1.000m.
P=1108 | X=0111.170-0334.340 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1108 | X=0111.170-0384.680 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
