TABLE=037 | AREA=Xã Bàu Hàm | SECTION=non-agricultural | SEGMENTS=1
P=1312 | X=0408.860-0425.500 | Y=0675.750-0685.070 | 780
P=1312 | X=0456.410-0473.050 | Y=0675.750-0685.070 | 550
P=1312 | X=0505.630-0522.270 | Y=0675.750-0685.070 | 470
P=1312 | X=0111.170-0352.280 | Y=0694.030-0705.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1312 | X=0111.170-0153.310 | Y=0707.460-0716.780 | >1.000m.
P=1313 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1313 | X=0220.150-0294.680 | Y=0096.260-0107.500 | Các đoạn còn lại
P=1313 | X=0220.150-0289.860 | Y=0107.780-0119.020 | của Đường tỉnh
P=1313 | X=0220.150-0291.070 | Y=0121.210-0130.530 | 762, từ qua ngã
P=1313 | X=0220.150-0299.140 | Y=0130.850-0142.090 | tư Tân Lập 0,5km
P=1313 | X=0220.150-0299.850 | Y=0142.370-0153.610 | (hướng xã Trị An)
P=1313 | X=0220.150-0294.900 | Y=0153.650-0164.890 | đến giáp ranh xã
P=1313 | X=0094.820-0181.340 | Y=0159.410-0170.650 | 50 Đường tỉnh 762
P=1313 | X=0400.700-0425.750 | Y=0161.290-0170.610 | 2.200
P=1313 | X=0448.250-0473.300 | Y=0161.290-0170.610 | 1.500
P=1313 | X=0497.470-0522.520 | Y=0161.290-0170.610 | 1.300
P=1313 | X=0220.150-0292.020 | Y=0167.050-0176.370 | Trị An và từ qua
P=1313 | X=0220.150-0288.660 | Y=0176.690-0187.930 | ngã tư Tân Lập
P=1313 | X=0220.150-0297.070 | Y=0188.210-0199.450 | 0,5km (hướng xã
P=1313 | X=0220.150-0295.400 | Y=0199.750-0210.990 | Thống Nhất) đến
P=1313 | X=0220.150-0275.430 | Y=0213.150-0222.470 | giáp ranh xã
P=1313 | X=0220.150-0272.420 | Y=0224.670-0233.990 | Thống Nhất
P=1313 | X=0111.170-0378.710 | Y=0240.550-0251.790 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1313 | X=0111.170-0379.660 | Y=0252.070-0263.310 | 762 Các đoạn từ ngã tư Tân Lập đi về các hướng (xã Thống
P=1313 | X=0111.170-0368.610 | Y=0263.590-0274.830 | Nhất và xã Trị An) 0,5km có hiện trạng là đường nhựa, bê
P=1313 | X=0111.170-0171.330 | Y=0275.110-0286.350 | tông xi măng:
P=1313 | X=0094.820-0105.940 | Y=0282.990-0292.310 | 51
P=1313 | X=0400.700-0425.750 | Y=0282.990-0292.310 | 1.200
P=1313 | X=0456.410-0473.050 | Y=0282.990-0292.310 | 840
P=1313 | X=0505.630-0522.270 | Y=0282.990-0292.310 | 720
P=1313 | X=0111.170-0342.250 | Y=0292.660-0303.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1313 | X=0111.170-0352.280 | Y=0309.940-0321.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1313 | X=0111.170-0144.690 | Y=0321.460-0332.700 | ≤500m.
P=1313 | X=0111.170-0378.710 | Y=0339.220-0350.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1313 | X=0111.170-0379.660 | Y=0350.740-0361.980 | 762 Các đoạn từ ngã tư Tân Lập đi về các hướng (xã Thống
P=1313 | X=0111.170-0368.610 | Y=0362.260-0373.500 | Nhất và xã Trị An) 0,5km có hiện trạng là đường nhựa, bê
P=1313 | X=0111.170-0171.330 | Y=0373.800-0385.040 | tông xi măng:
P=1313 | X=0094.820-0342.730 | Y=0390.560-0402.560 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1313 | X=0408.860-0425.500 | Y=0390.560-0399.880 | 940
P=1313 | X=0456.410-0473.050 | Y=0390.560-0399.880 | 660
P=1313 | X=0505.630-0522.270 | Y=0390.560-0399.880 | 560
P=1313 | X=0111.170-0364.480 | Y=0408.840-0420.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1313 | X=0111.170-0206.120 | Y=0420.360-0431.600 | >500m đến ≤1.000m.
P=1313 | X=0111.170-0334.340 | Y=0437.880-0449.120 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1313 | X=0111.170-0378.710 | Y=0455.660-0466.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1313 | X=0111.170-0379.660 | Y=0467.180-0478.420 | 762 Các đoạn từ ngã tư Tân Lập đi về các hướng (xã Thống
P=1313 | X=0111.170-0368.610 | Y=0478.460-0489.700 | Nhất và xã Trị An) 0,5km có hiện trạng là đường nhựa, bê
P=1313 | X=0111.170-0171.330 | Y=0489.980-0501.220 | tông xi măng:
P=1313 | X=0094.820-0105.940 | Y=0497.860-0507.180 | 53
P=1313 | X=0408.860-0425.500 | Y=0497.860-0507.180 | 650
P=1313 | X=0456.410-0473.050 | Y=0497.860-0507.180 | 460
P=1313 | X=0505.630-0522.270 | Y=0497.860-0507.180 | 390
P=1313 | X=0111.170-0352.280 | Y=0507.500-0518.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1313 | X=0111.170-0153.310 | Y=0520.900-0530.220 | >1.000m.
P=1313 | X=0111.170-0334.810 | Y=0536.570-0547.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1313 | X=0111.170-0384.680 | Y=0554.330-0565.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1313 | X=0111.170-0364.200 | Y=0565.850-0577.090 | ra Đường tỉnh 762 Các đoạn từ ngã tư Tân Lập đi về các
P=1313 | X=0111.170-0373.630 | Y=0577.370-0588.610 | hướng (xã Thống Nhất và xã Trị An) 0,5km có hiện trạng là
P=1313 | X=0111.170-0246.940 | Y=0588.890-0600.130 | đường nhựa, bê tông xi măng:
P=1313 | X=0094.820-0105.940 | Y=0596.770-0606.090 | 54
P=1313 | X=0400.700-0425.750 | Y=0596.770-0606.090 | 1.100
P=1313 | X=0456.410-0473.050 | Y=0596.770-0606.090 | 770
P=1313 | X=0505.630-0522.270 | Y=0596.770-0606.090 | 660
P=1313 | X=0111.170-0342.250 | Y=0606.410-0617.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1313 | X=0111.170-0352.280 | Y=0623.950-0635.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1313 | X=0111.170-0144.680 | Y=0635.470-0646.710 | ≤500m.
P=1313 | X=0111.170-0384.680 | Y=0653.230-0664.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1313 | X=0111.170-0364.200 | Y=0664.510-0675.750 | ra Đường tỉnh 762 Các đoạn từ ngã tư Tân Lập đi về các
P=1313 | X=0094.820-0373.630 | Y=0676.030-0690.350 | 55 hướng (xã Thống Nhất và xã Trị An) 0,5km có hiện trạng là
P=1313 | X=0408.860-0425.500 | Y=0681.030-0690.350 | 850
P=1313 | X=0456.410-0473.050 | Y=0681.030-0690.350 | 600
P=1313 | X=0505.630-0522.270 | Y=0681.030-0690.350 | 510
P=1313 | X=0111.170-0246.940 | Y=0687.550-0698.790 | đường nhựa, bê tông xi măng:
P=1313 | X=0111.170-0342.730 | Y=0705.090-0716.330 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1314 | X=0111.170-0364.480 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1314 | X=0111.170-0206.120 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1314 | X=0111.170-0334.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1314 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1314 | X=0111.170-0364.200 | Y=0136.850-0148.090 | ra Đường tỉnh 762 Các đoạn từ ngã tư Tân Lập đi về các
P=1314 | X=0111.170-0373.630 | Y=0148.370-0159.610 | hướng (xã Thống Nhất và xã Trị An) 0,5km có hiện trạng là
P=1314 | X=0111.170-0246.940 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=1314 | X=0094.820-0105.940 | Y=0167.530-0176.850 | 56
P=1314 | X=0408.860-0425.500 | Y=0167.530-0176.850 | 590
P=1314 | X=0456.410-0473.050 | Y=0167.530-0176.850 | 410
P=1314 | X=0505.630-0522.270 | Y=0167.530-0176.850 | 350
P=1314 | X=0111.170-0352.280 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1314 | X=0111.170-0153.310 | Y=0190.570-0199.890 | >1.000m.
P=1314 | X=0111.170-0334.810 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1314 | X=0220.150-0280.980 | Y=0223.990-0235.230 | Đường Trảng
P=1314 | X=0111.170-0214.150 | Y=0229.750-0240.990 | Đường liên ấp Lợi Hà -
P=1314 | X=0301.080-0357.320 | Y=0235.510-0246.750 | Hương lộ 24
P=1314 | X=0094.820-0105.940 | Y=0237.390-0246.710 | 57
P=1314 | X=0220.150-0278.110 | Y=0237.390-0246.710 | Bom - Thanh
P=1314 | X=0400.700-0425.750 | Y=0237.390-0246.710 | 1.800
P=1314 | X=0448.250-0473.300 | Y=0237.390-0246.710 | 1.300
P=1314 | X=0497.470-0522.520 | Y=0237.390-0246.710 | 1.100
P=1314 | X=0111.170-0159.730 | Y=0243.150-0252.470 | Tân Thành
P=1314 | X=0220.150-0240.860 | Y=0248.910-0258.230 | Bình
P=1314 | X=0111.170-0377.950 | Y=0264.790-0276.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1314 | X=0111.170-0373.400 | Y=0276.310-0287.550 | ấp Lợi Hà - Tân Thành đoạn từ Đường Trảng Bom - Thanh
P=1314 | X=0111.170-0379.150 | Y=0287.860-0299.100 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1314 | X=0111.170-0149.000 | Y=0299.380-0310.620 | xi măng:
P=1314 | X=0094.820-0105.940 | Y=0307.260-0316.580 | 58
P=1314 | X=0408.860-0425.500 | Y=0307.260-0316.580 | 830
P=1314 | X=0456.410-0473.050 | Y=0307.260-0316.580 | 580
P=1314 | X=0505.630-0522.270 | Y=0307.260-0316.580 | 500
P=1314 | X=0111.170-0342.250 | Y=0316.900-0328.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1314 | X=0111.170-0352.280 | Y=0334.420-0345.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1314 | X=0111.170-0144.690 | Y=0345.700-0356.940 | ≤500m.
P=1314 | X=0111.170-0377.950 | Y=0363.460-0374.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1314 | X=0111.170-0373.400 | Y=0375.000-0386.240 | ấp Lợi Hà - Tân Thành đoạn từ Đường Trảng Bom - Thanh
P=1314 | X=0111.170-0379.150 | Y=0386.520-0397.760 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1314 | X=0111.170-0149.000 | Y=0398.040-0409.280 | xi măng:
P=1314 | X=0094.820-0342.720 | Y=0414.800-0426.800 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1314 | X=0408.860-0425.500 | Y=0414.800-0424.120 | 690
P=1314 | X=0456.410-0473.050 | Y=0414.800-0424.120 | 480
P=1314 | X=0505.630-0522.270 | Y=0414.800-0424.120 | 410
P=1314 | X=0111.170-0364.480 | Y=0433.080-0444.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1314 | X=0111.170-0206.120 | Y=0444.600-0455.840 | >500m đến ≤1.000m.
P=1314 | X=0111.170-0334.340 | Y=0462.140-0473.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1314 | X=0111.170-0377.950 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1314 | X=0111.170-0373.400 | Y=0491.420-0502.660 | ấp Lợi Hà - Tân Thành đoạn từ Đường Trảng Bom - Thanh
P=1314 | X=0111.170-0379.150 | Y=0502.940-0514.180 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1314 | X=0111.170-0149.000 | Y=0514.220-0525.460 | xi măng:
P=1314 | X=0094.820-0105.940 | Y=0522.100-0531.420 | 60
P=1314 | X=0408.860-0425.500 | Y=0522.100-0531.420 | 480
P=1314 | X=0456.410-0473.050 | Y=0522.100-0531.420 | 340
P=1314 | X=0505.630-0522.270 | Y=0522.100-0531.420 | 290
P=1314 | X=0111.170-0352.280 | Y=0531.740-0542.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1314 | X=0111.170-0153.310 | Y=0545.170-0554.490 | >1.000m.
P=1314 | X=0111.170-0334.810 | Y=0560.810-0572.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1314 | X=0111.170-0384.680 | Y=0578.570-0589.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1314 | X=0111.170-0377.270 | Y=0590.090-0601.330 | ra Đường liên ấp Lợi Hà - Tân Thành đoạn từ Đường Trảng
P=1314 | X=0111.170-0374.620 | Y=0601.610-0612.850 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1314 | X=0111.170-0214.280 | Y=0613.130-0624.370 | nhựa, bê tông xi măng:
P=1314 | X=0094.820-0105.940 | Y=0621.030-0630.350 | 61
P=1314 | X=0408.860-0425.500 | Y=0621.030-0630.350 | 750
P=1314 | X=0456.410-0473.050 | Y=0621.030-0630.350 | 530
P=1314 | X=0505.630-0522.270 | Y=0621.030-0630.350 | 450
P=1314 | X=0111.170-0342.250 | Y=0630.670-0641.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1314 | X=0111.170-0352.280 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1314 | X=0111.170-0144.690 | Y=0659.710-0670.950 | ≤500m.
P=1314 | X=0111.170-0384.680 | Y=0677.470-0688.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1314 | X=0094.820-0377.270 | Y=0688.750-0699.990 | 62 ra Đường liên ấp Lợi Hà - Tân Thành đoạn từ Đường Trảng
P=1314 | X=0408.860-0425.500 | Y=0690.630-0699.950 | 620
P=1314 | X=0456.410-0473.050 | Y=0690.630-0699.950 | 430
P=1314 | X=0505.630-0522.270 | Y=0690.630-0699.950 | 370
P=1314 | X=0111.170-0374.620 | Y=0700.290-0711.530 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1315 | X=0111.170-0214.300 | Y=0072.500-0083.740 | nhựa, bê tông xi măng:
P=1315 | X=0111.170-0342.720 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1315 | X=0111.170-0364.480 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1315 | X=0111.170-0206.120 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1315 | X=0111.170-0334.340 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1315 | X=0111.170-0384.680 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1315 | X=0111.170-0377.270 | Y=0165.650-0176.890 | ra Đường liên ấp Lợi Hà - Tân Thành đoạn từ Đường Trảng
P=1315 | X=0111.170-0374.620 | Y=0177.170-0188.410 | Bom - Thanh Bình đến Hương lộ 24 có hiện trạng là đường
P=1315 | X=0111.170-0214.280 | Y=0188.690-0199.930 | nhựa, bê tông xi măng:
P=1315 | X=0094.820-0105.940 | Y=0196.570-0205.890 | 63
P=1315 | X=0408.860-0425.500 | Y=0196.570-0205.890 | 430
P=1315 | X=0456.410-0473.050 | Y=0196.570-0205.890 | 300
P=1315 | X=0505.630-0522.270 | Y=0196.570-0205.890 | 260
P=1315 | X=0111.170-0352.280 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1315 | X=0111.170-0153.310 | Y=0219.630-0228.950 | >1.000m.
P=1315 | X=0111.170-0334.810 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1315 | X=0220.150-0280.980 | Y=0253.030-0264.270 | Đường Trảng
P=1315 | X=0301.080-0371.250 | Y=0258.790-0270.030 | Đường tỉnh 762
P=1315 | X=0094.820-0167.410 | Y=0264.550-0275.790 | 64 Hương lộ 24
P=1315 | X=0220.150-0278.110 | Y=0266.430-0275.750 | Bom - Thanh
P=1315 | X=0400.700-0425.750 | Y=0266.430-0275.750 | 1.800
P=1315 | X=0448.250-0473.300 | Y=0266.430-0275.750 | 1.300
P=1315 | X=0497.470-0522.520 | Y=0266.430-0275.750 | 1.100
P=1315 | X=0301.080-0374.510 | Y=0272.190-0281.510 | (Trị An - Sóc Lu)
P=1315 | X=0220.150-0240.860 | Y=0277.950-0287.270 | Bình
P=1315 | X=0111.170-0384.220 | Y=0293.860-0305.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 24
P=1315 | X=0111.170-0385.190 | Y=0305.380-0316.620 | đoạn từ Đường Trảng Bom - Thanh Bình đến Đường tỉnh 762
P=1315 | X=0111.170-0363.560 | Y=0316.900-0328.140 | (Trị An - Sóc Lu) có hiện trạng là đường nhựa, bê tông xi
P=1315 | X=0111.170-0139.170 | Y=0328.420-0339.660 | măng:
P=1315 | X=0094.820-0105.940 | Y=0336.300-0345.620 | 65
P=1315 | X=0408.860-0425.500 | Y=0336.300-0345.620 | 830
P=1315 | X=0456.410-0473.050 | Y=0336.300-0345.620 | 580
P=1315 | X=0505.630-0522.270 | Y=0336.300-0345.620 | 500
P=1315 | X=0111.170-0342.250 | Y=0345.700-0356.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1315 | X=0111.170-0352.280 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1315 | X=0111.170-0144.690 | Y=0374.760-0386.000 | ≤500m.
P=1315 | X=0111.170-0384.220 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 24
P=1315 | X=0111.170-0385.180 | Y=0404.040-0415.280 | đoạn từ Đường Trảng Bom - Thanh Bình đến Đường tỉnh 762
P=1315 | X=0111.170-0363.560 | Y=0415.560-0426.800 | (Trị An - Sóc Lu) có hiện trạng là đường nhựa, bê tông xi
P=1315 | X=0111.170-0139.170 | Y=0427.080-0438.320 | măng:
P=1315 | X=0094.820-0342.720 | Y=0443.600-0455.840 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1315 | X=0408.860-0425.500 | Y=0443.600-0452.920 | 620
P=1315 | X=0456.410-0473.050 | Y=0443.600-0452.920 | 430
P=1315 | X=0505.630-0522.270 | Y=0443.600-0452.920 | 370
P=1315 | X=0111.170-0364.480 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1315 | X=0111.170-0206.120 | Y=0473.660-0484.900 | >500m đến ≤1.000m.
P=1315 | X=0111.170-0334.340 | Y=0491.180-0502.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1315 | X=0111.170-0384.220 | Y=0508.940-0520.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 24
P=1315 | X=0111.170-0385.190 | Y=0520.220-0531.460 | đoạn từ Đường Trảng Bom - Thanh Bình đến Đường tỉnh 762
P=1315 | X=0111.170-0363.560 | Y=0531.740-0542.980 | (Trị An - Sóc Lu) có hiện trạng là đường nhựa, bê tông xi
P=1315 | X=0111.170-0139.170 | Y=0543.290-0554.530 | măng:
P=1315 | X=0094.820-0105.940 | Y=0551.170-0560.490 | 67
P=1315 | X=0408.860-0425.500 | Y=0551.170-0560.490 | 480
P=1315 | X=0456.410-0473.050 | Y=0551.170-0560.490 | 340
P=1315 | X=0505.630-0522.270 | Y=0551.170-0560.490 | 290
P=1315 | X=0111.170-0352.280 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1315 | X=0111.170-0153.310 | Y=0574.210-0583.530 | >1.000m.
P=1315 | X=0111.170-0334.810 | Y=0589.850-0601.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1315 | X=0111.170-0384.680 | Y=0607.610-0618.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1315 | X=0111.170-0382.780 | Y=0619.150-0630.390 | ra Hương lộ 24 đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1315 | X=0111.170-0361.160 | Y=0630.670-0641.910 | Đường tỉnh 762 (Trị An - Sóc Lu) có hiện trạng là đường
P=1315 | X=0111.170-0214.280 | Y=0642.190-0653.430 | nhựa, bê tông xi măng:
P=1315 | X=0094.820-0105.940 | Y=0650.070-0659.390 | 68
P=1315 | X=0408.860-0425.500 | Y=0650.070-0659.390 | 750
P=1315 | X=0456.410-0473.050 | Y=0650.070-0659.390 | 530
P=1315 | X=0505.630-0522.270 | Y=0650.070-0659.390 | 450
P=1315 | X=0111.170-0342.250 | Y=0659.710-0670.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1315 | X=0111.170-0352.280 | Y=0677.230-0688.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1315 | X=0111.170-0144.690 | Y=0688.510-0699.750 | ≤500m.
P=1315 | X=0094.820-0384.680 | Y=0706.290-0717.530 | 69 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1315 | X=0408.860-0425.500 | Y=0708.180-0717.500 | 560
P=1315 | X=0456.410-0473.050 | Y=0708.180-0717.500 | 390
P=1315 | X=0505.630-0522.270 | Y=0708.180-0717.500 | 340
P=1316 | X=0111.170-0382.780 | Y=0072.500-0083.740 | ra Hương lộ 24 đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1316 | X=0111.170-0361.160 | Y=0084.020-0095.260 | Đường tỉnh 762 (Trị An - Sóc Lu) có hiện trạng là đường
P=1316 | X=0111.170-0214.280 | Y=0095.540-0106.780 | nhựa, bê tông xi măng:
P=1316 | X=0111.170-0342.720 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1316 | X=0111.170-0364.480 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1316 | X=0111.170-0206.120 | Y=0142.130-0153.370 | >500m đến ≤1.000m.
P=1316 | X=0111.170-0334.340 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1316 | X=0111.170-0384.680 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1316 | X=0111.170-0382.780 | Y=0188.690-0199.930 | ra Hương lộ 24 đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1316 | X=0111.170-0361.160 | Y=0200.230-0211.470 | Đường tỉnh 762 (Trị An - Sóc Lu) có hiện trạng là đường
P=1316 | X=0111.170-0214.280 | Y=0211.750-0222.990 | nhựa, bê tông xi măng:
P=1316 | X=0094.820-0105.940 | Y=0219.630-0228.950 | 70
P=1316 | X=0408.860-0425.500 | Y=0219.630-0228.950 | 430
P=1316 | X=0456.410-0473.050 | Y=0219.630-0228.950 | 300
P=1316 | X=0505.630-0522.270 | Y=0219.630-0228.950 | 260
P=1316 | X=0111.170-0352.280 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1316 | X=0111.170-0153.310 | Y=0242.670-0251.990 | >1.000m.
P=1316 | X=0111.170-0334.810 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1316 | X=0220.150-0280.980 | Y=0276.070-0287.310 | Đường Trảng
P=1316 | X=0111.170-0200.710 | Y=0281.860-0293.100 | Đường Trường An -
P=1316 | X=0301.080-0357.320 | Y=0287.620-0298.860 | Hương lộ 24
P=1316 | X=0094.820-0105.940 | Y=0289.500-0298.820 | 71
P=1316 | X=0220.150-0278.110 | Y=0289.500-0298.820 | Bom - Thanh
P=1316 | X=0400.700-0425.750 | Y=0289.500-0298.820 | 1.700
P=1316 | X=0448.250-0473.300 | Y=0289.500-0298.820 | 1.200
P=1316 | X=0497.470-0522.520 | Y=0289.500-0298.820 | 1.000
P=1316 | X=0111.170-0159.730 | Y=0295.260-0304.580 | Tân Thành
P=1316 | X=0220.150-0240.860 | Y=0301.020-0310.340 | Bình
P=1316 | X=0111.170-0359.490 | Y=0316.900-0328.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1316 | X=0111.170-0378.450 | Y=0328.420-0339.660 | Trường An - Tân Thành đoạn từ Đường Trảng Bom - Thanh
P=1316 | X=0111.170-0379.150 | Y=0339.700-0350.940 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1316 | X=0111.170-0149.000 | Y=0351.220-0362.460 | xi măng:
P=1316 | X=0094.820-0105.940 | Y=0359.100-0368.420 | 72
P=1316 | X=0408.860-0425.500 | Y=0359.100-0368.420 | 890
P=1316 | X=0456.410-0473.050 | Y=0359.100-0368.420 | 620
P=1316 | X=0505.630-0522.270 | Y=0359.100-0368.420 | 530
P=1316 | X=0111.170-0342.250 | Y=0368.760-0380.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1316 | X=0111.170-0352.280 | Y=0386.280-0397.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1316 | X=0111.170-0144.690 | Y=0397.800-0409.040 | ≤500m.
P=1316 | X=0111.170-0359.490 | Y=0415.560-0426.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1316 | X=0111.170-0378.450 | Y=0427.080-0438.320 | Trường An - Tân Thành đoạn từ Đường Trảng Bom - Thanh
P=1316 | X=0111.170-0379.150 | Y=0438.600-0449.840 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1316 | X=0111.170-0149.000 | Y=0450.140-0461.380 | xi măng:
P=1316 | X=0094.820-0342.720 | Y=0466.660-0478.900 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1316 | X=0408.860-0425.500 | Y=0466.660-0475.980 | 620
P=1316 | X=0456.410-0473.050 | Y=0466.660-0475.980 | 430
P=1316 | X=0505.630-0522.270 | Y=0466.660-0475.980 | 370
P=1316 | X=0111.170-0364.480 | Y=0485.180-0496.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1316 | X=0111.170-0206.120 | Y=0496.460-0507.700 | >500m đến ≤1.000m.
P=1316 | X=0111.170-0334.340 | Y=0513.980-0525.220 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1316 | X=0111.170-0359.490 | Y=0531.740-0542.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1316 | X=0111.170-0378.450 | Y=0543.290-0554.530 | Trường An - Tân Thành đoạn từ Đường Trảng Bom - Thanh
P=1316 | X=0111.170-0379.150 | Y=0554.810-0566.050 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1316 | X=0111.170-0149.000 | Y=0566.330-0577.570 | xi măng:
P=1316 | X=0094.820-0105.940 | Y=0574.210-0583.530 | 74
P=1316 | X=0408.860-0425.500 | Y=0574.210-0583.530 | 480
P=1316 | X=0456.410-0473.050 | Y=0574.210-0583.530 | 340
P=1316 | X=0505.630-0522.270 | Y=0574.210-0583.530 | 290
P=1316 | X=0111.170-0352.280 | Y=0583.850-0595.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1316 | X=0111.170-0153.310 | Y=0597.250-0606.570 | >1.000m.
