TABLE=033 | AREA=Xã Sông Ray | SECTION=non-agricultural | SEGMENTS=1
P=1153 | X=0111.410-0375.330 | Y=0253.030-0264.270 | ra Đường tỉnh 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối
P=1153 | X=0111.410-0338.410 | Y=0264.550-0275.790 | Thề có hiện trạng là đường nhựa, bê tông xi măng:
P=1153 | X=0095.060-0342.960 | Y=0282.100-0296.180 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1153 | X=0413.900-0430.540 | Y=0286.860-0296.180 | 850
P=1153 | X=0461.690-0478.330 | Y=0286.860-0296.180 | 600
P=1153 | X=0505.390-0522.030 | Y=0286.860-0296.180 | 510
P=1153 | X=0111.410-0364.720 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1153 | X=0111.410-0206.360 | Y=0311.140-0322.380 | >500m đến ≤1.000m.
P=1153 | X=0111.410-0334.580 | Y=0328.660-0339.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1153 | X=0111.410-0384.920 | Y=0346.420-0357.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1153 | X=0111.410-0375.330 | Y=0357.700-0368.940 | ra Đường tỉnh 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối
P=1153 | X=0111.410-0338.410 | Y=0369.240-0380.480 | Thề có hiện trạng là đường nhựa, bê tông xi măng:
P=1153 | X=0095.060-0106.180 | Y=0382.880-0392.200 | 56
P=1153 | X=0413.900-0430.540 | Y=0382.880-0392.200 | 650
P=1153 | X=0461.690-0478.330 | Y=0382.880-0392.200 | 460
P=1153 | X=0505.390-0522.030 | Y=0382.880-0392.200 | 390
P=1153 | X=0111.410-0352.520 | Y=0386.760-0398.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1153 | X=0111.410-0153.550 | Y=0400.160-0409.480 | >1.000m.
P=1153 | X=0111.410-0335.050 | Y=0415.800-0427.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1153 | X=0095.060-0181.580 | Y=0433.560-0444.800 | 57 Đường tỉnh 765
P=1153 | X=0220.630-0281.940 | Y=0435.440-0444.760 | Cầu Suối Thề
P=1153 | X=0303.240-0386.340 | Y=0435.440-0444.760 | Hết chùa Thiên Ân
P=1153 | X=0405.740-0430.790 | Y=0435.440-0444.760 | 3.300
P=1153 | X=0453.530-0478.580 | Y=0435.440-0444.760 | 2.300
P=1153 | X=0497.230-0522.280 | Y=0435.440-0444.760 | 2.000
P=1153 | X=0111.410-0378.950 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1153 | X=0111.410-0369.580 | Y=0462.860-0474.100 | 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên Ân có hiện
P=1153 | X=0111.410-0283.190 | Y=0474.380-0485.620 | trạng là đường nhựa, bê tông xi măng:
P=1153 | X=0095.060-0106.180 | Y=0482.260-0491.580 | 58
P=1153 | X=0405.740-0430.790 | Y=0482.260-0491.580 | 1.600
P=1153 | X=0453.530-0478.580 | Y=0482.260-0491.580 | 1.100
P=1153 | X=0505.390-0522.030 | Y=0482.260-0491.580 | 960
P=1153 | X=0111.410-0342.490 | Y=0491.900-0503.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1153 | X=0111.410-0388.600 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1153 | X=0111.410-0378.950 | Y=0527.180-0538.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1153 | X=0111.410-0369.580 | Y=0538.490-0549.730 | 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên Ân có hiện
P=1153 | X=0111.410-0283.190 | Y=0550.010-0561.250 | trạng là đường nhựa, bê tông xi măng:
P=1153 | X=0095.060-0342.960 | Y=0567.530-0581.850 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1153 | X=0413.900-0430.540 | Y=0572.530-0581.850 | 940
P=1153 | X=0461.690-0478.330 | Y=0572.530-0581.850 | 660
P=1153 | X=0505.390-0522.030 | Y=0572.530-0581.850 | 560
P=1153 | X=0111.410-0364.720 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1153 | X=0111.410-0206.360 | Y=0596.570-0607.810 | >500m đến ≤1.000m.
P=1153 | X=0111.410-0334.580 | Y=0614.090-0625.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1153 | X=0111.410-0378.950 | Y=0631.870-0643.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1153 | X=0111.410-0369.580 | Y=0643.390-0654.630 | 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên Ân có hiện
P=1153 | X=0111.410-0283.190 | Y=0654.910-0666.150 | trạng là đường nhựa, bê tông xi măng:
P=1153 | X=0095.060-0106.180 | Y=0668.550-0677.870 | 60
P=1153 | X=0413.900-0430.540 | Y=0668.550-0677.870 | 720
P=1153 | X=0461.690-0478.330 | Y=0668.550-0677.870 | 500
P=1153 | X=0505.390-0522.030 | Y=0668.550-0677.870 | 430
P=1153 | X=0111.410-0352.520 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1153 | X=0111.410-0153.550 | Y=0685.830-0695.150 | >1.000m.
P=1153 | X=0111.410-0335.070 | Y=0701.490-0712.730 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1154 | X=0111.410-0384.920 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1154 | X=0111.410-0384.420 | Y=0090.020-0101.260 | ra Đường tỉnh 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên
P=1154 | X=0111.410-0333.370 | Y=0101.540-0112.780 | Ân có hiện trạng là đường nhựa, bê tông xi măng:
P=1154 | X=0095.060-0106.180 | Y=0109.420-0118.740 | 61
P=1154 | X=0405.740-0430.790 | Y=0109.420-0118.740 | 1.400
P=1154 | X=0461.690-0478.330 | Y=0109.420-0118.740 | 980
P=1154 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 840
P=1154 | X=0111.410-0342.490 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1154 | X=0111.410-0388.600 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1154 | X=0111.410-0384.920 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1154 | X=0111.410-0384.420 | Y=0165.650-0176.890 | ra Đường tỉnh 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên
P=1154 | X=0111.410-0333.370 | Y=0177.170-0188.410 | Ân có hiện trạng là đường nhựa, bê tông xi măng:
P=1154 | X=0095.060-0342.960 | Y=0194.690-0209.030 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1154 | X=0413.900-0430.540 | Y=0199.710-0209.030 | 850
P=1154 | X=0461.690-0478.330 | Y=0199.710-0209.030 | 600
P=1154 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 510
P=1154 | X=0111.410-0364.720 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1154 | X=0111.410-0206.360 | Y=0223.750-0234.990 | >500m đến ≤1.000m.
P=1154 | X=0111.410-0334.580 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1154 | X=0111.410-0384.920 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1154 | X=0111.410-0384.420 | Y=0270.550-0281.790 | ra Đường tỉnh 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên
P=1154 | X=0111.410-0333.370 | Y=0282.100-0293.340 | Ân có hiện trạng là đường nhựa, bê tông xi măng:
P=1154 | X=0095.060-0106.180 | Y=0295.740-0305.060 | 63
P=1154 | X=0413.900-0430.540 | Y=0295.740-0305.060 | 650
P=1154 | X=0461.690-0478.330 | Y=0295.740-0305.060 | 460
P=1154 | X=0505.390-0522.030 | Y=0295.740-0305.060 | 390
P=1154 | X=0111.410-0352.520 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1154 | X=0111.410-0153.550 | Y=0313.020-0322.340 | >1.000m.
P=1154 | X=0111.410-0335.050 | Y=0328.660-0339.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1154 | X=0303.240-0385.150 | Y=0346.420-0357.660 | Hết cây xăng Vĩnh
P=1154 | X=0220.630-0288.640 | Y=0348.300-0357.620 | Hết chùa Thiên
P=1154 | X=0095.060-0181.580 | Y=0351.940-0363.180 | 64 Đường tỉnh 765
P=1154 | X=0405.740-0430.790 | Y=0353.820-0363.140 | 2.600
P=1154 | X=0453.530-0478.580 | Y=0353.820-0363.140 | 1.800
P=1154 | X=0497.230-0522.280 | Y=0353.820-0363.140 | 1.600
P=1154 | X=0220.630-0232.950 | Y=0359.580-0368.900 | Ân
P=1154 | X=0303.240-0321.570 | Y=0359.580-0368.900 | Hòa
P=1154 | X=0111.410-0378.950 | Y=0375.480-0386.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1154 | X=0111.410-0389.690 | Y=0387.000-0398.240 | 765 đoạn từ Hết chùa Thiên Ân đến Hết cây xăng Vĩnh Hòa có
P=1154 | X=0111.410-0305.020 | Y=0398.520-0409.760 | hiện trạng là đường nhựa, bê tông xi măng:
P=1154 | X=0095.060-0106.180 | Y=0406.400-0415.720 | 65
P=1154 | X=0405.740-0430.790 | Y=0406.400-0415.720 | 1.300
P=1154 | X=0461.690-0478.330 | Y=0406.400-0415.720 | 910
P=1154 | X=0505.390-0522.030 | Y=0406.400-0415.720 | 780
P=1154 | X=0111.410-0342.490 | Y=0416.040-0427.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1154 | X=0111.410-0388.600 | Y=0433.560-0444.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1154 | X=0111.410-0378.950 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1154 | X=0111.410-0389.690 | Y=0462.860-0474.100 | 765 đoạn từ Hết chùa Thiên Ân đến Hết cây xăng Vĩnh Hòa có
P=1154 | X=0111.410-0305.020 | Y=0474.380-0485.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=1154 | X=0095.060-0342.960 | Y=0491.900-0505.980 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1154 | X=0413.900-0430.540 | Y=0496.660-0505.980 | 940
P=1154 | X=0461.690-0478.330 | Y=0496.660-0505.980 | 660
P=1154 | X=0505.390-0522.030 | Y=0496.660-0505.980 | 560
P=1154 | X=0111.410-0364.720 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1154 | X=0111.410-0206.360 | Y=0520.940-0532.180 | >500m đến ≤1.000m.
P=1154 | X=0111.410-0334.580 | Y=0538.250-0549.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1154 | X=0111.410-0378.950 | Y=0556.010-0567.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1154 | X=0111.410-0389.690 | Y=0567.530-0578.770 | 765 đoạn từ Hết chùa Thiên Ân đến Hết cây xăng Vĩnh Hòa có
P=1154 | X=0111.410-0305.020 | Y=0579.050-0590.290 | hiện trạng là đường nhựa, bê tông xi măng:
P=1154 | X=0095.060-0106.180 | Y=0592.690-0602.010 | 67
P=1154 | X=0413.900-0430.540 | Y=0592.690-0602.010 | 720
P=1154 | X=0461.690-0478.330 | Y=0592.690-0602.010 | 500
P=1154 | X=0505.390-0522.030 | Y=0592.690-0602.010 | 430
P=1154 | X=0111.410-0352.520 | Y=0596.570-0607.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1154 | X=0111.410-0153.550 | Y=0609.970-0619.290 | >1.000m.
P=1154 | X=0111.410-0335.050 | Y=0625.630-0636.870 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1154 | X=0111.410-0384.920 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1154 | X=0111.410-0372.110 | Y=0654.910-0666.150 | ra Đường tỉnh 765 đoạn từ Hết chùa Thiên Ân đến Hết cây
P=1154 | X=0111.410-0387.160 | Y=0666.430-0677.670 | xăng Vĩnh Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1154 | X=0095.060-0106.180 | Y=0674.310-0683.630 | 68
P=1154 | X=0405.740-0430.790 | Y=0674.310-0683.630 | 1.200
P=1154 | X=0461.690-0478.330 | Y=0674.310-0683.630 | 840
P=1154 | X=0505.390-0522.030 | Y=0674.310-0683.630 | 720
P=1154 | X=0111.410-0342.490 | Y=0683.950-0695.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1154 | X=0111.410-0388.600 | Y=0701.490-0712.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1155 | X=0111.410-0384.920 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1155 | X=0111.410-0372.110 | Y=0090.020-0101.260 | ra Đường tỉnh 765 đoạn từ Hết chùa Thiên Ân đến Hết cây
P=1155 | X=0111.410-0387.160 | Y=0101.540-0112.780 | xăng Vĩnh Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1155 | X=0095.060-0342.960 | Y=0119.090-0133.170 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1155 | X=0413.900-0430.540 | Y=0123.850-0133.170 | 850
P=1155 | X=0461.690-0478.330 | Y=0123.850-0133.170 | 600
P=1155 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 510
P=1155 | X=0111.410-0364.720 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1155 | X=0111.410-0206.360 | Y=0148.130-0159.370 | >500m đến ≤1.000m.
P=1155 | X=0111.410-0334.580 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1155 | X=0111.410-0384.920 | Y=0183.170-0194.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1155 | X=0111.410-0372.110 | Y=0194.690-0205.930 | ra Đường tỉnh 765 đoạn từ Hết chùa Thiên Ân đến Hết cây
P=1155 | X=0111.410-0387.160 | Y=0206.230-0217.470 | xăng Vĩnh Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1155 | X=0095.060-0106.180 | Y=0219.870-0229.190 | 70
P=1155 | X=0413.900-0430.540 | Y=0219.870-0229.190 | 650
P=1155 | X=0461.690-0478.330 | Y=0219.870-0229.190 | 460
P=1155 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 390
P=1155 | X=0111.410-0352.520 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1155 | X=0111.410-0153.550 | Y=0237.150-0246.470 | >1.000m.
P=1155 | X=0111.410-0335.050 | Y=0252.790-0264.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1155 | X=0303.240-0379.310 | Y=0270.550-0281.790 | Đường ấp 5 Lâm
P=1155 | X=0220.630-0302.570 | Y=0276.310-0287.550 | Hết cây xăng Vĩnh
P=1155 | X=0095.060-0181.580 | Y=0282.100-0293.340 | 71 Đường tỉnh 765
P=1155 | X=0303.240-0360.200 | Y=0283.980-0293.300 | San - Quảng
P=1155 | X=0405.740-0430.790 | Y=0283.980-0293.300 | 2.300
P=1155 | X=0453.530-0478.580 | Y=0283.980-0293.300 | 1.600
P=1155 | X=0497.230-0522.280 | Y=0283.980-0293.300 | 1.400
P=1155 | X=0220.630-0238.960 | Y=0289.740-0299.060 | Hòa
P=1155 | X=0303.240-0331.650 | Y=0295.500-0304.820 | Thành
P=1155 | X=0111.410-0378.950 | Y=0311.380-0322.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1155 | X=0111.410-0389.950 | Y=0322.900-0334.140 | 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường ấp 5 Lâm San
P=1155 | X=0111.410-0388.350 | Y=0334.420-0345.660 | - Quảng Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=1155 | X=0095.060-0106.180 | Y=0342.300-0351.620 | 72
P=1155 | X=0405.740-0430.790 | Y=0342.300-0351.620 | 1.200
P=1155 | X=0461.690-0478.330 | Y=0342.300-0351.620 | 840
P=1155 | X=0505.390-0522.030 | Y=0342.300-0351.620 | 720
P=1155 | X=0111.410-0342.490 | Y=0351.700-0362.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1155 | X=0111.410-0388.600 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1155 | X=0111.410-0378.950 | Y=0387.000-0398.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1155 | X=0111.410-0389.950 | Y=0398.520-0409.760 | 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường ấp 5 Lâm San
P=1155 | X=0111.410-0388.350 | Y=0410.040-0421.280 | - Quảng Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=1155 | X=0095.060-0342.960 | Y=0427.560-0441.880 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1155 | X=0413.900-0430.540 | Y=0432.560-0441.880 | 940
P=1155 | X=0461.690-0478.330 | Y=0432.560-0441.880 | 660
P=1155 | X=0505.390-0522.030 | Y=0432.560-0441.880 | 560
P=1155 | X=0111.410-0364.720 | Y=0445.080-0456.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1155 | X=0111.410-0206.360 | Y=0456.620-0467.860 | >500m đến ≤1.000m.
P=1155 | X=0111.410-0334.580 | Y=0474.140-0485.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1155 | X=0111.410-0378.950 | Y=0491.900-0503.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1155 | X=0111.410-0389.950 | Y=0503.420-0514.660 | 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường ấp 5 Lâm San
P=1155 | X=0111.410-0388.380 | Y=0514.940-0526.180 | - Quảng Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=1155 | X=0095.060-0106.180 | Y=0528.340-0537.660 | 74
P=1155 | X=0413.900-0430.540 | Y=0528.340-0537.660 | 720
P=1155 | X=0461.690-0478.330 | Y=0528.340-0537.660 | 500
P=1155 | X=0505.390-0522.030 | Y=0528.340-0537.660 | 430
P=1155 | X=0111.410-0352.520 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1155 | X=0111.410-0153.550 | Y=0545.650-0554.970 | >1.000m.
P=1155 | X=0111.410-0335.050 | Y=0561.290-0572.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1155 | X=0111.410-0384.920 | Y=0579.050-0590.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1155 | X=0111.410-0389.980 | Y=0590.570-0601.810 | ra Đường tỉnh 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường
P=1155 | X=0111.410-0376.630 | Y=0602.090-0613.330 | ấp 5 Lâm San - Quảng Thành có hiện trạng là đường nhựa,
P=1155 | X=0095.060-0185.490 | Y=0613.610-0625.050 | 75 bê tông xi măng:
P=1155 | X=0405.740-0430.790 | Y=0615.730-0625.050 | 1.100
P=1155 | X=0461.690-0478.330 | Y=0615.730-0625.050 | 770
P=1155 | X=0505.390-0522.030 | Y=0615.730-0625.050 | 660
P=1155 | X=0111.410-0342.490 | Y=0631.150-0642.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1155 | X=0111.410-0388.600 | Y=0648.670-0659.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1155 | X=0111.410-0384.920 | Y=0666.430-0677.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1155 | X=0111.410-0389.980 | Y=0677.950-0689.190 | ra Đường tỉnh 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường
P=1155 | X=0095.060-0106.180 | Y=0685.590-0694.910 | 76
P=1155 | X=0413.900-0430.540 | Y=0685.590-0694.910 | 850
P=1155 | X=0461.690-0478.330 | Y=0685.590-0694.910 | 600
P=1155 | X=0505.390-0522.030 | Y=0685.590-0694.910 | 510
P=1155 | X=0111.410-0376.630 | Y=0689.470-0700.710 | ấp 5 Lâm San - Quảng Thành có hiện trạng là đường nhựa,
P=1155 | X=0111.410-0185.490 | Y=0700.770-0712.010 | bê tông xi măng:
P=1156 | X=0111.410-0342.960 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1156 | X=0111.410-0364.720 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1156 | X=0111.410-0206.360 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1156 | X=0111.410-0334.580 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1156 | X=0111.410-0384.920 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1156 | X=0111.410-0389.980 | Y=0154.370-0165.610 | ra Đường tỉnh 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường
P=1156 | X=0111.410-0376.630 | Y=0165.650-0176.890 | ấp 5 Lâm San - Quảng Thành có hiện trạng là đường nhựa,
P=1156 | X=0111.410-0185.490 | Y=0177.170-0188.410 | bê tông xi măng:
P=1156 | X=0095.060-0106.180 | Y=0185.050-0194.370 | 77
P=1156 | X=0413.900-0430.540 | Y=0185.050-0194.370 | 650
P=1156 | X=0461.690-0478.330 | Y=0185.050-0194.370 | 460
P=1156 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 390
P=1156 | X=0111.410-0352.520 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1156 | X=0111.410-0153.550 | Y=0208.110-0217.430 | >1.000m.
P=1156 | X=0111.410-0335.050 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1156 | X=0220.630-0299.720 | Y=0241.510-0252.750 | Ngã ba đường ấp
P=1156 | X=0095.060-0181.580 | Y=0253.030-0264.270 | 78 Đường tỉnh 765
P=1156 | X=0220.630-0275.380 | Y=0254.910-0264.230 | 5 Lâm San -
P=1156 | X=0303.240-0363.860 | Y=0254.910-0264.230 | Cầu Gia Hoét
P=1156 | X=0405.740-0430.790 | Y=0254.910-0264.230 | 1.700
P=1156 | X=0453.530-0478.580 | Y=0254.910-0264.230 | 1.200
P=1156 | X=0497.230-0522.280 | Y=0254.910-0264.230 | 1.000
P=1156 | X=0220.630-0281.950 | Y=0266.430-0275.750 | Quảng Thành
P=1156 | X=0111.410-0378.950 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1156 | X=0111.410-0387.590 | Y=0293.860-0305.100 | 765 đoạn từ Ngã ba đường ấp 5 Lâm San - Quảng Thành đến
P=1156 | X=0111.410-0381.640 | Y=0305.380-0316.620 | Cầu Gia Hoét có hiện trạng là đường nhựa, bê tông xi măng:
P=1156 | X=0095.060-0106.180 | Y=0313.260-0322.580 | 79
P=1156 | X=0413.900-0430.540 | Y=0313.260-0322.580 | 850
P=1156 | X=0461.690-0478.330 | Y=0313.260-0322.580 | 600
P=1156 | X=0505.390-0522.030 | Y=0313.260-0322.580 | 510
P=1156 | X=0111.410-0342.490 | Y=0322.900-0334.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1156 | X=0111.410-0388.600 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1156 | X=0111.410-0378.950 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1156 | X=0111.410-0387.590 | Y=0369.480-0380.720 | 765 đoạn từ Ngã ba đường ấp 5 Lâm San - Quảng Thành đến
P=1156 | X=0111.410-0381.640 | Y=0381.000-0392.240 | Cầu Gia Hoét có hiện trạng là đường nhựa, bê tông xi măng:
P=1156 | X=0095.060-0342.960 | Y=0398.520-0412.840 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1156 | X=0413.900-0430.540 | Y=0403.520-0412.840 | 650
P=1156 | X=0461.690-0478.330 | Y=0403.520-0412.840 | 460
P=1156 | X=0505.390-0522.030 | Y=0403.520-0412.840 | 390
P=1156 | X=0111.410-0364.720 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1156 | X=0111.410-0206.360 | Y=0427.560-0438.800 | >500m đến ≤1.000m.
P=1156 | X=0111.410-0334.580 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1156 | X=0111.410-0378.950 | Y=0462.860-0474.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1156 | X=0111.410-0387.590 | Y=0474.380-0485.620 | 765 đoạn từ Ngã ba đường ấp 5 Lâm San - Quảng Thành đến
P=1156 | X=0111.410-0381.660 | Y=0485.900-0497.140 | Cầu Gia Hoét có hiện trạng là đường nhựa, bê tông xi măng:
P=1156 | X=0095.060-0106.180 | Y=0499.540-0508.860 | 81
P=1156 | X=0413.900-0430.540 | Y=0499.540-0508.860 | 520
P=1156 | X=0461.690-0478.330 | Y=0499.540-0508.860 | 360
P=1156 | X=0505.390-0522.030 | Y=0499.540-0508.860 | 310
P=1156 | X=0111.410-0352.520 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1156 | X=0111.410-0153.550 | Y=0516.820-0526.140 | >1.000m.
P=1156 | X=0111.410-0335.050 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1156 | X=0111.410-0384.920 | Y=0550.010-0561.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1156 | X=0111.410-0369.260 | Y=0561.530-0572.770 | ra Đường tỉnh 765 đoạn từ Ngã ba đường ấp 5 Lâm San -
P=1156 | X=0111.410-0388.150 | Y=0573.050-0584.290 | Quảng Thành đến Cầu Gia Hoét có hiện trạng là đường nhựa,
P=1156 | X=0095.060-0185.490 | Y=0584.570-0596.010 | 82 bê tông xi măng:
P=1156 | X=0413.900-0430.540 | Y=0586.690-0596.010 | 770
P=1156 | X=0461.690-0478.330 | Y=0586.690-0596.010 | 540
P=1156 | X=0505.390-0522.030 | Y=0586.690-0596.010 | 460
P=1156 | X=0111.410-0342.490 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1156 | X=0111.410-0388.600 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1156 | X=0111.410-0384.920 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1156 | X=0111.410-0369.260 | Y=0648.910-0660.150 | ra Đường tỉnh 765 đoạn từ Ngã ba đường ấp 5 Lâm San -
P=1156 | X=0111.410-0388.150 | Y=0660.430-0671.670 | Quảng Thành đến Cầu Gia Hoét có hiện trạng là đường nhựa,
P=1156 | X=0095.060-0185.490 | Y=0671.950-0683.390 | 83 bê tông xi măng:
P=1156 | X=0413.900-0430.540 | Y=0674.070-0683.390 | 590
