TABLE=044 | AREA=Xã Phú Vinh | SECTION=non-agricultural | SEGMENTS=1
P=1533 | X=0413.900-0430.540 | Y=0377.120-0386.440 | 350
P=1533 | X=0461.690-0478.330 | Y=0377.120-0386.440 | 250
P=1533 | X=0505.390-0522.030 | Y=0377.120-0386.440 | 210
P=1533 | X=0111.410-0342.490 | Y=0386.760-0398.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1533 | X=0111.410-0388.600 | Y=0404.280-0415.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1533 | X=0111.410-0384.920 | Y=0422.040-0433.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1533 | X=0111.410-0386.750 | Y=0433.560-0444.800 | ra Đường 120 đoạn từ Quốc lộ 20 đến Hết ranh trường THCS
P=1533 | X=0111.410-0358.820 | Y=0445.080-0456.320 | Phú Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1533 | X=0095.060-0342.960 | Y=0462.620-0476.700 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1533 | X=0413.900-0430.540 | Y=0467.380-0476.700 | 230
P=1533 | X=0461.690-0478.330 | Y=0467.380-0476.700 | 160
P=1533 | X=0505.390-0522.030 | Y=0467.380-0476.700 | 140
P=1533 | X=0111.410-0364.720 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1533 | X=0111.410-0206.360 | Y=0491.660-0502.900 | >500m đến ≤1.000m.
P=1533 | X=0111.410-0334.580 | Y=0509.180-0520.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1533 | X=0111.410-0384.920 | Y=0526.940-0538.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1533 | X=0111.410-0386.750 | Y=0538.250-0549.490 | ra Đường 120 đoạn từ Quốc lộ 20 đến Hết ranh trường THCS
P=1533 | X=0111.410-0358.820 | Y=0549.770-0561.010 | Phú Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1533 | X=0095.060-0106.180 | Y=0563.410-0572.730 | 56
P=1533 | X=0413.900-0430.540 | Y=0563.410-0572.730 | 130
P=1533 | X=0467.450-0478.570 | Y=0563.410-0572.730 | 90
P=1533 | X=0511.150-0522.270 | Y=0563.410-0572.730 | 80
P=1533 | X=0111.410-0352.520 | Y=0567.290-0578.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1533 | X=0111.410-0153.550 | Y=0580.690-0590.010 | >1.000m.
P=1533 | X=0111.410-0335.050 | Y=0596.330-0607.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1533 | X=0221.590-0293.470 | Y=0614.090-0625.330 | Hết ranh trường
P=1533 | X=0303.960-0381.550 | Y=0615.970-0625.290 | Giáp ranh xã Tân
P=1533 | X=0095.060-0162.610 | Y=0619.870-0631.110 | 57 Đường 120
P=1533 | X=0413.900-0430.540 | Y=0621.750-0631.070 | 550
P=1533 | X=0461.690-0478.330 | Y=0621.750-0631.070 | 390
P=1533 | X=0505.390-0522.030 | Y=0621.750-0631.070 | 330
P=1533 | X=0221.590-0289.560 | Y=0627.510-0636.830 | THCS Phú Tân
P=1533 | X=0303.960-0321.800 | Y=0627.510-0636.830 | Phú
P=1533 | X=0111.410-0379.170 | Y=0643.390-0654.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 120
P=1533 | X=0111.410-0370.510 | Y=0654.910-0666.150 | đoạn từ Hết ranh trường THCS Phú Tân đến Giáp ranh xã
P=1533 | X=0111.410-0358.820 | Y=0666.430-0677.670 | Tân Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1533 | X=0095.060-0106.180 | Y=0674.310-0683.630 | 58
P=1533 | X=0413.900-0430.540 | Y=0674.310-0683.630 | 270
P=1533 | X=0461.690-0478.330 | Y=0674.310-0683.630 | 190
P=1533 | X=0505.390-0522.030 | Y=0674.310-0683.630 | 160
P=1533 | X=0111.410-0342.490 | Y=0683.950-0695.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1533 | X=0111.410-0388.600 | Y=0701.490-0712.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1534 | X=0111.410-0379.170 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 120
P=1534 | X=0111.410-0370.510 | Y=0090.020-0101.260 | đoạn từ Hết ranh trường THCS Phú Tân đến Giáp ranh xã
P=1534 | X=0111.410-0358.840 | Y=0101.540-0112.780 | Tân Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1534 | X=0095.060-0342.960 | Y=0119.090-0133.170 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1534 | X=0413.900-0430.540 | Y=0123.850-0133.170 | 210
P=1534 | X=0461.690-0478.330 | Y=0123.850-0133.170 | 150
P=1534 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 130
P=1534 | X=0111.410-0364.720 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1534 | X=0111.410-0206.360 | Y=0148.130-0159.370 | >500m đến ≤1.000m.
P=1534 | X=0111.410-0334.580 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1534 | X=0111.410-0379.170 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 120
P=1534 | X=0111.410-0370.510 | Y=0194.690-0205.930 | đoạn từ Hết ranh trường THCS Phú Tân đến Giáp ranh xã
P=1534 | X=0111.410-0358.820 | Y=0206.230-0217.470 | Tân Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1534 | X=0095.060-0106.180 | Y=0219.870-0229.190 | 60
P=1534 | X=0413.900-0430.540 | Y=0219.870-0229.190 | 170
P=1534 | X=0461.690-0478.330 | Y=0219.870-0229.190 | 120
P=1534 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 100
P=1534 | X=0111.410-0352.520 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1534 | X=0111.410-0153.550 | Y=0237.150-0246.470 | >1.000m.
P=1534 | X=0111.410-0335.050 | Y=0252.790-0264.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1534 | X=0111.410-0384.920 | Y=0270.550-0281.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1534 | X=0111.410-0376.060 | Y=0282.100-0293.340 | ra Đường 120 đoạn từ Hết ranh trường THCS Phú Tân đến
P=1534 | X=0111.410-0388.280 | Y=0293.620-0304.860 | Giáp ranh xã Tân Phú có hiện trạng là đường nhựa, bê tông xi
P=1534 | X=0095.060-0139.410 | Y=0305.140-0316.580 | 61 măng:
P=1534 | X=0413.900-0430.540 | Y=0307.260-0316.580 | 240
P=1534 | X=0461.690-0478.330 | Y=0307.260-0316.580 | 170
P=1534 | X=0505.390-0522.030 | Y=0307.260-0316.580 | 140
P=1534 | X=0111.410-0342.490 | Y=0322.660-0333.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1534 | X=0111.410-0388.620 | Y=0339.940-0351.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1534 | X=0111.410-0384.920 | Y=0357.700-0368.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1534 | X=0111.410-0376.060 | Y=0369.240-0380.480 | ra Đường 120 đoạn từ Hết ranh trường THCS Phú Tân đến
P=1534 | X=0111.410-0388.280 | Y=0380.760-0392.000 | Giáp ranh xã Tân Phú có hiện trạng là đường nhựa, bê tông xi
P=1534 | X=0111.410-0139.410 | Y=0392.280-0403.520 | măng:
P=1534 | X=0095.060-0342.960 | Y=0409.040-0421.040 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1534 | X=0413.900-0430.540 | Y=0409.040-0418.360 | 190
P=1534 | X=0461.690-0478.330 | Y=0409.040-0418.360 | 130
P=1534 | X=0505.390-0522.030 | Y=0409.040-0418.360 | 110
P=1534 | X=0111.410-0364.720 | Y=0427.320-0438.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1534 | X=0111.410-0206.360 | Y=0438.840-0450.080 | >500m đến ≤1.000m.
P=1534 | X=0111.410-0334.580 | Y=0456.380-0467.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1534 | X=0111.410-0384.920 | Y=0474.140-0485.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1534 | X=0111.410-0376.060 | Y=0485.660-0496.900 | ra Đường 120 đoạn từ Hết ranh trường THCS Phú Tân đến
P=1534 | X=0111.410-0388.280 | Y=0497.180-0508.420 | Giáp ranh xã Tân Phú có hiện trạng là đường nhựa, bê tông xi
P=1534 | X=0111.410-0139.410 | Y=0508.460-0519.700 | măng:
P=1534 | X=0095.060-0106.180 | Y=0516.340-0525.660 | 63
P=1534 | X=0413.900-0430.540 | Y=0516.340-0525.660 | 150
P=1534 | X=0461.690-0478.330 | Y=0516.340-0525.660 | 110
P=1534 | X=0511.150-0522.270 | Y=0516.340-0525.660 | 90
P=1534 | X=0111.410-0352.520 | Y=0525.980-0537.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1534 | X=0111.410-0153.550 | Y=0539.410-0548.730 | >1.000m.
P=1534 | X=0111.410-0335.050 | Y=0555.050-0566.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1534 | X=0111.410-0199.320 | Y=0572.810-0584.050 | Đường ấp 1 xã Phú
P=1534 | X=0221.590-0290.580 | Y=0572.810-0584.050 | Đường Nguyễn
P=1534 | X=0303.960-0390.460 | Y=0572.810-0584.050 | Hết nghĩa trang (ấp
P=1534 | X=0095.060-0106.180 | Y=0580.450-0589.770 | 64
P=1534 | X=0405.740-0430.810 | Y=0580.450-0589.770 | 1.000
P=1534 | X=0461.690-0478.330 | Y=0580.450-0589.770 | 700
P=1534 | X=0505.390-0522.030 | Y=0580.450-0589.770 | 600
P=1534 | X=0221.590-0261.260 | Y=0584.330-0595.570 | Văn Linh
P=1534 | X=0111.410-0131.650 | Y=0586.210-0595.530 | Vinh
P=1534 | X=0303.960-0345.240 | Y=0586.210-0595.530 | Ba Tầng)
P=1534 | X=0111.410-0382.060 | Y=0602.090-0613.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1534 | X=0111.410-0382.050 | Y=0613.610-0624.850 | xã Phú Vinh đoạn từ Đường Nguyễn Văn Linh đến Hết nghĩa
P=1534 | X=0111.410-0374.340 | Y=0625.150-0636.390 | trang (ấp Ba Tầng) có hiện trạng là đường nhựa, bê tông xi
P=1534 | X=0095.060-0139.410 | Y=0636.670-0648.110 | 65 măng:
P=1534 | X=0413.900-0430.540 | Y=0638.790-0648.110 | 390
P=1534 | X=0461.690-0478.330 | Y=0638.790-0648.110 | 270
P=1534 | X=0505.390-0522.030 | Y=0638.790-0648.110 | 230
P=1534 | X=0111.410-0342.490 | Y=0654.190-0665.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1534 | X=0111.410-0388.600 | Y=0671.710-0682.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1534 | X=0111.410-0382.060 | Y=0689.470-0700.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1534 | X=0095.060-0106.180 | Y=0697.110-0706.430 | 66
P=1534 | X=0413.900-0430.540 | Y=0697.110-0706.430 | 260
P=1534 | X=0461.690-0478.330 | Y=0697.110-0706.430 | 180
P=1534 | X=0505.390-0522.030 | Y=0697.110-0706.430 | 160
P=1534 | X=0111.410-0382.050 | Y=0700.770-0712.010 | xã Phú Vinh đoạn từ Đường Nguyễn Văn Linh đến Hết nghĩa
P=1535 | X=0111.410-0374.340 | Y=0072.500-0083.740 | trang (ấp Ba Tầng) có hiện trạng là đường nhựa, bê tông xi
P=1535 | X=0111.410-0139.410 | Y=0084.020-0095.260 | măng:
P=1535 | X=0111.410-0342.960 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1535 | X=0111.410-0364.720 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1535 | X=0111.410-0206.360 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1535 | X=0111.410-0334.580 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1535 | X=0111.410-0382.060 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1535 | X=0111.410-0382.050 | Y=0177.170-0188.410 | xã Phú Vinh đoạn từ Đường Nguyễn Văn Linh đến Hết nghĩa
P=1535 | X=0111.410-0374.340 | Y=0188.690-0199.930 | trang (ấp Ba Tầng) có hiện trạng là đường nhựa, bê tông xi
P=1535 | X=0111.410-0139.410 | Y=0200.230-0211.470 | măng:
P=1535 | X=0095.060-0106.180 | Y=0208.110-0217.430 | 67
P=1535 | X=0413.900-0430.540 | Y=0208.110-0217.430 | 140
P=1535 | X=0461.690-0478.330 | Y=0208.110-0217.430 | 100
P=1535 | X=0511.150-0522.270 | Y=0208.110-0217.430 | 80
P=1535 | X=0111.410-0352.520 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1535 | X=0111.410-0153.550 | Y=0231.150-0240.470 | >1.000m.
P=1535 | X=0111.410-0335.050 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1535 | X=0111.410-0384.920 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1535 | X=0111.410-0384.920 | Y=0276.070-0287.310 | ra Đường ấp 1 xã Phú Vinh đoạn từ Đường Nguyễn Văn Linh
P=1535 | X=0111.410-0364.760 | Y=0287.620-0298.860 | đến Hết nghĩa trang (ấp Ba Tầng) có hiện trạng là đường
P=1535 | X=0095.060-0214.520 | Y=0299.140-0310.580 | 68 nhựa, bê tông xi măng:
P=1535 | X=0413.900-0430.540 | Y=0301.260-0310.580 | 350
P=1535 | X=0461.690-0478.330 | Y=0301.260-0310.580 | 250
P=1535 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 210
P=1535 | X=0111.410-0342.490 | Y=0316.660-0327.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1535 | X=0111.410-0388.620 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1535 | X=0111.410-0384.920 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1535 | X=0111.410-0384.920 | Y=0363.220-0374.460 | ra Đường ấp 1 xã Phú Vinh đoạn từ Đường Nguyễn Văn Linh
P=1535 | X=0111.410-0364.760 | Y=0374.760-0386.000 | đến Hết nghĩa trang (ấp Ba Tầng) có hiện trạng là đường
P=1535 | X=0111.410-0214.520 | Y=0386.280-0397.520 | nhựa, bê tông xi măng:
P=1535 | X=0095.060-0342.980 | Y=0403.040-0415.040 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1535 | X=0413.900-0430.540 | Y=0403.040-0412.360 | 230
P=1535 | X=0461.690-0478.330 | Y=0403.040-0412.360 | 160
P=1535 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 140
P=1535 | X=0111.410-0364.720 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1535 | X=0111.410-0206.360 | Y=0432.840-0444.080 | >500m đến ≤1.000m.
P=1535 | X=0111.410-0334.580 | Y=0450.380-0461.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1535 | X=0111.410-0384.920 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1535 | X=0111.410-0384.940 | Y=0479.660-0490.900 | ra Đường ấp 1 xã Phú Vinh đoạn từ Đường Nguyễn Văn Linh
P=1535 | X=0111.410-0364.760 | Y=0491.180-0502.420 | đến Hết nghĩa trang (ấp Ba Tầng) có hiện trạng là đường
P=1535 | X=0111.410-0214.520 | Y=0502.460-0513.700 | nhựa, bê tông xi măng:
P=1535 | X=0095.060-0106.180 | Y=0510.340-0519.660 | 70
P=1535 | X=0413.900-0430.540 | Y=0510.340-0519.660 | 130
P=1535 | X=0467.450-0478.570 | Y=0510.340-0519.660 | 90
P=1535 | X=0511.150-0522.270 | Y=0510.340-0519.660 | 80
P=1535 | X=0111.410-0352.520 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1535 | X=0111.410-0153.550 | Y=0533.380-0542.700 | >1.000m.
P=1535 | X=0111.410-0335.050 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1535 | X=0303.960-0389.260 | Y=0568.690-0578.010 | Hết ranh phân hiệu
P=1535 | X=0111.410-0199.320 | Y=0572.570-0583.810 | Đường ấp 1 xã Phú
P=1535 | X=0221.590-0291.310 | Y=0572.570-0583.810 | Nghĩa trang (ấp
P=1535 | X=0303.960-0379.100 | Y=0578.330-0589.570 | Trường Tiểu học
P=1535 | X=0095.060-0106.180 | Y=0580.210-0589.530 | 71
P=1535 | X=0413.900-0430.540 | Y=0580.210-0589.530 | 510
P=1535 | X=0461.690-0478.330 | Y=0580.210-0589.530 | 360
P=1535 | X=0505.390-0522.030 | Y=0580.210-0589.530 | 310
P=1535 | X=0111.410-0131.650 | Y=0585.970-0595.290 | Vinh
P=1535 | X=0221.590-0262.900 | Y=0585.970-0595.290 | Ba Tầng)
P=1535 | X=0303.960-0358.420 | Y=0589.850-0601.090 | Lê Văn Tám
P=1535 | X=0111.410-0382.060 | Y=0607.610-0618.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1535 | X=0111.410-0379.400 | Y=0619.150-0630.390 | xã Phú Vinh đoạn từ Nghĩa trang (ấp Ba Tầng) đến Hết ranh
P=1535 | X=0111.410-0361.640 | Y=0630.670-0641.910 | phân hiệu Trường Tiểu học Lê Văn Tám có hiện trạng là
P=1535 | X=0095.060-0247.220 | Y=0642.190-0653.630 | 72 đường nhựa, bê tông xi măng:
P=1535 | X=0413.900-0430.540 | Y=0644.310-0653.630 | 260
P=1535 | X=0461.690-0478.330 | Y=0644.310-0653.630 | 180
P=1535 | X=0505.390-0522.030 | Y=0644.310-0653.630 | 160
P=1535 | X=0111.410-0342.490 | Y=0659.710-0670.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1535 | X=0111.410-0388.600 | Y=0677.230-0688.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1535 | X=0111.410-0382.060 | Y=0694.750-0705.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1535 | X=0095.060-0106.180 | Y=0702.420-0711.740 | 73
P=1535 | X=0413.900-0430.540 | Y=0702.420-0711.740 | 220
P=1535 | X=0461.690-0478.330 | Y=0702.420-0711.740 | 150
P=1535 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 130
P=1535 | X=0111.410-0379.400 | Y=0706.290-0717.530 | xã Phú Vinh đoạn từ Nghĩa trang (ấp Ba Tầng) đến Hết ranh
P=1536 | X=0111.410-0361.640 | Y=0072.500-0083.740 | phân hiệu Trường Tiểu học Lê Văn Tám có hiện trạng là
P=1536 | X=0111.410-0247.180 | Y=0084.020-0095.260 | đường nhựa, bê tông xi măng:
P=1536 | X=0111.410-0342.960 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1536 | X=0111.410-0364.720 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1536 | X=0111.410-0206.360 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1536 | X=0111.410-0334.580 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1536 | X=0111.410-0382.060 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1536 | X=0111.410-0379.400 | Y=0177.170-0188.410 | xã Phú Vinh đoạn từ Nghĩa trang (ấp Ba Tầng) đến Hết ranh
P=1536 | X=0111.410-0361.640 | Y=0188.690-0199.930 | phân hiệu Trường Tiểu học Lê Văn Tám có hiện trạng là
P=1536 | X=0111.410-0247.180 | Y=0200.230-0211.470 | đường nhựa, bê tông xi măng:
P=1536 | X=0095.060-0106.180 | Y=0208.110-0217.430 | 74
P=1536 | X=0413.900-0430.540 | Y=0208.110-0217.430 | 170
P=1536 | X=0461.690-0478.330 | Y=0208.110-0217.430 | 120
P=1536 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 100
P=1536 | X=0111.410-0352.520 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1536 | X=0111.410-0153.560 | Y=0231.150-0240.470 | >1.000m.
P=1536 | X=0111.410-0335.050 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1536 | X=0111.410-0384.920 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1536 | X=0111.410-0387.260 | Y=0276.070-0287.310 | ra Đường ấp 1 xã Phú Vinh đoạn từ Nghĩa trang (ấp Ba Tầng)
P=1536 | X=0111.410-0386.140 | Y=0287.620-0298.860 | đến Hết ranh phân hiệu Trường Tiểu học Lê Văn Tám có hiện
P=1536 | X=0095.060-0283.190 | Y=0299.140-0310.580 | 75 trạng là đường nhựa, bê tông xi măng:
P=1536 | X=0413.900-0430.540 | Y=0301.260-0310.580 | 230
P=1536 | X=0461.690-0478.330 | Y=0301.260-0310.580 | 160
P=1536 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 140
P=1536 | X=0111.410-0342.490 | Y=0316.660-0327.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1536 | X=0111.410-0388.600 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1536 | X=0111.410-0384.920 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1536 | X=0111.410-0387.260 | Y=0363.220-0374.460 | ra Đường ấp 1 xã Phú Vinh đoạn từ Nghĩa trang (ấp Ba Tầng)
P=1536 | X=0111.410-0386.140 | Y=0374.760-0386.000 | đến Hết ranh phân hiệu Trường Tiểu học Lê Văn Tám có hiện
P=1536 | X=0111.410-0283.190 | Y=0386.280-0397.520 | trạng là đường nhựa, bê tông xi măng:
P=1536 | X=0095.060-0342.960 | Y=0403.040-0415.040 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1536 | X=0413.900-0430.540 | Y=0403.040-0412.360 | 200
P=1536 | X=0461.690-0478.330 | Y=0403.040-0412.360 | 140
P=1536 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 120
P=1536 | X=0111.410-0364.720 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1536 | X=0111.410-0206.360 | Y=0432.840-0444.080 | >500m đến ≤1.000m.
P=1536 | X=0111.410-0334.580 | Y=0450.380-0461.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1536 | X=0111.410-0384.920 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1536 | X=0111.410-0387.260 | Y=0479.660-0490.900 | ra Đường ấp 1 xã Phú Vinh đoạn từ Nghĩa trang (ấp Ba Tầng)
P=1536 | X=0111.410-0386.140 | Y=0491.180-0502.420 | đến Hết ranh phân hiệu Trường Tiểu học Lê Văn Tám có hiện
P=1536 | X=0111.410-0283.190 | Y=0502.460-0513.700 | trạng là đường nhựa, bê tông xi măng:
P=1536 | X=0095.060-0106.180 | Y=0510.340-0519.660 | 77
P=1536 | X=0413.900-0430.540 | Y=0510.340-0519.660 | 150
P=1536 | X=0461.690-0478.330 | Y=0510.340-0519.660 | 110
P=1536 | X=0511.150-0522.270 | Y=0510.340-0519.660 | 90
P=1536 | X=0111.410-0352.520 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1536 | X=0111.410-0153.550 | Y=0533.380-0542.700 | >1.000m.
P=1536 | X=0111.410-0335.050 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1536 | X=0111.410-0199.320 | Y=0566.810-0578.050 | Đường ấp 1 xã Phú
P=1536 | X=0095.060-0106.180 | Y=0574.450-0583.770 | 78
P=1536 | X=0413.900-0430.540 | Y=0574.450-0583.770 | 510
P=1536 | X=0461.690-0478.330 | Y=0574.450-0583.770 | 360
P=1536 | X=0505.390-0522.030 | Y=0574.450-0583.770 | 310
P=1536 | X=0111.410-0188.310 | Y=0578.330-0589.570 | Vinh đoạn còn lại
P=1536 | X=0111.410-0382.060 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1536 | X=0111.410-0368.850 | Y=0607.610-0618.850 | xã Phú Vinh đoạn còn lại có hiện trạng là đường nhựa, bê
P=1536 | X=0111.410-0171.570 | Y=0619.150-0630.390 | tông xi măng:
P=1536 | X=0095.060-0106.180 | Y=0627.030-0636.350 | 79
P=1536 | X=0413.900-0430.540 | Y=0627.030-0636.350 | 260
P=1536 | X=0461.690-0478.330 | Y=0627.030-0636.350 | 180
P=1536 | X=0505.390-0522.030 | Y=0627.030-0636.350 | 160
P=1536 | X=0111.410-0342.490 | Y=0636.670-0647.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1536 | X=0111.410-0388.600 | Y=0654.190-0665.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1536 | X=0111.410-0382.060 | Y=0671.950-0683.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1536 | X=0095.060-0368.850 | Y=0683.470-0694.710 | 80 xã Phú Vinh đoạn còn lại có hiện trạng là đường nhựa, bê
P=1536 | X=0413.900-0430.540 | Y=0685.350-0694.670 | 220
P=1536 | X=0461.690-0478.330 | Y=0685.350-0694.670 | 150
P=1536 | X=0505.390-0522.030 | Y=0685.350-0694.670 | 130
P=1536 | X=0111.410-0171.570 | Y=0694.750-0705.990 | tông xi măng:
P=1537 | X=0111.410-0342.960 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1537 | X=0111.410-0364.720 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1537 | X=0111.410-0206.360 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1537 | X=0111.410-0334.580 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1537 | X=0111.410-0382.060 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 1
P=1537 | X=0111.410-0368.850 | Y=0154.370-0165.610 | xã Phú Vinh đoạn còn lại có hiện trạng là đường nhựa, bê
P=1537 | X=0111.410-0171.570 | Y=0165.650-0176.890 | tông xi măng:
P=1537 | X=0095.060-0106.180 | Y=0179.290-0188.610 | 81
P=1537 | X=0413.900-0430.540 | Y=0179.290-0188.610 | 170
P=1537 | X=0461.690-0478.330 | Y=0179.290-0188.610 | 120
P=1537 | X=0505.390-0522.030 | Y=0179.290-0188.610 | 100
P=1537 | X=0111.410-0352.520 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1537 | X=0111.410-0153.550 | Y=0196.570-0205.890 | >1.000m.
