TABLE=005 | AREA=Phường Trảng Dài | SECTION=non-agricultural | SEGMENTS=1
P=0187 | X=0457.850-0482.900 | Y=0702.420-0711.740 | 3.300
P=0187 | X=0497.230-0522.280 | Y=0702.420-0711.740 | 2.800
P=0187 | X=0107.090-0391.190 | Y=0706.290-0717.530 | Phúc Chu (từ cầu Săn Máu đến đường Trần Văn Trà) Đoạn còn
P=0188 | X=0107.090-0326.880 | Y=0072.500-0083.740 | lại có hiện trạng là đường nhựa, bê tông xi măng:
P=0188 | X=0107.090-0330.260 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0188 | X=0107.090-0393.980 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0188 | X=0107.090-0160.050 | Y=0119.090-0130.330 | đến ≤600m.
P=0188 | X=0107.090-0330.260 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0188 | X=0107.090-0392.630 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0188 | X=0107.090-0391.190 | Y=0165.650-0176.890 | Phúc Chu (từ cầu Săn Máu đến đường Trần Văn Trà) Đoạn còn
P=0188 | X=0107.090-0326.880 | Y=0177.170-0188.410 | lại có hiện trạng là đường nhựa, bê tông xi măng:
P=0188 | X=0090.020-0106.660 | Y=0185.050-0194.370 | 123
P=0188 | X=0416.540-0441.590 | Y=0185.050-0194.370 | 3.700
P=0188 | X=0457.850-0482.900 | Y=0185.050-0194.370 | 2.600
P=0188 | X=0497.230-0522.280 | Y=0185.050-0194.370 | 2.200
P=0188 | X=0107.090-0384.500 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0188 | X=0107.090-0330.730 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0188 | X=0107.090-0392.350 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0188 | X=0107.090-0396.460 | Y=0241.510-0252.750 | Đường Nguyễn Phúc Chu (từ cầu Săn Máu đến đường Trần Văn
P=0188 | X=0107.090-0393.390 | Y=0253.030-0264.270 | Trà) Đoạn còn lại có hiện trạng là đường nhựa, bê tông xi măng:
P=0188 | X=0090.020-0106.660 | Y=0260.910-0270.230 | 124
P=0188 | X=0416.540-0441.590 | Y=0260.910-0270.230 | 7.000
P=0188 | X=0457.850-0482.890 | Y=0260.910-0270.230 | 4.900
P=0188 | X=0497.230-0522.280 | Y=0260.910-0270.230 | 4.200
P=0188 | X=0107.090-0330.000 | Y=0270.550-0281.790 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0188 | X=0107.090-0384.260 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0188 | X=0107.090-0392.350 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0188 | X=0107.090-0396.460 | Y=0317.380-0328.620 | Đường Nguyễn Phúc Chu (từ cầu Săn Máu đến đường Trần Văn
P=0188 | X=0107.090-0393.390 | Y=0328.900-0340.140 | Trà) Đoạn còn lại có hiện trạng là đường nhựa, bê tông xi măng:
P=0188 | X=0090.020-0330.260 | Y=0346.420-0360.500 | 125 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0188 | X=0416.540-0441.590 | Y=0351.180-0360.500 | 4.200
P=0188 | X=0457.850-0482.900 | Y=0351.180-0360.500 | 2.900
P=0188 | X=0497.230-0522.280 | Y=0351.180-0360.500 | 2.500
P=0188 | X=0107.090-0393.980 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0188 | X=0107.090-0160.050 | Y=0375.240-0386.480 | đến ≤600m.
P=0188 | X=0107.090-0330.260 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0188 | X=0107.090-0392.350 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0188 | X=0107.090-0396.460 | Y=0422.040-0433.280 | Đường Nguyễn Phúc Chu (từ cầu Săn Máu đến đường Trần Văn
P=0188 | X=0107.090-0393.390 | Y=0433.560-0444.800 | Trà) Đoạn còn lại có hiện trạng là đường nhựa, bê tông xi măng:
P=0188 | X=0090.020-0106.660 | Y=0441.440-0450.760 | 126
P=0188 | X=0416.540-0441.590 | Y=0441.440-0450.760 | 3.300
P=0188 | X=0457.850-0482.900 | Y=0441.440-0450.760 | 2.300
P=0188 | X=0497.230-0522.280 | Y=0441.440-0450.760 | 2.000
P=0188 | X=0107.090-0384.500 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0188 | X=0107.090-0333.380 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0188 | X=0311.160-0386.850 | Y=0486.380-0497.620 | Đường Trần Văn
P=0188 | X=0228.820-0297.800 | Y=0492.140-0503.380 | Đường Nguyễn
P=0188 | X=0090.020-0212.800 | Y=0497.900-0509.140 | 127 Đường Nguyễn Khuyến
P=0188 | X=0311.160-0395.270 | Y=0497.900-0509.140 | Xã (ngã tư Trường
P=0188 | X=0411.020-0441.590 | Y=0499.780-0509.100 | 19.000
P=0188 | X=0452.330-0522.280 | Y=0499.780-0509.100 | 13.300 11.400
P=0188 | X=0228.820-0272.820 | Y=0505.540-0514.860 | Phúc Chu
P=0188 | X=0311.160-0382.310 | Y=0511.300-0520.620 | Nguyễn Khuyến
P=0188 | X=0107.090-0392.630 | Y=0527.180-0538.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0188 | X=0107.090-0394.780 | Y=0538.490-0549.730 | Khuyến đoạn từ Đường Nguyễn Phúc Chu đến Đường Trần Văn
P=0188 | X=0107.090-0397.990 | Y=0550.010-0561.250 | Xã (ngã tư Trường Nguyễn Khuyến có hiện trạng là đường nhựa,
P=0188 | X=0090.020-0181.170 | Y=0561.530-0572.970 | 128 bê tông xi măng:
P=0188 | X=0416.540-0441.590 | Y=0563.650-0572.970 | 9.000
P=0188 | X=0457.850-0482.900 | Y=0563.650-0572.970 | 6.300
P=0188 | X=0497.230-0522.280 | Y=0563.650-0572.970 | 5.400
P=0188 | X=0107.090-0330.000 | Y=0579.050-0590.290 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0188 | X=0107.090-0384.260 | Y=0596.570-0607.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0188 | X=0107.090-0392.630 | Y=0614.330-0625.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0188 | X=0107.090-0394.780 | Y=0625.870-0637.110 | Khuyến đoạn từ Đường Nguyễn Phúc Chu đến Đường Trần Văn
P=0188 | X=0107.090-0397.990 | Y=0637.390-0648.630 | Xã (ngã tư Trường Nguyễn Khuyến có hiện trạng là đường nhựa,
P=0188 | X=0107.090-0181.170 | Y=0648.910-0660.150 | bê tông xi măng:
P=0188 | X=0090.020-0106.660 | Y=0656.790-0666.110 | 129
P=0188 | X=0416.540-0441.590 | Y=0656.790-0666.110 | 5.200
P=0188 | X=0457.850-0482.900 | Y=0656.790-0666.110 | 3.600
P=0188 | X=0497.230-0522.280 | Y=0656.790-0666.110 | 3.100
P=0188 | X=0107.090-0330.260 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0188 | X=0107.090-0393.980 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0188 | X=0107.090-0160.050 | Y=0695.470-0706.710 | đến ≤600m.
P=0189 | X=0107.090-0330.260 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0189 | X=0107.090-0392.630 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0189 | X=0107.090-0394.780 | Y=0107.780-0119.020 | Khuyến đoạn từ Đường Nguyễn Phúc Chu đến Đường Trần Văn
P=0189 | X=0107.090-0397.990 | Y=0119.330-0130.570 | Xã (ngã tư Trường Nguyễn Khuyến có hiện trạng là đường nhựa,
P=0189 | X=0090.020-0181.170 | Y=0130.850-0142.290 | 130 bê tông xi măng:
P=0189 | X=0416.540-0441.590 | Y=0132.970-0142.290 | 3.700
P=0189 | X=0457.850-0482.900 | Y=0132.970-0142.290 | 2.600
P=0189 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 2.200
P=0189 | X=0107.090-0384.500 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0189 | X=0107.090-0330.730 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0189 | X=0107.090-0392.350 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0189 | X=0107.090-0387.580 | Y=0194.930-0206.170 | Đường Nguyễn Khuyến đoạn từ Đường Nguyễn Phúc Chu đến
P=0189 | X=0107.090-0378.460 | Y=0206.470-0217.710 | Đường Trần Văn Xã (ngã tư Trường Nguyễn Khuyến có hiện
P=0189 | X=0090.020-0278.900 | Y=0217.990-0229.430 | 131 trạng là đường nhựa, bê tông xi măng:
P=0189 | X=0416.540-0441.590 | Y=0220.110-0229.430 | 8.100
P=0189 | X=0457.850-0482.900 | Y=0220.110-0229.430 | 5.700
P=0189 | X=0497.230-0522.280 | Y=0220.110-0229.430 | 4.900
P=0189 | X=0107.090-0330.000 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0189 | X=0107.090-0384.260 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0189 | X=0107.090-0392.350 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0189 | X=0107.090-0387.580 | Y=0282.340-0293.580 | Đường Nguyễn Khuyến đoạn từ Đường Nguyễn Phúc Chu đến
P=0189 | X=0107.090-0378.460 | Y=0293.860-0305.100 | Đường Trần Văn Xã (ngã tư Trường Nguyễn Khuyến có hiện
P=0189 | X=0107.090-0278.870 | Y=0305.380-0316.620 | trạng là đường nhựa, bê tông xi măng:
P=0189 | X=0090.020-0330.260 | Y=0321.900-0334.140 | 132 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0189 | X=0416.540-0441.590 | Y=0321.900-0331.220 | 4.700
P=0189 | X=0457.850-0482.900 | Y=0321.900-0331.220 | 3.300
P=0189 | X=0497.230-0522.280 | Y=0321.900-0331.220 | 2.800
P=0189 | X=0107.090-0393.980 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0189 | X=0107.090-0160.050 | Y=0351.700-0362.940 | đến ≤600m.
P=0189 | X=0107.090-0330.280 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0189 | X=0107.090-0392.350 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0189 | X=0107.090-0387.580 | Y=0398.520-0409.760 | Đường Nguyễn Khuyến đoạn từ Đường Nguyễn Phúc Chu đến
P=0189 | X=0107.090-0378.460 | Y=0410.040-0421.280 | Đường Trần Văn Xã (ngã tư Trường Nguyễn Khuyến có hiện
P=0189 | X=0090.020-0278.870 | Y=0421.560-0433.000 | 133 trạng là đường nhựa, bê tông xi măng:
P=0189 | X=0416.540-0441.590 | Y=0423.680-0433.000 | 3.300
P=0189 | X=0457.850-0482.900 | Y=0423.680-0433.000 | 2.300
P=0189 | X=0497.230-0522.280 | Y=0423.680-0433.000 | 2.000
P=0189 | X=0107.090-0384.500 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0189 | X=0107.090-0333.380 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0189 | X=0228.820-0304.490 | Y=0474.380-0485.620 | Đường Trần Văn
P=0189 | X=0228.820-0276.120 | Y=0485.900-0497.140 | Xã (ngã tư
P=0189 | X=0311.160-0389.030 | Y=0485.900-0497.140 | Đường Bùi Trọng
P=0189 | X=0090.020-0212.800 | Y=0491.660-0502.900 | 134 Đường Nguyễn Khuyến
P=0189 | X=0411.020-0441.590 | Y=0493.540-0502.860 | 17.900
P=0189 | X=0452.330-0522.280 | Y=0493.540-0502.860 | 12.500 10.700
P=0189 | X=0228.820-0337.880 | Y=0497.420-0508.660 | Trường Nguyễn Nghĩa
P=0189 | X=0228.820-0266.020 | Y=0510.820-0520.140 | Khuyến)
P=0189 | X=0107.090-0392.630 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0189 | X=0107.090-0380.390 | Y=0538.010-0549.250 | Khuyến đoạn từ Đường Trần Văn Xã (ngã tư Trường Nguyễn
P=0189 | X=0107.090-0377.740 | Y=0549.530-0560.770 | Khuyến) đến Đường Bùi Trọng Nghĩa có hiện trạng là đường
P=0189 | X=0090.020-0210.200 | Y=0561.050-0572.490 | 135 nhựa, bê tông xi măng:
P=0189 | X=0416.540-0441.590 | Y=0563.170-0572.490 | 9.000
P=0189 | X=0457.850-0482.900 | Y=0563.170-0572.490 | 6.300
P=0189 | X=0497.230-0522.280 | Y=0563.170-0572.490 | 5.400
P=0189 | X=0107.090-0330.000 | Y=0578.570-0589.810 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0189 | X=0107.090-0384.280 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0189 | X=0107.090-0392.630 | Y=0613.850-0625.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0189 | X=0107.090-0380.390 | Y=0625.390-0636.630 | Khuyến đoạn từ Đường Trần Văn Xã (ngã tư Trường Nguyễn
P=0189 | X=0107.090-0377.740 | Y=0636.910-0648.150 | Khuyến) đến Đường Bùi Trọng Nghĩa có hiện trạng là đường
P=0189 | X=0107.090-0210.200 | Y=0648.430-0659.670 | nhựa, bê tông xi măng:
P=0189 | X=0090.020-0106.660 | Y=0656.310-0665.630 | 136
P=0189 | X=0416.540-0441.590 | Y=0656.310-0665.630 | 5.200
P=0189 | X=0457.850-0482.900 | Y=0656.310-0665.630 | 3.600
P=0189 | X=0497.230-0522.280 | Y=0656.310-0665.630 | 3.100
P=0189 | X=0107.090-0330.260 | Y=0665.950-0677.190 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0189 | X=0107.090-0393.980 | Y=0683.470-0694.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0189 | X=0107.090-0160.050 | Y=0694.750-0705.990 | đến ≤600m.
P=0190 | X=0107.090-0330.260 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0190 | X=0107.090-0392.630 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0190 | X=0107.090-0380.390 | Y=0107.780-0119.020 | Khuyến đoạn từ Đường Trần Văn Xã (ngã tư Trường Nguyễn
P=0190 | X=0107.090-0377.740 | Y=0119.330-0130.570 | Khuyến) đến Đường Bùi Trọng Nghĩa có hiện trạng là đường
P=0190 | X=0090.020-0210.200 | Y=0130.850-0142.290 | 137 nhựa, bê tông xi măng:
P=0190 | X=0416.540-0441.590 | Y=0132.970-0142.290 | 3.700
P=0190 | X=0457.850-0482.900 | Y=0132.970-0142.290 | 2.600
P=0190 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 2.200
P=0190 | X=0107.090-0384.500 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0190 | X=0107.090-0330.730 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0190 | X=0107.090-0392.350 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0190 | X=0107.090-0378.380 | Y=0194.930-0206.170 | Đường Nguyễn Khuyến đoạn từ Đường Trần Văn Xã (ngã tư
P=0190 | X=0107.090-0383.020 | Y=0206.470-0217.710 | Trường Nguyễn Khuyến) đến Đường Bùi Trọng Nghĩa có hiện
P=0190 | X=0090.020-0278.870 | Y=0217.990-0229.430 | 138 trạng là đường nhựa, bê tông xi măng:
P=0190 | X=0416.540-0441.590 | Y=0220.110-0229.430 | 8.100
P=0190 | X=0457.850-0482.900 | Y=0220.110-0229.430 | 5.700
P=0190 | X=0497.230-0522.280 | Y=0220.110-0229.430 | 4.900
P=0190 | X=0107.090-0330.000 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0190 | X=0107.090-0384.260 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0190 | X=0107.090-0392.350 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0190 | X=0107.090-0378.380 | Y=0282.340-0293.580 | Đường Nguyễn Khuyến đoạn từ Đường Trần Văn Xã (ngã tư
P=0190 | X=0107.090-0383.020 | Y=0293.860-0305.100 | Trường Nguyễn Khuyến) đến Đường Bùi Trọng Nghĩa có hiện
P=0190 | X=0107.090-0278.870 | Y=0305.380-0316.620 | trạng là đường nhựa, bê tông xi măng:
P=0190 | X=0090.020-0330.260 | Y=0321.900-0334.140 | 139 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0190 | X=0416.540-0441.590 | Y=0321.900-0331.220 | 4.700
P=0190 | X=0457.850-0482.900 | Y=0321.900-0331.220 | 3.300
P=0190 | X=0497.230-0522.280 | Y=0321.900-0331.220 | 2.800
P=0190 | X=0107.090-0393.980 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0190 | X=0107.090-0160.050 | Y=0351.700-0362.940 | đến ≤600m.
P=0190 | X=0107.090-0330.260 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0190 | X=0107.090-0392.350 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0190 | X=0107.090-0378.380 | Y=0398.520-0409.760 | Đường Nguyễn Khuyến đoạn từ Đường Trần Văn Xã (ngã tư
P=0190 | X=0107.090-0383.020 | Y=0410.040-0421.280 | Trường Nguyễn Khuyến) đến Đường Bùi Trọng Nghĩa có hiện
P=0190 | X=0090.020-0278.870 | Y=0421.560-0433.000 | 140 trạng là đường nhựa, bê tông xi măng:
P=0190 | X=0416.540-0441.590 | Y=0423.680-0433.000 | 3.300
P=0190 | X=0457.850-0482.900 | Y=0423.680-0433.000 | 2.300
P=0190 | X=0497.230-0522.280 | Y=0423.680-0433.000 | 2.000
P=0190 | X=0107.090-0384.500 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0190 | X=0107.090-0333.390 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0190 | X=0228.820-0396.470 | Y=0474.380-0485.620 | Đường Bùi Trọng Giáp ranh xã Thiện
P=0190 | X=0090.020-0212.800 | Y=0480.140-0491.380 | 141 Đường Nguyễn Khuyến
P=0190 | X=0411.020-0441.590 | Y=0482.020-0491.340 | 12.600
P=0190 | X=0457.850-0482.900 | Y=0482.020-0491.340 | 8.800
P=0190 | X=0497.230-0522.280 | Y=0482.020-0491.340 | 7.600
P=0190 | X=0228.820-0255.540 | Y=0485.900-0497.140 | Nghĩa
P=0190 | X=0311.160-0348.590 | Y=0485.900-0497.140 | Tân (cũ)
P=0190 | X=0107.090-0392.630 | Y=0503.660-0514.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0190 | X=0107.090-0395.740 | Y=0515.180-0526.420 | Khuyến đoạn từ Đường Bùi Trọng Nghĩa đến Giáp ranh xã Thiện
P=0190 | X=0107.090-0353.770 | Y=0526.460-0537.700 | Tân (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0190 | X=0090.020-0106.660 | Y=0534.370-0543.690 | 142
P=0190 | X=0416.540-0441.590 | Y=0534.370-0543.690 | 6.700
P=0190 | X=0457.850-0482.900 | Y=0534.370-0543.690 | 4.700
P=0190 | X=0497.230-0522.280 | Y=0534.370-0543.690 | 4.000
P=0190 | X=0107.090-0330.000 | Y=0544.010-0555.250 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0190 | X=0107.090-0384.260 | Y=0561.530-0572.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0190 | X=0107.090-0392.630 | Y=0579.290-0590.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0190 | X=0107.090-0395.740 | Y=0590.810-0602.050 | Khuyến đoạn từ Đường Bùi Trọng Nghĩa đến Giáp ranh xã Thiện
P=0190 | X=0107.090-0353.770 | Y=0602.330-0613.570 | Tân (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0190 | X=0090.020-0330.260 | Y=0619.870-0634.190 | 143 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0190 | X=0416.540-0441.590 | Y=0624.870-0634.190 | 4.500
P=0190 | X=0457.850-0482.900 | Y=0624.870-0634.190 | 3.200
P=0190 | X=0497.230-0522.280 | Y=0624.870-0634.190 | 2.700
P=0190 | X=0107.090-0393.980 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0190 | X=0107.090-0160.050 | Y=0648.910-0660.150 | đến ≤600m.
P=0190 | X=0107.090-0330.260 | Y=0666.430-0677.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0190 | X=0107.090-0392.630 | Y=0684.190-0695.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0190 | X=0090.020-0395.740 | Y=0695.710-0706.950 | 144 Khuyến đoạn từ Đường Bùi Trọng Nghĩa đến Giáp ranh xã Thiện
P=0190 | X=0416.540-0441.590 | Y=0697.590-0706.910 | 2.800
P=0190 | X=0457.850-0482.900 | Y=0697.590-0706.910 | 2.000
P=0190 | X=0497.230-0522.280 | Y=0697.590-0706.910 | 1.700
P=0190 | X=0107.090-0353.770 | Y=0707.250-0718.490 | Tân (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0191 | X=0107.090-0384.530 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0191 | X=0107.090-0330.730 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0191 | X=0107.090-0392.350 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0191 | X=0107.090-0379.420 | Y=0125.330-0136.570 | Đường Nguyễn Khuyến đoạn từ Đường Bùi Trọng Nghĩa đến
P=0191 | X=0107.090-0379.180 | Y=0136.850-0148.090 | Giáp ranh xã Thiện Tân (cũ) có hiện trạng là đường nhựa, bê
P=0191 | X=0090.020-0167.250 | Y=0148.370-0159.810 | 145 tông xi măng:
P=0191 | X=0416.540-0441.590 | Y=0150.490-0159.810 | 6.000
P=0191 | X=0457.850-0482.900 | Y=0150.490-0159.810 | 4.200
P=0191 | X=0497.230-0522.280 | Y=0150.490-0159.810 | 3.600
P=0191 | X=0107.090-0330.000 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0191 | X=0107.090-0384.260 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0191 | X=0107.090-0392.350 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0191 | X=0107.090-0379.420 | Y=0212.470-0223.710 | Đường Nguyễn Khuyến đoạn từ Đường Bùi Trọng Nghĩa đến
P=0191 | X=0107.090-0379.180 | Y=0223.990-0235.230 | Giáp ranh xã Thiện Tân (cũ) có hiện trạng là đường nhựa, bê
P=0191 | X=0107.090-0167.250 | Y=0235.510-0246.750 | tông xi măng:
P=0191 | X=0090.020-0330.260 | Y=0252.270-0264.270 | 146 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0191 | X=0416.540-0441.590 | Y=0252.270-0261.590 | 4.100
P=0191 | X=0457.850-0482.890 | Y=0252.270-0261.590 | 2.900
P=0191 | X=0497.230-0522.280 | Y=0252.270-0261.590 | 2.500
P=0191 | X=0107.090-0393.980 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0191 | X=0107.090-0160.050 | Y=0282.100-0293.340 | đến ≤600m.
P=0191 | X=0107.090-0330.260 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0191 | X=0107.090-0392.350 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0191 | X=0107.090-0379.420 | Y=0328.900-0340.140 | Đường Nguyễn Khuyến đoạn từ Đường Bùi Trọng Nghĩa đến
P=0191 | X=0107.090-0379.180 | Y=0340.420-0351.660 | Giáp ranh xã Thiện Tân (cũ) có hiện trạng là đường nhựa, bê
P=0191 | X=0090.020-0167.250 | Y=0351.700-0363.140 | 147 tông xi măng:
P=0191 | X=0416.540-0441.590 | Y=0353.820-0363.140 | 2.500
P=0191 | X=0457.850-0482.900 | Y=0353.820-0363.140 | 1.800
P=0191 | X=0497.230-0522.280 | Y=0353.820-0363.140 | 1.500
P=0191 | X=0107.090-0384.520 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0191 | X=0107.090-0333.380 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0191 | X=0228.820-0304.040 | Y=0404.520-0415.760 | Giáp phường Hố
P=0191 | X=0311.160-0390.200 | Y=0410.280-0421.520 | Đường Đoàn Văn
P=0191 | X=0090.020-0212.310 | Y=0416.040-0427.280 | 148 Đường Hoàng Văn Bổn
P=0191 | X=0228.820-0295.630 | Y=0416.040-0427.280 | Nai và phường
P=0191 | X=0416.540-0441.590 | Y=0417.920-0427.240 | 7.200
P=0191 | X=0457.850-0482.900 | Y=0417.920-0427.240 | 5.000
P=0191 | X=0497.230-0522.280 | Y=0417.920-0427.240 | 4.300
P=0191 | X=0311.160-0325.100 | Y=0423.680-0433.000 | Cự
P=0191 | X=0228.820-0272.820 | Y=0429.440-0438.760 | Trảng Dài
P=0191 | X=0107.090-0387.570 | Y=0445.320-0456.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0191 | X=0107.090-0396.220 | Y=0456.860-0468.100 | Văn Bổn đoạn từ Giáp phường Hố Nai và phường Trảng Dài đến
P=0191 | X=0107.090-0381.790 | Y=0468.380-0479.620 | Đường Đoàn Văn Cự có hiện trạng là đường nhựa, bê tông xi
P=0191 | X=0090.020-0135.090 | Y=0479.900-0491.340 | 149 măng:
P=0191 | X=0416.540-0441.590 | Y=0482.020-0491.340 | 3.400
P=0191 | X=0457.850-0482.900 | Y=0482.020-0491.340 | 2.400
P=0191 | X=0497.230-0522.280 | Y=0482.020-0491.340 | 2.000
P=0191 | X=0107.090-0338.170 | Y=0497.420-0508.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0191 | X=0107.090-0384.260 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
