TABLE=046 | AREA=Xã Phú Hòa | SECTION=non-agricultural | SEGMENTS=1
P=1570 | X=0461.450-0478.090 | Y=0499.060-0508.380 | 280
P=1570 | X=0505.390-0522.030 | Y=0499.060-0508.380 | 240
P=1570 | X=0111.170-0342.250 | Y=0514.220-0525.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1570 | X=0111.170-0388.360 | Y=0531.740-0542.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1570 | X=0111.170-0384.680 | Y=0549.530-0560.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1570 | X=0111.170-0382.270 | Y=0561.050-0572.290 | ra Đường Ngã tư km+115 đoạn từ Ngã tư đường liên xã Phú
P=1570 | X=0111.170-0379.160 | Y=0572.570-0583.810 | Lợi - thị trấn Định Quán (cũ) đến Giáp ranh xã Định Quán có
P=1570 | X=0111.170-0304.780 | Y=0584.090-0595.330 | hiện trạng là đường nhựa, bê tông xi măng:
P=1570 | X=0094.820-0342.740 | Y=0600.850-0612.850 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1570 | X=0413.660-0430.300 | Y=0600.850-0610.170 | 270
P=1570 | X=0461.450-0478.090 | Y=0600.850-0610.170 | 190
P=1570 | X=0505.390-0522.030 | Y=0600.850-0610.170 | 160
P=1570 | X=0111.170-0364.480 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1570 | X=0111.170-0206.120 | Y=0630.670-0641.910 | >500m đến ≤1.000m.
P=1570 | X=0111.170-0334.340 | Y=0648.190-0659.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1570 | X=0111.170-0384.680 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1570 | X=0111.170-0382.280 | Y=0677.470-0688.710 | ra Đường Ngã tư km+115 đoạn từ Ngã tư đường liên xã Phú
P=1570 | X=0094.820-0105.940 | Y=0685.110-0694.430 | 56
P=1570 | X=0413.660-0430.300 | Y=0685.110-0694.430 | 140
P=1570 | X=0461.450-0478.090 | Y=0685.110-0694.430 | 100
P=1570 | X=0511.150-0522.270 | Y=0685.110-0694.430 | 85
P=1570 | X=0111.170-0379.160 | Y=0688.750-0699.990 | Lợi - thị trấn Định Quán (cũ) đến Giáp ranh xã Định Quán có
P=1570 | X=0111.170-0304.780 | Y=0700.290-0711.530 | hiện trạng là đường nhựa, bê tông xi măng:
P=1571 | X=0111.170-0352.280 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1571 | X=0111.170-0153.310 | Y=0091.900-0101.220 | >1.000m.
P=1571 | X=0111.170-0334.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1571 | X=0111.170-0280.710 | Y=0125.330-0136.570 | Đường liên xã Phú Lợi - Giáp ranh xã
P=1571 | X=0304.200-0389.970 | Y=0125.330-0136.570 | Đường ngã ba Phú
P=1571 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 57
P=1571 | X=0405.500-0430.550 | Y=0132.970-0142.290 | 1.700
P=1571 | X=0453.290-0478.340 | Y=0132.970-0142.290 | 1.200
P=1571 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 1.000
P=1571 | X=0111.170-0172.460 | Y=0136.850-0148.090 | xã Định Quán
P=1571 | X=0223.270-0271.380 | Y=0136.850-0148.090 | Định Quán
P=1571 | X=0304.200-0366.440 | Y=0138.730-0148.050 | Lợi - Phú Hòa
P=1571 | X=0111.170-0377.950 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1571 | X=0111.170-0377.490 | Y=0166.130-0177.370 | xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã Định Quán
P=1571 | X=0111.170-0385.180 | Y=0177.410-0188.650 | đến Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường
P=1571 | X=0094.820-0214.280 | Y=0188.930-0200.370 | 58 nhựa, bê tông xi măng:
P=1571 | X=0413.660-0430.300 | Y=0191.050-0200.370 | 870
P=1571 | X=0461.450-0478.090 | Y=0191.050-0200.370 | 610
P=1571 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 520
P=1571 | X=0111.170-0342.250 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1571 | X=0111.170-0388.360 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1571 | X=0111.170-0377.950 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1571 | X=0111.170-0377.490 | Y=0253.270-0264.510 | xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã Định Quán
P=1571 | X=0111.170-0385.180 | Y=0264.790-0276.030 | đến Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường
P=1571 | X=0111.170-0214.280 | Y=0276.310-0287.550 | nhựa, bê tông xi măng:
P=1571 | X=0094.820-0342.720 | Y=0292.860-0305.100 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1571 | X=0413.660-0430.300 | Y=0292.860-0302.180 | 730
P=1571 | X=0461.450-0478.090 | Y=0292.860-0302.180 | 510
P=1571 | X=0505.390-0522.030 | Y=0292.860-0302.180 | 440
P=1571 | X=0111.170-0364.480 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1571 | X=0111.170-0206.120 | Y=0322.900-0334.140 | >500m đến ≤1.000m.
P=1571 | X=0111.170-0334.360 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1571 | X=0111.170-0377.950 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên
P=1571 | X=0111.170-0377.490 | Y=0369.480-0380.720 | xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã Định Quán
P=1571 | X=0111.170-0385.180 | Y=0381.000-0392.240 | đến Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường
P=1571 | X=0111.170-0214.280 | Y=0392.520-0403.760 | nhựa, bê tông xi măng:
P=1571 | X=0094.820-0105.940 | Y=0400.400-0409.720 | 60
P=1571 | X=0413.660-0430.300 | Y=0400.400-0409.720 | 440
P=1571 | X=0461.450-0478.090 | Y=0400.400-0409.720 | 310
P=1571 | X=0505.390-0522.030 | Y=0400.400-0409.720 | 260
P=1571 | X=0111.170-0352.280 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1571 | X=0111.170-0153.310 | Y=0423.440-0432.760 | >1.000m.
P=1571 | X=0111.170-0334.810 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1571 | X=0111.170-0384.680 | Y=0456.860-0468.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1571 | X=0111.170-0377.950 | Y=0468.380-0479.620 | ra Đường liên xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh
P=1571 | X=0111.170-0380.380 | Y=0479.900-0491.140 | xã Định Quán đến Đường ngã ba Phú Lợi - Phú Hòa có hiện
P=1571 | X=0094.820-0282.950 | Y=0491.420-0502.860 | 61 trạng là đường nhựa, bê tông xi măng:
P=1571 | X=0413.660-0430.300 | Y=0493.540-0502.860 | 780
P=1571 | X=0461.450-0478.090 | Y=0493.540-0502.860 | 550
P=1571 | X=0505.390-0522.030 | Y=0493.540-0502.860 | 470
P=1571 | X=0111.170-0342.250 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1571 | X=0111.170-0388.360 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1571 | X=0111.170-0384.680 | Y=0544.010-0555.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1571 | X=0111.170-0377.950 | Y=0555.530-0566.770 | ra Đường liên xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh
P=1571 | X=0111.170-0380.390 | Y=0567.050-0578.290 | xã Định Quán đến Đường ngã ba Phú Lợi - Phú Hòa có hiện
P=1571 | X=0111.170-0282.950 | Y=0578.570-0589.810 | trạng là đường nhựa, bê tông xi măng:
P=1571 | X=0094.820-0342.720 | Y=0595.330-0607.330 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1571 | X=0413.660-0430.300 | Y=0595.330-0604.650 | 660
P=1571 | X=0461.450-0478.090 | Y=0595.330-0604.650 | 460
P=1571 | X=0505.390-0522.030 | Y=0595.330-0604.650 | 400
P=1571 | X=0111.170-0364.480 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1571 | X=0111.170-0206.120 | Y=0625.150-0636.390 | >500m đến ≤1.000m.
P=1571 | X=0111.170-0334.340 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1571 | X=0111.170-0384.680 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1571 | X=0111.170-0377.950 | Y=0671.950-0683.190 | ra Đường liên xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh
P=1571 | X=0094.820-0105.940 | Y=0679.590-0688.910 | 63
P=1571 | X=0413.660-0430.300 | Y=0679.590-0688.910 | 400
P=1571 | X=0461.450-0478.090 | Y=0679.590-0688.910 | 280
P=1571 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 240
P=1571 | X=0111.170-0380.390 | Y=0683.470-0694.710 | xã Định Quán đến Đường ngã ba Phú Lợi - Phú Hòa có hiện
P=1571 | X=0111.170-0282.990 | Y=0694.750-0705.990 | trạng là đường nhựa, bê tông xi măng:
P=1572 | X=0111.170-0352.280 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1572 | X=0111.170-0153.310 | Y=0091.900-0101.220 | >1.000m.
P=1572 | X=0111.170-0334.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1572 | X=0111.170-0220.150 | Y=0125.330-0136.570 | Đường ngã ba Phú Lợi -
P=1572 | X=0304.200-0379.820 | Y=0125.330-0136.570 | Đường Phú Lợi -
P=1572 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 64
P=1572 | X=0223.270-0271.860 | Y=0132.970-0142.290 | Quốc lộ 20
P=1572 | X=0405.500-0430.550 | Y=0132.970-0142.290 | 1.900
P=1572 | X=0453.290-0478.340 | Y=0132.970-0142.290 | 1.300
P=1572 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 1.100
P=1572 | X=0111.170-0170.200 | Y=0136.850-0148.090 | Phú Hòa (cũ)
P=1572 | X=0304.200-0346.510 | Y=0138.730-0148.050 | Gia Canh
P=1572 | X=0111.170-0378.930 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
P=1572 | X=0111.170-0370.310 | Y=0166.130-0177.370 | ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20 đến Đường
P=1572 | X=0111.170-0376.270 | Y=0177.410-0188.650 | Phú Lợi - Gia Canh có hiện trạng là đường nhựa, bê tông xi
P=1572 | X=0094.820-0139.170 | Y=0188.930-0200.370 | 65 măng:
P=1572 | X=0405.500-0430.570 | Y=0191.050-0200.370 | 1.000
P=1572 | X=0461.450-0478.090 | Y=0191.050-0200.370 | 700
P=1572 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 600
P=1572 | X=0111.170-0342.250 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1572 | X=0111.170-0388.360 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1572 | X=0111.170-0378.930 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
P=1572 | X=0111.170-0370.310 | Y=0253.270-0264.510 | ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20 đến Đường
P=1572 | X=0111.170-0376.270 | Y=0264.790-0276.030 | Phú Lợi - Gia Canh có hiện trạng là đường nhựa, bê tông xi
P=1572 | X=0111.170-0139.170 | Y=0276.310-0287.550 | măng:
P=1572 | X=0094.820-0342.720 | Y=0292.860-0305.100 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1572 | X=0413.660-0430.300 | Y=0292.860-0302.180 | 440
P=1572 | X=0461.450-0478.090 | Y=0292.860-0302.180 | 310
P=1572 | X=0505.390-0522.030 | Y=0292.860-0302.180 | 260
P=1572 | X=0111.170-0364.480 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1572 | X=0111.170-0206.120 | Y=0322.900-0334.140 | >500m đến ≤1.000m.
P=1572 | X=0111.170-0334.340 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1572 | X=0111.170-0378.930 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
P=1572 | X=0111.170-0370.310 | Y=0369.480-0380.720 | ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20 đến Đường
P=1572 | X=0111.170-0376.270 | Y=0381.000-0392.240 | Phú Lợi - Gia Canh có hiện trạng là đường nhựa, bê tông xi
P=1572 | X=0111.170-0139.170 | Y=0392.520-0403.760 | măng:
P=1572 | X=0094.820-0105.940 | Y=0400.400-0409.720 | 67
P=1572 | X=0413.660-0430.300 | Y=0400.400-0409.720 | 290
P=1572 | X=0461.450-0478.090 | Y=0400.400-0409.720 | 200
P=1572 | X=0505.390-0522.030 | Y=0400.400-0409.720 | 170
P=1572 | X=0111.170-0352.280 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1572 | X=0111.170-0153.310 | Y=0423.440-0432.760 | >1.000m.
P=1572 | X=0111.170-0334.810 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1572 | X=0111.170-0384.680 | Y=0456.860-0468.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1572 | X=0111.170-0381.820 | Y=0468.380-0479.620 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20
P=1572 | X=0111.170-0383.830 | Y=0479.900-0491.140 | đến Đường Phú Lợi - Gia Canh có hiện trạng là đường nhựa,
P=1572 | X=0094.820-0185.250 | Y=0491.420-0502.860 | 68 bê tông xi măng:
P=1572 | X=0413.660-0430.300 | Y=0493.540-0502.860 | 900
P=1572 | X=0461.450-0478.090 | Y=0493.540-0502.860 | 630
P=1572 | X=0505.390-0522.030 | Y=0493.540-0502.860 | 540
P=1572 | X=0111.170-0342.250 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1572 | X=0111.170-0388.360 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1572 | X=0111.170-0384.680 | Y=0544.010-0555.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1572 | X=0111.170-0381.820 | Y=0555.530-0566.770 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20
P=1572 | X=0111.170-0383.830 | Y=0567.050-0578.290 | đến Đường Phú Lợi - Gia Canh có hiện trạng là đường nhựa,
P=1572 | X=0111.170-0185.250 | Y=0578.570-0589.810 | bê tông xi măng:
P=1572 | X=0094.820-0342.720 | Y=0595.330-0607.330 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1572 | X=0413.660-0430.300 | Y=0595.330-0604.650 | 400
P=1572 | X=0461.450-0478.090 | Y=0595.330-0604.650 | 280
P=1572 | X=0505.390-0522.030 | Y=0595.330-0604.650 | 240
P=1572 | X=0111.170-0364.490 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1572 | X=0111.170-0206.120 | Y=0625.150-0636.390 | >500m đến ≤1.000m.
P=1572 | X=0111.170-0334.340 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1572 | X=0111.170-0384.680 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1572 | X=0111.170-0381.820 | Y=0671.950-0683.190 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20
P=1572 | X=0094.820-0105.940 | Y=0679.590-0688.910 | 70
P=1572 | X=0413.660-0430.300 | Y=0679.590-0688.910 | 260
P=1572 | X=0461.450-0478.090 | Y=0679.590-0688.910 | 180
P=1572 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 160
P=1572 | X=0111.170-0383.830 | Y=0683.470-0694.710 | đến Đường Phú Lợi - Gia Canh có hiện trạng là đường nhựa,
P=1572 | X=0111.170-0185.250 | Y=0694.750-0705.990 | bê tông xi măng:
P=1573 | X=0111.170-0352.280 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1573 | X=0111.170-0153.310 | Y=0091.900-0101.220 | >1.000m.
P=1573 | X=0111.170-0334.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1573 | X=0111.170-0384.900 | Y=0125.330-0136.570 | Đường ngã ba Phú Lợi - Đường Phú Lợi - Hết UBND xã Phú
P=1573 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 71
P=1573 | X=0413.660-0430.300 | Y=0132.970-0142.290 | 680
P=1573 | X=0461.450-0478.090 | Y=0132.970-0142.290 | 480
P=1573 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 410
P=1573 | X=0111.170-0170.200 | Y=0136.850-0148.090 | Phú Hòa (cũ)
P=1573 | X=0223.270-0265.580 | Y=0138.730-0148.050 | Gia Canh
P=1573 | X=0304.200-0322.530 | Y=0138.730-0148.050 | Hòa
P=1573 | X=0111.170-0378.930 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
P=1573 | X=0111.170-0388.280 | Y=0166.130-0177.370 | ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú Lợi - Gia Canh
P=1573 | X=0111.170-0379.180 | Y=0177.410-0188.650 | đến Hết UBND xã Phú Hòa có hiện trạng là đường nhựa, bê
P=1573 | X=0094.820-0171.330 | Y=0188.930-0200.370 | 72 tông xi măng:
P=1573 | X=0413.660-0430.300 | Y=0191.050-0200.370 | 330
P=1573 | X=0461.450-0478.090 | Y=0191.050-0200.370 | 230
P=1573 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 200
P=1573 | X=0111.170-0342.250 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1573 | X=0111.170-0388.360 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1573 | X=0111.170-0378.930 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
P=1573 | X=0111.170-0388.280 | Y=0253.270-0264.510 | ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú Lợi - Gia Canh
P=1573 | X=0111.170-0379.180 | Y=0264.790-0276.030 | đến Hết UBND xã Phú Hòa có hiện trạng là đường nhựa, bê
P=1573 | X=0111.170-0171.330 | Y=0276.310-0287.550 | tông xi măng:
P=1573 | X=0094.820-0342.720 | Y=0292.860-0305.100 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1573 | X=0413.660-0430.300 | Y=0292.860-0302.180 | 230
P=1573 | X=0461.450-0478.090 | Y=0292.860-0302.180 | 160
P=1573 | X=0505.390-0522.030 | Y=0292.860-0302.180 | 140
P=1573 | X=0111.170-0364.480 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1573 | X=0111.170-0206.120 | Y=0322.900-0334.140 | >500m đến ≤1.000m.
P=1573 | X=0111.170-0334.340 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1573 | X=0111.170-0378.930 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
P=1573 | X=0111.170-0388.280 | Y=0369.480-0380.720 | ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú Lợi - Gia Canh
P=1573 | X=0111.170-0379.180 | Y=0381.000-0392.240 | đến Hết UBND xã Phú Hòa có hiện trạng là đường nhựa, bê
P=1573 | X=0111.170-0171.330 | Y=0392.520-0403.760 | tông xi măng:
P=1573 | X=0094.820-0105.940 | Y=0400.400-0409.720 | 74
P=1573 | X=0413.660-0430.300 | Y=0400.400-0409.720 | 190
P=1573 | X=0461.450-0478.090 | Y=0400.400-0409.720 | 130
P=1573 | X=0505.390-0522.030 | Y=0400.400-0409.720 | 110
P=1573 | X=0111.170-0352.280 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1573 | X=0111.170-0153.310 | Y=0423.440-0432.760 | >1.000m.
P=1573 | X=0111.170-0334.810 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1573 | X=0111.170-0384.680 | Y=0456.860-0468.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1573 | X=0111.170-0385.640 | Y=0468.380-0479.620 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú
P=1573 | X=0111.170-0371.950 | Y=0479.900-0491.140 | Lợi - Gia Canh đến Hết UBND xã Phú Hòa có hiện trạng là
P=1573 | X=0094.820-0246.940 | Y=0491.420-0502.860 | 75 đường nhựa, bê tông xi măng:
P=1573 | X=0413.660-0430.300 | Y=0493.540-0502.860 | 300
P=1573 | X=0461.450-0478.090 | Y=0493.540-0502.860 | 210
P=1573 | X=0505.390-0522.030 | Y=0493.540-0502.860 | 180
P=1573 | X=0111.170-0342.250 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1573 | X=0111.170-0388.370 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1573 | X=0111.170-0384.680 | Y=0544.010-0555.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1573 | X=0111.170-0385.640 | Y=0555.530-0566.770 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú
P=1573 | X=0111.170-0371.950 | Y=0567.050-0578.290 | Lợi - Gia Canh đến Hết UBND xã Phú Hòa có hiện trạng là
P=1573 | X=0111.170-0246.940 | Y=0578.570-0589.810 | đường nhựa, bê tông xi măng:
P=1573 | X=0094.820-0342.720 | Y=0595.330-0607.330 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1573 | X=0413.660-0430.300 | Y=0595.330-0604.650 | 210
P=1573 | X=0461.450-0478.090 | Y=0595.330-0604.650 | 150
P=1573 | X=0505.390-0522.030 | Y=0595.330-0604.650 | 130
P=1573 | X=0111.170-0364.480 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1573 | X=0111.170-0206.120 | Y=0625.150-0636.390 | >500m đến ≤1.000m.
P=1573 | X=0111.170-0334.340 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1573 | X=0111.170-0384.680 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1573 | X=0111.170-0385.640 | Y=0671.950-0683.190 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú
P=1573 | X=0094.820-0105.940 | Y=0679.590-0688.910 | 77
P=1573 | X=0413.660-0430.300 | Y=0679.590-0688.910 | 170
P=1573 | X=0461.450-0478.090 | Y=0679.590-0688.910 | 120
P=1573 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 100
P=1573 | X=0111.170-0371.950 | Y=0683.470-0694.710 | Lợi - Gia Canh đến Hết UBND xã Phú Hòa có hiện trạng là
P=1573 | X=0111.170-0246.940 | Y=0694.750-0705.990 | đường nhựa, bê tông xi măng:
P=1574 | X=0111.170-0352.280 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1574 | X=0111.170-0153.310 | Y=0091.900-0101.220 | >1.000m.
P=1574 | X=0111.170-0334.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1574 | X=0111.170-0383.470 | Y=0125.330-0136.570 | Đường ngã ba Phú Lợi - Hết UBND xã Phú Hết cây xăng Phú
P=1574 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 78
P=1574 | X=0413.660-0430.300 | Y=0132.970-0142.290 | 750
P=1574 | X=0461.450-0478.090 | Y=0132.970-0142.290 | 530
P=1574 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 450
P=1574 | X=0111.170-0170.200 | Y=0136.850-0148.090 | Phú Hòa (cũ)
P=1574 | X=0223.270-0241.600 | Y=0138.730-0148.050 | Hòa
P=1574 | X=0304.200-0322.530 | Y=0138.730-0148.050 | Hòa
P=1574 | X=0111.170-0378.930 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
P=1574 | X=0111.170-0389.030 | Y=0166.130-0177.370 | ba Phú Lợi - Phú Hòa (cũ) đoạn từ Hết UBND xã Phú Hòa đến
P=1574 | X=0111.170-0380.350 | Y=0177.410-0188.650 | Hết cây xăng Phú Hòa có hiện trạng là đường nhựa, bê tông
P=1574 | X=0094.820-0149.000 | Y=0188.930-0200.370 | 79 xi măng:
P=1574 | X=0413.660-0430.300 | Y=0191.050-0200.370 | 320
P=1574 | X=0461.450-0478.090 | Y=0191.050-0200.370 | 220
P=1574 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 190
P=1574 | X=0111.170-0342.250 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1574 | X=0111.170-0388.360 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1574 | X=0111.170-0378.930 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
P=1574 | X=0111.170-0389.030 | Y=0253.270-0264.510 | ba Phú Lợi - Phú Hòa (cũ) đoạn từ Hết UBND xã Phú Hòa đến
P=1574 | X=0111.170-0380.350 | Y=0264.790-0276.030 | Hết cây xăng Phú Hòa có hiện trạng là đường nhựa, bê tông
P=1574 | X=0111.170-0149.000 | Y=0276.310-0287.550 | xi măng:
P=1574 | X=0094.820-0342.720 | Y=0292.860-0305.100 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1574 | X=0413.660-0430.300 | Y=0292.860-0302.180 | 250
P=1574 | X=0461.450-0478.090 | Y=0292.860-0302.180 | 180
P=1574 | X=0505.390-0522.030 | Y=0292.860-0302.180 | 150
P=1574 | X=0111.170-0364.480 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1574 | X=0111.170-0206.120 | Y=0322.900-0334.140 | >500m đến ≤1.000m.
P=1574 | X=0111.170-0334.340 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1574 | X=0111.170-0378.930 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã
