TABLE=010 | AREA=Phường Tam Phước | SECTION=non-agricultural | SEGMENTS=1
P=0386 | X=0107.090-0122.050 | Y=0669.030-0678.350 | Hải
P=0386 | X=0315.240-0327.080 | Y=0669.030-0678.350 | Trị
P=0386 | X=0107.090-0393.810 | Y=0684.910-0696.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào nhà
P=0386 | X=0090.020-0395.500 | Y=0696.430-0707.670 | 198 thờ Văn Hải đoạn từ đường Lê Duẩn đến đường Nguyễn Văn Trị
P=0386 | X=0416.300-0441.350 | Y=0698.310-0707.630 | 7.700
P=0386 | X=0452.570-0477.620 | Y=0698.310-0707.630 | 5.400
P=0386 | X=0497.230-0522.280 | Y=0698.310-0707.630 | 4.600
P=0386 | X=0107.090-0313.940 | Y=0707.970-0719.210 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0387 | X=0107.090-0330.000 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0387 | X=0107.090-0384.260 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0387 | X=0107.090-0393.810 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào nhà
P=0387 | X=0107.090-0395.500 | Y=0125.330-0136.570 | thờ Văn Hải đoạn từ đường Lê Duẩn đến đường Nguyễn Văn Trị
P=0387 | X=0107.090-0313.940 | Y=0136.850-0148.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0387 | X=0090.020-0330.260 | Y=0154.370-0168.450 | 199 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0387 | X=0416.300-0441.350 | Y=0159.130-0168.450 | 5.200
P=0387 | X=0452.570-0477.620 | Y=0159.130-0168.450 | 3.600
P=0387 | X=0497.230-0522.280 | Y=0159.130-0168.450 | 3.100
P=0387 | X=0107.090-0393.980 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0387 | X=0107.090-0160.050 | Y=0183.170-0194.410 | đến ≤600m.
P=0387 | X=0107.090-0330.260 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0387 | X=0107.090-0393.810 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào nhà
P=0387 | X=0107.090-0395.500 | Y=0229.990-0241.230 | thờ Văn Hải đoạn từ đường Lê Duẩn đến đường Nguyễn Văn Trị
P=0387 | X=0107.090-0313.950 | Y=0241.510-0252.750 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0387 | X=0090.020-0106.660 | Y=0249.390-0258.710 | 200
P=0387 | X=0416.300-0441.350 | Y=0249.390-0258.710 | 3.400
P=0387 | X=0452.570-0477.620 | Y=0249.390-0258.710 | 2.400
P=0387 | X=0497.230-0522.280 | Y=0249.390-0258.710 | 2.000
P=0387 | X=0107.090-0384.500 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0387 | X=0107.090-0330.730 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0387 | X=0107.090-0392.350 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0387 | X=0107.090-0395.980 | Y=0305.860-0317.100 | Đường vào nhà thờ Văn Hải đoạn từ đường Lê Duẩn đến đường
P=0387 | X=0107.090-0386.190 | Y=0317.380-0328.620 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0387 | X=0090.020-0106.660 | Y=0325.260-0334.580 | 201
P=0387 | X=0416.300-0441.350 | Y=0325.260-0334.580 | 6.900
P=0387 | X=0452.570-0477.620 | Y=0325.260-0334.580 | 4.800
P=0387 | X=0497.230-0522.280 | Y=0325.260-0334.580 | 4.100
P=0387 | X=0107.090-0330.000 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0387 | X=0107.090-0384.260 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0387 | X=0107.090-0392.380 | Y=0369.960-0381.200 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0387 | X=0107.090-0395.990 | Y=0381.480-0392.720 | Đường vào nhà thờ Văn Hải đoạn từ đường Lê Duẩn đến đường
P=0387 | X=0107.090-0386.190 | Y=0393.000-0404.240 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0387 | X=0090.020-0330.260 | Y=0410.520-0424.840 | 202 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0387 | X=0416.300-0441.350 | Y=0415.520-0424.840 | 4.700
P=0387 | X=0452.570-0477.620 | Y=0415.520-0424.840 | 3.300
P=0387 | X=0497.230-0522.280 | Y=0415.520-0424.840 | 2.800
P=0387 | X=0107.090-0393.980 | Y=0428.040-0439.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0387 | X=0107.090-0160.050 | Y=0439.560-0450.800 | đến ≤600m.
P=0387 | X=0107.090-0330.260 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0387 | X=0107.090-0392.350 | Y=0474.860-0486.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0387 | X=0107.090-0395.990 | Y=0486.380-0497.620 | Đường vào nhà thờ Văn Hải đoạn từ đường Lê Duẩn đến đường
P=0387 | X=0107.090-0386.190 | Y=0497.900-0509.140 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0387 | X=0090.020-0106.660 | Y=0505.780-0515.100 | 203
P=0387 | X=0416.300-0441.350 | Y=0505.780-0515.100 | 3.100
P=0387 | X=0452.570-0477.620 | Y=0505.780-0515.100 | 2.200
P=0387 | X=0497.230-0522.280 | Y=0505.780-0515.100 | 1.900
P=0387 | X=0107.090-0384.500 | Y=0515.420-0526.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0387 | X=0107.090-0333.380 | Y=0532.970-0544.210 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0387 | X=0090.020-0192.400 | Y=0550.490-0561.730 | 204 Đường Ngô Quyền
P=0387 | X=0216.310-0288.660 | Y=0550.490-0561.730 | Đường Lê Duẩn
P=0387 | X=0315.240-0441.350 | Y=0550.490-0561.730 | Đường Chu Văn An 14.200
P=0387 | X=0452.570-0477.620 | Y=0552.370-0561.690 | 9.900
P=0387 | X=0497.230-0522.280 | Y=0552.370-0561.690 | 8.500
P=0387 | X=0107.090-0376.530 | Y=0568.250-0579.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0387 | X=0107.090-0394.790 | Y=0579.770-0591.010 | Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn An có hiện
P=0387 | X=0107.090-0278.870 | Y=0591.290-0602.530 | trạng là đường nhựa, bê tông xi măng:
P=0387 | X=0090.020-0106.660 | Y=0599.170-0608.490 | 205
P=0387 | X=0416.300-0441.350 | Y=0599.170-0608.490 | 5.900
P=0387 | X=0452.570-0477.620 | Y=0599.170-0608.490 | 4.100
P=0387 | X=0497.230-0522.280 | Y=0599.170-0608.490 | 3.500
P=0387 | X=0107.090-0330.000 | Y=0608.810-0620.050 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0387 | X=0107.090-0384.260 | Y=0626.350-0637.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0387 | X=0107.090-0376.530 | Y=0644.110-0655.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0387 | X=0107.090-0394.790 | Y=0655.630-0666.870 | Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn An có hiện
P=0387 | X=0107.090-0278.870 | Y=0667.150-0678.390 | trạng là đường nhựa, bê tông xi măng:
P=0387 | X=0090.020-0106.660 | Y=0675.030-0684.350 | 206
P=0387 | X=0416.300-0441.350 | Y=0675.030-0684.350 | 4.000
P=0387 | X=0452.570-0477.620 | Y=0675.030-0684.350 | 2.800
P=0387 | X=0497.230-0522.280 | Y=0675.030-0684.350 | 2.400
P=0387 | X=0107.090-0330.260 | Y=0684.670-0695.910 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0387 | X=0107.090-0393.980 | Y=0702.210-0713.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0388 | X=0107.090-0160.050 | Y=0072.500-0083.740 | đến ≤600m.
P=0388 | X=0107.090-0330.260 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0388 | X=0107.090-0376.530 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0388 | X=0107.090-0394.790 | Y=0119.330-0130.570 | Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn An có hiện
P=0388 | X=0107.090-0278.870 | Y=0130.850-0142.090 | trạng là đường nhựa, bê tông xi măng:
P=0388 | X=0090.020-0106.660 | Y=0138.730-0148.050 | 207
P=0388 | X=0416.300-0441.350 | Y=0138.730-0148.050 | 3.400
P=0388 | X=0452.570-0477.620 | Y=0138.730-0148.050 | 2.400
P=0388 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 2.000
P=0388 | X=0107.090-0384.500 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0388 | X=0107.090-0330.730 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0388 | X=0107.090-0392.350 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0388 | X=0107.090-0400.040 | Y=0194.930-0206.170 | Đường Ngô Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn
P=0388 | X=0107.090-0329.050 | Y=0206.470-0217.710 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0388 | X=0090.020-0106.660 | Y=0214.350-0223.670 | 208
P=0388 | X=0416.300-0441.350 | Y=0214.350-0223.670 | 5.300
P=0388 | X=0452.570-0477.620 | Y=0214.350-0223.670 | 3.700
P=0388 | X=0497.230-0522.280 | Y=0214.350-0223.670 | 3.200
P=0388 | X=0107.090-0330.000 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0388 | X=0107.090-0384.260 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0388 | X=0107.090-0392.350 | Y=0259.270-0270.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0388 | X=0107.090-0400.040 | Y=0270.790-0282.030 | Đường Ngô Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn
P=0388 | X=0107.090-0329.070 | Y=0282.340-0293.580 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0388 | X=0090.020-0330.260 | Y=0299.860-0313.940 | 209 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0388 | X=0416.300-0441.350 | Y=0304.620-0313.940 | 3.600
P=0388 | X=0452.570-0477.620 | Y=0304.620-0313.940 | 2.500
P=0388 | X=0497.230-0522.280 | Y=0304.620-0313.940 | 2.200
P=0388 | X=0107.090-0393.980 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0388 | X=0107.090-0160.050 | Y=0328.900-0340.140 | đến ≤600m.
P=0388 | X=0107.090-0330.260 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0388 | X=0107.090-0392.380 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0388 | X=0107.090-0400.040 | Y=0375.480-0386.720 | Đường Ngô Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn
P=0388 | X=0107.090-0329.050 | Y=0387.000-0398.240 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0388 | X=0090.020-0106.660 | Y=0394.880-0404.200 | 210
P=0388 | X=0416.300-0441.350 | Y=0394.880-0404.200 | 3.100
P=0388 | X=0452.570-0477.620 | Y=0394.880-0404.200 | 2.200
P=0388 | X=0497.230-0522.280 | Y=0394.880-0404.200 | 1.900
P=0388 | X=0107.090-0384.500 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0388 | X=0107.090-0333.380 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0388 | X=0216.310-0288.870 | Y=0441.680-0451.000 | Giáp ranh xã An
P=0388 | X=0090.020-0195.730 | Y=0445.560-0456.800 | 211 Đường Chu Văn An
P=0388 | X=0315.240-0377.010 | Y=0445.560-0456.800 | Đường Lê Lai
P=0388 | X=0410.780-0477.620 | Y=0447.440-0456.760 | 17.800 12.500
P=0388 | X=0491.710-0522.280 | Y=0447.440-0456.760 | 10.700
P=0388 | X=0216.310-0247.060 | Y=0451.340-0462.580 | Phước
P=0388 | X=0107.090-0397.160 | Y=0469.100-0480.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0388 | X=0107.090-0383.980 | Y=0480.620-0491.860 | An đoạn từ Giáp ranh xã An Phước đến Đường Lê Lai có hiện
P=0388 | X=0107.090-0278.870 | Y=0492.140-0503.380 | trạng là đường nhựa, bê tông xi măng:
P=0388 | X=0090.020-0106.660 | Y=0500.020-0509.340 | 212
P=0388 | X=0416.300-0441.350 | Y=0500.020-0509.340 | 7.600
P=0388 | X=0452.570-0477.620 | Y=0500.020-0509.340 | 5.300
P=0388 | X=0497.230-0522.280 | Y=0500.020-0509.340 | 4.600
P=0388 | X=0107.090-0330.010 | Y=0509.660-0520.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0388 | X=0107.090-0384.260 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0388 | X=0107.090-0397.160 | Y=0544.970-0556.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0388 | X=0107.090-0383.980 | Y=0556.250-0567.490 | An đoạn từ Giáp ranh xã An Phước đến Đường Lê Lai có hiện
P=0388 | X=0107.090-0278.870 | Y=0567.770-0579.010 | trạng là đường nhựa, bê tông xi măng:
P=0388 | X=0090.020-0330.260 | Y=0585.290-0599.610 | 213 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0388 | X=0416.300-0441.350 | Y=0590.290-0599.610 | 4.600
P=0388 | X=0452.570-0477.620 | Y=0590.290-0599.610 | 3.200
P=0388 | X=0497.230-0522.280 | Y=0590.290-0599.610 | 2.800
P=0388 | X=0107.090-0393.980 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0388 | X=0107.090-0160.050 | Y=0614.330-0625.570 | đến ≤600m.
P=0388 | X=0107.090-0330.260 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0388 | X=0107.090-0397.160 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0388 | X=0107.090-0383.980 | Y=0661.150-0672.390 | An đoạn từ Giáp ranh xã An Phước đến Đường Lê Lai có hiện
P=0388 | X=0107.090-0278.870 | Y=0672.670-0683.910 | trạng là đường nhựa, bê tông xi măng:
P=0388 | X=0090.020-0106.660 | Y=0680.550-0689.870 | 214
P=0388 | X=0416.300-0441.350 | Y=0680.550-0689.870 | 3.800
P=0388 | X=0452.570-0477.620 | Y=0680.550-0689.870 | 2.700
P=0388 | X=0497.230-0522.280 | Y=0680.550-0689.870 | 2.300
P=0388 | X=0107.090-0384.500 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0388 | X=0107.090-0330.730 | Y=0707.730-0718.970 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0389 | X=0107.090-0392.350 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0389 | X=0107.090-0395.030 | Y=0090.020-0101.260 | Đường Chu Văn An đoạn từ Giáp ranh xã An Phước đến Đường
P=0389 | X=0107.090-0343.940 | Y=0101.540-0112.780 | Lê Lai có hiện trạng là đường nhựa, bê tông xi măng:
P=0389 | X=0090.020-0106.660 | Y=0109.420-0118.740 | 215
P=0389 | X=0416.300-0441.350 | Y=0109.420-0118.740 | 6.800
P=0389 | X=0452.570-0477.620 | Y=0109.420-0118.740 | 4.800
P=0389 | X=0497.230-0522.280 | Y=0109.420-0118.740 | 4.100
P=0389 | X=0107.090-0330.000 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0389 | X=0107.090-0384.260 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0389 | X=0107.090-0392.350 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0389 | X=0107.090-0395.030 | Y=0165.650-0176.890 | Đường Chu Văn An đoạn từ Giáp ranh xã An Phước đến Đường
P=0389 | X=0107.090-0343.940 | Y=0177.170-0188.410 | Lê Lai có hiện trạng là đường nhựa, bê tông xi măng:
P=0389 | X=0090.020-0330.260 | Y=0194.690-0209.030 | 216 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0389 | X=0416.300-0441.350 | Y=0199.710-0209.030 | 4.100
P=0389 | X=0452.570-0477.620 | Y=0199.710-0209.030 | 2.900
P=0389 | X=0497.230-0522.280 | Y=0199.710-0209.030 | 2.500
P=0389 | X=0107.090-0393.980 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0389 | X=0107.090-0160.050 | Y=0223.750-0234.990 | đến ≤600m.
P=0389 | X=0107.090-0330.260 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0389 | X=0107.090-0392.350 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0389 | X=0107.090-0395.030 | Y=0270.550-0281.790 | Đường Chu Văn An đoạn từ Giáp ranh xã An Phước đến Đường
P=0389 | X=0107.090-0343.940 | Y=0282.100-0293.340 | Lê Lai có hiện trạng là đường nhựa, bê tông xi măng:
P=0389 | X=0090.020-0106.660 | Y=0289.980-0299.300 | 217
P=0389 | X=0416.300-0441.350 | Y=0289.980-0299.300 | 3.400
P=0389 | X=0452.570-0477.620 | Y=0289.980-0299.300 | 2.400
P=0389 | X=0497.230-0522.280 | Y=0289.980-0299.300 | 2.000
P=0389 | X=0107.090-0384.500 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0389 | X=0107.090-0333.380 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0389 | X=0315.240-0383.740 | Y=0334.900-0346.140 | Đường Trường
P=0389 | X=0090.020-0199.590 | Y=0340.660-0351.900 | 218 Đường Đinh Bộ Lĩnh
P=0389 | X=0216.310-0288.660 | Y=0340.660-0351.900 | Đường Lê Duẩn
P=0389 | X=0410.780-0477.620 | Y=0342.540-0351.860 | 15.400 10.800
P=0389 | X=0497.230-0522.280 | Y=0342.540-0351.860 | 9.200
P=0389 | X=0315.240-0341.480 | Y=0348.300-0357.620 | Chinh
P=0389 | X=0107.090-0394.070 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh Bộ
P=0389 | X=0107.090-0393.590 | Y=0375.480-0386.720 | Lĩnh đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có hiện
P=0389 | X=0107.090-0278.870 | Y=0387.000-0398.240 | trạng là đường nhựa, bê tông xi măng:
P=0389 | X=0090.020-0106.660 | Y=0394.880-0404.200 | 219
P=0389 | X=0416.300-0441.350 | Y=0394.880-0404.200 | 8.400
P=0389 | X=0452.570-0477.620 | Y=0394.880-0404.200 | 5.900
P=0389 | X=0497.230-0522.280 | Y=0394.880-0404.200 | 5.000
P=0389 | X=0107.090-0330.000 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0389 | X=0107.090-0384.260 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0389 | X=0107.090-0394.070 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh Bộ
P=0389 | X=0107.090-0393.590 | Y=0451.340-0462.580 | Lĩnh đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có hiện
P=0389 | X=0107.090-0278.870 | Y=0462.860-0474.100 | trạng là đường nhựa, bê tông xi măng:
P=0389 | X=0090.020-0330.260 | Y=0480.380-0494.460 | 220 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0389 | X=0416.300-0441.350 | Y=0485.140-0494.460 | 6.400
P=0389 | X=0452.570-0477.620 | Y=0485.140-0494.460 | 4.500
P=0389 | X=0497.230-0522.280 | Y=0485.140-0494.460 | 3.800
P=0389 | X=0107.090-0393.980 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0389 | X=0107.090-0160.050 | Y=0509.420-0520.660 | đến ≤600m.
P=0389 | X=0107.090-0330.260 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0389 | X=0107.090-0394.070 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh Bộ
P=0389 | X=0107.090-0393.590 | Y=0556.010-0567.250 | Lĩnh đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có hiện
P=0389 | X=0107.090-0278.870 | Y=0567.530-0578.770 | trạng là đường nhựa, bê tông xi măng:
P=0389 | X=0090.020-0106.660 | Y=0575.410-0584.730 | 221
P=0389 | X=0416.300-0441.350 | Y=0575.410-0584.730 | 4.200
P=0389 | X=0452.570-0477.620 | Y=0575.410-0584.730 | 2.900
P=0389 | X=0497.230-0522.280 | Y=0575.410-0584.730 | 2.500
P=0389 | X=0107.090-0384.500 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0389 | X=0107.090-0330.730 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0389 | X=0107.090-0392.350 | Y=0620.350-0631.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0389 | X=0107.090-0402.220 | Y=0631.870-0643.110 | Đường Đinh Bộ Lĩnh đoạn từ Đường Lê Duẩn đến Đường Trường
P=0389 | X=0107.090-0342.970 | Y=0643.390-0654.630 | Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0389 | X=0090.020-0106.660 | Y=0651.270-0660.590 | 222
P=0389 | X=0416.300-0441.350 | Y=0651.270-0660.590 | 7.600
P=0389 | X=0452.570-0477.620 | Y=0651.270-0660.590 | 5.300
P=0389 | X=0497.230-0522.280 | Y=0651.270-0660.590 | 4.600
P=0389 | X=0107.090-0330.000 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0389 | X=0107.090-0384.260 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0389 | X=0107.090-0392.350 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0389 | X=0090.020-0106.660 | Y=0703.860-0713.180 | 223
P=0389 | X=0416.300-0441.350 | Y=0703.860-0713.180 | 5.800
P=0389 | X=0452.570-0477.610 | Y=0703.860-0713.180 | 4.100
P=0389 | X=0497.230-0522.280 | Y=0703.860-0713.180 | 3.500
P=0389 | X=0107.090-0402.220 | Y=0707.730-0718.970 | Đường Đinh Bộ Lĩnh đoạn từ Đường Lê Duẩn đến Đường Trường
P=0390 | X=0107.090-0342.970 | Y=0072.500-0083.740 | Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0390 | X=0107.090-0330.260 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0390 | X=0107.090-0393.980 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0390 | X=0107.090-0160.050 | Y=0119.090-0130.330 | đến ≤600m.
P=0390 | X=0107.090-0330.260 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0390 | X=0107.090-0392.350 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0390 | X=0107.090-0402.220 | Y=0165.650-0176.890 | Đường Đinh Bộ Lĩnh đoạn từ Đường Lê Duẩn đến Đường Trường
P=0390 | X=0107.090-0342.970 | Y=0177.170-0188.410 | Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0390 | X=0090.020-0106.660 | Y=0185.050-0194.370 | 224
P=0390 | X=0416.300-0441.350 | Y=0185.050-0194.370 | 3.800
P=0390 | X=0452.570-0477.620 | Y=0185.050-0194.370 | 2.700
P=0390 | X=0497.230-0522.280 | Y=0185.050-0194.370 | 2.300
P=0390 | X=0107.090-0384.500 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0390 | X=0107.090-0333.380 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0390 | X=0090.020-0199.590 | Y=0229.990-0241.230 | 225 Đường Đinh Bộ Lĩnh
P=0390 | X=0216.310-0385.430 | Y=0229.990-0241.230 | Đường Trường Chinh Đường tỉnh 769
P=0390 | X=0416.300-0441.350 | Y=0231.870-0241.190 | 8.900
P=0390 | X=0452.570-0477.620 | Y=0231.870-0241.190 | 6.200
P=0390 | X=0497.230-0522.280 | Y=0231.870-0241.190 | 5.300
P=0390 | X=0107.090-0394.070 | Y=0247.750-0258.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh Bộ
P=0390 | X=0107.090-0391.180 | Y=0259.270-0270.510 | Lĩnh đoạn từ Đường Trường Chinh đến Đường tỉnh 769 có hiện
P=0390 | X=0107.090-0278.870 | Y=0270.790-0282.030 | trạng là đường nhựa, bê tông xi măng:
P=0390 | X=0090.020-0106.660 | Y=0278.670-0287.990 | 226
P=0390 | X=0416.300-0441.350 | Y=0278.670-0287.990 | 4.400
P=0390 | X=0452.570-0477.620 | Y=0278.670-0287.990 | 3.100
P=0390 | X=0497.230-0522.280 | Y=0278.670-0287.990 | 2.600
P=0390 | X=0107.090-0330.000 | Y=0288.340-0299.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0390 | X=0107.090-0384.260 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0390 | X=0107.090-0394.070 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh Bộ
P=0390 | X=0107.090-0391.180 | Y=0335.140-0346.380 | Lĩnh đoạn từ Đường Trường Chinh đến Đường tỉnh 769 có hiện
P=0390 | X=0107.090-0278.870 | Y=0346.660-0357.900 | trạng là đường nhựa, bê tông xi măng:
P=0390 | X=0090.020-0330.260 | Y=0363.940-0378.280 | 227 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0390 | X=0416.300-0441.350 | Y=0368.960-0378.280 | 3.700
P=0390 | X=0452.570-0477.620 | Y=0368.960-0378.280 | 2.600
P=0390 | X=0497.230-0522.280 | Y=0368.960-0378.280 | 2.200
P=0390 | X=0107.090-0393.980 | Y=0381.480-0392.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
