TABLE=015 | AREA=Xã Phước Thái | SECTION=non-agricultural | SEGMENTS=1
P=0511 | X=0107.330-0338.880 | Y=0124.850-0136.090 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0511 | X=0107.330-0394.220 | Y=0142.370-0153.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0511 | X=0107.330-0168.450 | Y=0153.650-0164.890 | đến ≤1.000m.
P=0511 | X=0107.330-0330.500 | Y=0171.170-0182.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0511 | X=0107.330-0396.440 | Y=0189.170-0200.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào giáo
P=0511 | X=0107.330-0394.870 | Y=0200.710-0211.950 | xứ Tân Tường đoạn từ Đường Lý Thái Tổ đến Hết ranh thửa đất
P=0511 | X=0107.330-0400.110 | Y=0212.230-0223.470 | số 54, tờ BĐĐC số 146 về bên phải và hết ranh thửa đất số 56, tờ
P=0511 | X=0107.330-0394.310 | Y=0223.750-0234.990 | BĐĐC số 146 về bên trái, xã Nhơn Trạch có hiện trạng là đường
P=0511 | X=0090.020-0106.660 | Y=0231.630-0240.950 | 158
P=0511 | X=0424.730-0449.780 | Y=0231.630-0240.950 | 1.500
P=0511 | X=0460.970-0486.020 | Y=0231.630-0240.950 | 1.100
P=0511 | X=0505.630-0522.270 | Y=0231.630-0240.950 | 900
P=0511 | X=0107.330-0210.440 | Y=0235.270-0246.510 | nhựa, bê tông xi măng:
P=0511 | X=0107.330-0393.140 | Y=0252.790-0264.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0511 | X=0107.330-0330.970 | Y=0270.310-0281.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0511 | X=0107.330-0392.590 | Y=0288.340-0299.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0511 | X=0107.330-0388.540 | Y=0299.860-0311.100 | Đường vào giáo xứ Tân Tường đoạn từ Đường Lý Thái Tổ đến
P=0511 | X=0107.330-0399.340 | Y=0311.380-0322.620 | Hết ranh thửa đất số 54, tờ BĐĐC số 146 về bên phải và hết ranh
P=0511 | X=0107.330-0385.900 | Y=0322.900-0334.140 | thửa đất số 56, tờ BĐĐC số 146 về bên trái, xã Nhơn Trạch có
P=0511 | X=0090.020-0106.660 | Y=0330.780-0340.100 | 159
P=0511 | X=0424.730-0449.780 | Y=0330.780-0340.100 | 2.400
P=0511 | X=0460.970-0486.020 | Y=0330.780-0340.100 | 1.700
P=0511 | X=0497.230-0522.280 | Y=0330.780-0340.100 | 1.400
P=0511 | X=0107.330-0300.940 | Y=0334.420-0345.660 | hiện trạng là đường nhựa, bê tông xi măng:
P=0511 | X=0107.330-0338.410 | Y=0351.700-0362.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0511 | X=0107.330-0384.500 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0511 | X=0107.330-0392.590 | Y=0387.240-0398.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0511 | X=0107.330-0388.540 | Y=0398.760-0410.000 | Đường vào giáo xứ Tân Tường đoạn từ Đường Lý Thái Tổ đến
P=0511 | X=0107.330-0399.340 | Y=0410.280-0421.520 | Hết ranh thửa đất số 54, tờ BĐĐC số 146 về bên phải và hết ranh
P=0511 | X=0107.330-0385.900 | Y=0421.800-0433.040 | thửa đất số 56, tờ BĐĐC số 146 về bên trái, xã Nhơn Trạch có
P=0511 | X=0107.330-0300.940 | Y=0433.320-0444.560 | hiện trạng là đường nhựa, bê tông xi măng:
P=0511 | X=0090.020-0106.660 | Y=0444.080-0453.400 | 160
P=0511 | X=0424.730-0449.780 | Y=0444.080-0453.400 | 1.900
P=0511 | X=0460.970-0486.020 | Y=0444.080-0453.400 | 1.300
P=0511 | X=0497.230-0522.280 | Y=0444.080-0453.400 | 1.100
P=0511 | X=0107.330-0338.880 | Y=0450.860-0462.100 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0511 | X=0107.330-0394.220 | Y=0468.380-0479.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0511 | X=0107.330-0168.450 | Y=0479.900-0491.140 | đến ≤1.000m.
P=0511 | X=0107.330-0330.500 | Y=0497.420-0508.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0511 | X=0107.330-0392.590 | Y=0515.420-0526.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0511 | X=0107.330-0388.540 | Y=0526.940-0538.180 | Đường vào giáo xứ Tân Tường đoạn từ Đường Lý Thái Tổ đến
P=0511 | X=0107.330-0399.340 | Y=0538.250-0549.490 | Hết ranh thửa đất số 54, tờ BĐĐC số 146 về bên phải và hết ranh
P=0511 | X=0107.330-0385.900 | Y=0549.770-0561.010 | thửa đất số 56, tờ BĐĐC số 146 về bên trái, xã Nhơn Trạch có
P=0511 | X=0090.020-0106.660 | Y=0557.650-0566.970 | 161
P=0511 | X=0424.730-0449.780 | Y=0557.650-0566.970 | 1.400
P=0511 | X=0469.370-0486.010 | Y=0557.650-0566.970 | 980
P=0511 | X=0505.630-0522.270 | Y=0557.650-0566.970 | 840
P=0511 | X=0107.330-0300.940 | Y=0561.290-0572.530 | hiện trạng là đường nhựa, bê tông xi măng:
P=0511 | X=0107.330-0393.120 | Y=0578.810-0590.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0511 | X=0107.330-0330.970 | Y=0596.330-0607.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0511 | X=0315.000-0393.670 | Y=0614.330-0625.570 | Hết ranh thửa đất
P=0511 | X=0107.330-0216.070 | Y=0625.870-0637.110 | Đường vào trường mầm
P=0511 | X=0315.000-0404.390 | Y=0625.870-0637.110 | số 126, tờ BĐĐC số
P=0511 | X=0231.940-0313.880 | Y=0631.630-0642.870 | Đường Lý Thái Tổ
P=0511 | X=0090.020-0106.660 | Y=0633.510-0642.830 | 162
P=0511 | X=0424.730-0449.770 | Y=0633.510-0642.830 | 6.300
P=0511 | X=0460.970-0486.020 | Y=0633.510-0642.830 | 4.400
P=0511 | X=0497.230-0522.280 | Y=0633.510-0642.830 | 3.800
P=0511 | X=0107.330-0175.840 | Y=0639.270-0648.590 | non Phú Thạnh
P=0511 | X=0315.000-0397.640 | Y=0639.270-0648.590 | 180 về bên trái, xã
P=0511 | X=0315.000-0368.620 | Y=0648.910-0660.150 | Nhơn Trạch
P=0511 | X=0107.330-0374.850 | Y=0666.910-0678.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0511 | X=0107.330-0393.430 | Y=0678.430-0689.670 | trường mầm non Phú Thạnh đoạn từ Đường Lý Thái Tổ đến Hết
P=0511 | X=0090.020-0106.660 | Y=0686.070-0695.390 | 163
P=0511 | X=0424.730-0449.780 | Y=0686.070-0695.390 | 2.700
P=0511 | X=0460.970-0486.020 | Y=0686.070-0695.390 | 1.900
P=0511 | X=0497.230-0522.280 | Y=0686.070-0695.390 | 1.600
P=0511 | X=0107.330-0401.020 | Y=0689.950-0701.190 | ranh thửa đất số 126, tờ BĐĐC số 180 về bên trái, xã Nhơn Trạch
P=0511 | X=0107.330-0314.180 | Y=0701.490-0712.730 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0512 | X=0107.330-0338.410 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0512 | X=0107.330-0384.500 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0512 | X=0107.330-0374.850 | Y=0114.290-0125.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0512 | X=0107.330-0393.430 | Y=0125.810-0137.050 | trường mầm non Phú Thạnh đoạn từ Đường Lý Thái Tổ đến Hết
P=0512 | X=0107.330-0401.020 | Y=0137.330-0148.570 | ranh thửa đất số 126, tờ BĐĐC số 180 về bên trái, xã Nhơn Trạch
P=0512 | X=0107.330-0314.180 | Y=0148.850-0160.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0512 | X=0090.020-0338.880 | Y=0165.370-0177.610 | 164 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0512 | X=0424.730-0449.780 | Y=0165.370-0174.690 | 2.100
P=0512 | X=0460.970-0486.020 | Y=0165.370-0174.690 | 1.500
P=0512 | X=0497.230-0522.280 | Y=0165.370-0174.690 | 1.300
P=0512 | X=0107.330-0394.220 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0512 | X=0107.330-0168.450 | Y=0195.170-0206.410 | đến ≤1.000m.
P=0512 | X=0107.330-0330.510 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0512 | X=0107.330-0374.850 | Y=0230.710-0241.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0512 | X=0107.330-0393.430 | Y=0242.230-0253.470 | trường mầm non Phú Thạnh đoạn từ Đường Lý Thái Tổ đến Hết
P=0512 | X=0107.330-0401.020 | Y=0253.750-0264.990 | ranh thửa đất số 126, tờ BĐĐC số 180 về bên trái, xã Nhơn Trạch
P=0512 | X=0090.020-0314.190 | Y=0265.270-0276.710 | 165 có hiện trạng là đường nhựa, bê tông xi măng:
P=0512 | X=0424.730-0449.780 | Y=0267.390-0276.710 | 1.500
P=0512 | X=0460.970-0486.020 | Y=0267.390-0276.710 | 1.100
P=0512 | X=0505.630-0522.270 | Y=0267.390-0276.710 | 900
P=0512 | X=0107.330-0393.120 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0512 | X=0107.330-0330.970 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0512 | X=0107.330-0392.590 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0512 | X=0107.330-0394.750 | Y=0329.860-0341.100 | Đường vào trường mầm non Phú Thạnh đoạn từ Đường Lý Thái
P=0512 | X=0107.330-0397.150 | Y=0341.380-0352.620 | Tổ đến Hết ranh thửa đất số 126, tờ BĐĐC số 180 về bên trái, xã
P=0512 | X=0090.020-0370.100 | Y=0352.900-0364.340 | 166 Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi măng:
P=0512 | X=0424.730-0449.780 | Y=0355.020-0364.340 | 2.400
P=0512 | X=0460.970-0486.020 | Y=0355.020-0364.340 | 1.700
P=0512 | X=0497.230-0522.280 | Y=0355.020-0364.340 | 1.400
P=0512 | X=0107.330-0338.410 | Y=0370.200-0381.440 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0512 | X=0107.330-0384.500 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0512 | X=0107.330-0392.590 | Y=0405.720-0416.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0512 | X=0107.330-0394.750 | Y=0417.240-0428.480 | Đường vào trường mầm non Phú Thạnh đoạn từ Đường Lý Thái
P=0512 | X=0107.330-0397.150 | Y=0428.760-0440.000 | Tổ đến Hết ranh thửa đất số 126, tờ BĐĐC số 180 về bên trái, xã
P=0512 | X=0107.330-0370.100 | Y=0440.280-0451.520 | Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi măng:
P=0512 | X=0090.020-0338.880 | Y=0457.060-0469.060 | 167 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0512 | X=0424.730-0449.780 | Y=0457.060-0466.380 | 1.900
P=0512 | X=0460.970-0486.020 | Y=0457.060-0466.380 | 1.300
P=0512 | X=0497.230-0522.280 | Y=0457.060-0466.380 | 1.100
P=0512 | X=0107.330-0394.220 | Y=0475.340-0486.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0512 | X=0107.330-0168.450 | Y=0486.860-0498.100 | đến ≤1.000m.
P=0512 | X=0107.330-0330.500 | Y=0504.380-0515.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0512 | X=0107.330-0392.620 | Y=0522.380-0533.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0512 | X=0107.330-0394.750 | Y=0533.930-0545.170 | Đường vào trường mầm non Phú Thạnh đoạn từ Đường Lý Thái
P=0512 | X=0107.330-0397.150 | Y=0545.450-0556.690 | Tổ đến Hết ranh thửa đất số 126, tờ BĐĐC số 180 về bên trái, xã
P=0512 | X=0090.020-0370.100 | Y=0556.970-0568.410 | 168 Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi măng:
P=0512 | X=0424.730-0449.780 | Y=0559.090-0568.410 | 1.400
P=0512 | X=0469.370-0486.010 | Y=0559.090-0568.410 | 980
P=0512 | X=0505.630-0522.270 | Y=0559.090-0568.410 | 840
P=0512 | X=0107.330-0393.120 | Y=0574.250-0585.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0512 | X=0107.330-0330.970 | Y=0591.770-0603.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0512 | X=0315.000-0394.740 | Y=0609.770-0621.010 | Hết ranh xã Nhơn
P=0512 | X=0090.020-0313.880 | Y=0615.530-0626.770 | 169 Đường Nguyễn Hữu Cảnh Đường Lý Thái Tổ
P=0512 | X=0424.730-0449.780 | Y=0617.410-0626.730 | 7.000
P=0512 | X=0460.970-0486.020 | Y=0617.410-0626.730 | 4.900
P=0512 | X=0497.230-0522.280 | Y=0617.410-0626.730 | 4.200
P=0512 | X=0315.000-0340.760 | Y=0623.190-0632.510 | Trạch
P=0512 | X=0107.330-0392.870 | Y=0639.310-0650.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0512 | X=0107.330-0405.590 | Y=0650.830-0662.070 | Hữu Cảnh đoạn từ Đường Lý Thái Tổ đến Hết ranh xã Nhơn Trạch
P=0512 | X=0107.330-0314.180 | Y=0662.350-0673.590 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0512 | X=0090.020-0106.660 | Y=0670.230-0679.550 | 170
P=0512 | X=0424.730-0449.780 | Y=0670.230-0679.550 | 3.100
P=0512 | X=0460.970-0486.020 | Y=0670.230-0679.550 | 2.200
P=0512 | X=0497.230-0522.280 | Y=0670.230-0679.550 | 1.900
P=0512 | X=0107.330-0338.410 | Y=0679.870-0691.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0512 | X=0107.330-0384.500 | Y=0697.390-0708.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0513 | X=0107.330-0392.870 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0513 | X=0107.330-0405.580 | Y=0090.260-0101.500 | Hữu Cảnh đoạn từ Đường Lý Thái Tổ đến Hết ranh xã Nhơn Trạch
P=0513 | X=0107.330-0314.180 | Y=0101.780-0113.020 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0513 | X=0090.020-0338.880 | Y=0119.330-0133.410 | 171 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0513 | X=0424.730-0449.780 | Y=0124.090-0133.410 | 2.500
P=0513 | X=0460.970-0486.020 | Y=0124.090-0133.410 | 1.800
P=0513 | X=0497.230-0522.280 | Y=0124.090-0133.410 | 1.500
P=0513 | X=0107.330-0394.220 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0513 | X=0107.330-0168.450 | Y=0148.370-0159.610 | đến ≤1.000m.
P=0513 | X=0107.330-0330.500 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0513 | X=0107.330-0392.870 | Y=0183.650-0194.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0513 | X=0107.330-0405.580 | Y=0195.170-0206.410 | Hữu Cảnh đoạn từ Đường Lý Thái Tổ đến Hết ranh xã Nhơn Trạch
P=0513 | X=0107.330-0314.180 | Y=0206.710-0217.950 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0513 | X=0090.020-0106.660 | Y=0214.590-0223.910 | 172
P=0513 | X=0424.730-0449.780 | Y=0214.590-0223.910 | 1.900
P=0513 | X=0460.970-0486.020 | Y=0214.590-0223.910 | 1.300
P=0513 | X=0497.230-0522.280 | Y=0214.590-0223.910 | 1.100
P=0513 | X=0107.330-0393.140 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0513 | X=0107.330-0330.970 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0513 | X=0107.330-0392.590 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0513 | X=0107.330-0384.550 | Y=0271.270-0282.510 | Đường Nguyễn Hữu Cảnh đoạn từ Đường Lý Thái Tổ đến Hết
P=0513 | X=0107.330-0375.800 | Y=0282.820-0294.060 | ranh xã Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi
P=0513 | X=0090.020-0135.330 | Y=0294.340-0305.780 | 173 măng:
P=0513 | X=0424.730-0449.780 | Y=0296.460-0305.780 | 2.800
P=0513 | X=0460.970-0486.020 | Y=0296.460-0305.780 | 2.000
P=0513 | X=0497.230-0522.280 | Y=0296.460-0305.780 | 1.700
P=0513 | X=0107.330-0338.410 | Y=0311.860-0323.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0513 | X=0107.330-0384.500 | Y=0329.380-0340.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0513 | X=0107.330-0392.590 | Y=0347.380-0358.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0513 | X=0107.330-0384.550 | Y=0358.900-0370.140 | Đường Nguyễn Hữu Cảnh đoạn từ Đường Lý Thái Tổ đến Hết
P=0513 | X=0107.330-0375.800 | Y=0370.200-0381.440 | ranh xã Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi
P=0513 | X=0107.330-0135.330 | Y=0381.720-0392.960 | măng:
P=0513 | X=0090.020-0338.880 | Y=0398.480-0410.480 | 174 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0513 | X=0424.730-0449.780 | Y=0398.480-0407.800 | 2.300
P=0513 | X=0460.970-0486.020 | Y=0398.480-0407.800 | 1.600
P=0513 | X=0497.230-0522.280 | Y=0398.480-0407.800 | 1.400
P=0513 | X=0107.330-0394.220 | Y=0416.760-0428.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0513 | X=0107.330-0168.450 | Y=0428.280-0439.520 | đến ≤1.000m.
P=0513 | X=0107.330-0330.500 | Y=0445.800-0457.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0513 | X=0107.330-0392.590 | Y=0463.820-0475.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0513 | X=0107.330-0384.550 | Y=0475.340-0486.580 | Đường Nguyễn Hữu Cảnh đoạn từ Đường Lý Thái Tổ đến Hết
P=0513 | X=0107.330-0375.800 | Y=0486.860-0498.100 | ranh xã Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi
P=0513 | X=0090.020-0135.330 | Y=0498.380-0509.820 | 175 măng:
P=0513 | X=0424.730-0449.780 | Y=0500.500-0509.820 | 1.700
P=0513 | X=0460.970-0486.020 | Y=0500.500-0509.820 | 1.200
P=0513 | X=0497.230-0522.280 | Y=0500.500-0509.820 | 1.000
P=0513 | X=0107.330-0393.150 | Y=0515.900-0527.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0513 | X=0107.330-0330.970 | Y=0533.450-0544.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0513 | X=0107.330-0221.910 | Y=0551.450-0562.690 | Đường Kim Đồng (đường
P=0513 | X=0231.940-0300.920 | Y=0557.210-0568.450 | Đường Nguyễn
P=0513 | X=0315.000-0390.690 | Y=0557.210-0568.450 | Đường Trần Văn
P=0513 | X=0090.020-0215.170 | Y=0562.970-0574.210 | 176 vào Trường THCS Long
P=0513 | X=0424.730-0449.780 | Y=0564.850-0574.170 | 6.300
P=0513 | X=0460.970-0486.020 | Y=0564.850-0574.170 | 4.400
P=0513 | X=0497.230-0522.280 | Y=0564.850-0574.170 | 3.800
P=0513 | X=0315.000-0329.240 | Y=0568.490-0579.730 | Ơn
P=0513 | X=0231.940-0278.110 | Y=0570.370-0579.690 | Hữu Cảnh
P=0513 | X=0107.330-0127.960 | Y=0576.130-0585.450 | Tân)
P=0513 | X=0107.330-0402.470 | Y=0592.250-0603.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Kim Đồng
P=0513 | X=0107.330-0383.270 | Y=0603.770-0615.010 | (đường vào Trường THCS Long Tân) đoạn từ Đường Nguyễn
P=0513 | X=0107.330-0401.110 | Y=0615.290-0626.530 | Hữu Cảnh đến Đường Trần Văn Ơn có hiện trạng là đường nhựa,
P=0513 | X=0090.020-0181.410 | Y=0626.830-0638.270 | 177 bê tông xi măng:
P=0513 | X=0424.730-0449.780 | Y=0628.950-0638.270 | 2.700
P=0513 | X=0460.970-0486.020 | Y=0628.950-0638.270 | 1.900
P=0513 | X=0497.230-0522.280 | Y=0628.950-0638.270 | 1.600
P=0513 | X=0107.330-0338.410 | Y=0644.350-0655.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0513 | X=0107.330-0384.500 | Y=0661.870-0673.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0513 | X=0107.330-0402.470 | Y=0679.870-0691.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Kim Đồng
P=0513 | X=0090.020-0383.270 | Y=0691.390-0702.630 | 178 (đường vào Trường THCS Long Tân) đoạn từ Đường Nguyễn
P=0513 | X=0424.730-0449.780 | Y=0693.270-0702.590 | 2.100
P=0513 | X=0460.970-0486.020 | Y=0693.270-0702.590 | 1.500
P=0513 | X=0497.230-0522.280 | Y=0693.270-0702.590 | 1.300
P=0513 | X=0107.330-0401.110 | Y=0702.930-0714.170 | Hữu Cảnh đến Đường Trần Văn Ơn có hiện trạng là đường nhựa,
P=0514 | X=0107.330-0181.410 | Y=0072.740-0083.980 | bê tông xi măng:
P=0514 | X=0107.330-0338.890 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0514 | X=0107.330-0394.220 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0514 | X=0107.330-0168.450 | Y=0119.330-0130.570 | đến ≤1.000m.
P=0514 | X=0107.330-0330.500 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0514 | X=0107.330-0402.470 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Kim Đồng
P=0514 | X=0107.330-0383.270 | Y=0166.370-0177.610 | (đường vào Trường THCS Long Tân) đoạn từ Đường Nguyễn
P=0514 | X=0107.330-0401.110 | Y=0177.650-0188.890 | Hữu Cảnh đến Đường Trần Văn Ơn có hiện trạng là đường nhựa,
P=0514 | X=0090.020-0181.410 | Y=0189.170-0200.610 | 179 bê tông xi măng:
P=0514 | X=0424.730-0449.780 | Y=0191.290-0200.610 | 1.500
P=0514 | X=0460.970-0486.020 | Y=0191.290-0200.610 | 1.100
P=0514 | X=0505.630-0522.270 | Y=0191.290-0200.610 | 900
P=0514 | X=0107.330-0393.120 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0514 | X=0107.330-0330.970 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0514 | X=0107.330-0392.590 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0514 | X=0107.330-0393.050 | Y=0253.750-0264.990 | Đường Kim Đồng (đường vào Trường THCS Long Tân) đoạn từ
P=0514 | X=0107.330-0400.790 | Y=0265.270-0276.510 | Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Ơn có hiện trạng
P=0514 | X=0090.020-0253.660 | Y=0276.790-0288.230 | 180 là đường nhựa, bê tông xi măng:
P=0514 | X=0424.730-0449.780 | Y=0278.910-0288.230 | 2.400
P=0514 | X=0460.970-0486.020 | Y=0278.910-0288.230 | 1.700
P=0514 | X=0497.230-0522.280 | Y=0278.910-0288.230 | 1.400
P=0514 | X=0107.330-0338.410 | Y=0294.340-0305.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0514 | X=0107.330-0384.500 | Y=0311.860-0323.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0514 | X=0107.330-0392.590 | Y=0329.860-0341.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0514 | X=0107.330-0393.050 | Y=0341.380-0352.620 | Đường Kim Đồng (đường vào Trường THCS Long Tân) đoạn từ
P=0514 | X=0107.330-0400.790 | Y=0352.900-0364.140 | Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Ơn có hiện trạng
P=0514 | X=0107.330-0253.660 | Y=0364.180-0375.420 | là đường nhựa, bê tông xi măng:
P=0514 | X=0090.020-0338.880 | Y=0380.960-0392.960 | 181 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0514 | X=0424.730-0449.780 | Y=0380.960-0390.280 | 1.900
P=0514 | X=0460.970-0486.020 | Y=0380.960-0390.280 | 1.300
P=0514 | X=0497.230-0522.280 | Y=0380.960-0390.280 | 1.100
P=0514 | X=0107.330-0394.220 | Y=0399.240-0410.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0514 | X=0107.330-0168.450 | Y=0410.760-0422.000 | đến ≤1.000m.
P=0514 | X=0107.330-0330.500 | Y=0428.280-0439.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0514 | X=0107.330-0392.590 | Y=0446.280-0457.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0514 | X=0107.330-0393.050 | Y=0457.820-0469.060 | Đường Kim Đồng (đường vào Trường THCS Long Tân) đoạn từ
P=0514 | X=0107.330-0400.790 | Y=0469.340-0480.580 | Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Ơn có hiện trạng
P=0514 | X=0090.020-0253.660 | Y=0480.860-0492.300 | 182 là đường nhựa, bê tông xi măng:
P=0514 | X=0424.730-0449.780 | Y=0482.980-0492.300 | 1.400
P=0514 | X=0469.370-0486.010 | Y=0482.980-0492.300 | 980
P=0514 | X=0505.630-0522.270 | Y=0482.980-0492.300 | 840
P=0514 | X=0107.330-0393.120 | Y=0498.380-0509.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0514 | X=0107.330-0330.970 | Y=0515.900-0527.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0514 | X=0231.940-0300.920 | Y=0533.930-0545.170 | Đường Nguyễn
P=0514 | X=0231.940-0393.670 | Y=0545.450-0556.690 | Hữu Cảnh đến hết Hết ranh thửa đất
P=0514 | X=0231.940-0398.870 | Y=0556.970-0568.210 | ranh thửa đất số số 31, tờ BĐĐC số
P=0514 | X=0090.020-0163.570 | Y=0562.490-0573.730 | 183 Đường Miễu
P=0514 | X=0424.730-0449.780 | Y=0564.370-0573.690 | 5.800
P=0514 | X=0460.970-0486.020 | Y=0564.370-0573.690 | 4.100
P=0514 | X=0497.230-0522.280 | Y=0564.370-0573.690 | 3.500
