TABLE=027 | AREA=Xã Xuân Bắc | SECTION=non-agricultural | SEGMENTS=1
P=1001 | X=0406.940-0423.580 | Y=0167.530-0176.850 | 300
P=1001 | X=0443.450-0460.090 | Y=0167.530-0176.850 | 220
P=1001 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 200
P=1001 | X=0107.330-0348.420 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1001 | X=0107.330-0149.470 | Y=0190.570-0199.890 | >1.000m.
P=1001 | X=0107.330-0330.970 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1001 | X=0107.330-0380.840 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1001 | X=0107.330-0379.420 | Y=0235.510-0246.750 | ra Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa
P=1001 | X=0107.330-0382.780 | Y=0247.030-0258.270 | đất số 5, tờ bản đồ số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp
P=1001 | X=0092.900-0388.590 | Y=0258.550-0269.990 | 54 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1001 | X=0406.940-0423.580 | Y=0260.670-0269.990 | 600
P=1001 | X=0443.450-0460.090 | Y=0260.670-0269.990 | 420
P=1001 | X=0505.390-0522.030 | Y=0260.670-0269.990 | 360
P=1001 | X=0107.330-0338.410 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1001 | X=0107.330-0384.500 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1001 | X=0107.330-0380.840 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1001 | X=0107.330-0379.420 | Y=0322.900-0334.140 | ra Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa
P=1001 | X=0107.330-0382.780 | Y=0334.420-0345.660 | đất số 5, tờ bản đồ số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp
P=1001 | X=0107.330-0388.590 | Y=0345.700-0356.940 | 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1001 | X=0092.900-0338.880 | Y=0362.460-0374.460 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1001 | X=0406.940-0423.580 | Y=0362.460-0371.780 | 420
P=1001 | X=0443.450-0460.090 | Y=0362.460-0371.780 | 300
P=1001 | X=0505.390-0522.030 | Y=0362.460-0371.780 | 260
P=1001 | X=0107.330-0360.620 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1001 | X=0107.330-0202.280 | Y=0392.280-0403.520 | >500m đến ≤1.000m.
P=1001 | X=0107.330-0330.500 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1001 | X=0107.330-0380.840 | Y=0427.560-0438.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1001 | X=0107.330-0379.420 | Y=0439.080-0450.320 | ra Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa
P=1001 | X=0107.330-0382.780 | Y=0450.620-0461.860 | đất số 5, tờ bản đồ số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp
P=1001 | X=0107.330-0388.590 | Y=0462.140-0473.380 | 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1001 | X=0092.900-0104.020 | Y=0470.020-0479.340 | 56
P=1001 | X=0406.940-0423.580 | Y=0470.020-0479.340 | 280
P=1001 | X=0443.450-0460.090 | Y=0470.020-0479.340 | 200
P=1001 | X=0505.390-0522.030 | Y=0470.020-0479.340 | 180
P=1001 | X=0107.330-0348.420 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1001 | X=0107.330-0149.470 | Y=0493.060-0502.380 | >1.000m.
P=1001 | X=0107.330-0330.970 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1001 | X=0315.000-0387.580 | Y=0528.100-0537.420 | Hết mét thứ 800
P=1001 | X=0315.000-0369.100 | Y=0537.770-0549.010 | (thửa đất số
P=1001 | X=0107.330-0212.310 | Y=0543.530-0554.770 | Đường tổ 3+4 ấp 3B xã
P=1001 | X=0235.540-0380.150 | Y=0549.290-0560.530 | Đường tỉnh 763 106, tờ bản đồ
P=1001 | X=0092.900-0104.020 | Y=0551.170-0560.490 | 57
P=1001 | X=0398.780-0423.830 | Y=0551.170-0560.490 | 1.300
P=1001 | X=0443.450-0460.090 | Y=0551.170-0560.490 | 910
P=1001 | X=0505.390-0522.030 | Y=0551.170-0560.490 | 780
P=1001 | X=0107.330-0150.530 | Y=0556.930-0566.250 | Xuân Bắc
P=1001 | X=0315.000-0381.790 | Y=0562.690-0572.010 | số 65, xã Xuân
P=1001 | X=0315.000-0335.640 | Y=0574.210-0583.530 | Bắc)
P=1001 | X=0107.330-0386.860 | Y=0590.090-0601.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4
P=1001 | X=0107.330-0378.400 | Y=0601.610-0612.850 | ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ
P=1001 | X=0107.330-0376.540 | Y=0613.130-0624.370 | 800 (thửa đất số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện
P=1001 | X=0092.900-0279.110 | Y=0624.670-0636.110 | 58 trạng là đường nhựa, bê tông xi măng:
P=1001 | X=0406.940-0423.580 | Y=0626.790-0636.110 | 750
P=1001 | X=0443.450-0460.090 | Y=0626.790-0636.110 | 530
P=1001 | X=0505.390-0522.030 | Y=0626.790-0636.110 | 450
P=1001 | X=0107.330-0338.410 | Y=0642.190-0653.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1001 | X=0107.330-0384.500 | Y=0659.710-0670.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1001 | X=0107.330-0386.860 | Y=0677.470-0688.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4
P=1001 | X=0092.900-0378.400 | Y=0688.750-0699.990 | 59 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ
P=1001 | X=0406.940-0423.580 | Y=0690.630-0699.950 | 520
P=1001 | X=0443.450-0460.090 | Y=0690.630-0699.950 | 360
P=1001 | X=0505.390-0522.030 | Y=0690.630-0699.950 | 310
P=1001 | X=0107.330-0376.540 | Y=0700.290-0711.530 | 800 (thửa đất số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện
P=1002 | X=0107.330-0279.150 | Y=0072.500-0083.740 | trạng là đường nhựa, bê tông xi măng:
P=1002 | X=0107.330-0338.880 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1002 | X=0107.330-0360.620 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1002 | X=0107.330-0202.280 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1002 | X=0107.330-0330.500 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1002 | X=0107.330-0386.860 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4
P=1002 | X=0107.330-0378.400 | Y=0165.650-0176.890 | ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ
P=1002 | X=0107.330-0376.540 | Y=0177.170-0188.410 | 800 (thửa đất số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện
P=1002 | X=0107.330-0279.110 | Y=0188.690-0199.930 | trạng là đường nhựa, bê tông xi măng:
P=1002 | X=0092.900-0104.020 | Y=0196.570-0205.890 | 60
P=1002 | X=0406.940-0423.580 | Y=0196.570-0205.890 | 370
P=1002 | X=0443.450-0460.090 | Y=0196.570-0205.890 | 260
P=1002 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 220
P=1002 | X=0107.330-0348.420 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1002 | X=0107.330-0149.470 | Y=0219.630-0228.950 | >1.000m.
P=1002 | X=0107.330-0331.000 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1002 | X=0107.330-0380.840 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1002 | X=0107.330-0379.890 | Y=0264.550-0275.790 | ra Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763
P=1002 | X=0107.330-0367.160 | Y=0276.070-0287.310 | đến Hết mét thứ 800 (thửa đất số 106, tờ bản đồ số 65, xã
P=1002 | X=0092.900-0363.380 | Y=0287.620-0299.060 | 61 Xuân Bắc) có hiện trạng là đường nhựa, bê tông xi măng:
P=1002 | X=0406.940-0423.580 | Y=0289.740-0299.060 | 680
P=1002 | X=0443.450-0460.090 | Y=0289.740-0299.060 | 480
P=1002 | X=0505.390-0522.030 | Y=0289.740-0299.060 | 410
P=1002 | X=0107.330-0338.410 | Y=0305.140-0316.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1002 | X=0107.330-0384.500 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1002 | X=0107.330-0380.840 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1002 | X=0107.330-0379.890 | Y=0351.700-0362.940 | ra Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763
P=1002 | X=0107.330-0367.160 | Y=0363.220-0374.460 | đến Hết mét thứ 800 (thửa đất số 106, tờ bản đồ số 65, xã
P=1002 | X=0107.330-0363.380 | Y=0374.760-0386.000 | Xuân Bắc) có hiện trạng là đường nhựa, bê tông xi măng:
P=1002 | X=0092.900-0338.880 | Y=0391.520-0403.520 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1002 | X=0406.940-0423.580 | Y=0391.520-0400.840 | 470
P=1002 | X=0443.450-0460.090 | Y=0391.520-0400.840 | 330
P=1002 | X=0505.390-0522.030 | Y=0391.520-0400.840 | 280
P=1002 | X=0107.330-0360.620 | Y=0409.800-0421.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1002 | X=0107.330-0202.280 | Y=0421.320-0432.560 | >500m đến ≤1.000m.
P=1002 | X=0107.330-0330.520 | Y=0438.840-0450.080 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1002 | X=0107.330-0380.840 | Y=0456.620-0467.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1002 | X=0107.330-0379.890 | Y=0468.140-0479.380 | ra Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763
P=1002 | X=0107.330-0367.160 | Y=0479.660-0490.900 | đến Hết mét thứ 800 (thửa đất số 106, tờ bản đồ số 65, xã
P=1002 | X=0107.330-0363.380 | Y=0491.180-0502.420 | Xuân Bắc) có hiện trạng là đường nhựa, bê tông xi măng:
P=1002 | X=0092.900-0104.020 | Y=0499.060-0508.380 | 63
P=1002 | X=0406.940-0423.580 | Y=0499.060-0508.380 | 330
P=1002 | X=0443.450-0460.090 | Y=0499.060-0508.380 | 230
P=1002 | X=0505.390-0522.030 | Y=0499.060-0508.380 | 200
P=1002 | X=0107.330-0348.420 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1002 | X=0107.330-0149.470 | Y=0521.860-0531.180 | >1.000m.
P=1002 | X=0107.330-0330.970 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1002 | X=0107.330-0212.310 | Y=0555.290-0566.530 | Đường tổ 3+4 ấp 3B xã
P=1002 | X=0315.000-0380.140 | Y=0555.290-0566.530 | Đường tổ 6 ấp
P=1002 | X=0092.900-0104.020 | Y=0562.930-0572.250 | 64
P=1002 | X=0235.540-0289.620 | Y=0562.930-0572.250 | Mét thứ 800
P=1002 | X=0398.780-0423.830 | Y=0562.930-0572.250 | 1.200
P=1002 | X=0443.450-0460.090 | Y=0562.930-0572.250 | 840
P=1002 | X=0505.390-0522.030 | Y=0562.930-0572.250 | 720
P=1002 | X=0107.330-0150.530 | Y=0568.690-0578.010 | Xuân Bắc
P=1002 | X=0315.000-0386.780 | Y=0568.690-0578.010 | 3B xã Xuân Bắc
P=1002 | X=0107.330-0386.860 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4
P=1002 | X=0107.330-0389.430 | Y=0596.090-0607.330 | ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ 6 ấp 3B
P=1002 | X=0107.330-0373.700 | Y=0607.610-0618.850 | xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1002 | X=0092.900-0104.020 | Y=0615.490-0624.810 | 65
P=1002 | X=0406.940-0423.580 | Y=0615.490-0624.810 | 670
P=1002 | X=0443.450-0460.090 | Y=0615.490-0624.810 | 470
P=1002 | X=0505.390-0522.030 | Y=0615.490-0624.810 | 400
P=1002 | X=0107.330-0338.410 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1002 | X=0107.330-0384.500 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1002 | X=0107.330-0386.860 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4
P=1002 | X=0107.330-0389.430 | Y=0671.950-0683.190 | ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ 6 ấp 3B
P=1002 | X=0092.900-0373.700 | Y=0682.470-0694.710 | 66 xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1002 | X=0406.940-0423.580 | Y=0682.470-0691.790 | 450
P=1002 | X=0443.450-0460.090 | Y=0682.470-0691.790 | 320
P=1002 | X=0505.390-0522.030 | Y=0682.470-0691.790 | 280
P=1002 | X=0107.330-0338.880 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1003 | X=0107.330-0360.620 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1003 | X=0107.330-0202.280 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1003 | X=0107.330-0330.500 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1003 | X=0107.330-0386.860 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4
P=1003 | X=0107.330-0389.430 | Y=0136.850-0148.090 | ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ 6 ấp 3B
P=1003 | X=0107.330-0373.700 | Y=0148.370-0159.610 | xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1003 | X=0092.900-0104.020 | Y=0162.010-0171.330 | 67
P=1003 | X=0406.940-0423.580 | Y=0162.010-0171.330 | 300
P=1003 | X=0443.450-0460.090 | Y=0162.010-0171.330 | 220
P=1003 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 200
P=1003 | X=0107.330-0348.420 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1003 | X=0107.330-0149.470 | Y=0179.050-0188.370 | >1.000m.
P=1003 | X=0107.330-0330.970 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1003 | X=0107.330-0380.840 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1003 | X=0107.330-0383.260 | Y=0223.990-0235.230 | ra Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến
P=1003 | X=0107.330-0379.750 | Y=0235.510-0246.750 | Đường tổ 6 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa,
P=1003 | X=0092.900-0181.410 | Y=0247.030-0258.470 | 68 bê tông xi măng:
P=1003 | X=0406.940-0423.580 | Y=0249.150-0258.470 | 600
P=1003 | X=0443.450-0460.090 | Y=0249.150-0258.470 | 420
P=1003 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 360
P=1003 | X=0107.330-0338.410 | Y=0264.550-0275.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1003 | X=0107.330-0384.500 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1003 | X=0107.330-0380.840 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1003 | X=0107.330-0383.260 | Y=0311.380-0322.620 | ra Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến
P=1003 | X=0107.330-0379.750 | Y=0322.900-0334.140 | Đường tổ 6 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa,
P=1003 | X=0107.330-0181.410 | Y=0334.420-0345.660 | bê tông xi măng:
P=1003 | X=0092.900-0338.880 | Y=0350.940-0362.940 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1003 | X=0406.940-0423.580 | Y=0350.940-0360.260 | 420
P=1003 | X=0443.450-0460.090 | Y=0350.940-0360.260 | 300
P=1003 | X=0505.390-0522.030 | Y=0350.940-0360.260 | 260
P=1003 | X=0107.330-0360.620 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1003 | X=0107.330-0202.280 | Y=0380.760-0392.000 | >500m đến ≤1.000m.
P=1003 | X=0107.330-0330.500 | Y=0398.280-0409.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1003 | X=0107.330-0380.840 | Y=0416.040-0427.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1003 | X=0107.330-0383.260 | Y=0427.560-0438.800 | ra Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến
P=1003 | X=0107.330-0379.750 | Y=0439.080-0450.320 | Đường tổ 6 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa,
P=1003 | X=0107.330-0181.410 | Y=0450.620-0461.860 | bê tông xi măng:
P=1003 | X=0092.900-0104.020 | Y=0458.500-0467.820 | 70
P=1003 | X=0406.940-0423.580 | Y=0458.500-0467.820 | 280
P=1003 | X=0443.450-0460.090 | Y=0458.500-0467.820 | 200
P=1003 | X=0505.390-0522.030 | Y=0458.500-0467.820 | 180
P=1003 | X=0107.330-0348.420 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1003 | X=0107.330-0149.470 | Y=0481.540-0490.860 | >1.000m.
P=1003 | X=0107.330-0330.970 | Y=0497.180-0508.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1003 | X=0315.000-0387.580 | Y=0516.820-0526.140 | Hết mét thứ 500
P=1003 | X=0315.000-0369.100 | Y=0526.220-0537.460 | (thửa đất số
P=1003 | X=0107.330-0226.710 | Y=0531.980-0543.220 | Đường tổ 2 ấp 3B xã Xuân
P=1003 | X=0235.540-0380.150 | Y=0537.770-0549.010 | Đường tỉnh 763 145, tờ bản đồ
P=1003 | X=0092.900-0104.020 | Y=0539.650-0548.970 | 71
P=1003 | X=0398.780-0423.830 | Y=0539.650-0548.970 | 1.300
P=1003 | X=0443.450-0460.090 | Y=0539.650-0548.970 | 910
P=1003 | X=0505.390-0522.030 | Y=0539.650-0548.970 | 780
P=1003 | X=0107.330-0124.610 | Y=0545.410-0554.730 | Bắc
P=1003 | X=0315.000-0381.790 | Y=0551.170-0560.490 | số 65, xã Xuân
P=1003 | X=0315.000-0335.640 | Y=0562.690-0572.010 | Bắc)
P=1003 | X=0107.330-0389.260 | Y=0578.570-0589.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp
P=1003 | X=0107.330-0383.740 | Y=0590.090-0601.330 | 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 500
P=1003 | X=0107.330-0382.550 | Y=0601.610-0612.850 | (thửa đất số 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng
P=1003 | X=0092.900-0253.660 | Y=0613.130-0624.570 | 72 là đường nhựa, bê tông xi măng:
P=1003 | X=0406.940-0423.580 | Y=0615.250-0624.570 | 750
P=1003 | X=0443.450-0460.090 | Y=0615.250-0624.570 | 530
P=1003 | X=0505.390-0522.030 | Y=0615.250-0624.570 | 450
P=1003 | X=0107.330-0338.420 | Y=0630.670-0641.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1003 | X=0107.330-0384.500 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1003 | X=0107.330-0389.260 | Y=0665.950-0677.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp
P=1003 | X=0107.330-0383.740 | Y=0677.470-0688.710 | 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 500
P=1003 | X=0092.900-0104.020 | Y=0685.110-0694.430 | 73
P=1003 | X=0406.940-0423.580 | Y=0685.110-0694.430 | 520
P=1003 | X=0443.450-0460.090 | Y=0685.110-0694.430 | 360
P=1003 | X=0505.390-0522.030 | Y=0685.110-0694.430 | 310
P=1003 | X=0107.330-0382.550 | Y=0688.750-0699.990 | (thửa đất số 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng
P=1003 | X=0107.330-0253.660 | Y=0700.290-0711.530 | là đường nhựa, bê tông xi măng:
P=1004 | X=0107.330-0338.880 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1004 | X=0107.330-0360.620 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1004 | X=0107.330-0202.280 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1004 | X=0107.330-0330.500 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1004 | X=0107.330-0389.260 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp
P=1004 | X=0107.330-0383.740 | Y=0154.370-0165.610 | 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 500
P=1004 | X=0107.330-0382.550 | Y=0165.650-0176.890 | (thửa đất số 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng
P=1004 | X=0107.330-0253.660 | Y=0177.170-0188.410 | là đường nhựa, bê tông xi măng:
P=1004 | X=0092.900-0104.020 | Y=0185.050-0194.370 | 74
P=1004 | X=0406.940-0423.580 | Y=0185.050-0194.370 | 370
P=1004 | X=0443.450-0460.090 | Y=0185.050-0194.370 | 260
P=1004 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 220
P=1004 | X=0107.330-0348.420 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1004 | X=0107.330-0149.470 | Y=0208.110-0217.430 | >1.000m.
P=1004 | X=0107.330-0330.970 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1004 | X=0107.330-0380.840 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1004 | X=0107.330-0387.820 | Y=0253.030-0264.270 | ra Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến
P=1004 | X=0107.330-0373.410 | Y=0264.550-0275.790 | Hết mét thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã Xuân
P=1004 | X=0092.900-0337.680 | Y=0276.070-0287.510 | 75 Bắc) có hiện trạng là đường nhựa, bê tông xi măng:
P=1004 | X=0406.940-0423.580 | Y=0278.190-0287.510 | 680
P=1004 | X=0443.450-0460.090 | Y=0278.190-0287.510 | 480
P=1004 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 410
P=1004 | X=0107.330-0338.410 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1004 | X=0107.330-0384.500 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1004 | X=0107.330-0380.840 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1004 | X=0107.330-0387.820 | Y=0340.420-0351.660 | ra Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến
P=1004 | X=0107.330-0373.410 | Y=0351.700-0362.940 | Hết mét thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã Xuân
P=1004 | X=0107.330-0337.680 | Y=0363.220-0374.460 | Bắc) có hiện trạng là đường nhựa, bê tông xi măng:
P=1004 | X=0092.900-0338.880 | Y=0380.000-0392.000 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1004 | X=0406.940-0423.580 | Y=0380.000-0389.320 | 470
P=1004 | X=0443.450-0460.090 | Y=0380.000-0389.320 | 330
P=1004 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 280
P=1004 | X=0107.330-0360.620 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1004 | X=0107.330-0202.280 | Y=0409.800-0421.040 | >500m đến ≤1.000m.
P=1004 | X=0107.330-0330.500 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1004 | X=0107.330-0380.840 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1004 | X=0107.330-0387.820 | Y=0456.620-0467.860 | ra Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến
P=1004 | X=0107.330-0373.410 | Y=0468.140-0479.380 | Hết mét thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã Xuân
P=1004 | X=0107.330-0337.680 | Y=0479.660-0490.900 | Bắc) có hiện trạng là đường nhựa, bê tông xi măng:
P=1004 | X=0092.900-0104.020 | Y=0487.540-0496.860 | 77
P=1004 | X=0406.940-0423.580 | Y=0487.540-0496.860 | 330
P=1004 | X=0443.450-0460.090 | Y=0487.540-0496.860 | 230
P=1004 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 200
P=1004 | X=0107.330-0348.420 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1004 | X=0107.330-0149.470 | Y=0510.340-0519.660 | >1.000m.
P=1004 | X=0107.330-0330.970 | Y=0525.980-0537.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1004 | X=0315.000-0377.030 | Y=0545.650-0554.970 | Hết ranh thửa
P=1004 | X=0315.000-0376.840 | Y=0555.290-0566.530 | đất số 226, tờ
P=1004 | X=0315.000-0384.230 | Y=0566.810-0578.050 | BĐĐC số 65 về
P=1004 | X=0235.540-0289.620 | Y=0574.450-0583.770 | Mét thứ 500
P=1004 | X=0315.000-0383.580 | Y=0580.210-0589.530 | bên phải và hết
P=1004 | X=0107.330-0311.810 | Y=0584.090-0595.330 | Đường tổ 2 ấp 3B xã Xuân (thửa đất số 145,
P=1004 | X=0315.000-0388.540 | Y=0589.850-0601.090 | ranh thửa đất số
P=1004 | X=0092.900-0104.020 | Y=0591.730-0601.050 | 78
P=1004 | X=0398.780-0423.830 | Y=0591.730-0601.050 | 1.200
P=1004 | X=0443.450-0460.090 | Y=0591.730-0601.050 | 840
