TABLE=012 | AREA=Xã Bình An | SECTION=non-agricultural | SEGMENTS=1
P=0428 | X=0113.090-0155.230 | Y=0296.220-0305.540 | >1.000m.
P=0428 | X=0113.090-0336.730 | Y=0311.860-0323.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0428 | X=0113.090-0359.000 | Y=0329.860-0341.100 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0428 | X=0113.090-0370.310 | Y=0341.380-0352.620 | thông ra Đường Tôn Đức Thắng đoạn từ Đường Vũ Hồng
P=0428 | X=0113.090-0369.910 | Y=0352.900-0364.140 | Phô đến Đường Võ Thị Sáu có hiện trạng là đường nhựa,
P=0428 | X=0113.090-0187.170 | Y=0364.180-0375.420 | bê tông xi măng:
P=0428 | X=0095.810-0106.930 | Y=0372.080-0381.400 | 54
P=0428 | X=0399.500-0424.550 | Y=0372.080-0381.400 | 3.200
P=0428 | X=0448.730-0473.780 | Y=0372.080-0381.400 | 2.200
P=0428 | X=0497.230-0522.280 | Y=0372.080-0381.400 | 1.900
P=0428 | X=0113.090-0344.170 | Y=0381.720-0392.960 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0428 | X=0113.090-0354.200 | Y=0399.240-0410.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0428 | X=0113.090-0146.610 | Y=0410.760-0422.000 | ≤500m.
P=0428 | X=0113.090-0359.000 | Y=0428.760-0440.000 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0428 | X=0113.090-0370.310 | Y=0440.280-0451.520 | thông ra Đường Tôn Đức Thắng đoạn từ Đường Vũ Hồng
P=0428 | X=0113.090-0369.910 | Y=0451.820-0463.060 | Phô đến Đường Võ Thị Sáu có hiện trạng là đường nhựa,
P=0428 | X=0113.090-0187.170 | Y=0463.340-0474.580 | bê tông xi măng:
P=0428 | X=0095.810-0344.640 | Y=0479.860-0492.100 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0428 | X=0399.500-0424.550 | Y=0479.860-0489.180 | 2.400
P=0428 | X=0448.730-0473.780 | Y=0479.860-0489.180 | 1.700
P=0428 | X=0497.230-0522.280 | Y=0479.860-0489.180 | 1.400
P=0428 | X=0113.090-0366.400 | Y=0498.380-0509.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0428 | X=0113.090-0208.040 | Y=0509.900-0521.140 | >500m đến ≤1.000m.
P=0428 | X=0113.090-0336.290 | Y=0527.420-0538.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0428 | X=0113.090-0359.000 | Y=0545.450-0556.690 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0428 | X=0113.090-0370.310 | Y=0556.970-0568.210 | thông ra Đường Tôn Đức Thắng đoạn từ Đường Vũ Hồng
P=0428 | X=0113.090-0369.910 | Y=0568.250-0579.490 | Phô đến Đường Võ Thị Sáu có hiện trạng là đường nhựa,
P=0428 | X=0113.090-0187.170 | Y=0579.770-0591.010 | bê tông xi măng:
P=0428 | X=0095.810-0106.930 | Y=0587.650-0596.970 | 56
P=0428 | X=0399.500-0424.550 | Y=0587.650-0596.970 | 1.900
P=0428 | X=0448.730-0473.780 | Y=0587.650-0596.970 | 1.300
P=0428 | X=0497.230-0522.280 | Y=0587.650-0596.970 | 1.100
P=0428 | X=0113.090-0354.200 | Y=0597.290-0608.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0428 | X=0113.090-0155.250 | Y=0610.690-0620.010 | >1.000m.
P=0428 | X=0113.090-0336.730 | Y=0626.350-0637.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0428 | X=0214.870-0282.910 | Y=0646.230-0655.550 | Quốc lộ 51 qua
P=0428 | X=0113.090-0200.020 | Y=0650.110-0661.350 | Đường liên xã Bình
P=0428 | X=0293.160-0371.730 | Y=0650.110-0661.350 | Đường Lê Quang
P=0428 | X=0095.810-0106.930 | Y=0657.750-0667.070 | 57
P=0428 | X=0214.870-0290.830 | Y=0657.750-0667.070 | Nhà máy mủ cao
P=0428 | X=0399.500-0424.550 | Y=0657.750-0667.070 | 7.000
P=0428 | X=0448.730-0473.780 | Y=0657.750-0667.070 | 4.900
P=0428 | X=0497.230-0522.280 | Y=0657.750-0667.070 | 4.200
P=0428 | X=0293.160-0313.880 | Y=0661.630-0672.870 | Định
P=0428 | X=0113.090-0187.830 | Y=0663.510-0672.830 | An - Long Thành
P=0428 | X=0214.870-0281.440 | Y=0669.270-0678.590 | su Long Thành
P=0428 | X=0113.090-0361.410 | Y=0685.390-0696.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0428 | X=0095.810-0371.740 | Y=0696.910-0708.150 | 58 liên xã Bình An - Long Thành đoạn từ Quốc lộ 51 qua Nhà
P=0428 | X=0399.500-0424.540 | Y=0698.790-0708.110 | 3.300
P=0428 | X=0448.730-0473.780 | Y=0698.790-0708.110 | 2.300
P=0428 | X=0497.230-0522.280 | Y=0698.790-0708.110 | 2.000
P=0428 | X=0113.090-0374.360 | Y=0708.450-0719.690 | máy mủ cao su Long Thành đến Đường Lê Quang Định có
P=0429 | X=0113.090-0306.700 | Y=0072.740-0083.980 | hiện trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0113.090-0344.170 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0429 | X=0113.090-0354.200 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0429 | X=0113.090-0146.610 | Y=0119.330-0130.570 | ≤500m.
P=0429 | X=0113.090-0361.410 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0429 | X=0113.090-0371.740 | Y=0148.850-0160.090 | liên xã Bình An - Long Thành đoạn từ Quốc lộ 51 qua Nhà
P=0429 | X=0113.090-0374.360 | Y=0160.370-0171.610 | máy mủ cao su Long Thành đến Đường Lê Quang Định có
P=0429 | X=0113.090-0306.700 | Y=0171.650-0182.890 | hiện trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0095.810-0344.650 | Y=0188.410-0200.410 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0429 | X=0399.500-0424.550 | Y=0188.410-0197.730 | 3.000
P=0429 | X=0448.730-0473.780 | Y=0188.410-0197.730 | 2.100
P=0429 | X=0497.230-0522.280 | Y=0188.410-0197.730 | 1.800
P=0429 | X=0113.090-0366.400 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0429 | X=0113.090-0208.040 | Y=0218.230-0229.470 | >500m đến ≤1.000m.
P=0429 | X=0113.090-0336.260 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0429 | X=0113.090-0361.410 | Y=0253.750-0264.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0429 | X=0113.090-0371.740 | Y=0265.270-0276.510 | liên xã Bình An - Long Thành đoạn từ Quốc lộ 51 qua Nhà
P=0429 | X=0113.090-0374.360 | Y=0276.790-0288.030 | máy mủ cao su Long Thành đến Đường Lê Quang Định có
P=0429 | X=0113.090-0306.700 | Y=0288.340-0299.580 | hiện trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0095.810-0106.930 | Y=0296.220-0305.540 | 60
P=0429 | X=0399.500-0424.550 | Y=0296.220-0305.540 | 2.600
P=0429 | X=0448.730-0473.780 | Y=0296.220-0305.540 | 1.800
P=0429 | X=0497.230-0522.280 | Y=0296.220-0305.540 | 1.600
P=0429 | X=0113.090-0354.200 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0429 | X=0113.090-0155.230 | Y=0319.260-0328.580 | >1.000m.
P=0429 | X=0113.090-0336.730 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0429 | X=0113.090-0359.000 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0429 | X=0113.090-0354.150 | Y=0364.180-0375.420 | thông ra Đường liên xã Bình An - Long Thành đoạn từ
P=0429 | X=0113.090-0348.440 | Y=0375.720-0386.960 | Quốc lộ 51 qua Nhà máy mủ cao su Long Thành đến
P=0429 | X=0113.090-0361.410 | Y=0387.240-0398.480 | Đường Lê Quang Định có hiện trạng là đường nhựa, bê
P=0429 | X=0095.810-0173.250 | Y=0398.760-0410.200 | 61 tông xi măng:
P=0429 | X=0399.500-0424.550 | Y=0400.880-0410.200 | 3.000
P=0429 | X=0448.730-0473.780 | Y=0400.880-0410.200 | 2.100
P=0429 | X=0497.230-0522.280 | Y=0400.880-0410.200 | 1.800
P=0429 | X=0113.090-0344.170 | Y=0416.280-0427.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0429 | X=0113.090-0354.200 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0429 | X=0113.090-0146.610 | Y=0445.320-0456.560 | ≤500m.
P=0429 | X=0113.090-0359.000 | Y=0463.340-0474.580 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0429 | X=0113.090-0354.150 | Y=0474.860-0486.100 | thông ra Đường liên xã Bình An - Long Thành đoạn từ
P=0429 | X=0113.090-0348.440 | Y=0486.380-0497.620 | Quốc lộ 51 qua Nhà máy mủ cao su Long Thành đến
P=0429 | X=0113.090-0361.410 | Y=0497.900-0509.140 | Đường Lê Quang Định có hiện trạng là đường nhựa, bê
P=0429 | X=0113.090-0173.250 | Y=0509.420-0520.660 | tông xi măng:
P=0429 | X=0095.810-0106.930 | Y=0520.180-0529.500 | 62
P=0429 | X=0399.500-0424.550 | Y=0520.180-0529.500 | 2.700
P=0429 | X=0448.730-0473.780 | Y=0520.180-0529.500 | 1.900
P=0429 | X=0497.230-0522.280 | Y=0520.180-0529.500 | 1.600
P=0429 | X=0113.090-0344.640 | Y=0526.940-0538.180 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0429 | X=0113.090-0366.400 | Y=0544.250-0555.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0429 | X=0113.090-0208.040 | Y=0555.770-0567.010 | >500m đến ≤1.000m.
P=0429 | X=0113.090-0336.260 | Y=0573.290-0584.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0429 | X=0113.090-0359.000 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0429 | X=0113.090-0354.150 | Y=0602.810-0614.050 | thông ra Đường liên xã Bình An - Long Thành đoạn từ
P=0429 | X=0113.090-0348.440 | Y=0614.330-0625.570 | Quốc lộ 51 qua Nhà máy mủ cao su Long Thành đến
P=0429 | X=0113.090-0361.410 | Y=0625.870-0637.110 | Đường Lê Quang Định có hiện trạng là đường nhựa, bê
P=0429 | X=0095.810-0173.250 | Y=0637.390-0648.830 | 63 tông xi măng:
P=0429 | X=0399.500-0424.550 | Y=0639.510-0648.830 | 2.300
P=0429 | X=0448.730-0473.780 | Y=0639.510-0648.830 | 1.600
P=0429 | X=0497.230-0522.280 | Y=0639.510-0648.830 | 1.400
P=0429 | X=0113.090-0354.200 | Y=0654.910-0666.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0429 | X=0113.090-0155.230 | Y=0668.310-0677.630 | >1.000m.
P=0429 | X=0113.090-0336.730 | Y=0683.950-0695.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0429 | X=0095.810-0200.020 | Y=0701.970-0713.210 | 64 Đường liên xã Bình
P=0429 | X=0214.870-0350.600 | Y=0703.860-0713.180 | Nhà máy mủ cao Giáp ranh xã
P=0429 | X=0399.500-0424.550 | Y=0703.860-0713.180 | 6.700
P=0429 | X=0448.730-0473.780 | Y=0703.860-0713.180 | 4.700
P=0429 | X=0497.230-0522.280 | Y=0703.860-0713.180 | 4.000
P=0430 | X=0113.090-0187.830 | Y=0074.620-0083.940 | An - Long Thành
P=0430 | X=0214.870-0281.440 | Y=0074.620-0083.940 | su Long Thành
P=0430 | X=0293.160-0346.540 | Y=0074.620-0083.940 | Long Thành
P=0430 | X=0113.090-0361.410 | Y=0090.740-0101.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0430 | X=0113.090-0371.480 | Y=0102.260-0113.500 | liên xã Bình An - Long Thành đoạn từ Nhà máy mủ cao su
P=0430 | X=0113.090-0373.630 | Y=0113.780-0125.020 | Long Thành đến Giáp ranh xã Long Thành có hiện trạng là
P=0430 | X=0113.090-0248.860 | Y=0125.330-0136.570 | đường nhựa, bê tông xi măng:
P=0430 | X=0095.810-0106.930 | Y=0133.210-0142.530 | 65
P=0430 | X=0399.500-0424.550 | Y=0133.210-0142.530 | 3.200
P=0430 | X=0448.730-0473.780 | Y=0133.210-0142.530 | 2.200
P=0430 | X=0497.230-0522.280 | Y=0133.210-0142.530 | 1.900
P=0430 | X=0113.090-0344.170 | Y=0142.850-0154.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0430 | X=0113.090-0354.200 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0430 | X=0113.090-0146.610 | Y=0171.650-0182.890 | ≤500m.
P=0430 | X=0113.090-0361.410 | Y=0189.650-0200.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0430 | X=0113.090-0371.480 | Y=0201.190-0212.430 | liên xã Bình An - Long Thành đoạn từ Nhà máy mủ cao su
P=0430 | X=0113.090-0373.630 | Y=0212.710-0223.950 | Long Thành đến Giáp ranh xã Long Thành có hiện trạng là
P=0430 | X=0113.090-0248.860 | Y=0224.230-0235.470 | đường nhựa, bê tông xi măng:
P=0430 | X=0095.810-0344.640 | Y=0240.990-0252.990 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0430 | X=0399.500-0424.550 | Y=0240.990-0250.310 | 2.600
P=0430 | X=0448.730-0473.780 | Y=0240.990-0250.310 | 1.800
P=0430 | X=0497.230-0522.280 | Y=0240.990-0250.310 | 1.600
P=0430 | X=0113.090-0366.400 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0430 | X=0113.090-0208.040 | Y=0270.790-0282.030 | >500m đến ≤1.000m.
P=0430 | X=0113.090-0336.260 | Y=0288.340-0299.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0430 | X=0113.090-0361.410 | Y=0306.340-0317.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0430 | X=0113.090-0371.480 | Y=0317.860-0329.100 | liên xã Bình An - Long Thành đoạn từ Nhà máy mủ cao su
P=0430 | X=0113.090-0373.630 | Y=0329.380-0340.620 | Long Thành đến Giáp ranh xã Long Thành có hiện trạng là
P=0430 | X=0113.090-0248.860 | Y=0340.900-0352.140 | đường nhựa, bê tông xi măng:
P=0430 | X=0095.810-0106.930 | Y=0348.780-0358.100 | 67
P=0430 | X=0399.500-0424.550 | Y=0348.780-0358.100 | 1.900
P=0430 | X=0448.730-0473.780 | Y=0348.780-0358.100 | 1.300
P=0430 | X=0497.230-0522.280 | Y=0348.780-0358.100 | 1.100
P=0430 | X=0113.090-0354.200 | Y=0358.180-0369.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0430 | X=0113.090-0155.230 | Y=0371.600-0380.920 | >1.000m.
P=0430 | X=0113.090-0336.730 | Y=0387.240-0398.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0430 | X=0113.090-0359.000 | Y=0405.240-0416.480 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0430 | X=0113.090-0354.150 | Y=0416.760-0428.000 | thông ra Đường liên xã Bình An - Long Thành đoạn từ
P=0430 | X=0113.090-0362.810 | Y=0428.280-0439.520 | Nhà máy mủ cao su Long Thành đến Giáp ranh xã Long
P=0430 | X=0113.090-0351.130 | Y=0439.800-0451.040 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0430 | X=0095.810-0106.930 | Y=0447.680-0457.000 | 68
P=0430 | X=0399.500-0424.550 | Y=0447.680-0457.000 | 2.900
P=0430 | X=0448.730-0473.780 | Y=0447.680-0457.000 | 2.000
P=0430 | X=0497.230-0522.280 | Y=0447.680-0457.000 | 1.700
P=0430 | X=0113.090-0344.170 | Y=0457.340-0468.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0430 | X=0113.090-0354.200 | Y=0474.860-0486.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0430 | X=0113.090-0146.610 | Y=0486.380-0497.620 | ≤500m.
P=0430 | X=0113.090-0359.000 | Y=0504.380-0515.620 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0430 | X=0113.090-0354.150 | Y=0515.900-0527.140 | thông ra Đường liên xã Bình An - Long Thành đoạn từ
P=0430 | X=0113.090-0362.810 | Y=0527.420-0538.660 | Nhà máy mủ cao su Long Thành đến Giáp ranh xã Long
P=0430 | X=0113.090-0351.130 | Y=0538.970-0550.210 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0430 | X=0095.810-0344.650 | Y=0555.490-0567.490 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0430 | X=0399.500-0424.550 | Y=0555.490-0564.810 | 2.300
P=0430 | X=0448.730-0473.780 | Y=0555.490-0564.810 | 1.600
P=0430 | X=0497.230-0522.280 | Y=0555.490-0564.810 | 1.400
P=0430 | X=0113.090-0366.400 | Y=0573.770-0585.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0430 | X=0113.090-0208.040 | Y=0585.290-0596.530 | >500m đến ≤1.000m.
P=0430 | X=0113.090-0336.260 | Y=0602.810-0614.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0430 | X=0113.090-0359.000 | Y=0620.830-0632.070 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0430 | X=0113.090-0354.140 | Y=0632.350-0643.590 | thông ra Đường liên xã Bình An - Long Thành đoạn từ
P=0430 | X=0113.090-0362.810 | Y=0643.870-0655.110 | Nhà máy mủ cao su Long Thành đến Giáp ranh xã Long
P=0430 | X=0113.090-0351.130 | Y=0655.390-0666.630 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0430 | X=0095.810-0106.930 | Y=0663.270-0672.590 | 70
P=0430 | X=0399.500-0424.550 | Y=0663.270-0672.590 | 1.700
P=0430 | X=0448.730-0473.780 | Y=0663.270-0672.590 | 1.200
P=0430 | X=0497.230-0522.280 | Y=0663.270-0672.590 | 1.000
P=0430 | X=0113.090-0354.200 | Y=0672.910-0684.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0430 | X=0113.090-0155.230 | Y=0686.310-0695.630 | >1.000m.
P=0430 | X=0113.090-0336.730 | Y=0701.970-0713.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0431 | X=0113.090-0203.850 | Y=0078.740-0089.980 | Đường Cầu Mên (từ
P=0431 | X=0113.090-0201.020 | Y=0090.260-0101.500 | đường tỉnh 769 qua
P=0431 | X=0113.090-0212.230 | Y=0103.660-0112.980 | Cao tốc Hồ Chí Minh -
P=0431 | X=0214.870-0357.800 | Y=0107.540-0118.780 | Đường tỉnh 769 Giáp Cầu Mên
P=0431 | X=0095.810-0106.930 | Y=0109.420-0118.740 | 71
P=0431 | X=0399.500-0424.550 | Y=0109.420-0118.740 | 4.400
P=0431 | X=0448.730-0473.780 | Y=0109.420-0118.740 | 3.100
P=0431 | X=0497.230-0522.280 | Y=0109.420-0118.740 | 2.600
P=0431 | X=0113.090-0193.830 | Y=0115.180-0124.500 | Long Thành - Dầu
P=0431 | X=0113.090-0193.840 | Y=0124.850-0136.090 | giây đến giáp Cầu
P=0431 | X=0113.090-0135.890 | Y=0138.250-0147.570 | Mên)
P=0431 | X=0113.090-0361.410 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0431 | X=0113.090-0361.580 | Y=0165.650-0176.890 | Cầu Mên (từ đường tỉnh 769 qua Cao tốc Hồ Chí Minh -
P=0431 | X=0113.090-0374.620 | Y=0177.170-0188.410 | Long Thành - Dầu giây đến giáp Cầu Mên) đoạn từ Đường
P=0431 | X=0113.090-0368.230 | Y=0188.690-0199.930 | tỉnh 769 đến Giáp Cầu Mên có hiện trạng là đường nhựa,
P=0431 | X=0095.810-0187.170 | Y=0200.230-0211.670 | 72 bê tông xi măng:
P=0431 | X=0399.500-0424.550 | Y=0202.350-0211.670 | 2.200
P=0431 | X=0448.730-0473.780 | Y=0202.350-0211.670 | 1.500
P=0431 | X=0497.230-0522.280 | Y=0202.350-0211.670 | 1.300
P=0431 | X=0113.090-0344.170 | Y=0217.750-0228.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0431 | X=0113.090-0354.200 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0431 | X=0113.090-0146.610 | Y=0246.790-0258.030 | ≤500m.
P=0431 | X=0113.090-0361.410 | Y=0264.790-0276.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0431 | X=0113.090-0361.580 | Y=0276.310-0287.550 | Cầu Mên (từ đường tỉnh 769 qua Cao tốc Hồ Chí Minh -
P=0431 | X=0113.090-0374.620 | Y=0287.860-0299.100 | Long Thành - Dầu giây đến giáp Cầu Mên) đoạn từ Đường
P=0431 | X=0113.090-0368.230 | Y=0299.380-0310.620 | tỉnh 769 đến Giáp Cầu Mên có hiện trạng là đường nhựa,
P=0431 | X=0113.090-0187.170 | Y=0310.900-0322.140 | bê tông xi măng:
P=0431 | X=0095.810-0106.930 | Y=0321.660-0330.980 | 73
P=0431 | X=0399.500-0424.550 | Y=0321.660-0330.980 | 1.700
P=0431 | X=0448.730-0473.780 | Y=0321.660-0330.980 | 1.200
P=0431 | X=0497.230-0522.280 | Y=0321.660-0330.980 | 1.000
P=0431 | X=0113.090-0344.680 | Y=0328.420-0339.660 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0431 | X=0113.090-0366.400 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0431 | X=0113.090-0208.040 | Y=0357.220-0368.460 | >500m đến ≤1.000m.
P=0431 | X=0113.090-0336.260 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0431 | X=0113.090-0361.410 | Y=0392.760-0404.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0431 | X=0113.090-0361.580 | Y=0404.280-0415.520 | Cầu Mên (từ đường tỉnh 769 qua Cao tốc Hồ Chí Minh -
P=0431 | X=0113.090-0374.620 | Y=0415.800-0427.040 | Long Thành - Dầu giây đến giáp Cầu Mên) đoạn từ Đường
P=0431 | X=0113.090-0368.230 | Y=0427.320-0438.560 | tỉnh 769 đến Giáp Cầu Mên có hiện trạng là đường nhựa,
P=0431 | X=0095.810-0187.170 | Y=0438.840-0450.280 | 74 bê tông xi măng:
P=0431 | X=0399.500-0424.550 | Y=0440.960-0450.280 | 1.500
P=0431 | X=0448.730-0473.780 | Y=0440.960-0450.280 | 1.100
P=0431 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 900
P=0431 | X=0113.090-0354.200 | Y=0456.380-0467.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0431 | X=0113.090-0155.230 | Y=0469.780-0479.100 | >1.000m.
P=0431 | X=0113.090-0336.730 | Y=0485.420-0496.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0431 | X=0113.090-0359.000 | Y=0503.420-0514.660 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0431 | X=0113.090-0370.940 | Y=0514.940-0526.180 | thông ra Đường Cầu Mên (từ đường tỉnh 769 qua Cao tốc
P=0431 | X=0113.090-0367.080 | Y=0526.220-0537.460 | Hồ Chí Minh - Long Thành - Dầu giây đến giáp Cầu Mên)
P=0431 | X=0113.090-0367.660 | Y=0537.770-0549.010 | đoạn từ Đường tỉnh 769 đến Giáp Cầu Mên có hiện trạng
P=0431 | X=0095.810-0259.420 | Y=0549.290-0560.730 | 75 là đường nhựa, bê tông xi măng:
P=0431 | X=0399.500-0424.550 | Y=0551.410-0560.730 | 2.000
P=0431 | X=0448.730-0473.780 | Y=0551.410-0560.730 | 1.400
P=0431 | X=0497.230-0522.280 | Y=0551.410-0560.730 | 1.200
P=0431 | X=0113.090-0344.170 | Y=0566.810-0578.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0431 | X=0113.090-0354.200 | Y=0584.330-0595.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0431 | X=0113.090-0146.610 | Y=0595.850-0607.090 | ≤500m.
P=0431 | X=0113.090-0359.000 | Y=0613.850-0625.090 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0431 | X=0113.090-0370.940 | Y=0625.390-0636.630 | thông ra Đường Cầu Mên (từ đường tỉnh 769 qua Cao tốc
P=0431 | X=0113.090-0367.080 | Y=0636.910-0648.150 | Hồ Chí Minh - Long Thành - Dầu giây đến giáp Cầu Mên)
P=0431 | X=0113.090-0367.660 | Y=0648.430-0659.670 | đoạn từ Đường tỉnh 769 đến Giáp Cầu Mên có hiện trạng
P=0431 | X=0095.810-0259.420 | Y=0659.950-0671.390 | 76 là đường nhựa, bê tông xi măng:
P=0431 | X=0399.500-0424.550 | Y=0662.070-0671.390 | 1.500
P=0431 | X=0448.730-0473.780 | Y=0662.070-0671.390 | 1.100
P=0431 | X=0505.390-0522.030 | Y=0662.070-0671.390 | 900
P=0431 | X=0113.090-0344.640 | Y=0677.470-0688.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0431 | X=0113.090-0366.400 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0431 | X=0113.090-0208.040 | Y=0706.290-0717.530 | >500m đến ≤1.000m.
P=0432 | X=0113.090-0336.260 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0432 | X=0113.090-0359.000 | Y=0096.740-0107.980 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0432 | X=0113.090-0370.940 | Y=0108.260-0119.500 | thông ra Đường Cầu Mên (từ đường tỉnh 769 qua Cao tốc
P=0432 | X=0113.090-0367.080 | Y=0119.810-0131.050 | Hồ Chí Minh - Long Thành - Dầu giây đến giáp Cầu Mên)
P=0432 | X=0113.090-0367.660 | Y=0131.330-0142.570 | đoạn từ Đường tỉnh 769 đến Giáp Cầu Mên có hiện trạng
P=0432 | X=0095.810-0259.420 | Y=0142.850-0154.290 | 77 là đường nhựa, bê tông xi măng:
P=0432 | X=0399.500-0424.550 | Y=0144.970-0154.290 | 1.400
P=0432 | X=0456.890-0473.530 | Y=0144.970-0154.290 | 980
P=0432 | X=0505.390-0522.030 | Y=0144.970-0154.290 | 840
P=0432 | X=0113.090-0354.200 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0432 | X=0113.090-0155.230 | Y=0173.530-0182.850 | >1.000m.
P=0432 | X=0113.090-0336.730 | Y=0189.170-0200.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0432 | X=0293.160-0360.700 | Y=0207.190-0218.430 | Đường Liên ấp
P=0432 | X=0214.870-0277.360 | Y=0209.070-0218.390 | Ranh xã Long
P=0432 | X=0095.810-0183.260 | Y=0212.950-0224.190 | 78 Đường tỉnh 769
P=0432 | X=0399.500-0424.550 | Y=0214.830-0224.150 | 5.800
P=0432 | X=0448.730-0473.780 | Y=0214.830-0224.150 | 4.100
