TABLE=034 | AREA=Xã Xuân Đông | SECTION=non-agricultural | SEGMENTS=1
P=1237 | X=0461.210-0486.260 | Y=0447.680-0457.000 | 1.400
P=1237 | X=0497.230-0522.280 | Y=0447.680-0457.000 | 1.200
P=1237 | X=0106.850-0384.260 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1237 | X=0106.850-0330.490 | Y=0474.860-0486.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1237 | X=0106.850-0392.110 | Y=0492.620-0503.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1237 | X=0106.850-0407.010 | Y=0504.140-0515.380 | Đường Hùng Vương đoạn từ Đường Ngô Quyền đến Đường D6 có
P=1237 | X=0106.850-0300.460 | Y=0515.660-0526.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=1237 | X=0090.020-0106.660 | Y=0523.540-0532.860 | 320
P=1237 | X=0424.970-0450.020 | Y=0523.540-0532.860 | 4.200
P=1237 | X=0461.210-0486.260 | Y=0523.540-0532.860 | 2.900
P=1237 | X=0497.230-0522.280 | Y=0523.540-0532.860 | 2.500
P=1237 | X=0106.850-0329.760 | Y=0533.210-0544.450 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1237 | X=0106.850-0384.020 | Y=0550.490-0561.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1237 | X=0106.850-0392.110 | Y=0568.250-0579.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1237 | X=0106.850-0407.010 | Y=0579.770-0591.010 | Đường Hùng Vương đoạn từ Đường Ngô Quyền đến Đường D6 có
P=1237 | X=0106.850-0300.460 | Y=0591.290-0602.530 | hiện trạng là đường nhựa, bê tông xi măng:
P=1237 | X=0090.020-0330.020 | Y=0608.810-0623.130 | 321 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1237 | X=0424.970-0450.020 | Y=0613.810-0623.130 | 2.900
P=1237 | X=0461.210-0486.260 | Y=0613.810-0623.130 | 2.000
P=1237 | X=0497.230-0522.280 | Y=0613.810-0623.130 | 1.700
P=1237 | X=0106.850-0413.270 | Y=0626.350-0637.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1237 | X=0106.850-0140.370 | Y=0637.870-0649.110 | ≤600m.
P=1237 | X=0106.850-0330.020 | Y=0655.390-0666.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1237 | X=0106.850-0392.110 | Y=0673.150-0684.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1237 | X=0090.020-0407.010 | Y=0684.670-0695.910 | 322 Đường Hùng Vương đoạn từ Đường Ngô Quyền đến Đường D6 có
P=1237 | X=0424.970-0450.020 | Y=0686.550-0695.870 | 1.800
P=1237 | X=0461.210-0486.260 | Y=0686.550-0695.870 | 1.300
P=1237 | X=0497.230-0522.280 | Y=0686.550-0695.870 | 1.100
P=1237 | X=0106.850-0300.460 | Y=0696.190-0707.430 | hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0106.850-0384.260 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1238 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1238 | X=0106.850-0225.270 | Y=0113.780-0125.020 | Đường Nguyễn Huệ (đoạn
P=1238 | X=0106.850-0228.590 | Y=0125.330-0136.570 | từ Đường Đinh Tiên Hoàng
P=1238 | X=0106.850-0225.030 | Y=0136.850-0148.090 | đến Đường Ngô Quyền và
P=1238 | X=0090.020-0106.660 | Y=0144.490-0153.810 | 323
P=1238 | X=0419.450-0450.010 | Y=0144.490-0153.810 | 11.100
P=1238 | X=0461.210-0486.260 | Y=0144.490-0153.810 | 7.800
P=1238 | X=0497.230-0522.280 | Y=0144.490-0153.810 | 6.700
P=1238 | X=0106.850-0213.040 | Y=0148.370-0159.610 | đoạn từ Đường Nguyễn
P=1238 | X=0106.850-0227.430 | Y=0159.650-0170.890 | Hoàng đến Đường Nguyễn
P=1238 | X=0106.850-0161.320 | Y=0171.170-0182.410 | Tri Phương)
P=1238 | X=0106.850-0413.510 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Huệ
P=1238 | X=0106.850-0414.890 | Y=0200.470-0211.710 | (đoạn từ Đường Đinh Tiên Hoàng đến Đường Ngô Quyền và đoạn từ
P=1238 | X=0106.850-0391.670 | Y=0211.990-0223.230 | Đường Nguyễn Hoàng đến Đường Nguyễn Tri Phương) có hiện
P=1238 | X=0090.020-0278.630 | Y=0223.510-0234.950 | 324 trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0424.970-0450.020 | Y=0225.630-0234.950 | 5.900
P=1238 | X=0461.210-0486.260 | Y=0225.630-0234.950 | 4.100
P=1238 | X=0497.230-0522.280 | Y=0225.630-0234.950 | 3.500
P=1238 | X=0106.850-0329.760 | Y=0241.030-0252.270 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1238 | X=0106.850-0384.020 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1238 | X=0106.850-0413.510 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Huệ
P=1238 | X=0106.850-0414.890 | Y=0287.860-0299.100 | (đoạn từ Đường Đinh Tiên Hoàng đến Đường Ngô Quyền và đoạn từ
P=1238 | X=0106.850-0391.670 | Y=0299.380-0310.620 | Đường Nguyễn Hoàng đến Đường Nguyễn Tri Phương) có hiện
P=1238 | X=0106.850-0278.630 | Y=0310.900-0322.140 | trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0090.020-0330.020 | Y=0327.420-0339.660 | 325 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1238 | X=0424.970-0450.020 | Y=0327.420-0336.740 | 4.200
P=1238 | X=0461.210-0486.260 | Y=0327.420-0336.740 | 2.900
P=1238 | X=0497.230-0522.280 | Y=0327.420-0336.740 | 2.500
P=1238 | X=0106.850-0413.270 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1238 | X=0106.850-0140.370 | Y=0357.220-0368.460 | ≤600m.
P=1238 | X=0106.850-0330.020 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1238 | X=0106.850-0413.510 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Huệ
P=1238 | X=0106.850-0414.890 | Y=0404.040-0415.280 | (đoạn từ Đường Đinh Tiên Hoàng đến Đường Ngô Quyền và đoạn từ
P=1238 | X=0106.850-0391.670 | Y=0415.560-0426.800 | Đường Nguyễn Hoàng đến Đường Nguyễn Tri Phương) có hiện
P=1238 | X=0090.020-0278.630 | Y=0427.080-0438.520 | 326 trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0424.970-0450.020 | Y=0429.200-0438.520 | 2.400
P=1238 | X=0461.210-0486.260 | Y=0429.200-0438.520 | 1.700
P=1238 | X=0497.230-0522.280 | Y=0429.200-0438.520 | 1.400
P=1238 | X=0106.850-0384.260 | Y=0444.600-0455.840 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1238 | X=0106.850-0330.490 | Y=0462.140-0473.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1238 | X=0106.850-0392.110 | Y=0479.900-0491.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1238 | X=0106.850-0403.670 | Y=0491.420-0502.660 | Đường Nguyễn Huệ (đoạn từ Đường Đinh Tiên Hoàng đến Đường
P=1238 | X=0106.850-0403.180 | Y=0502.940-0514.180 | Ngô Quyền và đoạn từ Đường Nguyễn Hoàng đến Đường Nguyễn
P=1238 | X=0090.020-0370.590 | Y=0514.220-0525.660 | 327 Tri Phương) có hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0424.970-0450.020 | Y=0516.340-0525.660 | 5.300
P=1238 | X=0461.210-0486.260 | Y=0516.340-0525.660 | 3.700
P=1238 | X=0497.230-0522.280 | Y=0516.340-0525.660 | 3.200
P=1238 | X=0106.850-0329.760 | Y=0531.740-0542.980 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1238 | X=0106.850-0384.020 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1238 | X=0106.850-0392.110 | Y=0567.050-0578.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1238 | X=0106.850-0403.670 | Y=0578.570-0589.810 | Đường Nguyễn Huệ (đoạn từ Đường Đinh Tiên Hoàng đến Đường
P=1238 | X=0106.850-0403.180 | Y=0590.090-0601.330 | Ngô Quyền và đoạn từ Đường Nguyễn Hoàng đến Đường Nguyễn
P=1238 | X=0106.850-0370.590 | Y=0601.610-0612.850 | Tri Phương) có hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0090.020-0330.020 | Y=0618.150-0630.390 | 328 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1238 | X=0424.970-0450.020 | Y=0618.150-0627.470 | 3.800
P=1238 | X=0461.210-0486.260 | Y=0618.150-0627.470 | 2.700
P=1238 | X=0497.230-0522.280 | Y=0618.150-0627.470 | 2.300
P=1238 | X=0106.850-0413.270 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1238 | X=0106.850-0140.370 | Y=0648.190-0659.430 | ≤600m.
P=1238 | X=0106.850-0330.020 | Y=0665.710-0676.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1238 | X=0106.850-0392.110 | Y=0683.470-0694.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1238 | X=0090.020-0403.670 | Y=0694.750-0705.990 | 329 Đường Nguyễn Huệ (đoạn từ Đường Đinh Tiên Hoàng đến Đường
P=1238 | X=0424.970-0450.020 | Y=0696.630-0705.950 | 2.200
P=1238 | X=0461.210-0486.260 | Y=0696.630-0705.950 | 1.500
P=1238 | X=0497.230-0522.280 | Y=0696.630-0705.950 | 1.300
P=1238 | X=0106.850-0403.180 | Y=0706.290-0717.530 | Ngô Quyền và đoạn từ Đường Nguyễn Hoàng đến Đường Nguyễn
P=1239 | X=0106.850-0370.590 | Y=0072.500-0083.740 | Tri Phương) có hiện trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0106.850-0384.260 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1239 | X=0106.850-0330.490 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1239 | X=0235.060-0293.480 | Y=0125.330-0136.570 | Đường Hùng
P=1239 | X=0321.720-0390.700 | Y=0125.330-0136.570 | Đường Nguyễn
P=1239 | X=0090.020-0183.270 | Y=0131.090-0142.330 | 330 Đường tổ 8, ấp 2
P=1239 | X=0424.970-0450.020 | Y=0132.970-0142.290 | 5.600
P=1239 | X=0461.210-0486.260 | Y=0132.970-0142.290 | 3.900
P=1239 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 3.400
P=1239 | X=0235.060-0266.340 | Y=0136.850-0148.090 | Vương
P=1239 | X=0321.720-0351.100 | Y=0138.730-0148.050 | Hoàng
P=1239 | X=0106.850-0399.820 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 8, ấp 2
P=1239 | X=0106.850-0394.790 | Y=0166.130-0177.370 | đoạn từ Đường Hùng Vương đến Đường Nguyễn Hoàng có hiện
P=1239 | X=0106.850-0278.630 | Y=0177.410-0188.650 | trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0090.020-0106.660 | Y=0185.290-0194.610 | 331
P=1239 | X=0424.970-0450.020 | Y=0185.290-0194.610 | 3.400
P=1239 | X=0461.210-0486.260 | Y=0185.290-0194.610 | 2.400
P=1239 | X=0497.230-0522.280 | Y=0185.290-0194.610 | 2.000
P=1239 | X=0106.850-0329.800 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1239 | X=0106.850-0384.020 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1239 | X=0106.850-0399.820 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 8, ấp 2
P=1239 | X=0106.850-0394.790 | Y=0241.750-0252.990 | đoạn từ Đường Hùng Vương đến Đường Nguyễn Hoàng có hiện
P=1239 | X=0106.850-0278.630 | Y=0253.270-0264.510 | trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0090.020-0330.020 | Y=0270.790-0284.870 | 332 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1239 | X=0424.970-0450.020 | Y=0275.550-0284.870 | 2.500
P=1239 | X=0461.210-0486.260 | Y=0275.550-0284.870 | 1.800
P=1239 | X=0497.230-0522.280 | Y=0275.550-0284.870 | 1.500
P=1239 | X=0106.850-0413.270 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1239 | X=0106.850-0140.370 | Y=0299.860-0311.100 | ≤600m.
P=1239 | X=0106.850-0330.020 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1239 | X=0106.850-0399.820 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 8, ấp 2
P=1239 | X=0106.850-0394.790 | Y=0346.660-0357.900 | đoạn từ Đường Hùng Vương đến Đường Nguyễn Hoàng có hiện
P=1239 | X=0106.850-0278.630 | Y=0357.940-0369.180 | trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0090.020-0106.660 | Y=0365.820-0375.140 | 333
P=1239 | X=0424.970-0450.020 | Y=0365.820-0375.140 | 1.600
P=1239 | X=0461.210-0486.260 | Y=0365.820-0375.140 | 1.100
P=1239 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 960
P=1239 | X=0106.850-0384.260 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1239 | X=0106.850-0330.490 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1239 | X=0106.850-0392.120 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1239 | X=0106.850-0406.300 | Y=0422.280-0433.520 | Đường tổ 8, ấp 2 đoạn từ Đường Hùng Vương đến Đường Nguyễn
P=1239 | X=0106.850-0346.090 | Y=0433.800-0445.040 | Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0090.020-0106.660 | Y=0441.680-0451.000 | 334
P=1239 | X=0424.970-0450.020 | Y=0441.680-0451.000 | 3.100
P=1239 | X=0461.210-0486.260 | Y=0441.680-0451.000 | 2.200
P=1239 | X=0497.230-0522.280 | Y=0441.680-0451.000 | 1.900
P=1239 | X=0106.850-0329.760 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1239 | X=0106.850-0384.020 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1239 | X=0106.850-0392.110 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1239 | X=0106.850-0406.300 | Y=0498.140-0509.380 | Đường tổ 8, ấp 2 đoạn từ Đường Hùng Vương đến Đường Nguyễn
P=1239 | X=0106.850-0346.090 | Y=0509.660-0520.900 | Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0090.020-0330.020 | Y=0527.180-0541.260 | 335 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1239 | X=0424.970-0450.020 | Y=0531.940-0541.260 | 2.300
P=1239 | X=0461.210-0486.260 | Y=0531.940-0541.260 | 1.600
P=1239 | X=0497.230-0522.280 | Y=0531.940-0541.260 | 1.400
P=1239 | X=0106.850-0413.270 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1239 | X=0106.850-0140.370 | Y=0556.010-0567.250 | ≤600m.
P=1239 | X=0106.850-0330.020 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1239 | X=0106.850-0392.110 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1239 | X=0106.850-0406.300 | Y=0602.810-0614.050 | Đường tổ 8, ấp 2 đoạn từ Đường Hùng Vương đến Đường Nguyễn
P=1239 | X=0106.850-0346.100 | Y=0614.330-0625.570 | Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0090.020-0106.660 | Y=0622.230-0631.550 | 336
P=1239 | X=0424.970-0450.020 | Y=0622.230-0631.550 | 1.400
P=1239 | X=0469.370-0486.010 | Y=0622.230-0631.550 | 980
P=1239 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 840
P=1239 | X=0106.850-0384.260 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1239 | X=0106.850-0330.490 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1239 | X=0235.060-0300.680 | Y=0667.150-0678.390 | Đường Bùi Thị
P=1239 | X=0321.720-0413.980 | Y=0667.150-0678.390 | Đường Trần Nguyên
P=1239 | X=0090.020-0195.510 | Y=0672.910-0684.150 | 337 Đường Lê Văn Hưu
P=1239 | X=0424.970-0450.020 | Y=0674.790-0684.110 | 5.600
P=1239 | X=0461.210-0486.260 | Y=0674.790-0684.110 | 3.900
P=1239 | X=0497.230-0522.280 | Y=0674.790-0684.110 | 3.400
P=1239 | X=0235.060-0258.190 | Y=0680.550-0689.870 | Xuân
P=1239 | X=0321.720-0340.050 | Y=0680.550-0689.870 | Hãn
P=1239 | X=0106.850-0412.060 | Y=0696.430-0707.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Văn Hưu
P=1239 | X=0090.020-0106.660 | Y=0704.100-0713.420 | 338
P=1239 | X=0424.970-0450.020 | Y=0704.100-0713.420 | 2.800
P=1239 | X=0461.210-0486.260 | Y=0704.100-0713.420 | 2.000
P=1239 | X=0497.230-0522.280 | Y=0704.100-0713.420 | 1.700
P=1239 | X=0106.850-0406.790 | Y=0707.970-0719.210 | đoạn từ Đường Bùi Thị Xuân đến Đường Trần Nguyên Hãn có hiện
P=1240 | X=0106.850-0278.630 | Y=0072.500-0083.740 | trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0106.850-0329.760 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1240 | X=0106.850-0384.020 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1240 | X=0106.850-0412.060 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Văn Hưu
P=1240 | X=0106.850-0406.790 | Y=0136.850-0148.090 | đoạn từ Đường Bùi Thị Xuân đến Đường Trần Nguyên Hãn có hiện
P=1240 | X=0106.850-0278.630 | Y=0148.370-0159.610 | trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0090.020-0330.020 | Y=0165.650-0179.970 | 339 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1240 | X=0424.970-0450.020 | Y=0170.650-0179.970 | 2.100
P=1240 | X=0461.210-0486.260 | Y=0170.650-0179.970 | 1.500
P=1240 | X=0497.230-0522.280 | Y=0170.650-0179.970 | 1.300
P=1240 | X=0106.850-0413.270 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1240 | X=0106.850-0140.370 | Y=0194.690-0205.930 | ≤600m.
P=1240 | X=0106.850-0330.020 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1240 | X=0106.850-0412.060 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Văn Hưu
P=1240 | X=0106.850-0406.790 | Y=0241.510-0252.750 | đoạn từ Đường Bùi Thị Xuân đến Đường Trần Nguyên Hãn có hiện
P=1240 | X=0106.850-0278.670 | Y=0253.030-0264.270 | trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0090.020-0106.660 | Y=0260.910-0270.230 | 340
P=1240 | X=0424.970-0450.020 | Y=0260.910-0270.230 | 1.600
P=1240 | X=0461.210-0486.260 | Y=0260.910-0270.230 | 1.100
P=1240 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 960
P=1240 | X=0106.850-0384.260 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1240 | X=0106.850-0330.490 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1240 | X=0106.850-0392.110 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1240 | X=0106.850-0404.380 | Y=0317.380-0328.620 | Đường Lê Văn Hưu đoạn từ Đường Bùi Thị Xuân đến Đường Trần
P=1240 | X=0106.850-0371.790 | Y=0328.900-0340.140 | Nguyên Hãn có hiện trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0090.020-0106.660 | Y=0336.780-0346.100 | 341
P=1240 | X=0424.970-0450.020 | Y=0336.780-0346.100 | 2.500
P=1240 | X=0461.210-0486.260 | Y=0336.780-0346.100 | 1.800
P=1240 | X=0497.230-0522.280 | Y=0336.780-0346.100 | 1.500
P=1240 | X=0106.850-0329.760 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1240 | X=0106.850-0384.020 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1240 | X=0106.850-0392.110 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1240 | X=0106.850-0404.380 | Y=0393.000-0404.240 | Đường Lê Văn Hưu đoạn từ Đường Bùi Thị Xuân đến Đường Trần
P=1240 | X=0106.850-0371.790 | Y=0404.520-0415.760 | Nguyên Hãn có hiện trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0090.020-0330.020 | Y=0422.040-0436.360 | 342 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1240 | X=0424.970-0450.020 | Y=0427.040-0436.360 | 1.900
P=1240 | X=0461.210-0486.260 | Y=0427.040-0436.360 | 1.300
P=1240 | X=0497.230-0522.280 | Y=0427.040-0436.360 | 1.100
P=1240 | X=0106.850-0413.270 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1240 | X=0106.850-0140.370 | Y=0451.100-0462.340 | ≤600m.
P=1240 | X=0106.850-0330.030 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1240 | X=0106.850-0392.110 | Y=0486.380-0497.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1240 | X=0106.850-0404.380 | Y=0497.900-0509.140 | Đường Lê Văn Hưu đoạn từ Đường Bùi Thị Xuân đến Đường Trần
P=1240 | X=0106.850-0371.790 | Y=0509.420-0520.660 | Nguyên Hãn có hiện trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0090.020-0106.660 | Y=0517.300-0526.620 | 343
P=1240 | X=0424.970-0450.020 | Y=0517.300-0526.620 | 1.400
P=1240 | X=0469.370-0486.010 | Y=0517.300-0526.620 | 980
P=1240 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 840
P=1240 | X=0106.850-0384.280 | Y=0526.940-0538.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1240 | X=0106.850-0330.490 | Y=0544.250-0555.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1240 | X=0235.060-0284.080 | Y=0563.890-0573.210 | Nguyễn Tri
P=1240 | X=0090.020-0191.430 | Y=0567.770-0579.010 | 344 Đường Nguyễn Du
P=1240 | X=0321.720-0398.590 | Y=0567.770-0579.010 | Nguyễn Văn Linh
P=1240 | X=0424.970-0450.020 | Y=0569.650-0578.970 | 5.600
P=1240 | X=0461.210-0486.260 | Y=0569.650-0578.970 | 3.900
P=1240 | X=0497.230-0522.280 | Y=0569.650-0578.970 | 3.400
P=1240 | X=0235.060-0271.850 | Y=0573.530-0584.770 | Phương
P=1240 | X=0106.850-0407.980 | Y=0591.290-0602.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Du
P=1240 | X=0106.850-0402.940 | Y=0602.810-0614.050 | đoạn từ Nguyễn Tri Phương đến Nguyễn Văn Linh có hiện trạng là
P=1240 | X=0106.850-0242.600 | Y=0614.330-0625.570 | đường nhựa, bê tông xi măng:
P=1240 | X=0090.020-0106.660 | Y=0622.230-0631.550 | 345
P=1240 | X=0424.970-0450.020 | Y=0622.230-0631.550 | 3.400
P=1240 | X=0461.210-0486.260 | Y=0622.230-0631.550 | 2.400
P=1240 | X=0497.230-0522.280 | Y=0622.230-0631.550 | 2.000
P=1240 | X=0106.850-0329.760 | Y=0631.870-0643.110 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1240 | X=0106.850-0384.020 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1240 | X=0106.850-0407.980 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Du
P=1240 | X=0106.850-0402.940 | Y=0678.670-0689.910 | đoạn từ Nguyễn Tri Phương đến Nguyễn Văn Linh có hiện trạng là
P=1240 | X=0090.020-0242.600 | Y=0689.190-0701.430 | 346 đường nhựa, bê tông xi măng:
P=1240 | X=0424.970-0450.010 | Y=0689.190-0698.510 | 2.500
P=1240 | X=0461.210-0486.260 | Y=0689.190-0698.510 | 1.800
P=1240 | X=0497.230-0522.280 | Y=0689.190-0698.510 | 1.500
P=1240 | X=0106.850-0330.020 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1241 | X=0106.850-0413.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1241 | X=0106.850-0140.370 | Y=0090.020-0101.260 | ≤600m.
P=1241 | X=0106.850-0330.020 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1241 | X=0106.850-0407.980 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Du
P=1241 | X=0106.850-0402.940 | Y=0136.850-0148.090 | đoạn từ Nguyễn Tri Phương đến Nguyễn Văn Linh có hiện trạng là
P=1241 | X=0106.850-0242.600 | Y=0148.370-0159.610 | đường nhựa, bê tông xi măng:
P=1241 | X=0090.020-0106.660 | Y=0156.250-0165.570 | 347
P=1241 | X=0424.970-0450.020 | Y=0156.250-0165.570 | 1.600
P=1241 | X=0461.210-0486.260 | Y=0156.250-0165.570 | 1.100
P=1241 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 960
P=1241 | X=0106.850-0384.260 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1241 | X=0106.850-0330.490 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1241 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
