TABLE=045 | AREA=Xã La Ngà | SECTION=non-agricultural | SEGMENTS=1
P=1552 | X=0111.170-0352.280 | Y=0433.560-0444.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1552 | X=0111.170-0153.310 | Y=0446.960-0456.280 | >1.000m.
P=1552 | X=0111.170-0334.810 | Y=0462.620-0473.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1552 | X=0303.480-0382.060 | Y=0480.380-0491.620 | Quốc lộ 20 (Đoạn
P=1552 | X=0221.590-0286.980 | Y=0488.020-0497.340 | Quốc lộ 20 (cà
P=1552 | X=0094.820-0157.980 | Y=0491.900-0503.140 | 57 Đường 4A
P=1552 | X=0303.480-0378.620 | Y=0491.900-0503.140 | qua trường mầm
P=1552 | X=0405.740-0430.790 | Y=0493.780-0503.100 | 1.900
P=1552 | X=0453.530-0478.580 | Y=0493.780-0503.100 | 1.300
P=1552 | X=0497.230-0522.280 | Y=0493.780-0503.100 | 1.100
P=1552 | X=0221.590-0277.260 | Y=0499.540-0508.860 | phê Thu Hà)
P=1552 | X=0303.480-0363.710 | Y=0505.300-0514.620 | non Hoa Mai)
P=1552 | X=0303.480-0383.740 | Y=0523.060-0532.380 | Hết ranh trạm y tế
P=1552 | X=0094.820-0157.980 | Y=0526.940-0538.180 | 58 Đường 4A
P=1552 | X=0221.590-0270.180 | Y=0528.820-0538.140 | Quốc lộ 20
P=1552 | X=0405.740-0430.790 | Y=0528.820-0538.140 | 1.900
P=1552 | X=0453.530-0478.580 | Y=0528.820-0538.140 | 1.300
P=1552 | X=0497.230-0522.280 | Y=0528.820-0538.140 | 1.100
P=1552 | X=0303.480-0383.630 | Y=0532.490-0543.730 | xã Túc Trưng (cũ)
P=1552 | X=0111.170-0388.030 | Y=0550.250-0561.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 4A có
P=1552 | X=0111.170-0304.780 | Y=0561.770-0573.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=1552 | X=0094.820-0105.940 | Y=0575.410-0584.730 | 59
P=1552 | X=0413.900-0430.540 | Y=0575.410-0584.730 | 890
P=1552 | X=0461.690-0478.330 | Y=0575.410-0584.730 | 620
P=1552 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 530
P=1552 | X=0111.170-0342.250 | Y=0579.290-0590.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1552 | X=0111.170-0388.360 | Y=0596.810-0608.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1552 | X=0111.170-0388.030 | Y=0614.570-0625.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 4A có
P=1552 | X=0111.170-0304.780 | Y=0626.110-0637.350 | hiện trạng là đường nhựa, bê tông xi măng:
P=1552 | X=0111.170-0342.720 | Y=0643.630-0654.870 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1552 | X=0094.820-0105.940 | Y=0654.150-0663.470 | 60
P=1552 | X=0413.900-0430.540 | Y=0654.150-0663.470 | 440
P=1552 | X=0461.690-0478.330 | Y=0654.150-0663.470 | 310
P=1552 | X=0505.390-0522.030 | Y=0654.150-0663.470 | 260
P=1552 | X=0111.170-0364.480 | Y=0661.150-0672.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1552 | X=0111.170-0206.120 | Y=0672.670-0683.910 | >500m đến ≤1.000m.
P=1552 | X=0111.170-0334.340 | Y=0690.190-0701.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1552 | X=0094.820-0388.030 | Y=0707.970-0719.210 | 61 Các tuyến đường giao thông đấu nối trực tiếp ra Đường 4A có
P=1552 | X=0413.900-0430.540 | Y=0709.860-0719.180 | 300
P=1552 | X=0461.690-0478.330 | Y=0709.860-0719.180 | 210
P=1552 | X=0505.390-0522.030 | Y=0709.860-0719.180 | 180
P=1553 | X=0111.170-0304.780 | Y=0072.500-0083.740 | hiện trạng là đường nhựa, bê tông xi măng:
P=1553 | X=0111.170-0352.280 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1553 | X=0111.170-0153.310 | Y=0103.420-0112.740 | >1.000m.
P=1553 | X=0111.170-0334.810 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1553 | X=0111.170-0384.680 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1553 | X=0111.170-0379.230 | Y=0148.370-0159.610 | ra Đường 4A có hiện trạng là đường nhựa, bê tông xi măng:
P=1553 | X=0094.820-0105.940 | Y=0162.010-0171.330 | 62
P=1553 | X=0413.900-0430.540 | Y=0162.010-0171.330 | 800
P=1553 | X=0461.690-0478.330 | Y=0162.010-0171.330 | 560
P=1553 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 480
P=1553 | X=0111.170-0342.280 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1553 | X=0111.170-0388.360 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1553 | X=0111.170-0384.680 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1553 | X=0111.170-0379.230 | Y=0212.470-0223.710 | ra Đường 4A có hiện trạng là đường nhựa, bê tông xi măng:
P=1553 | X=0111.170-0342.720 | Y=0229.990-0241.230 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1553 | X=0094.820-0105.940 | Y=0240.750-0250.070 | 63
P=1553 | X=0413.900-0430.540 | Y=0240.750-0250.070 | 400
P=1553 | X=0461.690-0478.330 | Y=0240.750-0250.070 | 280
P=1553 | X=0505.390-0522.030 | Y=0240.750-0250.070 | 240
P=1553 | X=0111.170-0364.480 | Y=0247.510-0258.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1553 | X=0111.170-0206.120 | Y=0259.030-0270.270 | >500m đến ≤1.000m.
P=1553 | X=0111.170-0334.340 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1553 | X=0111.170-0384.680 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1553 | X=0111.170-0379.230 | Y=0305.860-0317.100 | ra Đường 4A có hiện trạng là đường nhựa, bê tông xi măng:
P=1553 | X=0094.820-0352.280 | Y=0323.380-0334.620 | 64 - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1553 | X=0413.900-0430.540 | Y=0325.260-0334.580 | 270
P=1553 | X=0461.690-0478.330 | Y=0325.260-0334.580 | 190
P=1553 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 160
P=1553 | X=0111.170-0153.310 | Y=0336.780-0346.100 | >1.000m.
P=1553 | X=0111.170-0334.810 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1553 | X=0221.590-0387.590 | Y=0369.960-0381.200 | Quốc lộ 20 (cây Đấu nối với đường
P=1553 | X=0094.820-0157.980 | Y=0375.720-0386.960 | 65 Đường 2A
P=1553 | X=0405.740-0430.790 | Y=0377.600-0386.920 | 1.900
P=1553 | X=0453.530-0478.580 | Y=0377.600-0386.920 | 1.300
P=1553 | X=0497.230-0522.280 | Y=0377.600-0386.920 | 1.100
P=1553 | X=0221.590-0315.720 | Y=0381.480-0392.720 | xăng Tín Nghĩa) 4A
P=1553 | X=0303.480-0377.110 | Y=0399.240-0410.480 | Bên trái, đến hết
P=1553 | X=0303.480-0377.020 | Y=0410.760-0422.000 | ranh thửa đất số
P=1553 | X=0221.590-0374.150 | Y=0422.280-0433.520 | Giáp ranh trạm y 12, tờ BĐĐC số
P=1553 | X=0094.820-0157.980 | Y=0433.800-0445.040 | 66 Đường 2A
P=1553 | X=0221.590-0382.060 | Y=0433.800-0445.040 | tế xã Túc Trưng 12, Bên phải, đến
P=1553 | X=0405.740-0430.790 | Y=0435.680-0445.000 | 1.900
P=1553 | X=0453.530-0478.580 | Y=0435.680-0445.000 | 1.300
P=1553 | X=0497.230-0522.280 | Y=0435.680-0445.000 | 1.100
P=1553 | X=0221.590-0238.870 | Y=0445.320-0456.560 | (cũ)
P=1553 | X=0303.480-0380.470 | Y=0445.320-0456.560 | hết ranh thửa đất
P=1553 | X=0303.480-0379.640 | Y=0456.860-0468.100 | số 742, tờ BĐĐC
P=1553 | X=0303.480-0333.320 | Y=0470.260-0479.580 | số 122
P=1553 | X=0111.170-0388.030 | Y=0486.140-0497.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 2A có
P=1553 | X=0111.170-0304.780 | Y=0497.660-0508.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=1553 | X=0094.820-0105.940 | Y=0511.300-0520.620 | 67
P=1553 | X=0413.900-0430.540 | Y=0511.300-0520.620 | 890
P=1553 | X=0461.690-0478.330 | Y=0511.300-0520.620 | 620
P=1553 | X=0505.390-0522.030 | Y=0511.300-0520.620 | 530
P=1553 | X=0111.170-0342.250 | Y=0515.180-0526.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1553 | X=0111.170-0388.360 | Y=0532.490-0543.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1553 | X=0111.170-0388.030 | Y=0550.250-0561.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 2A có
P=1553 | X=0111.170-0304.780 | Y=0561.770-0573.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=1553 | X=0111.170-0342.720 | Y=0579.290-0590.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1553 | X=0094.820-0105.940 | Y=0590.050-0599.370 | 68
P=1553 | X=0413.900-0430.540 | Y=0590.050-0599.370 | 440
P=1553 | X=0461.690-0478.330 | Y=0590.050-0599.370 | 310
P=1553 | X=0505.390-0522.030 | Y=0590.050-0599.370 | 260
P=1553 | X=0111.170-0364.480 | Y=0596.810-0608.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1553 | X=0111.170-0206.120 | Y=0608.330-0619.570 | >500m đến ≤1.000m.
P=1553 | X=0111.170-0334.340 | Y=0625.870-0637.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1553 | X=0111.170-0388.030 | Y=0643.630-0654.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 2A có
P=1553 | X=0111.170-0304.780 | Y=0655.150-0666.390 | hiện trạng là đường nhựa, bê tông xi măng:
P=1553 | X=0094.820-0352.280 | Y=0672.670-0683.910 | 69 - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1553 | X=0413.900-0430.540 | Y=0674.550-0683.870 | 300
P=1553 | X=0461.690-0478.330 | Y=0674.550-0683.870 | 210
P=1553 | X=0505.390-0522.030 | Y=0674.550-0683.870 | 180
P=1553 | X=0111.170-0153.310 | Y=0686.070-0695.390 | >1.000m.
P=1553 | X=0111.170-0334.810 | Y=0701.730-0712.970 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1554 | X=0111.170-0384.680 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1554 | X=0111.170-0379.230 | Y=0090.020-0101.260 | ra Đường 2A có hiện trạng là đường nhựa, bê tông xi măng:
P=1554 | X=0094.820-0105.940 | Y=0103.660-0112.980 | 70
P=1554 | X=0413.900-0430.540 | Y=0103.660-0112.980 | 800
P=1554 | X=0461.690-0478.330 | Y=0103.660-0112.980 | 560
P=1554 | X=0505.390-0522.030 | Y=0103.660-0112.980 | 480
P=1554 | X=0111.170-0342.290 | Y=0107.540-0118.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1554 | X=0111.170-0388.360 | Y=0125.090-0136.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1554 | X=0111.170-0384.680 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1554 | X=0111.170-0379.230 | Y=0154.370-0165.610 | ra Đường 2A có hiện trạng là đường nhựa, bê tông xi măng:
P=1554 | X=0111.170-0342.720 | Y=0171.650-0182.890 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1554 | X=0094.820-0105.940 | Y=0182.410-0191.730 | 71
P=1554 | X=0413.900-0430.540 | Y=0182.410-0191.730 | 400
P=1554 | X=0461.690-0478.330 | Y=0182.410-0191.730 | 280
P=1554 | X=0505.390-0522.030 | Y=0182.410-0191.730 | 240
P=1554 | X=0111.170-0364.480 | Y=0189.170-0200.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1554 | X=0111.170-0206.120 | Y=0200.710-0211.950 | >500m đến ≤1.000m.
P=1554 | X=0111.170-0334.340 | Y=0218.230-0229.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1554 | X=0111.170-0384.680 | Y=0235.990-0247.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1554 | X=0111.170-0379.230 | Y=0247.510-0258.750 | ra Đường 2A có hiện trạng là đường nhựa, bê tông xi măng:
P=1554 | X=0094.820-0352.280 | Y=0265.030-0276.270 | 72 - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1554 | X=0413.900-0430.540 | Y=0266.910-0276.230 | 270
P=1554 | X=0461.690-0478.330 | Y=0266.910-0276.230 | 190
P=1554 | X=0505.390-0522.030 | Y=0266.910-0276.230 | 160
P=1554 | X=0111.170-0153.310 | Y=0278.430-0287.750 | >1.000m.
P=1554 | X=0111.170-0334.810 | Y=0294.100-0305.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1554 | X=0303.480-0382.060 | Y=0311.860-0323.100 | Nhà văn hóa, khu
P=1554 | X=0221.590-0289.150 | Y=0317.620-0328.860 | Trạm xăng dầu
P=1554 | X=0094.820-0156.860 | Y=0323.380-0334.620 | 73 Đường 96
P=1554 | X=0303.480-0377.000 | Y=0323.380-0334.620 | thể thao ấp Vĩnh
P=1554 | X=0413.900-0430.540 | Y=0325.260-0334.580 | 580
P=1554 | X=0461.690-0478.330 | Y=0325.260-0334.580 | 410
P=1554 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 350
P=1554 | X=0221.590-0263.220 | Y=0329.140-0340.380 | Đồng Nai
P=1554 | X=0303.480-0315.800 | Y=0336.780-0346.100 | An
P=1554 | X=0111.170-0373.410 | Y=0352.660-0363.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 96
P=1554 | X=0111.170-0377.740 | Y=0363.940-0375.180 | đoạn từ Trạm xăng dầu Đồng Nai đến Nhà văn hóa, khu thể
P=1554 | X=0111.170-0361.880 | Y=0375.480-0386.720 | thao ấp Vĩnh An có hiện trạng là đường nhựa, bê tông xi
P=1554 | X=0094.820-0139.170 | Y=0387.000-0398.440 | 74 măng:
P=1554 | X=0413.900-0430.540 | Y=0389.120-0398.440 | 300
P=1554 | X=0461.690-0478.330 | Y=0389.120-0398.440 | 210
P=1554 | X=0505.390-0522.030 | Y=0389.120-0398.440 | 180
P=1554 | X=0111.170-0342.250 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1554 | X=0111.170-0388.360 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1554 | X=0111.170-0373.410 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 96
P=1554 | X=0111.170-0377.740 | Y=0451.340-0462.580 | đoạn từ Trạm xăng dầu Đồng Nai đến Nhà văn hóa, khu thể
P=1554 | X=0111.170-0361.880 | Y=0462.860-0474.100 | thao ấp Vĩnh An có hiện trạng là đường nhựa, bê tông xi
P=1554 | X=0111.170-0139.170 | Y=0474.380-0485.620 | măng:
P=1554 | X=0094.820-0342.720 | Y=0490.900-0503.140 | 75 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1554 | X=0413.900-0430.540 | Y=0490.900-0500.220 | 250
P=1554 | X=0461.690-0478.330 | Y=0490.900-0500.220 | 180
P=1554 | X=0505.390-0522.030 | Y=0490.900-0500.220 | 150
P=1554 | X=0111.170-0364.480 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1554 | X=0111.170-0206.120 | Y=0520.940-0532.180 | >500m đến ≤1.000m.
P=1554 | X=0111.170-0334.340 | Y=0538.250-0549.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1554 | X=0111.170-0373.410 | Y=0556.010-0567.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 96
P=1554 | X=0111.170-0377.740 | Y=0567.530-0578.770 | đoạn từ Trạm xăng dầu Đồng Nai đến Nhà văn hóa, khu thể
P=1554 | X=0111.170-0361.880 | Y=0579.050-0590.290 | thao ấp Vĩnh An có hiện trạng là đường nhựa, bê tông xi
P=1554 | X=0111.170-0139.170 | Y=0590.570-0601.810 | măng:
P=1554 | X=0094.820-0105.940 | Y=0598.450-0607.770 | 76
P=1554 | X=0413.900-0430.540 | Y=0598.450-0607.770 | 210
P=1554 | X=0461.690-0478.330 | Y=0598.450-0607.770 | 150
P=1554 | X=0505.390-0522.030 | Y=0598.450-0607.770 | 130
P=1554 | X=0111.170-0352.280 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1554 | X=0111.170-0153.310 | Y=0621.510-0630.830 | >1.000m.
P=1554 | X=0111.170-0334.810 | Y=0637.150-0648.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1554 | X=0111.170-0384.680 | Y=0654.910-0666.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1554 | X=0111.170-0379.880 | Y=0666.430-0677.670 | ra Đường 96 đoạn từ Trạm xăng dầu Đồng Nai đến Nhà văn
P=1554 | X=0094.820-0387.580 | Y=0677.950-0692.030 | 77 hóa, khu thể thao ấp Vĩnh An có hiện trạng là đường nhựa, bê
P=1554 | X=0413.900-0430.540 | Y=0682.710-0692.030 | 270
P=1554 | X=0461.690-0478.330 | Y=0682.710-0692.030 | 190
P=1554 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 160
P=1554 | X=0111.170-0171.330 | Y=0689.470-0700.710 | tông xi măng:
P=1554 | X=0111.170-0342.250 | Y=0706.770-0718.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1555 | X=0111.170-0388.360 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1555 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1555 | X=0111.170-0379.880 | Y=0107.780-0119.020 | ra Đường 96 đoạn từ Trạm xăng dầu Đồng Nai đến Nhà văn
P=1555 | X=0111.170-0387.580 | Y=0119.330-0130.570 | hóa, khu thể thao ấp Vĩnh An có hiện trạng là đường nhựa, bê
P=1555 | X=0111.170-0171.330 | Y=0130.850-0142.090 | tông xi măng:
P=1555 | X=0094.820-0342.720 | Y=0147.370-0159.610 | 78 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1555 | X=0413.900-0430.540 | Y=0147.370-0156.690 | 230
P=1555 | X=0461.690-0478.330 | Y=0147.370-0156.690 | 160
P=1555 | X=0505.390-0522.030 | Y=0147.370-0156.690 | 140
P=1555 | X=0111.170-0364.480 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1555 | X=0111.170-0206.120 | Y=0177.170-0188.410 | >500m đến ≤1.000m.
P=1555 | X=0111.170-0334.340 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1555 | X=0111.170-0384.680 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1555 | X=0111.170-0379.880 | Y=0223.990-0235.230 | ra Đường 96 đoạn từ Trạm xăng dầu Đồng Nai đến Nhà văn
P=1555 | X=0111.170-0387.580 | Y=0235.510-0246.750 | hóa, khu thể thao ấp Vĩnh An có hiện trạng là đường nhựa, bê
P=1555 | X=0111.170-0171.330 | Y=0247.030-0258.270 | tông xi măng:
P=1555 | X=0094.820-0105.940 | Y=0254.910-0264.230 | 79
P=1555 | X=0413.900-0430.540 | Y=0254.910-0264.230 | 190
P=1555 | X=0461.690-0478.330 | Y=0254.910-0264.230 | 130
P=1555 | X=0505.390-0522.030 | Y=0254.910-0264.230 | 110
P=1555 | X=0111.170-0352.280 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1555 | X=0111.170-0153.310 | Y=0277.950-0287.270 | >1.000m.
P=1555 | X=0111.170-0334.810 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1555 | X=0221.590-0292.500 | Y=0313.260-0322.580 | Quốc lộ 20 theo
P=1555 | X=0094.820-0162.380 | Y=0317.140-0328.380 | 80 Đường 101
P=1555 | X=0303.480-0359.720 | Y=0317.140-0328.380 | Đường WB2
P=1555 | X=0413.900-0430.540 | Y=0319.020-0328.340 | 790
P=1555 | X=0461.690-0478.330 | Y=0319.020-0328.340 | 550
P=1555 | X=0505.390-0522.030 | Y=0319.020-0328.340 | 470
P=1555 | X=0221.590-0271.780 | Y=0322.900-0334.140 | hướng Bắc
P=1555 | X=0111.170-0378.930 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 101
P=1555 | X=0111.170-0385.430 | Y=0351.940-0363.180 | đoạn từ Quốc lộ 20 theo hướng Bắc đến Đường WB2 có hiện
P=1555 | X=0111.170-0282.950 | Y=0363.460-0374.700 | trạng là đường nhựa, bê tông xi măng:
P=1555 | X=0094.820-0105.940 | Y=0371.360-0380.680 | 81
P=1555 | X=0413.900-0430.540 | Y=0371.360-0380.680 | 400
P=1555 | X=0461.690-0478.330 | Y=0371.360-0380.680 | 280
P=1555 | X=0505.390-0522.030 | Y=0371.360-0380.680 | 240
P=1555 | X=0111.170-0342.250 | Y=0381.000-0392.240 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1555 | X=0111.170-0388.360 | Y=0398.520-0409.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1555 | X=0111.170-0378.930 | Y=0416.280-0427.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 101
P=1555 | X=0111.170-0385.430 | Y=0427.800-0439.040 | đoạn từ Quốc lộ 20 theo hướng Bắc đến Đường WB2 có hiện
P=1555 | X=0111.170-0282.950 | Y=0439.320-0450.560 | trạng là đường nhựa, bê tông xi măng:
P=1555 | X=0094.820-0342.720 | Y=0456.860-0470.940 | 82 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1555 | X=0413.900-0430.540 | Y=0461.620-0470.940 | 260
P=1555 | X=0461.690-0478.330 | Y=0461.620-0470.940 | 180
P=1555 | X=0505.390-0522.030 | Y=0461.620-0470.940 | 160
P=1555 | X=0111.170-0364.480 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1555 | X=0111.170-0206.120 | Y=0485.900-0497.140 | >500m đến ≤1.000m.
P=1555 | X=0111.170-0334.340 | Y=0503.420-0514.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1555 | X=0111.170-0378.930 | Y=0521.180-0532.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 101
P=1555 | X=0111.170-0385.430 | Y=0532.490-0543.730 | đoạn từ Quốc lộ 20 theo hướng Bắc đến Đường WB2 có hiện
P=1555 | X=0111.170-0282.950 | Y=0544.010-0555.250 | trạng là đường nhựa, bê tông xi măng:
P=1555 | X=0094.820-0105.940 | Y=0557.650-0566.970 | 83
P=1555 | X=0413.900-0430.540 | Y=0557.650-0566.970 | 150
P=1555 | X=0461.690-0478.330 | Y=0557.650-0566.970 | 110
P=1555 | X=0511.150-0522.270 | Y=0557.650-0566.970 | 90
P=1555 | X=0111.170-0352.280 | Y=0561.530-0572.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1555 | X=0111.170-0153.310 | Y=0574.930-0584.250 | >1.000m.
P=1555 | X=0111.170-0334.820 | Y=0590.570-0601.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1555 | X=0111.170-0384.680 | Y=0608.330-0619.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1555 | X=0111.170-0357.080 | Y=0619.870-0631.110 | ra Đường 101 đoạn từ Quốc lộ 20 theo hướng Bắc đến
P=1555 | X=0111.170-0377.070 | Y=0631.390-0642.630 | Đường WB2 có hiện trạng là đường nhựa, bê tông xi măng:
P=1555 | X=0094.820-0105.940 | Y=0639.270-0648.590 | 84
P=1555 | X=0413.900-0430.540 | Y=0639.270-0648.590 | 360
P=1555 | X=0461.690-0478.330 | Y=0639.270-0648.590 | 250
P=1555 | X=0505.390-0522.030 | Y=0639.270-0648.590 | 220
P=1555 | X=0111.170-0342.250 | Y=0648.910-0660.150 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1555 | X=0111.170-0388.360 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1555 | X=0111.170-0384.680 | Y=0684.190-0695.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1555 | X=0094.820-0357.080 | Y=0695.710-0706.950 | 85 ra Đường 101 đoạn từ Quốc lộ 20 theo hướng Bắc đến
P=1555 | X=0413.900-0430.540 | Y=0697.590-0706.910 | 230
P=1555 | X=0461.690-0478.330 | Y=0697.590-0706.910 | 160
P=1555 | X=0505.390-0522.030 | Y=0697.590-0706.910 | 140
P=1555 | X=0111.170-0377.070 | Y=0707.250-0718.490 | Đường WB2 có hiện trạng là đường nhựa, bê tông xi măng:
P=1556 | X=0111.170-0342.720 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1556 | X=0111.170-0364.480 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1556 | X=0111.170-0206.120 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1556 | X=0111.170-0334.340 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1556 | X=0111.170-0384.680 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1556 | X=0111.170-0357.080 | Y=0154.370-0165.610 | ra Đường 101 đoạn từ Quốc lộ 20 theo hướng Bắc đến
P=1556 | X=0111.170-0377.070 | Y=0165.650-0176.890 | Đường WB2 có hiện trạng là đường nhựa, bê tông xi măng:
P=1556 | X=0094.820-0105.940 | Y=0179.290-0188.610 | 86
P=1556 | X=0413.900-0430.540 | Y=0179.290-0188.610 | 135
P=1556 | X=0467.450-0478.570 | Y=0179.290-0188.610 | 90
P=1556 | X=0511.150-0522.270 | Y=0179.290-0188.610 | 80
P=1556 | X=0111.170-0352.280 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1556 | X=0111.170-0153.310 | Y=0196.570-0205.890 | >1.000m.
P=1556 | X=0111.170-0334.810 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1556 | X=0303.480-0380.860 | Y=0229.990-0241.230 | Ranh thửa đất số
P=1556 | X=0303.480-0390.460 | Y=0241.510-0252.750 | 3, tờ BĐĐC số 3 về
P=1556 | X=0303.480-0389.740 | Y=0254.910-0264.230 | bên trái và hết ranh
P=1556 | X=0094.820-0162.380 | Y=0258.790-0270.030 | 87 Đường 101
P=1556 | X=0221.590-0277.860 | Y=0258.790-0270.030 | Đường WB2
