TABLE=008 | AREA=Phường Tân Triều | SECTION=non-agricultural | SEGMENTS=1
P=0293 | X=0122.210-0363.320 | Y=0433.080-0444.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0293 | X=0122.210-0155.730 | Y=0444.600-0455.840 | ≤500m.
P=0293 | X=0122.210-0336.440 | Y=0462.380-0473.620 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0293 | X=0122.210-0341.050 | Y=0473.900-0485.140 | Đường Bình Hòa - Cây Dương đoạn từ Từ trụ sở
P=0293 | X=0122.210-0359.250 | Y=0485.420-0496.660 | UBND xã Bình Hòa (cũ) đến Đường Mỹ có hiện trạng
P=0293 | X=0122.210-0268.540 | Y=0496.940-0508.180 | là đường nhựa, bê tông xi măng:
P=0293 | X=0097.730-0353.760 | Y=0513.460-0525.460 | 185 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0293 | X=0388.940-0413.990 | Y=0513.460-0522.780 | 1.600
P=0293 | X=0439.370-0464.420 | Y=0513.460-0522.780 | 1.100
P=0293 | X=0505.390-0522.030 | Y=0513.460-0522.780 | 960
P=0293 | X=0122.210-0363.320 | Y=0531.740-0542.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0293 | X=0122.210-0229.420 | Y=0543.290-0554.530 | từ >500m đến ≤1.000m.
P=0293 | X=0122.210-0345.380 | Y=0560.810-0572.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0293 | X=0122.210-0336.440 | Y=0578.570-0589.810 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0293 | X=0122.210-0341.050 | Y=0590.090-0601.330 | Đường Bình Hòa - Cây Dương đoạn từ Từ trụ sở
P=0293 | X=0122.210-0359.250 | Y=0601.610-0612.850 | UBND xã Bình Hòa (cũ) đến Đường Mỹ có hiện trạng
P=0293 | X=0122.210-0268.540 | Y=0613.130-0624.370 | là đường nhựa, bê tông xi măng:
P=0293 | X=0097.730-0114.370 | Y=0621.030-0630.350 | 186
P=0293 | X=0388.940-0413.990 | Y=0621.030-0630.350 | 1.300
P=0293 | X=0447.530-0464.170 | Y=0621.030-0630.350 | 910
P=0293 | X=0505.390-0522.030 | Y=0621.030-0630.350 | 780
P=0293 | X=0122.210-0363.320 | Y=0630.670-0641.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0293 | X=0122.210-0164.350 | Y=0644.070-0653.390 | >1.000m.
P=0293 | X=0122.210-0345.850 | Y=0659.710-0670.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0293 | X=0122.210-0368.120 | Y=0677.470-0688.710 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0293 | X=0097.730-0366.460 | Y=0688.750-0699.990 | 187 thông ra Đường Bình Hòa - Cây Dương đoạn từ Từ trụ
P=0293 | X=0388.940-0413.990 | Y=0690.630-0699.950 | 2.300
P=0293 | X=0439.370-0464.420 | Y=0690.630-0699.950 | 1.600
P=0293 | X=0497.230-0522.280 | Y=0690.630-0699.950 | 1.400
P=0293 | X=0122.210-0347.960 | Y=0700.290-0711.530 | sở UBND xã Bình Hòa (cũ) đến Đường Mỹ có hiện
P=0294 | X=0122.210-0293.990 | Y=0072.500-0083.740 | trạng là đường nhựa, bê tông xi măng:
P=0294 | X=0122.210-0353.290 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0294 | X=0122.210-0363.320 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0294 | X=0122.210-0155.730 | Y=0119.090-0130.330 | ≤500m.
P=0294 | X=0122.210-0368.120 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0294 | X=0122.210-0366.460 | Y=0148.370-0159.610 | thông ra Đường Bình Hòa - Cây Dương đoạn từ Từ trụ
P=0294 | X=0122.210-0347.960 | Y=0159.650-0170.890 | sở UBND xã Bình Hòa (cũ) đến Đường Mỹ có hiện
P=0294 | X=0122.210-0293.990 | Y=0171.170-0182.410 | trạng là đường nhựa, bê tông xi măng:
P=0294 | X=0097.730-0353.760 | Y=0187.930-0199.930 | 188 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0294 | X=0388.940-0413.990 | Y=0187.930-0197.250 | 1.400
P=0294 | X=0447.530-0464.170 | Y=0187.930-0197.250 | 980
P=0294 | X=0505.390-0522.030 | Y=0187.930-0197.250 | 840
P=0294 | X=0122.210-0363.320 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0294 | X=0122.210-0229.420 | Y=0217.750-0228.990 | từ >500m đến ≤1.000m.
P=0294 | X=0122.210-0345.380 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0294 | X=0122.210-0368.120 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0294 | X=0122.210-0366.460 | Y=0264.550-0275.790 | thông ra Đường Bình Hòa - Cây Dương đoạn từ Từ trụ
P=0294 | X=0122.210-0347.960 | Y=0276.070-0287.310 | sở UBND xã Bình Hòa (cũ) đến Đường Mỹ có hiện
P=0294 | X=0122.210-0293.990 | Y=0287.620-0298.860 | trạng là đường nhựa, bê tông xi măng:
P=0294 | X=0097.730-0114.370 | Y=0295.500-0304.820 | 189
P=0294 | X=0388.940-0413.990 | Y=0295.500-0304.820 | 1.200
P=0294 | X=0447.530-0464.170 | Y=0295.500-0304.820 | 840
P=0294 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 720
P=0294 | X=0122.210-0363.320 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0294 | X=0122.210-0164.350 | Y=0318.540-0327.860 | >1.000m.
P=0294 | X=0122.210-0345.850 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0294 | X=0122.210-0177.480 | Y=0351.700-0362.940 | Đường Bình
P=0294 | X=0288.340-0352.200 | Y=0359.340-0368.660 | Hết Miếu Hàm
P=0294 | X=0196.630-0244.660 | Y=0363.220-0374.460 | Đường Mỹ
P=0294 | X=0097.730-0167.330 | Y=0365.100-0374.420 | 190 Hòa - Cây
P=0294 | X=0388.940-0413.990 | Y=0365.100-0374.420 | 5.100
P=0294 | X=0439.370-0464.420 | Y=0365.100-0374.420 | 3.600
P=0294 | X=0497.230-0522.280 | Y=0365.100-0374.420 | 3.100
P=0294 | X=0288.340-0306.670 | Y=0370.880-0380.200 | Hòa
P=0294 | X=0122.210-0153.960 | Y=0374.760-0386.000 | Dương
P=0294 | X=0122.210-0336.440 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0294 | X=0122.210-0366.700 | Y=0404.040-0415.280 | Đường Bình Hòa - Cây Dương đoạn từ Đường Mỹ đến
P=0294 | X=0122.210-0354.210 | Y=0415.560-0426.800 | Hết Miếu Hàm Hòa có hiện trạng là đường nhựa, bê
P=0294 | X=0122.210-0182.370 | Y=0427.080-0438.320 | tông xi măng:
P=0294 | X=0097.730-0114.370 | Y=0434.960-0444.280 | 191
P=0294 | X=0388.940-0413.980 | Y=0434.960-0444.280 | 1.900
P=0294 | X=0439.370-0464.420 | Y=0434.960-0444.280 | 1.300
P=0294 | X=0497.230-0522.280 | Y=0434.960-0444.280 | 1.100
P=0294 | X=0122.210-0353.290 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0294 | X=0122.210-0363.320 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0294 | X=0122.210-0155.730 | Y=0473.660-0484.900 | ≤500m.
P=0294 | X=0122.210-0336.440 | Y=0491.420-0502.660 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0294 | X=0122.210-0366.700 | Y=0502.940-0514.180 | Đường Bình Hòa - Cây Dương đoạn từ Đường Mỹ đến
P=0294 | X=0122.210-0354.210 | Y=0514.220-0525.460 | Hết Miếu Hàm Hòa có hiện trạng là đường nhựa, bê
P=0294 | X=0122.210-0182.370 | Y=0525.740-0536.980 | tông xi măng:
P=0294 | X=0097.730-0353.760 | Y=0542.530-0554.530 | 192 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0294 | X=0388.940-0413.990 | Y=0542.530-0551.850 | 1.500
P=0294 | X=0439.370-0464.420 | Y=0542.530-0551.850 | 1.100
P=0294 | X=0505.390-0522.030 | Y=0542.530-0551.850 | 900
P=0294 | X=0122.210-0363.320 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0294 | X=0122.210-0229.420 | Y=0572.330-0583.570 | từ >500m đến ≤1.000m.
P=0294 | X=0122.210-0345.380 | Y=0589.850-0601.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0294 | X=0122.210-0336.440 | Y=0607.610-0618.850 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0294 | X=0122.210-0366.700 | Y=0619.150-0630.390 | Đường Bình Hòa - Cây Dương đoạn từ Đường Mỹ đến
P=0294 | X=0122.210-0354.200 | Y=0630.670-0641.910 | Hết Miếu Hàm Hòa có hiện trạng là đường nhựa, bê
P=0294 | X=0122.210-0182.370 | Y=0642.190-0653.430 | tông xi măng:
P=0294 | X=0097.730-0114.370 | Y=0650.070-0659.390 | 193
P=0294 | X=0388.940-0413.990 | Y=0650.070-0659.390 | 1.300
P=0294 | X=0447.530-0464.170 | Y=0650.070-0659.390 | 910
P=0294 | X=0505.390-0522.030 | Y=0650.070-0659.390 | 780
P=0294 | X=0122.210-0363.320 | Y=0659.710-0670.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0294 | X=0122.210-0164.350 | Y=0673.110-0682.430 | >1.000m.
P=0294 | X=0122.210-0345.850 | Y=0688.510-0699.750 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0294 | X=0097.730-0368.120 | Y=0706.290-0717.530 | 194 Các tuyến đường giao thông không đấu nối trực tiếp và
P=0294 | X=0388.940-0413.990 | Y=0708.180-0717.500 | 1.700
P=0294 | X=0439.370-0464.420 | Y=0708.180-0717.500 | 1.200
P=0294 | X=0497.230-0522.280 | Y=0708.180-0717.500 | 1.000
P=0295 | X=0122.210-0336.390 | Y=0072.500-0083.740 | thông ra Đường Bình Hòa - Cây Dương đoạn từ
P=0295 | X=0122.210-0348.680 | Y=0084.020-0095.260 | Đường Mỹ đến Hết Miếu Hàm Hòa có hiện trạng là
P=0295 | X=0122.210-0257.980 | Y=0095.540-0106.780 | đường nhựa, bê tông xi măng:
P=0295 | X=0122.210-0353.290 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0295 | X=0122.210-0363.320 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0295 | X=0122.210-0155.730 | Y=0142.130-0153.370 | ≤500m.
P=0295 | X=0122.210-0368.120 | Y=0159.650-0170.890 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0295 | X=0122.210-0336.390 | Y=0171.170-0182.410 | thông ra Đường Bình Hòa - Cây Dương đoạn từ
P=0295 | X=0122.210-0348.680 | Y=0182.690-0193.930 | Đường Mỹ đến Hết Miếu Hàm Hòa có hiện trạng là
P=0295 | X=0122.210-0257.980 | Y=0194.210-0205.450 | đường nhựa, bê tông xi măng:
P=0295 | X=0097.730-0353.760 | Y=0210.990-0222.990 | 195 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0295 | X=0388.940-0413.990 | Y=0210.990-0220.310 | 1.400
P=0295 | X=0447.530-0464.170 | Y=0210.990-0220.310 | 980
P=0295 | X=0505.390-0522.030 | Y=0210.990-0220.310 | 840
P=0295 | X=0122.210-0363.320 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0295 | X=0122.210-0229.420 | Y=0240.790-0252.030 | từ >500m đến ≤1.000m.
P=0295 | X=0122.210-0345.380 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0295 | X=0122.210-0368.120 | Y=0276.070-0287.310 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0295 | X=0122.210-0336.390 | Y=0287.620-0298.860 | thông ra Đường Bình Hòa - Cây Dương đoạn từ
P=0295 | X=0122.210-0348.680 | Y=0299.140-0310.380 | Đường Mỹ đến Hết Miếu Hàm Hòa có hiện trạng là
P=0295 | X=0122.210-0257.980 | Y=0310.660-0321.900 | đường nhựa, bê tông xi măng:
P=0295 | X=0097.730-0114.370 | Y=0318.540-0327.860 | 196
P=0295 | X=0388.940-0413.990 | Y=0318.540-0327.860 | 1.200
P=0295 | X=0447.530-0464.170 | Y=0318.540-0327.860 | 840
P=0295 | X=0505.390-0522.030 | Y=0318.540-0327.860 | 720
P=0295 | X=0122.210-0363.320 | Y=0327.940-0339.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0295 | X=0122.210-0164.350 | Y=0341.340-0350.660 | >1.000m.
P=0295 | X=0122.210-0348.530 | Y=0356.980-0368.220 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0295 | X=0122.210-0177.480 | Y=0374.760-0386.000 | Đường Bình
P=0295 | X=0196.630-0358.530 | Y=0386.280-0397.520 | Hết Miếu Hàm Hòa Đường tỉnh 768
P=0295 | X=0097.730-0167.330 | Y=0388.160-0397.480 | 197 Hòa - Cây
P=0295 | X=0388.940-0413.990 | Y=0388.160-0397.480 | 6.300
P=0295 | X=0439.370-0464.420 | Y=0388.160-0397.480 | 4.400
P=0295 | X=0497.230-0522.280 | Y=0388.160-0397.480 | 3.800
P=0295 | X=0122.210-0153.960 | Y=0397.800-0409.040 | Dương
P=0295 | X=0122.210-0336.440 | Y=0415.560-0426.800 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0295 | X=0122.210-0363.240 | Y=0427.080-0438.320 | Đường Bình Hòa - Cây Dương đoạn từ Hết Miếu Hàm
P=0295 | X=0122.210-0365.830 | Y=0438.600-0449.840 | Hòa đến Đường tỉnh 768 có hiện trạng là đường nhựa,
P=0295 | X=0122.210-0196.290 | Y=0450.140-0461.380 | bê tông xi măng:
P=0295 | X=0097.730-0114.370 | Y=0458.020-0467.340 | 198
P=0295 | X=0388.940-0413.990 | Y=0458.020-0467.340 | 2.500
P=0295 | X=0439.370-0464.420 | Y=0458.020-0467.340 | 1.800
P=0295 | X=0497.230-0522.280 | Y=0458.020-0467.340 | 1.500
P=0295 | X=0122.210-0353.290 | Y=0467.660-0478.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0295 | X=0122.210-0363.320 | Y=0485.180-0496.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0295 | X=0122.210-0155.730 | Y=0496.460-0507.700 | ≤500m.
P=0295 | X=0122.210-0336.440 | Y=0514.220-0525.460 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0295 | X=0122.210-0363.240 | Y=0525.740-0536.980 | Đường Bình Hòa - Cây Dương đoạn từ Hết Miếu Hàm
P=0295 | X=0122.210-0365.830 | Y=0537.290-0548.530 | Hòa đến Đường tỉnh 768 có hiện trạng là đường nhựa,
P=0295 | X=0122.210-0196.290 | Y=0548.810-0560.050 | bê tông xi măng:
P=0295 | X=0097.730-0353.760 | Y=0565.570-0577.570 | 199 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0295 | X=0388.940-0413.990 | Y=0565.570-0574.890 | 1.500
P=0295 | X=0439.370-0464.420 | Y=0565.570-0574.890 | 1.100
P=0295 | X=0505.390-0522.030 | Y=0565.570-0574.890 | 900
P=0295 | X=0122.210-0363.320 | Y=0583.850-0595.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0295 | X=0122.210-0229.420 | Y=0595.370-0606.610 | từ >500m đến ≤1.000m.
P=0295 | X=0122.210-0345.380 | Y=0612.890-0624.130 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0295 | X=0122.210-0336.440 | Y=0630.670-0641.910 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0295 | X=0122.210-0363.240 | Y=0642.190-0653.430 | Đường Bình Hòa - Cây Dương đoạn từ Hết Miếu Hàm
P=0295 | X=0122.210-0365.830 | Y=0653.710-0664.950 | Hòa đến Đường tỉnh 768 có hiện trạng là đường nhựa,
P=0295 | X=0097.730-0196.290 | Y=0664.230-0676.470 | 200 bê tông xi măng:
P=0295 | X=0388.940-0413.990 | Y=0664.230-0673.550 | 1.300
P=0295 | X=0447.530-0464.170 | Y=0664.230-0673.550 | 910
P=0295 | X=0505.390-0522.030 | Y=0664.230-0673.550 | 780
P=0295 | X=0122.210-0363.320 | Y=0682.510-0693.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0295 | X=0122.210-0164.350 | Y=0695.910-0705.230 | >1.000m.
P=0296 | X=0122.210-0345.850 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0296 | X=0122.210-0368.120 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0296 | X=0122.210-0354.520 | Y=0107.780-0119.020 | thông ra Đường Bình Hòa - Cây Dương đoạn từ Hết
P=0296 | X=0122.210-0352.520 | Y=0119.330-0130.570 | Miếu Hàm Hòa đến Đường tỉnh 768 có hiện trạng là
P=0296 | X=0122.210-0257.980 | Y=0130.850-0142.090 | đường nhựa, bê tông xi măng:
P=0296 | X=0097.730-0114.370 | Y=0138.730-0148.050 | 201
P=0296 | X=0388.940-0413.990 | Y=0138.730-0148.050 | 2.300
P=0296 | X=0439.370-0464.420 | Y=0138.730-0148.050 | 1.600
P=0296 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 1.400
P=0296 | X=0122.210-0353.290 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0296 | X=0122.210-0363.320 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0296 | X=0122.210-0155.730 | Y=0177.170-0188.410 | ≤500m.
P=0296 | X=0122.210-0368.120 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0296 | X=0122.210-0354.520 | Y=0206.470-0217.710 | thông ra Đường Bình Hòa - Cây Dương đoạn từ Hết
P=0296 | X=0122.210-0352.520 | Y=0217.990-0229.230 | Miếu Hàm Hòa đến Đường tỉnh 768 có hiện trạng là
P=0296 | X=0122.210-0257.980 | Y=0229.510-0240.750 | đường nhựa, bê tông xi măng:
P=0296 | X=0097.730-0353.760 | Y=0246.270-0258.270 | 202 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0296 | X=0388.940-0413.990 | Y=0246.270-0255.590 | 1.400
P=0296 | X=0447.530-0464.170 | Y=0246.270-0255.590 | 980
P=0296 | X=0505.390-0522.030 | Y=0246.270-0255.590 | 840
P=0296 | X=0122.210-0363.320 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0296 | X=0122.210-0229.420 | Y=0276.070-0287.310 | từ >500m đến ≤1.000m.
P=0296 | X=0122.210-0345.380 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0296 | X=0122.210-0368.120 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0296 | X=0122.210-0354.520 | Y=0322.900-0334.140 | thông ra Đường Bình Hòa - Cây Dương đoạn từ Hết
P=0296 | X=0122.210-0352.520 | Y=0334.420-0345.660 | Miếu Hàm Hòa đến Đường tỉnh 768 có hiện trạng là
P=0296 | X=0122.210-0257.980 | Y=0345.700-0356.940 | đường nhựa, bê tông xi măng:
P=0296 | X=0097.730-0114.370 | Y=0353.580-0362.900 | 203
P=0296 | X=0388.940-0413.990 | Y=0353.580-0362.900 | 1.200
P=0296 | X=0447.530-0464.170 | Y=0353.580-0362.900 | 840
P=0296 | X=0505.390-0522.030 | Y=0353.580-0362.900 | 720
P=0296 | X=0122.210-0363.320 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0296 | X=0122.210-0164.350 | Y=0376.640-0385.960 | >1.000m.
P=0296 | X=0122.210-0348.530 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0296 | X=0288.340-0364.520 | Y=0410.040-0421.280 | Đường Bình Hòa
P=0296 | X=0097.730-0170.230 | Y=0415.800-0427.040 | 204 Đường Mỹ
P=0296 | X=0196.630-0266.830 | Y=0415.800-0427.040 | Đường tỉnh 768
P=0296 | X=0388.940-0413.990 | Y=0417.680-0427.000 | 4.700
P=0296 | X=0439.370-0464.420 | Y=0417.680-0427.000 | 3.300
P=0296 | X=0497.230-0522.280 | Y=0417.680-0427.000 | 2.800
P=0296 | X=0288.340-0346.750 | Y=0421.560-0432.800 | - Cây Dương
P=0296 | X=0122.210-0336.440 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0296 | X=0122.210-0357.320 | Y=0450.860-0462.100 | Đường Mỹ đoạn từ Đường tỉnh 768 đến Đường Bình
P=0296 | X=0122.210-0348.680 | Y=0462.380-0473.620 | Hòa - Cây Dương có hiện trạng là đường nhựa, bê
P=0296 | X=0122.210-0182.370 | Y=0473.900-0485.140 | tông xi măng:
P=0296 | X=0097.730-0114.370 | Y=0481.780-0491.100 | 205
P=0296 | X=0388.940-0413.990 | Y=0481.780-0491.100 | 2.700
P=0296 | X=0439.370-0464.420 | Y=0481.780-0491.100 | 1.900
P=0296 | X=0497.230-0522.280 | Y=0481.780-0491.100 | 1.600
P=0296 | X=0122.210-0353.290 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0296 | X=0122.210-0363.320 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0296 | X=0122.210-0155.730 | Y=0520.220-0531.460 | ≤500m.
P=0296 | X=0122.210-0336.440 | Y=0538.010-0549.250 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0296 | X=0122.210-0357.320 | Y=0549.530-0560.770 | Đường Mỹ đoạn từ Đường tỉnh 768 đến Đường Bình
P=0296 | X=0122.210-0348.680 | Y=0561.050-0572.290 | Hòa - Cây Dương có hiện trạng là đường nhựa, bê
P=0296 | X=0122.210-0182.370 | Y=0572.570-0583.810 | tông xi măng:
P=0296 | X=0097.730-0353.760 | Y=0589.330-0601.330 | 206 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0296 | X=0388.940-0413.990 | Y=0589.330-0598.650 | 1.800
P=0296 | X=0439.370-0464.420 | Y=0589.330-0598.650 | 1.300
P=0296 | X=0497.230-0522.280 | Y=0589.330-0598.650 | 1.100
P=0296 | X=0122.210-0363.320 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0296 | X=0122.210-0229.420 | Y=0619.150-0630.390 | từ >500m đến ≤1.000m.
P=0296 | X=0122.210-0345.380 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0296 | X=0122.210-0336.440 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0296 | X=0122.210-0357.320 | Y=0665.950-0677.190 | Đường Mỹ đoạn từ Đường tỉnh 768 đến Đường Bình
P=0296 | X=0097.730-0348.680 | Y=0677.470-0691.550 | 207 Hòa - Cây Dương có hiện trạng là đường nhựa, bê
P=0296 | X=0388.940-0413.980 | Y=0682.230-0691.550 | 1.400
P=0296 | X=0447.530-0464.170 | Y=0682.230-0691.550 | 980
P=0296 | X=0505.390-0522.030 | Y=0682.230-0691.550 | 840
P=0296 | X=0122.210-0182.370 | Y=0688.750-0699.990 | tông xi măng:
P=0296 | X=0122.210-0363.320 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0297 | X=0122.210-0164.350 | Y=0074.380-0083.700 | >1.000m.
P=0297 | X=0122.210-0345.850 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0297 | X=0122.210-0368.120 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0297 | X=0122.210-0339.080 | Y=0119.330-0130.570 | thông ra Đường Mỹ đoạn từ Đường tỉnh 768 đến
P=0297 | X=0122.210-0363.560 | Y=0130.850-0142.090 | Đường Bình Hòa - Cây Dương có hiện trạng là đường
P=0297 | X=0122.210-0225.320 | Y=0142.370-0153.610 | nhựa, bê tông xi măng:
P=0297 | X=0097.730-0114.370 | Y=0150.250-0159.570 | 208
P=0297 | X=0388.940-0413.990 | Y=0150.250-0159.570 | 2.400
P=0297 | X=0439.370-0464.420 | Y=0150.250-0159.570 | 1.700
P=0297 | X=0497.230-0522.280 | Y=0150.250-0159.570 | 1.400
P=0297 | X=0122.210-0353.290 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0297 | X=0122.210-0363.320 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0297 | X=0122.210-0155.730 | Y=0188.690-0199.930 | ≤500m.
P=0297 | X=0122.210-0368.120 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0297 | X=0122.210-0339.080 | Y=0217.990-0229.230 | thông ra Đường Mỹ đoạn từ Đường tỉnh 768 đến
P=0297 | X=0122.210-0363.560 | Y=0229.510-0240.750 | Đường Bình Hòa - Cây Dương có hiện trạng là đường
P=0297 | X=0122.210-0225.320 | Y=0241.030-0252.270 | nhựa, bê tông xi măng:
P=0297 | X=0097.730-0353.760 | Y=0257.550-0269.790 | 209 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0297 | X=0388.940-0413.990 | Y=0257.550-0266.870 | 1.600
P=0297 | X=0439.370-0464.420 | Y=0257.550-0266.870 | 1.100
P=0297 | X=0505.390-0522.030 | Y=0257.550-0266.870 | 960
P=0297 | X=0122.210-0363.320 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0297 | X=0122.210-0229.420 | Y=0287.620-0298.860 | từ >500m đến ≤1.000m.
P=0297 | X=0122.210-0345.380 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0297 | X=0122.210-0368.120 | Y=0322.900-0334.140 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0297 | X=0122.210-0339.080 | Y=0334.420-0345.660 | thông ra Đường Mỹ đoạn từ Đường tỉnh 768 đến
P=0297 | X=0122.210-0363.560 | Y=0345.700-0356.940 | Đường Bình Hòa - Cây Dương có hiện trạng là đường
P=0297 | X=0122.210-0225.320 | Y=0357.220-0368.460 | nhựa, bê tông xi măng:
P=0297 | X=0097.730-0114.370 | Y=0365.100-0374.420 | 210
P=0297 | X=0388.940-0413.990 | Y=0365.100-0374.420 | 1.300
P=0297 | X=0447.530-0464.170 | Y=0365.100-0374.420 | 910
P=0297 | X=0505.390-0522.030 | Y=0365.100-0374.420 | 780
P=0297 | X=0122.210-0363.320 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0297 | X=0122.210-0164.350 | Y=0388.160-0397.480 | >1.000m.
P=0297 | X=0122.210-0348.530 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0297 | X=0097.730-0172.950 | Y=0421.560-0432.800 | 211 Hương lộ 9
P=0297 | X=0196.630-0266.830 | Y=0421.560-0432.800 | Đường tỉnh 768
