TABLE=021 | AREA=Phường Xuân Lập | SECTION=non-agricultural | SEGMENTS=1
P=0732 | X=0115.970-0342.290 | Y=0166.370-0177.610 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0732 | X=0115.970-0199.270 | Y=0184.370-0195.610 | Đường Xuân Lập -
P=0732 | X=0303.240-0375.800 | Y=0184.370-0195.610 | Đường số 1 vào
P=0732 | X=0209.590-0264.900 | Y=0190.130-0201.370 | Đường Số 1
P=0732 | X=0097.250-0108.370 | Y=0192.010-0201.330 | 57
P=0732 | X=0402.860-0427.910 | Y=0192.010-0201.330 | 1.800
P=0732 | X=0440.330-0465.380 | Y=0192.010-0201.330 | 1.300
P=0732 | X=0497.230-0522.280 | Y=0192.010-0201.330 | 1.100
P=0732 | X=0115.970-0154.440 | Y=0197.530-0206.850 | Bàu Sao
P=0732 | X=0303.240-0328.200 | Y=0197.530-0206.850 | 500m
P=0732 | X=0115.970-0390.210 | Y=0213.670-0224.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0732 | X=0115.970-0395.420 | Y=0225.190-0236.430 | Lập - Bàu Sao đoạn từ Đường số 1 đến Đường số 1 vào 500m
P=0732 | X=0115.970-0322.820 | Y=0236.710-0247.950 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0097.250-0108.370 | Y=0244.590-0253.910 | 58
P=0732 | X=0402.860-0427.910 | Y=0244.590-0253.910 | 1.200
P=0732 | X=0448.490-0465.130 | Y=0244.590-0253.910 | 840
P=0732 | X=0505.390-0522.030 | Y=0244.590-0253.910 | 720
P=0732 | X=0115.970-0338.880 | Y=0254.230-0265.470 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0732 | X=0115.970-0393.160 | Y=0271.750-0282.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0732 | X=0115.970-0390.210 | Y=0289.780-0301.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0732 | X=0115.970-0395.420 | Y=0301.300-0312.540 | Lập - Bàu Sao đoạn từ Đường số 1 đến Đường số 1 vào 500m
P=0732 | X=0115.970-0322.820 | Y=0312.820-0324.060 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0097.250-0339.140 | Y=0330.340-0344.420 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0732 | X=0411.020-0427.660 | Y=0335.100-0344.420 | 780
P=0732 | X=0448.490-0465.130 | Y=0335.100-0344.420 | 550
P=0732 | X=0505.390-0522.030 | Y=0335.100-0344.420 | 470
P=0732 | X=0115.970-0369.280 | Y=0347.860-0359.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0732 | X=0115.970-0202.540 | Y=0359.380-0370.620 | >400m đến ≤600m.
P=0732 | X=0115.970-0339.140 | Y=0376.920-0388.160 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0732 | X=0115.970-0390.210 | Y=0394.920-0406.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0732 | X=0115.970-0395.420 | Y=0406.200-0417.440 | Lập - Bàu Sao đoạn từ Đường số 1 đến Đường số 1 vào 500m
P=0732 | X=0115.970-0322.820 | Y=0417.720-0428.960 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0097.250-0108.370 | Y=0425.600-0434.920 | 60
P=0732 | X=0411.020-0427.660 | Y=0425.600-0434.920 | 550
P=0732 | X=0448.490-0465.130 | Y=0425.600-0434.920 | 390
P=0732 | X=0505.390-0522.030 | Y=0425.600-0434.920 | 330
P=0732 | X=0115.970-0393.400 | Y=0435.240-0446.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0732 | X=0115.970-0339.610 | Y=0452.780-0464.020 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0732 | X=0115.970-0389.480 | Y=0470.780-0482.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0732 | X=0115.970-0365.030 | Y=0482.300-0493.540 | ra Đường Xuân Lập - Bàu Sao đoạn từ Đường số 1 đến
P=0732 | X=0115.970-0395.000 | Y=0493.820-0505.060 | Đường số 1 vào 500m có hiện trạng là đường nhựa, bê tông xi
P=0732 | X=0097.250-0143.970 | Y=0505.340-0516.780 | 61 măng:
P=0732 | X=0402.860-0427.910 | Y=0507.460-0516.780 | 1.100
P=0732 | X=0448.490-0465.130 | Y=0507.460-0516.780 | 770
P=0732 | X=0505.390-0522.030 | Y=0507.460-0516.780 | 660
P=0732 | X=0115.970-0338.880 | Y=0522.860-0534.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0732 | X=0115.970-0393.160 | Y=0540.410-0551.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0732 | X=0115.970-0389.480 | Y=0558.410-0569.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0732 | X=0115.970-0365.030 | Y=0569.930-0581.170 | ra Đường Xuân Lập - Bàu Sao đoạn từ Đường số 1 đến
P=0732 | X=0115.970-0395.000 | Y=0581.450-0592.690 | Đường số 1 vào 500m có hiện trạng là đường nhựa, bê tông xi
P=0732 | X=0115.970-0143.970 | Y=0592.970-0604.210 | măng:
P=0732 | X=0097.250-0339.140 | Y=0609.490-0621.490 | 62 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0732 | X=0411.020-0427.660 | Y=0609.490-0618.810 | 700
P=0732 | X=0448.490-0465.130 | Y=0609.490-0618.810 | 490
P=0732 | X=0505.390-0522.030 | Y=0609.490-0618.810 | 420
P=0732 | X=0115.970-0369.280 | Y=0627.790-0639.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0732 | X=0115.970-0202.540 | Y=0639.310-0650.550 | >400m đến ≤600m.
P=0732 | X=0115.970-0339.140 | Y=0656.830-0668.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0732 | X=0115.970-0389.480 | Y=0674.830-0686.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0732 | X=0097.250-0365.030 | Y=0686.350-0697.590 | 63 ra Đường Xuân Lập - Bàu Sao đoạn từ Đường số 1 đến
P=0732 | X=0411.020-0427.660 | Y=0688.230-0697.550 | 500
P=0732 | X=0448.490-0465.130 | Y=0688.230-0697.550 | 350
P=0732 | X=0505.390-0522.030 | Y=0688.230-0697.550 | 300
P=0732 | X=0115.970-0395.000 | Y=0697.870-0709.110 | Đường số 1 vào 500m có hiện trạng là đường nhựa, bê tông xi
P=0733 | X=0115.970-0143.970 | Y=0072.740-0083.980 | măng:
P=0733 | X=0115.970-0393.400 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0733 | X=0115.970-0342.290 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0733 | X=0115.970-0199.270 | Y=0125.810-0137.050 | Đường Xuân Lập -
P=0733 | X=0209.590-0282.180 | Y=0125.810-0137.050 | Đường số 1 vào
P=0733 | X=0303.240-0383.500 | Y=0125.810-0137.050 | Đường lô 8 đi cầu
P=0733 | X=0097.250-0108.370 | Y=0133.450-0142.770 | 64
P=0733 | X=0402.860-0427.910 | Y=0133.450-0142.770 | 1.600
P=0733 | X=0440.330-0465.380 | Y=0133.450-0142.770 | 1.100
P=0733 | X=0505.390-0522.030 | Y=0133.450-0142.770 | 960
P=0733 | X=0115.970-0154.440 | Y=0139.210-0148.530 | Bàu Sao
P=0733 | X=0209.590-0234.550 | Y=0139.210-0148.530 | 500m
P=0733 | X=0303.240-0315.560 | Y=0139.210-0148.530 | Be
P=0733 | X=0115.970-0390.210 | Y=0155.330-0166.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0733 | X=0115.970-0392.850 | Y=0166.850-0178.090 | Lập - Bàu Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8
P=0733 | X=0115.970-0367.200 | Y=0178.370-0189.610 | đi cầu Be có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0097.250-0108.370 | Y=0186.250-0195.570 | 65
P=0733 | X=0411.020-0427.660 | Y=0186.250-0195.570 | 780
P=0733 | X=0448.490-0465.130 | Y=0186.250-0195.570 | 550
P=0733 | X=0505.390-0522.030 | Y=0186.250-0195.570 | 470
P=0733 | X=0115.970-0338.880 | Y=0195.650-0206.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0733 | X=0115.970-0393.160 | Y=0213.190-0224.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0733 | X=0115.970-0390.210 | Y=0231.190-0242.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0733 | X=0115.970-0392.850 | Y=0242.710-0253.950 | Lập - Bàu Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8
P=0733 | X=0115.970-0367.200 | Y=0254.230-0265.470 | đi cầu Be có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0097.250-0339.140 | Y=0271.750-0286.070 | 66 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0733 | X=0411.020-0427.660 | Y=0276.750-0286.070 | 650
P=0733 | X=0448.490-0465.130 | Y=0276.750-0286.070 | 460
P=0733 | X=0505.390-0522.030 | Y=0276.750-0286.070 | 390
P=0733 | X=0115.970-0369.280 | Y=0289.300-0300.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0733 | X=0115.970-0202.540 | Y=0300.820-0312.060 | >400m đến ≤600m.
P=0733 | X=0115.970-0339.140 | Y=0318.340-0329.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0733 | X=0115.970-0390.210 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0733 | X=0115.970-0392.850 | Y=0347.860-0359.100 | Lập - Bàu Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8
P=0733 | X=0115.970-0367.200 | Y=0359.380-0370.620 | đi cầu Be có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0097.250-0108.370 | Y=0367.280-0376.600 | 67
P=0733 | X=0411.020-0427.660 | Y=0367.280-0376.600 | 520
P=0733 | X=0448.490-0465.130 | Y=0367.280-0376.600 | 360
P=0733 | X=0505.390-0522.030 | Y=0367.280-0376.600 | 310
P=0733 | X=0115.970-0393.400 | Y=0376.920-0388.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0733 | X=0115.970-0339.610 | Y=0394.200-0405.440 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0733 | X=0115.970-0389.510 | Y=0412.200-0423.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0733 | X=0115.970-0392.050 | Y=0423.720-0434.960 | ra Đường Xuân Lập - Bàu Sao đoạn từ Đường số 1 vào 500m
P=0733 | X=0115.970-0377.260 | Y=0435.240-0446.480 | đến Đường lô 8 đi cầu Be có hiện trạng là đường nhựa, bê
P=0733 | X=0097.250-0176.130 | Y=0446.760-0458.200 | 68 tông xi măng:
P=0733 | X=0411.020-0427.660 | Y=0448.880-0458.200 | 700
P=0733 | X=0448.490-0465.130 | Y=0448.880-0458.200 | 490
P=0733 | X=0505.390-0522.030 | Y=0448.880-0458.200 | 420
P=0733 | X=0115.970-0338.880 | Y=0464.300-0475.540 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0733 | X=0115.970-0393.160 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0733 | X=0115.970-0389.480 | Y=0499.820-0511.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0733 | X=0115.970-0392.040 | Y=0511.340-0522.580 | ra Đường Xuân Lập - Bàu Sao đoạn từ Đường số 1 vào 500m
P=0733 | X=0115.970-0377.260 | Y=0522.860-0534.100 | đến Đường lô 8 đi cầu Be có hiện trạng là đường nhựa, bê
P=0733 | X=0115.970-0176.130 | Y=0534.410-0545.650 | tông xi măng:
P=0733 | X=0097.250-0339.140 | Y=0550.930-0563.170 | 69 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0733 | X=0411.020-0427.660 | Y=0550.930-0560.250 | 590
P=0733 | X=0448.490-0465.130 | Y=0550.930-0560.250 | 410
P=0733 | X=0505.390-0522.030 | Y=0550.930-0560.250 | 350
P=0733 | X=0115.970-0369.280 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0733 | X=0115.970-0202.540 | Y=0580.970-0592.210 | >400m đến ≤600m.
P=0733 | X=0115.970-0339.140 | Y=0598.250-0609.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0733 | X=0115.970-0389.480 | Y=0616.270-0627.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0733 | X=0115.970-0392.040 | Y=0627.790-0639.030 | ra Đường Xuân Lập - Bàu Sao đoạn từ Đường số 1 vào 500m
P=0733 | X=0115.970-0377.260 | Y=0639.310-0650.550 | đến Đường lô 8 đi cầu Be có hiện trạng là đường nhựa, bê
P=0733 | X=0097.250-0176.130 | Y=0650.830-0662.270 | 70 tông xi măng:
P=0733 | X=0411.020-0427.660 | Y=0652.950-0662.270 | 470
P=0733 | X=0448.490-0465.130 | Y=0652.950-0662.270 | 330
P=0733 | X=0505.390-0522.030 | Y=0652.950-0662.270 | 280
P=0733 | X=0115.970-0393.400 | Y=0668.350-0679.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0733 | X=0115.970-0342.290 | Y=0685.870-0697.110 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0733 | X=0097.250-0199.270 | Y=0703.890-0715.130 | 71 Đường Xuân Lập -
P=0733 | X=0209.590-0289.860 | Y=0703.890-0715.130 | Đường lô 8 đi cầu
P=0733 | X=0303.240-0380.150 | Y=0703.890-0715.130 | Hết ranh phường
P=0733 | X=0402.860-0427.900 | Y=0705.780-0715.100 | 1.500
P=0733 | X=0440.330-0465.380 | Y=0705.780-0715.100 | 1.100
P=0733 | X=0505.390-0522.030 | Y=0705.780-0715.100 | 900
P=0734 | X=0115.970-0154.440 | Y=0074.620-0083.940 | Bàu Sao
P=0734 | X=0209.590-0221.910 | Y=0074.620-0083.940 | Be
P=0734 | X=0303.240-0345.810 | Y=0074.620-0083.940 | Xuân Lập
P=0734 | X=0115.970-0390.210 | Y=0090.740-0101.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0734 | X=0115.970-0375.600 | Y=0102.260-0113.500 | Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh
P=0734 | X=0115.970-0376.280 | Y=0113.780-0125.020 | phường Xuân Lập có hiện trạng là đường nhựa, bê tông xi
P=0734 | X=0097.250-0143.970 | Y=0125.330-0136.770 | 72 măng:
P=0734 | X=0411.020-0427.660 | Y=0127.450-0136.770 | 770
P=0734 | X=0448.490-0465.130 | Y=0127.450-0136.770 | 540
P=0734 | X=0505.390-0522.030 | Y=0127.450-0136.770 | 460
P=0734 | X=0115.970-0338.880 | Y=0142.850-0154.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0734 | X=0115.970-0393.160 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0734 | X=0115.970-0390.210 | Y=0178.370-0189.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0734 | X=0115.970-0375.570 | Y=0189.650-0200.890 | Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh
P=0734 | X=0115.970-0376.280 | Y=0201.190-0212.430 | phường Xuân Lập có hiện trạng là đường nhựa, bê tông xi
P=0734 | X=0115.970-0143.970 | Y=0212.710-0223.950 | măng:
P=0734 | X=0097.250-0339.160 | Y=0229.470-0241.470 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0734 | X=0411.020-0427.660 | Y=0229.470-0238.790 | 700
P=0734 | X=0448.490-0465.130 | Y=0229.470-0238.790 | 490
P=0734 | X=0505.390-0522.030 | Y=0229.470-0238.790 | 420
P=0734 | X=0115.970-0369.280 | Y=0247.750-0258.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0734 | X=0115.970-0202.540 | Y=0259.270-0270.510 | >400m đến ≤600m.
P=0734 | X=0115.970-0339.140 | Y=0276.790-0288.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0734 | X=0115.970-0390.210 | Y=0294.820-0306.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0734 | X=0115.970-0375.570 | Y=0306.340-0317.580 | Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh
P=0734 | X=0115.970-0376.280 | Y=0317.860-0329.100 | phường Xuân Lập có hiện trạng là đường nhựa, bê tông xi
P=0734 | X=0097.250-0143.970 | Y=0329.380-0340.820 | 74 măng:
P=0734 | X=0411.020-0427.660 | Y=0331.500-0340.820 | 560
P=0734 | X=0448.490-0465.130 | Y=0331.500-0340.820 | 390
P=0734 | X=0505.390-0522.030 | Y=0331.500-0340.820 | 340
P=0734 | X=0115.970-0393.400 | Y=0346.900-0358.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0734 | X=0115.970-0339.610 | Y=0364.180-0375.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0734 | X=0115.970-0389.480 | Y=0382.200-0393.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0734 | X=0115.970-0387.350 | Y=0393.720-0404.960 | ra Đường Xuân Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be
P=0734 | X=0115.970-0388.870 | Y=0405.240-0416.480 | đến hết ranh phường Xuân Lập có hiện trạng là đường nhựa,
P=0734 | X=0097.250-0190.050 | Y=0416.760-0428.200 | 75 bê tông xi măng:
P=0734 | X=0411.020-0427.660 | Y=0418.880-0428.200 | 690
P=0734 | X=0448.490-0465.130 | Y=0418.880-0428.200 | 480
P=0734 | X=0505.390-0522.030 | Y=0418.880-0428.200 | 410
P=0734 | X=0115.970-0338.880 | Y=0434.280-0445.520 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0734 | X=0115.970-0393.160 | Y=0451.820-0463.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0734 | X=0115.970-0389.480 | Y=0469.820-0481.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0734 | X=0115.970-0387.350 | Y=0481.340-0492.580 | ra Đường Xuân Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be
P=0734 | X=0115.970-0388.870 | Y=0492.860-0504.100 | đến hết ranh phường Xuân Lập có hiện trạng là đường nhựa,
P=0734 | X=0115.970-0190.050 | Y=0504.380-0515.620 | bê tông xi măng:
P=0734 | X=0097.250-0339.140 | Y=0520.900-0533.140 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0734 | X=0411.020-0427.660 | Y=0520.900-0530.220 | 630
P=0734 | X=0448.490-0465.130 | Y=0520.900-0530.220 | 440
P=0734 | X=0505.390-0522.030 | Y=0520.900-0530.220 | 380
P=0734 | X=0115.970-0369.280 | Y=0539.450-0550.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0734 | X=0115.970-0202.540 | Y=0550.970-0562.210 | >400m đến ≤600m.
P=0734 | X=0115.970-0339.140 | Y=0568.250-0579.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0734 | X=0115.970-0389.480 | Y=0586.250-0597.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0734 | X=0115.970-0387.350 | Y=0597.770-0609.010 | ra Đường Xuân Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be
P=0734 | X=0115.970-0390.550 | Y=0609.290-0620.530 | đến Hết ranh phường Xuân Lập có hiện trạng là đường nhựa,
P=0734 | X=0097.250-0190.050 | Y=0620.830-0632.270 | 77 bê tông xi măng:
P=0734 | X=0411.020-0427.660 | Y=0622.950-0632.270 | 500
P=0734 | X=0448.490-0465.130 | Y=0622.950-0632.270 | 350
P=0734 | X=0505.390-0522.030 | Y=0622.950-0632.270 | 300
P=0734 | X=0115.970-0393.400 | Y=0638.350-0649.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0734 | X=0115.970-0342.290 | Y=0655.870-0667.110 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0734 | X=0303.240-0385.660 | Y=0673.870-0685.110 | Giáp ranh phường
P=0734 | X=0209.590-0288.180 | Y=0675.750-0685.070 | Giáp ranh xã Dầu
P=0734 | X=0097.250-0193.350 | Y=0679.630-0690.870 | 78 Đường Quốc lộ 1
P=0734 | X=0402.860-0427.910 | Y=0681.510-0690.830 | 4.900
P=0734 | X=0440.330-0465.380 | Y=0681.510-0690.830 | 3.400
P=0734 | X=0497.230-0522.280 | Y=0681.510-0690.830 | 2.900
P=0734 | X=0209.590-0230.460 | Y=0687.270-0696.590 | Giây
P=0734 | X=0303.240-0342.840 | Y=0687.270-0696.590 | Bình Lộc
P=0734 | X=0097.250-0391.100 | Y=0703.410-0714.650 | 79 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0734 | X=0402.860-0427.910 | Y=0705.300-0714.620 | 1.700
P=0734 | X=0440.330-0465.380 | Y=0705.300-0714.620 | 1.200
P=0734 | X=0497.230-0522.280 | Y=0705.300-0714.620 | 1.000
P=0735 | X=0115.970-0378.470 | Y=0072.740-0083.980 | lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường
P=0735 | X=0115.970-0365.060 | Y=0084.260-0095.500 | Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0735 | X=0115.970-0338.880 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0735 | X=0115.970-0393.160 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0735 | X=0115.970-0391.100 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0735 | X=0115.970-0378.470 | Y=0148.850-0160.090 | lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường
P=0735 | X=0115.970-0365.060 | Y=0160.370-0171.610 | Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0735 | X=0097.250-0339.140 | Y=0177.650-0191.970 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0735 | X=0402.860-0427.910 | Y=0182.650-0191.970 | 1.100
P=0735 | X=0448.490-0465.130 | Y=0182.650-0191.970 | 770
P=0735 | X=0505.390-0522.030 | Y=0182.650-0191.970 | 660
P=0735 | X=0115.970-0369.280 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0735 | X=0115.970-0202.540 | Y=0206.710-0217.950 | >400m đến ≤600m.
P=0735 | X=0115.970-0339.140 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0735 | X=0115.970-0391.100 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc
P=0735 | X=0115.970-0378.470 | Y=0253.750-0264.990 | lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường
P=0735 | X=0115.970-0365.060 | Y=0265.270-0276.510 | Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0735 | X=0097.250-0108.370 | Y=0273.150-0282.470 | 81
P=0735 | X=0411.020-0427.660 | Y=0273.150-0282.470 | 780
P=0735 | X=0448.490-0465.130 | Y=0273.150-0282.470 | 550
P=0735 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 470
P=0735 | X=0115.970-0393.400 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0735 | X=0115.970-0339.610 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0735 | X=0115.970-0389.480 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0735 | X=0115.970-0390.220 | Y=0329.860-0341.100 | ra Đường Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp
P=0735 | X=0115.970-0395.470 | Y=0341.380-0352.620 | ranh phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=0735 | X=0097.250-0143.970 | Y=0352.900-0364.340 | 82 măng:
P=0735 | X=0402.860-0427.910 | Y=0355.020-0364.340 | 1.500
P=0735 | X=0440.330-0465.380 | Y=0355.020-0364.340 | 1.100
P=0735 | X=0505.390-0522.030 | Y=0355.020-0364.340 | 900
P=0735 | X=0115.970-0338.880 | Y=0370.200-0381.440 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0735 | X=0115.970-0393.160 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0735 | X=0115.970-0389.480 | Y=0405.720-0416.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0735 | X=0115.970-0390.220 | Y=0417.240-0428.480 | ra Đường Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp
P=0735 | X=0115.970-0395.470 | Y=0428.760-0440.000 | ranh phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=0735 | X=0115.970-0143.970 | Y=0440.280-0451.520 | măng:
P=0735 | X=0097.250-0339.140 | Y=0457.060-0469.060 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0735 | X=0411.020-0427.660 | Y=0457.060-0466.380 | 990
P=0735 | X=0448.490-0465.130 | Y=0457.060-0466.380 | 690
P=0735 | X=0505.390-0522.030 | Y=0457.060-0466.380 | 590
P=0735 | X=0115.970-0369.280 | Y=0475.340-0486.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0735 | X=0115.970-0202.540 | Y=0486.860-0498.100 | >400m đến ≤600m.
P=0735 | X=0115.970-0339.140 | Y=0504.380-0515.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0735 | X=0115.970-0389.480 | Y=0522.380-0533.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0735 | X=0115.970-0390.220 | Y=0533.930-0545.170 | ra Đường Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp
P=0735 | X=0115.970-0395.470 | Y=0545.450-0556.690 | ranh phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=0735 | X=0097.250-0143.970 | Y=0556.970-0568.410 | 84 măng:
P=0735 | X=0411.020-0427.660 | Y=0559.090-0568.410 | 700
P=0735 | X=0448.490-0465.130 | Y=0559.090-0568.410 | 490
P=0735 | X=0505.390-0522.030 | Y=0559.090-0568.410 | 420
P=0735 | X=0115.970-0393.400 | Y=0574.250-0585.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0735 | X=0115.970-0342.290 | Y=0591.770-0603.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0735 | X=0209.590-0395.020 | Y=0609.770-0621.010 | Ranh phường Long Hết ranh thửa đất số
P=0735 | X=0097.250-0206.700 | Y=0615.530-0626.770 | 85 Đường Lê Hữu Trác
P=0735 | X=0402.860-0427.910 | Y=0617.410-0626.730 | 3.600
P=0735 | X=0440.330-0465.380 | Y=0617.410-0626.730 | 2.500
P=0735 | X=0497.230-0522.280 | Y=0617.410-0626.730 | 2.200
P=0735 | X=0303.240-0392.620 | Y=0621.310-0632.550 | 117, lờ BĐĐC số 31
