TABLE=052 | AREA=Xã Đắk Lua | SECTION=non-agricultural | SEGMENTS=1
P=1753 | X=0109.970-0324.200 | Y=0601.610-0612.850 | và thông ra Đường Lạc Long Quân đoạn từ Đầu
P=1753 | X=0109.970-0349.160 | Y=0613.130-0624.370 | Trường Tiểu học Cây Gáo B, phân hiệu 1 đến Ngã ba
P=1753 | X=0109.970-0349.160 | Y=0624.670-0635.910 | đường Kho Mìn có hiện trạng là đường nhựa, bê tông
P=1753 | X=0091.460-0147.800 | Y=0636.190-0647.630 | 187 xi măng:
P=1753 | X=0375.740-0400.790 | Y=0638.310-0647.630 | 1.400
P=1753 | X=0447.050-0463.690 | Y=0638.310-0647.630 | 980
P=1753 | X=0505.630-0522.270 | Y=0638.310-0647.630 | 840
P=1753 | X=0109.970-0332.920 | Y=0653.710-0664.950 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1753 | X=0109.970-0351.080 | Y=0671.230-0682.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1753 | X=0109.970-0143.490 | Y=0682.510-0693.750 | ≤400m.
P=1753 | X=0091.460-0342.680 | Y=0700.290-0711.530 | 188 Các tuyến đường giao thông không đấu nối trực tiếp
P=1753 | X=0383.900-0400.540 | Y=0702.180-0711.500 | 900
P=1753 | X=0447.050-0463.690 | Y=0702.180-0711.500 | 630
P=1753 | X=0505.630-0522.270 | Y=0702.180-0711.500 | 540
P=1754 | X=0109.970-0324.200 | Y=0072.500-0083.740 | và thông ra Đường Lạc Long Quân đoạn từ Đầu
P=1754 | X=0109.970-0349.160 | Y=0084.020-0095.260 | Trường Tiểu học Cây Gáo B, phân hiệu 1 đến Ngã ba
P=1754 | X=0109.970-0349.160 | Y=0095.540-0106.780 | đường Kho Mìn có hiện trạng là đường nhựa, bê tông
P=1754 | X=0109.970-0147.800 | Y=0107.060-0118.300 | xi măng:
P=1754 | X=0109.970-0333.140 | Y=0124.610-0135.850 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1754 | X=0109.970-0351.080 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1754 | X=0109.970-0208.790 | Y=0153.410-0164.650 | từ >400m đến ≤600m.
P=1754 | X=0109.970-0333.140 | Y=0170.930-0182.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1754 | X=0109.970-0342.680 | Y=0188.690-0199.930 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1754 | X=0109.970-0324.200 | Y=0200.230-0211.470 | và thông ra Đường Lạc Long Quân đoạn từ Đầu
P=1754 | X=0109.970-0349.160 | Y=0211.750-0222.990 | Trường Tiểu học Cây Gáo B, phân hiệu 1 đến Ngã ba
P=1754 | X=0109.970-0349.160 | Y=0223.270-0234.510 | đường Kho Mìn có hiện trạng là đường nhựa, bê tông
P=1754 | X=0091.460-0147.800 | Y=0234.790-0246.230 | 189 xi măng:
P=1754 | X=0383.900-0400.540 | Y=0236.910-0246.230 | 810
P=1754 | X=0447.050-0463.690 | Y=0236.910-0246.230 | 570
P=1754 | X=0505.630-0522.270 | Y=0236.910-0246.230 | 490
P=1754 | X=0109.970-0351.080 | Y=0252.310-0263.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1754 | X=0109.970-0152.130 | Y=0265.710-0275.030 | >1.000m.
P=1754 | X=0109.970-0333.610 | Y=0281.380-0292.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1754 | X=0109.970-0332.830 | Y=0299.140-0310.380 | Đường Lạc Long Ngã ba đường Đường Quang
P=1754 | X=0091.460-0108.100 | Y=0306.780-0316.100 | 190
P=1754 | X=0375.740-0400.790 | Y=0306.780-0316.100 | 3.800
P=1754 | X=0438.890-0463.940 | Y=0306.780-0316.100 | 2.700
P=1754 | X=0497.470-0522.520 | Y=0306.780-0316.100 | 2.300
P=1754 | X=0109.970-0134.530 | Y=0312.540-0321.860 | Quân
P=1754 | X=0195.430-0232.980 | Y=0312.540-0321.860 | Kho Mìn
P=1754 | X=0268.180-0294.430 | Y=0312.540-0321.860 | Trung
P=1754 | X=0109.970-0324.200 | Y=0328.420-0339.660 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1754 | X=0109.970-0338.600 | Y=0339.700-0350.940 | Đường Lạc Long Quân đoạn từ Ngã ba đường Kho
P=1754 | X=0109.970-0346.280 | Y=0351.220-0362.460 | Mìn đến Đường Quang Trung có hiện trạng là đường
P=1754 | X=0109.970-0213.080 | Y=0362.740-0373.980 | nhựa, bê tông xi măng:
P=1754 | X=0091.460-0108.100 | Y=0370.640-0379.960 | 191
P=1754 | X=0375.740-0400.790 | Y=0370.640-0379.960 | 1.700
P=1754 | X=0438.890-0463.940 | Y=0370.640-0379.960 | 1.200
P=1754 | X=0497.470-0522.520 | Y=0370.640-0379.960 | 1.000
P=1754 | X=0109.970-0332.920 | Y=0380.280-0391.520 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1754 | X=0109.970-0351.080 | Y=0397.800-0409.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1754 | X=0109.970-0143.490 | Y=0409.320-0420.560 | ≤400m.
P=1754 | X=0109.970-0324.200 | Y=0427.080-0438.320 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1754 | X=0109.970-0338.600 | Y=0438.600-0449.840 | Đường Lạc Long Quân đoạn từ Ngã ba đường Kho
P=1754 | X=0109.970-0346.280 | Y=0450.140-0461.380 | Mìn đến Đường Quang Trung có hiện trạng là đường
P=1754 | X=0109.970-0213.080 | Y=0461.660-0472.900 | nhựa, bê tông xi măng:
P=1754 | X=0091.460-0333.140 | Y=0478.180-0490.420 | 192 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1754 | X=0375.740-0400.790 | Y=0478.180-0487.500 | 1.000
P=1754 | X=0447.050-0463.690 | Y=0478.180-0487.500 | 700
P=1754 | X=0505.630-0522.270 | Y=0478.180-0487.500 | 600
P=1754 | X=0109.970-0351.080 | Y=0496.460-0507.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1754 | X=0109.970-0208.790 | Y=0507.980-0519.220 | từ >400m đến ≤600m.
P=1754 | X=0109.970-0333.140 | Y=0525.500-0536.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1754 | X=0109.970-0324.200 | Y=0543.290-0554.530 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1754 | X=0109.970-0338.600 | Y=0554.810-0566.050 | Đường Lạc Long Quân đoạn từ Ngã ba đường Kho
P=1754 | X=0109.970-0346.280 | Y=0566.330-0577.570 | Mìn đến Đường Quang Trung có hiện trạng là đường
P=1754 | X=0109.970-0213.080 | Y=0577.850-0589.090 | nhựa, bê tông xi măng:
P=1754 | X=0091.460-0108.100 | Y=0585.730-0595.050 | 193
P=1754 | X=0383.900-0400.540 | Y=0585.730-0595.050 | 900
P=1754 | X=0447.050-0463.690 | Y=0585.730-0595.050 | 630
P=1754 | X=0505.630-0522.270 | Y=0585.730-0595.050 | 540
P=1754 | X=0109.970-0351.080 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1754 | X=0109.970-0152.110 | Y=0608.770-0618.090 | >1.000m.
P=1754 | X=0109.970-0333.610 | Y=0624.430-0635.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1754 | X=0109.970-0342.680 | Y=0642.190-0653.430 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1754 | X=0109.970-0338.120 | Y=0653.710-0664.950 | và thông ra Đường Lạc Long Quân đoạn từ Ngã ba
P=1754 | X=0091.460-0330.690 | Y=0665.230-0679.310 | 194 đường Kho Mìn đến Đường Quang Trung có hiện
P=1754 | X=0375.740-0400.790 | Y=0669.990-0679.310 | 1.500
P=1754 | X=0438.890-0463.940 | Y=0669.990-0679.310 | 1.100
P=1754 | X=0505.630-0522.270 | Y=0669.990-0679.310 | 900
P=1754 | X=0109.970-0281.750 | Y=0676.510-0687.750 | trạng là đường nhựa, bê tông xi măng:
P=1754 | X=0109.970-0332.920 | Y=0694.030-0705.270 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1755 | X=0109.970-0351.090 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1755 | X=0109.970-0143.490 | Y=0090.020-0101.260 | ≤400m.
P=1755 | X=0109.970-0342.680 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1755 | X=0109.970-0338.130 | Y=0119.330-0130.570 | và thông ra Đường Lạc Long Quân đoạn từ Ngã ba
P=1755 | X=0109.970-0330.690 | Y=0130.850-0142.090 | đường Kho Mìn đến Đường Quang Trung có hiện
P=1755 | X=0109.970-0281.750 | Y=0142.370-0153.610 | trạng là đường nhựa, bê tông xi măng:
P=1755 | X=0091.460-0333.140 | Y=0158.890-0170.890 | 195 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1755 | X=0383.900-0400.540 | Y=0158.890-0168.210 | 900
P=1755 | X=0447.050-0463.690 | Y=0158.890-0168.210 | 630
P=1755 | X=0505.630-0522.270 | Y=0158.890-0168.210 | 540
P=1755 | X=0109.970-0351.090 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1755 | X=0109.970-0208.790 | Y=0188.690-0199.930 | từ >400m đến ≤600m.
P=1755 | X=0109.970-0333.140 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1755 | X=0109.970-0342.680 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1755 | X=0109.970-0338.120 | Y=0235.510-0246.750 | và thông ra Đường Lạc Long Quân đoạn từ Ngã ba
P=1755 | X=0109.970-0330.690 | Y=0247.030-0258.270 | đường Kho Mìn đến Đường Quang Trung có hiện
P=1755 | X=0109.970-0281.760 | Y=0258.550-0269.790 | trạng là đường nhựa, bê tông xi măng:
P=1755 | X=0091.460-0108.100 | Y=0266.430-0275.750 | 196
P=1755 | X=0383.900-0400.540 | Y=0266.430-0275.750 | 810
P=1755 | X=0447.050-0463.690 | Y=0266.430-0275.750 | 570
P=1755 | X=0505.630-0522.270 | Y=0266.430-0275.750 | 490
P=1755 | X=0109.970-0351.080 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1755 | X=0109.970-0152.110 | Y=0289.500-0298.820 | >1.000m.
P=1755 | X=0109.970-0333.610 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1755 | X=0109.970-0260.080 | Y=0322.900-0334.140 | Đường Phan Chu Đường Quang
P=1755 | X=0268.180-0340.680 | Y=0328.660-0339.900 | Ngã ba Điện lực
P=1755 | X=0091.460-0108.100 | Y=0330.540-0339.860 | 197
P=1755 | X=0375.740-0400.790 | Y=0330.540-0339.860 | 3.600
P=1755 | X=0438.890-0463.940 | Y=0330.540-0339.860 | 2.500
P=1755 | X=0497.470-0522.520 | Y=0330.540-0339.860 | 2.200
P=1755 | X=0109.970-0133.070 | Y=0336.300-0345.620 | Trinh
P=1755 | X=0195.430-0221.670 | Y=0336.300-0345.620 | Trung
P=1755 | X=0109.970-0324.200 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1755 | X=0109.970-0347.950 | Y=0363.460-0374.700 | Đường Phan Chu Trinh đoạn từ Đường Quang Trung
P=1755 | X=0109.970-0348.690 | Y=0375.000-0386.240 | đến Ngã ba Điện lực có hiện trạng là đường nhựa, bê
P=1755 | X=0109.970-0170.130 | Y=0386.520-0397.760 | tông xi măng:
P=1755 | X=0091.460-0108.100 | Y=0394.400-0403.720 | 198
P=1755 | X=0375.740-0400.790 | Y=0394.400-0403.720 | 1.800
P=1755 | X=0438.890-0463.940 | Y=0394.400-0403.720 | 1.300
P=1755 | X=0497.470-0522.520 | Y=0394.400-0403.720 | 1.100
P=1755 | X=0109.970-0332.920 | Y=0404.040-0415.280 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1755 | X=0109.970-0351.080 | Y=0421.560-0432.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1755 | X=0109.970-0143.490 | Y=0433.080-0444.320 | ≤400m.
P=1755 | X=0109.970-0324.200 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1755 | X=0109.970-0347.950 | Y=0462.380-0473.620 | Đường Phan Chu Trinh đoạn từ Đường Quang Trung
P=1755 | X=0109.970-0348.690 | Y=0473.900-0485.140 | đến Ngã ba Điện lực có hiện trạng là đường nhựa, bê
P=1755 | X=0109.970-0170.130 | Y=0485.420-0496.660 | tông xi măng:
P=1755 | X=0091.460-0333.140 | Y=0501.940-0514.180 | 199 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1755 | X=0375.740-0400.790 | Y=0501.940-0511.260 | 1.100
P=1755 | X=0447.050-0463.690 | Y=0501.940-0511.260 | 770
P=1755 | X=0505.630-0522.270 | Y=0501.940-0511.260 | 660
P=1755 | X=0109.970-0351.080 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1755 | X=0109.970-0208.790 | Y=0531.740-0542.980 | từ >400m đến ≤600m.
P=1755 | X=0109.970-0333.140 | Y=0549.290-0560.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1755 | X=0109.970-0324.200 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1755 | X=0109.970-0347.950 | Y=0578.570-0589.810 | Đường Phan Chu Trinh đoạn từ Đường Quang Trung
P=1755 | X=0109.970-0348.690 | Y=0590.090-0601.330 | đến Ngã ba Điện lực có hiện trạng là đường nhựa, bê
P=1755 | X=0109.970-0170.130 | Y=0601.610-0612.850 | tông xi măng:
P=1755 | X=0091.460-0108.100 | Y=0609.490-0618.810 | 200
P=1755 | X=0383.900-0400.540 | Y=0609.490-0618.810 | 960
P=1755 | X=0447.050-0463.690 | Y=0609.490-0618.810 | 670
P=1755 | X=0505.630-0522.270 | Y=0609.490-0618.810 | 580
P=1755 | X=0109.970-0351.080 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1755 | X=0109.970-0152.110 | Y=0632.550-0641.870 | >1.000m.
P=1755 | X=0109.970-0333.610 | Y=0648.190-0659.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1755 | X=0109.970-0342.680 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1755 | X=0109.970-0339.080 | Y=0677.470-0688.710 | và thông ra Đường Phan Chu Trinh đoạn từ Đường
P=1755 | X=0091.460-0108.100 | Y=0685.110-0694.430 | 201
P=1755 | X=0375.740-0400.790 | Y=0685.110-0694.430 | 1.600
P=1755 | X=0438.890-0463.940 | Y=0685.110-0694.430 | 1.100
P=1755 | X=0505.630-0522.270 | Y=0685.110-0694.430 | 960
P=1755 | X=0109.970-0334.990 | Y=0688.750-0699.990 | Quang Trung đến Ngã ba Điện lực có hiện trạng là
P=1755 | X=0109.970-0245.740 | Y=0700.290-0711.530 | đường nhựa, bê tông xi măng:
P=1756 | X=0109.970-0332.880 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1756 | X=0109.970-0351.080 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1756 | X=0109.970-0143.490 | Y=0107.540-0118.780 | ≤400m.
P=1756 | X=0109.970-0342.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1756 | X=0109.970-0339.080 | Y=0136.850-0148.090 | và thông ra Đường Phan Chu Trinh đoạn từ Đường
P=1756 | X=0109.970-0334.990 | Y=0148.370-0159.610 | Quang Trung đến Ngã ba Điện lực có hiện trạng là
P=1756 | X=0109.970-0245.740 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=1756 | X=0091.460-0333.140 | Y=0176.410-0188.410 | 202 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1756 | X=0383.900-0400.540 | Y=0176.410-0185.730 | 990
P=1756 | X=0447.050-0463.690 | Y=0176.410-0185.730 | 690
P=1756 | X=0505.630-0522.270 | Y=0176.410-0185.730 | 590
P=1756 | X=0109.970-0351.080 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1756 | X=0109.970-0208.790 | Y=0206.230-0217.470 | từ >400m đến ≤600m.
P=1756 | X=0109.970-0333.170 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1756 | X=0109.970-0342.680 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1756 | X=0109.970-0339.080 | Y=0253.030-0264.270 | và thông ra Đường Phan Chu Trinh đoạn từ Đường
P=1756 | X=0109.970-0334.990 | Y=0264.550-0275.790 | Quang Trung đến Ngã ba Điện lực có hiện trạng là
P=1756 | X=0109.970-0245.740 | Y=0276.070-0287.310 | đường nhựa, bê tông xi măng:
P=1756 | X=0091.460-0108.100 | Y=0283.980-0293.300 | 203
P=1756 | X=0383.900-0400.540 | Y=0283.980-0293.300 | 860
P=1756 | X=0447.050-0463.690 | Y=0283.980-0293.300 | 600
P=1756 | X=0505.630-0522.270 | Y=0283.980-0293.300 | 520
P=1756 | X=0109.970-0351.080 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1756 | X=0109.970-0152.110 | Y=0307.020-0316.340 | >1.000m.
P=1756 | X=0109.970-0333.610 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1756 | X=0109.970-0183.430 | Y=0340.420-0351.660 | Đường Tôn Đức
P=1756 | X=0195.430-0350.580 | Y=0345.940-0357.180 | Ngã ba Điện lực Suối Láng Nguyên
P=1756 | X=0091.460-0108.100 | Y=0347.820-0357.140 | 204
P=1756 | X=0375.740-0400.790 | Y=0347.820-0357.140 | 3.200
P=1756 | X=0438.890-0463.940 | Y=0347.820-0357.140 | 2.200
P=1756 | X=0497.470-0522.520 | Y=0347.820-0357.140 | 1.900
P=1756 | X=0109.970-0138.370 | Y=0353.580-0362.900 | Thắng
P=1756 | X=0109.970-0324.200 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1756 | X=0109.970-0346.520 | Y=0381.000-0392.240 | Đường Tôn Đức Thắng đoạn từ Ngã ba Điện lực đến
P=1756 | X=0109.970-0339.320 | Y=0392.520-0403.760 | Suối Láng Nguyên có hiện trạng là đường nhựa, bê
P=1756 | X=0109.970-0170.130 | Y=0404.040-0415.280 | tông xi măng:
P=1756 | X=0091.460-0108.100 | Y=0411.920-0421.240 | 205
P=1756 | X=0375.740-0400.790 | Y=0411.920-0421.240 | 1.600
P=1756 | X=0438.890-0463.940 | Y=0411.920-0421.240 | 1.100
P=1756 | X=0505.630-0522.270 | Y=0411.920-0421.240 | 960
P=1756 | X=0109.970-0332.880 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1756 | X=0109.970-0351.080 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1756 | X=0109.970-0143.490 | Y=0450.620-0461.860 | ≤400m.
P=1756 | X=0109.970-0324.200 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1756 | X=0109.970-0346.520 | Y=0479.900-0491.140 | Đường Tôn Đức Thắng đoạn từ Ngã ba Điện lực đến
P=1756 | X=0109.970-0339.320 | Y=0491.420-0502.660 | Suối Láng Nguyên có hiện trạng là đường nhựa, bê
P=1756 | X=0109.970-0170.130 | Y=0502.940-0514.180 | tông xi măng:
P=1756 | X=0091.460-0333.140 | Y=0519.460-0531.460 | 206 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1756 | X=0375.740-0400.790 | Y=0519.460-0528.780 | 1.100
P=1756 | X=0447.050-0463.690 | Y=0519.460-0528.780 | 770
P=1756 | X=0505.630-0522.270 | Y=0519.460-0528.780 | 660
P=1756 | X=0109.970-0351.080 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1756 | X=0109.970-0208.780 | Y=0549.290-0560.530 | từ >400m đến ≤600m.
P=1756 | X=0109.970-0333.140 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1756 | X=0109.970-0324.200 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1756 | X=0109.970-0346.520 | Y=0596.090-0607.330 | Đường Tôn Đức Thắng đoạn từ Ngã ba Điện lực đến
P=1756 | X=0109.970-0339.320 | Y=0607.610-0618.850 | Suối Láng Nguyên có hiện trạng là đường nhựa, bê
P=1756 | X=0109.970-0170.140 | Y=0621.030-0630.350 | tông xi măng:
P=1756 | X=0091.460-0108.100 | Y=0627.030-0636.350 | 207
P=1756 | X=0375.740-0400.790 | Y=0627.030-0636.350 | 1.000
P=1756 | X=0447.050-0463.690 | Y=0627.030-0636.350 | 700
P=1756 | X=0505.630-0522.270 | Y=0627.030-0636.350 | 600
P=1756 | X=0109.970-0351.080 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1756 | X=0109.970-0152.110 | Y=0650.070-0659.390 | >1.000m.
P=1756 | X=0109.970-0333.610 | Y=0665.710-0676.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1756 | X=0109.970-0342.680 | Y=0683.470-0694.710 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1756 | X=0091.460-0339.800 | Y=0694.750-0705.990 | 208 và thông ra Đường Tôn Đức Thắng đoạn từ Ngã ba
P=1756 | X=0375.740-0400.790 | Y=0696.630-0705.950 | 1.400
P=1756 | X=0447.050-0463.690 | Y=0696.630-0705.950 | 980
P=1756 | X=0505.630-0522.270 | Y=0696.630-0705.950 | 840
P=1756 | X=0109.970-0323.240 | Y=0706.290-0717.530 | Điện lực đến Suối Láng Nguyên có hiện trạng là
P=1757 | X=0109.970-0245.740 | Y=0072.500-0083.740 | đường nhựa, bê tông xi măng:
P=1757 | X=0109.970-0332.880 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1757 | X=0109.970-0351.080 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1757 | X=0109.970-0143.490 | Y=0119.090-0130.330 | ≤400m.
P=1757 | X=0109.970-0342.680 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1757 | X=0109.970-0339.800 | Y=0148.370-0159.610 | và thông ra Đường Tôn Đức Thắng đoạn từ Ngã ba
P=1757 | X=0109.970-0323.240 | Y=0159.650-0170.890 | Điện lực đến Suối Láng Nguyên có hiện trạng là
P=1757 | X=0109.970-0245.740 | Y=0171.170-0182.410 | đường nhựa, bê tông xi măng:
P=1757 | X=0091.460-0333.140 | Y=0187.930-0199.930 | 209 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1757 | X=0375.740-0400.790 | Y=0187.930-0197.250 | 1.000
P=1757 | X=0447.050-0463.690 | Y=0187.930-0197.250 | 700
P=1757 | X=0505.630-0522.270 | Y=0187.930-0197.250 | 600
P=1757 | X=0109.970-0351.080 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1757 | X=0109.970-0208.780 | Y=0217.750-0228.990 | từ >400m đến ≤600m.
P=1757 | X=0109.970-0333.140 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1757 | X=0109.970-0342.680 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1757 | X=0109.970-0339.810 | Y=0264.550-0275.790 | và thông ra Đường Tôn Đức Thắng đoạn từ Ngã ba
P=1757 | X=0109.970-0323.240 | Y=0276.070-0287.310 | Điện lực đến Suối Láng Nguyên có hiện trạng là
P=1757 | X=0109.970-0245.740 | Y=0287.620-0298.860 | đường nhựa, bê tông xi măng:
P=1757 | X=0091.460-0108.100 | Y=0295.500-0304.820 | 210
P=1757 | X=0383.900-0400.540 | Y=0295.500-0304.820 | 900
P=1757 | X=0447.050-0463.690 | Y=0295.500-0304.820 | 630
P=1757 | X=0505.630-0522.270 | Y=0295.500-0304.820 | 540
P=1757 | X=0109.970-0351.080 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1757 | X=0109.970-0152.110 | Y=0318.540-0327.860 | >1.000m.
P=1757 | X=0109.970-0333.610 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1757 | X=0195.430-0253.360 | Y=0351.700-0362.940 | Đường Phan
P=1757 | X=0268.180-0335.690 | Y=0351.700-0362.940 | Đường Võ Văn
P=1757 | X=0091.460-0182.310 | Y=0357.460-0368.700 | 211 Đường Lê Duẩn
P=1757 | X=0375.740-0400.790 | Y=0359.340-0368.660 | 2.600
P=1757 | X=0438.890-0463.940 | Y=0359.340-0368.660 | 1.800
P=1757 | X=0497.470-0522.520 | Y=0359.340-0368.660 | 1.600
P=1757 | X=0195.430-0239.650 | Y=0365.100-0374.420 | Chu Trinh
P=1757 | X=0268.180-0325.560 | Y=0365.100-0374.420 | Tần (ngã ba)
P=1757 | X=0109.970-0324.200 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1757 | X=0109.970-0346.290 | Y=0392.520-0403.760 | Đường Lê Duẩn đoạn từ Đường Phan Chu Trinh đến
P=1757 | X=0109.970-0341.240 | Y=0404.040-0415.280 | Đường Võ Văn Tần (ngã ba) có hiện trạng là đường
P=1757 | X=0109.970-0213.080 | Y=0415.560-0426.800 | nhựa, bê tông xi măng:
P=1757 | X=0091.460-0108.100 | Y=0423.440-0432.760 | 212
P=1757 | X=0375.740-0400.790 | Y=0423.440-0432.760 | 1.200
P=1757 | X=0447.050-0463.690 | Y=0423.440-0432.760 | 840
P=1757 | X=0505.630-0522.270 | Y=0423.440-0432.760 | 720
P=1757 | X=0109.970-0332.880 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1757 | X=0109.970-0351.080 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1757 | X=0109.970-0143.490 | Y=0462.140-0473.380 | ≤400m.
P=1757 | X=0109.970-0324.200 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1757 | X=0109.970-0346.290 | Y=0491.420-0502.660 | Đường Lê Duẩn đoạn từ Đường Phan Chu Trinh đến
P=1757 | X=0109.970-0341.240 | Y=0502.940-0514.180 | Đường Võ Văn Tần (ngã ba) có hiện trạng là đường
P=1757 | X=0109.970-0213.080 | Y=0514.220-0525.460 | nhựa, bê tông xi măng:
P=1757 | X=0091.460-0333.140 | Y=0530.980-0542.980 | 213 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1757 | X=0375.740-0400.790 | Y=0530.980-0540.300 | 1.100
P=1757 | X=0447.050-0463.690 | Y=0530.980-0540.300 | 770
P=1757 | X=0505.630-0522.270 | Y=0530.980-0540.300 | 660
P=1757 | X=0109.970-0351.080 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1757 | X=0109.970-0208.780 | Y=0560.810-0572.050 | từ >400m đến ≤600m.
P=1757 | X=0109.970-0333.140 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
