TABLE=032 | AREA=Xã Xuân Đường | SECTION=non-agricultural | SEGMENTS=1
P=1140 | X=0220.630-0278.350 | Y=0549.290-0560.530 | Xuân Đường
P=1140 | X=0108.290-0382.530 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1140 | X=0108.290-0380.840 | Y=0578.570-0589.810 | Đường - Thừa Đức đoạn từ Hết khu dân cư hiện hữu ấp 3 xã
P=1140 | X=0108.290-0377.500 | Y=0590.090-0601.330 | Xuân Đường đến Hết chùa Bảo Minh có hiện trạng là đường
P=1140 | X=0093.380-0211.400 | Y=0601.610-0613.050 | 51 nhựa, bê tông xi măng:
P=1140 | X=0413.660-0430.300 | Y=0603.730-0613.050 | 880
P=1140 | X=0461.690-0478.330 | Y=0603.730-0613.050 | 620
P=1140 | X=0505.630-0522.270 | Y=0603.730-0613.050 | 530
P=1140 | X=0108.290-0339.370 | Y=0619.150-0630.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1140 | X=0108.290-0385.460 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1140 | X=0108.290-0382.530 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1140 | X=0108.290-0380.840 | Y=0665.950-0677.190 | Đường - Thừa Đức đoạn từ Hết khu dân cư hiện hữu ấp 3 xã
P=1140 | X=0093.380-0377.500 | Y=0677.470-0691.550 | 52 Xuân Đường đến Hết chùa Bảo Minh có hiện trạng là đường
P=1140 | X=0413.660-0430.300 | Y=0682.230-0691.550 | 680
P=1140 | X=0461.690-0478.330 | Y=0682.230-0691.550 | 480
P=1140 | X=0505.630-0522.270 | Y=0682.230-0691.550 | 410
P=1140 | X=0108.290-0211.400 | Y=0688.750-0699.990 | nhựa, bê tông xi măng:
P=1140 | X=0108.290-0339.840 | Y=0706.290-0717.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1141 | X=0108.290-0361.600 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1141 | X=0108.290-0203.240 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1141 | X=0108.290-0331.460 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1141 | X=0108.290-0382.530 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1141 | X=0108.290-0380.840 | Y=0136.850-0148.090 | Đường - Thừa Đức đoạn từ Hết khu dân cư hiện hữu ấp 3 xã
P=1141 | X=0108.290-0377.500 | Y=0148.370-0159.610 | Xuân Đường đến Hết chùa Bảo Minh có hiện trạng là đường
P=1141 | X=0108.290-0211.400 | Y=0159.650-0170.890 | nhựa, bê tông xi măng:
P=1141 | X=0093.380-0104.500 | Y=0167.530-0176.850 | 53
P=1141 | X=0413.660-0430.300 | Y=0167.530-0176.850 | 470
P=1141 | X=0461.690-0478.330 | Y=0167.530-0176.850 | 330
P=1141 | X=0505.630-0522.270 | Y=0167.530-0176.850 | 280
P=1141 | X=0108.290-0349.380 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1141 | X=0108.290-0150.430 | Y=0190.570-0199.890 | >1.000m.
P=1141 | X=0108.290-0331.930 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1141 | X=0108.290-0381.800 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1141 | X=0108.290-0375.250 | Y=0235.510-0246.750 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết khu dân cư
P=1141 | X=0108.290-0386.380 | Y=0247.030-0258.270 | hiện hữu ấp 3 xã Xuân Đường đến Hết chùa Bảo Minh có hiện
P=1141 | X=0093.380-0280.070 | Y=0258.550-0269.990 | 54 trạng là đường nhựa, bê tông xi măng:
P=1141 | X=0413.660-0430.300 | Y=0260.670-0269.990 | 790
P=1141 | X=0461.690-0478.330 | Y=0260.670-0269.990 | 550
P=1141 | X=0505.630-0522.270 | Y=0260.670-0269.990 | 470
P=1141 | X=0108.290-0339.370 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1141 | X=0108.290-0385.460 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1141 | X=0108.290-0381.800 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1141 | X=0108.290-0375.250 | Y=0322.900-0334.140 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết khu dân cư
P=1141 | X=0108.290-0386.380 | Y=0334.420-0345.660 | hiện hữu ấp 3 xã Xuân Đường đến Hết chùa Bảo Minh có hiện
P=1141 | X=0108.290-0280.070 | Y=0345.700-0356.940 | trạng là đường nhựa, bê tông xi măng:
P=1141 | X=0093.380-0339.840 | Y=0362.460-0374.460 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1141 | X=0413.660-0430.300 | Y=0362.460-0371.780 | 610
P=1141 | X=0461.690-0478.330 | Y=0362.460-0371.780 | 430
P=1141 | X=0505.630-0522.270 | Y=0362.460-0371.780 | 370
P=1141 | X=0108.290-0361.600 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1141 | X=0108.290-0203.240 | Y=0392.280-0403.520 | >500m đến ≤1.000m.
P=1141 | X=0108.290-0331.460 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1141 | X=0108.290-0381.800 | Y=0427.560-0438.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1141 | X=0108.290-0375.250 | Y=0439.080-0450.320 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết khu dân cư
P=1141 | X=0108.290-0386.380 | Y=0450.620-0461.860 | hiện hữu ấp 3 xã Xuân Đường đến Hết chùa Bảo Minh có hiện
P=1141 | X=0108.290-0280.070 | Y=0462.140-0473.380 | trạng là đường nhựa, bê tông xi măng:
P=1141 | X=0093.380-0104.500 | Y=0470.020-0479.340 | 56
P=1141 | X=0413.660-0430.300 | Y=0470.020-0479.340 | 420
P=1141 | X=0461.690-0478.330 | Y=0470.020-0479.340 | 290
P=1141 | X=0505.630-0522.270 | Y=0470.020-0479.340 | 250
P=1141 | X=0108.290-0349.380 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1141 | X=0108.290-0150.430 | Y=0493.060-0502.380 | >1.000m.
P=1141 | X=0108.290-0331.930 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1141 | X=0301.800-0376.940 | Y=0526.220-0537.460 | Trường Tiểu học
P=1141 | X=0108.290-0206.710 | Y=0531.980-0543.220 | Đường Xuân Đường -
P=1141 | X=0220.630-0281.460 | Y=0533.860-0543.180 | Hết chùa Bảo
P=1141 | X=0301.800-0387.100 | Y=0537.770-0549.010 | Thừa Đức 1 - phân
P=1141 | X=0093.380-0104.500 | Y=0539.650-0548.970 | 57
P=1141 | X=0405.260-0430.310 | Y=0539.650-0548.970 | 1.800
P=1141 | X=0453.290-0478.340 | Y=0539.650-0548.970 | 1.300
P=1141 | X=0497.230-0522.280 | Y=0539.650-0548.970 | 1.100
P=1141 | X=0108.290-0154.130 | Y=0543.530-0554.770 | Thừa Đức
P=1141 | X=0220.630-0242.540 | Y=0545.410-0554.730 | Minh
P=1141 | X=0301.800-0352.520 | Y=0549.290-0560.530 | hiệu Đồi 20
P=1141 | X=0108.290-0382.530 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1141 | X=0108.290-0375.830 | Y=0578.570-0589.810 | Đường - Thừa Đức đoạn từ Hết chùa Bảo Minh đến Trường
P=1141 | X=0108.290-0359.010 | Y=0590.090-0601.330 | Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có hiện trạng là
P=1141 | X=0093.380-0244.040 | Y=0601.610-0613.050 | 58 đường nhựa, bê tông xi măng:
P=1141 | X=0413.660-0430.300 | Y=0603.730-0613.050 | 880
P=1141 | X=0461.690-0478.330 | Y=0603.730-0613.050 | 620
P=1141 | X=0505.630-0522.270 | Y=0603.730-0613.050 | 530
P=1141 | X=0108.290-0339.370 | Y=0619.150-0630.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1141 | X=0108.290-0385.460 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1141 | X=0108.290-0382.530 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1141 | X=0108.290-0375.830 | Y=0665.950-0677.190 | Đường - Thừa Đức đoạn từ Hết chùa Bảo Minh đến Trường
P=1141 | X=0093.380-0359.010 | Y=0677.470-0691.550 | 59 Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có hiện trạng là
P=1141 | X=0413.660-0430.300 | Y=0682.230-0691.550 | 680
P=1141 | X=0461.690-0478.330 | Y=0682.230-0691.550 | 480
P=1141 | X=0505.630-0522.270 | Y=0682.230-0691.550 | 410
P=1141 | X=0108.290-0244.040 | Y=0688.750-0699.990 | đường nhựa, bê tông xi măng:
P=1141 | X=0108.290-0339.840 | Y=0706.290-0717.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1142 | X=0108.290-0361.600 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1142 | X=0108.290-0203.240 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1142 | X=0108.290-0331.460 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1142 | X=0108.290-0382.530 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1142 | X=0108.290-0375.830 | Y=0136.850-0148.090 | Đường - Thừa Đức đoạn từ Hết chùa Bảo Minh đến Trường
P=1142 | X=0108.290-0359.010 | Y=0148.370-0159.610 | Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có hiện trạng là
P=1142 | X=0108.290-0244.040 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=1142 | X=0093.380-0104.500 | Y=0167.530-0176.850 | 60
P=1142 | X=0413.660-0430.300 | Y=0167.530-0176.850 | 470
P=1142 | X=0461.690-0478.330 | Y=0167.530-0176.850 | 330
P=1142 | X=0505.630-0522.270 | Y=0167.530-0176.850 | 280
P=1142 | X=0108.290-0349.380 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1142 | X=0108.290-0150.430 | Y=0190.570-0199.890 | >1.000m.
P=1142 | X=0108.290-0331.930 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1142 | X=0108.290-0381.800 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1142 | X=0108.290-0367.430 | Y=0235.510-0246.750 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết chùa Bảo
P=1142 | X=0108.290-0382.020 | Y=0247.030-0258.270 | Minh đến Trường Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có
P=1142 | X=0093.380-0301.900 | Y=0258.550-0269.990 | 61 hiện trạng là đường nhựa, bê tông xi măng:
P=1142 | X=0413.660-0430.330 | Y=0260.670-0269.990 | 790
P=1142 | X=0461.690-0478.330 | Y=0260.670-0269.990 | 550
P=1142 | X=0505.630-0522.270 | Y=0260.670-0269.990 | 470
P=1142 | X=0108.290-0339.370 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1142 | X=0108.290-0385.460 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1142 | X=0108.290-0381.800 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1142 | X=0108.290-0367.430 | Y=0322.900-0334.140 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết chùa Bảo
P=1142 | X=0108.290-0382.020 | Y=0334.420-0345.660 | Minh đến Trường Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có
P=1142 | X=0108.290-0301.900 | Y=0345.700-0356.940 | hiện trạng là đường nhựa, bê tông xi măng:
P=1142 | X=0093.380-0339.840 | Y=0362.460-0374.460 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1142 | X=0413.660-0430.300 | Y=0362.460-0371.780 | 610
P=1142 | X=0461.690-0478.330 | Y=0362.460-0371.780 | 430
P=1142 | X=0505.630-0522.270 | Y=0362.460-0371.780 | 370
P=1142 | X=0108.290-0361.600 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1142 | X=0108.290-0203.240 | Y=0392.280-0403.520 | >500m đến ≤1.000m.
P=1142 | X=0108.290-0331.460 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1142 | X=0108.290-0381.800 | Y=0427.560-0438.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1142 | X=0108.290-0367.430 | Y=0439.080-0450.320 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết chùa Bảo
P=1142 | X=0108.290-0382.020 | Y=0450.620-0461.860 | Minh đến Trường Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có
P=1142 | X=0108.290-0301.900 | Y=0462.140-0473.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=1142 | X=0093.380-0104.500 | Y=0470.020-0479.340 | 63
P=1142 | X=0413.660-0430.300 | Y=0470.020-0479.340 | 420
P=1142 | X=0461.690-0478.330 | Y=0470.020-0479.340 | 290
P=1142 | X=0505.630-0522.270 | Y=0470.020-0479.340 | 250
P=1142 | X=0108.290-0349.380 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1142 | X=0108.290-0150.430 | Y=0493.060-0502.380 | >1.000m.
P=1142 | X=0108.290-0331.930 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1142 | X=0108.290-0211.760 | Y=0526.220-0537.460 | Đường vào khu dân cư
P=1142 | X=0301.800-0369.310 | Y=0528.100-0537.420 | Hồ Cầu Mới xã
P=1142 | X=0093.380-0104.500 | Y=0533.860-0543.180 | 64
P=1142 | X=0220.630-0299.770 | Y=0533.860-0543.180 | Ngã ba Suối Quýt
P=1142 | X=0405.260-0430.310 | Y=0533.860-0543.180 | 4.200
P=1142 | X=0453.290-0478.340 | Y=0533.860-0543.180 | 2.900
P=1142 | X=0497.230-0522.280 | Y=0533.860-0543.180 | 2.500
P=1142 | X=0301.800-0357.560 | Y=0537.770-0549.010 | Cẩm Đường
P=1142 | X=0108.290-0152.360 | Y=0539.650-0548.970 | Suối Quýt
P=1142 | X=0108.290-0375.810 | Y=0555.530-0566.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1142 | X=0108.290-0380.380 | Y=0567.050-0578.290 | khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt đến Hồ Cầu
P=1142 | X=0108.290-0376.040 | Y=0578.570-0589.810 | Mới xã Cẩm Đường có hiện trạng là đường nhựa, bê tông xi
P=1142 | X=0093.380-0136.290 | Y=0590.090-0601.530 | 65 măng:
P=1142 | X=0405.260-0430.310 | Y=0592.210-0601.530 | 1.900
P=1142 | X=0453.290-0478.340 | Y=0592.210-0601.530 | 1.300
P=1142 | X=0497.230-0522.280 | Y=0592.210-0601.530 | 1.100
P=1142 | X=0108.290-0339.370 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1142 | X=0108.290-0385.460 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1142 | X=0108.290-0375.810 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1142 | X=0108.290-0380.380 | Y=0654.430-0665.670 | khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt đến Hồ Cầu
P=1142 | X=0093.380-0376.040 | Y=0665.950-0680.030 | 66 Mới xã Cẩm Đường có hiện trạng là đường nhựa, bê tông xi
P=1142 | X=0405.260-0430.310 | Y=0670.710-0680.030 | 1.700
P=1142 | X=0453.290-0478.330 | Y=0670.710-0680.030 | 1.200
P=1142 | X=0497.230-0522.280 | Y=0670.710-0680.030 | 1.000
P=1142 | X=0108.290-0136.290 | Y=0677.470-0688.710 | măng:
P=1142 | X=0108.290-0339.840 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1143 | X=0108.290-0361.600 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1143 | X=0108.290-0203.240 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1143 | X=0108.290-0331.460 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1143 | X=0108.290-0375.810 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1143 | X=0108.290-0380.380 | Y=0136.850-0148.090 | khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt đến Hồ Cầu
P=1143 | X=0108.290-0376.040 | Y=0148.370-0159.610 | Mới xã Cẩm Đường có hiện trạng là đường nhựa, bê tông xi
P=1143 | X=0108.290-0136.290 | Y=0159.650-0170.890 | măng:
P=1143 | X=0093.380-0104.500 | Y=0167.530-0176.850 | 67
P=1143 | X=0405.260-0430.310 | Y=0167.530-0176.850 | 1.200
P=1143 | X=0461.690-0478.330 | Y=0167.530-0176.850 | 840
P=1143 | X=0505.630-0522.270 | Y=0167.530-0176.850 | 720
P=1143 | X=0108.290-0349.380 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1143 | X=0108.290-0150.430 | Y=0190.570-0199.890 | >1.000m.
P=1143 | X=0108.290-0331.930 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1143 | X=0108.290-0381.800 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1143 | X=0108.290-0389.080 | Y=0235.510-0246.750 | ra Đường vào khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt
P=1143 | X=0108.290-0385.990 | Y=0247.030-0258.270 | đến Hồ Cầu Mới xã Cẩm Đường có hiện trạng là đường nhựa,
P=1143 | X=0093.380-0182.370 | Y=0258.550-0269.990 | 68 bê tông xi măng:
P=1143 | X=0405.260-0430.310 | Y=0260.670-0269.990 | 1.700
P=1143 | X=0453.290-0478.340 | Y=0260.670-0269.990 | 1.200
P=1143 | X=0497.230-0522.280 | Y=0260.670-0269.990 | 1.000
P=1143 | X=0108.290-0339.370 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1143 | X=0108.290-0385.460 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1143 | X=0108.290-0381.800 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1143 | X=0108.290-0389.100 | Y=0322.900-0334.140 | ra Đường vào khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt
P=1143 | X=0108.290-0385.990 | Y=0334.420-0345.660 | đến Hồ Cầu Mới xã Cẩm Đường có hiện trạng là đường nhựa,
P=1143 | X=0108.290-0182.370 | Y=0345.700-0356.940 | bê tông xi măng:
P=1143 | X=0093.380-0339.840 | Y=0362.460-0374.460 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1143 | X=0405.260-0430.310 | Y=0362.460-0371.780 | 1.500
P=1143 | X=0453.290-0478.340 | Y=0362.460-0371.780 | 1.100
P=1143 | X=0505.630-0522.270 | Y=0362.460-0371.780 | 900
P=1143 | X=0108.290-0361.600 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1143 | X=0108.290-0203.240 | Y=0392.280-0403.520 | >500m đến ≤1.000m.
P=1143 | X=0108.290-0331.460 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1143 | X=0108.290-0381.800 | Y=0427.560-0438.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1143 | X=0108.290-0389.080 | Y=0439.080-0450.320 | ra Đường vào khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt
P=1143 | X=0108.290-0385.990 | Y=0450.620-0461.860 | đến Hồ Cầu Mới xã Cẩm Đường có hiện trạng là đường nhựa,
P=1143 | X=0108.290-0182.370 | Y=0462.140-0473.380 | bê tông xi măng:
P=1143 | X=0093.380-0104.500 | Y=0470.020-0479.340 | 70
P=1143 | X=0405.260-0430.310 | Y=0470.020-0479.340 | 1.100
P=1143 | X=0461.690-0478.330 | Y=0470.020-0479.340 | 770
P=1143 | X=0505.630-0522.270 | Y=0470.020-0479.340 | 660
P=1143 | X=0108.290-0349.410 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1143 | X=0108.290-0150.430 | Y=0493.060-0502.380 | >1.000m.
P=1143 | X=0108.290-0331.930 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1143 | X=0108.290-0210.630 | Y=0526.220-0537.460 | Đường Bàu Cạn - Suối
P=1143 | X=0301.800-0384.210 | Y=0528.100-0537.420 | Giáp ranh xã Long
P=1143 | X=0220.630-0290.830 | Y=0531.980-0543.220 | Đường tỉnh 773
P=1143 | X=0093.380-0104.500 | Y=0533.860-0543.180 | 71
P=1143 | X=0405.260-0430.310 | Y=0533.860-0543.180 | 4.900
P=1143 | X=0453.290-0478.340 | Y=0533.860-0543.180 | 3.400
P=1143 | X=0497.230-0522.280 | Y=0533.860-0543.180 | 2.900
P=1143 | X=0108.290-0193.600 | Y=0537.770-0549.010 | Trầu - Cẩm Đường
P=1143 | X=0301.800-0332.520 | Y=0537.770-0549.010 | Phước
P=1143 | X=0108.290-0377.240 | Y=0555.530-0566.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1143 | X=0108.290-0372.940 | Y=0567.050-0578.290 | Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường tỉnh 773 đến
P=1143 | X=0108.290-0370.760 | Y=0578.570-0589.810 | Giáp ranh xã Long Phước có hiện trạng là đường nhựa, bê
P=1143 | X=0093.380-0168.450 | Y=0590.090-0601.530 | 72 tông xi măng:
P=1143 | X=0405.260-0430.310 | Y=0592.210-0601.530 | 2.400
P=1143 | X=0453.290-0478.340 | Y=0592.210-0601.530 | 1.700
P=1143 | X=0497.230-0522.280 | Y=0592.210-0601.530 | 1.400
P=1143 | X=0108.290-0339.370 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1143 | X=0108.290-0385.460 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1143 | X=0108.290-0377.240 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1143 | X=0108.290-0372.940 | Y=0654.430-0665.670 | Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường tỉnh 773 đến
P=1143 | X=0093.380-0370.760 | Y=0665.950-0680.030 | 73 Giáp ranh xã Long Phước có hiện trạng là đường nhựa, bê
P=1143 | X=0405.260-0430.310 | Y=0670.710-0680.030 | 1.800
P=1143 | X=0453.290-0478.340 | Y=0670.710-0680.030 | 1.300
P=1143 | X=0497.230-0522.280 | Y=0670.710-0680.030 | 1.100
P=1143 | X=0108.290-0168.450 | Y=0677.470-0688.710 | tông xi măng:
P=1143 | X=0108.290-0339.840 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1144 | X=0108.290-0361.600 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1144 | X=0108.290-0203.240 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1144 | X=0108.290-0331.460 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1144 | X=0108.290-0377.240 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1144 | X=0108.290-0372.940 | Y=0136.850-0148.090 | Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường tỉnh 773 đến
P=1144 | X=0108.290-0370.760 | Y=0148.370-0159.610 | Giáp ranh xã Long Phước có hiện trạng là đường nhựa, bê
P=1144 | X=0108.290-0168.450 | Y=0159.650-0170.890 | tông xi măng:
P=1144 | X=0093.380-0104.500 | Y=0167.530-0176.850 | 74
P=1144 | X=0405.260-0430.310 | Y=0167.530-0176.850 | 1.600
P=1144 | X=0453.290-0478.340 | Y=0167.530-0176.850 | 1.100
P=1144 | X=0505.630-0522.270 | Y=0167.530-0176.850 | 960
P=1144 | X=0108.290-0349.380 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1144 | X=0108.290-0150.430 | Y=0190.570-0199.890 | >1.000m.
P=1144 | X=0108.290-0331.930 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1144 | X=0108.290-0381.800 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1144 | X=0108.290-0381.820 | Y=0235.510-0246.750 | ra Đường Bàu Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường
P=1144 | X=0108.290-0385.900 | Y=0247.030-0258.270 | tỉnh 773 đến Giáp ranh xã Long Phước có hiện trạng là đường
P=1144 | X=0093.380-0211.400 | Y=0258.550-0269.990 | 75 nhựa, bê tông xi măng:
P=1144 | X=0405.260-0430.310 | Y=0260.670-0269.990 | 2.200
P=1144 | X=0453.290-0478.340 | Y=0260.670-0269.990 | 1.500
P=1144 | X=0497.230-0522.280 | Y=0260.670-0269.990 | 1.300
P=1144 | X=0108.290-0339.370 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1144 | X=0108.290-0385.460 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1144 | X=0108.290-0381.800 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1144 | X=0108.290-0381.820 | Y=0322.900-0334.140 | ra Đường Bàu Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường
P=1144 | X=0108.290-0385.900 | Y=0334.420-0345.660 | tỉnh 773 đến Giáp ranh xã Long Phước có hiện trạng là đường
P=1144 | X=0108.290-0211.400 | Y=0345.700-0356.940 | nhựa, bê tông xi măng:
P=1144 | X=0093.380-0339.840 | Y=0362.460-0374.460 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1144 | X=0405.260-0430.310 | Y=0362.460-0371.780 | 1.600
P=1144 | X=0453.290-0478.340 | Y=0362.460-0371.780 | 1.100
P=1144 | X=0505.630-0522.270 | Y=0362.460-0371.780 | 960
P=1144 | X=0108.290-0361.600 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1144 | X=0108.290-0203.240 | Y=0392.280-0403.520 | >500m đến ≤1.000m.
P=1144 | X=0108.290-0331.460 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
