TABLE=063 | AREA=Phường Phước Bình | SECTION=non-agricultural | SEGMENTS=1
P=2000 | X=0188.230-0267.300 | Y=0344.260-0355.500 | Đường Đặng Văn
P=2000 | X=0287.860-0371.960 | Y=0344.260-0355.500 | Đường Võ Nguyên
P=2000 | X=0092.900-0104.020 | Y=0351.900-0361.220 | 60
P=2000 | X=0391.100-0421.670 | Y=0351.900-0361.220 | 14.200
P=2000 | X=0439.130-0464.180 | Y=0351.900-0361.220 | 9.900
P=2000 | X=0497.230-0522.280 | Y=0351.900-0361.220 | 8.500
P=2000 | X=0107.330-0168.600 | Y=0357.660-0366.980 | Thị Minh Khai
P=2000 | X=0188.230-0207.690 | Y=0357.660-0366.980 | Ngữ
P=2000 | X=0287.860-0309.290 | Y=0357.660-0366.980 | Giáp
P=2000 | X=0092.900-0175.830 | Y=0373.800-0385.040 | 61 Đường Tố Hữu
P=2000 | X=0188.230-0275.690 | Y=0373.800-0385.040 | Đường Phạm Hùng
P=2000 | X=0287.860-0359.720 | Y=0373.800-0385.040 | Đường Độc Lập
P=2000 | X=0396.620-0421.670 | Y=0375.680-0385.000 | 8.000
P=2000 | X=0439.130-0464.180 | Y=0375.680-0385.000 | 5.600
P=2000 | X=0497.230-0522.280 | Y=0375.680-0385.000 | 4.800
P=2000 | X=0107.330-0179.590 | Y=0391.800-0403.040 | Đường Tô Ngọc
P=2000 | X=0092.900-0104.020 | Y=0399.440-0408.760 | 62
P=2000 | X=0188.230-0238.500 | Y=0399.440-0408.760 | Toàn tuyến
P=2000 | X=0396.620-0421.670 | Y=0399.440-0408.760 | 8.000
P=2000 | X=0439.130-0464.180 | Y=0399.440-0408.760 | 5.600
P=2000 | X=0497.230-0522.280 | Y=0399.440-0408.760 | 4.800
P=2000 | X=0107.330-0125.170 | Y=0405.200-0414.520 | Vân
P=2000 | X=0107.330-0176.990 | Y=0421.320-0432.560 | Đường Bùi Văn
P=2000 | X=0188.230-0272.310 | Y=0421.320-0432.560 | Đường Võ Nguyên
P=2000 | X=0287.860-0359.720 | Y=0427.080-0438.320 | Đường Độc Lập
P=2000 | X=0092.900-0104.020 | Y=0428.960-0438.280 | 63
P=2000 | X=0396.620-0421.670 | Y=0428.960-0438.280 | 8.000
P=2000 | X=0439.130-0464.180 | Y=0428.960-0438.280 | 5.600
P=2000 | X=0497.230-0522.280 | Y=0428.960-0438.280 | 4.800
P=2000 | X=0107.330-0120.130 | Y=0434.720-0444.040 | Dù
P=2000 | X=0188.230-0209.660 | Y=0434.720-0444.040 | Giáp
P=2000 | X=0107.330-0176.310 | Y=0450.860-0462.100 | Đường Nguyễn
P=2000 | X=0287.860-0371.960 | Y=0450.860-0462.100 | Đường Võ Nguyên
P=2000 | X=0188.230-0285.540 | Y=0456.620-0467.860 | Đường Trường Chinh
P=2000 | X=0092.900-0104.020 | Y=0458.500-0467.820 | 64
P=2000 | X=0396.620-0421.670 | Y=0458.500-0467.820 | 8.000
P=2000 | X=0439.130-0464.180 | Y=0458.500-0467.820 | 5.600
P=2000 | X=0497.230-0522.280 | Y=0458.500-0467.820 | 4.800
P=2000 | X=0107.330-0158.430 | Y=0464.260-0473.580 | Bỉnh Khiêm
P=2000 | X=0287.860-0309.290 | Y=0464.260-0473.580 | Giáp
P=2000 | X=0107.330-0162.370 | Y=0480.380-0491.620 | Đường Hoài
P=2000 | X=0092.900-0104.020 | Y=0488.020-0497.340 | 65
P=2000 | X=0188.230-0238.500 | Y=0488.020-0497.340 | Toàn tuyến
P=2000 | X=0396.620-0421.670 | Y=0488.020-0497.340 | 8.000
P=2000 | X=0439.130-0464.180 | Y=0488.020-0497.340 | 5.600
P=2000 | X=0497.230-0522.280 | Y=0488.020-0497.340 | 4.800
P=2000 | X=0107.330-0135.740 | Y=0493.780-0503.100 | Thanh
P=2000 | X=0107.330-0176.310 | Y=0509.900-0521.140 | Đường Nguyễn
P=2000 | X=0092.900-0104.020 | Y=0517.540-0526.860 | 66
P=2000 | X=0188.230-0238.500 | Y=0517.540-0526.860 | Toàn tuyến
P=2000 | X=0396.620-0421.670 | Y=0517.540-0526.860 | 7.300
P=2000 | X=0439.130-0464.180 | Y=0517.540-0526.860 | 5.100
P=2000 | X=0497.230-0522.280 | Y=0517.540-0526.860 | 4.400
P=2000 | X=0107.330-0148.200 | Y=0521.420-0532.660 | Văn Siêu
P=2000 | X=0107.330-0176.310 | Y=0539.450-0550.690 | Đường Nguyễn
P=2000 | X=0092.900-0104.020 | Y=0547.090-0556.410 | 67
P=2000 | X=0188.230-0238.500 | Y=0547.090-0556.410 | Toàn tuyến
P=2000 | X=0396.620-0421.670 | Y=0547.090-0556.410 | 7.300
P=2000 | X=0439.130-0464.170 | Y=0547.090-0556.410 | 5.100
P=2000 | X=0497.230-0522.280 | Y=0547.090-0556.410 | 4.400
P=2000 | X=0107.330-0140.950 | Y=0552.850-0562.170 | Huy Tự
P=2000 | X=0107.330-0169.590 | Y=0568.970-0580.210 | Đường Lê Thị
P=2000 | X=0092.900-0104.020 | Y=0576.370-0585.690 | 68
P=2000 | X=0188.230-0238.500 | Y=0576.370-0585.690 | Toàn tuyến
P=2000 | X=0396.620-0421.670 | Y=0576.370-0585.690 | 7.300
P=2000 | X=0439.130-0464.180 | Y=0576.370-0585.690 | 5.100
P=2000 | X=0497.230-0522.280 | Y=0576.370-0585.690 | 4.400
P=2000 | X=0107.330-0155.570 | Y=0582.130-0591.450 | Hồng Gấm
P=2000 | X=0287.860-0353.010 | Y=0598.250-0609.490 | Ngã ba đường
P=2000 | X=0287.860-0371.420 | Y=0611.650-0620.970 | Nguyễn Thái Học -
P=2000 | X=0188.230-0253.390 | Y=0621.310-0632.550 | Ngã ba đường
P=2000 | X=0287.860-0383.020 | Y=0621.310-0632.550 | Đường Hồ Tùng Mậu
P=2000 | X=0107.330-0176.310 | Y=0632.830-0644.070 | Đường Nguyễn
P=2000 | X=0287.860-0381.340 | Y=0632.830-0644.070 | (hết ranh thửa đất số
P=2000 | X=0188.230-0271.780 | Y=0634.710-0644.030 | Nguyễn Thái Học -
P=2000 | X=0092.900-0104.020 | Y=0640.470-0649.790 | 69
P=2000 | X=0396.620-0421.670 | Y=0640.470-0649.790 | 7.300
P=2000 | X=0439.130-0464.180 | Y=0640.470-0649.790 | 5.100
P=2000 | X=0497.230-0522.280 | Y=0640.470-0649.790 | 4.400
P=2000 | X=0188.230-0274.590 | Y=0644.350-0655.590 | Đường Nguyễn Tất
P=2000 | X=0287.860-0377.350 | Y=0644.350-0655.590 | 52, tờ bản đồ số 42;
P=2000 | X=0107.330-0147.650 | Y=0646.230-0655.550 | Thái Học
P=2000 | X=0287.860-0385.260 | Y=0655.870-0667.110 | khu phố 4 và thửa đất
P=2000 | X=0188.230-0216.640 | Y=0657.750-0667.070 | Thành
P=2000 | X=0287.860-0374.140 | Y=0667.390-0678.630 | số 84, tờ bản đồ số
P=2000 | X=0287.860-0351.960 | Y=0680.790-0690.110 | 42; khu phố 3)
P=2000 | X=0107.330-0176.310 | Y=0696.910-0708.150 | Đường Nguyễn
P=2000 | X=0188.230-0253.390 | Y=0696.910-0708.150 | Ngã ba đường
P=2000 | X=0287.860-0353.010 | Y=0696.910-0708.150 | Ngã ba đường
P=2000 | X=0092.900-0104.020 | Y=0704.580-0713.900 | 70
P=2000 | X=0396.620-0421.670 | Y=0704.580-0713.900 | 5.900
P=2000 | X=0439.130-0464.180 | Y=0704.580-0713.900 | 4.100
P=2000 | X=0497.230-0522.280 | Y=0704.580-0713.900 | 3.500
P=2000 | X=0107.330-0147.650 | Y=0710.340-0719.660 | Thái Học
P=2000 | X=0188.230-0271.780 | Y=0710.340-0719.660 | Nguyễn Thái Học -
P=2000 | X=0287.860-0371.420 | Y=0710.340-0719.660 | Nguyễn Thái Học -
P=2001 | X=0188.230-0389.230 | Y=0072.740-0083.980 | Đường Hồ Tùng Mậu Đường Phạm Ngũ Lão
P=2001 | X=0188.230-0381.340 | Y=0084.260-0095.500 | (từ ranh thửa đất số (hết ranh thửa đất số
P=2001 | X=0188.230-0382.870 | Y=0095.780-0107.020 | 243, tờ bản đồ số 42; 212, tờ bản đồ số 39;
P=2001 | X=0188.230-0383.660 | Y=0107.300-0118.540 | Khu phố Long Phước Khu phố Long Phước
P=2001 | X=0188.230-0386.440 | Y=0118.850-0130.090 | và thửa đất số 43, tờ và thửa đất số 203, tờ
P=2001 | X=0188.230-0386.860 | Y=0130.370-0141.610 | bản đồ số 42; khu phố bản đồ số 40; khu phố
P=2001 | X=0188.230-0202.630 | Y=0143.530-0152.850 | 10)
P=2001 | X=0287.860-0302.260 | Y=0143.530-0152.850 | 10)
P=2001 | X=0287.860-0353.010 | Y=0159.650-0170.890 | Ngã ba đường
P=2001 | X=0188.230-0253.390 | Y=0165.410-0176.650 | Ngã ba đường
P=2001 | X=0287.860-0371.420 | Y=0173.050-0182.370 | Nguyễn Thái Học -
P=2001 | X=0188.230-0271.780 | Y=0178.810-0188.130 | Nguyễn Thái Học -
P=2001 | X=0287.860-0375.330 | Y=0182.690-0193.930 | Đường bê tông bên
P=2001 | X=0188.230-0270.170 | Y=0188.450-0199.690 | Đường Phạm Ngũ
P=2001 | X=0287.860-0381.340 | Y=0194.210-0205.450 | hông Xưởng điều Hà
P=2001 | X=0188.230-0286.820 | Y=0199.990-0211.230 | Lão (từ ranh Thửa đất
P=2001 | X=0107.330-0176.310 | Y=0205.750-0216.990 | Đường Nguyễn
P=2001 | X=0287.860-0376.550 | Y=0207.630-0216.950 | Lành (hết ranh thửa
P=2001 | X=0188.230-0280.020 | Y=0211.510-0222.750 | số 213, tờ bản đồ số
P=2001 | X=0092.900-0104.020 | Y=0213.390-0222.710 | 71
P=2001 | X=0396.620-0421.670 | Y=0213.390-0222.710 | 4.300
P=2001 | X=0439.130-0464.180 | Y=0213.390-0222.710 | 3.000
P=2001 | X=0497.230-0522.280 | Y=0213.390-0222.710 | 2.600
P=2001 | X=0287.860-0377.510 | Y=0217.270-0228.510 | đất số 49, tờ bản đồ
P=2001 | X=0107.330-0147.650 | Y=0219.150-0228.470 | Thái Học
P=2001 | X=0188.230-0265.620 | Y=0224.910-0234.230 | 39; khu phố Long
P=2001 | X=0287.860-0378.460 | Y=0230.670-0239.990 | số 12; khu phố Long
P=2001 | X=0188.230-0285.540 | Y=0234.550-0245.790 | Phước và thửa đất số
P=2001 | X=0287.860-0388.540 | Y=0240.310-0251.550 | Phước và Thửa đất số
P=2001 | X=0188.230-0283.230 | Y=0246.070-0257.310 | 280, tờ bản đồ số 39;
P=2001 | X=0287.860-0377.350 | Y=0251.830-0263.070 | 18, tờ bản đồ số 39;
P=2001 | X=0188.230-0241.060 | Y=0259.470-0268.790 | khu phố 10)
P=2001 | X=0287.860-0340.680 | Y=0265.230-0274.550 | khu phố 10)
P=2001 | X=0188.230-0253.390 | Y=0281.380-0292.620 | Ngã ba đường
P=2001 | X=0188.230-0271.780 | Y=0294.780-0304.100 | Nguyễn Thái Học -
P=2001 | X=0287.860-0368.600 | Y=0300.540-0309.860 | Giáp ranh xã Bình
P=2001 | X=0188.230-0275.680 | Y=0304.420-0315.660 | Đường bê tông bên
P=2001 | X=0287.860-0377.740 | Y=0311.820-0321.140 | Tân, (hết ranh Thửa
P=2001 | X=0188.230-0281.700 | Y=0315.700-0326.940 | hông Xưởng điều Hà
P=2001 | X=0287.860-0383.030 | Y=0321.460-0332.700 | đất số 368, tờ bản đồ
P=2001 | X=0107.330-0176.310 | Y=0327.220-0338.460 | Đường Nguyễn
P=2001 | X=0188.230-0272.580 | Y=0329.100-0338.420 | Lành (từ ranh thửa
P=2001 | X=0092.900-0104.020 | Y=0334.860-0344.180 | 72
P=2001 | X=0287.860-0380.140 | Y=0334.860-0344.180 | số 12; Khu phố Long
P=2001 | X=0396.620-0421.670 | Y=0334.860-0344.180 | 3.700
P=2001 | X=0439.130-0464.180 | Y=0334.860-0344.180 | 2.600
P=2001 | X=0497.230-0522.280 | Y=0334.860-0344.180 | 2.200
P=2001 | X=0188.230-0283.390 | Y=0338.740-0349.980 | đất số 421, tờ bản đồ
P=2001 | X=0107.330-0147.650 | Y=0340.620-0349.940 | Thái Học
P=2001 | X=0287.860-0385.180 | Y=0344.500-0355.740 | Phước và thửa đất số
P=2001 | X=0188.230-0278.820 | Y=0352.140-0361.460 | số 12; khu phố Long
P=2001 | X=0287.860-0382.870 | Y=0356.020-0367.260 | 182, tờ bản đồ số 12;
P=2001 | X=0188.230-0285.540 | Y=0361.780-0373.020 | Phước và thửa đất số
P=2001 | X=0287.860-0340.680 | Y=0369.440-0378.760 | khu phố 10)
P=2001 | X=0188.230-0277.710 | Y=0373.320-0384.560 | 62, tờ bản đồ số 38;
P=2001 | X=0188.230-0241.060 | Y=0386.720-0396.040 | khu phố 10)
P=2001 | X=0107.330-0160.220 | Y=0402.840-0414.080 | Đường Hàn
P=2001 | X=0188.230-0264.630 | Y=0408.600-0419.840 | Đường 3 tháng 2
P=2001 | X=0287.860-0375.310 | Y=0408.600-0419.840 | Đường Phạm Hùng
P=2001 | X=0092.900-0104.020 | Y=0410.480-0419.800 | 73
P=2001 | X=0396.620-0421.670 | Y=0410.480-0419.800 | 4.200
P=2001 | X=0439.130-0464.180 | Y=0410.480-0419.800 | 2.900
P=2001 | X=0497.230-0522.280 | Y=0410.480-0419.800 | 2.500
P=2001 | X=0107.330-0140.780 | Y=0416.240-0425.560 | Thuyên
P=2001 | X=0107.330-0173.650 | Y=0432.360-0443.600 | Đường Lê Văn
P=2001 | X=0287.860-0369.820 | Y=0432.360-0443.600 | Đường Đặng Trần
P=2001 | X=0188.230-0264.630 | Y=0438.120-0449.360 | Đường 3 tháng 2
P=2001 | X=0092.900-0104.020 | Y=0440.000-0449.320 | 74
P=2001 | X=0396.620-0421.670 | Y=0440.000-0449.320 | 4.100
P=2001 | X=0439.130-0464.180 | Y=0440.000-0449.320 | 2.900
P=2001 | X=0497.230-0522.280 | Y=0440.000-0449.320 | 2.400
P=2001 | X=0107.330-0131.190 | Y=0445.760-0455.080 | Ngôn
P=2001 | X=0287.860-0306.190 | Y=0445.760-0455.080 | Côn
P=2001 | X=0107.330-0173.650 | Y=0461.900-0473.140 | Đường Lê Văn
P=2001 | X=0092.900-0104.020 | Y=0469.540-0478.860 | 75
P=2001 | X=0188.230-0238.500 | Y=0469.540-0478.860 | Toàn tuyến
P=2001 | X=0396.620-0421.670 | Y=0469.540-0478.860 | 4.000
P=2001 | X=0439.130-0464.180 | Y=0469.540-0478.860 | 2.800
P=2001 | X=0497.230-0522.280 | Y=0469.540-0478.860 | 2.400
P=2001 | X=0107.330-0126.880 | Y=0473.420-0484.660 | Hưu
P=2001 | X=0107.330-0176.310 | Y=0491.420-0502.660 | Đường Nguyễn
P=2001 | X=0188.230-0264.630 | Y=0497.180-0508.420 | Đường 3 tháng 2
P=2001 | X=0287.860-0375.310 | Y=0497.180-0508.420 | Đường Phạm Hùng
P=2001 | X=0092.900-0104.020 | Y=0499.060-0508.380 | 76
P=2001 | X=0396.620-0421.670 | Y=0499.060-0508.380 | 3.900
P=2001 | X=0439.130-0464.180 | Y=0499.060-0508.380 | 2.700
P=2001 | X=0497.230-0522.280 | Y=0499.060-0508.380 | 2.300
P=2001 | X=0107.330-0128.050 | Y=0504.820-0514.140 | Hiền
P=2001 | X=0107.330-0165.740 | Y=0520.940-0532.180 | Đường Đoàn
P=2001 | X=0188.230-0264.630 | Y=0526.460-0537.700 | Đường 3 tháng 2
P=2001 | X=0287.860-0375.310 | Y=0526.460-0537.700 | Đường Phạm Hùng
P=2001 | X=0092.900-0104.020 | Y=0528.340-0537.660 | 77
P=2001 | X=0396.620-0421.670 | Y=0528.340-0537.660 | 3.800
P=2001 | X=0439.130-0464.180 | Y=0528.340-0537.660 | 2.700
P=2001 | X=0497.230-0522.280 | Y=0528.340-0537.660 | 2.300
P=2001 | X=0107.330-0144.610 | Y=0534.100-0543.420 | Nhữ Hài
P=2001 | X=0287.860-0369.820 | Y=0550.250-0561.490 | Đường Đặng Trần
P=2001 | X=0092.900-0177.330 | Y=0556.010-0567.250 | 78 Đường Lê Quát
P=2001 | X=0188.230-0264.630 | Y=0556.010-0567.250 | Đường 3 tháng 2
P=2001 | X=0396.620-0421.670 | Y=0557.890-0567.210 | 3.800
P=2001 | X=0439.130-0464.180 | Y=0557.890-0567.210 | 2.700
P=2001 | X=0497.230-0522.280 | Y=0557.890-0567.210 | 2.300
P=2001 | X=0287.860-0306.190 | Y=0563.650-0572.970 | Côn
P=2001 | X=0287.860-0369.820 | Y=0579.770-0591.010 | Đường Đặng Trần
P=2001 | X=0092.900-0264.630 | Y=0585.530-0596.770 | 79 Đường Đặng Tất Đường 3 tháng 2
P=2001 | X=0396.620-0421.670 | Y=0587.410-0596.730 | 3.700
P=2001 | X=0439.130-0464.180 | Y=0587.410-0596.730 | 2.600
P=2001 | X=0497.230-0522.280 | Y=0587.410-0596.730 | 2.200
P=2001 | X=0287.860-0306.190 | Y=0593.170-0602.490 | Côn
P=2001 | X=0107.330-0165.730 | Y=0609.290-0620.530 | Đường Đặng
P=2001 | X=0287.860-0374.230 | Y=0609.290-0620.530 | Đường Nguyễn Tất
P=2001 | X=0188.230-0264.630 | Y=0615.050-0626.290 | Đường 3 tháng 2
P=2001 | X=0092.900-0104.020 | Y=0616.930-0626.250 | 80
P=2001 | X=0396.620-0421.670 | Y=0616.930-0626.250 | 5.100
P=2001 | X=0439.130-0464.180 | Y=0616.930-0626.250 | 3.600
P=2001 | X=0497.230-0522.280 | Y=0616.930-0626.250 | 3.100
P=2001 | X=0107.330-0149.180 | Y=0622.710-0632.030 | Trần Côn
P=2001 | X=0287.860-0316.270 | Y=0622.710-0632.030 | Thành
P=2001 | X=0107.330-0175.330 | Y=0638.830-0650.070 | Đường Hồ Văn
P=2001 | X=0188.230-0270.180 | Y=0638.830-0650.070 | Đường Đặng Trần
P=2001 | X=0287.860-0386.380 | Y=0644.590-0655.830 | Đường Hoàng Lệ Kha
P=2001 | X=0095.570-0101.170 | Y=0646.470-0655.790 | 8
P=2001 | X=0396.620-0421.670 | Y=0646.470-0655.790 | 3.700
P=2001 | X=0439.130-0464.180 | Y=0646.470-0655.790 | 2.600
P=2001 | X=0497.230-0522.280 | Y=0646.470-0655.790 | 2.200
P=2001 | X=0107.330-0125.660 | Y=0652.230-0661.550 | Huê
P=2001 | X=0188.230-0206.560 | Y=0652.230-0661.550 | Côn
P=2001 | X=0107.330-0176.310 | Y=0668.350-0679.590 | Đường Nguyễn
P=2001 | X=0188.230-0264.630 | Y=0674.110-0685.350 | Đường 3 tháng 2
P=2001 | X=0287.860-0386.380 | Y=0674.110-0685.350 | Đường Hoàng Lệ Kha
P=2001 | X=0092.900-0104.020 | Y=0675.990-0685.310 | 82
P=2001 | X=0396.620-0421.670 | Y=0675.990-0685.310 | 3.700
P=2001 | X=0439.130-0464.180 | Y=0675.990-0685.310 | 2.600
P=2001 | X=0497.230-0522.280 | Y=0675.990-0685.310 | 2.200
P=2001 | X=0107.330-0141.880 | Y=0681.750-0691.070 | Nghiêm
P=2001 | X=0092.900-0171.970 | Y=0697.870-0709.110 | 83 Đường Lương
P=2001 | X=0188.230-0264.630 | Y=0697.870-0709.110 | Đường 3 tháng 2
P=2001 | X=0287.860-0386.380 | Y=0697.870-0709.110 | Đường Hoàng Lệ Kha
P=2001 | X=0396.620-0421.670 | Y=0699.750-0709.070 | 3.700
P=2001 | X=0439.130-0464.180 | Y=0699.750-0709.070 | 2.600
P=2001 | X=0497.230-0522.280 | Y=0699.750-0709.070 | 2.200
P=2002 | X=0107.330-0164.290 | Y=0074.620-0083.940 | Khánh Thiện
P=2002 | X=0107.330-0185.200 | Y=0090.740-0101.980 | Đường Hoàng Lệ
P=2002 | X=0287.860-0369.820 | Y=0090.740-0101.980 | Đường Đặng Trần
P=2002 | X=0188.230-0264.630 | Y=0096.500-0107.740 | Đường 3 tháng 2
P=2002 | X=0092.900-0104.020 | Y=0098.380-0107.700 | 84
P=2002 | X=0396.620-0421.670 | Y=0098.380-0107.700 | 3.700
P=2002 | X=0439.130-0464.180 | Y=0098.380-0107.700 | 2.600
P=2002 | X=0497.230-0522.270 | Y=0098.380-0107.700 | 2.200
P=2002 | X=0107.330-0125.170 | Y=0104.140-0113.460 | Kha
P=2002 | X=0287.860-0306.190 | Y=0104.140-0113.460 | Cân
P=2002 | X=0107.330-0284.310 | Y=0120.290-0131.530 | Đường Phan Bá Đường Lương Khánh
P=2002 | X=0287.860-0421.670 | Y=0126.050-0137.290 | Đường Đinh Văn Chất 4.000
P=2002 | X=0092.900-0104.020 | Y=0127.930-0137.250 | 85
P=2002 | X=0439.130-0464.180 | Y=0127.930-0137.250 | 2.800
P=2002 | X=0497.230-0522.280 | Y=0127.930-0137.250 | 2.400
P=2002 | X=0107.330-0130.700 | Y=0133.690-0143.010 | Vành
P=2002 | X=0188.230-0213.510 | Y=0133.690-0143.010 | Thiện
P=2002 | X=0107.330-0181.330 | Y=0149.810-0161.050 | Đường Liên Khu
P=2002 | X=0107.330-0268.010 | Y=0161.330-0172.570 | 8, khu 9 và thửa Ngã ba đường Tú
P=2002 | X=0287.860-0379.660 | Y=0161.330-0172.570 | Hết ranh thửa đất số
P=2002 | X=0092.900-0169.170 | Y=0172.850-0184.090 | 86 đất số 166, tờ
P=2002 | X=0188.230-0267.310 | Y=0172.850-0184.090 | Xương và Đường
P=2002 | X=0287.860-0380.140 | Y=0172.850-0184.090 | 102, tờ bản đồ số 11
P=2002 | X=0396.620-0421.670 | Y=0174.730-0184.050 | 2.900
P=2002 | X=0439.130-0464.180 | Y=0174.730-0184.050 | 2.000
P=2002 | X=0497.230-0522.280 | Y=0174.730-0184.050 | 1.700
P=2002 | X=0107.330-0165.010 | Y=0184.370-0195.610 | bản đồ số 10
P=2002 | X=0188.230-0245.660 | Y=0186.250-0195.570 | Liên khu 8, 9
P=2002 | X=0287.860-0340.200 | Y=0186.250-0195.570 | (Khu phố 8)
P=2002 | X=0107.330-0159.650 | Y=0197.530-0206.850 | (Khu phố 8)
P=2002 | X=0188.230-0261.780 | Y=0213.670-0224.910 | Ngã ba đường 3
P=2002 | X=0287.860-0362.530 | Y=0213.670-0224.910 | Tiếp giáp Ngã tư
P=2002 | X=0107.330-0277.470 | Y=0225.190-0236.430 | Đường Liên Khu tháng 2 (từ thửa đất
P=2002 | X=0287.860-0384.700 | Y=0225.190-0236.430 | đường Hoàng Lệ Kha
P=2002 | X=0092.900-0104.020 | Y=0232.830-0242.150 | 87
P=2002 | X=0396.620-0421.670 | Y=0232.830-0242.150 | 3.300
P=2002 | X=0439.130-0464.180 | Y=0232.830-0242.150 | 2.300
P=2002 | X=0497.230-0522.280 | Y=0232.830-0242.150 | 2.000
P=2002 | X=0188.230-0274.500 | Y=0236.710-0247.950 | số 56, tờ bản đồ số
P=2002 | X=0287.860-0381.340 | Y=0236.710-0247.950 | (hết ranh thửa đất số
P=2002 | X=0107.330-0143.160 | Y=0238.590-0247.910 | 8, khu 9
P=2002 | X=0287.860-0377.900 | Y=0248.230-0259.470 | 80, tờ bản đồ số 28)
P=2002 | X=0188.230-0202.630 | Y=0250.110-0259.430 | 28)
P=2002 | X=0287.860-0384.690 | Y=0266.230-0277.470 | Đường liên khu vực 1
P=2002 | X=0287.860-0363.580 | Y=0277.750-0288.990 | (Đường Nối giữa
P=2002 | X=0092.900-0264.630 | Y=0283.540-0294.780 | 88 Đường Tú Xương Đường 3 tháng 2
P=2002 | X=0396.620-0421.670 | Y=0285.420-0294.740 | 4.300
P=2002 | X=0439.130-0464.180 | Y=0285.420-0294.740 | 3.000
P=2002 | X=0497.230-0522.280 | Y=0285.420-0294.740 | 2.600
P=2002 | X=0287.860-0368.600 | Y=0289.300-0300.540 | Đường ĐT 741 và
P=2002 | X=0287.860-0358.440 | Y=0300.820-0312.060 | Đường ĐT 759)
P=2002 | X=0107.330-0184.210 | Y=0318.820-0330.060 | Các đường Nội ô
P=2002 | X=0188.230-0264.630 | Y=0330.340-0341.580 | Đường 3 tháng 2
P=2002 | X=0287.860-0367.860 | Y=0330.340-0341.580 | Đường Tú Xương
P=2002 | X=0092.900-0164.770 | Y=0332.220-0341.540 | 89 Khu phố 9 (5
P=2002 | X=0396.620-0421.670 | Y=0332.220-0341.540 | 3.700
P=2002 | X=0439.130-0464.180 | Y=0332.220-0341.540 | 2.600
P=2002 | X=0497.230-0522.280 | Y=0332.220-0341.540 | 2.200
P=2002 | X=0107.330-0135.170 | Y=0343.740-0353.060 | tuyến)
P=2002 | X=0188.230-0268.210 | Y=0359.860-0371.100 | Đường Tú Xương
P=2002 | X=0287.860-0369.660 | Y=0359.860-0371.100 | Ngã ba đường đất
P=2002 | X=0107.330-0167.430 | Y=0365.640-0376.880 | Đường Vườn
P=2002 | X=0188.230-0380.710 | Y=0371.400-0382.640 | (hết thửa đất số 163, (hết thửa đất số 105,
P=2002 | X=0092.900-0104.020 | Y=0373.280-0382.600 | 90
P=2002 | X=0396.620-0421.670 | Y=0373.280-0382.600 | 1.800
P=2002 | X=0439.130-0464.180 | Y=0373.280-0382.600 | 1.200
P=2002 | X=0497.230-0522.280 | Y=0373.280-0382.600 | 1.100
P=2002 | X=0107.330-0177.750 | Y=0377.160-0388.400 | Ươm khu phố 9
P=2002 | X=0188.230-0261.460 | Y=0382.920-0394.160 | tờ bản đồ số 10)
P=2002 | X=0287.860-0361.080 | Y=0382.920-0394.160 | tờ bản đồ số 10)
P=2002 | X=0188.230-0257.710 | Y=0402.800-0412.120 | Ngã ba Nguyễn
P=2002 | X=0107.330-0176.310 | Y=0406.680-0417.920 | Đường Nguyễn
P=2002 | X=0188.230-0262.980 | Y=0412.200-0423.440 | Khuyến - Đường
P=2002 | X=0287.860-0383.020 | Y=0412.200-0423.440 | Đường Hồ Tùng Mậu
P=2002 | X=0092.900-0104.020 | Y=0414.080-0423.400 | 91
P=2002 | X=0396.620-0421.670 | Y=0414.080-0423.400 | 5.400
P=2002 | X=0439.130-0464.180 | Y=0414.080-0423.400 | 3.800
P=2002 | X=0497.230-0522.280 | Y=0414.080-0423.400 | 3.300
P=2002 | X=0107.330-0141.250 | Y=0419.840-0429.160 | Khuyến
P=2002 | X=0188.230-0271.140 | Y=0425.600-0434.920 | Nguyễn Tất Thành
P=2002 | X=0092.900-0177.490 | Y=0441.720-0452.960 | 92 Đường Bom Bo
P=2002 | X=0188.230-0238.500 | Y=0443.600-0452.920 | Toàn tuyến
P=2002 | X=0396.620-0421.670 | Y=0443.600-0452.920 | 8.000
P=2002 | X=0439.130-0464.180 | Y=0443.600-0452.920 | 5.600
P=2002 | X=0497.230-0522.280 | Y=0443.600-0452.920 | 4.800
P=2002 | X=0107.330-0170.790 | Y=0459.740-0470.980 | Đường Võ Thị
P=2002 | X=0092.900-0104.020 | Y=0467.380-0476.700 | 93
P=2002 | X=0188.230-0238.500 | Y=0467.380-0476.700 | Toàn tuyến
P=2002 | X=0396.620-0421.660 | Y=0467.380-0476.700 | 7.300
P=2002 | X=0439.130-0464.180 | Y=0467.380-0476.700 | 5.100
P=2002 | X=0497.230-0522.280 | Y=0467.380-0476.700 | 4.400
P=2002 | X=0107.330-0125.170 | Y=0473.140-0482.460 | Sáu
P=2002 | X=0107.330-0184.210 | Y=0489.260-0500.500 | Đường Nội ô khu
P=2002 | X=0092.900-0168.610 | Y=0502.660-0511.980 | 94 dân cir Thành
P=2002 | X=0188.230-0238.500 | Y=0502.660-0511.980 | Toàn tuyến
P=2002 | X=0391.100-0421.670 | Y=0502.660-0511.980 | 11.600
P=2002 | X=0439.130-0464.180 | Y=0502.660-0511.980 | 8.200
P=2002 | X=0497.230-0522.280 | Y=0502.660-0511.980 | 7.000
