TABLE=004 | AREA=Phường Long Bình | SECTION=non-agricultural | SEGMENTS=1
P=0152 | X=0110.690-0388.120 | Y=0583.850-0595.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0152 | X=0110.690-0334.330 | Y=0601.370-0612.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0152 | X=0110.690-0384.200 | Y=0619.150-0630.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0152 | X=0110.690-0373.640 | Y=0630.670-0641.910 | ra Quốc lộ 1 đoạn từ Đường bên hông giáo xứ Hà Nội (bên
P=0152 | X=0110.690-0363.100 | Y=0642.190-0653.430 | phải); đường chợ nhỏ khu phố 4 (bên trái) đến Ranh giới
P=0152 | X=0110.690-0358.520 | Y=0653.710-0664.950 | phường Hố Nai có hiện trạng là đường nhựa, bê tông xi
P=0152 | X=0094.820-0105.940 | Y=0661.590-0670.910 | 54
P=0152 | X=0401.180-0431.750 | Y=0661.590-0670.910 | 14.900
P=0152 | X=0448.490-0479.060 | Y=0661.590-0670.910 | 10.400
P=0152 | X=0497.230-0522.280 | Y=0661.590-0670.910 | 8.900
P=0152 | X=0110.690-0138.690 | Y=0665.230-0676.470 | măng:
P=0152 | X=0110.690-0333.600 | Y=0682.510-0693.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0152 | X=0110.690-0387.880 | Y=0700.050-0711.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0153 | X=0110.690-0384.200 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0153 | X=0110.690-0373.640 | Y=0090.020-0101.260 | ra Quốc lộ 1 đoạn từ Đường bên hông giáo xứ Hà Nội (bên
P=0153 | X=0110.690-0363.100 | Y=0101.540-0112.780 | phải); đường chợ nhỏ khu phố 4 (bên trái) đến Ranh giới
P=0153 | X=0110.690-0358.520 | Y=0113.060-0124.300 | phường Hố Nai có hiện trạng là đường nhựa, bê tông xi
P=0153 | X=0110.690-0138.690 | Y=0124.610-0135.850 | măng:
P=0153 | X=0094.820-0105.940 | Y=0135.370-0144.690 | 55
P=0153 | X=0406.700-0431.750 | Y=0135.370-0144.690 | 6.900
P=0153 | X=0454.010-0479.060 | Y=0135.370-0144.690 | 4.800
P=0153 | X=0497.230-0522.280 | Y=0135.370-0144.690 | 4.100
P=0153 | X=0110.690-0333.870 | Y=0142.130-0153.370 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0153 | X=0110.690-0364.000 | Y=0159.410-0170.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0153 | X=0110.690-0197.240 | Y=0170.930-0182.170 | >400m đến ≤600m.
P=0153 | X=0110.690-0333.860 | Y=0188.450-0199.690 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0153 | X=0110.690-0384.200 | Y=0206.230-0217.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0153 | X=0110.690-0373.640 | Y=0217.750-0228.990 | ra Quốc lộ 1 đoạn từ Đường bên hông giáo xứ Hà Nội (bên
P=0153 | X=0110.690-0363.100 | Y=0229.270-0240.510 | phải); đường chợ nhỏ khu phố 4 (bên trái) đến Ranh giới
P=0153 | X=0110.690-0358.520 | Y=0240.790-0252.030 | phường Hố Nai có hiện trạng là đường nhựa, bê tông xi
P=0153 | X=0094.820-0105.940 | Y=0248.670-0257.990 | 56
P=0153 | X=0406.700-0431.750 | Y=0248.670-0257.990 | 5.300
P=0153 | X=0454.010-0479.060 | Y=0248.670-0257.990 | 3.700
P=0153 | X=0497.230-0522.280 | Y=0248.670-0257.990 | 3.200
P=0153 | X=0110.690-0138.690 | Y=0252.310-0263.550 | măng:
P=0153 | X=0110.690-0388.120 | Y=0269.830-0281.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0153 | X=0110.690-0336.980 | Y=0287.380-0298.620 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0153 | X=0301.800-0383.570 | Y=0305.140-0316.380 | Nghĩa trang Liệt sĩ
P=0153 | X=0094.820-0200.270 | Y=0310.900-0322.140 | 57 Đường Võ Văn Mén
P=0153 | X=0219.670-0275.930 | Y=0312.780-0322.100 | Xa lộ Hà Nội
P=0153 | X=0401.180-0431.750 | Y=0312.780-0322.100 | 18.300
P=0153 | X=0448.490-0479.060 | Y=0312.780-0322.100 | 12.800
P=0153 | X=0491.710-0522.280 | Y=0312.780-0322.100 | 11.000
P=0153 | X=0301.800-0362.360 | Y=0316.660-0327.900 | tỉnh Đồng Nai
P=0153 | X=0110.690-0374.130 | Y=0334.420-0345.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0153 | X=0110.690-0370.070 | Y=0345.700-0356.940 | Văn Mén đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ tỉnh
P=0153 | X=0110.690-0361.960 | Y=0357.220-0368.460 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0153 | X=0094.820-0105.940 | Y=0365.100-0374.420 | 58
P=0153 | X=0401.180-0431.750 | Y=0365.100-0374.420 | 10.100
P=0153 | X=0454.010-0479.060 | Y=0365.100-0374.420 | 7.100
P=0153 | X=0497.230-0522.280 | Y=0365.100-0374.420 | 6.100
P=0153 | X=0110.690-0333.600 | Y=0374.760-0386.000 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0153 | X=0110.690-0387.880 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0153 | X=0110.690-0374.130 | Y=0410.040-0421.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0153 | X=0110.690-0370.070 | Y=0421.560-0432.800 | Văn Mén đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ tỉnh
P=0153 | X=0110.690-0361.920 | Y=0433.080-0444.320 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0153 | X=0094.820-0333.860 | Y=0450.620-0464.700 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0153 | X=0406.700-0431.750 | Y=0455.380-0464.700 | 6.700
P=0153 | X=0454.010-0479.060 | Y=0455.380-0464.700 | 4.700
P=0153 | X=0497.230-0522.280 | Y=0455.380-0464.700 | 4.000
P=0153 | X=0110.690-0364.000 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0153 | X=0110.690-0197.240 | Y=0479.660-0490.900 | >400m đến ≤600m.
P=0153 | X=0110.690-0333.860 | Y=0497.180-0508.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0153 | X=0110.690-0374.130 | Y=0514.940-0526.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0153 | X=0110.690-0370.070 | Y=0526.220-0537.460 | Văn Mén đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ tỉnh
P=0153 | X=0110.690-0361.920 | Y=0537.770-0549.010 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0153 | X=0094.820-0105.940 | Y=0545.650-0554.970 | 60
P=0153 | X=0406.700-0431.770 | Y=0545.650-0554.970 | 4.000
P=0153 | X=0454.010-0479.060 | Y=0545.650-0554.970 | 2.800
P=0153 | X=0497.230-0522.280 | Y=0545.650-0554.970 | 2.400
P=0153 | X=0110.690-0388.120 | Y=0555.290-0566.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0153 | X=0110.690-0334.330 | Y=0572.810-0584.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0153 | X=0110.690-0384.200 | Y=0590.570-0601.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0153 | X=0110.690-0382.520 | Y=0602.090-0613.330 | ra Đường Võ Văn Mén đoạn từ Xa lộ Hà Nội đến Nghĩa trang
P=0153 | X=0110.690-0379.640 | Y=0613.610-0624.850 | Liệt sĩ tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi
P=0153 | X=0094.820-0138.690 | Y=0625.150-0636.590 | 61 măng:
P=0153 | X=0406.700-0431.750 | Y=0627.270-0636.590 | 9.100
P=0153 | X=0454.010-0479.060 | Y=0627.270-0636.590 | 6.400
P=0153 | X=0497.230-0522.280 | Y=0627.270-0636.590 | 5.500
P=0153 | X=0110.690-0333.600 | Y=0642.670-0653.910 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0153 | X=0110.690-0387.880 | Y=0660.190-0671.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0153 | X=0110.690-0384.200 | Y=0677.950-0689.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0153 | X=0094.820-0382.520 | Y=0689.470-0700.710 | 62 ra Đường Võ Văn Mén đoạn từ Xa lộ Hà Nội đến Nghĩa trang
P=0153 | X=0406.700-0431.750 | Y=0691.350-0700.670 | 6.000
P=0153 | X=0454.010-0479.060 | Y=0691.350-0700.670 | 4.200
P=0153 | X=0497.230-0522.280 | Y=0691.350-0700.670 | 3.600
P=0153 | X=0110.690-0379.640 | Y=0700.770-0712.010 | Liệt sĩ tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi
P=0154 | X=0110.690-0138.690 | Y=0072.500-0083.740 | măng:
P=0154 | X=0110.690-0333.860 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0154 | X=0110.690-0364.000 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0154 | X=0110.690-0197.240 | Y=0119.090-0130.330 | >400m đến ≤600m.
P=0154 | X=0110.690-0333.860 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0154 | X=0110.690-0384.200 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0154 | X=0110.690-0382.520 | Y=0165.650-0176.890 | ra Đường Võ Văn Mén đoạn từ Xa lộ Hà Nội đến Nghĩa trang
P=0154 | X=0110.690-0379.640 | Y=0177.170-0188.410 | Liệt sĩ tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi
P=0154 | X=0094.820-0138.690 | Y=0188.690-0200.130 | 63 măng:
P=0154 | X=0406.700-0431.750 | Y=0190.810-0200.130 | 3.600
P=0154 | X=0454.010-0479.060 | Y=0190.810-0200.130 | 2.500
P=0154 | X=0497.230-0522.280 | Y=0190.810-0200.130 | 2.200
P=0154 | X=0110.690-0388.120 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0154 | X=0110.690-0336.980 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0154 | X=0301.800-0385.990 | Y=0241.510-0252.750 | Giáp ranh thửa đất
P=0154 | X=0094.820-0197.670 | Y=0253.030-0264.270 | 64 Đường Ngô Sĩ Liên
P=0154 | X=0301.800-0380.150 | Y=0253.030-0264.270 | số 3, tờ BĐĐC số
P=0154 | X=0219.670-0262.740 | Y=0254.910-0264.230 | Quốc lộ 1
P=0154 | X=0401.180-0431.750 | Y=0254.910-0264.230 | 18.700
P=0154 | X=0448.490-0479.060 | Y=0254.910-0264.230 | 13.100
P=0154 | X=0491.710-0522.280 | Y=0254.910-0264.230 | 11.200
P=0154 | X=0301.800-0318.440 | Y=0266.430-0275.750 | 267
P=0154 | X=0110.690-0380.130 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0154 | X=0110.690-0367.470 | Y=0293.860-0305.100 | Sĩ Liên đoạn từ Quốc lộ 1 đến Giáp ranh thửa đất số 3, tờ
P=0154 | X=0110.690-0381.660 | Y=0305.380-0316.620 | BĐĐC số 267 có hiện trạng là đường nhựa, bê tông xi măng:
P=0154 | X=0094.820-0105.940 | Y=0313.260-0322.580 | 65
P=0154 | X=0406.700-0431.750 | Y=0313.260-0322.580 | 9.000
P=0154 | X=0454.010-0479.060 | Y=0313.260-0322.580 | 6.300
P=0154 | X=0497.230-0522.280 | Y=0313.260-0322.580 | 5.400
P=0154 | X=0110.690-0333.600 | Y=0322.900-0334.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0154 | X=0110.690-0387.880 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0154 | X=0110.690-0380.130 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0154 | X=0110.690-0367.470 | Y=0369.480-0380.720 | Sĩ Liên đoạn từ Quốc lộ 1 đến Giáp ranh thửa đất số 3, tờ
P=0154 | X=0110.690-0381.620 | Y=0381.000-0392.240 | BĐĐC số 267 có hiện trạng là đường nhựa, bê tông xi măng:
P=0154 | X=0094.820-0333.860 | Y=0398.520-0412.840 | 66 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0154 | X=0406.700-0431.750 | Y=0403.520-0412.840 | 5.200
P=0154 | X=0454.010-0479.060 | Y=0403.520-0412.840 | 3.600
P=0154 | X=0497.230-0522.280 | Y=0403.520-0412.840 | 3.100
P=0154 | X=0110.690-0364.000 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0154 | X=0110.690-0197.240 | Y=0427.560-0438.800 | >400m đến ≤600m.
P=0154 | X=0110.690-0333.860 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0154 | X=0110.690-0380.130 | Y=0462.860-0474.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0154 | X=0110.690-0367.470 | Y=0474.380-0485.620 | Sĩ Liên đoạn từ Quốc lộ 1 đến Giáp ranh thửa đất số 3, tờ
P=0154 | X=0110.690-0381.620 | Y=0485.900-0497.140 | BĐĐC số 267 có hiện trạng là đường nhựa, bê tông xi măng:
P=0154 | X=0094.820-0105.940 | Y=0493.780-0503.100 | 67
P=0154 | X=0406.700-0431.750 | Y=0493.780-0503.100 | 3.700
P=0154 | X=0454.010-0479.060 | Y=0493.780-0503.100 | 2.600
P=0154 | X=0497.230-0522.280 | Y=0493.780-0503.100 | 2.200
P=0154 | X=0110.690-0388.120 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0154 | X=0110.690-0334.330 | Y=0520.940-0532.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0154 | X=0110.690-0384.200 | Y=0538.490-0549.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0154 | X=0110.690-0381.590 | Y=0550.010-0561.250 | ra Đường Ngô Sĩ Liên đoạn từ Quốc lộ 1 đến Giáp ranh thửa
P=0154 | X=0110.690-0371.960 | Y=0561.530-0572.770 | đất số 3, tờ BĐĐC số 267 có hiện trạng là đường nhựa, bê
P=0154 | X=0094.820-0170.850 | Y=0573.050-0584.490 | 68 tông xi măng:
P=0154 | X=0406.700-0431.750 | Y=0575.170-0584.490 | 8.100
P=0154 | X=0454.010-0479.060 | Y=0575.170-0584.490 | 5.700
P=0154 | X=0497.230-0522.280 | Y=0575.170-0584.490 | 4.900
P=0154 | X=0110.690-0333.640 | Y=0590.570-0601.810 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0154 | X=0110.690-0387.880 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0154 | X=0110.690-0384.200 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0154 | X=0110.690-0381.590 | Y=0637.390-0648.630 | ra Đường Ngô Sĩ Liên đoạn từ Quốc lộ 1 đến Giáp ranh thửa
P=0154 | X=0110.690-0371.990 | Y=0648.910-0660.150 | đất số 3, tờ BĐĐC số 267 có hiện trạng là đường nhựa, bê
P=0154 | X=0110.690-0170.850 | Y=0660.430-0671.670 | tông xi măng:
P=0154 | X=0094.820-0105.940 | Y=0668.310-0677.630 | 69
P=0154 | X=0406.700-0431.750 | Y=0668.310-0677.630 | 4.700
P=0154 | X=0454.010-0479.060 | Y=0668.310-0677.630 | 3.300
P=0154 | X=0497.230-0522.280 | Y=0668.310-0677.630 | 2.800
P=0154 | X=0110.690-0333.860 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0154 | X=0110.690-0364.000 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0154 | X=0110.690-0197.240 | Y=0706.770-0718.010 | >400m đến ≤600m.
P=0155 | X=0110.690-0333.860 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0155 | X=0110.690-0384.230 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0155 | X=0110.690-0381.590 | Y=0107.780-0119.020 | ra Đường Ngô Sĩ Liên đoạn từ Quốc lộ 1 đến Giáp ranh thửa
P=0155 | X=0110.690-0371.960 | Y=0119.330-0130.570 | đất số 3, tờ BĐĐC số 267 có hiện trạng là đường nhựa, bê
P=0155 | X=0094.820-0170.850 | Y=0130.850-0142.290 | 70 tông xi măng:
P=0155 | X=0406.700-0431.750 | Y=0132.970-0142.290 | 3.300
P=0155 | X=0454.010-0479.060 | Y=0132.970-0142.290 | 2.300
P=0155 | X=0497.230-0522.270 | Y=0132.970-0142.290 | 2.000
P=0155 | X=0110.690-0388.120 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0155 | X=0110.690-0336.980 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0155 | X=0301.800-0383.570 | Y=0183.410-0194.650 | Nghĩa trang Liệt sĩ
P=0155 | X=0094.820-0172.440 | Y=0189.170-0200.410 | 71 Đường xóm 8
P=0155 | X=0219.670-0275.930 | Y=0191.050-0200.370 | Xa lộ Hà Nội
P=0155 | X=0401.180-0431.750 | Y=0191.050-0200.370 | 20.300
P=0155 | X=0448.490-0479.060 | Y=0191.050-0200.370 | 14.200
P=0155 | X=0491.710-0522.280 | Y=0191.050-0200.370 | 12.200
P=0155 | X=0301.800-0362.360 | Y=0194.930-0206.170 | tỉnh Đồng Nai
P=0155 | X=0110.690-0380.750 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường xóm
P=0155 | X=0110.690-0379.880 | Y=0224.230-0235.470 | 8 đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ tỉnh Đồng Nai
P=0155 | X=0110.690-0317.540 | Y=0235.750-0246.990 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0155 | X=0094.820-0105.940 | Y=0243.630-0252.950 | 72
P=0155 | X=0401.180-0431.750 | Y=0243.630-0252.950 | 10.100
P=0155 | X=0454.010-0479.060 | Y=0243.630-0252.950 | 7.100
P=0155 | X=0497.230-0522.280 | Y=0243.630-0252.950 | 6.100
P=0155 | X=0110.690-0333.600 | Y=0253.270-0264.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0155 | X=0110.690-0387.880 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0155 | X=0110.690-0380.750 | Y=0288.580-0299.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường xóm
P=0155 | X=0110.690-0379.880 | Y=0300.100-0311.340 | 8 đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ tỉnh Đồng Nai
P=0155 | X=0110.690-0317.540 | Y=0311.620-0322.860 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0155 | X=0094.820-0333.860 | Y=0329.140-0343.220 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0155 | X=0406.700-0431.750 | Y=0333.900-0343.220 | 6.700
P=0155 | X=0454.010-0479.060 | Y=0333.900-0343.220 | 4.700
P=0155 | X=0497.230-0522.280 | Y=0333.900-0343.220 | 4.000
P=0155 | X=0110.690-0364.000 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0155 | X=0110.690-0197.240 | Y=0357.940-0369.180 | >400m đến ≤600m.
P=0155 | X=0110.690-0333.860 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0155 | X=0110.690-0380.750 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường xóm
P=0155 | X=0110.690-0379.880 | Y=0404.760-0416.000 | 8 đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ tỉnh Đồng Nai
P=0155 | X=0110.690-0317.540 | Y=0416.280-0427.520 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0155 | X=0094.820-0105.940 | Y=0424.160-0433.480 | 74
P=0155 | X=0406.700-0431.750 | Y=0424.160-0433.480 | 3.700
P=0155 | X=0454.010-0479.060 | Y=0424.160-0433.480 | 2.600
P=0155 | X=0497.230-0522.280 | Y=0424.160-0433.480 | 2.200
P=0155 | X=0110.690-0388.120 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0155 | X=0110.690-0334.330 | Y=0451.340-0462.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0155 | X=0110.690-0384.200 | Y=0469.100-0480.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0155 | X=0110.690-0384.050 | Y=0480.620-0491.860 | ra Đường xóm 8 đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ
P=0155 | X=0110.690-0381.150 | Y=0492.140-0503.380 | tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0155 | X=0094.820-0105.940 | Y=0500.020-0509.340 | 75
P=0155 | X=0406.700-0431.750 | Y=0500.020-0509.340 | 9.100
P=0155 | X=0454.010-0479.060 | Y=0500.020-0509.340 | 6.400
P=0155 | X=0497.230-0522.280 | Y=0500.020-0509.340 | 5.500
P=0155 | X=0110.690-0333.600 | Y=0509.660-0520.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0155 | X=0110.690-0387.880 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0155 | X=0110.690-0384.200 | Y=0544.970-0556.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0155 | X=0110.690-0384.050 | Y=0556.250-0567.490 | ra Đường xóm 8 đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ
P=0155 | X=0110.690-0381.150 | Y=0567.770-0579.010 | tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0155 | X=0094.820-0333.860 | Y=0585.290-0599.610 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0155 | X=0406.700-0431.750 | Y=0590.290-0599.610 | 6.000
P=0155 | X=0454.010-0479.060 | Y=0590.290-0599.610 | 4.200
P=0155 | X=0497.230-0522.280 | Y=0590.290-0599.610 | 3.600
P=0155 | X=0110.690-0364.000 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0155 | X=0110.690-0197.240 | Y=0614.330-0625.570 | >400m đến ≤600m.
P=0155 | X=0110.690-0333.860 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0155 | X=0110.690-0384.200 | Y=0649.630-0660.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0155 | X=0110.690-0384.050 | Y=0661.150-0672.390 | ra Đường xóm 8 đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ
P=0155 | X=0110.690-0381.150 | Y=0672.670-0683.910 | tỉnh Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0155 | X=0094.820-0105.940 | Y=0680.550-0689.870 | 77
P=0155 | X=0406.700-0431.750 | Y=0680.550-0689.870 | 3.300
P=0155 | X=0454.010-0479.060 | Y=0680.550-0689.870 | 2.300
P=0155 | X=0497.230-0522.280 | Y=0680.550-0689.870 | 2.000
P=0155 | X=0110.690-0388.120 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0155 | X=0110.690-0336.980 | Y=0707.730-0718.970 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0156 | X=0219.670-0300.180 | Y=0078.500-0089.740 | Đường Nguyễn Ái
P=0156 | X=0094.820-0200.790 | Y=0084.260-0095.500 | 78 Đường Lê Đại Hành
P=0156 | X=0301.800-0358.050 | Y=0086.140-0095.460 | Xa lộ Hà Nội
P=0156 | X=0401.180-0431.750 | Y=0086.140-0095.460 | 24.100
P=0156 | X=0448.490-0479.060 | Y=0086.140-0095.460 | 16.900
P=0156 | X=0491.710-0522.280 | Y=0086.140-0095.460 | 14.500
P=0156 | X=0219.670-0243.700 | Y=0091.900-0101.220 | Quốc
P=0156 | X=0110.690-0372.930 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=0156 | X=0110.690-0377.980 | Y=0119.330-0130.570 | Đại Hành đoạn từ Đường Nguyễn Ái Quốc đến Xa lộ Hà Nội
P=0156 | X=0110.690-0317.540 | Y=0130.850-0142.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0156 | X=0094.820-0105.940 | Y=0138.730-0148.050 | 79
P=0156 | X=0401.180-0431.750 | Y=0138.730-0148.050 | 12.700
P=0156 | X=0454.010-0479.060 | Y=0138.730-0148.050 | 8.900
P=0156 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 7.600
P=0156 | X=0110.690-0333.600 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0156 | X=0110.690-0387.880 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0156 | X=0110.690-0372.930 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=0156 | X=0110.690-0377.980 | Y=0194.930-0206.170 | Đại Hành đoạn từ Đường Nguyễn Ái Quốc đến Xa lộ Hà Nội
P=0156 | X=0110.690-0317.540 | Y=0206.470-0217.710 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0156 | X=0094.820-0333.860 | Y=0223.990-0238.310 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0156 | X=0401.180-0431.750 | Y=0228.990-0238.310 | 10.800
P=0156 | X=0454.010-0479.060 | Y=0228.990-0238.310 | 7.600
P=0156 | X=0497.230-0522.280 | Y=0228.990-0238.310 | 6.500
P=0156 | X=0110.690-0364.000 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0156 | X=0110.690-0197.240 | Y=0253.030-0264.270 | >400m đến ≤600m.
P=0156 | X=0110.690-0333.860 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0156 | X=0110.690-0372.930 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=0156 | X=0110.690-0377.980 | Y=0299.860-0311.100 | Đại Hành đoạn từ Đường Nguyễn Ái Quốc đến Xa lộ Hà Nội
P=0156 | X=0110.690-0317.540 | Y=0311.380-0322.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0156 | X=0094.820-0105.940 | Y=0319.260-0328.580 | 81
P=0156 | X=0406.700-0431.750 | Y=0319.260-0328.580 | 6.300
P=0156 | X=0454.010-0479.060 | Y=0319.260-0328.580 | 4.400
P=0156 | X=0497.230-0522.280 | Y=0319.260-0328.580 | 3.800
