TABLE=018 | AREA=Xã Phước An | SECTION=non-agricultural | SEGMENTS=1
P=0591 | X=0113.570-0354.680 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0591 | X=0113.570-0155.720 | Y=0533.620-0542.940 | >1.000m.
P=0591 | X=0113.570-0337.210 | Y=0549.290-0560.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0591 | X=0113.570-0387.080 | Y=0567.050-0578.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0591 | X=0113.570-0388.290 | Y=0578.570-0589.810 | ra Đường giáp ranh xã Phú Đông-Vĩnh Thanh (đường con Gà
P=0591 | X=0113.570-0370.290 | Y=0590.090-0601.330 | Vàng) đoạn từ Đường Quách Thị Trang đến Đường Hùng
P=0591 | X=0096.050-0354.260 | Y=0601.610-0613.050 | 54 Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0591 | X=0405.980-0431.030 | Y=0603.730-0613.050 | 2.400
P=0591 | X=0453.770-0478.820 | Y=0603.730-0613.050 | 1.700
P=0591 | X=0497.230-0522.280 | Y=0603.730-0613.050 | 1.400
P=0591 | X=0113.570-0344.650 | Y=0619.150-0630.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0591 | X=0113.570-0390.760 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0591 | X=0113.570-0387.080 | Y=0654.430-0665.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0591 | X=0113.570-0388.290 | Y=0665.950-0677.190 | ra Đường giáp ranh xã Phú Đông-Vĩnh Thanh (đường con Gà
P=0591 | X=0096.050-0370.290 | Y=0677.470-0691.550 | 55 Vàng) đoạn từ Đường Quách Thị Trang đến Đường Hùng
P=0591 | X=0405.980-0431.030 | Y=0682.230-0691.550 | 1.900
P=0591 | X=0453.770-0478.820 | Y=0682.230-0691.550 | 1.300
P=0591 | X=0497.230-0522.280 | Y=0682.230-0691.550 | 1.100
P=0591 | X=0113.570-0354.260 | Y=0688.750-0699.990 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0591 | X=0113.570-0345.120 | Y=0706.290-0717.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0592 | X=0113.570-0366.880 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0592 | X=0113.570-0208.520 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=0592 | X=0113.570-0336.740 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0592 | X=0113.570-0387.080 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0592 | X=0113.570-0388.290 | Y=0136.850-0148.090 | ra Đường giáp ranh xã Phú Đông-Vĩnh Thanh (đường con Gà
P=0592 | X=0113.570-0370.290 | Y=0148.370-0159.610 | Vàng) đoạn từ Đường Quách Thị Trang đến Đường Hùng
P=0592 | X=0113.570-0354.260 | Y=0159.650-0170.890 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0592 | X=0096.050-0107.170 | Y=0167.530-0176.850 | 56
P=0592 | X=0405.980-0431.030 | Y=0167.530-0176.850 | 1.400
P=0592 | X=0461.930-0478.570 | Y=0167.530-0176.850 | 980
P=0592 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 840
P=0592 | X=0113.570-0354.680 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0592 | X=0113.570-0155.710 | Y=0190.570-0199.890 | >1.000m.
P=0592 | X=0113.570-0337.210 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0592 | X=0113.570-0201.520 | Y=0223.990-0235.230 | Đường Hà Huy Tập
P=0592 | X=0223.030-0363.090 | Y=0223.990-0235.230 | Đường Quách Thị Đường Hùng
P=0592 | X=0096.050-0107.170 | Y=0231.630-0240.950 | 57
P=0592 | X=0405.980-0431.030 | Y=0231.630-0240.950 | 6.900
P=0592 | X=0453.770-0478.820 | Y=0231.630-0240.950 | 4.800
P=0592 | X=0497.230-0522.280 | Y=0231.630-0240.950 | 4.100
P=0592 | X=0113.570-0209.350 | Y=0235.510-0246.750 | (đường Vĩnh Cửu cũ)
P=0592 | X=0304.680-0335.960 | Y=0235.510-0246.750 | Vương
P=0592 | X=0223.030-0249.270 | Y=0237.390-0246.710 | Trang
P=0592 | X=0113.570-0377.480 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà
P=0592 | X=0113.570-0370.290 | Y=0264.790-0276.030 | Huy Tập (đường Vĩnh Cửu cũ) đoạn từ Đường Quách Thị
P=0592 | X=0113.570-0386.950 | Y=0276.310-0287.550 | Trang đến Đường Hùng Vương có hiện trạng là đường nhựa,
P=0592 | X=0096.050-0187.650 | Y=0287.860-0299.300 | 58 bê tông xi măng:
P=0592 | X=0405.980-0431.030 | Y=0289.980-0299.300 | 3.000
P=0592 | X=0453.770-0478.820 | Y=0289.980-0299.300 | 2.100
P=0592 | X=0497.230-0522.280 | Y=0289.980-0299.300 | 1.800
P=0592 | X=0113.570-0344.650 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0592 | X=0113.570-0390.760 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0592 | X=0113.570-0377.480 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà
P=0592 | X=0113.570-0370.290 | Y=0351.940-0363.180 | Huy Tập (đường Vĩnh Cửu cũ) đoạn từ Đường Quách Thị
P=0592 | X=0113.570-0386.950 | Y=0363.460-0374.700 | Trang đến Đường Hùng Vương có hiện trạng là đường nhựa,
P=0592 | X=0113.570-0187.650 | Y=0375.000-0386.240 | bê tông xi măng:
P=0592 | X=0096.050-0345.120 | Y=0391.760-0403.760 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0592 | X=0405.980-0431.030 | Y=0391.760-0401.080 | 2.300
P=0592 | X=0453.770-0478.820 | Y=0391.760-0401.080 | 1.600
P=0592 | X=0497.230-0522.280 | Y=0391.760-0401.080 | 1.400
P=0592 | X=0113.570-0366.880 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0592 | X=0113.570-0208.520 | Y=0421.560-0432.800 | >500m đến ≤1.000m.
P=0592 | X=0113.570-0336.740 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0592 | X=0113.570-0377.480 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà
P=0592 | X=0113.570-0370.290 | Y=0468.380-0479.620 | Huy Tập (đường Vĩnh Cửu cũ) đoạn từ Đường Quách Thị
P=0592 | X=0113.570-0386.950 | Y=0479.900-0491.140 | Trang đến Đường Hùng Vương có hiện trạng là đường nhựa,
P=0592 | X=0113.570-0187.650 | Y=0491.420-0502.660 | bê tông xi măng:
P=0592 | X=0096.050-0107.170 | Y=0499.300-0508.620 | 60
P=0592 | X=0405.980-0431.030 | Y=0499.300-0508.620 | 1.600
P=0592 | X=0453.770-0478.820 | Y=0499.300-0508.620 | 1.100
P=0592 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 960
P=0592 | X=0113.570-0354.680 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0592 | X=0113.570-0155.710 | Y=0522.100-0531.420 | >1.000m.
P=0592 | X=0113.570-0337.210 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0592 | X=0113.570-0387.080 | Y=0555.530-0566.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0592 | X=0113.570-0383.260 | Y=0567.050-0578.290 | ra Đường Hà Huy Tập (đường Vĩnh Cửu cũ) đoạn từ Đường
P=0592 | X=0113.570-0374.350 | Y=0578.570-0589.810 | Quách Thị Trang đến Đường Hùng Vương có hiện trạng là
P=0592 | X=0096.050-0249.340 | Y=0590.090-0601.530 | 61 đường nhựa, bê tông xi măng:
P=0592 | X=0405.980-0431.030 | Y=0592.210-0601.530 | 2.700
P=0592 | X=0453.770-0478.820 | Y=0592.210-0601.530 | 1.900
P=0592 | X=0497.230-0522.280 | Y=0592.210-0601.530 | 1.600
P=0592 | X=0113.570-0344.650 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0592 | X=0113.570-0390.780 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0592 | X=0113.570-0387.080 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0592 | X=0113.570-0383.260 | Y=0654.430-0665.670 | ra Đường Hà Huy Tập (đường Vĩnh Cửu cũ) đoạn từ Đường
P=0592 | X=0096.050-0374.350 | Y=0665.950-0680.030 | 62 Quách Thị Trang đến Đường Hùng Vương có hiện trạng là
P=0592 | X=0405.980-0431.030 | Y=0670.710-0680.030 | 2.100
P=0592 | X=0453.770-0478.820 | Y=0670.710-0680.030 | 1.500
P=0592 | X=0497.230-0522.280 | Y=0670.710-0680.030 | 1.300
P=0592 | X=0113.570-0249.340 | Y=0677.470-0688.710 | đường nhựa, bê tông xi măng:
P=0592 | X=0113.570-0345.120 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0593 | X=0113.570-0366.880 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0593 | X=0113.570-0208.520 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=0593 | X=0113.570-0336.740 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0593 | X=0113.570-0387.080 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0593 | X=0113.570-0383.260 | Y=0136.850-0148.090 | ra Đường Hà Huy Tập (đường Vĩnh Cửu cũ) đoạn từ Đường
P=0593 | X=0113.570-0374.350 | Y=0148.370-0159.610 | Quách Thị Trang đến Đường Hùng Vương có hiện trạng là
P=0593 | X=0113.570-0249.340 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=0593 | X=0096.050-0107.170 | Y=0167.530-0176.850 | 63
P=0593 | X=0405.980-0431.030 | Y=0167.530-0176.850 | 1.400
P=0593 | X=0461.930-0478.570 | Y=0167.530-0176.850 | 980
P=0593 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 840
P=0593 | X=0113.570-0354.680 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0593 | X=0113.570-0155.710 | Y=0190.570-0199.890 | >1.000m.
P=0593 | X=0113.570-0337.210 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0593 | X=0223.030-0281.470 | Y=0223.990-0235.230 | Đường Hùng
P=0593 | X=0304.680-0385.180 | Y=0223.990-0235.230 | Đường Quách Thị
P=0593 | X=0096.050-0203.640 | Y=0229.750-0240.990 | 64 Đường ấp Hòa Bình
P=0593 | X=0405.980-0431.030 | Y=0231.630-0240.950 | 6.900
P=0593 | X=0453.770-0478.820 | Y=0231.630-0240.950 | 4.800
P=0593 | X=0497.230-0522.280 | Y=0231.630-0240.950 | 4.100
P=0593 | X=0223.030-0254.310 | Y=0235.510-0246.750 | Vương
P=0593 | X=0304.680-0330.920 | Y=0237.390-0246.710 | Trang
P=0593 | X=0113.570-0375.820 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=0593 | X=0113.570-0390.460 | Y=0264.790-0276.030 | Hòa Bình đoạn từ Đường Hùng Vương đến Đường Quách Thị
P=0593 | X=0113.570-0349.450 | Y=0276.310-0287.550 | Trang có hiện trạng là đường nhựa, bê tông xi măng:
P=0593 | X=0096.050-0107.170 | Y=0284.220-0293.540 | 65
P=0593 | X=0405.980-0431.030 | Y=0284.220-0293.540 | 3.000
P=0593 | X=0453.770-0478.820 | Y=0284.220-0293.540 | 2.100
P=0593 | X=0497.230-0522.280 | Y=0284.220-0293.540 | 1.800
P=0593 | X=0113.570-0344.680 | Y=0293.860-0305.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0593 | X=0113.570-0390.760 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0593 | X=0113.570-0375.820 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=0593 | X=0113.570-0390.460 | Y=0340.660-0351.900 | Hòa Bình đoạn từ Đường Hùng Vương đến Đường Quách Thị
P=0593 | X=0113.570-0349.450 | Y=0351.940-0363.180 | Trang có hiện trạng là đường nhựa, bê tông xi măng:
P=0593 | X=0096.050-0345.120 | Y=0369.480-0383.800 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0593 | X=0405.980-0431.030 | Y=0374.480-0383.800 | 2.300
P=0593 | X=0453.770-0478.820 | Y=0374.480-0383.800 | 1.600
P=0593 | X=0497.230-0522.280 | Y=0374.480-0383.800 | 1.400
P=0593 | X=0113.570-0366.880 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0593 | X=0113.570-0208.520 | Y=0398.520-0409.760 | >500m đến ≤1.000m.
P=0593 | X=0113.570-0336.740 | Y=0416.040-0427.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0593 | X=0113.570-0375.820 | Y=0433.800-0445.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=0593 | X=0113.570-0390.460 | Y=0445.320-0456.560 | Hòa Bình đoạn từ Đường Hùng Vương đến Đường Quách Thị
P=0593 | X=0113.570-0349.450 | Y=0456.860-0468.100 | Trang có hiện trạng là đường nhựa, bê tông xi măng:
P=0593 | X=0096.050-0107.170 | Y=0470.500-0479.820 | 67
P=0593 | X=0405.980-0431.030 | Y=0470.500-0479.820 | 1.700
P=0593 | X=0453.770-0478.820 | Y=0470.500-0479.820 | 1.200
P=0593 | X=0497.230-0522.280 | Y=0470.500-0479.820 | 1.000
P=0593 | X=0113.570-0354.680 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0593 | X=0113.570-0155.710 | Y=0487.780-0497.100 | >1.000m.
P=0593 | X=0113.570-0337.210 | Y=0503.420-0514.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0593 | X=0113.570-0387.080 | Y=0521.180-0532.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0593 | X=0113.570-0366.940 | Y=0532.490-0543.730 | ra Đường ấp Hòa Bình đoạn từ Đường Hùng Vương đến
P=0593 | X=0113.570-0369.810 | Y=0544.010-0555.250 | Đường Quách Thị Trang có hiện trạng là đường nhựa, bê
P=0593 | X=0096.050-0173.730 | Y=0555.530-0566.970 | 68 tông xi măng:
P=0593 | X=0405.980-0431.030 | Y=0557.650-0566.970 | 2.700
P=0593 | X=0453.770-0478.820 | Y=0557.650-0566.970 | 1.900
P=0593 | X=0497.230-0522.280 | Y=0557.650-0566.970 | 1.600
P=0593 | X=0113.570-0344.650 | Y=0573.050-0584.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0593 | X=0113.570-0390.760 | Y=0590.570-0601.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0593 | X=0113.570-0387.080 | Y=0608.330-0619.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0593 | X=0113.570-0366.940 | Y=0619.870-0631.110 | ra Đường ấp Hòa Bình đoạn từ Đường Hùng Vương đến
P=0593 | X=0113.570-0369.810 | Y=0631.390-0642.630 | Đường Quách Thị Trang có hiện trạng là đường nhựa, bê
P=0593 | X=0113.570-0173.730 | Y=0642.910-0654.150 | tông xi măng:
P=0593 | X=0096.050-0345.120 | Y=0659.430-0671.670 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0593 | X=0405.980-0431.030 | Y=0659.430-0668.750 | 2.100
P=0593 | X=0453.770-0478.820 | Y=0659.430-0668.750 | 1.500
P=0593 | X=0497.230-0522.280 | Y=0659.430-0668.750 | 1.300
P=0593 | X=0113.570-0366.880 | Y=0677.950-0689.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0593 | X=0113.570-0208.520 | Y=0689.470-0700.710 | >500m đến ≤1.000m.
P=0593 | X=0113.570-0336.740 | Y=0706.770-0718.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0594 | X=0113.570-0387.080 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0594 | X=0113.570-0366.940 | Y=0090.020-0101.260 | ra Đường ấp Hòa Bình đoạn từ Đường Hùng Vương đến
P=0594 | X=0113.570-0369.810 | Y=0101.540-0112.780 | Đường Quách Thị Trang có hiện trạng là đường nhựa, bê
P=0594 | X=0113.570-0173.730 | Y=0113.060-0124.300 | tông xi măng:
P=0594 | X=0096.050-0107.170 | Y=0120.970-0130.290 | 70
P=0594 | X=0405.980-0431.030 | Y=0120.970-0130.290 | 1.500
P=0594 | X=0453.770-0478.820 | Y=0120.970-0130.290 | 1.100
P=0594 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 900
P=0594 | X=0113.570-0354.680 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0594 | X=0113.570-0155.710 | Y=0144.010-0153.330 | >1.000m.
P=0594 | X=0113.570-0337.210 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0594 | X=0113.570-0204.880 | Y=0177.170-0188.410 | Đường Nguyễn Hữu
P=0594 | X=0304.680-0363.090 | Y=0177.170-0188.410 | Đường Hùng
P=0594 | X=0223.030-0280.470 | Y=0179.050-0188.370 | Giáp ranh xã
P=0594 | X=0096.050-0107.170 | Y=0184.810-0194.130 | 71
P=0594 | X=0405.980-0431.030 | Y=0184.810-0194.130 | 5.900
P=0594 | X=0453.770-0478.820 | Y=0184.810-0194.130 | 4.100
P=0594 | X=0497.230-0522.270 | Y=0184.810-0194.130 | 3.500
P=0594 | X=0223.030-0276.660 | Y=0188.690-0199.930 | Nhơn Trạch
P=0594 | X=0304.680-0335.960 | Y=0188.690-0199.930 | Vương
P=0594 | X=0113.570-0137.410 | Y=0190.570-0199.890 | Cảnh
P=0594 | X=0113.570-0361.890 | Y=0206.470-0217.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0594 | X=0113.570-0369.830 | Y=0217.990-0229.230 | Nguyễn Hữu Cảnh đoạn từ Giáp ranh xã Nhơn Trạch đến
P=0594 | X=0113.570-0384.670 | Y=0229.510-0240.750 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0594 | X=0096.050-0141.570 | Y=0241.030-0252.470 | 72 măng:
P=0594 | X=0405.980-0431.030 | Y=0243.150-0252.470 | 2.900
P=0594 | X=0453.770-0478.820 | Y=0243.150-0252.470 | 2.000
P=0594 | X=0497.230-0522.280 | Y=0243.150-0252.470 | 1.700
P=0594 | X=0113.570-0344.650 | Y=0258.550-0269.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0594 | X=0113.570-0390.760 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0594 | X=0113.570-0361.890 | Y=0293.860-0305.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0594 | X=0113.570-0369.830 | Y=0305.380-0316.620 | Nguyễn Hữu Cảnh đoạn từ Giáp ranh xã Nhơn Trạch đến
P=0594 | X=0113.570-0384.670 | Y=0316.900-0328.140 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0594 | X=0113.570-0141.570 | Y=0328.420-0339.660 | măng:
P=0594 | X=0096.050-0345.140 | Y=0344.940-0356.940 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0594 | X=0405.980-0431.030 | Y=0344.940-0354.260 | 2.400
P=0594 | X=0453.770-0478.820 | Y=0344.940-0354.260 | 1.700
P=0594 | X=0497.230-0522.280 | Y=0344.940-0354.260 | 1.400
P=0594 | X=0113.570-0366.880 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0594 | X=0113.570-0208.520 | Y=0374.760-0386.000 | >500m đến ≤1.000m.
P=0594 | X=0113.570-0336.740 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0594 | X=0113.570-0361.890 | Y=0410.040-0421.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0594 | X=0113.570-0369.830 | Y=0421.560-0432.800 | Nguyễn Hữu Cảnh đoạn từ Giáp ranh xã Nhơn Trạch đến
P=0594 | X=0113.570-0384.670 | Y=0433.080-0444.320 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0594 | X=0113.570-0141.570 | Y=0444.600-0455.840 | măng:
P=0594 | X=0096.050-0107.170 | Y=0452.500-0461.820 | 74
P=0594 | X=0405.980-0431.030 | Y=0452.500-0461.820 | 1.600
P=0594 | X=0453.770-0478.820 | Y=0452.500-0461.820 | 1.100
P=0594 | X=0505.390-0522.030 | Y=0452.500-0461.820 | 960
P=0594 | X=0113.570-0354.680 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0594 | X=0113.570-0155.710 | Y=0475.540-0484.860 | >1.000m.
P=0594 | X=0113.570-0337.210 | Y=0491.180-0502.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0594 | X=0113.570-0387.080 | Y=0508.940-0520.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0594 | X=0113.570-0368.330 | Y=0520.220-0531.460 | ra Đường Nguyễn Hữu Cảnh đoạn từ Giáp ranh xã Nhơn
P=0594 | X=0113.570-0386.470 | Y=0531.740-0542.980 | Trạch đến Đường Hùng Vương có hiện trạng là đường nhựa,
P=0594 | X=0096.050-0187.650 | Y=0543.290-0554.730 | 75 bê tông xi măng:
P=0594 | X=0405.980-0431.030 | Y=0545.410-0554.730 | 2.600
P=0594 | X=0453.770-0478.820 | Y=0545.410-0554.730 | 1.800
P=0594 | X=0497.230-0522.280 | Y=0545.410-0554.730 | 1.600
P=0594 | X=0113.570-0344.650 | Y=0560.810-0572.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0594 | X=0113.570-0390.760 | Y=0578.330-0589.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0594 | X=0113.570-0387.080 | Y=0596.090-0607.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0594 | X=0113.570-0368.330 | Y=0607.610-0618.850 | ra Đường Nguyễn Hữu Cảnh đoạn từ Giáp ranh xã Nhơn
P=0594 | X=0113.570-0386.470 | Y=0619.150-0630.390 | Trạch đến Đường Hùng Vương có hiện trạng là đường nhựa,
P=0594 | X=0113.570-0187.650 | Y=0630.670-0641.910 | bê tông xi măng:
P=0594 | X=0096.050-0345.120 | Y=0647.190-0659.430 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0594 | X=0405.980-0431.030 | Y=0647.190-0656.510 | 2.200
P=0594 | X=0453.770-0478.820 | Y=0647.190-0656.510 | 1.500
P=0594 | X=0497.230-0522.280 | Y=0647.190-0656.510 | 1.300
P=0594 | X=0113.570-0366.880 | Y=0665.710-0676.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0594 | X=0113.570-0208.520 | Y=0677.230-0688.470 | >500m đến ≤1.000m.
P=0594 | X=0113.570-0336.740 | Y=0694.510-0705.750 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0595 | X=0113.570-0387.080 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0595 | X=0113.570-0368.330 | Y=0090.020-0101.260 | ra Đường Nguyễn Hữu Cảnh đoạn từ Giáp ranh xã Nhơn
P=0595 | X=0113.570-0386.470 | Y=0101.540-0112.780 | Trạch đến Đường Hùng Vương có hiện trạng là đường nhựa,
P=0595 | X=0113.570-0187.650 | Y=0113.060-0124.300 | bê tông xi măng:
P=0595 | X=0096.050-0107.170 | Y=0120.970-0130.290 | 77
P=0595 | X=0405.980-0431.030 | Y=0120.970-0130.290 | 1.400
P=0595 | X=0461.930-0478.570 | Y=0120.970-0130.290 | 980
P=0595 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 840
P=0595 | X=0113.570-0354.680 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0595 | X=0113.570-0155.710 | Y=0144.010-0153.330 | >1.000m.
P=0595 | X=0113.570-0337.210 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0595 | X=0304.680-0363.090 | Y=0177.170-0188.410 | Đường Hùng
P=0595 | X=0096.050-0298.730 | Y=0182.930-0194.170 | 78 Đường Nguyễn Văn Cừ Đường Trần Phú
P=0595 | X=0405.980-0431.030 | Y=0184.810-0194.130 | 7.100
P=0595 | X=0453.770-0478.820 | Y=0184.810-0194.130 | 5.000
P=0595 | X=0497.230-0522.280 | Y=0184.810-0194.130 | 4.300
P=0595 | X=0304.680-0335.960 | Y=0188.690-0199.930 | Vương
P=0595 | X=0113.570-0361.890 | Y=0206.470-0217.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0595 | X=0113.570-0381.340 | Y=0217.990-0229.230 | Nguyễn Văn Cừ đoạn từ Đường Trần Phú đến Đường Hùng
P=0595 | X=0113.570-0354.260 | Y=0229.510-0240.750 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0595 | X=0096.050-0107.170 | Y=0237.390-0246.710 | 79
P=0595 | X=0405.980-0431.030 | Y=0237.390-0246.710 | 3.000
P=0595 | X=0453.770-0478.810 | Y=0237.390-0246.710 | 2.100
P=0595 | X=0497.230-0522.280 | Y=0237.390-0246.710 | 1.800
P=0595 | X=0113.570-0344.650 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0595 | X=0113.570-0390.760 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0595 | X=0113.570-0361.890 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0595 | X=0113.570-0381.340 | Y=0293.860-0305.100 | Nguyễn Văn Cừ đoạn từ Đường Trần Phú đến Đường Hùng
P=0595 | X=0113.570-0354.260 | Y=0305.380-0316.620 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0595 | X=0096.050-0345.120 | Y=0322.900-0336.980 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0595 | X=0405.980-0431.030 | Y=0327.660-0336.980 | 2.300
P=0595 | X=0453.770-0478.820 | Y=0327.660-0336.980 | 1.500
P=0595 | X=0497.230-0522.280 | Y=0327.660-0336.980 | 1.400
P=0595 | X=0113.570-0366.880 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0595 | X=0113.570-0208.520 | Y=0351.700-0362.940 | >500m đến ≤1.000m.
P=0595 | X=0113.570-0336.740 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
