TABLE=029 | AREA=Xã Xuân Định | SECTION=non-agricultural | SEGMENTS=1
P=1074 | X=0090.020-0242.600 | Y=0299.140-0310.580 | 116 đường nhựa, bê tông xi măng:
P=1074 | X=0423.050-0439.690 | Y=0301.260-0310.580 | 470
P=1074 | X=0459.290-0475.930 | Y=0301.260-0310.580 | 330
P=1074 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 280
P=1074 | X=0106.850-0392.640 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1074 | X=0106.850-0330.490 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1074 | X=0106.850-0392.140 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1074 | X=0106.850-0395.020 | Y=0363.220-0374.460 | Đường tỉnh 765B đoạn từ Trung tâm Văn hóa Thể thao - Học tập
P=1074 | X=0106.850-0383.990 | Y=0374.760-0386.000 | Cộng đồng xã Xuân Bảo cũ đến Giáp ranh xã Cẩm Mỹ có hiện
P=1074 | X=0090.020-0278.630 | Y=0386.280-0397.720 | 117 trạng là đường nhựa, bê tông xi măng:
P=1074 | X=0423.050-0439.690 | Y=0388.400-0397.720 | 990
P=1074 | X=0459.290-0475.930 | Y=0388.400-0397.720 | 690
P=1074 | X=0505.390-0522.030 | Y=0388.400-0397.720 | 590
P=1074 | X=0106.850-0337.930 | Y=0403.800-0415.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1074 | X=0106.850-0384.050 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1074 | X=0106.850-0392.110 | Y=0439.080-0450.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1074 | X=0106.850-0395.020 | Y=0450.620-0461.860 | Đường tỉnh 765B đoạn từ Trung tâm Văn hóa Thể thao - Học tập
P=1074 | X=0106.850-0383.990 | Y=0462.140-0473.380 | Cộng đồng xã Xuân Bảo cũ đến Giáp ranh xã Cẩm Mỹ có hiện
P=1074 | X=0106.850-0278.630 | Y=0473.660-0484.900 | trạng là đường nhựa, bê tông xi măng:
P=1074 | X=0090.020-0338.400 | Y=0490.180-0502.420 | 118 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1074 | X=0423.050-0439.690 | Y=0490.180-0499.500 | 610
P=1074 | X=0459.290-0475.930 | Y=0490.180-0499.500 | 430
P=1074 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 370
P=1074 | X=0106.850-0393.740 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1074 | X=0106.850-0167.970 | Y=0519.980-0531.220 | đến ≤1.000m.
P=1074 | X=0106.850-0330.020 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1074 | X=0106.850-0392.110 | Y=0555.290-0566.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1074 | X=0106.850-0395.020 | Y=0566.810-0578.050 | Đường tỉnh 765B đoạn từ Trung tâm Văn hóa Thể thao - Học tập
P=1074 | X=0106.850-0383.990 | Y=0578.330-0589.570 | Cộng đồng xã Xuân Bảo cũ đến Giáp ranh xã Cẩm Mỹ có hiện
P=1074 | X=0090.020-0278.630 | Y=0589.850-0601.290 | 119 trạng là đường nhựa, bê tông xi măng:
P=1074 | X=0423.050-0439.690 | Y=0591.970-0601.290 | 420
P=1074 | X=0459.290-0475.930 | Y=0591.970-0601.290 | 290
P=1074 | X=0505.390-0522.030 | Y=0591.970-0601.290 | 250
P=1074 | X=0106.850-0392.640 | Y=0607.370-0618.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1074 | X=0106.850-0330.490 | Y=0624.910-0636.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1074 | X=0310.440-0385.660 | Y=0644.550-0653.870 | Ngã ba (hết ranh
P=1074 | X=0310.440-0390.030 | Y=0654.190-0665.430 | thửa đất số 97, tờ
P=1074 | X=0106.850-0216.390 | Y=0659.950-0671.190 | Đường ấp Nam Hà đi ấp
P=1074 | X=0228.100-0382.780 | Y=0665.710-0676.950 | Đường tỉnh 765B BĐĐC số 63, ấp
P=1074 | X=0090.020-0106.660 | Y=0667.590-0676.910 | 120
P=1074 | X=0414.860-0439.910 | Y=0667.590-0676.910 | 1.500
P=1074 | X=0451.130-0476.180 | Y=0667.590-0676.910 | 1.100
P=1074 | X=0505.390-0522.030 | Y=0667.590-0676.910 | 900
P=1074 | X=0106.850-0152.540 | Y=0671.470-0682.710 | Bưng Cần
P=1074 | X=0310.440-0398.360 | Y=0677.230-0688.470 | Bưng Cần, xã Xuân
P=1074 | X=0310.440-0334.440 | Y=0688.510-0699.750 | Định)
P=1074 | X=0090.020-0393.020 | Y=0706.290-0717.530 | 121 Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp Nam
P=1074 | X=0423.050-0439.690 | Y=0708.180-0717.500 | 760
P=1074 | X=0459.290-0475.930 | Y=0708.180-0717.500 | 530
P=1074 | X=0505.390-0522.030 | Y=0708.180-0717.500 | 460
P=1075 | X=0106.850-0383.820 | Y=0072.500-0083.740 | Hà đi ấp Bưng Cần đoạn từ Đường tỉnh 765B đến Ngã ba (hết
P=1075 | X=0106.850-0374.610 | Y=0084.020-0095.260 | ranh thửa đất số 97, tờ BĐĐC số 63, ấp Bưng Cần, xã Xuân
P=1075 | X=0106.850-0340.330 | Y=0095.540-0106.780 | Định) có hiện trạng là đường nhựa, bê tông xi măng:
P=1075 | X=0106.850-0337.930 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1075 | X=0106.850-0384.020 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1075 | X=0106.850-0393.020 | Y=0148.370-0159.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp Nam
P=1075 | X=0106.850-0383.820 | Y=0159.650-0170.890 | Hà đi ấp Bưng Cần đoạn từ Đường tỉnh 765B đến Ngã ba (hết
P=1075 | X=0106.850-0374.610 | Y=0171.170-0182.410 | ranh thửa đất số 97, tờ BĐĐC số 63, ấp Bưng Cần, xã Xuân
P=1075 | X=0106.850-0340.330 | Y=0182.690-0193.930 | Định) có hiện trạng là đường nhựa, bê tông xi măng:
P=1075 | X=0090.020-0338.410 | Y=0199.470-0211.470 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1075 | X=0423.050-0439.690 | Y=0199.470-0208.790 | 590
P=1075 | X=0459.290-0475.930 | Y=0199.470-0208.790 | 410
P=1075 | X=0505.390-0522.030 | Y=0199.470-0208.790 | 350
P=1075 | X=0106.850-0393.740 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1075 | X=0106.850-0167.970 | Y=0229.270-0240.510 | đến ≤1.000m.
P=1075 | X=0106.850-0330.020 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1075 | X=0106.850-0393.020 | Y=0264.550-0275.790 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp Nam
P=1075 | X=0106.850-0383.820 | Y=0276.070-0287.310 | Hà đi ấp Bưng Cần đoạn từ Đường tỉnh 765B đến Ngã ba (hết
P=1075 | X=0106.850-0374.610 | Y=0287.620-0298.860 | ranh thửa đất số 97, tờ BĐĐC số 63, ấp Bưng Cần, xã Xuân
P=1075 | X=0090.020-0340.330 | Y=0299.140-0310.580 | 123 Định) có hiện trạng là đường nhựa, bê tông xi măng:
P=1075 | X=0423.050-0439.690 | Y=0301.260-0310.580 | 470
P=1075 | X=0459.290-0475.930 | Y=0301.260-0310.580 | 330
P=1075 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 280
P=1075 | X=0106.850-0392.640 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1075 | X=0106.850-0330.490 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1075 | X=0106.850-0392.110 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1075 | X=0106.850-0381.250 | Y=0363.220-0374.460 | Đường ấp Nam Hà đi ấp Bưng Cần đoạn từ Đường tỉnh 765B
P=1075 | X=0106.850-0385.880 | Y=0374.760-0386.000 | đến Ngã ba (hết ranh thửa đất số 97, tờ BĐĐC số 63, ấp Bưng
P=1075 | X=0106.850-0373.150 | Y=0386.280-0397.520 | Cần, xã Xuân Định) có hiện trạng là đường nhựa, bê tông xi
P=1075 | X=0090.020-0106.660 | Y=0394.160-0403.480 | 124
P=1075 | X=0423.050-0439.690 | Y=0394.160-0403.480 | 680
P=1075 | X=0459.290-0475.930 | Y=0394.160-0403.480 | 480
P=1075 | X=0505.390-0522.030 | Y=0394.160-0403.480 | 410
P=1075 | X=0106.850-0134.850 | Y=0397.800-0409.040 | măng:
P=1075 | X=0106.850-0337.930 | Y=0415.320-0426.560 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1075 | X=0106.850-0384.020 | Y=0432.840-0444.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1075 | X=0106.850-0392.110 | Y=0450.620-0461.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1075 | X=0106.850-0381.250 | Y=0462.140-0473.380 | Đường ấp Nam Hà đi ấp Bưng Cần đoạn từ Đường tỉnh 765B
P=1075 | X=0106.850-0385.880 | Y=0473.660-0484.900 | đến Ngã ba (hết ranh thửa đất số 97, tờ BĐĐC số 63, ấp Bưng
P=1075 | X=0106.850-0373.150 | Y=0485.180-0496.420 | Cần, xã Xuân Định) có hiện trạng là đường nhựa, bê tông xi
P=1075 | X=0106.850-0134.850 | Y=0496.460-0507.700 | măng:
P=1075 | X=0090.020-0106.660 | Y=0507.460-0516.780 | 125
P=1075 | X=0423.050-0439.690 | Y=0507.460-0516.780 | 530
P=1075 | X=0459.290-0475.930 | Y=0507.460-0516.780 | 370
P=1075 | X=0505.390-0522.030 | Y=0507.460-0516.780 | 320
P=1075 | X=0106.850-0338.400 | Y=0513.980-0525.220 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1075 | X=0106.850-0393.740 | Y=0531.500-0542.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1075 | X=0106.850-0167.970 | Y=0543.050-0554.290 | đến ≤1.000m.
P=1075 | X=0106.850-0330.020 | Y=0560.570-0571.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1075 | X=0106.850-0392.110 | Y=0578.330-0589.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1075 | X=0106.850-0381.250 | Y=0589.850-0601.090 | Đường ấp Nam Hà đi ấp Bưng Cần đoạn từ Đường tỉnh 765B
P=1075 | X=0106.850-0385.880 | Y=0601.370-0612.610 | đến Ngã ba (hết ranh thửa đất số 97, tờ BĐĐC số 63, ấp Bưng
P=1075 | X=0106.850-0373.150 | Y=0612.890-0624.130 | Cần, xã Xuân Định) có hiện trạng là đường nhựa, bê tông xi
P=1075 | X=0090.020-0106.660 | Y=0620.790-0630.110 | 126
P=1075 | X=0423.050-0439.690 | Y=0620.790-0630.110 | 420
P=1075 | X=0459.290-0475.930 | Y=0620.790-0630.110 | 290
P=1075 | X=0505.390-0522.030 | Y=0620.790-0630.110 | 250
P=1075 | X=0106.850-0134.850 | Y=0624.430-0635.670 | măng:
P=1075 | X=0106.850-0392.640 | Y=0641.950-0653.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1075 | X=0106.850-0330.490 | Y=0659.470-0670.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1075 | X=0106.850-0207.530 | Y=0677.230-0688.470 | Đường Tân Mỹ - Nhân
P=1075 | X=0228.100-0383.020 | Y=0682.750-0693.990 | Đường tỉnh 765B Hết mét thứ 500
P=1075 | X=0090.020-0106.660 | Y=0684.630-0693.950 | 127
P=1075 | X=0414.860-0439.910 | Y=0684.630-0693.950 | 1.800
P=1075 | X=0451.130-0476.180 | Y=0684.630-0693.950 | 1.300
P=1075 | X=0497.230-0522.280 | Y=0684.630-0693.950 | 1.100
P=1075 | X=0106.850-0133.570 | Y=0688.510-0699.750 | Nghĩa
P=1075 | X=0090.020-0397.580 | Y=0706.290-0717.530 | 128 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=1075 | X=0423.050-0439.690 | Y=0708.180-0717.500 | 820
P=1075 | X=0459.290-0475.930 | Y=0708.180-0717.500 | 570
P=1075 | X=0505.390-0522.030 | Y=0708.180-0717.500 | 490
P=1076 | X=0106.850-0384.940 | Y=0072.500-0083.740 | Nhân Nghĩa đoạn từ Đường tỉnh 765B đến Hết mét thứ 500 có
P=1076 | X=0106.850-0300.460 | Y=0084.020-0095.260 | hiện trạng là đường nhựa, bê tông xi măng:
P=1076 | X=0106.850-0337.930 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1076 | X=0106.850-0384.020 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1076 | X=0106.850-0397.580 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=1076 | X=0106.850-0384.940 | Y=0148.370-0159.610 | Nhân Nghĩa đoạn từ Đường tỉnh 765B đến Hết mét thứ 500 có
P=1076 | X=0106.850-0300.460 | Y=0159.650-0170.890 | hiện trạng là đường nhựa, bê tông xi măng:
P=1076 | X=0090.020-0338.400 | Y=0177.170-0191.490 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1076 | X=0423.050-0439.690 | Y=0182.170-0191.490 | 640
P=1076 | X=0459.290-0475.930 | Y=0182.170-0191.490 | 450
P=1076 | X=0505.390-0522.030 | Y=0182.170-0191.490 | 380
P=1076 | X=0106.850-0393.740 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1076 | X=0106.850-0167.970 | Y=0206.230-0217.470 | đến ≤1.000m.
P=1076 | X=0106.850-0330.020 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1076 | X=0106.850-0397.580 | Y=0241.510-0252.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=1076 | X=0106.850-0384.940 | Y=0253.030-0264.270 | Nhân Nghĩa đoạn từ Đường tỉnh 765B đến Hết mét thứ 500 có
P=1076 | X=0106.850-0300.460 | Y=0264.550-0275.790 | hiện trạng là đường nhựa, bê tông xi măng:
P=1076 | X=0090.020-0106.660 | Y=0272.430-0281.750 | 130
P=1076 | X=0423.050-0439.690 | Y=0272.430-0281.750 | 470
P=1076 | X=0459.290-0475.930 | Y=0272.430-0281.750 | 330
P=1076 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 280
P=1076 | X=0106.850-0392.640 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1076 | X=0106.850-0330.490 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1076 | X=0106.850-0392.110 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1076 | X=0106.850-0391.510 | Y=0328.900-0340.140 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Đường tỉnh 765B đến Hết
P=1076 | X=0106.850-0370.340 | Y=0340.420-0351.660 | mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1076 | X=0090.020-0106.660 | Y=0348.300-0357.620 | 131
P=1076 | X=0423.050-0439.690 | Y=0348.300-0357.620 | 740
P=1076 | X=0459.290-0475.930 | Y=0348.300-0357.620 | 520
P=1076 | X=0505.390-0522.030 | Y=0348.300-0357.620 | 440
P=1076 | X=0106.850-0337.930 | Y=0357.700-0368.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1076 | X=0106.850-0384.020 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1076 | X=0106.850-0392.110 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1076 | X=0106.850-0391.510 | Y=0404.520-0415.760 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Đường tỉnh 765B đến Hết
P=1076 | X=0106.850-0370.340 | Y=0416.040-0427.280 | mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1076 | X=0090.020-0338.400 | Y=0433.560-0447.880 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1076 | X=0423.050-0439.690 | Y=0438.560-0447.880 | 580
P=1076 | X=0459.290-0475.930 | Y=0438.560-0447.880 | 410
P=1076 | X=0505.390-0522.030 | Y=0438.560-0447.880 | 350
P=1076 | X=0106.850-0393.740 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1076 | X=0106.850-0167.970 | Y=0462.620-0473.860 | đến ≤1.000m.
P=1076 | X=0106.850-0330.020 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1076 | X=0106.850-0392.110 | Y=0497.900-0509.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1076 | X=0106.850-0391.510 | Y=0509.420-0520.660 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Đường tỉnh 765B đến Hết
P=1076 | X=0106.850-0370.340 | Y=0520.940-0532.180 | mét thứ 500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1076 | X=0090.020-0106.660 | Y=0528.820-0538.140 | 133
P=1076 | X=0423.050-0439.690 | Y=0528.820-0538.140 | 420
P=1076 | X=0459.290-0475.930 | Y=0528.820-0538.140 | 290
P=1076 | X=0505.390-0522.030 | Y=0528.820-0538.140 | 250
P=1076 | X=0106.850-0392.640 | Y=0538.250-0549.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1076 | X=0106.850-0330.490 | Y=0555.770-0567.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1076 | X=0310.440-0391.580 | Y=0575.410-0584.730 | Giáp ranh xã Cẩm
P=1076 | X=0106.850-0207.530 | Y=0579.290-0590.530 | Đường Tân Mỹ - Nhân
P=1076 | X=0228.100-0375.590 | Y=0585.050-0596.290 | Hết mét thứ 500 Mỹ và phường
P=1076 | X=0090.020-0106.660 | Y=0586.930-0596.250 | 134
P=1076 | X=0414.860-0439.910 | Y=0586.930-0596.250 | 1.400
P=1076 | X=0459.290-0475.930 | Y=0586.930-0596.250 | 980
P=1076 | X=0505.390-0522.030 | Y=0586.930-0596.250 | 840
P=1076 | X=0106.850-0133.570 | Y=0590.810-0602.050 | Nghĩa
P=1076 | X=0310.440-0356.120 | Y=0598.450-0607.770 | Hàng Gòn
P=1076 | X=0106.850-0397.580 | Y=0614.330-0625.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=1076 | X=0106.850-0392.540 | Y=0625.870-0637.110 | Nhân Nghĩa đoạn từ Hết mét thứ 500 đến Giáp ranh xã Cẩm Mỹ
P=1076 | X=0106.850-0382.990 | Y=0637.390-0648.630 | và phường Hàng Gòn có hiện trạng là đường nhựa, bê tông xi
P=1076 | X=0090.020-0134.850 | Y=0648.910-0660.350 | 135 măng:
P=1076 | X=0423.050-0439.690 | Y=0651.030-0660.350 | 700
P=1076 | X=0459.290-0475.930 | Y=0651.030-0660.350 | 490
P=1076 | X=0505.390-0522.030 | Y=0651.030-0660.350 | 420
P=1076 | X=0106.850-0337.930 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1076 | X=0106.850-0384.020 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1076 | X=0090.020-0397.580 | Y=0701.730-0712.970 | 136 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=1076 | X=0423.050-0439.690 | Y=0703.620-0712.940 | 590
P=1076 | X=0459.290-0475.930 | Y=0703.620-0712.940 | 410
P=1076 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 350
P=1077 | X=0106.850-0392.540 | Y=0072.500-0083.740 | Nhân Nghĩa đoạn từ Hết mét thứ 500 đến Giáp ranh xã Cẩm Mỹ
P=1077 | X=0106.850-0382.990 | Y=0084.020-0095.260 | và phường Hàng Gòn có hiện trạng là đường nhựa, bê tông xi
P=1077 | X=0106.850-0134.850 | Y=0095.540-0106.780 | măng:
P=1077 | X=0106.850-0338.400 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1077 | X=0106.850-0393.740 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1077 | X=0106.850-0167.970 | Y=0142.130-0153.370 | đến ≤1.000m.
P=1077 | X=0106.850-0330.020 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1077 | X=0106.850-0397.580 | Y=0177.170-0188.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân Mỹ -
P=1077 | X=0106.850-0392.540 | Y=0188.690-0199.930 | Nhân Nghĩa đoạn từ Hết mét thứ 500 đến Giáp ranh xã Cẩm Mỹ
P=1077 | X=0106.850-0382.990 | Y=0200.230-0211.470 | và phường Hàng Gòn có hiện trạng là đường nhựa, bê tông xi
P=1077 | X=0090.020-0134.850 | Y=0213.630-0223.190 | 137 măng:
P=1077 | X=0423.050-0439.690 | Y=0213.870-0223.190 | 470
P=1077 | X=0459.290-0475.930 | Y=0213.870-0223.190 | 330
P=1077 | X=0505.390-0522.030 | Y=0213.870-0223.190 | 280
P=1077 | X=0106.850-0392.640 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1077 | X=0106.850-0330.490 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1077 | X=0106.850-0392.110 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1077 | X=0106.850-0392.850 | Y=0276.070-0287.310 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Hết mét thứ 500 đến Giáp
P=1077 | X=0106.850-0384.460 | Y=0287.620-0298.860 | ranh xã Cẩm Mỹ và phường Hàng Gòn có hiện trạng là đường
P=1077 | X=0090.020-0209.960 | Y=0299.140-0310.580 | 138 nhựa, bê tông xi măng:
P=1077 | X=0423.050-0439.690 | Y=0301.260-0310.580 | 630
P=1077 | X=0459.290-0475.930 | Y=0301.260-0310.580 | 440
P=1077 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 380
P=1077 | X=0106.850-0337.930 | Y=0316.660-0327.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1077 | X=0106.850-0384.020 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1077 | X=0106.850-0392.140 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1077 | X=0106.850-0392.850 | Y=0363.220-0374.460 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Hết mét thứ 500 đến Giáp
P=1077 | X=0106.850-0384.460 | Y=0374.760-0386.000 | ranh xã Cẩm Mỹ và phường Hàng Gòn có hiện trạng là đường
P=1077 | X=0106.850-0209.960 | Y=0386.280-0397.520 | nhựa, bê tông xi măng:
P=1077 | X=0090.020-0338.400 | Y=0403.040-0415.040 | 139 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1077 | X=0423.050-0439.690 | Y=0403.040-0412.360 | 530
P=1077 | X=0459.290-0475.930 | Y=0403.040-0412.360 | 370
P=1077 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 320
P=1077 | X=0106.850-0393.740 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1077 | X=0106.850-0167.970 | Y=0432.840-0444.080 | đến ≤1.000m.
P=1077 | X=0106.850-0330.020 | Y=0450.380-0461.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1077 | X=0106.850-0392.110 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1077 | X=0106.850-0392.850 | Y=0479.660-0490.900 | Đường Tân Mỹ - Nhân Nghĩa đoạn từ Hết mét thứ 500 đến Giáp
P=1077 | X=0106.850-0384.460 | Y=0491.180-0502.420 | ranh xã Cẩm Mỹ và phường Hàng Gòn có hiện trạng là đường
P=1077 | X=0090.020-0209.960 | Y=0502.460-0514.140 | 140 nhựa, bê tông xi măng:
P=1077 | X=0423.050-0439.690 | Y=0504.820-0514.140 | 420
P=1077 | X=0459.290-0475.930 | Y=0504.820-0514.140 | 290
P=1077 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 250
P=1077 | X=0106.850-0392.640 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1077 | X=0106.850-0330.490 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1077 | X=0310.440-0392.390 | Y=0555.290-0566.530 | Phân hiệu Trường
P=1077 | X=0106.850-0217.360 | Y=0561.050-0572.290 | Đường Xuân Bảo - Xuân
P=1077 | X=0228.100-0391.660 | Y=0566.810-0578.050 | Đường tỉnh 765B Tiểu học Mỹ Hạnh
P=1077 | X=0090.020-0106.660 | Y=0568.690-0578.010 | 141
P=1077 | X=0414.860-0439.910 | Y=0568.690-0578.010 | 1.900
P=1077 | X=0451.130-0476.180 | Y=0568.690-0578.010 | 1.300
P=1077 | X=0497.230-0522.280 | Y=0568.690-0578.010 | 1.100
P=1077 | X=0106.850-0123.640 | Y=0574.450-0583.770 | Tây
P=1077 | X=0310.440-0351.000 | Y=0580.210-0589.530 | (+300 m)
P=1077 | X=0106.850-0381.090 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1077 | X=0106.850-0397.190 | Y=0607.610-0618.850 | Bảo - Xuân Tây đoạn từ Đường tỉnh 765B đến Phân hiệu Trường
P=1077 | X=0106.850-0377.980 | Y=0619.150-0630.390 | Tiểu học Mỹ Hạnh (+300 m) có hiện trạng là đường nhựa, bê
P=1077 | X=0090.020-0167.010 | Y=0630.670-0642.110 | 142 tông xi măng:
P=1077 | X=0423.050-0439.690 | Y=0632.790-0642.110 | 940
P=1077 | X=0459.290-0475.930 | Y=0632.790-0642.110 | 660
P=1077 | X=0505.390-0522.030 | Y=0632.790-0642.110 | 560
P=1077 | X=0106.850-0337.930 | Y=0648.190-0659.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1077 | X=0106.850-0384.020 | Y=0665.710-0676.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1077 | X=0106.850-0381.090 | Y=0683.470-0694.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1077 | X=0090.020-0397.190 | Y=0694.750-0705.990 | 143 Bảo - Xuân Tây đoạn từ Đường tỉnh 765B đến Phân hiệu Trường
P=1077 | X=0423.050-0439.690 | Y=0696.630-0705.950 | 680
P=1077 | X=0459.290-0475.930 | Y=0696.630-0705.950 | 480
P=1077 | X=0505.390-0522.030 | Y=0696.630-0705.950 | 410
