TABLE=055 | AREA=Xã Phú Lý | SECTION=non-agricultural | SEGMENTS=1
P=1828 | X=0262.660-0335.330 | Y=0217.270-0228.510 | tờ bản đồ số 37,
P=1828 | X=0262.660-0338.480 | Y=0228.790-0240.030 | BĐĐC xã Phú Lý
P=1828 | X=0108.530-0322.760 | Y=0246.550-0257.790 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1828 | X=0108.530-0330.450 | Y=0258.070-0269.310 | Đường vào khu khuyến khích phát triển chăn nuôi
P=1828 | X=0108.530-0343.400 | Y=0269.590-0280.830 | đoạn từ Đường tỉnh 761 đến Bên phải: hết ranh thửa
P=1828 | X=0108.530-0335.400 | Y=0281.110-0292.350 | đất số 194, tờ bản đồ số 37, BĐĐC xã Phú Lý. Bên
P=1828 | X=0108.530-0315.880 | Y=0292.660-0303.900 | trái: hết ranh thửa đất số 234, tờ bản đồ số 37,
P=1828 | X=0093.620-0331.160 | Y=0303.940-0315.620 | 51 BĐĐC xã Phú Lý có hiện trạng là đường nhựa, bê
P=1828 | X=0389.420-0406.060 | Y=0306.300-0315.620 | 340
P=1828 | X=0450.410-0467.050 | Y=0306.300-0315.620 | 240
P=1828 | X=0505.390-0522.030 | Y=0306.300-0315.620 | 200
P=1828 | X=0108.530-0168.690 | Y=0315.460-0326.700 | tông xi măng:
P=1828 | X=0108.530-0339.610 | Y=0332.980-0344.220 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1828 | X=0108.530-0321.780 | Y=0350.500-0361.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1828 | X=0108.530-0169.650 | Y=0362.020-0373.260 | thông ≤500m.
P=1828 | X=0108.530-0322.760 | Y=0379.800-0391.040 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1828 | X=0108.530-0330.440 | Y=0391.320-0402.560 | Đường vào khu khuyến khích phát triển chăn nuôi
P=1828 | X=0108.530-0343.400 | Y=0402.840-0414.080 | đoạn từ Đường tỉnh 761 đến Bên phải: hết ranh thửa
P=1828 | X=0108.530-0335.400 | Y=0414.360-0425.600 | đất số 194, tờ bản đồ số 37, BĐĐC xã Phú Lý. Bên
P=1828 | X=0108.530-0315.890 | Y=0425.880-0437.120 | trái: hết ranh thửa đất số 234, tờ bản đồ số 37,
P=1828 | X=0108.530-0331.160 | Y=0437.400-0448.640 | BĐĐC xã Phú Lý có hiện trạng là đường nhựa, bê
P=1828 | X=0093.620-0168.690 | Y=0448.160-0460.180 | 52 tông xi măng:
P=1828 | X=0389.420-0406.060 | Y=0448.160-0457.480 | 270
P=1828 | X=0450.410-0467.050 | Y=0448.160-0457.480 | 190
P=1828 | X=0505.390-0522.030 | Y=0448.160-0457.480 | 160
P=1828 | X=0108.530-0340.120 | Y=0466.220-0477.460 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1828 | X=0108.530-0321.780 | Y=0483.740-0494.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1828 | X=0108.530-0243.350 | Y=0495.260-0506.500 | thông từ >500m đến ≤1.000m.
P=1828 | X=0108.530-0331.700 | Y=0512.780-0524.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1828 | X=0108.530-0322.760 | Y=0530.540-0541.780 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1828 | X=0108.530-0330.430 | Y=0542.090-0553.330 | Đường vào khu khuyến khích phát triển chăn nuôi
P=1828 | X=0108.530-0343.400 | Y=0553.610-0564.850 | đoạn từ Đường tỉnh 761 đến Bên phải: hết ranh thửa
P=1828 | X=0108.530-0335.400 | Y=0565.130-0576.370 | đất số 194, tờ bản đồ số 37, BĐĐC xã Phú Lý. Bên
P=1828 | X=0108.530-0315.890 | Y=0576.650-0587.890 | trái: hết ranh thửa đất số 234, tờ bản đồ số 37,
P=1828 | X=0093.620-0331.160 | Y=0588.170-0599.610 | 53 BĐĐC xã Phú Lý có hiện trạng là đường nhựa, bê
P=1828 | X=0389.420-0406.060 | Y=0590.290-0599.610 | 240
P=1828 | X=0450.410-0467.050 | Y=0590.290-0599.610 | 170
P=1828 | X=0505.390-0522.030 | Y=0590.290-0599.610 | 140
P=1828 | X=0108.530-0168.690 | Y=0599.690-0610.930 | tông xi măng:
P=1828 | X=0108.530-0321.780 | Y=0617.230-0628.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1828 | X=0108.530-0178.550 | Y=0630.390-0639.710 | thông >1.000m.
P=1828 | X=0108.530-0332.170 | Y=0646.030-0657.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1828 | X=0108.530-0341.240 | Y=0663.790-0675.030 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1828 | X=0108.530-0337.160 | Y=0675.310-0686.550 | và thông ra Đường vào khu khuyến khích phát triển
P=1828 | X=0093.620-0104.740 | Y=0682.950-0692.270 | 54
P=1828 | X=0389.420-0406.060 | Y=0682.950-0692.270 | 310
P=1828 | X=0450.410-0467.050 | Y=0682.950-0692.270 | 220
P=1828 | X=0505.390-0522.030 | Y=0682.950-0692.270 | 190
P=1828 | X=0108.530-0343.240 | Y=0686.830-0698.070 | chăn nuôi đoạn từ Đường tỉnh 761 đến Bên phải: hết
P=1828 | X=0108.530-0345.080 | Y=0698.350-0709.590 | ranh thửa đất số 194, tờ bản đồ số 37, BĐĐC xã Phú
P=1829 | X=0108.530-0335.960 | Y=0072.500-0083.740 | Lý. Bên trái: hết ranh thửa đất số 234, tờ bản đồ số
P=1829 | X=0108.530-0333.890 | Y=0084.020-0095.260 | 37, BĐĐC xã Phú Lý có hiện trạng là đường nhựa,
P=1829 | X=0108.530-0182.610 | Y=0095.540-0106.780 | bê tông xi măng:
P=1829 | X=0108.530-0339.610 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1829 | X=0108.530-0321.780 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1829 | X=0108.530-0169.650 | Y=0142.130-0153.370 | thông ≤500m.
P=1829 | X=0108.530-0341.240 | Y=0159.650-0170.890 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1829 | X=0108.530-0337.160 | Y=0171.170-0182.410 | và thông ra Đường vào khu khuyến khích phát triển
P=1829 | X=0108.530-0343.240 | Y=0182.690-0193.930 | chăn nuôi đoạn từ Đường tỉnh 761 đến Bên phải: hết
P=1829 | X=0108.530-0345.050 | Y=0194.210-0205.450 | ranh thửa đất số 194, tờ bản đồ số 37, BĐĐC xã Phú
P=1829 | X=0108.530-0335.960 | Y=0205.750-0216.990 | Lý. Bên trái: hết ranh thửa đất số 234, tờ bản đồ số
P=1829 | X=0108.530-0333.890 | Y=0217.270-0228.510 | 37, BĐĐC xã Phú Lý có hiện trạng là đường nhựa,
P=1829 | X=0093.620-0182.610 | Y=0228.270-0240.030 | 55 bê tông xi măng:
P=1829 | X=0389.420-0406.060 | Y=0228.270-0237.590 | 240
P=1829 | X=0450.410-0467.050 | Y=0228.270-0237.590 | 170
P=1829 | X=0505.390-0522.030 | Y=0228.270-0237.590 | 140
P=1829 | X=0108.530-0340.080 | Y=0246.310-0257.550 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1829 | X=0108.530-0321.780 | Y=0263.830-0275.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1829 | X=0108.530-0243.380 | Y=0275.350-0286.590 | thông từ >500m đến ≤1.000m.
P=1829 | X=0108.530-0331.700 | Y=0292.900-0304.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1829 | X=0108.530-0341.240 | Y=0310.660-0321.900 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1829 | X=0108.530-0337.160 | Y=0321.940-0333.180 | và thông ra Đường vào khu khuyến khích phát triển
P=1829 | X=0108.530-0343.240 | Y=0333.460-0344.700 | chăn nuôi đoạn từ Đường tỉnh 761 đến Bên phải: hết
P=1829 | X=0108.530-0345.080 | Y=0344.980-0356.220 | ranh thửa đất số 194, tờ bản đồ số 37, BĐĐC xã Phú
P=1829 | X=0108.530-0335.960 | Y=0356.500-0367.740 | Lý. Bên trái: hết ranh thửa đất số 234, tờ bản đồ số
P=1829 | X=0093.620-0333.890 | Y=0368.040-0379.480 | 56 37, BĐĐC xã Phú Lý có hiện trạng là đường nhựa,
P=1829 | X=0389.420-0406.060 | Y=0370.160-0379.480 | 220
P=1829 | X=0450.410-0467.050 | Y=0370.160-0379.480 | 150
P=1829 | X=0505.390-0522.030 | Y=0370.160-0379.480 | 130
P=1829 | X=0108.530-0182.610 | Y=0379.560-0390.800 | bê tông xi măng:
P=1829 | X=0108.530-0321.780 | Y=0397.080-0408.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1829 | X=0108.530-0178.550 | Y=0410.480-0419.800 | thông >1.000m.
P=1829 | X=0108.530-0332.170 | Y=0426.120-0437.360 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1829 | X=0262.660-0332.850 | Y=0443.880-0455.120 | Đường tỉnh 761
P=1829 | X=0192.070-0335.730 | Y=0455.420-0466.660 | Đường tỉnh 761 (Đoạn từ ngã ba
P=1829 | X=0192.070-0338.370 | Y=0466.940-0478.180 | (đoạn giáp ranh đường 322B đến
P=1829 | X=0093.620-0166.380 | Y=0472.700-0483.940 | 57 Đường 322B
P=1829 | X=0389.420-0406.060 | Y=0474.580-0483.900 | 670
P=1829 | X=0450.410-0467.050 | Y=0474.580-0483.900 | 470
P=1829 | X=0505.390-0522.030 | Y=0474.580-0483.900 | 400
P=1829 | X=0192.070-0339.570 | Y=0478.220-0489.460 | xã Trị An đến ranh Khu bảo tồn
P=1829 | X=0192.070-0336.920 | Y=0489.740-0500.980 | cầu suối Kóp) thiên nhiên - văn
P=1829 | X=0262.660-0327.230 | Y=0501.260-0512.500 | hóa Đồng Nai)
P=1829 | X=0108.530-0322.760 | Y=0519.020-0530.260 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1829 | X=0108.530-0326.600 | Y=0530.540-0541.780 | Đường 322B đoạn từ Đường tỉnh 761 (đoạn giáp
P=1829 | X=0108.530-0327.810 | Y=0542.090-0553.330 | ranh xã Trị An đến cầu suối Kóp) đến Đường tỉnh
P=1829 | X=0108.530-0342.200 | Y=0553.610-0564.850 | 761 (Đoạn từ ngã ba đường 322B đến ranh Khu bảo
P=1829 | X=0108.530-0337.880 | Y=0565.130-0576.370 | tồn thiên nhiên - văn hóa Đồng Nai) có hiện trạng là
P=1829 | X=0093.620-0104.740 | Y=0573.010-0582.330 | 58
P=1829 | X=0389.420-0406.060 | Y=0573.010-0582.330 | 280
P=1829 | X=0450.410-0467.050 | Y=0573.010-0582.330 | 200
P=1829 | X=0505.390-0522.030 | Y=0573.010-0582.330 | 170
P=1829 | X=0108.530-0244.280 | Y=0576.650-0587.890 | đường nhựa, bê tông xi măng:
P=1829 | X=0108.530-0339.610 | Y=0594.170-0605.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1829 | X=0108.530-0321.780 | Y=0611.690-0622.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1829 | X=0108.530-0169.650 | Y=0623.230-0634.470 | thông ≤500m.
P=1829 | X=0108.530-0322.760 | Y=0640.750-0651.990 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1829 | X=0108.530-0326.600 | Y=0652.270-0663.510 | Đường 322B đoạn từ Đường tỉnh 761 (đoạn giáp
P=1829 | X=0108.530-0327.810 | Y=0663.790-0675.030 | ranh xã Trị An đến cầu suối Kóp) đến Đường tỉnh
P=1829 | X=0093.620-0104.740 | Y=0671.430-0680.750 | 59
P=1829 | X=0389.420-0406.060 | Y=0671.430-0680.750 | 220
P=1829 | X=0450.410-0467.050 | Y=0671.430-0680.750 | 150
P=1829 | X=0505.390-0522.030 | Y=0671.430-0680.750 | 130
P=1829 | X=0108.530-0342.200 | Y=0675.310-0686.550 | 761 (Đoạn từ ngã ba đường 322B đến ranh Khu bảo
P=1829 | X=0108.530-0337.880 | Y=0686.830-0698.070 | tồn thiên nhiên - văn hóa Đồng Nai) có hiện trạng là
P=1829 | X=0108.530-0244.310 | Y=0698.350-0709.590 | đường nhựa, bê tông xi măng:
P=1830 | X=0108.530-0340.080 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1830 | X=0108.530-0321.780 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1830 | X=0108.530-0243.350 | Y=0107.540-0118.780 | thông từ >500m đến ≤1.000m.
P=1830 | X=0108.530-0331.700 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1830 | X=0108.530-0322.760 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1830 | X=0108.530-0326.600 | Y=0154.370-0165.610 | Đường 322B đoạn từ Đường tỉnh 761 (đoạn giáp
P=1830 | X=0108.530-0327.810 | Y=0165.650-0176.890 | ranh xã Trị An đến cầu suối Kóp) đến Đường tỉnh
P=1830 | X=0108.530-0342.200 | Y=0177.170-0188.410 | 761 (Đoạn từ ngã ba đường 322B đến ranh Khu bảo
P=1830 | X=0108.530-0337.880 | Y=0188.690-0199.930 | tồn thiên nhiên - văn hóa Đồng Nai) có hiện trạng là
P=1830 | X=0093.620-0104.740 | Y=0196.570-0205.890 | 60
P=1830 | X=0389.420-0406.060 | Y=0196.570-0205.890 | 200
P=1830 | X=0450.410-0467.050 | Y=0196.570-0205.890 | 140
P=1830 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 120
P=1830 | X=0108.530-0244.280 | Y=0200.230-0211.470 | đường nhựa, bê tông xi măng:
P=1830 | X=0108.530-0321.780 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1830 | X=0108.530-0178.510 | Y=0231.150-0240.470 | thông >1.000m.
P=1830 | X=0108.530-0332.170 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1830 | X=0108.530-0341.240 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1830 | X=0108.530-0329.250 | Y=0276.070-0287.310 | và thông ra Đường 322B đoạn từ Đường tỉnh 761
P=1830 | X=0108.530-0324.440 | Y=0287.620-0298.860 | (đoạn giáp ranh xã Trị An đến cầu suối Kóp) đến
P=1830 | X=0108.530-0332.610 | Y=0299.140-0310.380 | Đường tỉnh 761 (Đoạn từ ngã ba đường 322B đến
P=1830 | X=0108.530-0342.910 | Y=0310.660-0321.900 | ranh Khu bảo tồn thiên nhiên - văn hóa Đồng Nai) có
P=1830 | X=0093.620-0104.740 | Y=0318.540-0327.860 | 61
P=1830 | X=0389.420-0406.060 | Y=0318.540-0327.860 | 250
P=1830 | X=0450.410-0467.050 | Y=0318.540-0327.860 | 180
P=1830 | X=0505.390-0522.030 | Y=0318.540-0327.860 | 150
P=1830 | X=0108.530-0302.140 | Y=0321.940-0333.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=1830 | X=0108.530-0339.610 | Y=0339.460-0350.700 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1830 | X=0108.530-0321.780 | Y=0356.980-0368.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1830 | X=0108.530-0169.650 | Y=0368.520-0379.760 | thông ≤500m.
P=1830 | X=0108.530-0341.240 | Y=0386.280-0397.520 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1830 | X=0108.530-0329.250 | Y=0397.800-0409.040 | và thông ra Đường 322B đoạn từ Đường tỉnh 761
P=1830 | X=0108.530-0324.440 | Y=0409.320-0420.560 | (đoạn giáp ranh xã Trị An đến cầu suối Kóp) đến
P=1830 | X=0108.530-0332.610 | Y=0420.840-0432.080 | Đường tỉnh 761 (Đoạn từ ngã ba đường 322B đến
P=1830 | X=0108.530-0342.930 | Y=0432.360-0443.600 | ranh Khu bảo tồn thiên nhiên - văn hóa Đồng Nai) có
P=1830 | X=0093.620-0302.140 | Y=0443.880-0458.200 | 62 hiện trạng là đường nhựa, bê tông xi măng:
P=1830 | X=0389.420-0406.060 | Y=0448.880-0458.200 | 200
P=1830 | X=0450.410-0467.050 | Y=0448.880-0458.200 | 140
P=1830 | X=0505.390-0522.030 | Y=0448.880-0458.200 | 120
P=1830 | X=0108.530-0340.090 | Y=0461.420-0472.660 | - Có bề rộng 25m, cách đường giao thông >1.000m.
P=1830 | X=0108.530-0321.780 | Y=0478.940-0490.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1830 | X=0108.530-0243.350 | Y=0490.220-0501.460 | thông từ >500m đến ≤1.000m.
P=1830 | X=0108.530-0331.700 | Y=0507.740-0518.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1830 | X=0108.530-0341.240 | Y=0525.500-0536.740 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1830 | X=0108.530-0329.250 | Y=0537.050-0548.290 | và thông ra Đường 322B đoạn từ Đường tỉnh 761
P=1830 | X=0108.530-0324.440 | Y=0548.570-0559.810 | (đoạn giáp ranh xã Trị An đến cầu suối Kóp) đến
P=1830 | X=0108.530-0332.610 | Y=0560.090-0571.330 | Đường tỉnh 761 (Đoạn từ ngã ba đường 322B đến
P=1830 | X=0108.530-0342.910 | Y=0571.610-0582.850 | ranh Khu bảo tồn thiên nhiên - văn hóa Đồng Nai) có
P=1830 | X=0093.620-0104.740 | Y=0579.490-0588.810 | 63
P=1830 | X=0389.420-0406.060 | Y=0579.490-0588.810 | 180
P=1830 | X=0450.410-0467.050 | Y=0579.490-0588.810 | 130
P=1830 | X=0505.390-0522.030 | Y=0579.490-0588.810 | 110
P=1830 | X=0108.530-0302.140 | Y=0583.130-0594.370 | hiện trạng là đường nhựa, bê tông xi măng:
P=1830 | X=0108.530-0321.780 | Y=0600.650-0611.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1830 | X=0108.530-0178.520 | Y=0614.050-0623.370 | thông >1.000m.
P=1830 | X=0108.530-0332.170 | Y=0629.710-0640.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1830 | X=0192.070-0332.850 | Y=0647.470-0658.710 | Đường tỉnh 761 Đường tỉnh 761
P=1830 | X=0192.070-0332.540 | Y=0658.750-0669.990 | (đoạn hết chợ (đoạn từ ngã tư
P=1830 | X=0093.620-0166.380 | Y=0670.270-0681.510 | 64 Đường 322A
P=1830 | X=0192.070-0242.820 | Y=0670.270-0681.510 | Phú Lý đến
P=1830 | X=0262.660-0338.370 | Y=0670.270-0681.510 | đường 322A đến
P=1830 | X=0389.420-0406.060 | Y=0672.150-0681.470 | 620
P=1830 | X=0450.410-0467.050 | Y=0672.150-0681.470 | 430
P=1830 | X=0505.390-0522.030 | Y=0672.150-0681.470 | 370
P=1830 | X=0192.070-0326.120 | Y=0681.790-0693.030 | Trung tâm Văn ngã ba đường
P=1830 | X=0192.070-0225.660 | Y=0695.190-0704.510 | hóa xã)
P=1830 | X=0262.660-0289.310 | Y=0695.190-0704.510 | 322B)
P=1831 | X=0108.530-0322.760 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1831 | X=0108.530-0341.300 | Y=0090.020-0101.260 | Đường 322A đoạn từ Đường tỉnh 761 (đoạn hết chợ
P=1831 | X=0108.530-0337.160 | Y=0101.540-0112.780 | Phú Lý đến Trung tâm Văn hóa xã) đến Đường tỉnh
P=1831 | X=0108.530-0342.200 | Y=0113.060-0124.300 | 761 (đoạn từ ngã tư đường 322A đến ngã ba đường
P=1831 | X=0093.620-0344.890 | Y=0124.610-0136.050 | 65 322B) có hiện trạng là đường nhựa, bê tông xi măng:
P=1831 | X=0389.420-0406.060 | Y=0126.730-0136.050 | 280
P=1831 | X=0450.410-0467.050 | Y=0126.730-0136.050 | 200
P=1831 | X=0505.390-0522.030 | Y=0126.730-0136.050 | 170
P=1831 | X=0108.530-0339.640 | Y=0142.130-0153.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1831 | X=0108.530-0321.780 | Y=0159.410-0170.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1831 | X=0108.530-0169.670 | Y=0170.930-0182.170 | thông ≤500m.
P=1831 | X=0108.530-0322.760 | Y=0188.690-0199.930 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1831 | X=0108.530-0341.300 | Y=0200.230-0211.470 | Đường 322A đoạn từ Đường tỉnh 761 (đoạn hết chợ
P=1831 | X=0108.530-0337.160 | Y=0211.750-0222.990 | Phú Lý đến Trung tâm Văn hóa xã) đến Đường tỉnh
P=1831 | X=0108.530-0342.200 | Y=0223.270-0234.510 | 761 (đoạn từ ngã tư đường 322A đến ngã ba đường
P=1831 | X=0108.530-0344.890 | Y=0234.790-0246.030 | 322B) có hiện trạng là đường nhựa, bê tông xi măng:
P=1831 | X=0093.620-0104.740 | Y=0245.550-0254.870 | 66
P=1831 | X=0389.420-0406.060 | Y=0245.550-0254.870 | 220
P=1831 | X=0450.410-0467.050 | Y=0245.550-0254.870 | 150
P=1831 | X=0505.390-0522.030 | Y=0245.550-0254.870 | 130
P=1831 | X=0108.530-0340.080 | Y=0252.310-0263.550 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1831 | X=0108.530-0321.780 | Y=0269.830-0281.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1831 | X=0108.530-0243.380 | Y=0281.380-0292.620 | thông từ >500m đến ≤1.000m.
P=1831 | X=0108.530-0331.700 | Y=0298.900-0310.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1831 | X=0108.530-0322.760 | Y=0316.660-0327.900 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1831 | X=0108.530-0341.300 | Y=0327.940-0339.180 | Đường 322A đoạn từ Đường tỉnh 761 (đoạn hết chợ
P=1831 | X=0108.530-0337.160 | Y=0339.460-0350.700 | Phú Lý đến Trung tâm Văn hóa xã) đến Đường tỉnh
P=1831 | X=0108.530-0343.880 | Y=0350.980-0362.220 | 761 (đoạn từ ngã tư đường 322A đến Ngã ba đường
P=1831 | X=0093.620-0344.890 | Y=0362.500-0373.940 | 67 322B) có hiện trạng là đường nhựa, bê tông xi măng:
P=1831 | X=0389.420-0406.060 | Y=0364.620-0373.940 | 200
P=1831 | X=0450.410-0467.050 | Y=0364.620-0373.940 | 140
P=1831 | X=0505.390-0522.030 | Y=0364.620-0373.940 | 120
P=1831 | X=0108.530-0321.780 | Y=0380.040-0391.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1831 | X=0108.530-0178.510 | Y=0393.440-0402.760 | thông >1.000m.
P=1831 | X=0108.530-0332.170 | Y=0409.080-0420.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1831 | X=0108.530-0341.240 | Y=0426.840-0438.080 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1831 | X=0108.530-0329.250 | Y=0438.360-0449.600 | và thông ra Đường 322A đoạn từ Đường tỉnh 761
P=1831 | X=0108.530-0329.400 | Y=0449.900-0461.140 | (đoạn hết chợ Phú Lý đến Trung tâm Văn hóa xã)
P=1831 | X=0108.530-0329.410 | Y=0461.420-0472.660 | đến Đường tỉnh 761 (đoạn từ ngã tư đường 322A
P=1831 | X=0108.530-0324.930 | Y=0472.940-0484.180 | đến ngã ba đường 322B) có hiện trạng là đường
P=1831 | X=0093.620-0104.740 | Y=0480.820-0490.140 | 68
P=1831 | X=0389.420-0406.060 | Y=0480.820-0490.140 | 250
P=1831 | X=0450.410-0467.050 | Y=0480.820-0490.140 | 180
P=1831 | X=0505.390-0522.030 | Y=0480.820-0490.140 | 150
P=1831 | X=0108.530-0211.640 | Y=0484.220-0495.460 | nhựa, bê tông xi măng:
P=1831 | X=0108.530-0339.610 | Y=0501.740-0512.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1831 | X=0108.530-0321.780 | Y=0519.260-0530.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1831 | X=0108.530-0169.650 | Y=0530.780-0542.020 | thông ≤500m.
P=1831 | X=0108.530-0341.240 | Y=0548.570-0559.810 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1831 | X=0108.530-0329.250 | Y=0560.090-0571.330 | và thông ra Đường 322A đoạn từ Đường tỉnh 761
P=1831 | X=0108.530-0329.330 | Y=0571.610-0582.850 | (đoạn hết chợ Phú Lý đến Trung tâm Văn hóa xã)
P=1831 | X=0108.530-0329.410 | Y=0583.130-0594.370 | đến Đường tỉnh 761 (đoạn từ ngã tư đường 322A
P=1831 | X=0108.530-0326.600 | Y=0594.650-0605.890 | đến Ngã ba đường 322B) có hiện trạng là đường
P=1831 | X=0093.620-0211.640 | Y=0606.170-0620.490 | 69 nhựa, bê tông xi măng:
P=1831 | X=0389.420-0406.060 | Y=0611.170-0620.490 | 200
P=1831 | X=0450.410-0467.050 | Y=0611.170-0620.490 | 140
P=1831 | X=0505.390-0522.030 | Y=0611.170-0620.490 | 120
P=1831 | X=0108.530-0340.080 | Y=0623.710-0634.950 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1831 | X=0108.530-0323.000 | Y=0641.230-0652.470 | - Cứ bề rộng từ ≥3m đến <5m, cách đường giao
P=1831 | X=0108.530-0243.380 | Y=0652.510-0663.750 | thông từ >500m đến ≤1.000m.
P=1831 | X=0108.530-0331.700 | Y=0670.030-0681.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1831 | X=0108.530-0341.240 | Y=0687.790-0699.030 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1831 | X=0093.620-0104.740 | Y=0695.430-0704.750 | 70
P=1831 | X=0389.420-0406.060 | Y=0695.430-0704.750 | 180
P=1831 | X=0450.410-0467.050 | Y=0695.430-0704.750 | 130
P=1831 | X=0505.390-0522.030 | Y=0695.430-0704.750 | 110
P=1831 | X=0108.530-0329.250 | Y=0699.310-0710.550 | và thông ra Đường 322A đoạn từ Đường tỉnh 761
P=1832 | X=0108.530-0329.400 | Y=0072.500-0083.740 | (đoạn hết chợ Phú Lý đến Trung tâm Văn hóa xã)
P=1832 | X=0108.530-0329.410 | Y=0084.020-0095.260 | đến Đường tỉnh 761 (đoạn từ ngã từ đường 322A
P=1832 | X=0108.530-0324.930 | Y=0095.540-0106.780 | đến ngã ba đường 322B) có hiện trạng là đường
P=1832 | X=0108.530-0211.640 | Y=0107.060-0118.300 | nhựa, bê tông xi măng:
P=1832 | X=0108.530-0321.780 | Y=0124.610-0135.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1832 | X=0108.530-0178.510 | Y=0138.010-0147.330 | thông >1.000m.
P=1832 | X=0108.530-0332.170 | Y=0153.410-0164.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1832 | X=0262.660-0343.320 | Y=0171.170-0182.410 | Đường Lý Lịch 2 -
P=1832 | X=0108.530-0169.330 | Y=0176.930-0188.170 | Đường Trảng
P=1832 | X=0192.070-0332.350 | Y=0182.690-0193.930 | Đường tỉnh 761 Bình Chánh (xã
P=1832 | X=0093.620-0104.740 | Y=0184.570-0193.890 | 71
P=1832 | X=0389.420-0406.060 | Y=0184.570-0193.890 | 560
P=1832 | X=0450.410-0467.050 | Y=0184.570-0193.890 | 390
P=1832 | X=0505.390-0522.030 | Y=0184.570-0193.890 | 340
P=1832 | X=0108.530-0134.770 | Y=0190.330-0199.650 | Tranh
P=1832 | X=0262.660-0297.210 | Y=0196.090-0205.410 | Phú Lý)
P=1832 | X=0108.530-0322.760 | Y=0211.990-0223.230 | Các tuyến đường giao thông đấu nối trực tiếp ra
