TABLE=003 | AREA=Phường Tam Hiệp | SECTION=non-agricultural | SEGMENTS=1
P=0124 | X=0107.330-0384.500 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0124 | X=0107.330-0382.290 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đoàn
P=0124 | X=0107.330-0388.900 | Y=0422.280-0433.520 | Văn Cự đoạn từ Đường Phạm Văn Thuận đến Đến hết Công ty
P=0124 | X=0107.330-0345.370 | Y=0433.800-0445.040 | VMEP có hiện trạng là đường nhựa, bê tông xi măng:
P=0124 | X=0090.020-0330.500 | Y=0451.340-0465.420 | 178 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0124 | X=0410.060-0435.110 | Y=0456.100-0465.420 | 7.700
P=0124 | X=0452.810-0477.860 | Y=0456.100-0465.420 | 5.400
P=0124 | X=0497.230-0522.280 | Y=0456.100-0465.420 | 4.600
P=0124 | X=0107.330-0394.220 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0124 | X=0107.330-0160.290 | Y=0480.380-0491.620 | đến ≤600m.
P=0124 | X=0107.330-0330.500 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0124 | X=0107.330-0382.290 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đoàn
P=0124 | X=0107.330-0388.900 | Y=0527.180-0538.420 | Văn Cự đoạn từ Đường Phạm Văn Thuận đến Đến hết Công ty
P=0124 | X=0107.330-0345.400 | Y=0538.490-0549.730 | VMEP có hiện trạng là đường nhựa, bê tông xi măng:
P=0124 | X=0090.020-0106.660 | Y=0546.370-0555.690 | 179
P=0124 | X=0410.060-0435.110 | Y=0546.370-0555.690 | 5.300
P=0124 | X=0452.810-0477.860 | Y=0546.370-0555.690 | 3.700
P=0124 | X=0497.230-0522.280 | Y=0546.370-0555.690 | 3.200
P=0124 | X=0107.330-0384.740 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0124 | X=0107.330-0330.970 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0124 | X=0107.330-0392.590 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0124 | X=0107.330-0395.750 | Y=0602.810-0614.050 | Đường Đoàn Văn Cự đoạn từ Đường Phạm Văn Thuận đến Đến
P=0124 | X=0107.330-0399.140 | Y=0614.330-0625.570 | hết Công ty VMEP có hiện trạng là đường nhựa, bê tông xi măng:
P=0124 | X=0090.020-0106.660 | Y=0622.230-0631.550 | 180
P=0124 | X=0404.540-0435.110 | Y=0622.230-0631.550 | 11.700
P=0124 | X=0452.810-0477.860 | Y=0622.230-0631.550 | 8.200
P=0124 | X=0497.230-0522.280 | Y=0622.230-0631.550 | 7.000
P=0124 | X=0107.330-0330.240 | Y=0631.870-0643.110 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0124 | X=0107.330-0384.500 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0124 | X=0107.330-0392.590 | Y=0667.150-0678.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0124 | X=0107.330-0395.750 | Y=0678.670-0689.910 | Đường Đoàn Văn Cự đoạn từ Đường Phạm Văn Thuận đến Đến
P=0124 | X=0090.020-0399.140 | Y=0689.190-0701.430 | 181 hết Công ty VMEP có hiện trạng là đường nhựa, bê tông xi măng:
P=0124 | X=0410.060-0435.110 | Y=0689.190-0698.510 | 6.900
P=0124 | X=0452.810-0477.860 | Y=0689.190-0698.510 | 4.800
P=0124 | X=0497.230-0522.280 | Y=0689.190-0698.510 | 4.100
P=0124 | X=0107.330-0330.500 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0125 | X=0107.330-0394.220 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0125 | X=0107.330-0160.290 | Y=0090.020-0101.260 | đến ≤600m.
P=0125 | X=0107.330-0330.500 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0125 | X=0107.330-0392.590 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0125 | X=0107.330-0395.750 | Y=0136.850-0148.090 | Đường Đoàn Văn Cự đoạn từ Đường Phạm Văn Thuận đến Đến
P=0125 | X=0107.330-0399.140 | Y=0148.370-0159.610 | hết Công ty VMEP có hiện trạng là đường nhựa, bê tông xi măng:
P=0125 | X=0090.020-0106.660 | Y=0156.250-0165.570 | 182
P=0125 | X=0410.060-0435.110 | Y=0156.250-0165.570 | 4.800
P=0125 | X=0452.810-0477.860 | Y=0156.250-0165.570 | 3.400
P=0125 | X=0497.230-0522.280 | Y=0156.250-0165.570 | 2.900
P=0125 | X=0107.330-0384.740 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0125 | X=0107.330-0333.620 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0125 | X=0229.300-0400.310 | Y=0200.950-0212.190 | Đến hết Công ty Đến ranh Bệnh viện
P=0125 | X=0090.020-0203.140 | Y=0206.710-0217.950 | 183 Đường Đoàn Văn Cự
P=0125 | X=0404.540-0435.110 | Y=0208.590-0217.910 | 23.700
P=0125 | X=0447.290-0477.860 | Y=0208.590-0217.910 | 16.600
P=0125 | X=0491.710-0522.280 | Y=0208.590-0217.910 | 14.200
P=0125 | X=0311.640-0393.340 | Y=0212.470-0223.710 | Đa khoa Đồng Nai
P=0125 | X=0229.300-0257.860 | Y=0214.350-0223.670 | VMEP
P=0125 | X=0107.330-0382.290 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đoàn
P=0125 | X=0107.330-0396.230 | Y=0241.750-0252.990 | Văn Cự đoạn từ Đến hết Công ty VMEP đến Đến ranh Bệnh viện
P=0125 | X=0107.330-0398.670 | Y=0253.270-0264.510 | Đa khoa Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0125 | X=0090.020-0106.660 | Y=0261.150-0270.470 | 184
P=0125 | X=0404.540-0435.110 | Y=0261.150-0270.470 | 11.800
P=0125 | X=0452.810-0477.860 | Y=0261.150-0270.470 | 8.300
P=0125 | X=0497.230-0522.280 | Y=0261.150-0270.470 | 7.100
P=0125 | X=0107.330-0330.240 | Y=0270.790-0282.030 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0125 | X=0107.330-0384.500 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0125 | X=0107.330-0382.290 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đoàn
P=0125 | X=0107.330-0396.230 | Y=0317.620-0328.860 | Văn Cự đoạn từ Đến hết Công ty VMEP đến Đến ranh Bệnh viện
P=0125 | X=0107.330-0398.670 | Y=0329.140-0340.380 | Đa khoa Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0125 | X=0090.020-0330.500 | Y=0346.660-0360.740 | 185 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0125 | X=0410.060-0435.110 | Y=0351.420-0360.740 | 7.700
P=0125 | X=0452.810-0477.860 | Y=0351.420-0360.740 | 5.400
P=0125 | X=0497.230-0522.280 | Y=0351.420-0360.740 | 4.600
P=0125 | X=0107.330-0394.220 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0125 | X=0107.330-0160.290 | Y=0375.480-0386.720 | đến ≤600m.
P=0125 | X=0107.330-0330.500 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0125 | X=0107.330-0382.290 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đoàn
P=0125 | X=0107.330-0396.230 | Y=0422.280-0433.520 | Văn Cự đoạn từ Đến hết Công ty VMEP đến Đến ranh Bệnh viện
P=0125 | X=0107.330-0398.670 | Y=0433.800-0445.040 | Đa khoa Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0125 | X=0090.020-0106.660 | Y=0441.680-0451.000 | 186
P=0125 | X=0410.060-0435.110 | Y=0441.680-0451.000 | 4.600
P=0125 | X=0452.810-0477.860 | Y=0441.680-0451.000 | 3.200
P=0125 | X=0497.230-0522.280 | Y=0441.680-0451.000 | 2.800
P=0125 | X=0107.330-0384.740 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0125 | X=0107.330-0330.970 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0125 | X=0107.330-0392.590 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0125 | X=0107.330-0386.870 | Y=0498.140-0509.380 | Đường Đoàn Văn Cự đoạn từ Đến hết Công ty VMEP đến Đến
P=0125 | X=0107.330-0391.990 | Y=0509.660-0520.900 | ranh Bệnh viện Đa khoa Đồng Nai có hiện trạng là đường nhựa,
P=0125 | X=0090.020-0181.410 | Y=0521.180-0532.620 | 187 bê tông xi măng:
P=0125 | X=0404.540-0435.110 | Y=0523.300-0532.620 | 10.600
P=0125 | X=0452.810-0477.860 | Y=0523.300-0532.620 | 7.400
P=0125 | X=0497.230-0522.280 | Y=0523.300-0532.620 | 6.400
P=0125 | X=0107.330-0330.240 | Y=0538.490-0549.730 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0125 | X=0107.330-0384.500 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0125 | X=0107.330-0392.590 | Y=0573.770-0585.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0125 | X=0107.330-0386.870 | Y=0585.290-0596.530 | Đường Đoàn Văn Cự đoạn từ Đến hết Công ty VMEP đến Đến
P=0125 | X=0107.330-0391.990 | Y=0596.810-0608.050 | ranh Bệnh viện Đa khoa Đồng Nai có hiện trạng là đường nhựa,
P=0125 | X=0107.330-0181.410 | Y=0608.330-0619.570 | bê tông xi măng:
P=0125 | X=0090.020-0330.500 | Y=0625.110-0637.110 | 188 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0125 | X=0410.060-0435.110 | Y=0625.110-0634.430 | 6.900
P=0125 | X=0452.810-0477.860 | Y=0625.110-0634.430 | 4.800
P=0125 | X=0497.230-0522.280 | Y=0625.110-0634.430 | 4.100
P=0125 | X=0107.330-0394.220 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0125 | X=0107.330-0160.290 | Y=0654.910-0666.150 | đến ≤600m.
P=0125 | X=0107.330-0330.500 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0125 | X=0107.330-0392.590 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0125 | X=0090.020-0106.660 | Y=0697.830-0707.150 | 189
P=0125 | X=0410.060-0435.110 | Y=0697.830-0707.150 | 4.100
P=0125 | X=0452.810-0477.860 | Y=0697.830-0707.150 | 2.900
P=0125 | X=0497.230-0522.280 | Y=0697.830-0707.150 | 2.500
P=0125 | X=0107.330-0386.870 | Y=0701.730-0712.970 | Đường Đoàn Văn Cự đoạn từ Đến hết Công ty VMEP đến Đến
P=0126 | X=0107.330-0391.990 | Y=0072.500-0083.740 | ranh Bệnh viện Đa khoa Đồng Nai có hiện trạng là đường nhựa,
P=0126 | X=0107.330-0181.410 | Y=0084.020-0095.260 | bê tông xi măng:
P=0126 | X=0107.330-0384.740 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0126 | X=0107.330-0333.620 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0126 | X=0311.640-0390.310 | Y=0136.850-0148.090 | Bên phải, đến hết
P=0126 | X=0311.640-0385.180 | Y=0148.370-0159.610 | ranh thửa đất số
P=0126 | X=0311.640-0382.310 | Y=0159.650-0170.890 | 12, tờ BĐĐC số
P=0126 | X=0090.020-0188.070 | Y=0171.170-0182.410 | 190 Đường Dã Tượng
P=0126 | X=0311.640-0435.110 | Y=0171.170-0182.410 | 162; Bên trái, đến 20.300
P=0126 | X=0229.300-0288.650 | Y=0173.050-0182.370 | Xa Lộ Hà Nội
P=0126 | X=0447.290-0477.860 | Y=0173.050-0182.370 | 14.200
P=0126 | X=0491.710-0522.280 | Y=0173.050-0182.370 | 12.200
P=0126 | X=0311.640-0388.630 | Y=0182.690-0193.930 | hết ranh thửa đất
P=0126 | X=0311.640-0395.510 | Y=0194.210-0205.450 | số 21, tờ BĐĐC số
P=0126 | X=0311.640-0328.280 | Y=0207.630-0216.950 | 162
P=0126 | X=0107.330-0371.240 | Y=0223.510-0234.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dã
P=0126 | X=0107.330-0401.110 | Y=0235.030-0246.270 | Tượng đoạn từ Xa Lộ Hà Nội đến Bên phải, đến hết ranh thửa đất
P=0126 | X=0107.330-0394.830 | Y=0246.550-0257.790 | số 12, tờ BĐĐC số 162; Bên trái, đến hết ranh thửa đất số 21, tờ
P=0126 | X=0090.020-0378.260 | Y=0258.070-0269.510 | 191 BĐĐC số 162 có hiện trạng là đường nhựa, bê tông xi măng:
P=0126 | X=0404.540-0435.110 | Y=0260.190-0269.510 | 11.200
P=0126 | X=0452.810-0477.860 | Y=0260.190-0269.510 | 7.800
P=0126 | X=0497.230-0522.280 | Y=0260.190-0269.510 | 6.700
P=0126 | X=0107.330-0330.240 | Y=0275.590-0286.830 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0126 | X=0107.330-0384.500 | Y=0293.140-0304.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0126 | X=0107.330-0371.240 | Y=0310.900-0322.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dã
P=0126 | X=0107.330-0401.110 | Y=0322.420-0333.660 | Tượng đoạn từ Xa Lộ Hà Nội đến Bên phải, đến hết ranh thửa đất
P=0126 | X=0107.330-0394.830 | Y=0333.700-0344.940 | số 12, tờ BĐĐC số 162; Bên trái, đến hết ranh thửa đất số 21, tờ
P=0126 | X=0107.330-0378.260 | Y=0345.220-0356.460 | BĐĐC số 162 có hiện trạng là đường nhựa, bê tông xi măng:
P=0126 | X=0090.020-0330.500 | Y=0361.980-0373.980 | 192 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0126 | X=0410.060-0435.110 | Y=0361.980-0371.300 | 7.300
P=0126 | X=0452.810-0477.860 | Y=0361.980-0371.300 | 5.100
P=0126 | X=0497.230-0522.280 | Y=0361.980-0371.300 | 4.400
P=0126 | X=0107.330-0394.220 | Y=0380.280-0391.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0126 | X=0107.330-0160.290 | Y=0391.800-0403.040 | đến ≤600m.
P=0126 | X=0107.330-0330.500 | Y=0409.320-0420.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0126 | X=0107.330-0371.240 | Y=0427.080-0438.320 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dã
P=0126 | X=0107.330-0401.110 | Y=0438.600-0449.840 | Tượng đoạn từ Xa Lộ Hà Nội đến Bên phải, đến hết ranh thửa đất
P=0126 | X=0107.330-0394.830 | Y=0450.140-0461.380 | số 12, tờ BĐĐC số 162; Bên trái, đến hết ranh thửa đất số 21, tờ
P=0126 | X=0090.020-0378.260 | Y=0461.660-0473.100 | 193 BĐĐC số 162 có hiện trạng là đường nhựa, bê tông xi măng:
P=0126 | X=0410.060-0435.110 | Y=0463.780-0473.100 | 4.400
P=0126 | X=0452.810-0477.860 | Y=0463.780-0473.100 | 3.100
P=0126 | X=0497.230-0522.280 | Y=0463.780-0473.100 | 2.600
P=0126 | X=0107.330-0384.740 | Y=0479.180-0490.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0126 | X=0107.330-0330.970 | Y=0496.460-0507.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0126 | X=0107.330-0392.590 | Y=0514.220-0525.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0126 | X=0107.330-0387.910 | Y=0525.740-0536.980 | Đường Dã Tượng đoạn từ Xa Lộ Hà Nội đến Bên phải, đến hết
P=0126 | X=0107.330-0398.860 | Y=0537.290-0548.530 | ranh thửa đất số 12, tờ BĐĐC số 162; Bên trái, đến hết ranh thửa
P=0126 | X=0107.330-0396.430 | Y=0548.810-0560.050 | đất số 21, tờ BĐĐC số 162 có hiện trạng là đường nhựa, bê tông
P=0126 | X=0090.020-0106.660 | Y=0556.690-0566.010 | 194
P=0126 | X=0404.540-0435.110 | Y=0556.690-0566.010 | 10.100
P=0126 | X=0452.810-0477.860 | Y=0556.690-0566.010 | 7.100
P=0126 | X=0497.230-0522.280 | Y=0556.690-0566.010 | 6.100
P=0126 | X=0107.330-0145.160 | Y=0560.330-0571.570 | xi măng:
P=0126 | X=0107.330-0330.240 | Y=0577.850-0589.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0126 | X=0107.330-0384.500 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0126 | X=0107.330-0392.590 | Y=0613.130-0624.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0126 | X=0107.330-0387.910 | Y=0624.670-0635.910 | Đường Dã Tượng đoạn từ Xa Lộ Hà Nội đến Bên phải, đến hết
P=0126 | X=0107.330-0398.860 | Y=0636.190-0647.430 | ranh thửa đất số 12, tờ BĐĐC số 162; Bên trái, đến hết ranh thửa
P=0126 | X=0107.330-0396.430 | Y=0647.710-0658.950 | đất số 21, tờ BĐĐC số 162 có hiện trạng là đường nhựa, bê tông
P=0126 | X=0090.020-0145.160 | Y=0659.230-0670.670 | 195 xi măng:
P=0126 | X=0410.060-0435.110 | Y=0661.350-0670.670 | 6.600
P=0126 | X=0452.810-0477.860 | Y=0661.350-0670.670 | 4.600
P=0126 | X=0497.230-0522.280 | Y=0661.350-0670.670 | 4.000
P=0126 | X=0107.330-0330.500 | Y=0676.510-0687.750 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0126 | X=0107.330-0394.220 | Y=0694.030-0705.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0126 | X=0107.330-0160.290 | Y=0705.570-0716.810 | đến ≤600m.
P=0127 | X=0107.330-0330.510 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0127 | X=0107.330-0392.590 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0127 | X=0107.330-0387.910 | Y=0107.780-0119.020 | Đường Dã Tượng đoạn từ Xa Lộ Hà Nội đến Bên phải, đến hết
P=0127 | X=0107.330-0398.860 | Y=0119.330-0130.570 | ranh thửa đất số 12, tờ BĐĐC số 162; Bên trái, đến hết ranh thửa
P=0127 | X=0107.330-0396.430 | Y=0130.850-0142.090 | đất số 21, tờ BĐĐC số 162 có hiện trạng là đường nhựa, bê tông
P=0127 | X=0090.020-0106.660 | Y=0138.730-0148.050 | 196
P=0127 | X=0410.060-0435.110 | Y=0138.730-0148.050 | 4.000
P=0127 | X=0452.810-0477.860 | Y=0138.730-0148.050 | 2.800
P=0127 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 2.400
P=0127 | X=0107.330-0145.160 | Y=0142.370-0153.610 | xi măng:
P=0127 | X=0107.330-0384.740 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0127 | X=0107.330-0333.620 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0127 | X=0311.640-0390.310 | Y=0194.930-0206.170 | Hết ranh thửa đất
P=0127 | X=0311.640-0401.030 | Y=0206.470-0217.710 | số 211, tờ BĐĐC số
P=0127 | X=0311.640-0396.460 | Y=0219.870-0229.190 | 169 về bên phải và
P=0127 | X=0090.020-0194.770 | Y=0223.750-0234.990 | 197 Đường Hồ Văn Leo
P=0127 | X=0229.300-0288.650 | Y=0225.630-0234.950 | Xa Lộ Hà Nội
P=0127 | X=0404.540-0435.110 | Y=0225.630-0234.950 | 23.100
P=0127 | X=0447.290-0477.860 | Y=0225.630-0234.950 | 16.200
P=0127 | X=0491.710-0522.280 | Y=0225.630-0234.950 | 13.900
P=0127 | X=0311.640-0388.630 | Y=0229.510-0240.750 | hết ranh thửa đất
P=0127 | X=0311.640-0401.030 | Y=0241.030-0252.270 | số 212, tờ BĐĐC số
P=0127 | X=0311.640-0377.960 | Y=0254.430-0263.750 | 169 về bên trái
P=0127 | X=0107.330-0391.900 | Y=0270.310-0281.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồ Văn
P=0127 | X=0107.330-0372.040 | Y=0281.860-0293.100 | Leo đoạn từ Xa Lộ Hà Nội đến Hết ranh thửa đất số 211, tờ
P=0127 | X=0107.330-0395.020 | Y=0293.380-0304.620 | BĐĐC số 169 về bên phải và hết ranh thửa đất số 212, tờ BĐĐC
P=0127 | X=0090.020-0435.110 | Y=0304.900-0316.340 | 198 số 169 về bên trái có hiện trạng là đường nhựa, bê tông xi măng: 11.200
P=0127 | X=0452.810-0477.860 | Y=0307.020-0316.340 | 7.800
P=0127 | X=0497.230-0522.280 | Y=0307.020-0316.340 | 6.700
P=0127 | X=0107.330-0330.240 | Y=0322.420-0333.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0127 | X=0107.330-0384.500 | Y=0339.700-0350.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0127 | X=0107.330-0391.900 | Y=0357.460-0368.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồ Văn
P=0127 | X=0107.330-0372.040 | Y=0369.000-0380.240 | Leo đoạn từ Xa Lộ Hà Nội đến Hết ranh thửa đất số 211, tờ
P=0127 | X=0107.330-0395.020 | Y=0380.520-0391.760 | BĐĐC số 169 về bên phải và hết ranh thửa đất số 212, tờ BĐĐC
P=0127 | X=0107.330-0396.500 | Y=0392.040-0403.280 | số 169 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=0127 | X=0090.020-0330.500 | Y=0408.800-0420.800 | 199 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0127 | X=0410.060-0435.110 | Y=0408.800-0418.120 | 7.300
P=0127 | X=0452.810-0477.860 | Y=0408.800-0418.120 | 5.100
P=0127 | X=0497.230-0522.280 | Y=0408.800-0418.120 | 4.400
P=0127 | X=0107.330-0394.220 | Y=0427.080-0438.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0127 | X=0107.330-0160.290 | Y=0438.600-0449.840 | đến ≤600m.
P=0127 | X=0107.330-0330.500 | Y=0456.140-0467.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0127 | X=0107.330-0391.900 | Y=0473.900-0485.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồ Văn
P=0127 | X=0107.330-0372.040 | Y=0485.420-0496.660 | Leo đoạn từ Xa Lộ Hà Nội đến Hết ranh thửa đất số 211, tờ
P=0127 | X=0107.330-0395.020 | Y=0496.940-0508.180 | BĐĐC số 169 về bên phải và hết ranh thửa đất số 212, tờ BĐĐC
P=0127 | X=0090.020-0396.500 | Y=0508.220-0519.660 | 200 số 169 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=0127 | X=0410.060-0435.110 | Y=0510.340-0519.660 | 4.400
P=0127 | X=0452.810-0477.860 | Y=0510.340-0519.660 | 3.100
P=0127 | X=0497.230-0522.280 | Y=0510.340-0519.660 | 2.600
P=0127 | X=0107.330-0384.740 | Y=0525.740-0536.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0127 | X=0107.330-0330.970 | Y=0543.290-0554.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0127 | X=0107.330-0392.590 | Y=0561.050-0572.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0127 | X=0107.330-0394.870 | Y=0572.570-0583.810 | Đường Hồ Văn Leo đoạn từ Xa Lộ Hà Nội đến Hết ranh thửa đất
P=0127 | X=0107.330-0398.950 | Y=0584.090-0595.330 | số 211, tờ BĐĐC số 169 về bên phải và hết ranh thửa đất số 212,
P=0127 | X=0107.330-0399.330 | Y=0595.610-0606.850 | tờ BĐĐC số 169 về bên trái có hiện trạng là đường nhựa, bê tông
P=0127 | X=0090.020-0106.660 | Y=0603.490-0612.810 | 201
P=0127 | X=0404.540-0435.110 | Y=0603.490-0612.810 | 10.100
P=0127 | X=0452.810-0477.860 | Y=0603.490-0612.810 | 7.100
P=0127 | X=0497.230-0522.280 | Y=0603.490-0612.810 | 6.100
P=0127 | X=0107.330-0145.160 | Y=0607.130-0618.370 | xi măng:
P=0127 | X=0107.330-0330.240 | Y=0624.670-0635.910 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0127 | X=0107.330-0384.500 | Y=0642.190-0653.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0127 | X=0107.330-0392.590 | Y=0659.950-0671.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0127 | X=0107.330-0394.870 | Y=0671.470-0682.710 | Đường Hồ Văn Leo đoạn từ Xa Lộ Hà Nội đến Hết ranh thửa đất
P=0127 | X=0090.020-0398.950 | Y=0682.750-0693.990 | 202 số 211, tờ BĐĐC số 169 về bên phải và hết ranh thửa đất số 212,
P=0127 | X=0410.060-0435.110 | Y=0684.630-0693.950 | 6.600
P=0127 | X=0452.810-0477.860 | Y=0684.630-0693.950 | 4.600
P=0127 | X=0497.230-0522.280 | Y=0684.630-0693.950 | 4.000
P=0127 | X=0107.330-0399.330 | Y=0694.270-0705.510 | tờ BĐĐC số 169 về bên trái có hiện trạng là đường nhựa, bê tông
P=0127 | X=0107.330-0145.160 | Y=0705.810-0717.050 | xi măng:
P=0128 | X=0107.330-0330.500 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0128 | X=0107.330-0394.220 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0128 | X=0107.330-0160.290 | Y=0107.540-0118.780 | đến ≤600m.
P=0128 | X=0107.330-0330.500 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0128 | X=0107.330-0392.590 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0128 | X=0107.330-0394.870 | Y=0154.370-0165.610 | Đường Hồ Văn Leo đoạn từ Xa Lộ Hà Nội đến Hết ranh thửa đất
P=0128 | X=0107.330-0398.950 | Y=0165.650-0176.890 | số 211, tờ BĐĐC số 169 về bên phải và hết ranh thửa đất số 212,
P=0128 | X=0107.330-0399.330 | Y=0177.170-0188.410 | tờ BĐĐC số 169 về bên trái có hiện trạng là đường nhựa, bê tông
P=0128 | X=0090.020-0106.660 | Y=0185.050-0194.370 | 203
P=0128 | X=0410.060-0435.110 | Y=0185.050-0194.370 | 4.000
P=0128 | X=0452.810-0477.860 | Y=0185.050-0194.370 | 2.800
