TABLE=042 | AREA=Xã Thống Nhất | SECTION=non-agricultural | SEGMENTS=1
P=1452 | X=0111.170-0378.200 | Y=0311.380-0322.620 | ra Đường Cầu Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân
P=1452 | X=0111.170-0385.390 | Y=0322.900-0334.140 | Lập đến Xã Gia Kiệm có hiện trạng là đường nhựa, bê tông xi
P=1452 | X=0111.170-0139.170 | Y=0334.420-0345.660 | măng:
P=1452 | X=0094.820-0105.940 | Y=0342.300-0351.620 | 56
P=1452 | X=0414.140-0430.780 | Y=0342.300-0351.620 | 140
P=1452 | X=0461.690-0478.330 | Y=0342.300-0351.620 | 100
P=1452 | X=0511.150-0522.270 | Y=0342.300-0351.620 | 80
P=1452 | X=0111.170-0352.280 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1452 | X=0111.170-0153.310 | Y=0365.100-0374.420 | >1.000m.
P=1452 | X=0111.170-0334.810 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1452 | X=0302.760-0385.080 | Y=0398.520-0409.760 | Hết Trường THCS
P=1452 | X=0094.820-0181.340 | Y=0404.280-0415.520 | 57 Đường tỉnh 763
P=1452 | X=0219.430-0268.020 | Y=0406.160-0415.480 | Quốc lộ 20
P=1452 | X=0405.980-0431.030 | Y=0406.160-0415.480 | 1.800
P=1452 | X=0453.530-0478.580 | Y=0406.160-0415.480 | 1.300
P=1452 | X=0497.230-0522.280 | Y=0406.160-0415.480 | 1.100
P=1452 | X=0302.760-0340.180 | Y=0411.920-0421.240 | Phú Túc
P=1452 | X=0111.170-0378.710 | Y=0427.800-0439.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1452 | X=0111.170-0374.310 | Y=0439.320-0450.560 | 763 đoạn từ Quốc lộ 20 đến Hết Trường THCS Phú Túc có
P=1452 | X=0111.170-0304.820 | Y=0450.860-0462.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=1452 | X=0094.820-0105.940 | Y=0458.740-0468.060 | 58
P=1452 | X=0414.140-0430.780 | Y=0458.740-0468.060 | 810
P=1452 | X=0461.690-0478.330 | Y=0458.740-0468.060 | 570
P=1452 | X=0505.390-0522.030 | Y=0458.740-0468.060 | 490
P=1452 | X=0111.170-0342.250 | Y=0468.380-0479.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1452 | X=0111.170-0388.360 | Y=0485.900-0497.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1452 | X=0111.170-0378.710 | Y=0503.660-0514.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1452 | X=0111.170-0374.310 | Y=0515.180-0526.420 | 763 đoạn từ Quốc lộ 20 đến Hết Trường THCS Phú Túc có
P=1452 | X=0111.170-0304.780 | Y=0526.460-0537.700 | hiện trạng là đường nhựa, bê tông xi măng:
P=1452 | X=0094.820-0342.720 | Y=0544.010-0558.330 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1452 | X=0414.140-0430.780 | Y=0549.010-0558.330 | 540
P=1452 | X=0461.690-0478.330 | Y=0549.010-0558.330 | 380
P=1452 | X=0505.390-0522.030 | Y=0549.010-0558.330 | 320
P=1452 | X=0111.170-0364.480 | Y=0561.530-0572.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1452 | X=0111.170-0206.120 | Y=0573.050-0584.290 | >500m đến ≤1.000m.
P=1452 | X=0111.170-0334.340 | Y=0590.570-0601.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1452 | X=0111.170-0378.710 | Y=0608.330-0619.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1452 | X=0111.170-0374.310 | Y=0619.870-0631.110 | 763 đoạn từ Quốc lộ 20 đến Hết Trường THCS Phú Túc có
P=1452 | X=0111.170-0304.780 | Y=0631.390-0642.630 | hiện trạng là đường nhựa, bê tông xi măng:
P=1452 | X=0094.820-0105.940 | Y=0645.030-0654.350 | 60
P=1452 | X=0414.140-0430.780 | Y=0645.030-0654.350 | 410
P=1452 | X=0461.690-0478.330 | Y=0645.030-0654.350 | 290
P=1452 | X=0505.390-0522.030 | Y=0645.030-0654.350 | 250
P=1452 | X=0111.170-0352.280 | Y=0648.910-0660.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1452 | X=0111.170-0153.310 | Y=0662.310-0671.630 | >1.000m.
P=1452 | X=0111.170-0334.810 | Y=0677.950-0689.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1452 | X=0111.170-0384.680 | Y=0695.710-0706.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1452 | X=0094.820-0105.940 | Y=0703.380-0712.700 | 61
P=1452 | X=0414.140-0430.780 | Y=0703.380-0712.700 | 730
P=1452 | X=0461.690-0478.330 | Y=0703.380-0712.700 | 510
P=1452 | X=0505.390-0522.030 | Y=0703.380-0712.700 | 440
P=1452 | X=0111.170-0385.790 | Y=0707.250-0718.490 | ra Đường tỉnh 763 đoạn từ Quốc lộ 20 đến Hết Trường THCS
P=1453 | X=0111.170-0357.850 | Y=0072.500-0083.740 | Phú Túc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0111.170-0342.250 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1453 | X=0111.170-0388.370 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1453 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1453 | X=0111.170-0385.790 | Y=0136.850-0148.090 | ra Đường tỉnh 763 đoạn từ Quốc lộ 20 đến Hết Trường THCS
P=1453 | X=0111.170-0357.850 | Y=0148.370-0159.610 | Phú Túc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0094.820-0342.720 | Y=0165.650-0179.970 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1453 | X=0414.140-0430.780 | Y=0170.650-0179.970 | 490
P=1453 | X=0461.690-0478.330 | Y=0170.650-0179.970 | 340
P=1453 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 290
P=1453 | X=0111.170-0364.480 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1453 | X=0111.170-0206.120 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=1453 | X=0111.170-0334.340 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1453 | X=0111.170-0384.680 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1453 | X=0111.170-0385.790 | Y=0241.510-0252.750 | ra Đường tỉnh 763 đoạn từ Quốc lộ 20 đến Hết Trường THCS
P=1453 | X=0111.170-0357.850 | Y=0253.030-0264.270 | Phú Túc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0094.820-0105.940 | Y=0266.670-0275.990 | 63
P=1453 | X=0414.140-0430.780 | Y=0266.670-0275.990 | 370
P=1453 | X=0461.690-0478.330 | Y=0266.670-0275.990 | 260
P=1453 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 220
P=1453 | X=0111.170-0352.280 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1453 | X=0111.170-0153.310 | Y=0283.980-0293.300 | >1.000m.
P=1453 | X=0111.170-0334.810 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1453 | X=0219.430-0386.120 | Y=0317.380-0328.620 | Hết Trường THCS Giáp ranh xã Xuân
P=1453 | X=0094.820-0181.340 | Y=0323.140-0334.380 | 64 Đường tỉnh 763
P=1453 | X=0405.980-0431.030 | Y=0325.020-0334.340 | 1.600
P=1453 | X=0453.530-0478.580 | Y=0325.020-0334.340 | 1.100
P=1453 | X=0505.390-0522.030 | Y=0325.020-0334.340 | 960
P=1453 | X=0219.430-0256.850 | Y=0330.780-0340.100 | Phú Túc
P=1453 | X=0302.760-0320.040 | Y=0330.780-0340.100 | Bắc
P=1453 | X=0111.170-0378.710 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1453 | X=0111.170-0369.800 | Y=0357.940-0369.180 | 763 đoạn từ Hết Trường THCS Phú Túc đến Giáp ranh xã
P=1453 | X=0111.170-0364.080 | Y=0369.480-0380.720 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0094.820-0105.940 | Y=0377.360-0386.680 | 65
P=1453 | X=0414.140-0430.780 | Y=0377.360-0386.680 | 680
P=1453 | X=0461.690-0478.330 | Y=0377.360-0386.680 | 480
P=1453 | X=0505.390-0522.030 | Y=0377.360-0386.680 | 410
P=1453 | X=0111.170-0342.250 | Y=0387.000-0398.240 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1453 | X=0111.170-0388.380 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1453 | X=0111.170-0378.710 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1453 | X=0111.170-0369.800 | Y=0433.800-0445.040 | 763 đoạn từ Hết Trường THCS Phú Túc đến Giáp ranh xã
P=1453 | X=0111.170-0364.080 | Y=0445.320-0456.560 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0094.820-0342.720 | Y=0462.860-0476.940 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1453 | X=0414.140-0430.780 | Y=0467.620-0476.940 | 410
P=1453 | X=0461.690-0478.330 | Y=0467.620-0476.940 | 290
P=1453 | X=0505.390-0522.030 | Y=0467.620-0476.940 | 250
P=1453 | X=0111.170-0364.480 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1453 | X=0111.170-0206.120 | Y=0491.900-0503.140 | >500m đến ≤1.000m.
P=1453 | X=0111.170-0334.340 | Y=0509.420-0520.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1453 | X=0111.170-0378.710 | Y=0527.180-0538.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1453 | X=0111.170-0369.800 | Y=0538.490-0549.730 | 763 đoạn từ Hết Trường THCS Phú Túc đến Giáp ranh xã
P=1453 | X=0111.170-0364.080 | Y=0550.010-0561.250 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=1453 | X=0094.820-0105.940 | Y=0563.650-0572.970 | 67
P=1453 | X=0414.140-0430.780 | Y=0563.650-0572.970 | 270
P=1453 | X=0461.690-0478.330 | Y=0563.650-0572.970 | 190
P=1453 | X=0505.390-0522.030 | Y=0563.650-0572.970 | 160
P=1453 | X=0111.170-0352.280 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1453 | X=0111.170-0153.310 | Y=0580.930-0590.250 | >1.000m.
P=1453 | X=0111.170-0334.810 | Y=0596.570-0607.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1453 | X=0111.170-0384.680 | Y=0614.330-0625.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1453 | X=0111.170-0374.620 | Y=0625.870-0637.110 | ra Đường tỉnh 763 đoạn từ Hết Trường THCS Phú Túc đến
P=1453 | X=0111.170-0383.710 | Y=0637.390-0648.630 | Giáp ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê tông
P=1453 | X=0094.820-0149.000 | Y=0648.910-0660.350 | 68 xi măng:
P=1453 | X=0414.140-0430.780 | Y=0651.030-0660.350 | 610
P=1453 | X=0461.690-0478.330 | Y=0651.030-0660.350 | 430
P=1453 | X=0505.390-0522.030 | Y=0651.030-0660.350 | 370
P=1453 | X=0111.170-0342.250 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1453 | X=0111.170-0388.360 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1453 | X=0094.820-0384.710 | Y=0701.730-0712.970 | 69 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1453 | X=0414.140-0430.780 | Y=0703.620-0712.940 | 370
P=1453 | X=0461.690-0478.330 | Y=0703.620-0712.940 | 260
P=1453 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 220
P=1454 | X=0111.170-0374.620 | Y=0072.500-0083.740 | ra Đường tỉnh 763 đoạn từ Hết Trường THCS Phú Túc đến
P=1454 | X=0111.170-0383.710 | Y=0084.020-0095.260 | Giáp ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê tông
P=1454 | X=0111.170-0149.000 | Y=0095.540-0106.780 | xi măng:
P=1454 | X=0111.170-0342.720 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1454 | X=0111.170-0364.480 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1454 | X=0111.170-0206.120 | Y=0142.130-0153.370 | >500m đến ≤1.000m.
P=1454 | X=0111.170-0334.340 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1454 | X=0111.170-0384.680 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1454 | X=0111.170-0374.620 | Y=0188.690-0199.930 | ra Đường tỉnh 763 đoạn từ Hết Trường THCS Phú Túc đến
P=1454 | X=0111.170-0383.710 | Y=0200.230-0211.470 | Giáp ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê tông
P=1454 | X=0111.170-0149.000 | Y=0211.750-0222.990 | xi măng:
P=1454 | X=0094.820-0105.940 | Y=0219.630-0228.950 | 70
P=1454 | X=0414.140-0430.780 | Y=0219.630-0228.950 | 240
P=1454 | X=0461.690-0478.330 | Y=0219.630-0228.950 | 170
P=1454 | X=0505.390-0522.030 | Y=0219.630-0228.950 | 140
P=1454 | X=0111.170-0352.280 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1454 | X=0111.170-0153.310 | Y=0242.670-0251.990 | >1.000m.
P=1454 | X=0111.170-0334.810 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1454 | X=0094.820-0187.250 | Y=0276.070-0287.310 | 71 Đường Bến Nôm
P=1454 | X=0302.760-0390.940 | Y=0276.070-0287.310 | Giáp ranh nghĩa địa
P=1454 | X=0219.430-0268.020 | Y=0277.950-0287.270 | Quốc lộ 20
P=1454 | X=0405.980-0431.030 | Y=0277.950-0287.270 | 1.600
P=1454 | X=0453.530-0478.580 | Y=0277.950-0287.270 | 1.100
P=1454 | X=0505.390-0522.030 | Y=0277.950-0287.270 | 960
P=1454 | X=0111.170-0380.150 | Y=0293.860-0305.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bến
P=1454 | X=0111.170-0365.740 | Y=0305.380-0316.620 | Nôm đoạn từ Quốc lộ 20 đến Giáp ranh nghĩa địa có hiện
P=1454 | X=0111.170-0282.950 | Y=0316.900-0328.140 | trạng là đường nhựa, bê tông xi măng:
P=1454 | X=0094.820-0105.940 | Y=0324.780-0334.100 | 72
P=1454 | X=0414.140-0430.780 | Y=0324.780-0334.100 | 680
P=1454 | X=0461.690-0478.330 | Y=0324.780-0334.100 | 480
P=1454 | X=0505.390-0522.030 | Y=0324.780-0334.100 | 410
P=1454 | X=0111.170-0342.250 | Y=0334.420-0345.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1454 | X=0111.170-0388.360 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1454 | X=0111.170-0380.150 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bến
P=1454 | X=0111.170-0365.740 | Y=0381.000-0392.240 | Nôm đoạn từ Quốc lộ 20 đến Giáp ranh nghĩa địa có hiện
P=1454 | X=0111.170-0282.950 | Y=0392.520-0403.760 | trạng là đường nhựa, bê tông xi măng:
P=1454 | X=0094.820-0342.720 | Y=0410.040-0424.360 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1454 | X=0414.140-0430.780 | Y=0415.040-0424.360 | 540
P=1454 | X=0461.690-0478.330 | Y=0415.040-0424.360 | 380
P=1454 | X=0505.390-0522.030 | Y=0415.040-0424.360 | 320
P=1454 | X=0111.170-0364.480 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1454 | X=0111.170-0206.120 | Y=0439.080-0450.320 | >500m đến ≤1.000m.
P=1454 | X=0111.170-0334.340 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1454 | X=0111.170-0380.150 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bến
P=1454 | X=0111.170-0365.740 | Y=0485.900-0497.140 | Nôm đoạn từ Quốc lộ 20 đến Giáp ranh nghĩa địa có hiện
P=1454 | X=0111.170-0282.950 | Y=0497.420-0508.660 | trạng là đường nhựa, bê tông xi măng:
P=1454 | X=0094.820-0105.940 | Y=0511.060-0520.380 | 74
P=1454 | X=0414.140-0430.780 | Y=0511.060-0520.380 | 410
P=1454 | X=0461.690-0478.330 | Y=0511.060-0520.380 | 290
P=1454 | X=0505.390-0522.030 | Y=0511.060-0520.380 | 250
P=1454 | X=0111.170-0352.280 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1454 | X=0111.170-0153.310 | Y=0528.100-0537.420 | >1.000m.
P=1454 | X=0111.170-0334.820 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1454 | X=0111.170-0384.680 | Y=0561.530-0572.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1454 | X=0111.170-0381.330 | Y=0573.050-0584.290 | ra Đường Bến Nôm đoạn từ Quốc lộ 20 đến Giáp ranh nghĩa
P=1454 | X=0111.170-0334.090 | Y=0584.570-0595.810 | địa có hiện trạng là đường nhựa, bê tông xi măng:
P=1454 | X=0094.820-0105.940 | Y=0592.450-0601.770 | 75
P=1454 | X=0414.140-0430.780 | Y=0592.450-0601.770 | 610
P=1454 | X=0461.690-0478.330 | Y=0592.450-0601.770 | 430
P=1454 | X=0505.390-0522.030 | Y=0592.450-0601.770 | 370
P=1454 | X=0111.170-0342.250 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1454 | X=0111.170-0388.360 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1454 | X=0111.170-0384.680 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1454 | X=0111.170-0381.330 | Y=0648.910-0660.150 | ra Đường Bến Nôm đoạn từ Quốc lộ 20 đến Giáp ranh nghĩa
P=1454 | X=0111.170-0334.090 | Y=0660.430-0671.670 | địa có hiện trạng là đường nhựa, bê tông xi măng:
P=1454 | X=0094.820-0105.940 | Y=0674.070-0683.390 | 76
P=1454 | X=0414.140-0430.780 | Y=0674.070-0683.390 | 490
P=1454 | X=0461.690-0478.330 | Y=0674.070-0683.390 | 340
P=1454 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 290
P=1454 | X=0111.170-0342.720 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1454 | X=0111.170-0364.480 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1454 | X=0111.170-0206.120 | Y=0706.770-0718.010 | >500m đến ≤1.000m.
P=1455 | X=0111.170-0334.340 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1455 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1455 | X=0111.170-0381.330 | Y=0107.780-0119.020 | ra Đường Bến Nôm đoạn từ Quốc lộ 20 đến Giáp ranh nghĩa
P=1455 | X=0111.170-0334.090 | Y=0119.330-0130.570 | địa có hiện trạng là đường nhựa, bê tông xi măng:
P=1455 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 77
P=1455 | X=0414.140-0430.780 | Y=0132.970-0142.290 | 370
P=1455 | X=0461.690-0478.330 | Y=0132.970-0142.290 | 260
P=1455 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 220
P=1455 | X=0111.170-0354.930 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1455 | X=0111.170-0153.310 | Y=0150.250-0159.570 | >1.000m.
P=1455 | X=0111.170-0334.810 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1455 | X=0302.760-0375.670 | Y=0183.410-0194.650 | Bến Cá (đến hết
P=1455 | X=0302.760-0376.300 | Y=0194.930-0206.170 | ranh thửa đất số
P=1455 | X=0302.760-0378.950 | Y=0206.470-0217.710 | 268, tờ BĐĐC số
P=1455 | X=0219.430-0291.270 | Y=0212.230-0223.470 | Giáp ranh nghĩa
P=1455 | X=0094.820-0187.250 | Y=0217.990-0229.230 | 78 Đường Bến Nôm
P=1455 | X=0302.760-0382.520 | Y=0219.870-0229.190 | 109 về bên trái và
P=1455 | X=0405.980-0431.030 | Y=0219.870-0229.190 | 1.200
P=1455 | X=0461.690-0478.330 | Y=0219.870-0229.190 | 840
P=1455 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 720
P=1455 | X=0219.430-0232.980 | Y=0223.750-0234.990 | địa
P=1455 | X=0302.760-0382.550 | Y=0229.510-0240.750 | đến hết ranh thửa
P=1455 | X=0302.760-0390.220 | Y=0241.030-0252.270 | đất số 14, tờ BĐĐC
P=1455 | X=0302.760-0385.780 | Y=0254.430-0263.750 | số 109 về bên trái)
P=1455 | X=0111.170-0380.150 | Y=0270.310-0281.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bến
P=1455 | X=0111.170-0378.200 | Y=0281.860-0293.100 | Nôm đoạn từ Giáp ranh nghĩa địa đến Bến Cá (đến hết ranh
P=1455 | X=0111.170-0382.060 | Y=0293.380-0304.620 | thửa đất số 268, tờ BĐĐC số 109 về bên trái và đến hết ranh
P=1455 | X=0111.170-0378.690 | Y=0304.900-0316.140 | thửa đất số 14, tờ BĐĐC số 109 về bên trái) có hiện trạng là
P=1455 | X=0094.820-0105.940 | Y=0312.780-0322.100 | 79
P=1455 | X=0414.140-0430.780 | Y=0312.780-0322.100 | 680
P=1455 | X=0461.690-0478.330 | Y=0312.780-0322.100 | 480
P=1455 | X=0505.390-0522.030 | Y=0312.780-0322.100 | 410
P=1455 | X=0111.170-0246.940 | Y=0316.420-0327.660 | đường nhựa, bê tông xi măng:
P=1455 | X=0111.170-0342.250 | Y=0333.700-0344.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1455 | X=0111.170-0388.360 | Y=0351.220-0362.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1455 | X=0111.170-0380.150 | Y=0369.000-0380.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bến
P=1455 | X=0111.170-0378.200 | Y=0380.520-0391.760 | Nôm đoạn từ Giáp ranh nghĩa địa đến Bến Cá (đến hết ranh
P=1455 | X=0111.170-0382.060 | Y=0392.040-0403.280 | thửa đất số 268, tờ BĐĐC số 109 về bên trái và đến hết ranh
P=1455 | X=0111.170-0378.690 | Y=0403.560-0414.800 | thửa đất số 14, tờ BĐĐC số 109 về bên trái) có hiện trạng là
P=1455 | X=0111.170-0246.940 | Y=0415.080-0426.320 | đường nhựa, bê tông xi măng:
P=1455 | X=0094.820-0105.940 | Y=0425.840-0435.160 | 80
P=1455 | X=0414.140-0430.780 | Y=0425.840-0435.160 | 540
P=1455 | X=0461.690-0478.330 | Y=0425.840-0435.160 | 380
P=1455 | X=0505.390-0522.030 | Y=0425.840-0435.160 | 320
P=1455 | X=0111.170-0342.720 | Y=0432.600-0443.840 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1455 | X=0111.170-0364.480 | Y=0450.140-0461.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1455 | X=0111.170-0206.120 | Y=0461.660-0472.900 | >500m đến ≤1.000m.
P=1455 | X=0111.170-0334.340 | Y=0479.180-0490.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1455 | X=0111.170-0380.150 | Y=0496.940-0508.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bến
P=1455 | X=0111.170-0378.200 | Y=0508.220-0519.460 | Nôm đoạn từ Giáp ranh nghĩa địa đến Bến Cá (đến hết ranh
P=1455 | X=0111.170-0382.060 | Y=0519.740-0530.980 | thửa đất số 268, tờ BĐĐC số 109 về bên trái và đến hết ranh
P=1455 | X=0111.170-0378.690 | Y=0531.260-0542.500 | thửa đất số 14, tờ BĐĐC số 109 về bên trái) có hiện trạng là
P=1455 | X=0094.820-0246.940 | Y=0542.810-0554.250 | 81 đường nhựa, bê tông xi măng:
P=1455 | X=0414.140-0430.780 | Y=0544.930-0554.250 | 410
P=1455 | X=0461.690-0478.330 | Y=0544.930-0554.250 | 290
P=1455 | X=0505.390-0522.030 | Y=0544.930-0554.250 | 250
P=1455 | X=0111.170-0352.280 | Y=0560.330-0571.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1455 | X=0111.170-0153.310 | Y=0573.730-0583.050 | >1.000m.
P=1455 | X=0111.170-0334.810 | Y=0589.370-0600.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1455 | X=0111.170-0384.680 | Y=0607.130-0618.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1455 | X=0111.170-0382.540 | Y=0618.670-0629.910 | ra Đường Bến Nôm đoạn từ Giáp ranh nghĩa địa đến Bến Cá
P=1455 | X=0111.170-0385.380 | Y=0630.190-0641.430 | (đến hết ranh thửa đất số 268, tờ BĐĐC số 109 về bên trái và
P=1455 | X=0111.170-0379.870 | Y=0641.710-0652.950 | đến hết ranh thửa đất số 14, tờ BĐĐC số 109 về bên trái) có
P=1455 | X=0094.820-0105.940 | Y=0649.590-0658.910 | 82
P=1455 | X=0414.140-0430.780 | Y=0649.590-0658.910 | 610
P=1455 | X=0461.690-0478.330 | Y=0649.590-0658.910 | 430
P=1455 | X=0505.390-0522.030 | Y=0649.590-0658.910 | 370
P=1455 | X=0111.170-0304.780 | Y=0653.230-0664.470 | hiện trạng là đường nhựa, bê tông xi măng:
P=1455 | X=0111.170-0342.250 | Y=0670.510-0681.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1455 | X=0111.170-0388.360 | Y=0688.030-0699.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1455 | X=0094.820-0384.680 | Y=0705.810-0717.050 | 83 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1455 | X=0414.140-0430.780 | Y=0707.700-0717.020 | 490
P=1455 | X=0461.690-0478.330 | Y=0707.700-0717.020 | 340
P=1455 | X=0505.390-0522.030 | Y=0707.700-0717.020 | 290
P=1456 | X=0111.170-0382.540 | Y=0072.500-0083.740 | ra Đường Bến Nôm đoạn từ Giáp ranh nghĩa địa đến Bến Cá
P=1456 | X=0111.170-0385.380 | Y=0084.020-0095.260 | (đến hết ranh thửa đất số 268, tờ BĐĐC số 109 về bên trái và
