TABLE=056 | AREA=Phường Bình Phước | SECTION=non-agricultural | SEGMENTS=1
P=1879 | X=0107.330-0234.640 | Y=0194.210-0205.450 | Các tuyến đường giao thông
P=1879 | X=0107.330-0250.900 | Y=0205.750-0216.990 | đấu nối trực tiếp ra đường Quốc
P=1879 | X=0107.330-0228.130 | Y=0219.150-0228.470 | lộ 14 từ HLLG vào sâu trên
P=1879 | X=0252.820-0350.840 | Y=0223.030-0234.270 | Ngã tư Đồng Đường
P=1879 | X=0090.020-0249.380 | Y=0228.790-0240.030 | 398 200m đến 500m có bề rộng mặt
P=1879 | X=0391.820-0416.870 | Y=0230.670-0239.990 | 3.400
P=1879 | X=0435.290-0460.340 | Y=0230.670-0239.990 | 2.400
P=1879 | X=0497.230-0522.280 | Y=0230.670-0239.990 | 2.000
P=1879 | X=0252.820-0272.590 | Y=0236.430-0245.750 | Xoài
P=1879 | X=0319.080-0374.630 | Y=0236.430-0245.750 | Nguyễn Huệ
P=1879 | X=0107.330-0250.200 | Y=0240.310-0251.550 | đường dưới 4m đã được đầu tư
P=1879 | X=0107.330-0231.980 | Y=0251.830-0263.070 | mặt đường nhựa, bê tông xi
P=1879 | X=0107.330-0132.610 | Y=0263.350-0274.590 | măng
P=1879 | X=0107.330-0234.640 | Y=0281.380-0292.620 | Các tuyến đường giao thông
P=1879 | X=0107.330-0250.900 | Y=0292.900-0304.140 | đấu nối trực tiếp ra đường Quốc
P=1879 | X=0107.330-0228.130 | Y=0306.300-0315.620 | lộ 14 từ HLLG vào sâu trên
P=1879 | X=0319.080-0376.440 | Y=0306.300-0315.620 | Hết ranh quy
P=1879 | X=0252.820-0284.580 | Y=0309.940-0321.180 | Đường
P=1879 | X=0090.020-0249.380 | Y=0315.700-0326.940 | 399 200m đến 500m có bề rộng mặt
P=1879 | X=0319.080-0379.190 | Y=0315.700-0326.940 | hoạch đường
P=1879 | X=0391.820-0416.870 | Y=0317.580-0326.900 | 3.000
P=1879 | X=0435.290-0460.340 | Y=0317.580-0326.900 | 2.100
P=1879 | X=0497.230-0522.280 | Y=0317.580-0326.900 | 1.800
P=1879 | X=0252.820-0308.370 | Y=0323.340-0332.660 | Nguyễn Huệ
P=1879 | X=0107.330-0250.200 | Y=0327.220-0338.460 | đường dưới 4m đã được đầu tư
P=1879 | X=0319.080-0337.880 | Y=0329.100-0338.420 | số 2
P=1879 | X=0107.330-0231.980 | Y=0338.740-0349.980 | mặt đường nhựa, bê tông xi
P=1879 | X=0107.330-0132.610 | Y=0350.260-0361.500 | măng
P=1879 | X=0107.330-0234.640 | Y=0368.280-0379.520 | Các tuyến đường giao thông
P=1879 | X=0107.330-0250.900 | Y=0379.800-0391.040 | đấu nối trực tiếp ra đường Quốc
P=1879 | X=0107.330-0228.130 | Y=0393.200-0402.520 | lộ 14 từ HLLG vào sâu trên
P=1879 | X=0252.820-0310.180 | Y=0393.200-0402.520 | Hết ranh quy
P=1879 | X=0090.020-0359.000 | Y=0402.840-0414.080 | 400 200m đến 500m có bề rộng mặt hoạch đường Cầu số 2
P=1879 | X=0391.820-0416.870 | Y=0404.720-0414.040 | 2.600
P=1879 | X=0435.290-0460.340 | Y=0404.720-0414.040 | 1.800
P=1879 | X=0497.230-0522.280 | Y=0404.720-0414.040 | 1.600
P=1879 | X=0107.330-0271.620 | Y=0414.360-0425.600 | đường dưới 4m đã được đầu tư số 2
P=1879 | X=0107.330-0231.980 | Y=0425.880-0437.120 | mặt đường nhựa, bê tông xi
P=1879 | X=0107.330-0132.610 | Y=0437.400-0448.640 | măng
P=1879 | X=0107.330-0234.640 | Y=0455.420-0466.660 | Các tuyến đường giao thông
P=1879 | X=0107.330-0250.900 | Y=0466.940-0478.180 | đấu nối trực tiếp ra đường Quốc
P=1879 | X=0107.330-0228.130 | Y=0480.100-0489.420 | lộ 14 từ HLLG vào sâu trên
P=1879 | X=0107.330-0242.020 | Y=0489.740-0500.980 | 500m có khoảng cách từ điểm
P=1879 | X=0107.330-0350.840 | Y=0501.260-0512.500 | đấu nối đến Ngã tư Đồng Xoài Ngã tư Đồng Đường
P=1879 | X=0090.020-0106.660 | Y=0508.900-0518.220 | 401
P=1879 | X=0391.820-0416.870 | Y=0508.900-0518.220 | 3.300
P=1879 | X=0435.290-0460.340 | Y=0508.900-0518.220 | 2.300
P=1879 | X=0497.230-0522.280 | Y=0508.900-0518.220 | 2.000
P=1879 | X=0107.330-0272.590 | Y=0512.780-0524.020 | hoặc Đường Nguyễn Huệ trong Xoài
P=1879 | X=0319.080-0374.630 | Y=0514.660-0523.980 | Nguyễn Huệ
P=1879 | X=0107.330-0231.540 | Y=0526.180-0535.500 | phạm vi 200m trở lên Có bề
P=1879 | X=0107.330-0234.130 | Y=0535.850-0547.090 | rộng mặt đường dưới 4m đã
P=1879 | X=0107.330-0244.110 | Y=0547.370-0558.610 | được đầu tư mặt đường nhựa,
P=1879 | X=0107.330-0178.690 | Y=0558.890-0570.130 | bê tông xi măng
P=1879 | X=0107.330-0234.640 | Y=0576.890-0588.130 | Các tuyến đường giao thông
P=1879 | X=0107.330-0250.900 | Y=0588.410-0599.650 | đấu nối trực tiếp ra đường Quốc
P=1879 | X=0107.330-0228.130 | Y=0601.810-0611.130 | lộ 14 từ HLLG vào sâu trên
P=1879 | X=0107.330-0242.020 | Y=0611.450-0622.690 | 500m có khoảng cách từ điểm
P=1879 | X=0319.080-0376.440 | Y=0619.110-0628.430 | Hết ranh quy
P=1879 | X=0107.330-0231.540 | Y=0622.750-0633.990 | đấu nối đến Đường Nguyễn
P=1879 | X=0252.820-0284.580 | Y=0622.750-0633.990 | Đường
P=1879 | X=0319.080-0379.190 | Y=0628.510-0639.750 | hoạch đường
P=1879 | X=0090.020-0106.660 | Y=0630.390-0639.710 | 402
P=1879 | X=0391.820-0416.870 | Y=0630.390-0639.710 | 2.900
P=1879 | X=0435.290-0460.340 | Y=0630.390-0639.710 | 2.000
P=1879 | X=0497.230-0522.280 | Y=0630.390-0639.710 | 1.700
P=1879 | X=0107.330-0308.370 | Y=0636.150-0645.470 | Huệ hoặc Hết ranh quy hoạch Nguyễn Huệ
P=1879 | X=0319.080-0337.880 | Y=0641.910-0651.230 | số 2
P=1879 | X=0107.330-0250.130 | Y=0645.790-0657.030 | đường số 2 trong phạm vi 200m
P=1879 | X=0107.330-0238.510 | Y=0657.310-0668.550 | trở lên có bề rộng mặt đường
P=1879 | X=0107.330-0236.900 | Y=0668.830-0680.070 | dưới 4m đã được đầu tư mặt
P=1879 | X=0107.330-0240.360 | Y=0680.350-0691.590 | đường nhựa, bê tông xi măng
P=1879 | X=0090.020-0234.640 | Y=0698.350-0709.590 | 403 Các tuyến đường giao thông
P=1879 | X=0252.820-0359.000 | Y=0700.230-0709.550 | Hết ranh quy Cầu số 2
P=1879 | X=0391.820-0416.870 | Y=0700.230-0709.550 | 2.500
P=1879 | X=0435.290-0460.340 | Y=0700.230-0709.550 | 1.800
P=1879 | X=0497.230-0522.280 | Y=0700.230-0709.550 | 1.500
P=1880 | X=0107.330-0312.930 | Y=0072.740-0083.980 | đấu nối trực tiếp ra đường Quốc hoạch đường
P=1880 | X=0107.330-0228.130 | Y=0086.140-0095.460 | lộ 14 từ HLLG vào sâu trên
P=1880 | X=0252.820-0271.620 | Y=0086.140-0095.460 | số 2
P=1880 | X=0107.330-0242.020 | Y=0095.780-0107.020 | 500m có khoảng cách từ điểm
P=1880 | X=0107.330-0249.790 | Y=0107.300-0118.540 | đấu nối đến Hết ranh quy hoạch
P=1880 | X=0107.330-0251.910 | Y=0118.850-0130.090 | đường số 2 hoặc Cầu số 2 trong
P=1880 | X=0107.330-0251.940 | Y=0132.250-0141.570 | phạm vi 200m trở lên có bề rộng
P=1880 | X=0107.330-0237.940 | Y=0141.650-0152.890 | mặt đường dưới 4m đã được
P=1880 | X=0107.330-0231.510 | Y=0153.170-0164.410 | đầu tư mặt đường nhựa, bê
P=1880 | X=0107.330-0164.770 | Y=0164.690-0175.930 | tông xi măng
P=1880 | X=0107.330-0234.640 | Y=0182.690-0193.930 | Các tuyến đường giao thông
P=1880 | X=0107.330-0250.900 | Y=0194.210-0205.450 | đấu nối trực tiếp ra đường Quốc
P=1880 | X=0252.820-0350.840 | Y=0205.750-0216.990 | Ngã tư Đồng Đường
P=1880 | X=0107.330-0228.130 | Y=0207.630-0216.950 | lộ 14 từ HLLG vào sâu trên
P=1880 | X=0090.020-0106.660 | Y=0213.390-0222.710 | 404
P=1880 | X=0391.820-0416.870 | Y=0213.390-0222.710 | 3.000
P=1880 | X=0435.290-0460.340 | Y=0213.390-0222.710 | 2.100
P=1880 | X=0497.230-0522.280 | Y=0213.390-0222.710 | 1.800
P=1880 | X=0107.330-0234.870 | Y=0217.270-0228.510 | 500m có bề rộng mặt đường
P=1880 | X=0252.820-0272.580 | Y=0219.150-0228.470 | Xoài
P=1880 | X=0319.080-0374.630 | Y=0219.150-0228.470 | Nguyễn Huệ
P=1880 | X=0107.330-0236.900 | Y=0228.790-0240.030 | dưới 4m đã được đầu tư mặt
P=1880 | X=0107.330-0240.360 | Y=0240.310-0251.550 | đường nhựa, bê tông xi măng
P=1880 | X=0107.330-0234.640 | Y=0258.310-0269.550 | Các tuyến đường giao thông
P=1880 | X=0107.330-0250.900 | Y=0269.830-0281.070 | đấu nối trực tiếp ra đường Quốc
P=1880 | X=0319.080-0376.440 | Y=0277.470-0286.790 | Hết ranh quy
P=1880 | X=0252.820-0284.580 | Y=0281.380-0292.620 | Đường
P=1880 | X=0107.330-0228.130 | Y=0283.260-0292.580 | lộ 14 từ HLLG vào sâu trên
P=1880 | X=0319.080-0379.190 | Y=0287.140-0298.380 | hoạch đường
P=1880 | X=0090.020-0106.660 | Y=0289.020-0298.340 | 405
P=1880 | X=0391.820-0416.870 | Y=0289.020-0298.340 | 2.600
P=1880 | X=0435.290-0460.340 | Y=0289.020-0298.340 | 1.800
P=1880 | X=0497.230-0522.280 | Y=0289.020-0298.340 | 1.600
P=1880 | X=0107.330-0234.870 | Y=0292.900-0304.140 | 500m có bề rộng mặt đường
P=1880 | X=0252.820-0308.370 | Y=0294.780-0304.100 | Nguyễn Huệ
P=1880 | X=0319.080-0339.800 | Y=0300.540-0309.860 | Số 2
P=1880 | X=0107.330-0236.900 | Y=0304.420-0315.660 | dưới 4m đã được đầu tư mặt
P=1880 | X=0107.330-0240.360 | Y=0315.700-0326.940 | đường nhựa, bê tông xi măng
P=1880 | X=0107.330-0234.640 | Y=0333.700-0344.940 | Các tuyến đường giao thông
P=1880 | X=0107.330-0250.900 | Y=0345.220-0356.460 | đấu nối trực tiếp ra đường Quốc
P=1880 | X=0252.820-0310.180 | Y=0352.860-0362.180 | Hết ranh quy
P=1880 | X=0107.330-0228.130 | Y=0358.620-0367.940 | lộ 14 từ HLLG vào sâu trên
P=1880 | X=0252.820-0359.000 | Y=0362.500-0373.740 | hoạch đường Cầu số 2
P=1880 | X=0090.020-0106.660 | Y=0364.380-0373.700 | 406
P=1880 | X=0391.820-0416.870 | Y=0364.380-0373.700 | 2.200
P=1880 | X=0435.290-0460.340 | Y=0364.380-0373.700 | 1.500
P=1880 | X=0497.230-0522.280 | Y=0364.380-0373.700 | 1.300
P=1880 | X=0107.330-0234.870 | Y=0368.280-0379.520 | 500m có bề rộng mặt đường
P=1880 | X=0252.820-0271.620 | Y=0375.920-0385.240 | số 2
P=1880 | X=0107.330-0236.900 | Y=0379.800-0391.040 | dưới 4m đã được đầu tư mặt
P=1880 | X=0107.330-0240.360 | Y=0391.320-0402.560 | đường nhựa, bê tông xi măng
P=1880 | X=0107.330-0234.640 | Y=0409.320-0420.560 | Các tuyến đường giao thông
P=1880 | X=0107.330-0250.900 | Y=0420.840-0432.080 | đấu nối trực tiếp ra đường Quốc
P=1880 | X=0107.330-0227.440 | Y=0432.360-0443.600 | lộ 14 từ HLLG vào sâu đến
P=1880 | X=0107.330-0242.020 | Y=0443.880-0455.120 | 100m có khoảng cách từ điểm
P=1880 | X=0107.330-0350.840 | Y=0455.420-0466.660 | đấu nối đến Ngã tư Đồng Xoài Ngã tư Đồng Đường
P=1880 | X=0090.020-0106.660 | Y=0463.060-0472.380 | 407
P=1880 | X=0391.820-0416.870 | Y=0463.060-0472.380 | 3.800
P=1880 | X=0435.290-0460.340 | Y=0463.060-0472.380 | 2.700
P=1880 | X=0497.230-0522.280 | Y=0463.060-0472.380 | 2.300
P=1880 | X=0107.330-0272.590 | Y=0466.940-0478.180 | hoặc Đường Nguyễn Huệ trong Xoài
P=1880 | X=0319.080-0374.630 | Y=0468.820-0478.140 | Nguyễn Huệ
P=1880 | X=0107.330-0251.940 | Y=0480.100-0489.420 | phạm vi 200m trở lên có bề rộng
P=1880 | X=0107.330-0249.700 | Y=0489.740-0500.980 | mặt đường dưới 4m chưa được
P=1880 | X=0107.330-0231.510 | Y=0501.260-0512.500 | đầu tư mặt đường nhựa, bê
P=1880 | X=0107.330-0164.760 | Y=0512.780-0524.020 | tông xi măng
P=1880 | X=0107.330-0234.640 | Y=0530.780-0542.020 | Các tuyến đường giao thông
P=1880 | X=0107.330-0250.900 | Y=0542.330-0553.570 | đấu nối trực tiếp ra đường Quốc
P=1880 | X=0107.330-0227.440 | Y=0553.850-0565.090 | lộ 14 từ HLLG vào sâu đến
P=1880 | X=0107.330-0242.020 | Y=0565.370-0576.610 | 100m có khoảng cách từ điểm
P=1880 | X=0319.080-0376.440 | Y=0573.010-0582.330 | Hết ranh quy
P=1880 | X=0107.330-0231.540 | Y=0576.890-0588.130 | đấu nối đến Đường Nguyễn
P=1880 | X=0252.820-0284.580 | Y=0576.890-0588.130 | Đường
P=1880 | X=0319.080-0379.190 | Y=0582.650-0593.890 | hoạch đường
P=1880 | X=0090.020-0106.660 | Y=0584.530-0593.850 | 408
P=1880 | X=0391.820-0416.870 | Y=0584.530-0593.850 | 3.300
P=1880 | X=0435.290-0460.340 | Y=0584.530-0593.850 | 2.300
P=1880 | X=0497.230-0522.280 | Y=0584.530-0593.850 | 2.000
P=1880 | X=0107.330-0308.370 | Y=0590.290-0599.610 | Huệ hoặc Hết ranh quy hoạch Nguyễn Huệ
P=1880 | X=0319.080-0337.880 | Y=0596.050-0605.370 | số 2
P=1880 | X=0107.330-0250.150 | Y=0599.930-0611.170 | đường số 2 trong phạm vi 200m
P=1880 | X=0107.330-0238.510 | Y=0611.450-0622.690 | trở lên có bề rộng mặt đường
P=1880 | X=0107.330-0248.660 | Y=0622.750-0633.990 | dưới 4m chưa được đầu tư mặt
P=1880 | X=0107.330-0240.360 | Y=0634.270-0645.510 | đường nhựa, bê tông xi măng
P=1880 | X=0107.330-0234.640 | Y=0652.270-0663.510 | Các tuyến đường giao thông
P=1880 | X=0107.330-0308.500 | Y=0663.790-0675.030 | đấu nối trực tiếp ra đường Quốc hết ranh quy
P=1880 | X=0090.020-0227.440 | Y=0675.310-0686.550 | 409 lộ 14 từ HLLG vào sâu đến
P=1880 | X=0252.820-0359.000 | Y=0675.310-0686.550 | hoạch đường Cầu số 2
P=1880 | X=0391.820-0416.870 | Y=0677.190-0686.510 | 2.900
P=1880 | X=0435.290-0460.340 | Y=0677.190-0686.510 | 2.000
P=1880 | X=0497.230-0522.280 | Y=0677.190-0686.510 | 1.700
P=1880 | X=0107.330-0271.620 | Y=0686.830-0698.070 | 100m có khoảng cách từ điểm số 2
P=1880 | X=0107.330-0249.790 | Y=0698.350-0709.590 | đấu nối đến Hết ranh quy hoạch
P=1881 | X=0107.330-0228.150 | Y=0072.740-0083.980 | đường số 2 hoặc Cầu Số 2
P=1881 | X=0107.330-0240.860 | Y=0086.140-0095.460 | trong phạm vi 200m trở lên có
P=1881 | X=0107.330-0233.820 | Y=0095.780-0107.020 | bề rộng mặt đường dưới 4m
P=1881 | X=0107.330-0240.910 | Y=0107.300-0118.540 | chưa được đầu tư mặt đường
P=1881 | X=0107.330-0207.720 | Y=0118.850-0130.090 | nhựa, bê tông xi măng
P=1881 | X=0107.330-0234.640 | Y=0136.850-0148.090 | Các tuyến đường giao thông
P=1881 | X=0107.330-0250.900 | Y=0148.370-0159.610 | đấu nối trực tiếp ra đường Quốc
P=1881 | X=0107.330-0227.440 | Y=0159.650-0170.890 | lộ 14 từ HLLG vào sáu đến
P=1881 | X=0252.820-0350.840 | Y=0159.650-0170.890 | Ngã tư Đồng Đường
P=1881 | X=0090.020-0106.660 | Y=0167.290-0176.610 | 410
P=1881 | X=0391.820-0416.870 | Y=0167.290-0176.610 | 3.400
P=1881 | X=0435.290-0460.340 | Y=0167.290-0176.610 | 2.400
P=1881 | X=0497.230-0522.280 | Y=0167.290-0176.610 | 2.000
P=1881 | X=0107.330-0234.870 | Y=0171.170-0182.410 | 100m có bề rộng mặt đường
P=1881 | X=0252.820-0272.590 | Y=0173.050-0182.370 | Xoài
P=1881 | X=0319.080-0374.630 | Y=0173.050-0182.370 | Nguyễn Huệ
P=1881 | X=0107.330-0248.660 | Y=0182.690-0193.930 | dưới 4m chưa được đầu tư mặt
P=1881 | X=0107.330-0240.360 | Y=0194.210-0205.450 | đường nhựa, bê tông xi măng
P=1881 | X=0107.330-0234.640 | Y=0212.230-0223.470 | Các tuyến đường giao thông
P=1881 | X=0107.330-0250.900 | Y=0223.750-0234.990 | đấu nối trực tiếp ra đường Quốc
P=1881 | X=0319.080-0376.440 | Y=0231.390-0240.710 | Hết ranh quy
P=1881 | X=0107.330-0227.440 | Y=0235.270-0246.510 | lộ 14 từ HLLG vào sâu đến
P=1881 | X=0252.820-0284.580 | Y=0235.270-0246.510 | Đường
P=1881 | X=0319.080-0379.190 | Y=0241.030-0252.270 | hoạch đường
P=1881 | X=0090.020-0106.660 | Y=0242.910-0252.230 | 411
P=1881 | X=0391.820-0416.870 | Y=0242.910-0252.230 | 3.000
P=1881 | X=0435.290-0460.340 | Y=0242.910-0252.230 | 2.100
P=1881 | X=0497.230-0522.280 | Y=0242.910-0252.230 | 1.800
P=1881 | X=0107.330-0234.870 | Y=0246.790-0258.030 | 100m có bề rộng mặt đường
P=1881 | X=0252.820-0308.370 | Y=0248.670-0257.990 | Nguyễn Huệ
P=1881 | X=0319.080-0337.880 | Y=0254.430-0263.750 | số 2
P=1881 | X=0107.330-0248.660 | Y=0258.310-0269.550 | dưới 4m chưa được đầu tư mặt
P=1881 | X=0107.330-0240.360 | Y=0269.830-0281.070 | đường nhựa, bê tông xi măng
P=1881 | X=0107.330-0234.640 | Y=0287.860-0299.100 | Các tuyến đường giao thông
P=1881 | X=0107.330-0250.900 | Y=0299.380-0310.620 | đấu nối trực tiếp ra đường Quốc
P=1881 | X=0252.820-0310.180 | Y=0307.020-0316.340 | Hết ranh quy
P=1881 | X=0107.330-0227.440 | Y=0310.900-0322.140 | lộ 14 từ HLLG vào sâu đền
P=1881 | X=0252.820-0359.000 | Y=0316.660-0327.900 | hoạch đường Cầu số 2
P=1881 | X=0090.020-0106.660 | Y=0318.540-0327.860 | 412
P=1881 | X=0391.820-0416.870 | Y=0318.540-0327.860 | 2.600
P=1881 | X=0435.290-0460.340 | Y=0318.540-0327.860 | 1.000
P=1881 | X=0497.230-0522.280 | Y=0318.540-0327.860 | 1.600
P=1881 | X=0107.330-0237.070 | Y=0322.180-0333.420 | 100m Có bề rộng mặt đường
P=1881 | X=0252.820-0271.620 | Y=0329.820-0339.140 | số 2
P=1881 | X=0107.330-0248.660 | Y=0333.700-0344.940 | dưới 4m chưa được đầu tư mặt
P=1881 | X=0107.330-0240.360 | Y=0345.220-0356.460 | đường nhựa, bê tông xi măng
P=1881 | X=0107.330-0234.640 | Y=0363.220-0374.460 | Các tuyến đường giao thông
P=1881 | X=0107.330-0250.900 | Y=0374.760-0386.000 | đấu nối trực tiếp ra đường Quốc
P=1881 | X=0107.330-0228.130 | Y=0388.160-0397.480 | lộ 14 từ HLLG vào sâu trên
P=1881 | X=0107.330-0228.630 | Y=0397.800-0409.040 | 100m đến 200m có khoảng
P=1881 | X=0107.330-0241.600 | Y=0409.320-0420.560 | cách từ điểm đấu nối đến Ngã
P=1881 | X=0252.820-0350.840 | Y=0415.080-0426.320 | Ngã tư Đồng Đường
P=1881 | X=0090.020-0225.270 | Y=0420.840-0432.080 | 413 tư Đồng Xoài hoặc Đường
P=1881 | X=0391.820-0416.870 | Y=0422.720-0432.040 | 3.400
P=1881 | X=0435.290-0460.340 | Y=0422.720-0432.040 | 2.400
P=1881 | X=0497.230-0522.280 | Y=0422.720-0432.040 | 2.000
P=1881 | X=0252.820-0272.590 | Y=0428.480-0437.800 | Xoài
P=1881 | X=0319.080-0374.630 | Y=0428.480-0437.800 | Nguyễn Huệ
P=1881 | X=0107.330-0226.460 | Y=0434.240-0443.560 | Nguyễn Huệ trong phạm vi
P=1881 | X=0107.330-0233.540 | Y=0445.760-0455.080 | 200m trở lên có bề rộng mặt
P=1881 | X=0107.330-0249.540 | Y=0455.420-0466.660 | đường dưới 4m chưa được đầu
P=1881 | X=0107.330-0244.220 | Y=0466.940-0478.180 | tư mặt đường nhựa, bê tông xi
P=1881 | X=0107.330-0132.610 | Y=0478.220-0489.460 | măng
P=1881 | X=0107.330-0234.640 | Y=0496.220-0507.460 | Các tuyến đường giao thông
P=1881 | X=0107.330-0250.900 | Y=0507.740-0518.980 | đấu nối trực tiếp ra đường Quốc
P=1881 | X=0107.330-0228.130 | Y=0521.140-0530.460 | lộ 14 từ HLLG vào sâu trên
P=1881 | X=0107.330-0228.630 | Y=0530.780-0542.020 | 100m đến 200m có khoảng
P=1881 | X=0107.330-0220.470 | Y=0542.330-0553.570 | cách từ điểm đấu nối đến
P=1881 | X=0319.080-0376.440 | Y=0544.210-0553.530 | Hết ranh quy
P=1881 | X=0252.820-0284.580 | Y=0548.090-0559.330 | Đường
P=1881 | X=0090.020-0240.260 | Y=0553.850-0565.090 | 414 Đường Nguyễn Huệ hoặc Hết
P=1881 | X=0319.080-0379.190 | Y=0553.850-0565.090 | hoạch đường
P=1881 | X=0391.820-0416.870 | Y=0555.730-0565.050 | 3.000
P=1881 | X=0435.290-0460.340 | Y=0555.730-0565.050 | 2.100
P=1881 | X=0497.230-0522.280 | Y=0555.730-0565.050 | 1.800
P=1881 | X=0252.820-0308.370 | Y=0561.490-0570.810 | Nguyễn Huệ
P=1881 | X=0107.330-0230.820 | Y=0565.370-0576.610 | ranh quy hoạch đường số 2
P=1881 | X=0319.080-0337.880 | Y=0567.250-0576.570 | số 2
P=1881 | X=0107.330-0240.860 | Y=0578.770-0588.090 | trong phạm vi 200m trở lên có
P=1881 | X=0107.330-0233.820 | Y=0588.410-0599.650 | bề rộng mặt đường dưới 4m
P=1881 | X=0107.330-0240.900 | Y=0599.930-0611.170 | chưa được đầu tư mặt đường
P=1881 | X=0107.330-0207.720 | Y=0611.450-0622.690 | nhựa, bê tông xi măng
P=1881 | X=0107.330-0234.640 | Y=0629.470-0640.710 | Các tuyến đường giao thông
P=1881 | X=0107.330-0250.900 | Y=0640.750-0651.990 | đấu nối trực tiếp ra đường Quốc
P=1881 | X=0107.330-0228.130 | Y=0654.150-0663.470 | lộ 14 từ HLLG vào sâu trên
P=1881 | X=0252.820-0310.180 | Y=0654.150-0663.470 | Hết ranh quy
P=1881 | X=0090.020-0228.630 | Y=0663.790-0675.030 | 415 100m đến 200m có khoảng
P=1881 | X=0252.820-0359.000 | Y=0663.790-0675.030 | hoạch đường Cầu số 2
P=1881 | X=0391.820-0416.870 | Y=0665.670-0674.990 | 2.600
P=1881 | X=0435.290-0460.340 | Y=0665.670-0674.990 | 1.800
P=1881 | X=0497.230-0522.280 | Y=0665.670-0674.990 | 1.600
P=1881 | X=0107.330-0271.620 | Y=0675.310-0686.550 | cách từ điểm đầu nối đến Hết số 2
P=1881 | X=0107.330-0230.820 | Y=0686.830-0698.070 | ranh quy hoạch đường số 2
P=1881 | X=0107.330-0235.330 | Y=0700.230-0709.550 | hoặc Cầu số 2 trong phạm vi
P=1882 | X=0107.330-0233.540 | Y=0074.620-0083.940 | 200m trở lên có bề rộng mặt
P=1882 | X=0107.330-0249.540 | Y=0084.260-0095.500 | đường dưới 4m chưa được đầu
P=1882 | X=0107.330-0244.220 | Y=0095.780-0107.020 | tư mặt đường nhựa, bê tông xi
P=1882 | X=0107.330-0132.610 | Y=0107.300-0118.540 | măng
P=1882 | X=0107.330-0234.640 | Y=0125.330-0136.570 | Các tuyến đường giao thông
P=1882 | X=0107.330-0250.900 | Y=0136.850-0148.090 | đấu nối trực tiếp ra đường Quốc
P=1882 | X=0107.330-0228.130 | Y=0150.250-0159.570 | lộ 14 từ HLLG vào sâu trên
P=1882 | X=0252.820-0350.840 | Y=0154.130-0165.370 | Ngã tư Đồng Đường
P=1882 | X=0090.020-0249.380 | Y=0159.650-0170.890 | 416 100m đến 200m có bề rộng mặt
P=1882 | X=0391.820-0416.870 | Y=0161.530-0170.850 | 3.100
P=1882 | X=0435.290-0460.340 | Y=0161.530-0170.850 | 2.200
P=1882 | X=0497.230-0522.280 | Y=0161.530-0170.850 | 1.900
P=1882 | X=0252.820-0272.590 | Y=0167.290-0176.610 | Xoài
P=1882 | X=0319.080-0374.630 | Y=0167.290-0176.610 | Nguyễn Huệ
P=1882 | X=0107.330-0249.540 | Y=0171.170-0182.410 | đường dưới 4m chưa được đầu
P=1882 | X=0107.330-0244.220 | Y=0182.690-0193.930 | tư mặt đường nhựa, bê tông xi
P=1882 | X=0107.330-0132.610 | Y=0194.210-0205.450 | măng
P=1882 | X=0107.330-0234.640 | Y=0212.230-0223.470 | Các tuyến đường giao thông
P=1882 | X=0107.330-0250.900 | Y=0223.750-0234.990 | đấu nối trực tiếp ra đường Quốc
P=1882 | X=0107.330-0228.130 | Y=0237.150-0246.470 | lộ 14 từ HLLG vào sâu trên
P=1882 | X=0319.080-0376.440 | Y=0237.150-0246.470 | Hết ranh quy
P=1882 | X=0252.820-0284.580 | Y=0241.030-0252.270 | Đường
P=1882 | X=0090.020-0249.380 | Y=0246.790-0258.030 | 417 100m đến 200m có bề rộng mặt
P=1882 | X=0319.080-0379.190 | Y=0246.790-0258.030 | hoạch đường
P=1882 | X=0391.820-0416.870 | Y=0248.670-0257.990 | 2.700
P=1882 | X=0435.290-0460.340 | Y=0248.670-0257.990 | 1.900
P=1882 | X=0497.230-0522.280 | Y=0248.670-0257.990 | 1.600
P=1882 | X=0252.820-0308.370 | Y=0254.430-0263.750 | Nguyễn Huệ
P=1882 | X=0107.330-0249.540 | Y=0258.310-0269.550 | đường dưới 4m chưa được đầu
P=1882 | X=0319.080-0337.880 | Y=0260.190-0269.510 | số 2
P=1882 | X=0107.330-0244.220 | Y=0269.830-0281.070 | tư mặt đường nhựa, bê tông xi
P=1882 | X=0107.330-0132.610 | Y=0281.380-0292.620 | măng
P=1882 | X=0107.330-0234.640 | Y=0299.380-0310.620 | Các tuyến đường giao thông
P=1882 | X=0107.330-0250.900 | Y=0310.900-0322.140 | đấu nối trực tiếp ra đường Quốc
P=1882 | X=0107.330-0228.130 | Y=0324.060-0333.380 | lộ 14 từ HLLG vào sâu trên
P=1882 | X=0252.820-0310.180 | Y=0324.060-0333.380 | Hết ranh quy
P=1882 | X=0090.020-0359.000 | Y=0333.700-0344.940 | 418 100m đến 200m có bề rộng mặt hoạch đường Cầu số 2
P=1882 | X=0391.820-0416.870 | Y=0335.580-0344.900 | 2.400
P=1882 | X=0435.290-0460.340 | Y=0335.580-0344.900 | 1.700
P=1882 | X=0497.230-0522.280 | Y=0335.580-0344.900 | 1.400
P=1882 | X=0107.330-0271.620 | Y=0345.220-0356.460 | đường dưới 4m chưa được đầu số 2
P=1882 | X=0107.330-0244.220 | Y=0356.740-0367.980 | tư mặt đường nhựa, bê tông xi
