TABLE=017 | AREA=Xã Đại Phước | SECTION=non-agricultural | SEGMENTS=1
P=0569 | X=0106.850-0415.430 | Y=0573.050-0584.290 | Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái Tổ đến Đường Phan
P=0569 | X=0106.850-0360.740 | Y=0584.570-0595.810 | Văn Đáng có hiện trạng là đường nhựa, bê tông xi măng:
P=0569 | X=0090.020-0106.660 | Y=0592.450-0601.770 | 114
P=0569 | X=0424.970-0450.020 | Y=0592.450-0601.770 | 3.700
P=0569 | X=0461.210-0486.260 | Y=0592.450-0601.770 | 2.600
P=0569 | X=0497.230-0522.280 | Y=0592.450-0601.770 | 2.200
P=0569 | X=0106.850-0337.930 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0569 | X=0106.850-0384.020 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0569 | X=0106.850-0413.020 | Y=0637.390-0648.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0569 | X=0106.850-0415.430 | Y=0648.910-0660.150 | Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái Tổ đến Đường Phan
P=0569 | X=0106.850-0360.740 | Y=0660.430-0671.670 | Văn Đáng có hiện trạng là đường nhựa, bê tông xi măng:
P=0569 | X=0090.020-0106.660 | Y=0674.070-0683.390 | 115
P=0569 | X=0424.970-0450.020 | Y=0674.070-0683.390 | 2.900
P=0569 | X=0461.210-0486.250 | Y=0674.070-0683.390 | 2.000
P=0569 | X=0497.230-0522.280 | Y=0674.070-0683.390 | 1.700
P=0569 | X=0106.850-0338.400 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0569 | X=0106.850-0413.270 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0569 | X=0106.850-0148.530 | Y=0706.770-0718.010 | ≤1.000m.
P=0570 | X=0106.850-0330.020 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0570 | X=0106.850-0413.020 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0570 | X=0106.850-0415.430 | Y=0107.780-0119.020 | Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái Tổ đến Đường Phan
P=0570 | X=0106.850-0360.740 | Y=0119.330-0130.570 | Văn Đáng có hiện trạng là đường nhựa, bê tông xi măng:
P=0570 | X=0090.020-0106.660 | Y=0127.210-0136.530 | 116
P=0570 | X=0424.970-0450.020 | Y=0127.210-0136.530 | 2.200
P=0570 | X=0461.210-0486.260 | Y=0127.210-0136.530 | 1.500
P=0570 | X=0497.230-0522.280 | Y=0127.210-0136.530 | 1.300
P=0570 | X=0106.850-0392.640 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0570 | X=0106.850-0330.490 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0570 | X=0106.850-0392.110 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0570 | X=0106.850-0413.020 | Y=0183.410-0194.650 | Đường Nguyễn Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái
P=0570 | X=0106.850-0414.940 | Y=0194.930-0206.170 | Tổ đến Đường Phan Văn Đáng có hiện trạng là đường nhựa, bê tông
P=0570 | X=0090.020-0144.680 | Y=0206.470-0217.910 | 117 xi măng:
P=0570 | X=0424.970-0450.020 | Y=0208.590-0217.910 | 3.300
P=0570 | X=0461.210-0486.260 | Y=0208.590-0217.910 | 2.300
P=0570 | X=0497.230-0522.280 | Y=0208.590-0217.910 | 2.000
P=0570 | X=0106.850-0337.930 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0570 | X=0106.850-0384.020 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0570 | X=0106.850-0392.110 | Y=0259.270-0270.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0570 | X=0106.850-0413.020 | Y=0270.790-0282.030 | Đường Nguyễn Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái
P=0570 | X=0106.850-0414.930 | Y=0282.340-0293.580 | Tổ đến Đường Phan Văn Đáng có hiện trạng là đường nhựa, bê tông
P=0570 | X=0106.850-0144.680 | Y=0293.860-0305.100 | xi măng:
P=0570 | X=0090.020-0338.400 | Y=0310.380-0322.620 | 118 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0570 | X=0424.970-0450.010 | Y=0310.380-0319.700 | 2.600
P=0570 | X=0461.210-0486.260 | Y=0310.380-0319.700 | 1.800
P=0570 | X=0497.230-0522.280 | Y=0310.380-0319.700 | 1.600
P=0570 | X=0106.850-0413.270 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0570 | X=0106.850-0148.530 | Y=0340.420-0351.660 | ≤1.000m.
P=0570 | X=0106.850-0330.020 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0570 | X=0106.850-0392.110 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0570 | X=0106.850-0413.020 | Y=0387.000-0398.240 | Đường Nguyễn Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái
P=0570 | X=0106.850-0414.930 | Y=0398.520-0409.760 | Tổ đến Đường Phan Văn Đáng có hiện trạng là đường nhựa, bê tông
P=0570 | X=0090.020-0144.680 | Y=0410.040-0421.480 | 119 xi măng:
P=0570 | X=0424.970-0450.020 | Y=0412.160-0421.480 | 2.000
P=0570 | X=0461.210-0486.260 | Y=0412.160-0421.480 | 1.400
P=0570 | X=0497.230-0522.280 | Y=0412.160-0421.480 | 1.200
P=0570 | X=0106.850-0392.640 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0570 | X=0106.850-0330.490 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0570 | X=0322.200-0399.580 | Y=0462.860-0474.100 | Ranh thửa đất số
P=0570 | X=0090.020-0189.270 | Y=0474.380-0485.620 | 120 Đường Chòm Dầu
P=0570 | X=0235.540-0406.780 | Y=0474.380-0485.620 | Đường Lý Thái Tổ 92, tờ BĐĐC số 70
P=0570 | X=0424.970-0450.020 | Y=0476.260-0485.580 | 6.100
P=0570 | X=0461.210-0486.260 | Y=0476.260-0485.580 | 4.300
P=0570 | X=0497.230-0522.280 | Y=0476.260-0485.580 | 3.700
P=0570 | X=0322.200-0384.140 | Y=0485.900-0497.140 | xã Đại Phước
P=0570 | X=0106.850-0405.820 | Y=0503.660-0514.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chòm Dầu
P=0570 | X=0106.850-0412.780 | Y=0515.180-0526.420 | đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số 92, tờ BĐĐC số 70
P=0570 | X=0106.850-0378.260 | Y=0526.460-0537.700 | xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0570 | X=0090.020-0106.660 | Y=0534.370-0543.690 | 121
P=0570 | X=0424.970-0450.020 | Y=0534.370-0543.690 | 2.700
P=0570 | X=0461.210-0486.260 | Y=0534.370-0543.690 | 1.900
P=0570 | X=0497.230-0522.280 | Y=0534.370-0543.690 | 1.600
P=0570 | X=0106.850-0337.930 | Y=0544.010-0555.250 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0570 | X=0106.850-0384.020 | Y=0561.530-0572.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0570 | X=0106.850-0405.820 | Y=0579.290-0590.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chòm Dầu
P=0570 | X=0106.850-0412.780 | Y=0590.810-0602.050 | đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số 92, tờ BĐĐC số 70
P=0570 | X=0106.850-0378.260 | Y=0602.330-0613.570 | xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0570 | X=0090.020-0338.400 | Y=0619.870-0634.190 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0570 | X=0424.970-0450.020 | Y=0624.870-0634.190 | 2.100
P=0570 | X=0461.210-0486.260 | Y=0624.870-0634.190 | 1.500
P=0570 | X=0497.230-0522.280 | Y=0624.870-0634.190 | 1.300
P=0570 | X=0106.850-0413.270 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0570 | X=0106.850-0148.530 | Y=0648.910-0660.150 | ≤1.000m.
P=0570 | X=0106.850-0330.020 | Y=0666.430-0677.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0570 | X=0106.850-0405.820 | Y=0684.190-0695.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chòm Dầu
P=0570 | X=0090.020-0412.780 | Y=0695.710-0706.950 | 123 đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số 92, tờ BĐĐC số 70
P=0570 | X=0424.970-0450.020 | Y=0697.590-0706.910 | 1.500
P=0570 | X=0461.210-0486.260 | Y=0697.590-0706.910 | 1.100
P=0570 | X=0505.390-0522.030 | Y=0697.590-0706.910 | 900
P=0570 | X=0106.850-0378.260 | Y=0707.250-0718.490 | xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0571 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0571 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0571 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0571 | X=0106.850-0410.380 | Y=0125.330-0136.570 | Đường Chòm Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số
P=0571 | X=0106.850-0402.460 | Y=0136.850-0148.090 | 92, tờ BĐĐC số 70 xã Đại Phước có hiện trạng là đường nhựa, bê
P=0571 | X=0090.020-0167.010 | Y=0148.370-0159.810 | 124 tông xi măng:
P=0571 | X=0424.970-0450.020 | Y=0150.490-0159.810 | 2.400
P=0571 | X=0461.210-0486.260 | Y=0150.490-0159.810 | 1.700
P=0571 | X=0497.230-0522.280 | Y=0150.490-0159.810 | 1.400
P=0571 | X=0106.850-0337.930 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0571 | X=0106.850-0384.020 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0571 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0571 | X=0106.850-0410.380 | Y=0212.470-0223.710 | Đường Chòm Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số
P=0571 | X=0106.850-0402.460 | Y=0223.990-0235.230 | 92, tờ BĐĐC số 70 xã Đại Phước có hiện trạng là đường nhựa, bê
P=0571 | X=0106.850-0167.010 | Y=0235.510-0246.750 | tông xi măng:
P=0571 | X=0090.020-0338.400 | Y=0252.270-0264.270 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0571 | X=0424.970-0450.020 | Y=0252.270-0261.590 | 1.900
P=0571 | X=0461.210-0486.260 | Y=0252.270-0261.590 | 1.300
P=0571 | X=0497.230-0522.280 | Y=0252.270-0261.590 | 1.100
P=0571 | X=0106.850-0413.270 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0571 | X=0106.850-0148.530 | Y=0282.100-0293.340 | ≤1.000m.
P=0571 | X=0106.850-0330.020 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0571 | X=0106.850-0392.110 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0571 | X=0106.850-0410.380 | Y=0328.900-0340.140 | Đường Chòm Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số
P=0571 | X=0106.850-0402.460 | Y=0340.420-0351.660 | 92, tờ BĐĐC số 70 xã Đại Phước có hiện trạng là đường nhựa, bê
P=0571 | X=0090.020-0167.010 | Y=0351.700-0363.140 | 126 tông xi măng:
P=0571 | X=0424.970-0450.020 | Y=0353.820-0363.140 | 1.400
P=0571 | X=0469.370-0486.010 | Y=0353.820-0363.140 | 980
P=0571 | X=0505.390-0522.030 | Y=0353.820-0363.140 | 840
P=0571 | X=0106.850-0392.640 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0571 | X=0106.850-0330.490 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0571 | X=0322.200-0402.270 | Y=0404.520-0415.760 | Thửa đất số 28 tờ
P=0571 | X=0090.020-0212.050 | Y=0416.040-0427.280 | 127 Đường Phan Văn Đáng
P=0571 | X=0235.540-0399.820 | Y=0416.040-0427.280 | Đường Lý Thái Tổ BĐĐC số 109, xã
P=0571 | X=0424.970-0450.020 | Y=0417.920-0427.240 | 6.600
P=0571 | X=0461.210-0486.260 | Y=0417.920-0427.240 | 4.600
P=0571 | X=0497.230-0522.280 | Y=0417.920-0427.240 | 4.000
P=0571 | X=0322.200-0370.700 | Y=0427.560-0438.800 | Đại Phước
P=0571 | X=0106.850-0401.960 | Y=0445.320-0456.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Văn
P=0571 | X=0106.850-0399.350 | Y=0456.860-0468.100 | Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số 28 tờ BĐĐC số
P=0571 | X=0106.850-0400.350 | Y=0468.380-0479.620 | 109, xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0571 | X=0090.020-0106.660 | Y=0476.260-0485.580 | 128
P=0571 | X=0424.970-0450.020 | Y=0476.260-0485.580 | 2.900
P=0571 | X=0461.210-0486.260 | Y=0476.260-0485.580 | 2.000
P=0571 | X=0497.230-0522.280 | Y=0476.260-0485.580 | 1.700
P=0571 | X=0106.850-0337.930 | Y=0485.900-0497.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0571 | X=0106.850-0384.020 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0571 | X=0106.850-0401.960 | Y=0521.180-0532.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Văn
P=0571 | X=0106.850-0399.350 | Y=0532.490-0543.730 | Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số 28 tờ BĐĐC số
P=0571 | X=0106.850-0400.350 | Y=0544.010-0555.250 | 109, xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0571 | X=0090.020-0338.400 | Y=0561.530-0575.850 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0571 | X=0424.970-0450.020 | Y=0566.530-0575.850 | 2.300
P=0571 | X=0461.210-0486.260 | Y=0566.530-0575.850 | 1.600
P=0571 | X=0497.230-0522.280 | Y=0566.530-0575.850 | 1.400
P=0571 | X=0106.850-0413.270 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0571 | X=0106.850-0148.530 | Y=0590.570-0601.810 | ≤1.000m.
P=0571 | X=0106.850-0330.020 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0571 | X=0106.850-0401.960 | Y=0625.870-0637.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Văn
P=0571 | X=0106.850-0399.350 | Y=0637.390-0648.630 | Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số 28 tờ BĐĐC số
P=0571 | X=0106.850-0400.350 | Y=0648.910-0660.150 | 109, xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0571 | X=0090.020-0106.660 | Y=0656.790-0666.110 | 130
P=0571 | X=0424.970-0450.020 | Y=0656.790-0666.110 | 1.700
P=0571 | X=0461.210-0486.260 | Y=0656.790-0666.110 | 1.200
P=0571 | X=0497.230-0522.280 | Y=0656.790-0666.110 | 1.000
P=0571 | X=0106.850-0392.640 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0571 | X=0106.850-0330.490 | Y=0683.950-0695.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0571 | X=0090.020-0392.110 | Y=0701.730-0712.970 | 131 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0571 | X=0424.970-0450.020 | Y=0703.620-0712.940 | 2.600
P=0571 | X=0461.210-0486.260 | Y=0703.620-0712.940 | 1.800
P=0571 | X=0497.230-0522.280 | Y=0703.620-0712.940 | 1.600
P=0572 | X=0106.850-0409.660 | Y=0072.500-0083.740 | Đường Phan Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số
P=0572 | X=0106.850-0408.220 | Y=0084.020-0095.260 | 28 tờ BĐĐC số 109, xã Đại Phước có hiện trạng là đường nhựa, bê
P=0572 | X=0106.850-0167.010 | Y=0095.540-0106.780 | tông xi măng:
P=0572 | X=0106.850-0337.930 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0572 | X=0106.850-0384.020 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0572 | X=0106.850-0392.110 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0572 | X=0106.850-0409.660 | Y=0159.650-0170.890 | Đường Phan Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số
P=0572 | X=0106.850-0408.220 | Y=0171.170-0182.410 | 28 tờ BĐĐC số 109, xã Đại Phước có hiện trạng là đường nhựa, bê
P=0572 | X=0106.850-0167.010 | Y=0182.690-0193.930 | tông xi măng:
P=0572 | X=0090.020-0338.400 | Y=0199.470-0211.470 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0572 | X=0424.970-0450.020 | Y=0199.470-0208.790 | 2.100
P=0572 | X=0461.210-0486.260 | Y=0199.470-0208.790 | 1.500
P=0572 | X=0497.230-0522.280 | Y=0199.470-0208.790 | 1.300
P=0572 | X=0106.850-0413.270 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0572 | X=0106.850-0148.530 | Y=0229.270-0240.510 | ≤1.000m.
P=0572 | X=0106.850-0330.020 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0572 | X=0106.850-0392.110 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0572 | X=0106.850-0409.660 | Y=0276.070-0287.310 | Đường Phan Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số
P=0572 | X=0106.850-0408.220 | Y=0287.620-0298.860 | 28 tờ BĐĐC số 109, xã Đại Phước có hiện trạng là đường nhựa, bê
P=0572 | X=0090.020-0167.010 | Y=0299.140-0310.580 | 133 tông xi măng:
P=0572 | X=0424.970-0450.020 | Y=0301.260-0310.580 | 1.500
P=0572 | X=0461.210-0486.260 | Y=0301.260-0310.580 | 1.100
P=0572 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 900
P=0572 | X=0106.850-0392.700 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0572 | X=0106.850-0330.490 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0572 | X=0322.200-0411.820 | Y=0351.700-0362.940 | Đường Nguyễn Văn
P=0572 | X=0090.020-0210.660 | Y=0357.460-0368.700 | 134 Đường Dương Văn Thì
P=0572 | X=0235.540-0317.480 | Y=0357.460-0368.700 | Đường Lý Thái Tổ
P=0572 | X=0424.970-0450.020 | Y=0359.340-0368.660 | 7.400
P=0572 | X=0461.210-0486.260 | Y=0359.340-0368.660 | 5.200
P=0572 | X=0497.230-0522.280 | Y=0359.340-0368.660 | 4.400
P=0572 | X=0322.200-0334.040 | Y=0365.100-0374.420 | Trị
P=0572 | X=0106.850-0410.340 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương Văn
P=0572 | X=0106.850-0404.380 | Y=0392.520-0403.760 | Thì đoạn từ Đường Lý Thái Tổ đến Đường Nguyễn Văn Trị có hiện
P=0572 | X=0106.850-0278.630 | Y=0404.040-0415.280 | trạng là đường nhựa, bê tông xi măng:
P=0572 | X=0090.020-0106.660 | Y=0411.920-0421.240 | 135
P=0572 | X=0424.970-0450.020 | Y=0411.920-0421.240 | 3.300
P=0572 | X=0461.210-0486.260 | Y=0411.920-0421.240 | 2.300
P=0572 | X=0497.230-0522.280 | Y=0411.920-0421.240 | 2.000
P=0572 | X=0106.850-0337.930 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0572 | X=0106.850-0384.020 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0572 | X=0106.850-0410.380 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương Văn
P=0572 | X=0106.850-0404.380 | Y=0468.380-0479.620 | Thì đoạn từ Đường Lý Thái Tổ đến Đường Nguyễn Văn Trị có hiện
P=0572 | X=0106.850-0278.630 | Y=0479.900-0491.140 | trạng là đường nhựa, bê tông xi măng:
P=0572 | X=0090.020-0338.400 | Y=0497.420-0511.500 | 136 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0572 | X=0424.970-0450.020 | Y=0502.180-0511.500 | 2.600
P=0572 | X=0461.210-0486.260 | Y=0502.180-0511.500 | 1.800
P=0572 | X=0497.230-0522.280 | Y=0502.180-0511.500 | 1.600
P=0572 | X=0106.850-0413.270 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0572 | X=0106.850-0148.530 | Y=0526.220-0537.460 | ≤1.000m.
P=0572 | X=0106.850-0330.030 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0572 | X=0106.850-0410.340 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương Văn
P=0572 | X=0106.850-0404.380 | Y=0573.050-0584.290 | Thì đoạn từ Đường Lý Thái Tổ đến Đường Nguyễn Văn Trị có hiện
P=0572 | X=0106.850-0278.630 | Y=0584.570-0595.810 | trạng là đường nhựa, bê tông xi măng:
P=0572 | X=0090.020-0106.660 | Y=0592.450-0601.770 | 137
P=0572 | X=0424.970-0450.020 | Y=0592.450-0601.770 | 1.800
P=0572 | X=0461.210-0486.260 | Y=0592.450-0601.770 | 1.300
P=0572 | X=0497.230-0522.280 | Y=0592.450-0601.770 | 1.100
P=0572 | X=0106.850-0392.690 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0572 | X=0106.850-0330.490 | Y=0619.630-0630.870 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0572 | X=0106.850-0392.110 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0572 | X=0106.850-0386.380 | Y=0648.910-0660.150 | Đường Dương Văn Thì đoạn từ Đường Lý Thái Tổ đến Đường
P=0572 | X=0106.850-0385.950 | Y=0660.430-0671.670 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0572 | X=0090.020-0106.660 | Y=0668.310-0677.630 | 138
P=0572 | X=0424.970-0450.020 | Y=0668.310-0677.630 | 3.000
P=0572 | X=0461.210-0486.260 | Y=0668.310-0677.630 | 2.100
P=0572 | X=0497.230-0522.280 | Y=0668.310-0677.630 | 1.800
P=0572 | X=0106.850-0337.930 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0572 | X=0106.850-0384.020 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0573 | X=0106.850-0392.110 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0573 | X=0106.850-0386.380 | Y=0090.020-0101.260 | Đường Dương Văn Thì đoạn từ Đường Lý Thái Tổ đến Đường
P=0573 | X=0106.850-0385.950 | Y=0101.540-0112.780 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0573 | X=0090.020-0338.400 | Y=0119.090-0133.170 | 139 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0573 | X=0424.970-0450.020 | Y=0123.850-0133.170 | 2.300
P=0573 | X=0461.210-0486.260 | Y=0123.850-0133.170 | 1.600
P=0573 | X=0497.230-0522.280 | Y=0123.850-0133.170 | 1.400
P=0573 | X=0106.850-0413.270 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0573 | X=0106.850-0148.530 | Y=0148.130-0159.370 | ≤1.000m.
P=0573 | X=0106.850-0330.020 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0573 | X=0106.850-0392.110 | Y=0183.170-0194.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0573 | X=0106.850-0386.380 | Y=0194.690-0205.930 | Đường Dương Văn Thì đoạn từ Đường Lý Thái Tổ đến Đường
P=0573 | X=0106.850-0385.950 | Y=0206.230-0217.470 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0573 | X=0090.020-0106.660 | Y=0214.110-0223.430 | 140
P=0573 | X=0424.970-0450.020 | Y=0214.110-0223.430 | 1.600
P=0573 | X=0461.210-0486.260 | Y=0214.110-0223.430 | 1.100
P=0573 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 960
P=0573 | X=0106.850-0392.640 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0573 | X=0106.850-0330.490 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0573 | X=0322.200-0399.300 | Y=0260.910-0270.230 | Giáp sông Cái xã
P=0573 | X=0090.020-0172.520 | Y=0264.790-0276.030 | 141 Đường Vàm Ô
P=0573 | X=0235.540-0317.480 | Y=0264.790-0276.030 | Đường Lý Thái Tổ
P=0573 | X=0424.970-0450.020 | Y=0266.670-0275.990 | 6.100
P=0573 | X=0461.210-0486.260 | Y=0266.670-0275.990 | 4.300
P=0573 | X=0497.230-0522.280 | Y=0266.670-0275.990 | 3.700
P=0573 | X=0322.200-0370.700 | Y=0270.550-0281.790 | Đại Phước
P=0573 | X=0106.850-0414.230 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vàm Ô đoạn
P=0573 | X=0106.850-0411.580 | Y=0299.860-0311.100 | từ Đường Lý Thái Tổ đến Giáp sông Cái xã Đại Phước có hiện trạng
P=0573 | X=0106.850-0253.180 | Y=0311.380-0322.620 | là đường nhựa, bê tông xi măng:
P=0573 | X=0090.020-0106.660 | Y=0319.260-0328.580 | 142
P=0573 | X=0424.970-0450.020 | Y=0319.260-0328.580 | 2.700
