TABLE=058 | AREA=Phường Minh Hưng | RECORDS=248 | GROUPS=248 | REVIEW=248
ID=NQ28-058-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=2800,2400 | ROAD=58. Phường Minh Hưng Tên đường TT giao thông Phía Bắc: Ngã Đường ĐT đường Ngô | START=Đoạn đường Phía Bắc: Hết ba giới thửa đất Đức Kế bản đồ số 140; | END=Giá đất ở ranh số 69, tờ Phía 4.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0175-01 | SEC=non-agricultural | TT=175 | REL=main | PRICES=870,740 | ROAD=Đường số 55 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0176-01 | SEC=non-agricultural | TT=176 | REL=main | PRICES=870,740 | ROAD=Đường số 56 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0177-01 | SEC=non-agricultural | TT=177 | REL=main | PRICES=680,590 | ROAD=Đường số 57 Toàn tuyến | START= | END=980 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0178-01 | SEC=non-agricultural | TT=178 | REL=main | PRICES=870,740 | ROAD=Đường số 58 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0179-01 | SEC=non-agricultural | TT=179 | REL=main | PRICES=870,740 | ROAD=Đường số 59 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0180-01 | SEC=non-agricultural | TT=180 | REL=main | PRICES=2000,1700 | ROAD=Đường số 60 Toàn tuyến | START= | END=2.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0181-01 | SEC=non-agricultural | TT=181 | REL=main | PRICES=870,740 | ROAD=Đường số 61 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0182-01 | SEC=non-agricultural | TT=182 | REL=main | PRICES=870,740 | ROAD=Đường số 62 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0183-01 | SEC=non-agricultural | TT=183 | REL=main | PRICES=870,740 | ROAD=Đường số 63 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0184-01 | SEC=non-agricultural | TT=184 | REL=main | PRICES=870,740 | ROAD=Đường số 64 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0185-01 | SEC=non-agricultural | TT=185 | REL=main | PRICES=870,740 | ROAD=Đường số 65 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0186-01 | SEC=non-agricultural | TT=186 | REL=main | PRICES=870,740 | ROAD=Đường số 66 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0187-01 | SEC=non-agricultural | TT=187 | REL=main | PRICES=870,740 | ROAD=Đường số 67 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0188-01 | SEC=non-agricultural | TT=188 | REL=main | PRICES=870,740 | ROAD=Đường số 68 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0189-01 | SEC=non-agricultural | TT=189 | REL=main | PRICES=870,740 | ROAD=Đường số 69 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0190-01 | SEC=non-agricultural | TT=190 | REL=main | PRICES=870,740 | ROAD=Đường số 70 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0191-01 | SEC=non-agricultural | TT=191 | REL=main | PRICES=870,740 | ROAD=Đường số 71 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0192-01 | SEC=non-agricultural | TT=192 | REL=main | PRICES=870,740 | ROAD=Đường số 72 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0193-01 | SEC=non-agricultural | TT=193 | REL=main | PRICES=870,740 | ROAD=Đường số 73 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0194-01 | SEC=non-agricultural | TT=194 | REL=main | PRICES=870,740 | ROAD=Đường số 74 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0195-01 | SEC=non-agricultural | TT=195 | REL=main | PRICES=870,740 | ROAD=Đường số 75 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0196-01 | SEC=non-agricultural | TT=196 | REL=main | PRICES=870,740 | ROAD=Đường số 76 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0197-01 | SEC=non-agricultural | TT=197 | REL=main | PRICES=870,740 | ROAD=Đường số 77 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0198-01 | SEC=non-agricultural | TT=198 | REL=main | PRICES=870,740 | ROAD=Đường số 79 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0199-01 | SEC=non-agricultural | TT=199 | REL=main | PRICES=870,740 | ROAD=Đường số 80 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0200-01 | SEC=non-agricultural | TT=200 | REL=main | PRICES=870,740 | ROAD=Đường số 81 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0201-01 | SEC=non-agricultural | TT=201 | REL=main | PRICES=1800,1500 | ROAD=Đường số 82 Toàn tuyến | START= | END=2.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0202-01 | SEC=non-agricultural | TT=202 | REL=main | PRICES=1800,1500 | ROAD=Đường số 83 Toàn tuyến | START= | END=2.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0203-01 | SEC=non-agricultural | TT=203 | REL=main | PRICES=870,740 | ROAD=Đường số 84 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0204-01 | SEC=non-agricultural | TT=204 | REL=main | PRICES=870,740 | ROAD=Đường số 85 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0205-01 | SEC=non-agricultural | TT=205 | REL=main | PRICES=870,740 | ROAD=Đường số 86 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0206-01 | SEC=non-agricultural | TT=206 | REL=main | PRICES=870,740 | ROAD=Đường số 87 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0207-01 | SEC=non-agricultural | TT=207 | REL=main | PRICES=870,740 | ROAD=Đường số 88 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0208-01 | SEC=non-agricultural | TT=208 | REL=main | PRICES=870,740 | ROAD=Đường số 89 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0209-01 | SEC=non-agricultural | TT=209 | REL=main | PRICES=1600,1400 | ROAD=Đường số 90 Toàn tuyến | START= | END=2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0210-01 | SEC=non-agricultural | TT=210 | REL=main | PRICES=870,740 | ROAD=Đường số 91 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0211-01 | SEC=non-agricultural | TT=211 | REL=main | PRICES=870,740 | ROAD=Đường số 92 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0212-01 | SEC=non-agricultural | TT=212 | REL=main | PRICES=870,740 | ROAD=Đường số 93 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0213-01 | SEC=non-agricultural | TT=213 | REL=main | PRICES=870,740 | ROAD=Đường số 94 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0214-01 | SEC=non-agricultural | TT=214 | REL=main | PRICES=870,740 | ROAD=Đường số 95 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0215-01 | SEC=non-agricultural | TT=215 | REL=main | PRICES=870,740 | ROAD=Đường số 96 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0216-01 | SEC=non-agricultural | TT=216 | REL=main | PRICES=870,740 | ROAD=Đường số 97 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0217-01 | SEC=non-agricultural | TT=217 | REL=main | PRICES=870,740 | ROAD=Đường số 98 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0218-01 | SEC=non-agricultural | TT=218 | REL=main | PRICES=1600,1400 | ROAD=Đường số 99 Toàn tuyến | START= | END=2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0219-01 | SEC=non-agricultural | TT=219 | REL=main | PRICES=1600,1400 | ROAD=Đường số Toàn tuyến | START= | END=2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0100-02 | SEC=non-agricultural | TT=100 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0220-01 | SEC=non-agricultural | TT=220 | REL=main | PRICES=870,740 | ROAD=Đường số Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0101-02 | SEC=non-agricultural | TT=101 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0221-01 | SEC=non-agricultural | TT=221 | REL=main | PRICES=870,740 | ROAD=Đường số Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0102-02 | SEC=non-agricultural | TT=102 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0222-01 | SEC=non-agricultural | TT=222 | REL=main | PRICES=870,740 | ROAD=Đường số Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0103-02 | SEC=non-agricultural | TT=103 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0223-01 | SEC=non-agricultural | TT=223 | REL=main | PRICES=1600,1400 | ROAD=Đường số Toàn tuyến | START= | END=2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0104-02 | SEC=non-agricultural | TT=104 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0224-01 | SEC=non-agricultural | TT=224 | REL=main | PRICES=870,740 | ROAD=Đường số Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0105-02 | SEC=non-agricultural | TT=105 | REL=main | PRICES= | ROAD=Đường dọc | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0225-01 | SEC=non-agricultural | TT=225 | REL=main | PRICES=790,680 | ROAD=khu dân cư thuộc khu vực Toàn tuyến Chợ Minh Hưng | START= | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0226-01 | SEC=non-agricultural | TT=226 | REL=main | PRICES=450,380 | ROAD=Đường nhựa, đường bê tông còn lại Toàn tuyến chưa quy định cụ thể ở các | START= | END=640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0227-01 | SEC=non-agricultural | TT=227 | REL=main | PRICES=390,340 | ROAD=mục trên Các tuyến đường đất Toàn tuyến còn lại Khu dân cư | START= | END=560 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0228-01 | SEC=non-agricultural | TT=228 | REL=main | PRICES=5600,4800 | ROAD=Đại Nam Đường số 14 Cổng chào | START=Khu dân Hết tuyến | END=8.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0229-01 | SEC=non-agricultural | TT=229 | REL=main | PRICES=4400,3800 | ROAD=cư Đại Nam Đường Quốc Đường số 1 Toàn tuyến | START=(Giáp lộ 13) | END=6.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0230-01 | SEC=non-agricultural | TT=230 | REL=main | PRICES=4400,3800 | ROAD=Đường số 6, Toàn tuyến 7, 9, 10 | START= | END=6.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0231-01 | SEC=non-agricultural | TT=231 | REL=main | PRICES=3900,3300 | ROAD=Đường số 4, Toàn tuyến 5, 11, 17, 19 | START= | END=5.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0232-01 | SEC=non-agricultural | TT=232 | REL=main | PRICES=3500,3000 | ROAD=Các đường còn lại trong Toàn tuyến Khu dân cư Khu dân cư | START= | END=5.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0233-01 | SEC=non-agricultural | TT=233 | REL=main | PRICES=3500,3000 | ROAD=Minh Hưng III Đường D3 Đường ĐT | START=Đường N4 752B cư Minh Hưng | END=- khu dân 5.000 III | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0234-01 | SEC=non-agricultural | TT=234 | REL=main | PRICES=3200,2700 | ROAD=Đường N4 Đường Quốc | START=Đường D5 lộ 13 cư Minh Hưng | END=- Khu dân 4.500 III | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0235-01 | SEC=non-agricultural | TT=235 | REL=main | PRICES=2800,2400 | ROAD=Các đường còn lại trong Toàn tuyến Khu dân cư Minh Hưng III Khu dân cư | START= | END=4.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0236-01 | SEC=non-agricultural | TT=236 | REL=main | PRICES=2500,2100 | ROAD=Phúc Hưng Đường Định Hướng, Toàn tuyến đường N4 | START= | END=3.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0237-01 | SEC=non-agricultural | TT=237 | REL=main | PRICES=2100,1800 | ROAD=Các đường còn lại trong Toàn tuyến Khu dân cư Phúc Hưng | START= | END=3.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
