TABLE=020 | AREA=Phường Bảo Vinh | SECTION=agricultural | SEGMENTS=1
P=0670 | X=0108.770-0142.290 | Y=0119.090-0130.330 | ≤600m.
P=0670 | X=0108.770-0331.940 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0670 | X=0108.770-0394.030 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0670 | X=0108.770-0410.630 | Y=0165.650-0176.890 | Đường Ngô Quyền đoạn từ Đường Duy Tân đến Giáp ranh phường
P=0670 | X=0108.770-0372.250 | Y=0177.170-0188.410 | Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0670 | X=0093.620-0104.740 | Y=0185.050-0194.370 | 63
P=0670 | X=0456.650-0473.290 | Y=0185.050-0194.370 | 310
P=0670 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 210
P=0670 | X=0108.770-0386.180 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0670 | X=0108.770-0335.060 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0670 | X=0108.770-0210.630 | Y=0229.990-0241.230 | Đường Bảo Vinh - Bảo
P=0670 | X=0331.320-0422.570 | Y=0229.990-0241.230 | Đường Bảo Quang -
P=0670 | X=0242.260-0327.570 | Y=0235.750-0246.990 | Đường Ngô Quyền
P=0670 | X=0093.620-0104.740 | Y=0237.630-0246.950 | 64
P=0670 | X=0456.650-0473.290 | Y=0237.630-0246.950 | 700
P=0670 | X=0505.390-0522.030 | Y=0237.630-0246.950 | 580
P=0670 | X=0108.770-0138.860 | Y=0243.390-0252.710 | Quang
P=0670 | X=0331.320-0366.930 | Y=0243.390-0252.710 | Bàu Cối
P=0670 | X=0108.770-0427.450 | Y=0259.270-0270.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bảo Vinh - Bảo
P=0670 | X=0108.770-0415.650 | Y=0270.790-0282.030 | Quang đoạn từ Đường Ngô Quyền đến Đường Bảo Quang - Bàu Cối
P=0670 | X=0108.770-0315.620 | Y=0282.340-0293.580 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0670 | X=0093.620-0104.740 | Y=0290.220-0299.540 | 65
P=0670 | X=0456.650-0473.290 | Y=0290.220-0299.540 | 470
P=0670 | X=0505.390-0522.030 | Y=0290.220-0299.540 | 340
P=0670 | X=0108.770-0331.680 | Y=0299.860-0311.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0670 | X=0108.770-0385.940 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0670 | X=0108.770-0427.450 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bảo Vinh - Bảo
P=0670 | X=0108.770-0415.650 | Y=0346.660-0357.900 | Quang đoạn từ Đường Ngô Quyền đến Đường Bảo Quang - Bàu Cối
P=0670 | X=0108.770-0315.620 | Y=0357.940-0369.180 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0670 | X=0093.620-0331.960 | Y=0375.480-0389.800 | 66 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0670 | X=0456.650-0473.290 | Y=0380.480-0389.800 | 370
P=0670 | X=0505.390-0522.030 | Y=0380.480-0389.800 | 270
P=0670 | X=0108.770-0415.190 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0670 | X=0108.770-0142.290 | Y=0404.520-0415.760 | ≤600m.
P=0670 | X=0108.770-0331.940 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0670 | X=0108.770-0427.450 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bảo Vinh - Bảo
P=0670 | X=0108.770-0415.650 | Y=0451.340-0462.580 | Quang đoạn từ Đường Ngô Quyền đến Đường Bảo Quang - Bàu Cối
P=0670 | X=0108.770-0315.620 | Y=0462.860-0474.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0670 | X=0093.620-0104.740 | Y=0470.740-0480.060 | 67
P=0670 | X=0456.650-0473.290 | Y=0470.740-0480.060 | 310
P=0670 | X=0505.390-0522.030 | Y=0470.740-0480.060 | 210
P=0670 | X=0108.770-0386.180 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0670 | X=0108.770-0332.410 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0670 | X=0108.770-0394.030 | Y=0515.660-0526.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0670 | X=0108.770-0422.390 | Y=0527.180-0538.420 | Đường Bảo Vinh - Bảo Quang đoạn từ Đường Ngô Quyền đến Đường
P=0670 | X=0108.770-0413.550 | Y=0538.490-0549.730 | Bảo Quang - Bàu Cối có hiện trạng là đường nhựa, bê tông xi măng:
P=0670 | X=0093.620-0104.740 | Y=0546.370-0555.690 | 68
P=0670 | X=0456.650-0473.290 | Y=0546.370-0555.690 | 470
P=0670 | X=0505.390-0522.030 | Y=0546.370-0555.690 | 340
P=0670 | X=0108.770-0331.680 | Y=0556.010-0567.250 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0670 | X=0108.770-0385.940 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0670 | X=0108.770-0394.030 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0670 | X=0108.770-0422.390 | Y=0602.810-0614.050 | Đường Bảo Vinh - Bảo Quang đoạn từ Đường Ngô Quyền đến Đường
P=0670 | X=0108.770-0413.550 | Y=0614.330-0625.570 | Bảo Quang - Bàu Cối có hiện trạng là đường nhựa, bê tông xi măng:
P=0670 | X=0093.620-0331.940 | Y=0631.870-0646.190 | 69 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0670 | X=0456.650-0473.290 | Y=0636.870-0646.190 | 370
P=0670 | X=0505.390-0522.030 | Y=0636.870-0646.190 | 270
P=0670 | X=0108.770-0415.190 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0670 | X=0108.770-0142.290 | Y=0660.910-0672.150 | ≤600m.
P=0670 | X=0108.770-0331.940 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0670 | X=0108.770-0394.030 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0670 | X=0093.620-0104.740 | Y=0703.860-0713.180 | 70
P=0670 | X=0456.650-0473.290 | Y=0703.860-0713.180 | 310
P=0670 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 210
P=0670 | X=0108.770-0422.390 | Y=0707.730-0718.970 | Đường Bảo Vinh - Bảo Quang đoạn từ Đường Ngô Quyền đến Đường
P=0671 | X=0108.770-0413.560 | Y=0072.500-0083.740 | Bảo Quang - Bàu Cối có hiện trạng là đường nhựa, bê tông xi măng:
P=0671 | X=0108.770-0386.180 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0671 | X=0108.770-0335.060 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0671 | X=0108.770-0240.630 | Y=0125.330-0136.570 | Đường Thành Thái (Bảo Vinh
P=0671 | X=0242.260-0410.100 | Y=0131.090-0142.330 | Đường Ngô Quyền Đường Hàm Nghi
P=0671 | X=0093.620-0104.740 | Y=0132.970-0142.290 | 71
P=0671 | X=0456.650-0473.290 | Y=0132.970-0142.290 | 700
P=0671 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 580
P=0671 | X=0108.770-0176.230 | Y=0138.730-0148.050 | B - Ruộng Hời)
P=0671 | X=0108.770-0410.350 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thành Thái
P=0671 | X=0108.770-0425.420 | Y=0166.130-0177.370 | (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô Quyền đến Đường Hàm
P=0671 | X=0108.770-0339.120 | Y=0177.410-0188.650 | Nghi có hiện trạng là đường nhựa, bê tông xi măng:
P=0671 | X=0093.620-0104.740 | Y=0185.290-0194.610 | 72
P=0671 | X=0456.650-0473.290 | Y=0185.290-0194.610 | 470
P=0671 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 340
P=0671 | X=0108.770-0331.680 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0671 | X=0108.770-0385.940 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0671 | X=0108.770-0410.350 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thành Thái
P=0671 | X=0108.770-0425.420 | Y=0241.750-0252.990 | (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô Quyền đến Đường Hàm
P=0671 | X=0108.770-0339.120 | Y=0253.270-0264.510 | Nghi có hiện trạng là đường nhựa, bê tông xi măng:
P=0671 | X=0093.620-0331.940 | Y=0270.790-0284.870 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0671 | X=0456.650-0473.290 | Y=0275.550-0284.870 | 370
P=0671 | X=0505.390-0522.030 | Y=0275.550-0284.870 | 270
P=0671 | X=0108.770-0415.190 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0671 | X=0108.770-0142.290 | Y=0299.860-0311.100 | ≤600m.
P=0671 | X=0108.770-0331.940 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0671 | X=0108.770-0410.350 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thành Thái
P=0671 | X=0108.770-0425.420 | Y=0346.660-0357.900 | (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô Quyền đến Đường Hàm
P=0671 | X=0108.770-0339.120 | Y=0357.940-0369.180 | Nghi có hiện trạng là đường nhựa, bê tông xi măng:
P=0671 | X=0093.620-0104.740 | Y=0365.820-0375.140 | 74
P=0671 | X=0456.650-0473.290 | Y=0365.820-0375.140 | 310
P=0671 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 210
P=0671 | X=0108.770-0386.180 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0671 | X=0108.770-0332.410 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0671 | X=0108.770-0394.030 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0671 | X=0108.770-0403.430 | Y=0422.280-0433.520 | Đường Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô
P=0671 | X=0108.770-0418.300 | Y=0433.800-0445.040 | Quyền đến Đường Hàm Nghi có hiện trạng là đường nhựa, bê tông xi
P=0671 | X=0093.620-0136.770 | Y=0445.320-0456.760 | 75 măng:
P=0671 | X=0456.650-0473.290 | Y=0447.440-0456.760 | 470
P=0671 | X=0505.390-0522.030 | Y=0447.440-0456.760 | 340
P=0671 | X=0108.770-0331.680 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0671 | X=0108.770-0385.940 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0671 | X=0108.770-0394.060 | Y=0498.140-0509.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0671 | X=0108.770-0403.430 | Y=0509.660-0520.900 | Đường Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô
P=0671 | X=0108.770-0418.300 | Y=0521.180-0532.420 | Quyền đến Đường Hàm Nghi có hiện trạng là đường nhựa, bê tông xi
P=0671 | X=0108.770-0136.770 | Y=0532.490-0543.730 | măng:
P=0671 | X=0093.620-0331.940 | Y=0549.250-0561.250 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0671 | X=0456.650-0473.290 | Y=0549.250-0558.570 | 370
P=0671 | X=0505.390-0522.030 | Y=0549.250-0558.570 | 270
P=0671 | X=0108.770-0415.190 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0671 | X=0108.770-0142.290 | Y=0579.050-0590.290 | ≤600m.
P=0671 | X=0108.770-0331.940 | Y=0596.570-0607.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0671 | X=0108.770-0394.030 | Y=0614.330-0625.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0671 | X=0108.770-0403.430 | Y=0625.870-0637.110 | Đường Thành Thái (Bảo Vinh B - Ruộng Hời) đoạn từ Đường Ngô
P=0671 | X=0108.770-0418.300 | Y=0637.390-0648.630 | Quyền đến Đường Hàm Nghi có hiện trạng là đường nhựa, bê tông xi
P=0671 | X=0093.620-0136.770 | Y=0648.910-0660.350 | 77 măng:
P=0671 | X=0456.650-0473.290 | Y=0651.030-0660.350 | 310
P=0671 | X=0505.390-0522.030 | Y=0651.030-0660.350 | 210
P=0671 | X=0108.770-0386.180 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0671 | X=0108.770-0335.060 | Y=0683.950-0695.190 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0671 | X=0093.620-0221.200 | Y=0701.730-0712.970 | 78 Đường vào miếu Ông Hổ
P=0671 | X=0242.260-0416.360 | Y=0701.730-0712.970 | Đường Ngô Quyền Đường Thành Thái
P=0671 | X=0456.650-0473.290 | Y=0703.620-0712.940 | 700
P=0671 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 580
P=0672 | X=0108.770-0422.380 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào miếu Ông
P=0672 | X=0108.770-0425.260 | Y=0090.020-0101.260 | Hổ đoạn từ Đường Ngô Quyền đến Đường Thành Thái có hiện trạng là
P=0672 | X=0108.770-0244.520 | Y=0101.540-0112.780 | đường nhựa, bê tông xi măng:
P=0672 | X=0093.620-0104.740 | Y=0109.420-0118.740 | 79
P=0672 | X=0456.650-0473.290 | Y=0109.420-0118.740 | 470
P=0672 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 340
P=0672 | X=0108.770-0331.680 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0672 | X=0108.770-0385.940 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0672 | X=0108.770-0422.380 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào miếu Ông
P=0672 | X=0108.770-0425.260 | Y=0165.650-0176.890 | Hổ đoạn từ Đường Ngô Quyền đến Đường Thành Thái có hiện trạng là
P=0672 | X=0108.770-0244.520 | Y=0177.170-0188.410 | đường nhựa, bê tông xi măng:
P=0672 | X=0093.620-0331.940 | Y=0194.690-0209.030 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0672 | X=0456.650-0473.290 | Y=0199.710-0209.030 | 370
P=0672 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 270
P=0672 | X=0108.770-0415.190 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0672 | X=0108.770-0142.290 | Y=0223.750-0234.990 | ≤600m.
P=0672 | X=0108.770-0331.940 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0672 | X=0108.770-0422.380 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào miếu Ông
P=0672 | X=0108.770-0425.260 | Y=0270.550-0281.790 | Hổ đoạn từ Đường Ngô Quyền đến Đường Thành Thái có hiện trạng là
P=0672 | X=0108.770-0244.520 | Y=0282.100-0293.340 | đường nhựa, bê tông xi măng:
P=0672 | X=0093.620-0104.740 | Y=0289.980-0299.300 | 81
P=0672 | X=0456.650-0473.290 | Y=0289.980-0299.300 | 310
P=0672 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 210
P=0672 | X=0108.770-0386.180 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0672 | X=0108.770-0332.410 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0672 | X=0108.770-0394.030 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0672 | X=0108.770-0400.070 | Y=0346.420-0357.660 | Đường vào miếu Ông Hổ đoạn từ Đường Ngô Quyền đến Đường
P=0672 | X=0108.770-0368.900 | Y=0357.700-0368.940 | Thành Thái có hiện trạng là đường nhựa, bê tông xi măng:
P=0672 | X=0093.620-0104.740 | Y=0365.580-0374.900 | 82
P=0672 | X=0456.650-0473.290 | Y=0365.580-0374.900 | 470
P=0672 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 340
P=0672 | X=0108.770-0331.690 | Y=0375.240-0386.480 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0672 | X=0108.770-0385.940 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0672 | X=0108.770-0394.030 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0672 | X=0108.770-0400.070 | Y=0422.040-0433.280 | Đường vào miếu Ông Hổ đoạn từ Đường Ngô Quyền đến Đường
P=0672 | X=0108.770-0368.920 | Y=0433.560-0444.800 | Thành Thái có hiện trạng là đường nhựa, bê tông xi măng:
P=0672 | X=0093.620-0331.940 | Y=0451.100-0465.180 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0672 | X=0456.650-0473.290 | Y=0455.860-0465.180 | 370
P=0672 | X=0505.390-0522.030 | Y=0455.860-0465.180 | 270
P=0672 | X=0108.770-0415.190 | Y=0468.620-0479.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0672 | X=0108.770-0142.290 | Y=0480.140-0491.380 | ≤600m.
P=0672 | X=0108.770-0331.940 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0672 | X=0108.770-0394.030 | Y=0515.420-0526.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0672 | X=0108.770-0400.070 | Y=0526.940-0538.180 | Đường vào miếu Ông Hổ đoạn từ Đường Ngô Quyền đến Đường
P=0672 | X=0108.770-0368.900 | Y=0538.250-0549.490 | Thành Thái có hiện trạng là đường nhựa, bê tông xi măng:
P=0672 | X=0093.620-0104.740 | Y=0546.130-0555.450 | 84
P=0672 | X=0456.650-0473.290 | Y=0546.130-0555.450 | 310
P=0672 | X=0505.390-0522.030 | Y=0546.130-0555.450 | 210
P=0672 | X=0108.770-0386.180 | Y=0555.770-0567.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0672 | X=0108.770-0335.060 | Y=0573.290-0584.530 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0672 | X=0093.620-0181.090 | Y=0591.050-0602.290 | 85 Đường Duy Tân
P=0672 | X=0242.260-0410.120 | Y=0591.050-0602.290 | Đường Ngô Quyền Đường Hàm Nghi
P=0672 | X=0456.650-0473.290 | Y=0592.930-0602.250 | 700
P=0672 | X=0505.390-0522.030 | Y=0592.930-0602.250 | 580
P=0672 | X=0108.770-0422.860 | Y=0608.810-0620.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Duy Tân đoạn
P=0672 | X=0108.770-0411.110 | Y=0620.350-0631.590 | từ Đường Ngô Quyền đến Đường Hàm Nghi có hiện trạng là đường
P=0672 | X=0108.770-0211.880 | Y=0631.870-0643.110 | nhựa, bê tông xi măng:
P=0672 | X=0093.620-0104.740 | Y=0639.750-0649.070 | 86
P=0672 | X=0456.650-0473.290 | Y=0639.750-0649.070 | 470
P=0672 | X=0505.390-0522.030 | Y=0639.750-0649.070 | 340
P=0672 | X=0108.770-0331.680 | Y=0649.390-0660.630 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0672 | X=0108.770-0385.940 | Y=0666.910-0678.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0672 | X=0108.770-0422.860 | Y=0684.670-0695.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Duy Tân đoạn
P=0672 | X=0093.620-0411.110 | Y=0696.190-0707.430 | 87 từ Đường Ngô Quyền đến Đường Hàm Nghi có hiện trạng là đường
P=0672 | X=0456.650-0473.290 | Y=0698.070-0707.390 | 370
P=0672 | X=0505.390-0522.030 | Y=0698.070-0707.390 | 270
P=0672 | X=0108.770-0211.880 | Y=0707.730-0718.970 | nhựa, bê tông xi măng:
P=0673 | X=0108.770-0331.940 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0673 | X=0108.770-0415.190 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0673 | X=0108.770-0142.290 | Y=0107.540-0118.780 | ≤600m.
P=0673 | X=0108.770-0331.940 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0673 | X=0108.770-0422.860 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Duy Tân đoạn
P=0673 | X=0108.770-0411.110 | Y=0154.370-0165.610 | từ Đường Ngô Quyền đến Đường Hàm Nghi có hiện trạng là đường
P=0673 | X=0108.770-0211.880 | Y=0165.650-0176.890 | nhựa, bê tông xi măng:
P=0673 | X=0093.620-0104.740 | Y=0173.530-0182.850 | 88
P=0673 | X=0456.650-0473.290 | Y=0173.530-0182.850 | 310
P=0673 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 210
P=0673 | X=0108.770-0386.180 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0673 | X=0108.770-0332.410 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0673 | X=0108.770-0394.030 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0673 | X=0108.770-0420.670 | Y=0229.990-0241.230 | Đường Duy Tân đoạn từ Đường Ngô Quyền đến Đường Hàm Nghi có
P=0673 | X=0108.770-0302.380 | Y=0241.510-0252.750 | hiện trạng là đường nhựa, bê tông xi măng:
P=0673 | X=0093.620-0104.740 | Y=0249.390-0258.710 | 89
P=0673 | X=0456.650-0473.290 | Y=0249.390-0258.710 | 470
P=0673 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 340
P=0673 | X=0108.770-0331.680 | Y=0259.030-0270.270 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0673 | X=0108.770-0385.940 | Y=0276.550-0287.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0673 | X=0108.770-0394.030 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0673 | X=0108.770-0420.690 | Y=0305.860-0317.100 | Đường Duy Tân đoạn từ Đường Ngô Quyền đến Đường Hàm Nghi có
P=0673 | X=0108.770-0302.380 | Y=0317.380-0328.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0673 | X=0093.620-0331.940 | Y=0334.900-0348.980 | 90 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0673 | X=0456.650-0473.290 | Y=0339.660-0348.980 | 370
P=0673 | X=0505.390-0522.030 | Y=0339.660-0348.980 | 270
P=0673 | X=0108.770-0415.190 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0673 | X=0108.770-0142.290 | Y=0363.700-0374.940 | ≤600m.
P=0673 | X=0108.770-0331.940 | Y=0381.240-0392.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0673 | X=0108.770-0394.030 | Y=0399.000-0410.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0673 | X=0108.770-0420.670 | Y=0410.520-0421.760 | Đường Duy Tân đoạn từ Đường Ngô Quyền đến Đường Hàm Nghi có
P=0673 | X=0108.770-0302.380 | Y=0422.040-0433.280 | hiện trạng là đường nhựa, bê tông xi măng:
P=0673 | X=0093.620-0104.740 | Y=0429.920-0439.240 | 91
P=0673 | X=0456.650-0473.290 | Y=0429.920-0439.240 | 310
P=0673 | X=0505.390-0522.030 | Y=0429.920-0439.240 | 210
P=0673 | X=0108.770-0386.180 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0673 | X=0108.770-0335.060 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0673 | X=0331.320-0414.680 | Y=0476.740-0486.060 | Giáp ranh xã Xuân
P=0673 | X=0093.620-0181.090 | Y=0480.620-0491.860 | 92 Đường Duy Tân
P=0673 | X=0242.260-0321.040 | Y=0480.620-0491.860 | Đường Hàm Nghi
P=0673 | X=0456.650-0473.290 | Y=0482.500-0491.820 | 700
P=0673 | X=0505.390-0522.030 | Y=0482.500-0491.820 | 580
P=0673 | X=0331.320-0347.400 | Y=0488.260-0497.580 | Lộc
P=0673 | X=0108.770-0422.860 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Duy Tân đoạn
P=0673 | X=0108.770-0395.970 | Y=0515.660-0526.900 | từ Đường Hàm Nghi đến Giáp ranh xã Xuân Lộc có hiện trạng là
P=0673 | X=0108.770-0244.520 | Y=0527.180-0538.420 | đường nhựa, bê tông xi măng:
P=0673 | X=0093.620-0104.740 | Y=0535.090-0544.410 | 93
P=0673 | X=0456.650-0473.290 | Y=0535.090-0544.410 | 470
P=0673 | X=0505.390-0522.030 | Y=0535.090-0544.410 | 340
P=0673 | X=0108.770-0331.690 | Y=0544.490-0555.730 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0673 | X=0108.770-0385.940 | Y=0562.010-0573.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0673 | X=0108.770-0422.860 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Duy Tân đoạn
P=0673 | X=0108.770-0395.970 | Y=0591.290-0602.530 | từ Đường Hàm Nghi đến Giáp ranh xã Xuân Lộc có hiện trạng là
P=0673 | X=0108.770-0244.520 | Y=0602.810-0614.050 | đường nhựa, bê tông xi măng:
P=0673 | X=0093.620-0331.940 | Y=0620.350-0634.670 | 94 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0673 | X=0456.650-0473.290 | Y=0625.350-0634.670 | 370
P=0673 | X=0505.390-0522.030 | Y=0625.350-0634.670 | 270
P=0673 | X=0108.770-0415.190 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0673 | X=0108.770-0142.290 | Y=0649.390-0660.630 | ≤600m.
P=0673 | X=0108.770-0331.940 | Y=0666.910-0678.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0673 | X=0108.770-0422.860 | Y=0684.670-0695.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Duy Tân đoạn
P=0673 | X=0093.620-0395.970 | Y=0696.190-0707.430 | 95 từ Đường Hàm Nghi đến Giáp ranh xã Xuân Lộc có hiện trạng là
P=0673 | X=0456.650-0473.290 | Y=0698.070-0707.390 | 310
