TABLE=033 | AREA=Xã Sông Ray | SECTION=agricultural | SEGMENTS=1
P=1093 | X=0446.330-0462.970 | Y=0453.220-0462.540 | 380
P=1093 | X=0505.390-0522.030 | Y=0453.220-0462.540 | 250
P=1093 | X=0121.490-0352.570 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1093 | X=0121.490-0398.680 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1093 | X=0121.490-0389.030 | Y=0498.140-0509.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1093 | X=0121.490-0379.660 | Y=0509.660-0520.900 | 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên Ân có hiện
P=1093 | X=0121.490-0293.270 | Y=0521.180-0532.420 | trạng là đường nhựa, bê tông xi măng:
P=1093 | X=0121.490-0353.040 | Y=0538.490-0549.730 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1093 | X=0100.130-0111.250 | Y=0543.490-0552.810 | 59
P=1093 | X=0446.330-0462.970 | Y=0543.490-0552.810 | 310
P=1093 | X=0505.390-0522.030 | Y=0543.490-0552.810 | 200
P=1093 | X=0121.490-0374.800 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1093 | X=0121.490-0216.460 | Y=0567.530-0578.770 | >500m đến ≤1.000m.
P=1093 | X=0121.490-0344.660 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1093 | X=0121.490-0389.030 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1093 | X=0121.490-0379.660 | Y=0614.330-0625.570 | 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên Ân có hiện
P=1093 | X=0121.490-0293.270 | Y=0625.870-0637.110 | trạng là đường nhựa, bê tông xi măng:
P=1093 | X=0100.130-0111.250 | Y=0639.510-0648.830 | 60
P=1093 | X=0446.330-0462.970 | Y=0639.510-0648.830 | 220
P=1093 | X=0505.390-0522.030 | Y=0639.510-0648.830 | 140
P=1093 | X=0121.490-0362.600 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1093 | X=0121.490-0163.630 | Y=0656.790-0666.110 | >1.000m.
P=1093 | X=0121.490-0345.130 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1093 | X=0121.490-0395.000 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1093 | X=0100.130-0111.250 | Y=0697.830-0707.150 | 61
P=1093 | X=0446.330-0462.970 | Y=0697.830-0707.150 | 380
P=1093 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 250
P=1093 | X=0121.490-0394.530 | Y=0701.730-0712.970 | ra Đường tỉnh 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên
P=1094 | X=0121.490-0343.450 | Y=0072.500-0083.740 | Ân có hiện trạng là đường nhựa, bê tông xi măng:
P=1094 | X=0121.490-0352.570 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1094 | X=0121.490-0398.680 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1094 | X=0121.490-0395.000 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1094 | X=0121.490-0394.500 | Y=0136.850-0148.090 | ra Đường tỉnh 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên
P=1094 | X=0121.490-0343.450 | Y=0148.370-0159.610 | Ân có hiện trạng là đường nhựa, bê tông xi măng:
P=1094 | X=0121.490-0353.040 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1094 | X=0100.130-0111.250 | Y=0170.650-0179.970 | 62
P=1094 | X=0446.330-0462.970 | Y=0170.650-0179.970 | 310
P=1094 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 200
P=1094 | X=0121.490-0374.800 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1094 | X=0121.490-0216.460 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=1094 | X=0121.490-0344.660 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1094 | X=0121.490-0395.000 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1094 | X=0121.490-0394.500 | Y=0241.510-0252.750 | ra Đường tỉnh 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên
P=1094 | X=0121.490-0343.450 | Y=0253.030-0264.270 | Ân có hiện trạng là đường nhựa, bê tông xi măng:
P=1094 | X=0100.130-0111.250 | Y=0266.670-0275.990 | 63
P=1094 | X=0446.330-0462.970 | Y=0266.670-0275.990 | 220
P=1094 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 140
P=1094 | X=0121.490-0362.600 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1094 | X=0121.490-0163.630 | Y=0283.980-0293.300 | >1.000m.
P=1094 | X=0121.490-0345.130 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1094 | X=0312.840-0394.750 | Y=0317.380-0328.620 | Hết cây xăng Vĩnh
P=1094 | X=0121.490-0191.680 | Y=0323.140-0334.380 | Đường tỉnh 765
P=1094 | X=0100.130-0111.250 | Y=0325.020-0334.340 | 64
P=1094 | X=0224.740-0307.840 | Y=0325.020-0334.340 | Hết chùa Thiên Ân
P=1094 | X=0446.330-0462.970 | Y=0325.020-0334.340 | 530
P=1094 | X=0505.390-0522.030 | Y=0325.020-0334.340 | 400
P=1094 | X=0312.840-0331.170 | Y=0330.780-0340.100 | Hòa
P=1094 | X=0121.490-0389.030 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1094 | X=0121.490-0399.790 | Y=0357.940-0369.180 | 765 đoạn từ Hết chùa Thiên Ân đến Hết cây xăng Vĩnh Hòa có
P=1094 | X=0121.490-0315.140 | Y=0369.480-0380.720 | hiện trạng là đường nhựa, bê tông xi măng:
P=1094 | X=0100.130-0111.250 | Y=0377.360-0386.680 | 65
P=1094 | X=0446.330-0462.970 | Y=0377.360-0386.680 | 380
P=1094 | X=0505.390-0522.030 | Y=0377.360-0386.680 | 250
P=1094 | X=0121.490-0352.570 | Y=0387.000-0398.240 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1094 | X=0121.490-0398.680 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1094 | X=0121.490-0389.030 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1094 | X=0121.490-0399.790 | Y=0433.800-0445.040 | 765 đoạn từ Hết chùa Thiên Ân đến Hết cây xăng Vĩnh Hòa có
P=1094 | X=0121.490-0315.130 | Y=0445.320-0456.560 | hiện trạng là đường nhựa, bê tông xi măng:
P=1094 | X=0121.490-0353.040 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1094 | X=0100.130-0111.250 | Y=0467.620-0476.940 | 66
P=1094 | X=0446.330-0462.970 | Y=0467.620-0476.940 | 310
P=1094 | X=0505.390-0522.030 | Y=0467.620-0476.940 | 200
P=1094 | X=0121.490-0374.800 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1094 | X=0121.490-0216.460 | Y=0491.900-0503.140 | >500m đến ≤1.000m.
P=1094 | X=0121.490-0344.660 | Y=0509.420-0520.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1094 | X=0121.490-0389.030 | Y=0527.180-0538.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1094 | X=0121.490-0399.790 | Y=0538.490-0549.730 | 765 đoạn từ Hết chùa Thiên Ân đến Hết cây xăng Vĩnh Hòa có
P=1094 | X=0121.490-0315.130 | Y=0550.010-0561.250 | hiện trạng là đường nhựa, bê tông xi măng:
P=1094 | X=0100.130-0111.250 | Y=0563.650-0572.970 | 67
P=1094 | X=0446.330-0462.970 | Y=0563.650-0572.970 | 220
P=1094 | X=0505.390-0522.030 | Y=0563.650-0572.970 | 140
P=1094 | X=0121.490-0362.600 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1094 | X=0121.490-0163.630 | Y=0580.930-0590.250 | >1.000m.
P=1094 | X=0121.490-0345.130 | Y=0596.570-0607.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1094 | X=0121.490-0395.000 | Y=0614.330-0625.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1094 | X=0121.490-0382.210 | Y=0625.870-0637.110 | ra Đường tỉnh 765 đoạn từ Hết chùa Thiên Ân đến Hết cây
P=1094 | X=0121.490-0397.240 | Y=0637.390-0648.630 | xăng Vĩnh Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1094 | X=0100.130-0111.250 | Y=0645.270-0654.590 | 68
P=1094 | X=0446.330-0462.970 | Y=0645.270-0654.590 | 380
P=1094 | X=0505.390-0522.030 | Y=0645.270-0654.590 | 250
P=1094 | X=0121.490-0352.570 | Y=0654.910-0666.150 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1094 | X=0121.490-0398.690 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1094 | X=0121.490-0395.000 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1094 | X=0100.130-0111.250 | Y=0697.830-0707.150 | 69
P=1094 | X=0446.330-0462.970 | Y=0697.830-0707.150 | 310
P=1094 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 200
P=1094 | X=0121.490-0382.210 | Y=0701.730-0712.970 | ra Đường tỉnh 765 đoạn từ Hết chùa Thiên Ân đến Hết cây
P=1095 | X=0121.490-0397.240 | Y=0072.500-0083.740 | xăng Vĩnh Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1095 | X=0121.490-0353.040 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1095 | X=0121.490-0374.800 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1095 | X=0121.490-0216.460 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1095 | X=0121.490-0344.660 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1095 | X=0121.490-0395.000 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1095 | X=0121.490-0382.210 | Y=0165.650-0176.890 | ra Đường tỉnh 765 đoạn từ Hết chùa Thiên Ân đến Hết cây
P=1095 | X=0121.490-0397.240 | Y=0177.170-0188.410 | xăng Vĩnh Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1095 | X=0100.130-0111.250 | Y=0190.810-0200.130 | 70
P=1095 | X=0446.330-0462.970 | Y=0190.810-0200.130 | 220
P=1095 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 140
P=1095 | X=0121.490-0362.600 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1095 | X=0121.490-0163.630 | Y=0208.110-0217.430 | >1.000m.
P=1095 | X=0121.490-0345.130 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1095 | X=0224.740-0388.910 | Y=0241.510-0252.750 | Hết cây xăng Vĩnh Đường ấp 5 Lâm
P=1095 | X=0121.490-0191.680 | Y=0247.270-0258.510 | Đường tỉnh 765
P=1095 | X=0100.130-0111.250 | Y=0249.150-0258.470 | 71
P=1095 | X=0446.330-0462.970 | Y=0249.150-0258.470 | 530
P=1095 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 400
P=1095 | X=0224.740-0243.070 | Y=0254.910-0264.230 | Hòa
P=1095 | X=0312.840-0400.800 | Y=0254.910-0264.230 | San - Quảng Thành
P=1095 | X=0121.490-0389.030 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1095 | X=0121.490-0400.030 | Y=0282.340-0293.580 | 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường ấp 5 Lâm San
P=1095 | X=0121.490-0398.430 | Y=0293.860-0305.100 | - Quảng Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=1095 | X=0100.130-0111.250 | Y=0301.740-0311.060 | 72
P=1095 | X=0446.330-0462.970 | Y=0301.740-0311.060 | 380
P=1095 | X=0505.390-0522.030 | Y=0301.740-0311.060 | 250
P=1095 | X=0121.490-0352.570 | Y=0311.380-0322.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1095 | X=0121.490-0398.680 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1095 | X=0121.490-0389.030 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1095 | X=0121.490-0400.030 | Y=0357.940-0369.180 | 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường ấp 5 Lâm San
P=1095 | X=0121.490-0398.430 | Y=0369.480-0380.720 | - Quảng Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=1095 | X=0121.490-0353.040 | Y=0387.000-0398.240 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1095 | X=0100.130-0111.250 | Y=0392.000-0401.320 | 73
P=1095 | X=0446.330-0462.970 | Y=0392.000-0401.320 | 310
P=1095 | X=0505.390-0522.030 | Y=0392.000-0401.320 | 200
P=1095 | X=0121.490-0374.800 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1095 | X=0121.490-0216.460 | Y=0416.040-0427.280 | >500m đến ≤1.000m.
P=1095 | X=0121.490-0344.660 | Y=0433.560-0444.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1095 | X=0121.490-0389.030 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1095 | X=0121.490-0400.030 | Y=0462.860-0474.100 | 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường ấp 5 Lâm San
P=1095 | X=0121.490-0398.430 | Y=0474.380-0485.620 | - Quảng Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=1095 | X=0100.130-0111.250 | Y=0488.020-0497.340 | 74
P=1095 | X=0446.330-0462.970 | Y=0488.020-0497.340 | 220
P=1095 | X=0505.390-0522.030 | Y=0488.020-0497.340 | 140
P=1095 | X=0121.490-0362.600 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1095 | X=0121.490-0163.630 | Y=0505.300-0514.620 | >1.000m.
P=1095 | X=0121.490-0345.130 | Y=0520.940-0532.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1095 | X=0121.490-0395.000 | Y=0538.490-0549.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1095 | X=0121.490-0400.060 | Y=0550.010-0561.250 | ra Đường tỉnh 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường
P=1095 | X=0121.490-0400.780 | Y=0561.530-0572.770 | ấp 5 Lâm San - Quảng Thành có hiện trạng là đường nhựa, bê
P=1095 | X=0121.490-0181.650 | Y=0573.050-0584.290 | tông xi măng:
P=1095 | X=0100.130-0111.250 | Y=0575.170-0584.490 | 75
P=1095 | X=0446.330-0462.970 | Y=0575.170-0584.490 | 380
P=1095 | X=0505.390-0522.030 | Y=0575.170-0584.490 | 250
P=1095 | X=0121.490-0352.570 | Y=0590.570-0601.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1095 | X=0121.490-0398.680 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1095 | X=0121.490-0395.000 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1095 | X=0121.490-0400.060 | Y=0637.390-0648.630 | ra Đường tỉnh 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường
P=1095 | X=0121.490-0400.780 | Y=0648.910-0660.150 | ấp 5 Lâm San - Quảng Thành có hiện trạng là đường nhựa, bê
P=1095 | X=0121.490-0181.650 | Y=0660.430-0671.670 | tông xi măng:
P=1095 | X=0100.130-0111.250 | Y=0668.310-0677.630 | 76
P=1095 | X=0446.330-0462.970 | Y=0668.310-0677.630 | 310
P=1095 | X=0505.390-0522.030 | Y=0668.310-0677.630 | 200
P=1095 | X=0121.490-0353.040 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1095 | X=0121.490-0374.800 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1095 | X=0121.490-0216.460 | Y=0706.770-0718.010 | >500m đến ≤1.000m.
P=1096 | X=0121.490-0344.660 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1096 | X=0121.490-0395.000 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1096 | X=0121.490-0400.060 | Y=0107.780-0119.020 | ra Đường tỉnh 765 đoạn từ Hết cây xăng Vĩnh Hòa đến Đường
P=1096 | X=0121.490-0400.780 | Y=0119.330-0130.570 | ấp 5 Lâm San - Quảng Thành có hiện trạng là đường nhựa, bê
P=1096 | X=0121.490-0181.650 | Y=0130.850-0142.090 | tông xi măng:
P=1096 | X=0100.130-0111.250 | Y=0138.730-0148.050 | 77
P=1096 | X=0446.330-0462.970 | Y=0138.730-0148.050 | 220
P=1096 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 140
P=1096 | X=0121.490-0362.600 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1096 | X=0121.490-0163.630 | Y=0161.530-0170.850 | >1.000m.
P=1096 | X=0121.490-0345.130 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1096 | X=0224.740-0312.200 | Y=0194.930-0206.170 | Ngã ba đường ấp 5
P=1096 | X=0121.490-0191.680 | Y=0206.470-0217.710 | Đường tỉnh 765
P=1096 | X=0100.130-0111.250 | Y=0208.350-0217.670 | 78
P=1096 | X=0224.740-0373.460 | Y=0208.350-0217.670 | Lâm San - Quảng Cầu Gia Hoét
P=1096 | X=0446.330-0462.970 | Y=0208.350-0217.670 | 530
P=1096 | X=0505.390-0522.030 | Y=0208.350-0217.670 | 400
P=1096 | X=0224.740-0253.150 | Y=0219.870-0229.190 | Thành
P=1096 | X=0121.490-0389.030 | Y=0235.750-0246.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1096 | X=0121.490-0397.670 | Y=0247.270-0258.510 | 765 đoạn từ Ngã ba đường ấp 5 Lâm San - Quảng Thành đến
P=1096 | X=0121.490-0391.720 | Y=0258.790-0270.030 | Cầu Gia Hoét có hiện trạng là đường nhựa, bê tông xi măng:
P=1096 | X=0100.130-0111.250 | Y=0266.670-0275.990 | 79
P=1096 | X=0446.330-0462.970 | Y=0266.670-0275.990 | 380
P=1096 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 250
P=1096 | X=0121.490-0352.570 | Y=0276.310-0287.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1096 | X=0121.490-0398.680 | Y=0293.860-0305.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1096 | X=0121.490-0389.030 | Y=0311.620-0322.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1096 | X=0121.490-0397.670 | Y=0323.140-0334.380 | 765 đoạn từ Ngã ba đường ấp 5 Lâm San - Quảng Thành đến
P=1096 | X=0121.490-0391.720 | Y=0334.660-0345.900 | Cầu Gia Hoét có hiện trạng là đường nhựa, bê tông xi măng:
P=1096 | X=0121.490-0353.040 | Y=0351.940-0363.180 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1096 | X=0100.130-0111.250 | Y=0356.940-0366.260 | 80
P=1096 | X=0446.330-0462.970 | Y=0356.940-0366.260 | 310
P=1096 | X=0505.390-0522.030 | Y=0356.940-0366.260 | 200
P=1096 | X=0121.490-0374.800 | Y=0369.480-0380.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1096 | X=0121.490-0216.460 | Y=0381.000-0392.240 | >500m đến ≤1.000m.
P=1096 | X=0121.490-0344.660 | Y=0398.520-0409.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1096 | X=0121.490-0389.030 | Y=0416.280-0427.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1096 | X=0121.490-0397.670 | Y=0427.800-0439.040 | 765 đoạn từ Ngã ba đường ấp 5 Lâm San - Quảng Thành đến
P=1096 | X=0121.490-0391.720 | Y=0439.320-0450.560 | Cầu Gia Hoét có hiện trạng là đường nhựa, bê tông xi măng:
P=1096 | X=0100.130-0111.250 | Y=0452.980-0462.300 | 81
P=1096 | X=0446.330-0462.970 | Y=0452.980-0462.300 | 220
P=1096 | X=0505.390-0522.030 | Y=0452.980-0462.300 | 140
P=1096 | X=0121.490-0362.600 | Y=0456.860-0468.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1096 | X=0121.490-0163.630 | Y=0470.260-0479.580 | >1.000m.
P=1096 | X=0121.490-0345.130 | Y=0485.900-0497.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1096 | X=0121.490-0395.000 | Y=0503.660-0514.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1096 | X=0121.490-0379.340 | Y=0515.180-0526.420 | ra Đường tỉnh 765 đoạn từ Ngã ba đường ấp 5 Lâm San -
P=1096 | X=0121.490-0398.230 | Y=0526.460-0537.700 | Quảng Thành đến Cầu Gia Hoét có hiện trạng là đường nhựa,
P=1096 | X=0121.490-0195.570 | Y=0538.010-0549.250 | bê tông xi măng:
P=1096 | X=0100.130-0111.250 | Y=0540.130-0549.450 | 82
P=1096 | X=0446.330-0462.970 | Y=0540.130-0549.450 | 380
P=1096 | X=0505.390-0522.030 | Y=0540.130-0549.450 | 250
P=1096 | X=0121.490-0352.570 | Y=0555.530-0566.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1096 | X=0121.490-0398.680 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1096 | X=0121.490-0395.000 | Y=0590.810-0602.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1096 | X=0121.490-0379.340 | Y=0602.330-0613.570 | ra Đường tỉnh 765 đoạn từ Ngã ba đường ấp 5 Lâm San -
P=1096 | X=0121.490-0398.230 | Y=0613.850-0625.090 | Quảng Thành đến Cầu Gia Hoét có hiện trạng là đường nhựa,
P=1096 | X=0121.490-0195.570 | Y=0625.390-0636.630 | bê tông xi măng:
P=1096 | X=0100.130-0111.250 | Y=0641.910-0651.230 | 83
P=1096 | X=0446.330-0462.970 | Y=0641.910-0651.230 | 310
P=1096 | X=0505.390-0522.030 | Y=0641.910-0651.230 | 200
P=1096 | X=0121.490-0353.040 | Y=0642.910-0654.150 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1096 | X=0121.490-0374.800 | Y=0660.430-0671.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1096 | X=0121.490-0216.460 | Y=0671.950-0683.190 | >500m đến ≤1.000m.
P=1096 | X=0121.490-0344.660 | Y=0689.470-0700.710 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1096 | X=0121.490-0395.000 | Y=0707.250-0718.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1096 | X=0100.130-0111.250 | Y=0709.140-0718.460 | 84
P=1096 | X=0446.330-0462.970 | Y=0709.140-0718.460 | 220
P=1096 | X=0505.390-0522.030 | Y=0709.140-0718.460 | 140
P=1097 | X=0121.490-0379.340 | Y=0072.500-0083.740 | ra Đường tỉnh 765 đoạn từ Ngã ba đường ấp 5 Lâm San -
P=1097 | X=0121.490-0398.230 | Y=0084.020-0095.260 | Quảng Thành đến Cầu Gia Hoét có hiện trạng là đường nhựa,
P=1097 | X=0121.490-0195.570 | Y=0095.540-0106.780 | bê tông xi măng:
P=1097 | X=0121.490-0362.600 | Y=0113.060-0124.300 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1097 | X=0121.490-0163.630 | Y=0126.490-0135.810 | >1.000m.
P=1097 | X=0121.490-0345.130 | Y=0142.130-0153.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1097 | X=0121.490-0224.470 | Y=0159.650-0170.890 | Đường ấp 5 Lâm San -
P=1097 | X=0312.840-0384.210 | Y=0161.530-0170.850 | Hết ranh giới xã
P=1097 | X=0224.740-0294.910 | Y=0165.410-0176.650 | Đường tỉnh 765
P=1097 | X=0100.130-0111.250 | Y=0167.290-0176.610 | 85
P=1097 | X=0446.330-0462.970 | Y=0167.290-0176.610 | 500
P=1097 | X=0505.390-0522.030 | Y=0167.290-0176.610 | 370
P=1097 | X=0312.840-0366.430 | Y=0171.170-0182.410 | Lâm San cũ
P=1097 | X=0121.490-0182.780 | Y=0173.050-0182.370 | Quảng Thành
P=1097 | X=0121.490-0392.140 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 5
P=1097 | X=0121.490-0402.460 | Y=0200.470-0211.710 | Lâm San - Quảng Thành đoạn từ Đường tỉnh 765 đến Hết ranh
P=1097 | X=0121.490-0386.590 | Y=0211.990-0223.230 | giới xã Lâm San cũ có hiện trạng là đường nhựa, bê tông xi
P=1097 | X=0121.490-0149.490 | Y=0223.510-0234.750 | măng:
P=1097 | X=0100.130-0111.250 | Y=0225.630-0234.950 | 86
P=1097 | X=0446.330-0462.970 | Y=0225.630-0234.950 | 350
P=1097 | X=0505.390-0522.030 | Y=0225.630-0234.950 | 230
P=1097 | X=0121.490-0352.570 | Y=0241.030-0252.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1097 | X=0121.490-0398.680 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1097 | X=0121.490-0392.140 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 5
P=1097 | X=0121.490-0402.460 | Y=0287.860-0299.100 | Lâm San - Quảng Thành đoạn từ Đường tỉnh 765 đến Hết ranh
P=1097 | X=0121.490-0386.590 | Y=0299.380-0310.620 | giới xã Lâm San cũ có hiện trạng là đường nhựa, bê tông xi
P=1097 | X=0121.490-0149.490 | Y=0310.900-0322.140 | măng:
P=1097 | X=0100.130-0111.250 | Y=0327.420-0336.740 | 87
P=1097 | X=0446.330-0462.970 | Y=0327.420-0336.740 | 290
P=1097 | X=0505.390-0522.030 | Y=0327.420-0336.740 | 180
P=1097 | X=0121.490-0353.040 | Y=0328.420-0339.660 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1097 | X=0121.490-0374.800 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1097 | X=0121.490-0216.460 | Y=0357.220-0368.460 | >500m đến ≤1.000m.
