TABLE=051 | AREA=Xã Phú Lâm | SECTION=agricultural | SEGMENTS=1
P=1730 | X=0448.010-0459.130 | Y=0135.610-0144.930 | 90
P=1730 | X=0511.150-0522.270 | Y=0135.610-0144.930 | 80
P=1730 | X=0120.530-0373.840 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1730 | X=0120.530-0215.500 | Y=0159.650-0170.890 | >500m đến ≤1.000m.
P=1730 | X=0120.530-0343.700 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1730 | X=0120.530-0389.500 | Y=0194.930-0206.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1730 | X=0120.530-0389.260 | Y=0206.470-0217.710 | Lâm - Phú Bình đoạn từ Quốc lộ 20 đến Giao đường ấp Phú
P=1730 | X=0120.530-0354.010 | Y=0217.990-0229.230 | Dũng có hiện trạng là đường nhựa, bê tông xi măng:
P=1730 | X=0096.770-0113.410 | Y=0231.630-0240.950 | 123
P=1730 | X=0448.010-0459.130 | Y=0231.630-0240.950 | 55
P=1730 | X=0511.150-0522.270 | Y=0231.630-0240.950 | 50
P=1730 | X=0120.530-0361.640 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1730 | X=0120.530-0162.670 | Y=0248.910-0258.230 | >1.000m.
P=1730 | X=0120.530-0344.170 | Y=0264.550-0275.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1730 | X=0120.530-0394.040 | Y=0282.340-0293.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1730 | X=0120.530-0388.530 | Y=0293.860-0305.100 | ra Đường Phú Lâm - Phú Bình đoạn từ Quốc lộ 20 đến Giao
P=1730 | X=0120.530-0390.680 | Y=0305.380-0316.620 | đường ấp Phú Dũng có hiện trạng là đường nhựa, bê tông xi
P=1730 | X=0120.530-0148.530 | Y=0316.900-0328.140 | măng:
P=1730 | X=0096.770-0113.410 | Y=0324.780-0334.100 | 124
P=1730 | X=0442.250-0458.890 | Y=0324.780-0334.100 | 130
P=1730 | X=0505.390-0522.030 | Y=0324.780-0334.100 | 100
P=1730 | X=0120.530-0351.610 | Y=0334.420-0345.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1730 | X=0120.530-0361.640 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1730 | X=0120.530-0154.050 | Y=0363.220-0374.460 | ≤500m.
P=1730 | X=0120.530-0394.040 | Y=0381.000-0392.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1730 | X=0120.530-0388.530 | Y=0392.520-0403.760 | ra Đường Phú Lâm - Phú Bình đoạn từ Quốc lộ 20 đến Giao
P=1730 | X=0120.530-0390.680 | Y=0404.040-0415.280 | đường ấp Phú Dũng có hiện trạng là đường nhựa, bê tông xi
P=1730 | X=0120.530-0148.530 | Y=0415.560-0426.800 | măng:
P=1730 | X=0096.770-0352.080 | Y=0432.080-0444.320 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1730 | X=0448.010-0459.130 | Y=0432.080-0441.400 | 90
P=1730 | X=0511.150-0522.270 | Y=0432.080-0441.400 | 80
P=1730 | X=0120.530-0373.840 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1730 | X=0120.530-0215.520 | Y=0462.140-0473.380 | >500m đến ≤1.000m.
P=1730 | X=0120.530-0343.700 | Y=0479.660-0490.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1730 | X=0120.530-0394.040 | Y=0497.420-0508.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1730 | X=0120.530-0388.530 | Y=0508.940-0520.180 | ra Đường Phú Lâm - Phú Bình đoạn từ Quốc lộ 20 đến Giao
P=1730 | X=0120.530-0390.680 | Y=0520.220-0531.460 | đường ấp Phú Dũng có hiện trạng là đường nhựa, bê tông xi
P=1730 | X=0120.530-0148.530 | Y=0531.740-0542.980 | măng:
P=1730 | X=0096.770-0113.410 | Y=0539.650-0548.970 | 126
P=1730 | X=0448.010-0459.130 | Y=0539.650-0548.970 | 55
P=1730 | X=0511.150-0522.270 | Y=0539.650-0548.970 | 50
P=1730 | X=0120.530-0361.640 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1730 | X=0120.530-0162.670 | Y=0562.690-0572.010 | >1.000m.
P=1730 | X=0120.530-0344.170 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1730 | X=0120.530-0394.750 | Y=0596.090-0607.330 | Đường Phú Lâm - Giáp đường ấp Phú Giáp đường đi khu Lá
P=1730 | X=0096.770-0113.410 | Y=0603.730-0613.050 | 127
P=1730 | X=0442.250-0458.890 | Y=0603.730-0613.050 | 270
P=1730 | X=0505.390-0522.030 | Y=0603.730-0613.050 | 220
P=1730 | X=0204.550-0228.410 | Y=0607.610-0618.850 | Dũng
P=1730 | X=0297.240-0302.840 | Y=0607.610-0618.850 | ủ
P=1730 | X=0120.530-0161.870 | Y=0609.490-0618.810 | Phú Bình
P=1730 | X=0120.530-0389.500 | Y=0625.390-0636.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1730 | X=0120.530-0388.530 | Y=0636.910-0648.150 | Lâm - Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến Giáp
P=1730 | X=0120.530-0381.320 | Y=0648.430-0659.670 | đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1730 | X=0120.530-0148.530 | Y=0659.950-0671.190 | măng:
P=1730 | X=0096.770-0113.410 | Y=0667.830-0677.150 | 128
P=1730 | X=0442.250-0458.890 | Y=0667.830-0677.150 | 130
P=1730 | X=0505.390-0522.030 | Y=0667.830-0677.150 | 100
P=1730 | X=0120.530-0351.610 | Y=0677.470-0688.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1730 | X=0120.530-0361.640 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1730 | X=0120.530-0154.050 | Y=0706.290-0717.530 | ≤500m.
P=1731 | X=0120.530-0389.500 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1731 | X=0120.530-0388.530 | Y=0090.020-0101.260 | Lâm - Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến Giáp
P=1731 | X=0120.530-0381.320 | Y=0101.540-0112.780 | đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1731 | X=0120.530-0148.530 | Y=0113.060-0124.300 | măng:
P=1731 | X=0096.770-0352.080 | Y=0129.610-0141.850 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1731 | X=0448.010-0459.130 | Y=0129.610-0138.930 | 90
P=1731 | X=0511.150-0522.270 | Y=0129.610-0138.930 | 80
P=1731 | X=0120.530-0373.840 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1731 | X=0120.530-0215.500 | Y=0159.410-0170.650 | >500m đến ≤1.000m.
P=1731 | X=0120.530-0343.700 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1731 | X=0120.530-0389.500 | Y=0194.690-0205.930 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1731 | X=0120.530-0388.530 | Y=0206.230-0217.470 | Lâm - Phú Bình đoạn từ Giáp đường ấp Phú Dũng đến Giáp
P=1731 | X=0120.530-0381.320 | Y=0217.750-0228.990 | đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1731 | X=0120.530-0148.530 | Y=0229.270-0240.510 | măng:
P=1731 | X=0096.770-0113.410 | Y=0237.150-0246.470 | 130
P=1731 | X=0448.010-0459.130 | Y=0237.150-0246.470 | 55
P=1731 | X=0511.150-0522.270 | Y=0237.150-0246.470 | 50
P=1731 | X=0120.530-0361.640 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1731 | X=0120.530-0162.670 | Y=0260.190-0269.510 | >1.000m.
P=1731 | X=0120.530-0344.170 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1731 | X=0120.530-0394.040 | Y=0293.620-0304.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1731 | X=0120.530-0385.170 | Y=0305.140-0316.380 | ra Đường Phú Lâm - Phú Bình đoạn từ Giáp đường ấp Phú
P=1731 | X=0120.530-0376.060 | Y=0316.660-0327.900 | Dũng đến Giáp đường đi khu Lá ủ có hiện trạng là đường
P=1731 | X=0120.530-0223.640 | Y=0327.940-0339.180 | nhựa, bê tông xi măng:
P=1731 | X=0096.770-0113.410 | Y=0335.820-0345.140 | 131
P=1731 | X=0442.250-0458.890 | Y=0335.820-0345.140 | 130
P=1731 | X=0505.390-0522.030 | Y=0335.820-0345.140 | 100
P=1731 | X=0120.530-0351.610 | Y=0345.460-0356.700 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1731 | X=0120.530-0361.640 | Y=0362.980-0374.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1731 | X=0120.530-0154.050 | Y=0374.520-0385.760 | ≤500m.
P=1731 | X=0120.530-0394.040 | Y=0392.280-0403.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1731 | X=0120.530-0385.170 | Y=0403.800-0415.040 | ra Đường Phú Lâm - Phú Bình đoạn từ Giáp đường ấp Phú
P=1731 | X=0120.530-0376.060 | Y=0415.320-0426.560 | Dũng đến Giáp đường đi khu Lá ủ có hiện trạng là đường
P=1731 | X=0120.530-0223.640 | Y=0426.840-0438.080 | nhựa, bê tông xi măng:
P=1731 | X=0096.770-0352.080 | Y=0443.360-0455.600 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1731 | X=0448.010-0459.130 | Y=0443.360-0452.680 | 90
P=1731 | X=0511.150-0522.270 | Y=0443.360-0452.680 | 80
P=1731 | X=0120.530-0373.840 | Y=0461.900-0473.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1731 | X=0120.530-0215.500 | Y=0473.420-0484.660 | >500m đến ≤1.000m.
P=1731 | X=0120.530-0343.700 | Y=0490.940-0502.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1731 | X=0120.530-0394.040 | Y=0508.460-0519.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1731 | X=0120.530-0385.170 | Y=0519.980-0531.220 | ra Đường Phú Lâm - Phú Bình đoạn từ Giáp đường ấp Phú
P=1731 | X=0120.530-0376.060 | Y=0531.500-0542.740 | Dũng đến Giáp đường đi khu Lá ủ có hiện trạng là đường
P=1731 | X=0120.530-0223.640 | Y=0543.050-0554.290 | nhựa, bê tông xi măng:
P=1731 | X=0096.770-0113.410 | Y=0550.930-0560.250 | 133
P=1731 | X=0448.010-0459.130 | Y=0550.930-0560.250 | 55
P=1731 | X=0511.150-0522.270 | Y=0550.930-0560.250 | 50
P=1731 | X=0120.530-0361.640 | Y=0560.570-0571.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1731 | X=0120.530-0162.670 | Y=0573.970-0583.290 | >1.000m.
P=1731 | X=0120.530-0344.170 | Y=0589.610-0600.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1731 | X=0297.240-0389.020 | Y=0607.370-0618.610 | Hết ranh thửa đất số
P=1731 | X=0297.240-0384.460 | Y=0618.910-0630.150 | 144 tờ BĐĐC số 27
P=1731 | X=0120.530-0201.190 | Y=0630.430-0641.670 | Đường Phú Lâm -
P=1731 | X=0297.240-0379.020 | Y=0632.310-0641.630 | về bên phải và hết
P=1731 | X=0204.550-0288.180 | Y=0636.190-0647.430 | Đường đi khu Lá ủ
P=1731 | X=0096.770-0113.410 | Y=0638.070-0647.390 | 134
P=1731 | X=0442.250-0458.890 | Y=0638.070-0647.390 | 270
P=1731 | X=0505.390-0522.030 | Y=0638.070-0647.390 | 220
P=1731 | X=0297.240-0392.950 | Y=0641.950-0653.190 | ranh thửa đất số 303,
P=1731 | X=0120.530-0161.870 | Y=0643.830-0653.150 | Phú Bình
P=1731 | X=0297.240-0378.710 | Y=0653.470-0664.710 | tờ BĐĐC số 28 về
P=1731 | X=0297.240-0330.670 | Y=0666.630-0675.950 | bên trái
P=1731 | X=0120.530-0389.500 | Y=0682.510-0693.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1731 | X=0096.770-0373.880 | Y=0694.030-0705.270 | 135 Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ đến Hết ranh
P=1731 | X=0442.250-0458.890 | Y=0695.910-0705.230 | 130
P=1731 | X=0505.390-0522.030 | Y=0695.910-0705.230 | 100
P=1731 | X=0120.530-0376.280 | Y=0705.570-0716.810 | thửa đất số 144 tờ BĐĐC số 27 về bên phải đến Hết ranh
P=1732 | X=0120.530-0385.820 | Y=0072.500-0083.740 | thửa đất số 303, tờ BĐĐC số 28 về bên trái, xã Phú Lâm có
P=1732 | X=0120.530-0314.170 | Y=0084.020-0095.260 | hiện trạng là đường nhựa, bê tông xi măng:
P=1732 | X=0120.530-0351.610 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1732 | X=0120.530-0361.640 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1732 | X=0120.530-0154.050 | Y=0130.610-0141.850 | ≤500m.
P=1732 | X=0120.530-0389.500 | Y=0148.370-0159.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1732 | X=0120.530-0395.980 | Y=0159.650-0170.890 | Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ đến hết ranh thửa
P=1732 | X=0120.530-0392.950 | Y=0171.170-0182.410 | đất số 144 tờ BĐĐC số 27 về bên phải đến Hết ranh thửa đất
P=1732 | X=0120.530-0393.110 | Y=0182.690-0193.930 | số 303, tờ BĐĐC số 28 về bên trái, xã Phú Lâm có hiện trạng
P=1732 | X=0120.530-0266.860 | Y=0194.210-0205.450 | là đường nhựa, bê tông xi măng:
P=1732 | X=0096.770-0113.410 | Y=0205.230-0214.550 | 136
P=1732 | X=0448.010-0459.130 | Y=0205.230-0214.550 | 90
P=1732 | X=0511.150-0522.270 | Y=0205.230-0214.550 | 80
P=1732 | X=0120.530-0352.080 | Y=0211.750-0222.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1732 | X=0120.530-0373.840 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1732 | X=0120.530-0215.500 | Y=0240.790-0252.030 | >500m đến ≤1.000m.
P=1732 | X=0120.530-0343.700 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1732 | X=0120.530-0389.500 | Y=0276.070-0287.310 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1732 | X=0120.530-0395.980 | Y=0287.620-0298.860 | Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ đến hết ranh thửa
P=1732 | X=0120.530-0392.950 | Y=0299.140-0310.380 | đất số 144 tờ BĐĐC số 27 về bên phải đến Hết ranh thửa đất
P=1732 | X=0120.530-0393.110 | Y=0310.660-0321.900 | số 303, tờ BĐĐC số 28 về bên trái, xã Phú Lâm có hiện trạng
P=1732 | X=0096.770-0266.860 | Y=0321.940-0333.620 | 137 là đường nhựa, bê tông xi măng:
P=1732 | X=0448.010-0459.130 | Y=0324.300-0333.620 | 55
P=1732 | X=0511.150-0522.270 | Y=0324.300-0333.620 | 50
P=1732 | X=0120.530-0361.640 | Y=0339.460-0350.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1732 | X=0120.530-0162.670 | Y=0352.860-0362.180 | >1.000m.
P=1732 | X=0120.530-0344.170 | Y=0368.520-0379.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1732 | X=0120.530-0394.040 | Y=0386.280-0397.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1732 | X=0120.530-0380.140 | Y=0397.800-0409.040 | ra Đường Phú Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ
P=1732 | X=0120.530-0394.060 | Y=0409.320-0420.560 | đến hết ranh thửa đất số 144 tờ BĐĐC số 27 về bên phải đến
P=1732 | X=0120.530-0391.390 | Y=0420.840-0432.080 | Hết ranh thửa đất số 303, tờ BĐĐC số 28 về bên trái, xã Phú
P=1732 | X=0096.770-0349.690 | Y=0432.360-0443.800 | 138 Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1732 | X=0442.250-0458.890 | Y=0434.480-0443.800 | 130
P=1732 | X=0505.390-0522.030 | Y=0434.480-0443.800 | 100
P=1732 | X=0120.530-0351.650 | Y=0449.900-0461.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1732 | X=0120.530-0361.640 | Y=0467.420-0478.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1732 | X=0120.530-0154.050 | Y=0478.940-0490.180 | ≤500m.
P=1732 | X=0120.530-0394.040 | Y=0496.460-0507.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1732 | X=0120.530-0380.140 | Y=0507.980-0519.220 | ra Đường Phú Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ
P=1732 | X=0120.530-0394.060 | Y=0519.500-0530.740 | đến hết ranh thửa đất số 144 tờ BĐĐC số 27 về bên phải đến
P=1732 | X=0120.530-0391.390 | Y=0531.020-0542.260 | Hết ranh thửa đất số 303, tờ BĐĐC số 28 về bên trái, xã Phú
P=1732 | X=0120.530-0349.690 | Y=0542.570-0553.810 | Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1732 | X=0096.770-0113.410 | Y=0553.570-0562.890 | 139
P=1732 | X=0448.010-0459.130 | Y=0553.570-0562.890 | 90
P=1732 | X=0511.150-0522.270 | Y=0553.570-0562.890 | 80
P=1732 | X=0120.530-0352.080 | Y=0560.090-0571.330 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1732 | X=0120.530-0373.840 | Y=0577.610-0588.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1732 | X=0120.530-0215.500 | Y=0589.130-0600.370 | >500m đến ≤1.000m.
P=1732 | X=0120.530-0343.700 | Y=0606.650-0617.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1732 | X=0120.530-0394.040 | Y=0624.430-0635.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1732 | X=0120.530-0380.140 | Y=0635.950-0647.190 | ra Đường Phú Lâm - Phú Bình đoạn từ Đường đi khu Lá ủ
P=1732 | X=0120.530-0394.060 | Y=0647.470-0658.710 | đến hết ranh thửa đất số 144 tờ BĐĐC số 27 về bên phải đến
P=1732 | X=0096.770-0391.420 | Y=0658.750-0673.070 | 140 Hết ranh thửa đất số 303, tờ BĐĐC số 28 về bên trái, xã Phú
P=1732 | X=0448.010-0459.130 | Y=0663.750-0673.070 | 55
P=1732 | X=0511.150-0522.270 | Y=0663.750-0673.070 | 50
P=1732 | X=0120.530-0349.690 | Y=0670.270-0681.510 | Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1732 | X=0120.530-0361.640 | Y=0687.790-0699.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1732 | X=0120.530-0162.670 | Y=0701.190-0710.510 | >1.000m.
P=1733 | X=0120.530-0344.170 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1733 | X=0120.530-0202.960 | Y=0096.260-0107.500 | Đường Quán Hiến
P=1733 | X=0204.550-0286.500 | Y=0102.020-0113.260 | Đường 30 tháng 4
P=1733 | X=0297.240-0380.860 | Y=0102.020-0113.260 | Đường đi khu Lá ủ
P=1733 | X=0096.770-0113.410 | Y=0103.900-0113.220 | 141
P=1733 | X=0442.250-0458.890 | Y=0103.900-0113.220 | 270
P=1733 | X=0505.390-0522.030 | Y=0103.900-0113.220 | 220
P=1733 | X=0120.530-0179.670 | Y=0107.780-0119.020 | vào khu Lá Ủ
P=1733 | X=0120.530-0368.870 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1733 | X=0120.530-0369.590 | Y=0137.090-0148.330 | Quán Hiến vào khu Lá ủ đoạn từ Đường 30 tháng 4 đến
P=1733 | X=0120.530-0383.000 | Y=0148.610-0159.850 | Đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1733 | X=0120.530-0148.530 | Y=0160.130-0171.370 | măng:
P=1733 | X=0096.770-0113.410 | Y=0168.010-0177.330 | 142
P=1733 | X=0442.250-0458.890 | Y=0168.010-0177.330 | 130
P=1733 | X=0505.390-0522.030 | Y=0168.010-0177.330 | 100
P=1733 | X=0120.530-0351.610 | Y=0177.410-0188.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1733 | X=0120.530-0361.650 | Y=0194.930-0206.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1733 | X=0120.530-0154.050 | Y=0206.470-0217.710 | ≤500m.
P=1733 | X=0120.530-0368.870 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1733 | X=0120.530-0369.590 | Y=0235.750-0246.990 | Quán Hiến vào khu Lá ủ đoạn từ Đường 30 tháng 4 đến
P=1733 | X=0120.530-0383.000 | Y=0247.270-0258.510 | Đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1733 | X=0120.530-0148.530 | Y=0258.790-0270.030 | măng:
P=1733 | X=0096.770-0352.080 | Y=0275.310-0287.550 | 143 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1733 | X=0448.010-0459.130 | Y=0275.310-0284.630 | 90
P=1733 | X=0511.150-0522.270 | Y=0275.310-0284.630 | 80
P=1733 | X=0120.530-0373.840 | Y=0293.860-0305.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1733 | X=0120.530-0215.500 | Y=0305.380-0316.620 | >500m đến ≤1.000m.
P=1733 | X=0120.530-0343.700 | Y=0322.900-0334.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1733 | X=0120.530-0368.870 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1733 | X=0120.530-0369.590 | Y=0351.940-0363.180 | Quán Hiến vào khu Lá ủ đoạn từ Đường 30 tháng 4 đến
P=1733 | X=0120.530-0383.000 | Y=0363.460-0374.700 | Đường đi khu Lá ủ có hiện trạng là đường nhựa, bê tông xi
P=1733 | X=0120.530-0148.530 | Y=0375.000-0386.240 | măng:
P=1733 | X=0096.770-0113.410 | Y=0382.880-0392.200 | 144
P=1733 | X=0448.010-0459.130 | Y=0382.880-0392.200 | 55
P=1733 | X=0511.150-0522.270 | Y=0382.880-0392.200 | 50
P=1733 | X=0120.530-0361.640 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1733 | X=0120.530-0162.670 | Y=0405.920-0415.240 | >1.000m.
P=1733 | X=0120.530-0344.170 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1733 | X=0120.530-0394.040 | Y=0439.320-0450.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1733 | X=0120.530-0387.820 | Y=0450.860-0462.100 | ra Đường Quán Hiến vào khu Lá ủ đoạn từ Đường 30 tháng
P=1733 | X=0120.530-0378.470 | Y=0462.380-0473.620 | 4 đến Đường đi khu Lá ủ có hiện trạng là đường nhựa, bê
P=1733 | X=0120.530-0180.690 | Y=0473.900-0485.140 | tông xi măng:
P=1733 | X=0096.770-0113.410 | Y=0481.780-0491.100 | 145
P=1733 | X=0442.250-0458.890 | Y=0481.780-0491.100 | 130
P=1733 | X=0505.390-0522.030 | Y=0481.780-0491.100 | 100
P=1733 | X=0120.530-0351.610 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1733 | X=0120.530-0361.640 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1733 | X=0120.530-0154.050 | Y=0520.220-0531.460 | ≤500m.
P=1733 | X=0120.530-0394.070 | Y=0538.010-0549.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1733 | X=0120.530-0387.820 | Y=0549.530-0560.770 | ra Đường Quán Hiến vào khu Lá ủ đoạn từ Đường 30 tháng
P=1733 | X=0120.530-0378.470 | Y=0561.050-0572.290 | 4 đến Đường đi khu Lá ủ có hiện trạng là đường nhựa, bê
P=1733 | X=0120.530-0180.690 | Y=0572.570-0583.810 | tông xi măng:
P=1733 | X=0096.770-0352.080 | Y=0589.330-0601.330 | 146 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1733 | X=0448.010-0459.130 | Y=0589.330-0598.650 | 90
P=1733 | X=0511.150-0522.270 | Y=0589.330-0598.650 | 80
P=1733 | X=0120.530-0373.840 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1733 | X=0120.530-0215.500 | Y=0619.150-0630.390 | >500m đến ≤1.000m.
P=1733 | X=0120.530-0343.700 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1733 | X=0120.530-0394.040 | Y=0654.430-0665.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1733 | X=0120.530-0387.820 | Y=0665.950-0677.190 | ra Đường Quán Hiến vào khu Lá ủ đoạn từ Đường 30 tháng
P=1733 | X=0096.770-0378.470 | Y=0677.470-0691.550 | 147 4 đến Đường đi khu Lá ủ có hiện trạng là đường nhựa, bê
P=1733 | X=0448.010-0459.130 | Y=0682.230-0691.550 | 55
P=1733 | X=0511.150-0522.270 | Y=0682.230-0691.550 | 50
P=1733 | X=0120.530-0180.690 | Y=0688.750-0699.990 | tông xi măng:
P=1733 | X=0120.530-0361.640 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1734 | X=0120.530-0162.670 | Y=0074.380-0083.700 | >1.000m.
P=1734 | X=0120.530-0344.170 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1734 | X=0120.530-0377.900 | Y=0107.780-0119.020 | Đường Quán Hiến Giáp đường đi khu Đường Phú Lâm -
P=1734 | X=0096.770-0113.410 | Y=0115.420-0124.740 | 148
P=1734 | X=0442.250-0458.890 | Y=0115.420-0124.740 | 270
P=1734 | X=0505.390-0522.030 | Y=0115.420-0124.740 | 220
P=1734 | X=0120.530-0177.990 | Y=0119.330-0130.570 | vào khu Lá ủ
P=1734 | X=0204.550-0224.070 | Y=0119.330-0130.570 | Lá ủ
P=1734 | X=0297.240-0338.580 | Y=0121.210-0130.530 | Phú Bình
P=1734 | X=0120.530-0368.870 | Y=0137.090-0148.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1734 | X=0120.530-0393.580 | Y=0148.610-0159.850 | Quán Hiến vào khu Lá ủ đoạn từ Giáp đường đi khu Lá ủ đến
P=1734 | X=0120.530-0391.900 | Y=0160.130-0171.370 | Đường Phú Lâm - Phú Bình có hiện trạng là đường nhựa, bê
P=1734 | X=0120.530-0180.690 | Y=0171.410-0182.650 | tông xi măng:
P=1734 | X=0096.770-0113.410 | Y=0179.290-0188.610 | 149
P=1734 | X=0442.250-0458.890 | Y=0179.290-0188.610 | 130
