TABLE=010 | AREA=Phường Tam Phước | SECTION=agricultural | SEGMENTS=1
P=0362 | X=0278.500-0375.800 | Y=0388.680-0399.920 | Đường Trường Chinh
P=0362 | X=0094.340-0110.980 | Y=0390.560-0399.880 | 183
P=0362 | X=0460.730-0477.370 | Y=0390.560-0399.880 | 800
P=0362 | X=0505.390-0522.030 | Y=0390.560-0399.880 | 710
P=0362 | X=0115.970-0166.230 | Y=0394.200-0405.440 | Đình Chiểu
P=0362 | X=0115.970-0401.510 | Y=0412.200-0423.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0362 | X=0115.970-0411.090 | Y=0423.720-0434.960 | Đình Chiểu đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có
P=0362 | X=0115.970-0309.580 | Y=0435.240-0446.480 | hiện trạng là đường nhựa, bê tông xi măng:
P=0362 | X=0094.340-0110.980 | Y=0443.120-0452.440 | 184
P=0362 | X=0460.730-0477.370 | Y=0443.120-0452.440 | 630
P=0362 | X=0505.390-0522.030 | Y=0443.120-0452.440 | 580
P=0362 | X=0115.970-0338.880 | Y=0452.780-0464.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0362 | X=0115.970-0393.160 | Y=0470.300-0481.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0362 | X=0115.970-0401.510 | Y=0488.300-0499.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0362 | X=0115.970-0411.090 | Y=0499.820-0511.060 | Đình Chiểu đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có
P=0362 | X=0115.970-0309.580 | Y=0511.340-0522.580 | hiện trạng là đường nhựa, bê tông xi măng:
P=0362 | X=0094.340-0339.140 | Y=0528.860-0542.940 | 185 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0362 | X=0460.730-0477.370 | Y=0533.620-0542.940 | 480
P=0362 | X=0505.390-0522.030 | Y=0533.620-0542.940 | 440
P=0362 | X=0115.970-0402.860 | Y=0546.410-0557.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0362 | X=0115.970-0168.930 | Y=0557.930-0569.170 | đến ≤600m.
P=0362 | X=0115.970-0339.140 | Y=0575.450-0586.690 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0362 | X=0115.970-0401.510 | Y=0593.450-0604.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0362 | X=0115.970-0411.090 | Y=0604.970-0616.210 | Đình Chiểu đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có
P=0362 | X=0115.970-0309.580 | Y=0616.270-0627.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0362 | X=0094.340-0110.980 | Y=0624.150-0633.470 | 186
P=0362 | X=0460.730-0477.370 | Y=0624.150-0633.470 | 320
P=0362 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 270
P=0362 | X=0115.970-0396.270 | Y=0633.790-0645.030 | - Có bề rộng từ ≥3 m đến <5m, cách đường giao thông >600m.
P=0362 | X=0115.970-0339.610 | Y=0651.310-0662.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0362 | X=0115.970-0401.230 | Y=0669.310-0680.550 | Các tuyến đường giao thông không đấu nối trực tiếp vá thông ra
P=0362 | X=0094.340-0403.910 | Y=0680.830-0692.070 | 187 Đường Nguyễn Đình Chiểu đoạn từ Đường Lê Duẩn đến Đường
P=0362 | X=0460.730-0477.370 | Y=0682.710-0692.030 | 630
P=0362 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 580
P=0362 | X=0115.970-0388.360 | Y=0692.350-0703.590 | Trường Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0363 | X=0115.970-0338.880 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0363 | X=0115.970-0393.160 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0363 | X=0115.970-0401.230 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0363 | X=0115.970-0403.910 | Y=0125.810-0137.050 | Đường Nguyễn Đình Chiểu đoạn từ Đường Lê Duẩn đến Đường
P=0363 | X=0115.970-0388.360 | Y=0137.330-0148.570 | Trường Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0363 | X=0094.340-0339.140 | Y=0154.850-0168.930 | 188 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0363 | X=0460.730-0477.370 | Y=0159.610-0168.930 | 480
P=0363 | X=0505.390-0522.030 | Y=0159.610-0168.930 | 440
P=0363 | X=0115.970-0402.860 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0363 | X=0115.970-0168.930 | Y=0183.650-0194.890 | đến ≤600m.
P=0363 | X=0115.970-0339.140 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0363 | X=0115.970-0401.230 | Y=0219.190-0230.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0363 | X=0115.970-0403.910 | Y=0230.710-0241.950 | Đường Nguyễn Đình Chiểu đoạn từ Đường Lê Duẩn đến Đường
P=0363 | X=0115.970-0388.360 | Y=0242.230-0253.470 | Trường Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0363 | X=0094.340-0110.980 | Y=0250.110-0259.430 | 189
P=0363 | X=0460.730-0477.370 | Y=0250.110-0259.430 | 320
P=0363 | X=0505.390-0522.030 | Y=0250.110-0259.430 | 270
P=0363 | X=0115.970-0393.400 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0363 | X=0115.970-0342.260 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0363 | X=0115.970-0256.710 | Y=0295.300-0306.540 | Đường Nguyễn Đường Hai Bà
P=0363 | X=0094.340-0110.980 | Y=0302.940-0312.260 | 190
P=0363 | X=0272.260-0368.510 | Y=0302.940-0312.260 | Hông Siêu thị Vincom
P=0363 | X=0460.730-0477.370 | Y=0302.940-0312.260 | 800
P=0363 | X=0505.390-0522.030 | Y=0302.940-0312.260 | 710
P=0363 | X=0192.070-0219.510 | Y=0306.820-0318.060 | Trưng
P=0363 | X=0115.970-0151.790 | Y=0308.700-0318.020 | An Ninh
P=0363 | X=0115.970-0416.630 | Y=0324.820-0336.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn An
P=0363 | X=0115.970-0402.930 | Y=0336.340-0347.580 | Ninh đoạn từ Đường Hai Bà Trưng đến Hông Siêu thị Vincom có
P=0363 | X=0115.970-0309.620 | Y=0347.860-0359.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=0363 | X=0094.340-0110.980 | Y=0355.740-0365.060 | 191
P=0363 | X=0460.730-0477.370 | Y=0355.740-0365.060 | 630
P=0363 | X=0505.390-0522.030 | Y=0355.740-0365.060 | 580
P=0363 | X=0115.970-0338.880 | Y=0365.400-0376.640 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0363 | X=0115.970-0393.160 | Y=0382.920-0394.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0363 | X=0115.970-0416.630 | Y=0400.920-0412.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn An
P=0363 | X=0115.970-0402.940 | Y=0412.200-0423.440 | Ninh đoạn từ Đường Hai Bà Trưng đến Hông Siêu thị Vincom có
P=0363 | X=0115.970-0309.580 | Y=0423.720-0434.960 | hiện trạng là đường nhựa, bê tông xi măng:
P=0363 | X=0094.340-0339.140 | Y=0441.240-0455.560 | 192 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0363 | X=0460.730-0477.370 | Y=0446.240-0455.560 | 480
P=0363 | X=0505.390-0522.030 | Y=0446.240-0455.560 | 440
P=0363 | X=0115.970-0402.860 | Y=0458.780-0470.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0363 | X=0115.970-0168.930 | Y=0470.300-0481.540 | đến ≤600m.
P=0363 | X=0115.970-0339.140 | Y=0487.820-0499.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0363 | X=0115.970-0416.630 | Y=0505.820-0517.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn An
P=0363 | X=0115.970-0402.930 | Y=0517.340-0528.580 | Ninh đoạn từ Đường Hai Bà Trưng đến Hông Siêu thị Vincom có
P=0363 | X=0115.970-0309.580 | Y=0528.860-0540.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=0363 | X=0094.340-0110.980 | Y=0536.770-0546.090 | 193
P=0363 | X=0460.730-0477.370 | Y=0536.770-0546.090 | 320
P=0363 | X=0505.390-0522.030 | Y=0536.770-0546.090 | 270
P=0363 | X=0115.970-0393.400 | Y=0546.410-0557.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0363 | X=0115.970-0340.100 | Y=0563.930-0575.170 | - Có bề rộng <3m, cách đường giao thông >200rn.
P=0363 | X=0115.970-0401.230 | Y=0581.930-0593.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0363 | X=0115.970-0403.670 | Y=0593.450-0604.690 | Đường Nguyễn An Ninh đoạn từ Đường Hai Bà Trưng đến Hông
P=0363 | X=0115.970-0395.070 | Y=0604.970-0616.210 | Siêu thị Vincom có hiện trạng là đường nhựa, bê tông xi măng:
P=0363 | X=0094.340-0110.980 | Y=0612.850-0622.170 | 194
P=0363 | X=0460.730-0477.370 | Y=0612.850-0622.170 | 630
P=0363 | X=0505.390-0522.030 | Y=0612.850-0622.170 | 580
P=0363 | X=0115.970-0338.880 | Y=0622.270-0633.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0363 | X=0115.970-0393.160 | Y=0639.790-0651.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0363 | X=0115.970-0401.230 | Y=0657.790-0669.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0363 | X=0115.970-0403.670 | Y=0669.310-0680.550 | Đường Nguyễn An Ninh đoạn từ Đường Hai Bà Trưng đến Hông
P=0363 | X=0094.340-0395.070 | Y=0680.070-0692.070 | 195 Siêu thị Vincom có hiện trạng là đường nhựa, bê tông xi măng:
P=0363 | X=0460.730-0477.370 | Y=0680.070-0689.390 | 480
P=0363 | X=0505.390-0522.030 | Y=0680.070-0689.390 | 440
P=0363 | X=0115.970-0339.150 | Y=0698.350-0709.590 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0364 | X=0115.970-0402.860 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0364 | X=0115.970-0168.930 | Y=0090.260-0101.500 | đến ≤600m.
P=0364 | X=0115.970-0339.140 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0364 | X=0115.970-0401.230 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0364 | X=0115.970-0403.670 | Y=0137.330-0148.570 | Đường Nguyễn An Ninh đoạn từ Đường Hai Bà Trưng đến Hông
P=0364 | X=0115.970-0395.080 | Y=0148.850-0160.090 | Siêu thị Vincom có hiện trạng là đường nhựa, bộ tông xi măng:
P=0364 | X=0094.340-0110.980 | Y=0156.730-0166.050 | 196
P=0364 | X=0460.730-0477.370 | Y=0156.730-0166.050 | 320
P=0364 | X=0505.390-0522.030 | Y=0156.730-0166.050 | 270
P=0364 | X=0115.970-0393.400 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0364 | X=0115.970-0342.260 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0364 | X=0115.970-0186.140 | Y=0201.670-0212.910 | Đường vào nhà
P=0364 | X=0192.070-0264.420 | Y=0207.430-0218.670 | Đường Lê Duẩn
P=0364 | X=0278.500-0382.540 | Y=0207.430-0218.670 | Đường Nguyễn Văn Trị
P=0364 | X=0094.340-0110.980 | Y=0209.310-0218.630 | 197
P=0364 | X=0460.730-0477.370 | Y=0209.310-0218.630 | 800
P=0364 | X=0505.390-0522.030 | Y=0209.310-0218.630 | 710
P=0364 | X=0115.970-0169.340 | Y=0213.190-0224.430 | thờ Văn Hải
P=0364 | X=0115.970-0420.510 | Y=0231.190-0242.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào nhà thờ
P=0364 | X=0115.970-0400.300 | Y=0242.710-0253.950 | Văn Hải đoạn từ đường Lê Duẩn đến đường Nguyễn Văn Trị có
P=0364 | X=0115.970-0309.580 | Y=0254.230-0265.470 | hiện trạng là đường nhựa, bê tông xi măng:
P=0364 | X=0094.340-0110.980 | Y=0262.110-0271.430 | 198
P=0364 | X=0460.730-0477.370 | Y=0262.110-0271.430 | 630
P=0364 | X=0505.390-0522.030 | Y=0262.110-0271.430 | 580
P=0364 | X=0115.970-0338.880 | Y=0271.750-0282.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0364 | X=0115.970-0393.160 | Y=0289.300-0300.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0364 | X=0115.970-0420.510 | Y=0307.300-0318.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào nhà thờ
P=0364 | X=0115.970-0400.300 | Y=0318.820-0330.060 | Văn Hải đoạn từ đường Lê Duẩn đến đường Nguyễn Văn Trị có
P=0364 | X=0115.970-0309.580 | Y=0330.340-0341.580 | hiện trạng là đường nhựa, bê tông xi măng:
P=0364 | X=0094.340-0339.140 | Y=0347.860-0361.940 | 199 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0364 | X=0460.730-0477.370 | Y=0352.620-0361.940 | 480
P=0364 | X=0505.390-0522.030 | Y=0352.620-0361.940 | 440
P=0364 | X=0115.970-0402.860 | Y=0365.400-0376.640 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0364 | X=0115.970-0168.930 | Y=0376.920-0388.160 | đến ≤600m.
P=0364 | X=0115.970-0339.140 | Y=0394.200-0405.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0364 | X=0115.970-0420.510 | Y=0412.200-0423.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào nhà thờ
P=0364 | X=0115.970-0400.300 | Y=0423.720-0434.960 | Văn Hài đoạn từ đường Lê Duẩn đến đường Nguyễn Văn Trị có
P=0364 | X=0115.970-0309.580 | Y=0435.240-0446.480 | hiện trạng là đường nhựa, bê tông xi măng:
P=0364 | X=0094.340-0110.980 | Y=0443.120-0452.440 | 200
P=0364 | X=0460.730-0477.370 | Y=0443.120-0452.440 | 320
P=0364 | X=0505.390-0522.030 | Y=0443.120-0452.440 | 270
P=0364 | X=0115.970-0393.400 | Y=0452.780-0464.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0364 | X=0115.970-0339.610 | Y=0470.300-0481.540 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0364 | X=0115.970-0401.230 | Y=0488.300-0499.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0364 | X=0115.970-0404.870 | Y=0499.820-0511.060 | Đường vào nhà thờ Văn Hài đoạn từ đường Lê Duẩn đến đường
P=0364 | X=0115.970-0395.070 | Y=0511.340-0522.580 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0364 | X=0094.340-0110.980 | Y=0519.220-0528.540 | 201
P=0364 | X=0460.730-0477.370 | Y=0519.220-0528.540 | 630
P=0364 | X=0505.390-0522.030 | Y=0519.220-0528.540 | 580
P=0364 | X=0115.970-0338.880 | Y=0528.860-0540.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0364 | X=0115.970-0393.160 | Y=0546.410-0557.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0364 | X=0115.970-0401.260 | Y=0564.410-0575.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0364 | X=0115.970-0404.870 | Y=0575.930-0587.170 | Đường vào nhà thờ Văn Hải đoạn từ đường Lê Duẩn đến đường
P=0364 | X=0115.970-0395.070 | Y=0587.450-0598.690 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0364 | X=0094.340-0339.140 | Y=0604.970-0619.050 | 202 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0364 | X=0460.730-0477.370 | Y=0609.730-0619.050 | 480
P=0364 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 440
P=0364 | X=0115.970-0402.860 | Y=0622.270-0633.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0364 | X=0115.970-0168.930 | Y=0633.790-0645.030 | đến ≤600m.
P=0364 | X=0115.970-0339.140 | Y=0651.310-0662.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0364 | X=0115.970-0401.230 | Y=0669.310-0680.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0364 | X=0094.340-0404.870 | Y=0680.830-0692.070 | 203 Đường vào nhà thờ Văn Hải đoạn từ đường Lê Duẩn đến đường
P=0364 | X=0460.730-0477.370 | Y=0682.710-0692.030 | 320
P=0364 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 270
P=0364 | X=0115.970-0395.070 | Y=0692.350-0703.590 | Nguyễn Văn Trị có hiện trạng là đường nhựa, bê tông xi măng:
P=0365 | X=0115.970-0393.400 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0365 | X=0115.970-0342.260 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0365 | X=0115.970-0168.860 | Y=0114.290-0125.530 | Đường Ngô
P=0365 | X=0183.910-0256.260 | Y=0120.050-0131.290 | Đường Lê Duẩn
P=0365 | X=0266.980-0355.620 | Y=0120.050-0131.290 | Đường Chu Văn An
P=0365 | X=0094.340-0110.980 | Y=0121.930-0131.250 | 204
P=0365 | X=0460.730-0477.370 | Y=0121.930-0131.250 | 800
P=0365 | X=0505.390-0522.030 | Y=0121.930-0131.250 | 710
P=0365 | X=0115.970-0145.570 | Y=0127.690-0137.010 | Quyền
P=0365 | X=0115.970-0417.830 | Y=0143.810-0155.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0365 | X=0115.970-0407.490 | Y=0155.330-0166.570 | đoạn từ Đường Lê Duẩn đến Đường Chu Văn An có hiện trạng là
P=0365 | X=0115.970-0251.740 | Y=0166.850-0178.090 | đường nhựa, bê tông xi măng:
P=0365 | X=0094.340-0110.980 | Y=0174.730-0184.050 | 205
P=0365 | X=0460.730-0477.370 | Y=0174.730-0184.050 | 630
P=0365 | X=0505.390-0522.030 | Y=0174.730-0184.050 | 580
P=0365 | X=0115.970-0338.880 | Y=0184.370-0195.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0365 | X=0115.970-0393.160 | Y=0201.670-0212.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0365 | X=0115.970-0417.830 | Y=0219.670-0230.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0365 | X=0115.970-0407.490 | Y=0231.190-0242.430 | đoạn từ Đường Lê Duẩn đến Đường Chu Văn An có hiện trạng là
P=0365 | X=0115.970-0251.740 | Y=0242.710-0253.950 | đường nhựa, bê tông xi măng:
P=0365 | X=0094.340-0339.140 | Y=0260.230-0274.550 | 206 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0365 | X=0460.730-0477.370 | Y=0265.230-0274.550 | 480
P=0365 | X=0505.390-0522.030 | Y=0265.230-0274.550 | 440
P=0365 | X=0115.970-0402.860 | Y=0277.750-0288.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0365 | X=0115.970-0168.930 | Y=0289.300-0300.540 | đến ≤600m.
P=0365 | X=0115.970-0339.140 | Y=0306.820-0318.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0365 | X=0115.970-0417.830 | Y=0324.820-0336.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0365 | X=0115.970-0407.490 | Y=0336.340-0347.580 | đoạn từ Đường Lê Duẩn đến Đường Chu Văn An có hiện trạng là
P=0365 | X=0115.970-0251.740 | Y=0347.860-0359.100 | đường nhựa, bê tông xi măng:
P=0365 | X=0094.340-0110.980 | Y=0355.740-0365.060 | 207
P=0365 | X=0460.730-0477.370 | Y=0355.740-0365.060 | 320
P=0365 | X=0505.390-0522.030 | Y=0355.740-0365.060 | 270
P=0365 | X=0115.970-0393.400 | Y=0365.400-0376.640 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0365 | X=0115.970-0339.610 | Y=0382.920-0394.160 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0365 | X=0115.970-0401.230 | Y=0400.920-0412.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0365 | X=0115.970-0408.940 | Y=0412.200-0423.440 | Đường Ngô Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn
P=0365 | X=0115.970-0337.930 | Y=0423.720-0434.960 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0365 | X=0094.340-0111.010 | Y=0431.600-0440.920 | 208
P=0365 | X=0460.730-0477.370 | Y=0431.600-0440.920 | 630
P=0365 | X=0505.390-0522.030 | Y=0431.600-0440.920 | 580
P=0365 | X=0115.970-0338.880 | Y=0441.240-0452.480 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0365 | X=0115.970-0393.160 | Y=0458.780-0470.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0365 | X=0115.970-0401.230 | Y=0476.780-0488.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0365 | X=0115.970-0408.940 | Y=0488.300-0499.540 | Đường Ngô Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn
P=0365 | X=0115.970-0337.930 | Y=0499.820-0511.060 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0365 | X=0094.340-0339.140 | Y=0517.340-0531.420 | 209 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0365 | X=0460.730-0477.370 | Y=0522.100-0531.420 | 480
P=0365 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 440
P=0365 | X=0115.970-0402.860 | Y=0534.890-0546.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0365 | X=0115.970-0168.930 | Y=0546.410-0557.650 | đến ≤600m.
P=0365 | X=0115.970-0339.140 | Y=0563.930-0575.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0365 | X=0115.970-0403.640 | Y=0581.930-0593.170 | Các tuyến đường giao thông không đấu nối n ực tiếp và thông ra
P=0365 | X=0115.970-0408.940 | Y=0593.450-0604.690 | Đường Ngô Quyền đoạn từ Đường Lê Duẩn đến Đường Chu Văn
P=0365 | X=0115.970-0337.930 | Y=0604.970-0616.210 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0365 | X=0094.340-0110.980 | Y=0612.850-0622.170 | 210
P=0365 | X=0460.730-0477.370 | Y=0612.850-0622.170 | 320
P=0365 | X=0505.390-0522.030 | Y=0612.850-0622.170 | 270
P=0365 | X=0115.970-0393.400 | Y=0622.270-0633.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0365 | X=0115.970-0342.260 | Y=0639.790-0651.030 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0365 | X=0115.970-0266.070 | Y=0657.790-0669.030 | Đường Chu Văn Giáp ranh xã An
P=0365 | X=0266.980-0328.750 | Y=0663.550-0674.790 | Đường Lê Lai
P=0365 | X=0094.340-0110.980 | Y=0665.430-0674.750 | 211
P=0365 | X=0460.730-0477.370 | Y=0665.430-0674.750 | 800
P=0365 | X=0505.390-0522.030 | Y=0665.430-0674.750 | 710
P=0365 | X=0193.510-0224.230 | Y=0669.310-0680.550 | Phước
P=0365 | X=0115.970-0128.290 | Y=0671.190-0680.510 | An
P=0365 | X=0115.970-0406.040 | Y=0687.310-0698.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0365 | X=0094.340-0110.980 | Y=0694.950-0704.270 | 212
P=0365 | X=0460.730-0477.370 | Y=0694.950-0704.270 | 630
P=0365 | X=0505.390-0522.030 | Y=0694.950-0704.270 | 580
P=0365 | X=0115.970-0418.300 | Y=0698.830-0710.070 | An đoạn từ Giáp ranh xã An Phước đến Đường Lê Lai có hiện trạng
P=0366 | X=0115.970-0262.310 | Y=0072.740-0083.980 | là đường nhựa, bê tông xi măng:
P=0366 | X=0115.970-0338.880 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0366 | X=0115.970-0393.160 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0366 | X=0115.970-0406.040 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0366 | X=0115.970-0418.300 | Y=0137.330-0148.570 | An đoạn từ Giáp ranh xã An Phước đến Đường Lê Lai có hiện trạng
P=0366 | X=0115.970-0262.300 | Y=0148.850-0160.090 | là đường nhựa, bê tông xi măng:
P=0366 | X=0094.340-0339.140 | Y=0166.370-0180.450 | 213 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0366 | X=0460.730-0477.370 | Y=0171.130-0180.450 | 480
P=0366 | X=0505.390-0522.030 | Y=0171.130-0180.450 | 440
P=0366 | X=0115.970-0402.860 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0366 | X=0115.970-0168.930 | Y=0195.170-0206.410 | đến ≤600m.
P=0366 | X=0115.970-0339.140 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0366 | X=0115.970-0406.040 | Y=0230.710-0241.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0366 | X=0115.970-0418.300 | Y=0242.230-0253.470 | An đoạn từ Giáp ranh xã An Phước đến Đường Lê Lai có hiện trạng
P=0366 | X=0115.970-0262.300 | Y=0253.750-0264.990 | là đường nhựa, bê tông xi măng:
P=0366 | X=0094.340-0110.980 | Y=0261.630-0270.950 | 214
P=0366 | X=0460.730-0477.370 | Y=0261.630-0270.950 | 320
P=0366 | X=0505.390-0522.030 | Y=0261.630-0270.950 | 270
P=0366 | X=0115.970-0393.400 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0366 | X=0115.970-0339.610 | Y=0288.820-0300.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0366 | X=0115.970-0401.230 | Y=0306.820-0318.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0366 | X=0115.970-0417.830 | Y=0318.340-0329.580 | Đường Chu Văn An đoạn từ Giáp ranh xã An Phước đến Đường Lê
P=0366 | X=0115.970-0338.890 | Y=0329.860-0341.100 | Lai có hiện trạng là đường nhựa, bê tông xi măng:
P=0366 | X=0094.340-0110.980 | Y=0337.740-0347.060 | 215
P=0366 | X=0460.730-0477.370 | Y=0337.740-0347.060 | 630
P=0366 | X=0505.390-0522.030 | Y=0337.740-0347.060 | 580
