TABLE=032 | AREA=Xã Xuân Đường | SECTION=agricultural | SEGMENTS=1
P=1081 | X=0119.810-0394.070 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1081 | X=0119.810-0392.380 | Y=0090.020-0101.260 | Đường - Thừa Đức đoạn từ Hết khu dân cư hiện hữu ấp 3 xã
P=1081 | X=0119.810-0389.020 | Y=0101.540-0112.780 | Xuân Đường đến Hết chùa Bảo Minh có hiện trạng là đường
P=1081 | X=0119.810-0222.920 | Y=0113.060-0124.300 | nhựa, bê tông xi măng:
P=1081 | X=0099.170-0110.290 | Y=0120.970-0130.290 | 53
P=1081 | X=0442.010-0458.650 | Y=0120.970-0130.290 | 200
P=1081 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 130
P=1081 | X=0119.810-0360.920 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1081 | X=0119.810-0161.950 | Y=0144.010-0153.330 | >1.000m.
P=1081 | X=0119.810-0343.450 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1081 | X=0119.810-0393.320 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1081 | X=0119.810-0386.780 | Y=0188.690-0199.930 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết khu dân cư
P=1081 | X=0119.810-0376.040 | Y=0200.230-0211.470 | hiện hữu ấp 3 xã Xuân Đường đến Hết chùa Bảo Minh có
P=1081 | X=0119.810-0313.450 | Y=0211.750-0222.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=1081 | X=0099.170-0110.290 | Y=0219.630-0228.950 | 54
P=1081 | X=0442.010-0458.650 | Y=0219.630-0228.950 | 350
P=1081 | X=0505.390-0522.030 | Y=0219.630-0228.950 | 230
P=1081 | X=0119.810-0350.890 | Y=0229.270-0240.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1081 | X=0119.810-0360.920 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1081 | X=0119.810-0153.330 | Y=0258.310-0269.550 | ≤500m.
P=1081 | X=0119.810-0393.320 | Y=0276.070-0287.310 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1081 | X=0119.810-0386.770 | Y=0287.620-0298.860 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết khu dân cư
P=1081 | X=0119.810-0376.040 | Y=0299.140-0310.380 | hiện hữu ấp 3 xã Xuân Đường đến Hết chùa Bảo Minh có
P=1081 | X=0119.810-0313.450 | Y=0310.660-0321.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=1081 | X=0099.170-0351.360 | Y=0327.180-0339.180 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1081 | X=0442.010-0458.650 | Y=0327.180-0336.500 | 290
P=1081 | X=0505.390-0522.030 | Y=0327.180-0336.500 | 180
P=1081 | X=0119.810-0373.120 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1081 | X=0119.810-0214.780 | Y=0356.980-0368.220 | >500m đến ≤1.000m.
P=1081 | X=0119.810-0342.980 | Y=0374.520-0385.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1081 | X=0119.810-0393.320 | Y=0392.280-0403.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1081 | X=0119.810-0386.770 | Y=0403.800-0415.040 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết khu dân cư
P=1081 | X=0119.810-0376.040 | Y=0415.320-0426.560 | hiện hữu ấp 3 xã Xuân Đường đến Hết chùa Bảo Minh có
P=1081 | X=0119.810-0313.450 | Y=0426.840-0438.080 | hiện trạng là đường nhựa, bê tông xi măng:
P=1081 | X=0099.170-0110.290 | Y=0434.720-0444.040 | 56
P=1081 | X=0442.010-0458.650 | Y=0434.720-0444.040 | 200
P=1081 | X=0505.390-0522.030 | Y=0434.720-0444.040 | 130
P=1081 | X=0119.810-0360.920 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1081 | X=0119.810-0161.950 | Y=0457.780-0467.100 | >1.000m.
P=1081 | X=0119.810-0343.450 | Y=0473.420-0484.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1081 | X=0303.720-0378.860 | Y=0491.180-0502.420 | Trường Tiểu học
P=1081 | X=0119.810-0280.020 | Y=0496.940-0508.180 | Đường Xuân Đường - Hết chùa Bảo
P=1081 | X=0303.720-0389.020 | Y=0502.460-0513.700 | Thừa Đức 1 - phân
P=1081 | X=0099.170-0110.290 | Y=0504.340-0513.660 | 57
P=1081 | X=0442.010-0458.650 | Y=0504.340-0513.660 | 500
P=1081 | X=0505.390-0522.030 | Y=0504.340-0513.660 | 370
P=1081 | X=0119.810-0165.670 | Y=0508.220-0519.460 | Thừa Đức
P=1081 | X=0219.190-0241.100 | Y=0510.100-0519.420 | Minh
P=1081 | X=0303.720-0354.440 | Y=0513.980-0525.220 | hiệu Đồi 20
P=1081 | X=0119.810-0394.070 | Y=0531.740-0542.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1081 | X=0119.810-0387.350 | Y=0543.290-0554.530 | Đường - Thừa Đức đoạn từ Hết chùa Bảo Minh đến Trường
P=1081 | X=0119.810-0370.530 | Y=0554.810-0566.050 | Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có hiện trạng là
P=1081 | X=0119.810-0255.580 | Y=0566.330-0577.570 | đường nhựa, bê tông xi măng:
P=1081 | X=0099.170-0110.290 | Y=0574.210-0583.530 | 58
P=1081 | X=0442.010-0458.650 | Y=0574.210-0583.530 | 350
P=1081 | X=0505.390-0522.030 | Y=0574.210-0583.530 | 230
P=1081 | X=0119.810-0350.900 | Y=0583.850-0595.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1081 | X=0119.810-0360.920 | Y=0601.370-0612.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1081 | X=0119.810-0153.330 | Y=0612.890-0624.130 | ≤500m.
P=1081 | X=0119.810-0394.070 | Y=0630.670-0641.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1081 | X=0119.810-0387.350 | Y=0642.190-0653.430 | Đường - Thừa Đức đoạn từ Hết chùa Bảo Minh đến Trường
P=1081 | X=0119.810-0370.530 | Y=0653.710-0664.950 | Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có hiện trạng là
P=1081 | X=0099.170-0255.580 | Y=0665.230-0676.670 | 59 đường nhựa, bê tông xi măng:
P=1081 | X=0442.010-0458.650 | Y=0667.350-0676.670 | 290
P=1081 | X=0505.390-0522.030 | Y=0667.350-0676.670 | 180
P=1081 | X=0119.810-0351.360 | Y=0682.510-0693.750 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1081 | X=0119.810-0373.120 | Y=0700.050-0711.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1082 | X=0119.810-0214.780 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1082 | X=0119.810-0342.980 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1082 | X=0119.810-0394.070 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1082 | X=0119.810-0387.350 | Y=0119.330-0130.570 | Đường - Thừa Đức đoạn từ Hết chùa Bảo Minh đến Trường
P=1082 | X=0119.810-0370.530 | Y=0130.850-0142.090 | Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có hiện trạng là
P=1082 | X=0119.810-0255.580 | Y=0142.370-0153.610 | đường nhựa, bê tông xi măng:
P=1082 | X=0099.170-0110.290 | Y=0150.250-0159.570 | 60
P=1082 | X=0442.010-0458.650 | Y=0150.250-0159.570 | 200
P=1082 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 130
P=1082 | X=0119.810-0360.920 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1082 | X=0119.810-0161.950 | Y=0173.050-0182.370 | >1.000m.
P=1082 | X=0119.810-0343.450 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1082 | X=0119.810-0393.320 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1082 | X=0119.810-0378.950 | Y=0217.990-0229.230 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết chùa Bảo
P=1082 | X=0119.810-0393.560 | Y=0229.510-0240.750 | Minh đến Trường Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có
P=1082 | X=0119.810-0313.450 | Y=0241.030-0252.270 | hiện trạng là đường nhựa, bê tông xi măng:
P=1082 | X=0099.170-0110.290 | Y=0248.910-0258.230 | 61
P=1082 | X=0442.010-0458.650 | Y=0248.910-0258.230 | 350
P=1082 | X=0505.390-0522.030 | Y=0248.910-0258.230 | 230
P=1082 | X=0119.810-0350.890 | Y=0258.550-0269.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1082 | X=0119.810-0360.920 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1082 | X=0119.810-0153.330 | Y=0287.620-0298.860 | ≤500m.
P=1082 | X=0119.810-0393.320 | Y=0305.380-0316.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1082 | X=0119.810-0378.950 | Y=0316.900-0328.140 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết chùa Bảo
P=1082 | X=0119.810-0393.580 | Y=0328.420-0339.660 | Minh đến Trường Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có
P=1082 | X=0119.810-0313.450 | Y=0339.700-0350.940 | hiện trạng là đường nhựa, bê tông xi măng:
P=1082 | X=0099.170-0351.360 | Y=0356.460-0368.460 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1082 | X=0442.010-0458.650 | Y=0356.460-0365.780 | 290
P=1082 | X=0505.390-0522.030 | Y=0356.460-0365.780 | 180
P=1082 | X=0119.810-0373.120 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1082 | X=0119.810-0214.780 | Y=0386.280-0397.520 | >500m đến ≤1.000m.
P=1082 | X=0119.810-0342.980 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1082 | X=0119.810-0393.320 | Y=0421.560-0432.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1082 | X=0119.810-0378.950 | Y=0433.080-0444.320 | ra Đường Xuân Đường - Thừa Đức đoạn từ Hết chùa Bảo
P=1082 | X=0119.810-0393.560 | Y=0444.600-0455.840 | Minh đến Trường Tiểu học Thừa Đức 1 - phân hiệu Đồi 20 có
P=1082 | X=0119.810-0313.450 | Y=0456.140-0467.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=1082 | X=0099.170-0110.290 | Y=0464.020-0473.340 | 63
P=1082 | X=0442.010-0458.650 | Y=0464.020-0473.340 | 200
P=1082 | X=0505.390-0522.030 | Y=0464.020-0473.340 | 130
P=1082 | X=0119.810-0360.920 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1082 | X=0119.810-0161.950 | Y=0487.060-0496.380 | >1.000m.
P=1082 | X=0119.810-0343.450 | Y=0502.460-0513.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1082 | X=0119.810-0208.940 | Y=0520.220-0531.460 | Đường vào khu dân
P=1082 | X=0303.720-0371.250 | Y=0522.100-0531.420 | Hồ Cầu Mới xã
P=1082 | X=0099.170-0110.290 | Y=0527.860-0537.180 | 64
P=1082 | X=0219.190-0298.330 | Y=0527.860-0537.180 | Ngã ba Suối Quýt
P=1082 | X=0442.010-0458.650 | Y=0527.860-0537.180 | 670
P=1082 | X=0505.390-0522.030 | Y=0527.860-0537.180 | 530
P=1082 | X=0119.810-0178.280 | Y=0531.740-0542.980 | cư Suối Quýt
P=1082 | X=0303.720-0359.480 | Y=0531.740-0542.980 | Cẩm Đường
P=1082 | X=0119.810-0387.350 | Y=0549.530-0560.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1082 | X=0119.810-0391.900 | Y=0561.050-0572.290 | khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt đến Hồ Cầu
P=1082 | X=0119.810-0387.560 | Y=0572.570-0583.810 | Mới xã Cẩm Đường có hiện trạng là đường nhựa, bê tông xi
P=1082 | X=0119.810-0147.810 | Y=0584.090-0595.330 | măng:
P=1082 | X=0099.170-0110.290 | Y=0591.970-0601.290 | 65
P=1082 | X=0442.010-0458.650 | Y=0591.970-0601.290 | 450
P=1082 | X=0505.390-0522.030 | Y=0591.970-0601.290 | 380
P=1082 | X=0119.810-0350.890 | Y=0601.610-0612.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1082 | X=0119.810-0360.920 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1082 | X=0119.810-0153.330 | Y=0630.670-0641.910 | ≤500m.
P=1082 | X=0119.810-0387.350 | Y=0648.430-0659.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1082 | X=0119.810-0391.900 | Y=0659.950-0671.190 | khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt đến Hồ Cầu
P=1082 | X=0099.170-0387.560 | Y=0671.470-0685.550 | 66 Mới xã Cẩm Đường có hiện trạng là đường nhựa, bê tông xi
P=1082 | X=0442.010-0458.650 | Y=0676.230-0685.550 | 350
P=1082 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 310
P=1082 | X=0119.810-0147.810 | Y=0682.750-0693.990 | măng:
P=1082 | X=0119.810-0351.360 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1083 | X=0119.810-0373.120 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1083 | X=0119.810-0214.780 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1083 | X=0119.810-0343.000 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1083 | X=0119.810-0387.350 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1083 | X=0119.810-0391.900 | Y=0136.850-0148.090 | khu dân cư Suối Quýt đoạn từ Ngã ba Suối Quýt đến Hồ Cầu
P=1083 | X=0119.810-0387.560 | Y=0148.370-0159.610 | Mới xã Cẩm Đường có hiện trạng là đường nhựa, bê tông xi
P=1083 | X=0119.810-0147.810 | Y=0159.650-0170.890 | măng:
P=1083 | X=0099.170-0110.290 | Y=0167.530-0176.850 | 67
P=1083 | X=0442.010-0458.650 | Y=0167.530-0176.850 | 230
P=1083 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 230
P=1083 | X=0119.810-0360.920 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1083 | X=0119.810-0161.950 | Y=0190.570-0199.890 | >1.000m.
P=1083 | X=0119.810-0343.450 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1083 | X=0119.810-0393.320 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1083 | X=0119.810-0376.540 | Y=0235.510-0246.750 | ra Đường vào khu dân cư Suối Quýt đoạn từ Ngã ba Suối
P=1083 | X=0119.810-0392.620 | Y=0247.030-0258.270 | Quýt đến Hồ Cầu Mới xã Cẩm Đường có hiện trạng là đường
P=1083 | X=0119.810-0222.920 | Y=0258.550-0269.790 | nhựa, bê tông xi măng:
P=1083 | X=0099.170-0110.290 | Y=0266.430-0275.750 | 68
P=1083 | X=0442.010-0458.650 | Y=0266.430-0275.750 | 450
P=1083 | X=0505.390-0522.030 | Y=0266.430-0275.750 | 380
P=1083 | X=0119.810-0350.890 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1083 | X=0119.810-0360.920 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1083 | X=0119.810-0153.330 | Y=0305.140-0316.380 | ≤500m.
P=1083 | X=0119.810-0393.320 | Y=0322.900-0334.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1083 | X=0119.810-0376.540 | Y=0334.420-0345.660 | ra Đường vào khu dân cư Suối Quýt đoạn từ Ngã ba Suối
P=1083 | X=0119.810-0392.620 | Y=0345.700-0356.940 | Quýt đến Hồ Cầu Mới xã Cẩm Đường có hiện trạng là đường
P=1083 | X=0119.810-0222.920 | Y=0357.220-0368.460 | nhựa, bê tông xi măng:
P=1083 | X=0099.170-0351.360 | Y=0374.000-0386.000 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1083 | X=0442.010-0458.650 | Y=0374.000-0383.320 | 350
P=1083 | X=0505.390-0522.030 | Y=0374.000-0383.320 | 310
P=1083 | X=0119.810-0373.120 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1083 | X=0119.810-0214.780 | Y=0403.800-0415.040 | >500m đến ≤1.000m.
P=1083 | X=0119.810-0342.980 | Y=0421.320-0432.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1083 | X=0119.810-0393.320 | Y=0439.080-0450.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1083 | X=0119.810-0376.540 | Y=0450.620-0461.860 | ra Đường vào khu dân cư Suối Quýt đoạn từ Ngã ba Suối
P=1083 | X=0119.810-0392.620 | Y=0462.140-0473.380 | Quýt đến Hồ Cầu Mới xã Cẩm Đường có hiện trạng là đường
P=1083 | X=0119.810-0222.920 | Y=0473.660-0484.900 | nhựa, bê tông xi măng:
P=1083 | X=0099.170-0110.290 | Y=0481.540-0490.860 | 70
P=1083 | X=0442.010-0458.650 | Y=0481.540-0490.860 | 230
P=1083 | X=0505.390-0522.030 | Y=0481.540-0490.860 | 230
P=1083 | X=0119.810-0360.920 | Y=0491.180-0502.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1083 | X=0119.810-0161.950 | Y=0504.340-0513.660 | >1.000m.
P=1083 | X=0119.810-0343.450 | Y=0519.980-0531.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1083 | X=0119.810-0199.510 | Y=0537.770-0549.010 | Đường Bàu Cạn -
P=1083 | X=0303.720-0386.130 | Y=0545.410-0554.730 | Giáp ranh xã Long
P=1083 | X=0219.190-0289.390 | Y=0549.290-0560.530 | Đường tỉnh 773
P=1083 | X=0099.170-0193.270 | Y=0551.170-0560.490 | 71 Suối Trầu - Cẩm
P=1083 | X=0442.010-0458.650 | Y=0551.170-0560.490 | 670
P=1083 | X=0505.390-0522.030 | Y=0551.170-0560.490 | 530
P=1083 | X=0303.720-0334.440 | Y=0555.050-0566.290 | Phước
P=1083 | X=0119.810-0151.570 | Y=0560.810-0572.050 | Đường
P=1083 | X=0119.810-0388.780 | Y=0578.570-0589.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1083 | X=0119.810-0384.460 | Y=0590.090-0601.330 | Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường tỉnh 773 đến
P=1083 | X=0119.810-0382.300 | Y=0601.610-0612.850 | Giáp ranh xã Long Phước có hiện trạng là đường nhựa, bê
P=1083 | X=0119.810-0179.970 | Y=0613.130-0624.370 | tông xi măng:
P=1083 | X=0099.170-0110.290 | Y=0621.030-0630.350 | 72
P=1083 | X=0442.010-0458.650 | Y=0621.030-0630.350 | 450
P=1083 | X=0505.390-0522.030 | Y=0621.030-0630.350 | 380
P=1083 | X=0119.810-0350.890 | Y=0630.670-0641.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1083 | X=0119.810-0360.920 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1083 | X=0119.810-0153.330 | Y=0659.710-0670.950 | ≤500m.
P=1083 | X=0119.810-0388.780 | Y=0677.470-0688.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1083 | X=0099.170-0384.460 | Y=0688.750-0699.990 | 73 Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường tỉnh 773 đến
P=1083 | X=0442.010-0458.650 | Y=0690.630-0699.950 | 350
P=1083 | X=0505.390-0522.030 | Y=0690.630-0699.950 | 310
P=1083 | X=0119.810-0382.300 | Y=0700.290-0711.530 | Giáp ranh xã Long Phước có hiện trạng là đường nhựa, bê
P=1084 | X=0119.810-0179.970 | Y=0072.500-0083.740 | tông xi măng:
P=1084 | X=0119.810-0351.360 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1084 | X=0119.810-0373.120 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1084 | X=0119.810-0214.780 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1084 | X=0119.810-0343.000 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1084 | X=0119.810-0388.780 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1084 | X=0119.810-0384.460 | Y=0165.650-0176.890 | Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường tỉnh 773 đến
P=1084 | X=0119.810-0382.300 | Y=0177.170-0188.410 | Giáp ranh xã Long Phước có hiện trạng là đường nhựa, bê
P=1084 | X=0119.810-0179.970 | Y=0188.690-0199.930 | tông xi măng:
P=1084 | X=0099.170-0110.290 | Y=0196.570-0205.890 | 74
P=1084 | X=0442.010-0458.650 | Y=0196.570-0205.890 | 230
P=1084 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 230
P=1084 | X=0119.810-0360.920 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1084 | X=0119.810-0161.970 | Y=0219.630-0228.950 | >1.000m.
P=1084 | X=0119.810-0343.450 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1084 | X=0119.810-0393.320 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1084 | X=0119.810-0393.340 | Y=0264.550-0275.790 | ra Đường Bàu Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường
P=1084 | X=0119.810-0364.750 | Y=0276.070-0287.310 | tỉnh 773 đến Giáp ranh xã Long Phước có hiện trạng là
P=1084 | X=0119.810-0255.580 | Y=0287.620-0298.860 | đường nhựa, bê tông xi măng:
P=1084 | X=0099.170-0110.290 | Y=0295.500-0304.820 | 75
P=1084 | X=0442.010-0458.650 | Y=0295.500-0304.820 | 450
P=1084 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 380
P=1084 | X=0119.810-0350.890 | Y=0305.140-0316.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1084 | X=0119.810-0360.920 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1084 | X=0119.810-0153.330 | Y=0333.940-0345.180 | ≤500m.
P=1084 | X=0119.810-0393.320 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1084 | X=0119.810-0393.340 | Y=0363.220-0374.460 | ra Đường Bàu Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường
P=1084 | X=0119.810-0364.750 | Y=0374.760-0386.000 | tỉnh 773 đến Giáp ranh xã Long Phước có hiện trạng là
P=1084 | X=0119.810-0255.580 | Y=0386.280-0397.520 | đường nhựa, bê tông xi măng:
P=1084 | X=0099.170-0351.360 | Y=0403.040-0415.040 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1084 | X=0442.010-0458.650 | Y=0403.040-0412.360 | 350
P=1084 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 310
P=1084 | X=0119.810-0373.120 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1084 | X=0119.810-0214.780 | Y=0432.840-0444.080 | >500m đến ≤1.000m.
P=1084 | X=0119.810-0342.980 | Y=0450.380-0461.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1084 | X=0119.810-0393.320 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1084 | X=0119.810-0393.340 | Y=0479.660-0490.900 | ra Đường Bàu Cạn - Suối Trầu - Cẩm Đường đoạn từ Đường
P=1084 | X=0119.810-0364.750 | Y=0491.180-0502.420 | tỉnh 773 đến Giáp ranh xã Long Phước có hiện trạng là
P=1084 | X=0119.810-0255.580 | Y=0502.460-0513.700 | đường nhựa, bê tông xi măng:
P=1084 | X=0099.170-0110.290 | Y=0510.340-0519.660 | 77
P=1084 | X=0442.010-0458.650 | Y=0510.340-0519.660 | 230
P=1084 | X=0505.390-0522.030 | Y=0510.340-0519.660 | 230
P=1084 | X=0119.810-0360.920 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1084 | X=0119.810-0161.950 | Y=0533.380-0542.700 | >1.000m.
P=1084 | X=0119.810-0343.450 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1084 | X=0219.190-0298.920 | Y=0566.810-0578.050 | Đường Bàu Cạn -
P=1084 | X=0303.720-0386.130 | Y=0574.450-0583.770 | Giáp ranh xã Long
P=1084 | X=0099.170-0195.030 | Y=0578.330-0589.570 | 78 Đường Cầu Mên
P=1084 | X=0219.190-0292.660 | Y=0580.210-0589.530 | Suối Trầu - Cẩm
P=1084 | X=0442.010-0458.650 | Y=0580.210-0589.530 | 670
P=1084 | X=0505.390-0522.030 | Y=0580.210-0589.530 | 530
P=1084 | X=0303.720-0332.130 | Y=0585.970-0595.290 | Thành
P=1084 | X=0219.190-0250.980 | Y=0589.850-0601.090 | Đường
P=1084 | X=0119.810-0389.270 | Y=0607.610-0618.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1084 | X=0119.810-0388.790 | Y=0619.150-0630.390 | Mên đoạn từ Đường Bàu Cạn - Suối Trầu - Cẩm Đường đến
P=1084 | X=0119.810-0380.140 | Y=0630.670-0641.910 | Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=1084 | X=0119.810-0179.970 | Y=0642.190-0653.430 | tông xi măng:
P=1084 | X=0099.170-0110.290 | Y=0650.070-0659.390 | 79
P=1084 | X=0442.010-0458.650 | Y=0650.070-0659.390 | 450
P=1084 | X=0505.390-0522.030 | Y=0650.070-0659.390 | 380
P=1084 | X=0119.810-0350.890 | Y=0659.710-0670.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1084 | X=0119.810-0360.920 | Y=0677.230-0688.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1084 | X=0119.810-0153.330 | Y=0688.510-0699.750 | ≤500m.
P=1084 | X=0099.170-0389.270 | Y=0706.290-0717.530 | 80 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1084 | X=0442.010-0458.650 | Y=0708.180-0717.500 | 350
P=1084 | X=0505.390-0522.030 | Y=0708.180-0717.500 | 310
P=1085 | X=0119.810-0388.790 | Y=0072.500-0083.740 | Mên đoạn từ Đường Bàu Cạn - Suối Trầu - Cẩm Đường đến
