TABLE=007 | AREA=Phường Long Hưng | SECTION=agricultural | SEGMENTS=1
P=0243 | X=0452.330-0468.970 | Y=0710.340-0719.660 | 700
P=0243 | X=0505.390-0522.030 | Y=0710.340-0719.660 | 460
P=0244 | X=0117.170-0405.420 | Y=0072.740-0083.980 | Văn Tỏ đoạn từ Quốc lộ 51 đến Suối Bà Lúa có hiện trạng là mặt
P=0244 | X=0117.170-0252.940 | Y=0084.260-0095.500 | đường nhựa, bê tông xi măng:
P=0244 | X=0117.170-0340.120 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0244 | X=0117.170-0394.360 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0244 | X=0117.170-0402.710 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0244 | X=0117.170-0385.890 | Y=0148.850-0160.090 | Văn Tỏ đoạn từ Quốc lộ 51 đến Suối Bà Lúa có hiện trạng là
P=0244 | X=0117.170-0252.940 | Y=0160.370-0171.610 | đường nhựa, bê tông xi măng:
P=0244 | X=0097.730-0340.340 | Y=0177.650-0191.970 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0244 | X=0452.330-0468.970 | Y=0182.650-0191.970 | 590
P=0244 | X=0505.390-0522.030 | Y=0182.650-0191.970 | 390
P=0244 | X=0117.170-0404.060 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0244 | X=0117.170-0170.130 | Y=0206.710-0217.950 | đến ≤600m.
P=0244 | X=0117.170-0340.340 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0244 | X=0117.170-0402.710 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0244 | X=0117.170-0385.890 | Y=0253.750-0264.990 | Văn Tỏ đoạn từ Quốc lộ 51 đến Suối Bà Lúa có hiện trạng là
P=0244 | X=0117.170-0252.940 | Y=0265.270-0276.510 | đường nhựa, bê tông xi măng:
P=0244 | X=0097.730-0108.850 | Y=0273.150-0282.470 | 60
P=0244 | X=0452.330-0468.970 | Y=0273.150-0282.470 | 480
P=0244 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 330
P=0244 | X=0117.170-0394.600 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0244 | X=0117.170-0340.810 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0244 | X=0117.170-0402.430 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0244 | X=0117.170-0399.580 | Y=0329.860-0341.100 | Đường Nguyễn Văn Tỏ đoạn từ Quốc lộ 51 đến Suối Bà Lúa có
P=0244 | X=0117.170-0310.810 | Y=0341.380-0352.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0244 | X=0097.730-0108.850 | Y=0349.260-0358.580 | 61
P=0244 | X=0452.330-0468.970 | Y=0349.260-0358.580 | 700
P=0244 | X=0505.390-0522.030 | Y=0349.260-0358.580 | 460
P=0244 | X=0117.170-0340.340 | Y=0358.900-0370.140 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0244 | X=0117.170-0394.360 | Y=0376.200-0387.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0244 | X=0117.170-0402.430 | Y=0394.200-0405.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0244 | X=0117.170-0399.580 | Y=0405.720-0416.960 | Đường Nguyễn Văn Tỏ đoạn từ Quốc lộ 51 đến Suối Bà Lúa có
P=0244 | X=0117.170-0310.810 | Y=0417.240-0428.480 | hiện trạng là đường nhựa, bê tông xi măng:
P=0244 | X=0097.730-0340.340 | Y=0434.760-0449.080 | 62 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0244 | X=0452.330-0468.970 | Y=0439.760-0449.080 | 590
P=0244 | X=0505.390-0522.030 | Y=0439.760-0449.080 | 390
P=0244 | X=0117.170-0404.060 | Y=0452.300-0463.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0244 | X=0117.170-0170.130 | Y=0463.820-0475.060 | đến ≤600m.
P=0244 | X=0117.170-0340.340 | Y=0481.340-0492.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0244 | X=0117.170-0402.430 | Y=0499.340-0510.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0244 | X=0117.170-0399.550 | Y=0510.860-0522.100 | Đường Nguyễn Văn Tỏ đoạn từ Quốc lộ 51 đến Suối Bà Lúa có
P=0244 | X=0117.170-0310.810 | Y=0522.380-0533.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0244 | X=0097.730-0108.850 | Y=0530.260-0539.580 | 63
P=0244 | X=0452.330-0468.970 | Y=0530.260-0539.580 | 480
P=0244 | X=0505.390-0522.030 | Y=0530.260-0539.580 | 330
P=0244 | X=0117.170-0394.600 | Y=0539.930-0551.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0244 | X=0117.170-0343.490 | Y=0557.450-0568.690 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0244 | X=0117.170-0206.790 | Y=0575.450-0586.690 | Đường Nguyễn Văn
P=0244 | X=0301.320-0386.630 | Y=0581.210-0592.450 | Đường Ngô Quyền
P=0244 | X=0097.730-0108.850 | Y=0583.090-0592.410 | 64
P=0244 | X=0213.430-0268.000 | Y=0583.090-0592.410 | Suối Bà Lúa
P=0244 | X=0444.170-0469.220 | Y=0583.090-0592.410 | 1.050
P=0244 | X=0505.390-0522.030 | Y=0583.090-0592.410 | 680
P=0244 | X=0117.170-0129.010 | Y=0588.850-0598.170 | Tỏ
P=0244 | X=0117.170-0402.710 | Y=0604.970-0616.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0244 | X=0117.170-0412.070 | Y=0616.270-0627.510 | Văn Tỏ đoạn từ Suối Bà Lúa đến Đường Ngô Quyền có hiện trạng
P=0244 | X=0117.170-0282.940 | Y=0627.790-0639.030 | là mặt đường nhựa, bê tông xi măng:
P=0244 | X=0097.730-0108.850 | Y=0635.670-0644.990 | 65
P=0244 | X=0452.330-0468.970 | Y=0635.670-0644.990 | 700
P=0244 | X=0505.390-0522.030 | Y=0635.670-0644.990 | 460
P=0244 | X=0117.170-0340.340 | Y=0645.310-0656.550 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0244 | X=0117.170-0394.360 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0244 | X=0117.170-0402.710 | Y=0680.830-0692.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0244 | X=0097.730-0412.070 | Y=0692.350-0703.590 | 66 Văn Tỏ đoạn từ Suối Bà Lúa đến Đường Ngô Quyền có hiện trạng
P=0244 | X=0452.330-0468.970 | Y=0694.230-0703.550 | 590
P=0244 | X=0505.390-0522.030 | Y=0694.230-0703.550 | 390
P=0244 | X=0117.170-0263.500 | Y=0703.890-0715.130 | là đường nhựa, bê tông xi măng:
P=0245 | X=0117.170-0340.340 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0245 | X=0117.170-0404.060 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0245 | X=0117.170-0170.130 | Y=0107.780-0119.020 | đến ≤600m.
P=0245 | X=0117.170-0340.340 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0245 | X=0117.170-0402.710 | Y=0143.330-0154.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0245 | X=0117.170-0412.070 | Y=0154.850-0166.090 | Văn Tỏ đoạn từ Suối Bà Lúa đến Đường Ngô Quyền có hiện trạng
P=0245 | X=0117.170-0263.500 | Y=0166.370-0177.610 | là đường nhựa, bê tông xi măng:
P=0245 | X=0097.730-0108.850 | Y=0174.250-0183.570 | 67
P=0245 | X=0452.330-0468.970 | Y=0174.250-0183.570 | 480
P=0245 | X=0505.390-0522.030 | Y=0174.250-0183.570 | 330
P=0245 | X=0117.170-0394.600 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0245 | X=0117.170-0340.810 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0245 | X=0117.170-0402.430 | Y=0219.190-0230.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0245 | X=0117.170-0390.710 | Y=0230.710-0241.950 | Đường Nguyễn Văn Tỏ đoạn từ Suối Bà Lúa đến Đường Ngô
P=0245 | X=0117.170-0356.410 | Y=0242.230-0253.470 | Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0245 | X=0097.730-0108.850 | Y=0250.110-0259.430 | 68
P=0245 | X=0452.330-0468.970 | Y=0250.110-0259.430 | 700
P=0245 | X=0505.390-0522.030 | Y=0250.110-0259.430 | 460
P=0245 | X=0117.170-0340.120 | Y=0259.750-0270.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0245 | X=0117.170-0394.380 | Y=0277.270-0288.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0245 | X=0117.170-0402.430 | Y=0295.300-0306.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0245 | X=0117.170-0390.710 | Y=0306.820-0318.060 | Đường Nguyễn Văn Tỏ đoạn từ Suối Bà Lúa đến Đường Ngô
P=0245 | X=0117.170-0356.410 | Y=0318.340-0329.580 | Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0245 | X=0097.730-0343.240 | Y=0335.860-0349.940 | 69 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0245 | X=0452.330-0468.970 | Y=0340.620-0349.940 | 590
P=0245 | X=0505.390-0522.030 | Y=0340.620-0349.940 | 390
P=0245 | X=0117.170-0404.060 | Y=0353.380-0364.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0245 | X=0117.170-0170.130 | Y=0364.900-0376.140 | đến ≤600m.
P=0245 | X=0117.170-0340.340 | Y=0382.200-0393.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0245 | X=0117.170-0402.430 | Y=0400.200-0411.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0245 | X=0117.170-0390.710 | Y=0411.720-0422.960 | Đường Nguyễn Văn Tỏ đoạn từ Suối Bà Lúa đến Đường Ngô
P=0245 | X=0117.170-0356.410 | Y=0423.240-0434.480 | Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0245 | X=0097.730-0108.850 | Y=0431.120-0440.440 | 70
P=0245 | X=0452.330-0468.970 | Y=0431.120-0440.440 | 480
P=0245 | X=0505.390-0522.030 | Y=0431.120-0440.440 | 330
P=0245 | X=0117.170-0394.600 | Y=0440.760-0452.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0245 | X=0117.170-0343.460 | Y=0458.300-0469.540 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0245 | X=0213.430-0283.120 | Y=0476.300-0487.540 | Đường Bùi Văn
P=0245 | X=0301.320-0412.220 | Y=0482.060-0493.300 | Đường D12 (Khu dân cư
P=0245 | X=0097.730-0164.060 | Y=0487.820-0499.060 | 71 Đường B5
P=0245 | X=0213.430-0286.500 | Y=0489.700-0499.020 | Hòa (Quốc lộ 15
P=0245 | X=0444.170-0469.220 | Y=0489.700-0499.020 | 1.050
P=0245 | X=0505.390-0522.030 | Y=0489.700-0499.020 | 680
P=0245 | X=0301.320-0370.430 | Y=0495.460-0504.780 | khu phố 2 và 3)
P=0245 | X=0213.430-0246.520 | Y=0501.220-0510.540 | nối dài)
P=0245 | X=0117.170-0405.590 | Y=0517.340-0528.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường B5 đoạn
P=0245 | X=0117.170-0408.930 | Y=0528.860-0540.100 | từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến Đường D12 (Khu
P=0245 | X=0117.170-0408.700 | Y=0540.410-0551.650 | dân cư khu phố 2 và 3) có hiện trạng là mặt đường nhựa, bê tông
P=0245 | X=0097.730-0155.000 | Y=0551.930-0563.370 | 72 xi măng:
P=0245 | X=0452.330-0468.970 | Y=0554.050-0563.370 | 700
P=0245 | X=0505.390-0522.030 | Y=0554.050-0563.370 | 460
P=0245 | X=0117.170-0340.120 | Y=0569.450-0580.690 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0245 | X=0117.170-0394.380 | Y=0586.970-0598.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0245 | X=0117.170-0405.580 | Y=0604.970-0616.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường B5 đoạn
P=0245 | X=0117.170-0408.930 | Y=0616.270-0627.510 | từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến Đường D12 (Khu
P=0245 | X=0117.170-0399.080 | Y=0627.790-0639.030 | dân cư khu phố 2 và 3) có hiện trạng là đường nhựa, bê tông xi
P=0245 | X=0117.170-0145.170 | Y=0639.310-0650.550 | măng:
P=0245 | X=0097.730-0340.340 | Y=0656.070-0668.070 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0245 | X=0452.330-0468.970 | Y=0656.070-0665.390 | 590
P=0245 | X=0505.390-0522.030 | Y=0656.070-0665.390 | 390
P=0245 | X=0117.170-0404.060 | Y=0674.350-0685.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0245 | X=0117.170-0170.130 | Y=0685.870-0697.110 | đến ≤600m.
P=0245 | X=0117.170-0340.340 | Y=0703.410-0714.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0246 | X=0117.170-0405.580 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường B5 đoạn
P=0246 | X=0117.170-0408.930 | Y=0090.260-0101.500 | từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến Đường D12 (Khu
P=0246 | X=0117.170-0399.080 | Y=0101.780-0113.020 | dân cư khu phố 2 và 3) có hiện trạng là đường nhựa, bê tông xi
P=0246 | X=0097.730-0145.170 | Y=0113.300-0124.740 | 74 măng:
P=0246 | X=0452.330-0468.970 | Y=0115.420-0124.740 | 480
P=0246 | X=0505.390-0522.030 | Y=0115.420-0124.740 | 330
P=0246 | X=0117.170-0394.600 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0246 | X=0117.170-0340.810 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0246 | X=0117.170-0402.430 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0246 | X=0117.170-0404.150 | Y=0177.650-0188.890 | Đường B5 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0246 | X=0117.170-0403.420 | Y=0189.170-0200.410 | Đường D12 (Khu dân cư khu phố 2 và 3) có hiện trạng là đường
P=0246 | X=0097.730-0220.280 | Y=0200.710-0212.150 | 75 nhựa, bê tông xi măng:
P=0246 | X=0452.330-0468.970 | Y=0202.830-0212.150 | 700
P=0246 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 460
P=0246 | X=0117.170-0340.340 | Y=0218.230-0229.470 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0246 | X=0117.170-0394.380 | Y=0235.750-0246.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0246 | X=0117.170-0402.430 | Y=0253.750-0264.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0246 | X=0117.170-0404.150 | Y=0265.270-0276.510 | Đường B5 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0246 | X=0117.170-0403.420 | Y=0276.790-0288.030 | Đường D12 (Khu dân cư khu phố 2 và 3) có hiện trạng là đường
P=0246 | X=0117.170-0220.280 | Y=0288.340-0299.580 | nhựa, bê tông xi măng:
P=0246 | X=0097.730-0340.340 | Y=0304.860-0317.100 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0246 | X=0452.330-0468.970 | Y=0304.860-0314.180 | 590
P=0246 | X=0505.390-0522.030 | Y=0304.860-0314.180 | 390
P=0246 | X=0117.170-0404.060 | Y=0323.380-0334.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0246 | X=0117.170-0170.130 | Y=0334.900-0346.140 | đến ≤600m.
P=0246 | X=0117.170-0340.340 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0246 | X=0117.170-0402.430 | Y=0370.200-0381.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0246 | X=0117.170-0404.150 | Y=0381.720-0392.960 | Đường B5 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0246 | X=0117.170-0403.420 | Y=0393.240-0404.480 | Đường D12 (Khu dân cư khu phố 2 và 3) có hiện trạng là đường
P=0246 | X=0097.730-0220.280 | Y=0404.760-0416.200 | 77 nhựa, bê tông xi măng:
P=0246 | X=0452.330-0468.970 | Y=0406.880-0416.200 | 480
P=0246 | X=0505.390-0522.030 | Y=0406.880-0416.200 | 330
P=0246 | X=0117.170-0394.600 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0246 | X=0117.170-0343.460 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0246 | X=0213.430-0295.860 | Y=0457.820-0469.060 | Giáp ranh phường
P=0246 | X=0117.170-0207.950 | Y=0463.580-0474.820 | Đường Bùi Văn Hòa
P=0246 | X=0097.730-0108.850 | Y=0471.220-0480.540 | 78
P=0246 | X=0213.430-0272.830 | Y=0471.220-0480.540 | Long Bình và
P=0246 | X=0301.320-0349.880 | Y=0471.220-0480.540 | Quốc lộ 51
P=0246 | X=0444.170-0469.220 | Y=0471.220-0480.540 | 1.050
P=0246 | X=0505.390-0522.030 | Y=0471.220-0480.540 | 680
P=0246 | X=0117.170-0204.770 | Y=0476.980-0486.300 | (Quốc lộ 15 nối dài)
P=0246 | X=0213.430-0295.380 | Y=0480.860-0492.100 | phường Trấn Biên
P=0246 | X=0117.170-0403.410 | Y=0498.860-0510.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Văn
P=0246 | X=0117.170-0409.910 | Y=0510.380-0521.620 | Hòa (Quốc lộ 15 nối dài) đoạn từ Giáp ranh phường Long Bình và
P=0246 | X=0117.170-0392.860 | Y=0521.900-0533.140 | phường Trấn Biên đến Quốc lộ 51 có hiện trạng là mặt đường
P=0246 | X=0097.730-0220.280 | Y=0533.450-0544.890 | 79 nhựa, bê tông xi măng:
P=0246 | X=0452.330-0468.970 | Y=0535.570-0544.890 | 700
P=0246 | X=0505.390-0522.030 | Y=0535.570-0544.890 | 460
P=0246 | X=0117.170-0340.090 | Y=0550.970-0562.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0246 | X=0117.170-0394.360 | Y=0568.250-0579.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0246 | X=0117.170-0403.410 | Y=0586.250-0597.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Văn
P=0246 | X=0117.170-0409.880 | Y=0597.770-0609.010 | Hòa (Quốc lộ 15 nối dài) đoạn từ Giáp ranh phường Long Bình và
P=0246 | X=0117.170-0402.310 | Y=0609.290-0620.530 | phường Trấn Biên đến Quốc lộ 51 có hiện trạng là đường nhựa,
P=0246 | X=0117.170-0191.250 | Y=0620.830-0632.070 | bê tông xi măng:
P=0246 | X=0097.730-0340.360 | Y=0637.590-0649.590 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0246 | X=0452.330-0468.970 | Y=0637.590-0646.910 | 590
P=0246 | X=0505.390-0522.030 | Y=0637.590-0646.910 | 390
P=0246 | X=0117.170-0404.060 | Y=0655.870-0667.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0246 | X=0117.170-0170.130 | Y=0667.390-0678.630 | đến ≤600m.
P=0246 | X=0117.170-0340.340 | Y=0684.910-0696.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0246 | X=0097.730-0403.410 | Y=0702.930-0714.170 | 81 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Văn
P=0246 | X=0452.330-0468.970 | Y=0704.820-0714.140 | 480
P=0246 | X=0505.390-0522.030 | Y=0704.820-0714.140 | 330
P=0247 | X=0117.170-0406.550 | Y=0072.740-0083.980 | Hòa Quốc lộ 15 nối dài) đoạn từ Giáp ranh phường Long Bình và
P=0247 | X=0117.170-0402.310 | Y=0084.260-0095.500 | phường Trấn Biên đến Quốc lộ 51 có hiện trạng là đường nhựa,
P=0247 | X=0117.170-0191.250 | Y=0095.780-0107.020 | bê tông xi măng:
P=0247 | X=0117.170-0394.600 | Y=0113.300-0124.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0247 | X=0117.170-0340.830 | Y=0130.850-0142.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0247 | X=0117.170-0402.430 | Y=0148.850-0160.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0247 | X=0117.170-0381.810 | Y=0160.370-0171.610 | Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đoạn từ Giáp ranh
P=0247 | X=0117.170-0404.630 | Y=0171.650-0182.890 | phường Long Bình và phường Trấn Biên đến Quốc lộ 51 có hiện
P=0247 | X=0097.730-0288.950 | Y=0183.170-0194.610 | 82 trạng là đường nhựa, bê tông xi măng:
P=0247 | X=0452.330-0468.970 | Y=0185.290-0194.610 | 700
P=0247 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 460
P=0247 | X=0117.170-0340.120 | Y=0200.710-0211.950 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0247 | X=0117.170-0394.360 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0247 | X=0117.170-0402.430 | Y=0236.230-0247.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0247 | X=0117.170-0381.810 | Y=0247.750-0258.990 | Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đoạn từ Giáp ranh
P=0247 | X=0117.170-0404.630 | Y=0259.270-0270.510 | phường Long Bình và phường Trấn Biên đến Quốc lộ 51 có hiện
P=0247 | X=0117.170-0288.950 | Y=0270.790-0282.030 | trạng là đường nhựa, bê tông xi măng:
P=0247 | X=0097.730-0340.340 | Y=0287.340-0299.580 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0247 | X=0452.330-0468.970 | Y=0287.340-0296.660 | 590
P=0247 | X=0505.390-0522.030 | Y=0287.340-0296.660 | 390
P=0247 | X=0117.170-0404.060 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0247 | X=0117.170-0170.130 | Y=0317.380-0328.620 | đến ≤600m.
P=0247 | X=0117.170-0340.340 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0247 | X=0117.170-0402.430 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0247 | X=0117.170-0381.810 | Y=0364.180-0375.420 | Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đoạn từ Giáp ranh
P=0247 | X=0117.170-0404.630 | Y=0375.720-0386.960 | phường Long Bình và phường Trấn Biên đến Quốc lộ 51 có hiện
P=0247 | X=0097.730-0288.950 | Y=0387.240-0398.680 | 84 trạng là đường nhựa, bê tông xi măng:
P=0247 | X=0452.330-0468.970 | Y=0389.360-0398.680 | 480
P=0247 | X=0505.390-0522.030 | Y=0389.360-0398.680 | 330
P=0247 | X=0117.170-0394.600 | Y=0404.760-0416.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0247 | X=0117.170-0343.460 | Y=0422.280-0433.520 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0247 | X=0117.170-0186.150 | Y=0440.280-0451.520 | Đường Nguyễn
P=0247 | X=0301.320-0380.620 | Y=0446.040-0457.280 | Nhà văn hóa ấp 4
P=0247 | X=0097.730-0108.850 | Y=0447.920-0457.240 | 85
P=0247 | X=0213.430-0262.020 | Y=0447.920-0457.240 | Quốc lộ 51
P=0247 | X=0444.170-0469.220 | Y=0447.920-0457.240 | 1.000
P=0247 | X=0505.390-0522.030 | Y=0447.920-0457.240 | 630
P=0247 | X=0117.170-0167.350 | Y=0453.700-0463.020 | Trung Trực
P=0247 | X=0117.170-0402.710 | Y=0469.820-0481.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0247 | X=0117.170-0392.150 | Y=0481.340-0492.580 | Trung Trực đoạn từ Quốc lộ 51 đến Nhà văn hóa ấp 4 có hiện
P=0247 | X=0117.170-0308.390 | Y=0492.860-0504.100 | trạng là mặt đường nhựa, bê tông xi măng:
P=0247 | X=0097.730-0108.850 | Y=0500.740-0510.060 | 86
P=0247 | X=0452.330-0468.970 | Y=0500.740-0510.060 | 660
P=0247 | X=0505.390-0522.030 | Y=0500.740-0510.060 | 440
P=0247 | X=0117.170-0340.120 | Y=0510.380-0521.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0247 | X=0117.170-0394.380 | Y=0527.900-0539.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0247 | X=0117.170-0402.710 | Y=0545.930-0557.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0247 | X=0117.170-0392.140 | Y=0557.450-0568.690 | Trung Trực đoạn từ Quốc lộ 51 đến Nhà văn hóa ấp 4 có hiện
P=0247 | X=0117.170-0288.950 | Y=0568.970-0580.210 | trạng là đường nhựa, bê tông xi măng:
P=0247 | X=0097.730-0340.340 | Y=0586.250-0600.570 | 87 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0247 | X=0452.330-0468.970 | Y=0591.250-0600.570 | 560
P=0247 | X=0505.390-0522.030 | Y=0591.250-0600.570 | 380
P=0247 | X=0117.170-0404.060 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0247 | X=0117.170-0170.130 | Y=0615.290-0626.530 | đến ≤600m.
P=0247 | X=0117.170-0340.340 | Y=0632.830-0644.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0247 | X=0117.170-0402.710 | Y=0650.830-0662.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0247 | X=0117.170-0392.150 | Y=0662.350-0673.590 | Trung Trực đoạn từ Quốc lộ 51 đến Nhà văn hóa ấp 4 có hiện
P=0247 | X=0097.730-0288.950 | Y=0673.110-0685.110 | 88 trạng là đường nhựa, bê tông xi măng:
P=0247 | X=0452.330-0468.970 | Y=0673.110-0682.430 | 460
P=0247 | X=0505.390-0522.030 | Y=0673.110-0682.430 | 310
P=0247 | X=0117.170-0394.600 | Y=0691.390-0702.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
