TABLE=006 | AREA=Phường Hố Nai | SECTION=agricultural | SEGMENTS=1
P=0218 | X=0107.330-0393.120 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0218 | X=0107.330-0330.970 | Y=0282.820-0294.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0218 | X=0107.330-0426.940 | Y=0300.820-0312.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0218 | X=0107.330-0419.500 | Y=0312.340-0323.580 | Ngũ Phúc 2 đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số
P=0218 | X=0107.330-0420.940 | Y=0323.860-0335.100 | 144 tờ BĐĐC số 103; Bên trái, đến hết ranh thửa đất số 143, tờ BĐĐC
P=0218 | X=0090.020-0347.080 | Y=0335.380-0346.820 | 145 số 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0218 | X=0461.210-0477.850 | Y=0337.500-0346.820 | 450
P=0218 | X=0505.390-0522.030 | Y=0337.500-0346.820 | 410
P=0218 | X=0107.330-0338.410 | Y=0352.900-0364.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0218 | X=0107.330-0384.500 | Y=0370.200-0381.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0218 | X=0107.330-0426.940 | Y=0388.200-0399.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0218 | X=0107.330-0419.500 | Y=0399.720-0410.960 | Ngũ Phúc 2 đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số
P=0218 | X=0107.330-0422.620 | Y=0411.240-0422.480 | 144 tờ BĐĐC Số 103; Bên trái, đến hết ranh thửa đất số 143, tờ BĐĐC
P=0218 | X=0107.330-0347.050 | Y=0422.760-0434.000 | số 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0218 | X=0090.020-0338.880 | Y=0439.520-0451.520 | 146 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0218 | X=0461.210-0477.850 | Y=0439.520-0448.840 | 350
P=0218 | X=0505.390-0522.030 | Y=0439.520-0448.840 | 310
P=0218 | X=0107.330-0413.750 | Y=0457.820-0469.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0218 | X=0107.330-0149.010 | Y=0469.340-0480.580 | ≤1.000m.
P=0218 | X=0107.330-0330.500 | Y=0486.860-0498.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0218 | X=0107.330-0426.940 | Y=0504.860-0516.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0218 | X=0107.330-0419.500 | Y=0516.380-0527.620 | Ngũ Phúc 2 đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số
P=0218 | X=0107.330-0420.930 | Y=0527.900-0539.140 | 144 tờ BĐĐC số 103; Bên trái, đến hết ranh thửa đất số 143, tờ BĐĐC
P=0218 | X=0090.020-0347.050 | Y=0539.450-0550.890 | 147 số 103 có hiện trạng là đường nhựa, bê tông xi măng:
P=0218 | X=0461.210-0477.850 | Y=0541.570-0550.890 | 230
P=0218 | X=0505.390-0522.030 | Y=0541.570-0550.890 | 220
P=0218 | X=0107.330-0393.120 | Y=0556.970-0568.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0218 | X=0107.330-0333.620 | Y=0574.250-0585.490 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0218 | X=0107.330-0208.480 | Y=0592.250-0603.490 | Đường vào đập Thanh
P=0218 | X=0090.020-0106.660 | Y=0599.890-0609.210 | 148
P=0218 | X=0216.550-0259.620 | Y=0599.890-0609.210 | Quốc lộ 1
P=0218 | X=0272.020-0344.600 | Y=0599.890-0609.210 | Hết mét thứ 200
P=0218 | X=0461.210-0477.850 | Y=0599.890-0609.210 | 670
P=0218 | X=0505.390-0522.030 | Y=0599.890-0609.210 | 600
P=0218 | X=0107.330-0128.040 | Y=0605.650-0614.970 | Niên
P=0218 | X=0107.330-0425.270 | Y=0621.790-0633.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập Thanh
P=0218 | X=0107.330-0409.430 | Y=0633.310-0644.550 | Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là đường
P=0218 | X=0107.330-0210.440 | Y=0644.830-0656.070 | nhựa, bê tông xi măng:
P=0218 | X=0090.020-0106.660 | Y=0652.710-0662.030 | 149
P=0218 | X=0461.210-0477.850 | Y=0652.710-0662.030 | 450
P=0218 | X=0505.390-0522.030 | Y=0652.710-0662.030 | 410
P=0218 | X=0107.330-0338.410 | Y=0662.350-0673.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0218 | X=0107.330-0384.500 | Y=0679.870-0691.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0218 | X=0090.020-0425.270 | Y=0697.870-0709.110 | 150 Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập Thanh
P=0218 | X=0461.210-0477.850 | Y=0699.750-0709.070 | 350
P=0218 | X=0505.390-0522.030 | Y=0699.750-0709.070 | 310
P=0219 | X=0107.330-0407.750 | Y=0072.740-0083.980 | Niên đoạn từ Quốc lộ 1 đến hết mét thứ 200 có hiện trạng là đường
P=0219 | X=0107.330-0210.440 | Y=0084.260-0095.500 | nhựa, bê tông xi măng:
P=0219 | X=0107.330-0338.880 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0219 | X=0107.330-0413.750 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0219 | X=0107.330-0149.010 | Y=0130.850-0142.090 | ≤1.000m.
P=0219 | X=0107.330-0330.500 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0219 | X=0107.330-0425.270 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập Thanh
P=0219 | X=0107.330-0409.430 | Y=0177.650-0188.890 | Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là đường
P=0219 | X=0107.330-0210.440 | Y=0189.170-0200.410 | nhựa, bê tông xi măng:
P=0219 | X=0090.020-0106.660 | Y=0197.050-0206.370 | 151
P=0219 | X=0461.210-0477.850 | Y=0197.050-0206.370 | 230
P=0219 | X=0505.390-0522.030 | Y=0197.050-0206.370 | 220
P=0219 | X=0107.330-0393.120 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0219 | X=0107.330-0330.970 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0219 | X=0107.330-0426.940 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0219 | X=0107.330-0410.140 | Y=0253.750-0264.990 | vào đập Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện
P=0219 | X=0107.330-0279.110 | Y=0265.270-0276.510 | trạng là đường nhựa, bê tông xi măng:
P=0219 | X=0090.020-0106.660 | Y=0273.150-0282.470 | 152
P=0219 | X=0461.210-0477.850 | Y=0273.150-0282.470 | 450
P=0219 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 410
P=0219 | X=0107.330-0338.410 | Y=0282.820-0294.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0219 | X=0107.330-0384.500 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0219 | X=0107.330-0426.940 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0219 | X=0107.330-0410.140 | Y=0329.860-0341.100 | vào đập Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện
P=0219 | X=0107.330-0279.110 | Y=0341.380-0352.620 | trạng là đường nhựa, bê tông xi măng:
P=0219 | X=0090.020-0338.880 | Y=0358.900-0372.980 | 153 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0219 | X=0461.210-0477.850 | Y=0363.660-0372.980 | 350
P=0219 | X=0505.390-0522.030 | Y=0363.660-0372.980 | 310
P=0219 | X=0107.330-0413.750 | Y=0376.200-0387.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0219 | X=0107.330-0149.010 | Y=0387.720-0398.960 | ≤1.000m.
P=0219 | X=0107.330-0330.500 | Y=0405.240-0416.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0219 | X=0107.330-0426.940 | Y=0423.240-0434.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0219 | X=0107.330-0410.140 | Y=0434.760-0446.000 | vào đập Thanh Niên đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện
P=0219 | X=0107.330-0279.110 | Y=0446.280-0457.520 | trạng là đường nhựa, bê tông xi măng:
P=0219 | X=0090.020-0106.660 | Y=0454.180-0463.500 | 154
P=0219 | X=0461.210-0477.850 | Y=0454.180-0463.500 | 230
P=0219 | X=0505.390-0522.030 | Y=0454.180-0463.500 | 220
P=0219 | X=0107.330-0393.120 | Y=0463.820-0475.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0219 | X=0107.330-0333.620 | Y=0481.340-0492.580 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0219 | X=0272.020-0426.730 | Y=0499.340-0510.580 | Bên phải, đến hết ranh thửa đất số
P=0219 | X=0107.330-0421.670 | Y=0510.860-0522.100 | Đường vào đập Thanh Hết mét thứ 97 tờ BĐĐC số 101; Bên trái, đến
P=0219 | X=0090.020-0106.660 | Y=0518.500-0527.820 | 155
P=0219 | X=0461.210-0477.850 | Y=0518.500-0527.820 | 670
P=0219 | X=0505.390-0522.030 | Y=0518.500-0527.820 | 600
P=0219 | X=0272.020-0422.380 | Y=0522.380-0533.620 | hết ranh thửa đất số 10, tờ BĐĐC
P=0219 | X=0107.330-0128.040 | Y=0524.260-0533.580 | Niên
P=0219 | X=0216.550-0233.190 | Y=0524.260-0533.580 | 200
P=0219 | X=0272.020-0301.860 | Y=0535.810-0545.130 | số 101
P=0219 | X=0107.330-0425.270 | Y=0551.930-0563.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập Thanh
P=0219 | X=0107.330-0417.340 | Y=0563.450-0574.690 | Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết ranh thửa đất số
P=0219 | X=0107.330-0423.100 | Y=0574.970-0586.210 | 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số 10, tờ BĐĐC số
P=0219 | X=0090.020-0333.620 | Y=0586.250-0597.690 | 156 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0219 | X=0461.210-0477.850 | Y=0588.370-0597.690 | 450
P=0219 | X=0505.390-0522.030 | Y=0588.370-0597.690 | 410
P=0219 | X=0107.330-0338.410 | Y=0603.770-0615.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0219 | X=0107.330-0384.500 | Y=0621.310-0632.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0219 | X=0107.330-0425.270 | Y=0639.310-0650.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập Thanh
P=0219 | X=0107.330-0417.340 | Y=0650.830-0662.070 | Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết ranh thửa đất số
P=0219 | X=0090.020-0423.110 | Y=0662.350-0676.670 | 157 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số 10, tờ BĐĐC số
P=0219 | X=0461.210-0477.850 | Y=0667.350-0676.670 | 350
P=0219 | X=0505.390-0522.030 | Y=0667.350-0676.670 | 310
P=0219 | X=0107.330-0333.620 | Y=0673.870-0685.110 | 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0219 | X=0107.330-0338.880 | Y=0691.390-0702.630 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0220 | X=0107.330-0413.750 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0220 | X=0107.330-0149.010 | Y=0090.260-0101.500 | ≤1.000m.
P=0220 | X=0107.330-0330.500 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0220 | X=0107.330-0425.270 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào đập Thanh
P=0220 | X=0107.330-0417.340 | Y=0137.330-0148.570 | Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết ranh thửa đất số
P=0220 | X=0107.330-0423.110 | Y=0148.850-0160.090 | 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số 10, tờ BĐĐC số
P=0220 | X=0090.020-0333.620 | Y=0160.370-0171.810 | 158 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0220 | X=0461.210-0477.850 | Y=0162.490-0171.810 | 230
P=0220 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 220
P=0220 | X=0107.330-0393.120 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0220 | X=0107.330-0330.970 | Y=0195.170-0206.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0220 | X=0107.330-0426.940 | Y=0213.190-0224.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0220 | X=0107.330-0410.710 | Y=0224.710-0235.950 | vào đập Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết
P=0220 | X=0107.330-0426.010 | Y=0236.230-0247.470 | ranh thửa đất số 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số
P=0220 | X=0090.020-0407.060 | Y=0247.750-0259.190 | 159 10, tờ BĐĐC số 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0220 | X=0461.210-0477.850 | Y=0249.870-0259.190 | 450
P=0220 | X=0505.390-0522.030 | Y=0249.870-0259.190 | 410
P=0220 | X=0107.330-0338.410 | Y=0265.270-0276.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0220 | X=0107.330-0384.500 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0220 | X=0107.330-0426.940 | Y=0300.820-0312.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0220 | X=0107.330-0410.710 | Y=0312.340-0323.580 | vào đập Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết
P=0220 | X=0107.330-0426.010 | Y=0323.860-0335.100 | ranh thửa đất số 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số
P=0220 | X=0107.330-0407.060 | Y=0335.380-0346.620 | 10, tờ BĐĐC số 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0220 | X=0090.020-0338.880 | Y=0351.900-0364.140 | 160 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0220 | X=0461.210-0477.850 | Y=0351.900-0361.220 | 350
P=0220 | X=0505.390-0522.030 | Y=0351.900-0361.220 | 310
P=0220 | X=0107.330-0413.750 | Y=0370.200-0381.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0220 | X=0107.330-0149.010 | Y=0381.720-0392.960 | ≤1.000m.
P=0220 | X=0107.330-0330.500 | Y=0399.240-0410.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0220 | X=0107.330-0426.940 | Y=0417.240-0428.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0220 | X=0107.330-0410.710 | Y=0428.760-0440.000 | vào đập Thanh Niên đoạn từ Hết mét thứ 200 đến Bên phải, đến hết
P=0220 | X=0107.330-0426.010 | Y=0440.280-0451.520 | ranh thửa đất số 97 tờ BĐĐC số 101; Bên trái, đến hết ranh thửa đất số
P=0220 | X=0090.020-0407.060 | Y=0451.820-0463.260 | 161 10, tờ BĐĐC số 101 có hiện trạng là đường nhựa, bê tông xi măng:
P=0220 | X=0461.210-0477.850 | Y=0453.940-0463.260 | 230
P=0220 | X=0505.390-0522.030 | Y=0453.940-0463.260 | 220
P=0220 | X=0107.330-0393.120 | Y=0469.340-0480.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0220 | X=0107.330-0333.620 | Y=0486.860-0498.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0220 | X=0216.550-0248.340 | Y=0504.860-0516.100 | Đường
P=0220 | X=0090.020-0194.770 | Y=0516.380-0527.620 | 162 Đường Trung Đông
P=0220 | X=0216.550-0401.020 | Y=0516.380-0527.620 | Đông Hải - Giáp ranh phường Trảng Dài
P=0220 | X=0461.210-0477.850 | Y=0518.260-0527.580 | 670
P=0220 | X=0505.390-0522.030 | Y=0518.260-0527.580 | 600
P=0220 | X=0216.550-0249.460 | Y=0527.900-0539.140 | Lộ Đức
P=0220 | X=0107.330-0411.320 | Y=0545.930-0557.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung Đông
P=0220 | X=0107.330-0427.160 | Y=0557.450-0568.690 | đoạn từ Đường Đông Hải - Lộ Đức đến Giáp ranh phường Trảng Dài có
P=0220 | X=0107.330-0300.940 | Y=0568.970-0580.210 | hiện trạng là đường nhựa, bê tông xi măng:
P=0220 | X=0090.020-0106.660 | Y=0576.850-0586.170 | 163
P=0220 | X=0461.210-0477.850 | Y=0576.850-0586.170 | 450
P=0220 | X=0505.390-0522.030 | Y=0576.850-0586.170 | 410
P=0220 | X=0107.330-0338.410 | Y=0586.250-0597.490 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0220 | X=0107.330-0384.500 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0220 | X=0107.330-0411.320 | Y=0621.790-0633.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung Đông
P=0220 | X=0107.330-0427.160 | Y=0633.310-0644.550 | đoạn từ Đường Đông Hải - Lộ Đức đến Giáp ranh phường Trảng Dài có
P=0220 | X=0107.330-0300.940 | Y=0644.830-0656.070 | hiện trạng là đường nhựa, bê tông xi măng:
P=0220 | X=0090.020-0106.660 | Y=0658.470-0667.790 | 164
P=0220 | X=0461.210-0477.850 | Y=0658.470-0667.790 | 350
P=0220 | X=0505.390-0522.030 | Y=0658.470-0667.790 | 310
P=0220 | X=0107.330-0338.880 | Y=0662.350-0673.590 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0220 | X=0107.330-0413.750 | Y=0679.870-0691.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0220 | X=0107.330-0149.010 | Y=0691.390-0702.630 | ≤1.000m.
P=0221 | X=0107.330-0330.500 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0221 | X=0107.330-0411.320 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung Đông
P=0221 | X=0107.330-0427.160 | Y=0108.260-0119.500 | đoạn từ Đường Đông Hải - Lộ Đức đến Giáp ranh phường Trảng Dài có
P=0221 | X=0107.330-0300.940 | Y=0119.810-0131.050 | hiện trạng là đường nhựa, bê tông xi măng:
P=0221 | X=0090.020-0106.660 | Y=0127.690-0137.010 | 165
P=0221 | X=0461.210-0477.850 | Y=0127.690-0137.010 | 230
P=0221 | X=0505.390-0522.030 | Y=0127.690-0137.010 | 220
P=0221 | X=0107.330-0393.120 | Y=0137.330-0148.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0221 | X=0107.330-0330.970 | Y=0154.850-0166.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0221 | X=0107.330-0426.940 | Y=0172.850-0184.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0221 | X=0107.330-0420.950 | Y=0184.370-0195.610 | Trung Đông đoạn từ đường Đông Hải - Lộ Đức đến Giáp ranh phường
P=0221 | X=0107.330-0360.730 | Y=0195.650-0206.890 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0221 | X=0090.020-0106.660 | Y=0203.550-0212.870 | 166
P=0221 | X=0461.210-0477.850 | Y=0203.550-0212.870 | 450
P=0221 | X=0505.390-0522.030 | Y=0203.550-0212.870 | 410
P=0221 | X=0107.330-0338.410 | Y=0213.190-0224.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0221 | X=0107.330-0384.500 | Y=0230.710-0241.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0221 | X=0107.330-0426.940 | Y=0248.710-0259.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0221 | X=0107.330-0422.630 | Y=0260.230-0271.470 | Trung Đông đoạn từ Đường Đông Hải - Lộ Đức đến Giáp ranh phường
P=0221 | X=0107.330-0360.730 | Y=0271.750-0282.990 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0221 | X=0090.020-0338.880 | Y=0289.300-0303.620 | 167 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0221 | X=0461.210-0477.850 | Y=0294.300-0303.620 | 350
P=0221 | X=0505.390-0522.030 | Y=0294.300-0303.620 | 310
P=0221 | X=0107.330-0413.750 | Y=0306.820-0318.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0221 | X=0107.330-0149.010 | Y=0318.340-0329.580 | ≤1.000m.
P=0221 | X=0107.330-0330.500 | Y=0335.860-0347.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0221 | X=0107.330-0426.940 | Y=0353.860-0365.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0221 | X=0107.330-0422.630 | Y=0365.400-0376.640 | Trung Đông đoạn từ Đường Đông Hải - Lộ Đức đến Giáp ranh phường
P=0221 | X=0107.330-0360.730 | Y=0376.920-0388.160 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0221 | X=0090.020-0106.660 | Y=0384.800-0394.120 | 168
P=0221 | X=0461.210-0477.850 | Y=0384.800-0394.120 | 230
P=0221 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 220
P=0221 | X=0107.330-0393.120 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0221 | X=0107.330-0333.650 | Y=0411.720-0422.960 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0221 | X=0090.020-0189.020 | Y=0429.720-0440.960 | 169 Đường Xóm Chùa
P=0221 | X=0216.550-0259.620 | Y=0431.600-0440.920 | Quốc lộ 1
P=0221 | X=0272.020-0344.600 | Y=0431.600-0440.920 | Hết mét thứ 200
P=0221 | X=0461.210-0477.850 | Y=0431.600-0440.920 | 670
P=0221 | X=0505.390-0522.030 | Y=0431.600-0440.920 | 600
P=0221 | X=0107.330-0405.800 | Y=0447.720-0458.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xóm Chùa
P=0221 | X=0107.330-0429.100 | Y=0459.260-0470.500 | đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là đường nhựa, bê
P=0221 | X=0107.330-0167.490 | Y=0470.780-0482.020 | tông xi măng:
P=0221 | X=0090.020-0106.660 | Y=0478.660-0487.980 | 170
P=0221 | X=0461.210-0477.850 | Y=0478.660-0487.980 | 450
P=0221 | X=0505.390-0522.030 | Y=0478.660-0487.980 | 410
P=0221 | X=0107.330-0338.420 | Y=0488.300-0499.540 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0221 | X=0107.330-0384.500 | Y=0505.820-0517.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0221 | X=0107.330-0405.800 | Y=0523.820-0535.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xóm Chùa
P=0221 | X=0107.330-0429.100 | Y=0535.370-0546.610 | đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là đường nhựa, bê
P=0221 | X=0107.330-0167.490 | Y=0546.890-0558.130 | tông xi măng:
P=0221 | X=0090.020-0338.880 | Y=0564.410-0578.490 | 171 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0221 | X=0461.210-0477.850 | Y=0569.170-0578.490 | 350
P=0221 | X=0505.390-0522.030 | Y=0569.170-0578.490 | 310
P=0221 | X=0107.330-0413.750 | Y=0581.930-0593.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0221 | X=0107.330-0149.010 | Y=0593.450-0604.690 | ≤1.000m.
P=0221 | X=0107.330-0330.500 | Y=0610.970-0622.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0221 | X=0107.330-0407.480 | Y=0628.990-0640.230 | Các tuyến Đường giao thông đấu nối trực tiếp ra Đường Xóm Chùa
P=0221 | X=0107.330-0429.100 | Y=0640.270-0651.510 | đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là đường nhựa, bê
P=0221 | X=0107.330-0167.490 | Y=0651.790-0663.030 | tông xi măng;
P=0221 | X=0090.020-0106.660 | Y=0659.670-0668.990 | 172
P=0221 | X=0461.210-0477.850 | Y=0659.670-0668.990 | 230
P=0221 | X=0505.390-0522.030 | Y=0659.670-0668.990 | 220
P=0221 | X=0107.330-0393.120 | Y=0669.310-0680.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0221 | X=0107.330-0330.970 | Y=0686.830-0698.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0221 | X=0090.020-0426.940 | Y=0704.850-0716.090 | 173 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0221 | X=0461.210-0477.850 | Y=0706.740-0716.060 | 450
P=0221 | X=0505.390-0522.030 | Y=0706.740-0716.060 | 410
P=0222 | X=0107.330-0403.420 | Y=0072.740-0083.980 | Xóm Chùa đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là
P=0222 | X=0107.330-0243.080 | Y=0084.260-0095.500 | đường nhựa, bê tông xi măng:
P=0222 | X=0107.330-0338.410 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0222 | X=0107.330-0384.500 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0222 | X=0107.330-0426.940 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0222 | X=0107.330-0403.420 | Y=0148.850-0160.090 | Xóm Chùa đoạn từ Quốc lộ 1 đến Hết mét thứ 200 có hiện trạng là
P=0222 | X=0107.330-0243.080 | Y=0160.370-0171.610 | đường nhựa, bê tông xi măng;
P=0222 | X=0090.020-0338.880 | Y=0177.650-0191.970 | 174 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0222 | X=0461.210-0477.850 | Y=0182.650-0191.970 | 350
P=0222 | X=0505.390-0522.030 | Y=0182.650-0191.970 | 310
P=0222 | X=0107.330-0413.750 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0222 | X=0107.330-0146.210 | Y=0206.710-0217.950 | ≤1.000m
P=0222 | X=0107.330-0330.500 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0222 | X=0107.330-0426.940 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
