TABLE=013 | AREA=Xã An Phước | SECTION=agricultural | SEGMENTS=1
P=0428 | X=0112.610-0397.870 | Y=0411.720-0422.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0428 | X=0112.610-0409.180 | Y=0423.240-0434.480 | Quốc lộ 51 đoạn từ Hết Trung tâm huấn luyện chó nghiệp vụ Quân
P=0428 | X=0112.610-0411.390 | Y=0434.760-0446.000 | Khuyển đến Mũi tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.570-0346.810 | Y=0452.300-0466.620 | 62 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0428 | X=0452.330-0468.970 | Y=0457.300-0466.620 | 400
P=0428 | X=0505.390-0522.030 | Y=0457.300-0466.620 | 350
P=0428 | X=0112.610-0399.500 | Y=0469.820-0481.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0428 | X=0112.610-0173.730 | Y=0481.340-0492.580 | đến ≤1.000m.
P=0428 | X=0112.610-0335.780 | Y=0498.860-0510.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0428 | X=0112.610-0397.870 | Y=0516.860-0528.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0428 | X=0112.610-0409.180 | Y=0528.380-0539.620 | Quốc lộ 51 đoạn từ Hết Trung tâm huấn luyện chó nghiệp vụ Quân
P=0428 | X=0112.610-0411.390 | Y=0539.930-0551.170 | Khuyên đến Mũi tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.570-0106.690 | Y=0547.810-0557.130 | 63
P=0428 | X=0452.330-0468.970 | Y=0547.810-0557.130 | 270
P=0428 | X=0505.390-0522.030 | Y=0547.810-0557.130 | 270
P=0428 | X=0112.610-0395.540 | Y=0557.450-0568.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông>1.000m.
P=0428 | X=0112.610-0336.250 | Y=0574.970-0586.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0428 | X=0112.610-0211.760 | Y=0594.850-0604.170 | Lê Duẩn (Quốc lộ 51A
P=0428 | X=0307.560-0389.980 | Y=0594.850-0604.170 | Giáp ranh xã Long
P=0428 | X=0217.030-0249.980 | Y=0598.490-0609.730 | Mũi tàu
P=0428 | X=0095.570-0106.690 | Y=0600.370-0609.690 | 64
P=0428 | X=0452.330-0468.970 | Y=0600.370-0609.690 | 730
P=0428 | X=0505.390-0522.030 | Y=0600.370-0609.690 | 600
P=0428 | X=0112.610-0126.530 | Y=0604.250-0615.490 | cũ)
P=0428 | X=0307.560-0335.970 | Y=0606.130-0615.450 | Thành
P=0428 | X=0112.610-0407.980 | Y=0622.270-0633.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn (Quốc lộ
P=0428 | X=0112.610-0390.940 | Y=0633.790-0645.030 | 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long Thành có hiện
P=0428 | X=0112.610-0284.390 | Y=0645.310-0656.550 | trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.570-0106.690 | Y=0653.190-0662.510 | 65
P=0428 | X=0452.330-0468.970 | Y=0653.190-0662.510 | 500
P=0428 | X=0505.390-0522.030 | Y=0653.190-0662.510 | 430
P=0428 | X=0112.610-0343.690 | Y=0662.830-0674.070 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0428 | X=0112.610-0389.800 | Y=0680.350-0691.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0428 | X=0095.570-0407.980 | Y=0698.350-0709.590 | 66 Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn (Quốc lộ
P=0428 | X=0452.330-0468.970 | Y=0700.230-0709.550 | 400
P=0428 | X=0505.390-0522.030 | Y=0700.230-0709.550 | 350
P=0429 | X=0112.610-0390.940 | Y=0072.740-0083.980 | 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long Thành có hiện
P=0429 | X=0112.610-0284.390 | Y=0084.260-0095.500 | trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0112.610-0344.160 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0429 | X=0112.610-0393.730 | Y=0119.330-0130.570 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông từ>500m
P=0429 | X=0112.610-0173.730 | Y=0130.850-0142.090 | đến ≤1.000m.
P=0429 | X=0112.610-0335.780 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0429 | X=0112.610-0407.980 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn (Quốc lộ
P=0429 | X=0112.610-0390.940 | Y=0177.650-0188.890 | 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long Thành có hiện
P=0429 | X=0112.610-0284.390 | Y=0189.170-0200.410 | trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0095.570-0106.690 | Y=0197.050-0206.370 | 67
P=0429 | X=0452.330-0468.970 | Y=0197.050-0206.370 | 270
P=0429 | X=0505.390-0522.030 | Y=0197.050-0206.370 | 270
P=0429 | X=0112.610-0401.070 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000tn.
P=0429 | X=0112.610-0336.250 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0429 | X=0112.610-0411.790 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Lê
P=0429 | X=0112.610-0391.880 | Y=0253.750-0264.990 | Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0429 | X=0112.610-0350.650 | Y=0265.270-0276.510 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0095.570-0106.690 | Y=0273.150-0282.470 | 68
P=0429 | X=0452.330-0468.970 | Y=0273.150-0282.470 | 500
P=0429 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 430
P=0429 | X=0112.610-0343.690 | Y=0282.820-0294.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0429 | X=0112.610-0389.800 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0429 | X=0112.610-0411.790 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Lê
P=0429 | X=0112.610-0391.900 | Y=0329.860-0341.100 | Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0429 | X=0112.610-0350.650 | Y=0341.380-0352.620 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0095.570-0344.160 | Y=0358.900-0372.980 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0429 | X=0452.330-0468.970 | Y=0363.660-0372.980 | 400
P=0429 | X=0505.390-0522.030 | Y=0363.660-0372.980 | 350
P=0429 | X=0112.610-0396.610 | Y=0376.200-0387.440 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông từ >500m
P=0429 | X=0112.610-0173.730 | Y=0387.720-0398.960 | đến ≤1.000m.
P=0429 | X=0112.610-0335.780 | Y=0405.240-0416.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0429 | X=0112.610-0411.790 | Y=0423.240-0434.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Lê
P=0429 | X=0112.610-0391.880 | Y=0434.760-0446.000 | Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0429 | X=0112.610-0350.650 | Y=0446.280-0457.520 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0095.570-0106.690 | Y=0454.180-0463.500 | 70
P=0429 | X=0452.330-0468.970 | Y=0454.180-0463.500 | 270
P=0429 | X=0505.390-0522.030 | Y=0454.180-0463.500 | 270
P=0429 | X=0112.610-0398.200 | Y=0463.820-0475.060 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0429 | X=0112.610-0336.250 | Y=0481.340-0492.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0429 | X=0307.560-0405.020 | Y=0499.340-0510.580 | Đường Phùng Hưng -
P=0429 | X=0095.570-0265.620 | Y=0505.100-0516.340 | 71 Đường liên ấp 7 - ấp 8 Quốc lộ 51
P=0429 | X=0452.330-0468.970 | Y=0506.980-0516.300 | 700
P=0429 | X=0505.390-0522.030 | Y=0506.980-0516.300 | 570
P=0429 | X=0307.560-0366.620 | Y=0510.860-0522.100 | xã An Phước
P=0429 | X=0112.610-0407.900 | Y=0528.860-0540.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên ấp 7 -
P=0429 | X=0112.610-0403.100 | Y=0540.410-0551.650 | ấp 8 đoạn từ Quốc lộ 51 đến Đường Phùng Mưng - xã An Phước
P=0429 | X=0112.610-0319.460 | Y=0551.930-0563.170 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0095.570-0106.690 | Y=0559.810-0569.130 | 72
P=0429 | X=0452.330-0468.970 | Y=0559.810-0569.130 | 480
P=0429 | X=0505.390-0522.030 | Y=0559.810-0569.130 | 400
P=0429 | X=0112.610-0343.700 | Y=0569.450-0580.690 | - Có bề rộng≥5m, cách đường giao thông ≤ 1.000m.
P=0429 | X=0112.610-0389.800 | Y=0586.970-0598.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0429 | X=0112.610-0407.900 | Y=0604.970-0616.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên ấp 7 -
P=0429 | X=0112.610-0401.900 | Y=0616.270-0627.510 | ấp 8 đoạn từ Quốc lộ 51 đến Đường Phùng Hưng - xã An Phước
P=0429 | X=0112.610-0319.460 | Y=0627.790-0639.030 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0429 | X=0095.570-0344.160 | Y=0645.310-0659.630 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0429 | X=0452.330-0468.970 | Y=0650.310-0659.630 | 370
P=0429 | X=0505.390-0522.030 | Y=0650.310-0659.630 | 330
P=0429 | X=0112.610-0399.500 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0429 | X=0112.610-0173.730 | Y=0674.350-0685.590 | đến ≤1.000m.
P=0429 | X=0112.610-0335.780 | Y=0691.870-0703.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0430 | X=0112.610-0407.900 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên ấp 7 -
P=0430 | X=0112.610-0401.900 | Y=0090.260-0101.500 | ấp 8 đoạn từ Quốc lộ 51 đến Đường Phùng Hưng - xã An Phước
P=0430 | X=0112.610-0319.460 | Y=0101.780-0113.020 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0430 | X=0095.570-0106.690 | Y=0109.660-0118.980 | 74
P=0430 | X=0452.330-0468.970 | Y=0109.660-0118.980 | 250
P=0430 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 250
P=0430 | X=0112.610-0401.070 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0430 | X=0112.610-0336.270 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0430 | X=0112.610-0397.870 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0430 | X=0112.610-0387.100 | Y=0166.370-0177.610 | Đường liên ấp 7 - ấp 8 đoạn từ Quốc lộ 51 đến Đường Phùng
P=0430 | X=0112.610-0384.440 | Y=0177.650-0188.890 | Hưng - xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0430 | X=0095.570-0140.610 | Y=0189.170-0200.610 | 75 măng:
P=0430 | X=0452.330-0468.970 | Y=0191.290-0200.610 | 480
P=0430 | X=0505.390-0522.030 | Y=0191.290-0200.610 | 400
P=0430 | X=0112.610-0343.690 | Y=0206.710-0217.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0430 | X=0112.610-0389.800 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0430 | X=0112.610-0397.870 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0430 | X=0112.610-0387.100 | Y=0253.750-0264.990 | Đường liên ấp 7 - ấp 8 đoạn từ Quốc lộ 51 đến Đường Phùng
P=0430 | X=0112.610-0384.440 | Y=0265.270-0276.510 | Hưng - xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0430 | X=0112.610-0140.610 | Y=0276.790-0288.030 | măng:
P=0430 | X=0095.570-0344.160 | Y=0293.340-0305.580 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0430 | X=0452.330-0468.970 | Y=0293.340-0302.660 | 370
P=0430 | X=0505.390-0522.030 | Y=0293.340-0302.660 | 330
P=0430 | X=0112.610-0399.500 | Y=0311.860-0323.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0430 | X=0112.610-0173.730 | Y=0323.380-0334.620 | đến ≤1.000m.
P=0430 | X=0112.610-0335.780 | Y=0340.900-0352.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0430 | X=0112.610-0397.390 | Y=0358.900-0370.140 | Các tuyến đường giao thông không đấu nối trực liếp và thông ra
P=0430 | X=0112.610-0387.100 | Y=0370.200-0381.440 | Đường liên áp 7 - ấp 8 đoạn từ Quốc lộ 51 đến Đường Phùng
P=0430 | X=0112.610-0384.440 | Y=0381.720-0392.960 | Hưng - xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0430 | X=0095.570-0140.610 | Y=0393.240-0404.680 | 77 măng:
P=0430 | X=0452.330-0468.970 | Y=0395.360-0404.680 | 250
P=0430 | X=0505.390-0522.030 | Y=0395.360-0404.680 | 250
P=0430 | X=0112.610-0398.420 | Y=0410.760-0422.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0430 | X=0112.610-0336.250 | Y=0428.280-0439.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0430 | X=0095.570-0203.890 | Y=0446.280-0457.520 | 78 Đường Phùng Hưng
P=0430 | X=0217.030-0265.620 | Y=0448.160-0457.480 | Quốc lộ 51
P=0430 | X=0307.560-0402.940 | Y=0448.160-0457.480 | Giáp ranh xã An Viễn
P=0430 | X=0452.330-0468.970 | Y=0448.160-0457.480 | 730
P=0430 | X=0505.390-0522.030 | Y=0448.160-0457.480 | 600
P=0430 | X=0112.610-0392.610 | Y=0464.300-0475.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng
P=0430 | X=0112.610-0404.140 | Y=0475.820-0487.060 | Hưng đoạn từ Quốc lộ 51 đến Giáp ranh xã An Viễn có hiện trạng
P=0430 | X=0112.610-0258.940 | Y=0487.340-0498.580 | là đường nhựa, bê tông xi măng:
P=0430 | X=0095.570-0106.690 | Y=0495.220-0504.540 | 79
P=0430 | X=0450.650-0469.220 | Y=0495.220-0504.540 | '500
P=0430 | X=0505.390-0522.030 | Y=0495.220-0504.540 | 430
P=0430 | X=0112.610-0343.690 | Y=0504.860-0516.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0430 | X=0112.610-0389.800 | Y=0522.380-0533.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0430 | X=0112.610-0392.610 | Y=0540.410-0551.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng
P=0430 | X=0112.610-0404.140 | Y=0551.930-0563.170 | Hưng đoạn từ Quốc lộ 51 đến Giáp ranh xã An Viễn có hiện trạng
P=0430 | X=0112.610-0258.940 | Y=0563.450-0574.690 | là đường nhựa, bê tông xi măng:
P=0430 | X=0095.570-0346.810 | Y=0580.970-0595.050 | 80 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0430 | X=0452.330-0468.970 | Y=0585.730-0595.050 | 400
P=0430 | X=0505.390-0522.030 | Y=0585.730-0595.050 | 350
P=0430 | X=0112.610-0399.500 | Y=0598.250-0609.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0430 | X=0112.610-0173.730 | Y=0609.770-0621.010 | đến ≤1.000m.
P=0430 | X=0112.610-0335.780 | Y=0627.310-0638.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0430 | X=0112.610-0392.610 | Y=0645.310-0656.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng
P=0430 | X=0112.610-0404.140 | Y=0656.830-0668.070 | Hưng đoạn từ Quốc lộ 51 đến Giáp ranh xã An Viễn có hiện trạng
P=0430 | X=0112.610-0258.940 | Y=0668.350-0679.590 | là đường nhựa, bê tông xi măng:
P=0430 | X=0095.570-0106.690 | Y=0676.230-0685.550 | 81
P=0430 | X=0452.330-0468.970 | Y=0676.230-0685.550 | 270
P=0430 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 270
P=0430 | X=0112.610-0401.070 | Y=0685.870-0697.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0430 | X=0112.610-0336.250 | Y=0703.410-0714.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0431 | X=0112.610-0397.870 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0431 | X=0112.610-0409.670 | Y=0090.260-0101.500 | Đường Phùng Hưng đoạn từ Quốc lộ 51 đến Giáp ranh xã An Viễn
P=0431 | X=0112.610-0319.460 | Y=0101.780-0113.020 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0431 | X=0095.570-0106.690 | Y=0109.660-0118.980 | 82
P=0431 | X=0452.330-0468.970 | Y=0109.660-0118.980 | 500
P=0431 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 430
P=0431 | X=0112.610-0346.560 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤ 1.000m.
P=0431 | X=0112.610-0386.930 | Y=0136.850-0148.090 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông ≤500m.
P=0431 | X=0112.610-0397.870 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0431 | X=0112.610-0409.660 | Y=0166.370-0177.610 | Đường Phùng Hưng đoạn từ Quốc lộ 51 đến Giáp ranh xã An Viễn
P=0431 | X=0112.610-0319.460 | Y=0177.650-0188.890 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0431 | X=0095.570-0344.160 | Y=0195.170-0209.510 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0431 | X=0452.330-0468.970 | Y=0200.190-0209.510 | 400
P=0431 | X=0505.390-0522.030 | Y=0200.190-0209.510 | 350
P=0431 | X=0112.610-0399.500 | Y=0212.710-0223.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0431 | X=0112.610-0173.730 | Y=0224.230-0235.470 | đến ≤1.000m.
P=0431 | X=0112.610-0335.800 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0431 | X=0112.610-0397.870 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0431 | X=0112.610-0409.660 | Y=0271.270-0282.510 | Đường Phùng Hưng đoạn từ Quốc lộ 51 đến Giáp ranh xã An Viễn
P=0431 | X=0112.610-0319.460 | Y=0282.820-0294.060 | có hiện trạng lá đường nhựa, bê tông xi măng:
P=0431 | X=0095.570-0106.690 | Y=0290.700-0300.020 | 84
P=0431 | X=0452.330-0468.970 | Y=0290.700-0300.020 | 270
P=0431 | X=0505.390-0522.030 | Y=0290.700-0300.020 | 270
P=0431 | X=0112.610-0401.070 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0431 | X=0112.610-0336.250 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0431 | X=0306.840-0407.030 | Y=0337.740-0347.060 | Ranh khu công nghiệp
P=0431 | X=0112.610-0187.820 | Y=0341.620-0352.860 | Đường khu công
P=0431 | X=0306.840-0385.430 | Y=0347.380-0358.620 | Long Đức - xã An
P=0431 | X=0095.570-0106.690 | Y=0349.260-0358.580 | 85
P=0431 | X=0216.310-0264.900 | Y=0349.260-0358.580 | Quốc lộ 51
P=0431 | X=0452.330-0468.970 | Y=0349.260-0358.580 | 700
P=0431 | X=0505.390-0522.030 | Y=0349.260-0358.580 | 570
P=0431 | X=0112.610-0189.430 | Y=0353.140-0364.380 | nghiệp Long Đức
P=0431 | X=0306.840-0337.560 | Y=0358.900-0370.140 | Phước
P=0431 | X=0112.610-0404.370 | Y=0376.920-0388.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường khu công
P=0431 | X=0112.610-0400.310 | Y=0388.200-0399.440 | nghiệp Long Đức đoạn từ Quốc lộ 51 đến Ranh khu công nghiệp
P=0431 | X=0112.610-0403.160 | Y=0399.720-0410.960 | Long Đức - xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0431 | X=0095.570-0140.610 | Y=0411.240-0422.680 | 86 măng:
P=0431 | X=0452.330-0468.970 | Y=0413.360-0422.680 | 480
P=0431 | X=0505.390-0522.030 | Y=0413.360-0422.680 | 400
P=0431 | X=0112.610-0343.690 | Y=0428.760-0440.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0431 | X=0112.610-0389.800 | Y=0446.280-0457.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0431 | X=0112.610-0404.390 | Y=0464.300-0475.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường khu công
P=0431 | X=0112.610-0400.300 | Y=0475.820-0487.060 | nghiệp Long Đức đoạn từ Quốc lộ 51 đến Ranh khu công nghiệp
P=0431 | X=0112.610-0403.160 | Y=0487.340-0498.580 | Long Đức - xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0431 | X=0112.610-0140.610 | Y=0498.860-0510.100 | măng:
P=0431 | X=0095.570-0346.810 | Y=0515.380-0527.620 | 87 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0431 | X=0452.330-0468.970 | Y=0515.380-0524.700 | 370
P=0431 | X=0505.390-0522.030 | Y=0515.380-0524.700 | 330
P=0431 | X=0112.610-0399.500 | Y=0533.930-0545.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0431 | X=0112.610-0173.730 | Y=0545.450-0556.690 | đến ≤1.000m.
P=0431 | X=0112.610-0335.780 | Y=0562.970-0574.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0431 | X=0112.610-0404.370 | Y=0580.970-0592.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường khu công
P=0431 | X=0112.610-0400.300 | Y=0592.250-0603.490 | nghiệp Long Đức đoạn từ Quốc lộ 51 đến Ranh khu công nghiệp
P=0431 | X=0112.610-0403.160 | Y=0603.770-0615.010 | Long Đức - xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0431 | X=0095.570-0140.610 | Y=0615.290-0626.730 | 88 măng:
P=0431 | X=0452.330-0468.970 | Y=0617.410-0626.730 | 250
P=0431 | X=0505.390-0522.030 | Y=0617.410-0626.730 | 250
P=0431 | X=0112.610-0401.070 | Y=0632.830-0644.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0431 | X=0112.610-0336.250 | Y=0650.350-0661.590 | - Có bề rộng <3m, cách đườug giao thông >200m.
P=0431 | X=0112.610-0397.870 | Y=0668.350-0679.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0431 | X=0112.610-0401.750 | Y=0679.870-0691.110 | Đường khu công nghiệp Long Đức đoạn từ Quốc lộ 51 đến Ranh
P=0431 | X=0095.570-0106.690 | Y=0687.510-0696.830 | 89
P=0431 | X=0452.330-0468.970 | Y=0687.510-0696.830 | 480
P=0431 | X=0505.390-0522.030 | Y=0687.510-0696.830 | 400
P=0431 | X=0112.610-0404.630 | Y=0691.390-0702.630 | khu công nghiệp Long Đức - xã An Phước có hiện trạng là đường
P=0431 | X=0112.610-0215.720 | Y=0702.930-0714.170 | nhựa, bê tông xi măng:
P=0432 | X=0112.610-0343.690 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0432 | X=0112.610-0389.800 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0432 | X=0112.610-0397.900 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0432 | X=0112.610-0401.750 | Y=0125.810-0137.050 | Đường khu công nghiệp Long Đức đoạn từ Quốc lộ 51 đến Ranh
P=0432 | X=0112.610-0404.630 | Y=0137.330-0148.570 | khu công nghiệp Long Đức - xã An Phước có hiện trạng là đường
P=0432 | X=0112.610-0215.720 | Y=0148.850-0160.090 | nhựa, bê tông xi măng:
P=0432 | X=0095.570-0344.160 | Y=0165.370-0177.610 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0432 | X=0452.330-0468.970 | Y=0165.370-0174.690 | 370
P=0432 | X=0505.390-0522.030 | Y=0165.370-0174.690 | 330
P=0432 | X=0112.610-0393.730 | Y=0183.650-0194.890 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông từ>500m
P=0432 | X=0112.610-0173.730 | Y=0195.170-0206.410 | đến ≤1.000m.
P=0432 | X=0112.610-0335.780 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0432 | X=0112.610-0397.870 | Y=0230.710-0241.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0432 | X=0112.610-0401.750 | Y=0242.230-0253.470 | Đường khu công nghiệp Long Đức đoạn từ Quốc lộ 51 đến Ranh
P=0432 | X=0112.610-0404.630 | Y=0253.750-0264.990 | khu công nghiệp Long Đức - xã An Phước có hiện trạng là đường
P=0432 | X=0095.570-0215.720 | Y=0265.270-0276.710 | 91 nhựa, bê tông xi măng:
P=0432 | X=0452.330-0468.970 | Y=0267.390-0276.710 | 250
P=0432 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 250
P=0432 | X=0112.610-0401.070 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0432 | X=0112.610-0336.250 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0432 | X=0112.610-0204.160 | Y=0318.340-0329.580 | Đường Bùi Thị Xuân
P=0432 | X=0306.840-0399.110 | Y=0320.220-0329.540 | Ranh khu công nghệ
P=0432 | X=0216.310-0298.720 | Y=0325.980-0335.300 | Giáp ranh xã Long
P=0432 | X=0095.570-0194.560 | Y=0329.860-0341.100 | 92 đoạn đã đầu tư hạ
P=0432 | X=0306.840-0404.150 | Y=0329.860-0341.100 | cao Long Thành đoạn
P=0432 | X=0452.330-0468.970 | Y=0331.740-0341.060 | 670
P=0432 | X=0505.390-0522.030 | Y=0331.740-0341.060 | 530
P=0432 | X=0216.310-0244.740 | Y=0337.500-0346.820 | Thành
P=0432 | X=0306.840-0386.140 | Y=0341.380-0352.620 | đã đầu tư hạ tầng
P=0432 | X=0112.610-0132.130 | Y=0343.260-0352.580 | tầng
