TABLE=015 | AREA=Xã Phước Thái | SECTION=agricultural | SEGMENTS=1
P=0480 | X=0109.010-0396.380 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5rn, cách đường giao thông từ >500m
P=0480 | X=0109.010-0170.130 | Y=0206.710-0217.950 | đến ≤1.000m.
P=0480 | X=0109.010-0332.190 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0480 | X=0109.010-0399.100 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cây Dầu
P=0480 | X=0109.010-0403.180 | Y=0253.750-0264.990 | đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Lý Thái Tổ có hiện
P=0480 | X=0109.010-0280.790 | Y=0265.270-0276.510 | trạng là đường nhựa, bê tông xi măng:
P=0480 | X=0090.740-0107.380 | Y=0273.150-0282.470 | 200
P=0480 | X=0449.450-0466.090 | Y=0273.150-0282.470 | 220
P=0480 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 200
P=0480 | X=0109.010-0394.820 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0480 | X=0109.010-0332.650 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0480 | X=0109.010-0394.270 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0480 | X=0109.010-0407.660 | Y=0329.860-0341.100 | Đường Cây Dầu đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Lý
P=0480 | X=0109.010-0352.580 | Y=0341.380-0352.620 | Thái Tổ có hiện trạng là đường nhựa, bê tông xi măng:
P=0480 | X=0090.740-0107.380 | Y=0349.260-0358.580 | 201
P=0480 | X=0449.450-0466.090 | Y=0349.260-0358.580 | 450
P=0480 | X=0505.390-0522.030 | Y=0349.260-0358.580 | 400
P=0480 | X=0109.010-0340.100 | Y=0358.900-0370.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0480 | X=0109.010-0386.200 | Y=0376.200-0387.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0480 | X=0109.010-0394.270 | Y=0394.200-0405.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0480 | X=0109.010-0407.660 | Y=0405.720-0416.960 | Đường Cây Dầu đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Lý
P=0480 | X=0109.010-0352.600 | Y=0417.240-0428.480 | Thái Tổ có hiện trạng là đường nhựa, bê tông xi măng:
P=0480 | X=0090.740-0340.560 | Y=0434.760-0449.080 | 202 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0480 | X=0449.450-0466.090 | Y=0439.760-0449.080 | 350
P=0480 | X=0505.390-0522.030 | Y=0439.760-0449.080 | 320
P=0480 | X=0109.010-0395.900 | Y=0452.300-0463.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0480 | X=0109.010-0170.130 | Y=0463.820-0475.060 | đến ≤1.000m.
P=0480 | X=0109.010-0332.180 | Y=0481.340-0492.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0480 | X=0109.010-0394.270 | Y=0499.340-0510.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0480 | X=0109.010-0407.660 | Y=0510.860-0522.100 | Đường Cây Dầu đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Lý
P=0480 | X=0109.010-0352.580 | Y=0522.380-0533.620 | Thái Tổ có hiện trạng là đường nhựa, bê tông xi măng:
P=0480 | X=0090.740-0107.380 | Y=0530.260-0539.580 | 203
P=0480 | X=0449.450-0466.090 | Y=0530.260-0539.580 | 220
P=0480 | X=0505.390-0522.030 | Y=0530.260-0539.580 | 200
P=0480 | X=0109.010-0394.860 | Y=0539.930-0551.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0480 | X=0109.010-0332.650 | Y=0557.450-0568.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0480 | X=0211.750-0304.760 | Y=0575.450-0586.690 | Đường Cây Dầu đến
P=0480 | X=0312.840-0404.620 | Y=0581.210-0592.450 | Hết ranh thửa đất số
P=0480 | X=0211.750-0301.880 | Y=0586.970-0598.210 | hết ranh thửa đất số
P=0480 | X=0312.840-0402.940 | Y=0592.490-0603.730 | 397, tờ BĐĐC số 33
P=0480 | X=0090.740-0301.880 | Y=0598.250-0609.490 | 204 Đường Đào Thị Phấn 535, tờ BĐĐC số 33
P=0480 | X=0449.450-0466.090 | Y=0600.130-0609.450 | 670
P=0480 | X=0505.390-0522.030 | Y=0600.130-0609.450 | 600
P=0480 | X=0312.840-0403.620 | Y=0604.010-0615.250 | về bên trái, xã Nhơn
P=0480 | X=0211.750-0304.720 | Y=0609.770-0621.010 | về bên phải xã Nhơn
P=0480 | X=0312.840-0338.600 | Y=0617.410-0626.730 | Trạch
P=0480 | X=0211.750-0237.540 | Y=0623.190-0632.510 | Trạch
P=0480 | X=0109.010-0395.260 | Y=0639.310-0650.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đào Thị
P=0480 | X=0109.010-0392.440 | Y=0650.830-0662.070 | Phấn đoạn từ Đường Cây Dầu đến hết ranh thửa đất số 535, tờ
P=0480 | X=0109.010-0402.460 | Y=0662.350-0673.590 | BĐĐC số 33 về bên phải xã Nhơn Trạch đến Hết ranh thửa đất số
P=0480 | X=0090.740-0392.130 | Y=0673.110-0685.110 | 205 397, tờ BĐĐC số 33 về bên trái, xã Nhơn Trạch có hiện trạng là
P=0480 | X=0449.450-0466.090 | Y=0673.110-0682.430 | 450
P=0480 | X=0505.390-0522.030 | Y=0673.110-0682.430 | 400
P=0480 | X=0109.010-0244.760 | Y=0685.390-0696.630 | đường nhựa, bê tông xi măng:
P=0480 | X=0109.010-0340.090 | Y=0702.930-0714.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0481 | X=0109.010-0386.200 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0481 | X=0109.010-0395.260 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đào Thị
P=0481 | X=0109.010-0392.810 | Y=0108.260-0119.500 | Phấn đoạn từ Đường Cây Dầu đến hết ranh thửa đất số 535, từ
P=0481 | X=0109.010-0402.460 | Y=0119.810-0131.050 | BĐĐC số 33 về bên phải xã Nhơn Trạch đến Hết ranh thửa đất số
P=0481 | X=0109.010-0392.130 | Y=0131.330-0142.570 | 397, tờ BĐĐC số 33 về bên trái, xã Nhơn Trạch có hiện trạng là
P=0481 | X=0109.010-0244.760 | Y=0142.850-0154.090 | đường nhựa, bê tông xi măng:
P=0481 | X=0090.740-0107.380 | Y=0153.610-0162.930 | 206
P=0481 | X=0449.450-0466.090 | Y=0153.610-0162.930 | 350
P=0481 | X=0505.390-0522.030 | Y=0153.610-0162.930 | 320
P=0481 | X=0109.010-0340.560 | Y=0160.370-0171.610 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0481 | X=0109.010-0395.900 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0481 | X=0109.010-0170.130 | Y=0189.170-0200.410 | đến ≤1.000m.
P=0481 | X=0109.010-0332.180 | Y=0206.710-0217.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0481 | X=0109.010-0395.260 | Y=0224.710-0235.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đào Thị
P=0481 | X=0109.010-0392.440 | Y=0236.230-0247.470 | Phấn đoạn từ Đường Cây Dầu đến hết ranh thửa đất số 535, tờ
P=0481 | X=0109.010-0402.460 | Y=0247.750-0258.990 | BĐĐC số 33 về bên phải xã Nhơn Trạch đến Hết ranh thửa đất số
P=0481 | X=0109.010-0392.130 | Y=0259.270-0270.510 | 397, tờ BĐĐC số 33 về bên trái, xã Nhơn Trạch có hiện trạng là
P=0481 | X=0090.740-0107.380 | Y=0267.150-0276.470 | 207
P=0481 | X=0449.450-0466.090 | Y=0267.150-0276.470 | 220
P=0481 | X=0505.390-0522.030 | Y=0267.150-0276.470 | 200
P=0481 | X=0109.010-0244.760 | Y=0270.790-0282.030 | đường nhựa, bê tông xi măng:
P=0481 | X=0109.010-0394.820 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0481 | X=0109.010-0332.650 | Y=0305.860-0317.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0481 | X=0109.010-0394.270 | Y=0323.860-0335.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0481 | X=0109.010-0400.540 | Y=0335.380-0346.620 | Đường Đào Thị Phấn đoạn từ Đường Cây Dầu đến hết ranh thửa
P=0481 | X=0109.010-0412.060 | Y=0346.900-0358.140 | đất số 535, tờ BĐĐC số 33 về bên phải xã Nhơn Trạch đến hết ranh
P=0481 | X=0109.010-0409.420 | Y=0358.180-0369.420 | thửa đất số 397, tờ BĐĐC số 33 về bên trái, xã Nhơn Trạch có hiện
P=0481 | X=0090.740-0107.380 | Y=0366.060-0375.380 | 208
P=0481 | X=0449.450-0466.090 | Y=0366.060-0375.380 | 450
P=0481 | X=0505.390-0522.030 | Y=0366.060-0375.380 | 400
P=0481 | X=0109.010-0280.790 | Y=0369.720-0380.960 | trạng là đường nhựa, bê tông xi măng:
P=0481 | X=0109.010-0340.090 | Y=0387.240-0398.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0481 | X=0109.010-0386.200 | Y=0404.760-0416.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0481 | X=0109.010-0394.270 | Y=0422.760-0434.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0481 | X=0109.010-0400.540 | Y=0434.280-0445.520 | Đường Đào Thị Phấn đoạn từ Đường Cây Dầu đến hết ranh thửa
P=0481 | X=0109.010-0413.740 | Y=0445.800-0457.040 | đất số 535, tờ BĐĐC số 33 về bên phải xã Nhơn Trạch đến Hết ranh
P=0481 | X=0109.010-0409.420 | Y=0457.340-0468.580 | thửa đất số 397, tờ BĐĐC số 33 về bên trái, xã Nhơn Trạch có hiện
P=0481 | X=0109.010-0280.790 | Y=0468.860-0480.100 | trạng là đường nhựa, bê tông xi măng:
P=0481 | X=0090.740-0107.380 | Y=0479.620-0488.940 | 209
P=0481 | X=0449.450-0466.090 | Y=0479.620-0488.940 | 350
P=0481 | X=0505.390-0522.030 | Y=0479.620-0488.940 | 320
P=0481 | X=0109.010-0340.560 | Y=0486.380-0497.620 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0481 | X=0109.010-0395.900 | Y=0503.900-0515.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0481 | X=0109.010-0170.130 | Y=0515.420-0526.660 | đến ≤1.000m.
P=0481 | X=0109.010-0332.180 | Y=0532.970-0544.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0481 | X=0109.010-0394.270 | Y=0550.970-0562.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0481 | X=0109.010-0400.540 | Y=0562.250-0573.490 | Đường Đào Thị Phấn đoạn từ Đường Cây Dầu đến hết ranh thửa
P=0481 | X=0109.010-0413.740 | Y=0573.770-0585.010 | đất số 535, tờ BĐĐC số 33 về bên phải xã Nhơn Trạch đến Hết ranh
P=0481 | X=0109.010-0409.420 | Y=0585.290-0596.530 | thửa đất số 397, tờ BĐĐC số 33 về bên trái, xã Nhơn Trạch có hiện
P=0481 | X=0090.740-0107.380 | Y=0593.170-0602.490 | 210
P=0481 | X=0449.450-0466.090 | Y=0593.170-0602.490 | 220
P=0481 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 200
P=0481 | X=0109.010-0280.790 | Y=0596.810-0608.050 | trạng là đường nhựa, bê tông xi măng:
P=0481 | X=0109.010-0391.940 | Y=0614.330-0625.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông>1.000m.
P=0481 | X=0109.010-0332.650 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0481 | X=0109.010-0204.710 | Y=0649.870-0661.110 | Đường Trần Thị Nhạt
P=0481 | X=0090.740-0293.700 | Y=0661.390-0672.630 | 211 (đường dốc nhà thờ Đường Lý Thái Tổ
P=0481 | X=0312.840-0408.460 | Y=0661.390-0672.630 | Đường Đào Thị Phấn
P=0481 | X=0449.450-0466.090 | Y=0663.270-0672.590 | 600
P=0481 | X=0505.390-0522.030 | Y=0663.270-0672.590 | 530
P=0481 | X=0109.010-0148.130 | Y=0674.790-0684.110 | Phú Hội)
P=0481 | X=0109.010-0397.410 | Y=0690.910-0702.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Thị
P=0481 | X=0090.740-0107.380 | Y=0698.550-0707.870 | 212
P=0481 | X=0449.450-0466.090 | Y=0698.550-0707.870 | 400
P=0481 | X=0505.390-0522.030 | Y=0698.550-0707.870 | 360
P=0481 | X=0109.010-0405.340 | Y=0702.450-0713.690 | Nhạt (đường dốc nhà thờ Phú Hội) đoạn từ Đường Lý Thái Tổ đến
P=0482 | X=0109.010-0383.710 | Y=0072.740-0083.980 | Đường Đào Thị Phấn có hiện trạng là đường nhựa, bê tông xi
P=0482 | X=0109.010-0137.010 | Y=0084.260-0095.500 | măng:
P=0482 | X=0109.010-0340.090 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0482 | X=0109.010-0386.200 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0482 | X=0109.010-0397.410 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Thị
P=0482 | X=0109.010-0405.340 | Y=0148.850-0160.090 | Nhạt (đường dốc nhà thờ Phú Hội) đoạn từ Đường Lý Thái Tổ đến
P=0482 | X=0109.010-0383.710 | Y=0160.370-0171.610 | Đường Đào Thị Phấn có hiện trạng là đường nhựa, bê tông xi
P=0482 | X=0109.010-0137.010 | Y=0171.650-0182.890 | măng:
P=0482 | X=0090.740-0340.570 | Y=0188.410-0200.410 | 213 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0482 | X=0449.450-0466.090 | Y=0188.410-0197.730 | 290
P=0482 | X=0505.390-0522.030 | Y=0188.410-0197.730 | 250
P=0482 | X=0109.010-0395.900 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0482 | X=0109.010-0170.130 | Y=0218.230-0229.470 | đến ≤1.000m.
P=0482 | X=0109.010-0332.180 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0482 | X=0109.010-0397.410 | Y=0253.750-0264.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Thị
P=0482 | X=0109.010-0405.340 | Y=0265.270-0276.510 | Nhạt (đường dốc nhà thờ Phú Hội) đoạn từ Đường Lý Thái Tổ đến
P=0482 | X=0109.010-0383.710 | Y=0276.790-0288.030 | Đường Đào Thị Phấn có hiện trạng là đường nhựa, bê tông xi
P=0482 | X=0090.740-0137.010 | Y=0288.340-0299.780 | 214 măng:
P=0482 | X=0449.450-0466.090 | Y=0290.460-0299.780 | 180
P=0482 | X=0505.390-0522.030 | Y=0290.460-0299.780 | 180
P=0482 | X=0109.010-0394.820 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0482 | X=0109.010-0332.650 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0482 | X=0109.010-0394.300 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0482 | X=0109.010-0410.140 | Y=0352.900-0364.140 | Đường Trần Thị Nhạt (đường dốc nhà thờ Phú Hội) đoạn từ Đường
P=0482 | X=0109.010-0407.110 | Y=0364.180-0375.420 | Lý Thái Tổ đến Đường Đào Thị Phấn có hiện trạng là đường nhựa,
P=0482 | X=0090.740-0183.090 | Y=0375.720-0387.160 | 215 bê tông xi măng:
P=0482 | X=0449.450-0466.090 | Y=0377.840-0387.160 | 400
P=0482 | X=0505.390-0522.030 | Y=0377.840-0387.160 | 360
P=0482 | X=0109.010-0340.090 | Y=0393.240-0404.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0482 | X=0109.010-0386.200 | Y=0410.760-0422.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0482 | X=0109.010-0394.270 | Y=0428.760-0440.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0482 | X=0109.010-0410.140 | Y=0440.280-0451.520 | Đường Trần Thị Nhạt (đường dốc nhà thờ Phú Hội) đoạn từ Đường
P=0482 | X=0109.010-0407.110 | Y=0451.820-0463.060 | Lý Thái Tổ đến Đường Đào Thị Phấn có hiện trạng là đường nhựa,
P=0482 | X=0109.010-0183.090 | Y=0463.340-0474.580 | bê tông xi măng:
P=0482 | X=0090.740-0340.580 | Y=0479.860-0492.100 | 216 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0482 | X=0449.450-0466.090 | Y=0479.860-0489.180 | 290
P=0482 | X=0505.390-0522.030 | Y=0479.860-0489.180 | 250
P=0482 | X=0109.010-0395.900 | Y=0498.380-0509.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0482 | X=0109.010-0170.130 | Y=0509.900-0521.140 | đến ≤1.000m.
P=0482 | X=0109.010-0332.180 | Y=0527.420-0538.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0482 | X=0109.010-0394.270 | Y=0545.450-0556.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0482 | X=0109.010-0410.140 | Y=0556.970-0568.210 | Đường Trần Thị Nhạt (đường dốc nhà thờ Phú Hội) đoạn từ Đường
P=0482 | X=0109.010-0407.110 | Y=0568.250-0579.490 | Lý Thái Tổ đến Đường Đào Thị Phấn có hiện trạng là đường nhựa,
P=0482 | X=0090.740-0183.090 | Y=0579.770-0591.210 | 217 bê tông xi măng:
P=0482 | X=0449.450-0466.090 | Y=0581.890-0591.210 | 180
P=0482 | X=0505.390-0522.030 | Y=0581.890-0591.210 | 180
P=0482 | X=0109.010-0394.820 | Y=0597.290-0608.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0482 | X=0109.010-0332.650 | Y=0614.810-0626.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0482 | X=0312.840-0404.620 | Y=0632.830-0644.070 | Hết ranh thửa đất số
P=0482 | X=0312.840-0402.940 | Y=0644.350-0655.590 | 190, tờ BĐĐC số 30
P=0482 | X=0312.840-0412.540 | Y=0657.750-0667.070 | về bên trái và hết ranh
P=0482 | X=0090.740-0156.660 | Y=0661.630-0672.870 | 218 Đường Bờ
P=0482 | X=0211.750-0293.700 | Y=0661.630-0672.870 | Đường Lý Thái Tổ
P=0482 | X=0449.450-0466.090 | Y=0663.510-0672.830 | 600
P=0482 | X=0505.390-0522.030 | Y=0663.510-0672.830 | 530
P=0482 | X=0312.840-0397.960 | Y=0667.390-0678.630 | thửa đất số 179, tờ
P=0482 | X=0312.840-0401.500 | Y=0678.910-0690.150 | BĐĐC số 30 về bên
P=0482 | X=0312.840-0331.640 | Y=0692.310-0701.630 | phải
P=0482 | X=0090.740-0410.810 | Y=0708.450-0719.690 | 219 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bờ đoạn từ
P=0482 | X=0449.450-0466.090 | Y=0710.340-0719.660 | 400
P=0482 | X=0505.390-0522.030 | Y=0710.340-0719.660 | 360
P=0483 | X=0109.010-0410.870 | Y=0072.740-0083.980 | Đường Lý Thái Tổ đến Hết ranh thửa đất số 190, tờ BĐĐC số 30 về
P=0483 | X=0109.010-0409.400 | Y=0084.260-0095.500 | bên trái và hết ranh thửa đất số 179, tờ BĐĐC số 30 về bên phải có
P=0483 | X=0109.010-0302.620 | Y=0095.780-0107.020 | hiện trạng là đường nhựa, bê tông xi măng:
P=0483 | X=0109.010-0340.120 | Y=0113.300-0124.540 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0483 | X=0109.010-0386.200 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0483 | X=0109.010-0410.810 | Y=0148.850-0160.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bờ đoạn từ
P=0483 | X=0109.010-0410.870 | Y=0160.370-0171.610 | Đường Lý Thái Tổ đến Hết ranh thửa đất số 190, tờ BĐĐC số 30 về
P=0483 | X=0109.010-0409.400 | Y=0171.650-0182.890 | bên trái và hết ranh thửa đất số 179, tờ BĐĐC số 30 về bên phải có
P=0483 | X=0109.010-0302.620 | Y=0183.170-0194.410 | hiện trạng là đường nhựa, bê tông xi măng:
P=0483 | X=0090.740-0340.560 | Y=0199.950-0211.950 | 220 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0483 | X=0449.450-0466.090 | Y=0199.950-0209.270 | 290
P=0483 | X=0505.390-0522.030 | Y=0199.950-0209.270 | 250
P=0483 | X=0109.010-0395.900 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0483 | X=0109.010-0170.130 | Y=0229.750-0240.990 | đến ≤1.000m.
P=0483 | X=0109.010-0332.180 | Y=0247.270-0258.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0483 | X=0109.010-0410.810 | Y=0265.270-0276.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bờ đoạn từ
P=0483 | X=0109.010-0410.870 | Y=0276.790-0288.030 | Đường Lý Thái Tổ đến Hết ranh thửa đất số 190, tờ BĐĐC số 30 về
P=0483 | X=0109.010-0409.400 | Y=0288.340-0299.580 | bên trái và hết ranh thửa đất số 179, tờ BĐĐC số 30 về bên phải có
P=0483 | X=0090.740-0302.620 | Y=0299.860-0311.300 | 221 hiện trạng là đường nhựa, bê tông xi măng:
P=0483 | X=0449.450-0466.090 | Y=0301.980-0311.300 | 180
P=0483 | X=0505.390-0522.030 | Y=0301.980-0311.300 | 180
P=0483 | X=0109.010-0394.820 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0483 | X=0109.010-0332.650 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0483 | X=0109.010-0394.270 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0483 | X=0109.010-0412.870 | Y=0364.180-0375.420 | Đường Bờ đoạn từ Đường Lý Thái Tổ đến hết ranh thửa đất số 190,
P=0483 | X=0109.010-0411.350 | Y=0375.720-0386.960 | tờ BĐĐC số 30 về bên trái và hết ranh thửa đất số 179, tờ BĐĐC số
P=0483 | X=0090.740-0384.280 | Y=0387.240-0398.680 | 222 30 về bên phải có hiện trạng là đường nhựa, bê tông xi măng:
P=0483 | X=0449.450-0466.090 | Y=0389.360-0398.680 | 400
P=0483 | X=0505.390-0522.030 | Y=0389.360-0398.680 | 360
P=0483 | X=0109.010-0340.120 | Y=0404.760-0416.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0483 | X=0109.010-0386.200 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0483 | X=0109.010-0394.270 | Y=0440.280-0451.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0483 | X=0109.010-0392.380 | Y=0451.820-0463.060 | Đường Bờ đoạn từ Đường Lý Thái Tổ đến Hết ranh thửa đất số
P=0483 | X=0109.010-0389.080 | Y=0463.340-0474.580 | 190, tờ BĐĐC số 30 về bên trái và hết ranh thửa đất số 179, tờ
P=0483 | X=0109.010-0398.120 | Y=0474.860-0486.100 | BĐĐC số 30 về bên phải có hiện trạng là đường nhựa, bê tông xi
P=0483 | X=0109.010-0137.010 | Y=0486.380-0497.620 | măng:
P=0483 | X=0090.740-0107.380 | Y=0497.140-0506.460 | 223
P=0483 | X=0449.450-0466.090 | Y=0497.140-0506.460 | 290
P=0483 | X=0505.390-0522.030 | Y=0497.140-0506.460 | 250
P=0483 | X=0109.010-0340.560 | Y=0503.900-0515.140 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0483 | X=0109.010-0395.900 | Y=0521.420-0532.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0483 | X=0109.010-0170.130 | Y=0532.970-0544.210 | đến ≤1.000m.
P=0483 | X=0109.010-0332.180 | Y=0550.250-0561.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0483 | X=0109.010-0394.270 | Y=0568.250-0579.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0483 | X=0109.010-0392.380 | Y=0579.770-0591.010 | Đường Bờ đoạn từ Đường Lý Thái Tổ đến Hết ranh thửa đất số
P=0483 | X=0109.010-0389.080 | Y=0591.290-0602.530 | 190, tờ BĐĐC số 30 về bên trái và hết ranh thửa đất số 179, tờ
P=0483 | X=0109.010-0398.120 | Y=0602.810-0614.050 | BĐĐC số 30 về bên phải có hiện trạng là đường nhựa, bê tông xi
P=0483 | X=0090.740-0107.380 | Y=0610.690-0620.010 | 224
P=0483 | X=0449.450-0466.090 | Y=0610.690-0620.010 | 180
P=0483 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 180
P=0483 | X=0109.010-0137.010 | Y=0614.330-0625.570 | măng:
P=0483 | X=0109.010-0394.820 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0483 | X=0109.010-0332.650 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0483 | X=0312.840-0406.380 | Y=0669.270-0678.590 | Ngã ba (bên phải hết
P=0483 | X=0109.010-0204.160 | Y=0678.910-0690.150 | Đường vào Đình Phú
P=0483 | X=0312.840-0408.540 | Y=0678.910-0690.150 | ranh thửa đất số 271,
P=0483 | X=0211.750-0293.700 | Y=0684.670-0695.910 | Đường Lý Thái Tổ
P=0483 | X=0090.740-0107.380 | Y=0686.550-0695.870 | 225
P=0483 | X=0449.450-0466.090 | Y=0686.550-0695.870 | 600
P=0483 | X=0505.390-0522.030 | Y=0686.550-0695.870 | 530
P=0483 | X=0312.840-0402.940 | Y=0690.430-0701.670 | tờ BĐĐC số 21; bên
P=0483 | X=0109.010-0130.930 | Y=0692.310-0701.630 | Mỹ 2
P=0483 | X=0312.840-0406.390 | Y=0701.970-0713.210 | trái hết ranh thửa đất
P=0484 | X=0312.840-0413.350 | Y=0072.740-0083.980 | số 150, tờ BĐĐC số 6,
P=0484 | X=0312.840-0382.940 | Y=0084.260-0095.500 | xã Nhơn Trạch)
P=0484 | X=0109.010-0400.290 | Y=0102.260-0113.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào Đình
P=0484 | X=0109.010-0411.580 | Y=0113.780-0125.020 | Phú Mỹ 2 đoạn từ Đường Lý Thái Tổ đến Ngã ba (bên phải hết ranh
P=0484 | X=0109.010-0406.390 | Y=0125.330-0136.570 | thửa đất số 271, tờ BĐĐC số 21; bên trái hết ranh thửa đất số 150,
P=0484 | X=0109.010-0393.580 | Y=0136.850-0148.090 | tờ BĐĐC số 6, xã Nhơn Trạch) có hiện trạng là đường nhựa, bê
