TABLE=025 | AREA=Xã Xuân Hòa | SECTION=agricultural | SEGMENTS=1
P=0899 | X=0094.820-0342.500 | Y=0631.870-0646.190 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0899 | X=0454.730-0471.370 | Y=0636.870-0646.190 | 290
P=0899 | X=0505.390-0522.030 | Y=0636.870-0646.190 | 180
P=0899 | X=0110.930-0417.350 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0899 | X=0110.930-0152.610 | Y=0660.910-0672.150 | ≤1.000m.
P=0899 | X=0110.930-0334.100 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0899 | X=0110.930-0396.190 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0899 | X=0094.820-0105.940 | Y=0703.860-0713.180 | 63
P=0899 | X=0454.730-0471.370 | Y=0703.860-0713.180 | 200
P=0899 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 130
P=0899 | X=0110.930-0407.550 | Y=0707.730-0718.970 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 +
P=0900 | X=0110.930-0345.610 | Y=0072.500-0083.740 | 100m có hiện trạng là đường nhựa, bê tông xi măng:
P=0900 | X=0110.930-0396.740 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0900 | X=0110.930-0334.570 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0900 | X=0110.930-0231.030 | Y=0125.330-0136.570 | Đường Xuân Tâm đi Trảng
P=0900 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 64
P=0900 | X=0237.220-0316.420 | Y=0132.970-0142.290 | Quốc lộ 1 + 100m
P=0900 | X=0327.240-0406.460 | Y=0132.970-0142.290 | Quốc lộ 1 + 400m
P=0900 | X=0454.730-0471.370 | Y=0132.970-0142.290 | 500
P=0900 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 370
P=0900 | X=0110.930-0128.290 | Y=0138.730-0148.050 | Táo
P=0900 | X=0110.930-0408.110 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0900 | X=0110.930-0402.180 | Y=0166.130-0177.370 | đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc lộ 1 + 400m có
P=0900 | X=0110.930-0304.540 | Y=0177.410-0188.650 | hiện trạng là đường nhựa, bê tông xi măng:
P=0900 | X=0094.820-0105.940 | Y=0185.290-0194.610 | 65
P=0900 | X=0454.730-0471.370 | Y=0185.290-0194.610 | 350
P=0900 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 230
P=0900 | X=0110.930-0342.010 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0900 | X=0110.930-0388.120 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0900 | X=0110.930-0408.110 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0900 | X=0110.930-0402.180 | Y=0241.750-0252.990 | đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc lộ 1 + 400m có
P=0900 | X=0110.930-0304.540 | Y=0253.270-0264.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0900 | X=0094.820-0342.480 | Y=0270.790-0284.870 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0900 | X=0454.730-0471.370 | Y=0275.550-0284.870 | 290
P=0900 | X=0505.390-0522.030 | Y=0275.550-0284.870 | 180
P=0900 | X=0110.930-0417.350 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0900 | X=0110.930-0152.610 | Y=0299.860-0311.100 | ≤1.000m.
P=0900 | X=0110.930-0334.100 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0900 | X=0110.930-0408.110 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0900 | X=0110.930-0402.180 | Y=0346.660-0357.900 | đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc lộ 1 + 400m có
P=0900 | X=0110.930-0304.540 | Y=0357.940-0369.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=0900 | X=0094.820-0105.940 | Y=0365.820-0375.140 | 67
P=0900 | X=0454.730-0471.370 | Y=0365.820-0375.140 | 200
P=0900 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 130
P=0900 | X=0110.930-0396.740 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0900 | X=0110.930-0334.570 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0900 | X=0110.930-0396.190 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0900 | X=0110.930-0416.540 | Y=0422.280-0433.520 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc
P=0900 | X=0110.930-0372.980 | Y=0433.800-0445.040 | lộ 1 + 400m có hiện trạng là đường nhựa, bê tông xi măng:
P=0900 | X=0094.820-0105.940 | Y=0441.680-0451.000 | 68
P=0900 | X=0454.730-0471.370 | Y=0441.680-0451.000 | 350
P=0900 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 230
P=0900 | X=0110.930-0342.010 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0900 | X=0110.930-0388.120 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0900 | X=0110.930-0396.220 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0900 | X=0110.930-0416.540 | Y=0498.140-0509.380 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc
P=0900 | X=0110.930-0372.980 | Y=0509.660-0520.900 | lộ 1 + 400m có hiện trạng là đường nhựa, bê tông xi măng:
P=0900 | X=0094.820-0342.480 | Y=0527.180-0541.260 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0900 | X=0454.730-0471.370 | Y=0531.940-0541.260 | 290
P=0900 | X=0505.390-0522.030 | Y=0531.940-0541.260 | 180
P=0900 | X=0110.930-0417.350 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0900 | X=0110.930-0152.610 | Y=0556.010-0567.250 | ≤1.000m.
P=0900 | X=0110.930-0334.100 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0900 | X=0110.930-0396.190 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0900 | X=0110.930-0416.540 | Y=0602.810-0614.050 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 100m đến Quốc
P=0900 | X=0110.930-0372.980 | Y=0614.330-0625.570 | lộ 1 + 400m có hiện trạng là đường nhựa, bê tông xi măng:
P=0900 | X=0094.820-0105.940 | Y=0622.230-0631.550 | 70
P=0900 | X=0454.730-0471.370 | Y=0622.230-0631.550 | 200
P=0900 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 130
P=0900 | X=0110.930-0396.740 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0900 | X=0110.930-0334.570 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0900 | X=0110.930-0231.030 | Y=0667.150-0678.390 | Đường Xuân Tâm đi Trảng
P=0900 | X=0327.240-0406.540 | Y=0669.030-0678.350 | Qua nhà máy cồn
P=0900 | X=0094.820-0105.940 | Y=0674.790-0684.110 | 71
P=0900 | X=0237.220-0316.420 | Y=0674.790-0684.110 | Quốc lộ 1 + 400m
P=0900 | X=0454.730-0471.370 | Y=0674.790-0684.110 | 500
P=0900 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 370
P=0900 | X=0110.930-0128.290 | Y=0680.550-0689.870 | Táo
P=0900 | X=0327.240-0352.200 | Y=0680.550-0689.870 | 200m
P=0900 | X=0110.930-0408.110 | Y=0696.430-0707.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0900 | X=0094.820-0105.940 | Y=0704.100-0713.420 | 72
P=0900 | X=0454.730-0471.370 | Y=0704.100-0713.420 | 350
P=0900 | X=0505.390-0522.030 | Y=0704.100-0713.420 | 230
P=0900 | X=0110.930-0415.830 | Y=0707.970-0719.210 | đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua nhà máy cồn 200m
P=0901 | X=0110.930-0317.780 | Y=0072.500-0083.740 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0901 | X=0110.930-0342.010 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0901 | X=0110.930-0388.120 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0901 | X=0110.930-0408.110 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0901 | X=0110.930-0415.830 | Y=0136.850-0148.090 | đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua nhà máy cồn 200m
P=0901 | X=0110.930-0317.780 | Y=0148.370-0159.610 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0901 | X=0094.820-0342.480 | Y=0165.650-0179.970 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0901 | X=0454.730-0471.370 | Y=0170.650-0179.970 | 290
P=0901 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 180
P=0901 | X=0110.930-0417.350 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0901 | X=0110.930-0152.610 | Y=0194.690-0205.930 | ≤1.000m.
P=0901 | X=0110.930-0334.100 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0901 | X=0110.930-0408.110 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0901 | X=0110.930-0415.830 | Y=0241.510-0252.750 | đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua nhà máy cồn 200m
P=0901 | X=0110.930-0317.780 | Y=0253.030-0264.270 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0901 | X=0094.820-0105.940 | Y=0260.910-0270.230 | 74
P=0901 | X=0454.730-0471.370 | Y=0260.910-0270.230 | 200
P=0901 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 130
P=0901 | X=0110.930-0396.740 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0901 | X=0110.930-0334.570 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0901 | X=0110.930-0396.190 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0901 | X=0110.930-0411.580 | Y=0317.380-0328.620 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua
P=0901 | X=0110.930-0405.640 | Y=0328.900-0340.140 | nhà máy cồn 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=0901 | X=0094.820-0105.940 | Y=0336.780-0346.100 | 75
P=0901 | X=0454.730-0471.370 | Y=0336.780-0346.100 | 350
P=0901 | X=0505.390-0522.030 | Y=0336.780-0346.100 | 230
P=0901 | X=0110.930-0342.010 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0901 | X=0110.930-0388.120 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0901 | X=0110.930-0396.190 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0901 | X=0110.930-0411.580 | Y=0393.000-0404.240 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua
P=0901 | X=0110.930-0405.630 | Y=0404.520-0415.760 | nhà máy cồn 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=0901 | X=0094.820-0342.480 | Y=0422.040-0436.360 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0901 | X=0454.730-0471.370 | Y=0427.040-0436.360 | 290
P=0901 | X=0505.390-0522.030 | Y=0427.040-0436.360 | 180
P=0901 | X=0110.930-0417.350 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0901 | X=0110.930-0152.610 | Y=0451.100-0462.340 | ≤1.000m.
P=0901 | X=0110.930-0334.100 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0901 | X=0110.930-0396.190 | Y=0486.380-0497.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0901 | X=0110.930-0411.580 | Y=0497.900-0509.140 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 + 400m đến Qua
P=0901 | X=0110.930-0405.630 | Y=0509.420-0520.660 | nhà máy cồn 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=0901 | X=0094.820-0105.940 | Y=0517.300-0526.620 | 77
P=0901 | X=0454.730-0471.370 | Y=0517.300-0526.620 | 200
P=0901 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 130
P=0901 | X=0110.930-0396.740 | Y=0526.940-0538.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0901 | X=0110.930-0334.570 | Y=0544.250-0555.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0901 | X=0110.930-0316.520 | Y=0562.010-0573.250 | Đường Xuân Tâm đi Trảng Qua nhà máy cồn
P=0901 | X=0327.240-0409.890 | Y=0563.890-0573.210 | Ranh giới xã Xuân
P=0901 | X=0094.820-0105.940 | Y=0569.650-0578.970 | 78
P=0901 | X=0454.730-0471.370 | Y=0569.650-0578.970 | 500
P=0901 | X=0505.390-0522.030 | Y=0569.650-0578.970 | 370
P=0901 | X=0110.930-0128.290 | Y=0575.410-0584.730 | Táo
P=0901 | X=0237.220-0262.180 | Y=0575.410-0584.730 | 200m
P=0901 | X=0327.240-0355.650 | Y=0575.410-0584.730 | Thành
P=0901 | X=0110.930-0408.110 | Y=0591.290-0602.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0901 | X=0110.930-0393.580 | Y=0602.810-0614.050 | đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến Ranh giới xã
P=0901 | X=0110.930-0374.920 | Y=0614.330-0625.570 | Xuân Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0901 | X=0094.820-0105.940 | Y=0622.230-0631.550 | 79
P=0901 | X=0454.730-0471.370 | Y=0622.230-0631.550 | 350
P=0901 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 230
P=0901 | X=0110.930-0342.010 | Y=0631.870-0643.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0901 | X=0110.930-0388.120 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0901 | X=0110.930-0408.110 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0901 | X=0110.930-0393.580 | Y=0678.670-0689.910 | đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến Ranh giới xã
P=0901 | X=0094.820-0374.920 | Y=0689.190-0701.430 | 80 Xuân Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0901 | X=0454.730-0471.370 | Y=0689.190-0698.510 | 290
P=0901 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 180
P=0901 | X=0110.930-0342.480 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0902 | X=0110.930-0417.350 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0902 | X=0110.930-0152.610 | Y=0090.020-0101.260 | ≤1.000m.
P=0902 | X=0110.930-0334.120 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0902 | X=0110.930-0408.110 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0902 | X=0110.930-0393.580 | Y=0136.850-0148.090 | đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến Ranh giới xã
P=0902 | X=0110.930-0374.920 | Y=0148.370-0159.610 | Xuân Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0902 | X=0094.820-0105.940 | Y=0156.250-0165.570 | 81
P=0902 | X=0454.730-0471.370 | Y=0156.250-0165.570 | 200
P=0902 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 130
P=0902 | X=0110.930-0396.740 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0902 | X=0110.930-0334.570 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0902 | X=0110.930-0396.190 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0902 | X=0110.930-0417.590 | Y=0212.470-0223.710 | Đường Xuân Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến
P=0902 | X=0110.930-0403.870 | Y=0223.990-0235.230 | Ranh giới xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi
P=0902 | X=0094.820-0138.930 | Y=0235.510-0246.950 | 82 măng:
P=0902 | X=0454.730-0471.370 | Y=0237.630-0246.950 | 350
P=0902 | X=0505.390-0522.030 | Y=0237.630-0246.950 | 230
P=0902 | X=0110.930-0342.010 | Y=0253.030-0264.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0902 | X=0110.930-0388.120 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0902 | X=0110.930-0396.190 | Y=0288.340-0299.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0902 | X=0110.930-0417.590 | Y=0299.860-0311.100 | Đường Xuân Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến
P=0902 | X=0110.930-0403.870 | Y=0311.380-0322.620 | Ranh giới xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi
P=0902 | X=0110.930-0138.930 | Y=0322.900-0334.140 | măng:
P=0902 | X=0094.820-0342.480 | Y=0339.420-0351.660 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0902 | X=0454.730-0471.370 | Y=0339.420-0348.740 | 290
P=0902 | X=0505.390-0522.030 | Y=0339.420-0348.740 | 180
P=0902 | X=0110.930-0417.350 | Y=0357.700-0368.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0902 | X=0110.930-0152.610 | Y=0369.240-0380.480 | ≤1.000m.
P=0902 | X=0110.930-0334.100 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0902 | X=0110.930-0396.190 | Y=0404.520-0415.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0902 | X=0110.930-0417.590 | Y=0416.040-0427.280 | Đường Xuân Tâm đi Trảng Táo đoạn từ Qua nhà máy cồn 200m đến
P=0902 | X=0110.930-0403.870 | Y=0427.560-0438.800 | Ranh giới xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi
P=0902 | X=0094.820-0138.930 | Y=0439.080-0450.520 | 84 măng:
P=0902 | X=0454.730-0471.370 | Y=0441.200-0450.520 | 200
P=0902 | X=0505.390-0522.030 | Y=0441.200-0450.520 | 130
P=0902 | X=0110.930-0396.740 | Y=0456.620-0467.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0902 | X=0110.930-0334.570 | Y=0474.140-0485.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0902 | X=0327.240-0416.380 | Y=0491.900-0503.140 | Hết Văn phòng ấp 5
P=0902 | X=0110.930-0217.110 | Y=0497.660-0508.900 | Đường tỉnh 779 (đường
P=0902 | X=0327.240-0411.110 | Y=0503.420-0514.660 | (ngã tư đường sau
P=0902 | X=0094.820-0105.940 | Y=0505.300-0514.620 | 85
P=0902 | X=0237.220-0280.260 | Y=0505.300-0514.620 | Quốc lộ 1
P=0902 | X=0454.730-0471.370 | Y=0505.300-0514.620 | 530
P=0902 | X=0505.390-0522.030 | Y=0505.300-0514.620 | 400
P=0902 | X=0110.930-0219.210 | Y=0509.180-0520.420 | Xuân Tâm - Xuân Đông)
P=0902 | X=0327.240-0389.410 | Y=0514.940-0526.180 | chợ Xuân Đà)
P=0902 | X=0110.930-0397.670 | Y=0532.490-0543.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 779
P=0902 | X=0110.930-0396.930 | Y=0544.010-0555.250 | (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1 đến Hết Văn
P=0902 | X=0110.930-0416.630 | Y=0555.530-0566.770 | phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện trạng là đường
P=0902 | X=0094.820-0214.040 | Y=0567.050-0578.490 | 86 nhựa, bê tông xi măng:
P=0902 | X=0454.730-0471.370 | Y=0569.170-0578.490 | 380
P=0902 | X=0505.390-0522.030 | Y=0569.170-0578.490 | 250
P=0902 | X=0110.930-0342.010 | Y=0584.570-0595.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0902 | X=0110.930-0388.120 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0902 | X=0110.930-0397.670 | Y=0619.870-0631.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 779
P=0902 | X=0110.930-0396.930 | Y=0631.390-0642.630 | (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1 đến Hết Văn
P=0902 | X=0110.930-0416.630 | Y=0642.910-0654.150 | phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện trạng là đường
P=0902 | X=0110.930-0214.040 | Y=0654.430-0665.670 | nhựa, bê tông xi măng:
P=0902 | X=0094.820-0105.940 | Y=0662.310-0671.630 | 87
P=0902 | X=0454.730-0471.370 | Y=0662.310-0671.630 | 310
P=0902 | X=0505.390-0522.030 | Y=0662.310-0671.630 | 200
P=0902 | X=0110.930-0342.480 | Y=0671.950-0683.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0902 | X=0110.930-0417.350 | Y=0689.470-0700.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0902 | X=0110.930-0152.610 | Y=0700.770-0712.010 | ≤1.000m.
P=0903 | X=0110.930-0334.100 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0903 | X=0110.930-0397.670 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 779
P=0903 | X=0110.930-0396.930 | Y=0107.780-0119.020 | (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1 đến Hết Văn
P=0903 | X=0110.930-0416.630 | Y=0119.330-0130.570 | phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện trạng là đường
P=0903 | X=0094.820-0214.040 | Y=0130.850-0142.290 | 88 nhựa, bê tông xi măng:
P=0903 | X=0454.730-0471.370 | Y=0132.970-0142.290 | 220
P=0903 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 140
P=0903 | X=0110.930-0396.740 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0903 | X=0110.930-0334.570 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0903 | X=0110.930-0396.190 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0903 | X=0110.930-0411.340 | Y=0194.930-0206.170 | Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1
P=0903 | X=0110.930-0406.300 | Y=0206.470-0217.710 | đến Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện
P=0903 | X=0094.820-0282.710 | Y=0217.990-0229.430 | 89 trạng là đường nhựa, bê tông xi măng:
P=0903 | X=0454.730-0471.370 | Y=0220.110-0229.430 | 380
P=0903 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 250
P=0903 | X=0110.930-0342.010 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0903 | X=0110.930-0388.120 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0903 | X=0110.930-0396.190 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0903 | X=0110.930-0411.340 | Y=0282.340-0293.580 | Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1
P=0903 | X=0110.930-0406.300 | Y=0293.860-0305.100 | đến Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện
P=0903 | X=0110.930-0282.710 | Y=0305.380-0316.620 | trạng là đường nhựa, bê tông xi măng:
P=0903 | X=0094.820-0342.480 | Y=0321.900-0334.140 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0903 | X=0454.730-0471.370 | Y=0321.900-0331.220 | 310
P=0903 | X=0505.390-0522.030 | Y=0321.900-0331.220 | 200
P=0903 | X=0110.930-0417.350 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0903 | X=0110.930-0152.610 | Y=0351.700-0362.940 | ≤1.000m.
P=0903 | X=0110.930-0334.100 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0903 | X=0110.930-0396.190 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0903 | X=0110.930-0411.340 | Y=0398.520-0409.760 | Đường tỉnh 779 (đường Xuân Tâm - Xuân Đông) đoạn từ Quốc lộ 1
P=0903 | X=0110.930-0406.300 | Y=0410.040-0421.280 | đến Hết Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà) có hiện
P=0903 | X=0094.820-0282.710 | Y=0421.560-0433.000 | 91 trạng là đường nhựa, bê tông xi măng:
P=0903 | X=0454.730-0471.370 | Y=0423.680-0433.000 | 220
P=0903 | X=0505.390-0522.030 | Y=0423.680-0433.000 | 140
P=0903 | X=0110.930-0396.740 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0903 | X=0110.930-0334.570 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0903 | X=0237.220-0326.360 | Y=0474.380-0485.620 | Hết Văn phòng ấp 5
P=0903 | X=0110.930-0217.110 | Y=0480.140-0491.380 | Đường tỉnh 779 (đường
P=0903 | X=0327.240-0394.060 | Y=0480.140-0491.380 | Hết kho xưởng
P=0903 | X=0237.220-0321.090 | Y=0485.900-0497.140 | (ngã tư đường sau
P=0903 | X=0094.820-0105.940 | Y=0487.780-0497.100 | 92
P=0903 | X=0454.730-0471.370 | Y=0487.780-0497.100 | 530
