TABLE=021 | AREA=Phường Xuân Lập | SECTION=agricultural | SEGMENTS=1
P=0694 | X=0327.480-0422.380 | Y=0300.100-0311.340 | Đường lô 8 đi cầu Be
P=0694 | X=0457.850-0474.490 | Y=0301.980-0311.300 | 600
P=0694 | X=0505.390-0522.030 | Y=0301.980-0311.300 | 490
P=0694 | X=0234.340-0259.300 | Y=0307.740-0317.060 | 500m
P=0694 | X=0107.090-0427.660 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0694 | X=0107.090-0417.340 | Y=0335.140-0346.380 | Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8 đi cầu Be có hiện
P=0694 | X=0107.090-0278.870 | Y=0346.660-0357.900 | trạng là đường nhựa, bê tông xi măng:
P=0694 | X=0092.900-0104.020 | Y=0354.540-0363.860 | 65
P=0694 | X=0457.850-0474.490 | Y=0354.540-0363.860 | 400
P=0694 | X=0505.390-0522.030 | Y=0354.540-0363.860 | 320
P=0694 | X=0107.090-0329.560 | Y=0363.940-0375.180 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0694 | X=0107.090-0384.040 | Y=0381.480-0392.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0694 | X=0107.090-0427.660 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0694 | X=0107.090-0417.340 | Y=0410.760-0422.000 | Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8 đi cầu Be có hiện
P=0694 | X=0107.090-0278.910 | Y=0422.280-0433.520 | trạng là đường nhựa, bê tông xi măng:
P=0694 | X=0092.900-0329.790 | Y=0439.800-0454.120 | 66 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0694 | X=0457.850-0474.490 | Y=0444.800-0454.120 | 320
P=0694 | X=0505.390-0522.030 | Y=0444.800-0454.120 | 260
P=0694 | X=0107.090-0414.220 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0694 | X=0107.090-0140.130 | Y=0468.860-0480.100 | ≤600m.
P=0694 | X=0107.090-0329.800 | Y=0486.380-0497.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0694 | X=0107.090-0427.690 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0694 | X=0107.090-0417.340 | Y=0515.660-0526.900 | Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8 đi cầu Be có hiện
P=0694 | X=0107.090-0278.870 | Y=0527.180-0538.420 | trạng là đường nhựa, bê tông xi măng:
P=0694 | X=0092.900-0104.020 | Y=0535.090-0544.410 | 67
P=0694 | X=0457.850-0474.490 | Y=0535.090-0544.410 | 240
P=0694 | X=0505.390-0522.030 | Y=0535.090-0544.410 | 210
P=0694 | X=0107.090-0384.270 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0694 | X=0107.090-0330.280 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0694 | X=0107.090-0426.700 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0694 | X=0107.090-0420.450 | Y=0591.290-0602.530 | Xuân Lập - Bàu Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8 đi
P=0694 | X=0107.090-0348.000 | Y=0602.810-0614.050 | cầu Be có hiện trạng là đường nhựa, bê tông xi măng:
P=0694 | X=0092.900-0104.020 | Y=0610.690-0620.010 | 68
P=0694 | X=0457.850-0474.490 | Y=0610.690-0620.010 | 400
P=0694 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 320
P=0694 | X=0107.090-0329.560 | Y=0620.350-0631.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0694 | X=0107.090-0384.060 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0694 | X=0107.090-0426.700 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0694 | X=0107.090-0420.450 | Y=0667.150-0678.390 | Xuân Lập - Bàu Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8 đi
P=0694 | X=0092.900-0348.000 | Y=0677.670-0689.910 | 69 cầu Be có hiện trạng là đường nhựa, bê tông xi măng:
P=0694 | X=0457.850-0474.490 | Y=0677.670-0686.990 | 320
P=0694 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 260
P=0694 | X=0107.090-0329.790 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0695 | X=0107.090-0414.220 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0695 | X=0107.090-0140.130 | Y=0090.020-0101.260 | ≤600m.
P=0695 | X=0107.090-0329.800 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0695 | X=0107.090-0426.700 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0695 | X=0107.090-0420.450 | Y=0136.850-0148.090 | Xuân Lập - Bàu Sao đoạn từ Đường số 1 vào 500m đến Đường lô 8 đi
P=0695 | X=0107.090-0348.000 | Y=0148.370-0159.610 | cầu Be có hiện trạng là đường nhựa, bê tông xi măng:
P=0695 | X=0092.900-0104.020 | Y=0156.250-0165.570 | 70
P=0695 | X=0457.850-0474.490 | Y=0156.250-0165.570 | 240
P=0695 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 210
P=0695 | X=0107.090-0384.270 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0695 | X=0107.090-0332.690 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0695 | X=0234.340-0314.600 | Y=0200.950-0212.190 | Đường lô 8 đi cầu
P=0695 | X=0327.480-0404.390 | Y=0200.950-0212.190 | Hết ranh phường
P=0695 | X=0092.900-0231.510 | Y=0206.710-0217.950 | 71 Đường Xuân Lập - Bàu Sao
P=0695 | X=0457.850-0474.490 | Y=0208.590-0217.910 | 600
P=0695 | X=0505.390-0522.030 | Y=0208.590-0217.910 | 490
P=0695 | X=0234.340-0246.420 | Y=0214.350-0223.670 | Be
P=0695 | X=0327.480-0370.070 | Y=0214.350-0223.670 | Xuân Lập
P=0695 | X=0107.090-0427.660 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0695 | X=0107.090-0417.580 | Y=0241.750-0252.990 | Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh phường Xuân Lập có
P=0695 | X=0107.090-0300.700 | Y=0253.270-0264.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0695 | X=0092.900-0104.020 | Y=0261.150-0270.470 | 72
P=0695 | X=0457.850-0474.490 | Y=0261.150-0270.470 | 400
P=0695 | X=0505.390-0522.030 | Y=0261.150-0270.470 | 320
P=0695 | X=0107.090-0329.560 | Y=0270.790-0282.030 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0695 | X=0107.090-0384.040 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0695 | X=0107.090-0427.660 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0695 | X=0107.090-0417.580 | Y=0317.620-0328.860 | Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh phường Xuân Lập có
P=0695 | X=0107.090-0300.700 | Y=0329.140-0340.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=0695 | X=0092.900-0329.800 | Y=0346.660-0360.740 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0695 | X=0457.850-0474.490 | Y=0351.420-0360.740 | 320
P=0695 | X=0505.390-0522.030 | Y=0351.420-0360.740 | 260
P=0695 | X=0107.090-0414.220 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0695 | X=0107.090-0140.130 | Y=0375.480-0386.720 | ≤600m.
P=0695 | X=0107.090-0329.800 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0695 | X=0107.090-0427.660 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0695 | X=0107.090-0417.580 | Y=0422.280-0433.520 | Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh phường Xuân Lập có
P=0695 | X=0107.090-0300.700 | Y=0433.800-0445.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=0695 | X=0092.900-0104.020 | Y=0441.680-0451.000 | 74
P=0695 | X=0457.850-0474.490 | Y=0441.680-0451.000 | 240
P=0695 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 210
P=0695 | X=0107.090-0384.270 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0695 | X=0107.090-0330.280 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0695 | X=0107.090-0426.700 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0695 | X=0107.090-0393.100 | Y=0498.140-0509.380 | Xuân Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh
P=0695 | X=0107.090-0397.950 | Y=0509.660-0520.900 | phường Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0695 | X=0092.900-0104.020 | Y=0517.540-0526.860 | 75
P=0695 | X=0457.850-0474.490 | Y=0517.540-0526.860 | 400
P=0695 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 320
P=0695 | X=0107.090-0329.560 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0695 | X=0107.090-0384.040 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0695 | X=0107.090-0426.700 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0695 | X=0107.090-0393.100 | Y=0573.770-0585.010 | Xuân Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh
P=0695 | X=0107.090-0397.950 | Y=0585.290-0596.530 | phường Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0695 | X=0092.900-0329.790 | Y=0602.810-0617.130 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0695 | X=0457.850-0474.490 | Y=0607.810-0617.130 | 320
P=0695 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 260
P=0695 | X=0107.090-0414.220 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0695 | X=0107.090-0140.130 | Y=0631.870-0643.110 | ≤600m.
P=0695 | X=0107.090-0329.800 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0695 | X=0107.090-0426.700 | Y=0667.150-0678.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0695 | X=0107.090-0393.100 | Y=0678.670-0689.910 | Xuân Lập - Bàu Sao đoạn từ Đường lô 8 đi cầu Be đến Hết ranh
P=0695 | X=0092.900-0397.960 | Y=0689.190-0701.430 | 77 phường Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0695 | X=0457.850-0474.490 | Y=0689.190-0698.510 | 240
P=0695 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 210
P=0695 | X=0107.090-0384.270 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0696 | X=0107.090-0332.690 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0696 | X=0327.480-0409.900 | Y=0096.260-0107.500 | Giáp ranh phường
P=0696 | X=0234.340-0312.920 | Y=0098.140-0107.460 | Giáp ranh xã Dầu
P=0696 | X=0092.900-0184.710 | Y=0102.020-0113.260 | 78 Đường Quốc lộ 1
P=0696 | X=0457.850-0474.490 | Y=0103.900-0113.220 | 600
P=0696 | X=0505.390-0522.030 | Y=0103.900-0113.220 | 490
P=0696 | X=0234.340-0254.500 | Y=0109.660-0118.980 | Giây
P=0696 | X=0327.480-0367.100 | Y=0109.660-0118.980 | Bình Lộc
P=0696 | X=0107.090-0426.260 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc lộ 1 đoạn
P=0696 | X=0107.090-0403.190 | Y=0137.090-0148.330 | từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có hiện
P=0696 | X=0107.090-0278.870 | Y=0148.610-0159.850 | trạng là đường nhựa, bê tông xi măng:
P=0696 | X=0092.900-0104.020 | Y=0156.490-0165.810 | 79
P=0696 | X=0457.850-0474.490 | Y=0156.490-0165.810 | 400
P=0696 | X=0505.390-0522.030 | Y=0156.490-0165.810 | 320
P=0696 | X=0107.090-0329.560 | Y=0166.130-0177.370 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0696 | X=0107.090-0384.040 | Y=0183.410-0194.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0696 | X=0107.090-0426.260 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc lộ 1 đoạn
P=0696 | X=0107.090-0403.190 | Y=0212.710-0223.950 | từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có hiện
P=0696 | X=0107.090-0278.870 | Y=0224.230-0235.470 | trạng là đường nhựa, bê tông xi măng:
P=0696 | X=0092.900-0329.790 | Y=0241.750-0256.070 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0696 | X=0457.850-0474.490 | Y=0246.750-0256.070 | 320
P=0696 | X=0505.390-0522.030 | Y=0246.750-0256.070 | 260
P=0696 | X=0107.090-0414.220 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0696 | X=0107.090-0140.130 | Y=0270.790-0282.030 | ≤600m.
P=0696 | X=0107.090-0329.800 | Y=0288.340-0299.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0696 | X=0107.090-0426.260 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc lộ 1 đoạn
P=0696 | X=0107.090-0403.190 | Y=0317.620-0328.860 | từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có hiện
P=0696 | X=0107.090-0278.870 | Y=0329.140-0340.380 | trạng là đường nhựa, bê tông xi măng:
P=0696 | X=0092.900-0104.020 | Y=0337.020-0346.340 | 81
P=0696 | X=0457.850-0474.490 | Y=0337.020-0346.340 | 240
P=0696 | X=0505.390-0522.030 | Y=0337.020-0346.340 | 210
P=0696 | X=0107.090-0384.270 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0696 | X=0107.090-0330.280 | Y=0363.940-0375.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0696 | X=0107.090-0426.700 | Y=0381.720-0392.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0696 | X=0107.090-0419.730 | Y=0393.240-0404.480 | Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình
P=0696 | X=0107.090-0332.890 | Y=0404.760-0416.000 | Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0696 | X=0092.900-0104.020 | Y=0412.640-0421.960 | 82
P=0696 | X=0457.850-0474.490 | Y=0412.640-0421.960 | 400
P=0696 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 320
P=0696 | X=0107.090-0329.560 | Y=0422.280-0433.520 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0696 | X=0107.090-0384.040 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0696 | X=0107.090-0426.700 | Y=0457.580-0468.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0696 | X=0107.090-0419.730 | Y=0469.100-0480.340 | Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình
P=0696 | X=0107.090-0332.890 | Y=0480.620-0491.860 | Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0696 | X=0092.900-0329.790 | Y=0498.140-0512.220 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0696 | X=0457.850-0474.490 | Y=0502.900-0512.220 | 320
P=0696 | X=0505.390-0522.030 | Y=0502.900-0512.220 | 260
P=0696 | X=0107.090-0414.220 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0696 | X=0107.090-0140.130 | Y=0527.180-0538.420 | ≤600m.
P=0696 | X=0107.090-0329.800 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0696 | X=0107.090-0426.460 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0696 | X=0107.090-0418.050 | Y=0573.770-0585.010 | Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình
P=0696 | X=0107.090-0332.690 | Y=0585.290-0596.530 | Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0696 | X=0092.900-0104.020 | Y=0593.170-0602.490 | 84
P=0696 | X=0457.850-0474.490 | Y=0593.170-0602.490 | 240
P=0696 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 210
P=0696 | X=0107.090-0384.270 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0696 | X=0107.090-0332.690 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0696 | X=0234.340-0419.260 | Y=0638.110-0649.350 | Ranh phường Long Hết ranh thửa đất số
P=0696 | X=0092.900-0197.110 | Y=0643.870-0655.110 | 85 Đường Lê Hữu Trác
P=0696 | X=0457.850-0474.490 | Y=0645.750-0655.070 | 600
P=0696 | X=0505.390-0522.030 | Y=0645.750-0655.070 | 490
P=0696 | X=0327.480-0417.580 | Y=0649.630-0660.870 | 117, tờ BĐĐC số 31
P=0696 | X=0234.340-0263.230 | Y=0651.510-0660.830 | Khánh
P=0696 | X=0107.090-0414.610 | Y=0667.390-0678.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hữu Trác
P=0696 | X=0107.090-0411.880 | Y=0678.910-0690.150 | đoạn từ Ranh phường Long Khánh đến Hết ranh thửa đất số 117, tờ
P=0696 | X=0092.900-0372.030 | Y=0689.430-0701.670 | 86 BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=0696 | X=0457.850-0474.490 | Y=0689.430-0698.750 | 400
P=0696 | X=0505.390-0522.030 | Y=0689.430-0698.750 | 320
P=0696 | X=0107.090-0329.560 | Y=0707.970-0719.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0697 | X=0107.090-0384.040 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0697 | X=0107.090-0414.630 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hữu Trác
P=0697 | X=0107.090-0411.880 | Y=0107.780-0119.020 | đoạn từ Ranh phường Long Khánh đến Hết ranh thửa đất số 117, tờ
P=0697 | X=0107.090-0372.030 | Y=0119.330-0130.570 | BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=0697 | X=0092.900-0329.790 | Y=0136.850-0150.930 | 87 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0697 | X=0457.850-0474.490 | Y=0141.610-0150.930 | 320
P=0697 | X=0505.390-0522.030 | Y=0141.610-0150.930 | 260
P=0697 | X=0107.090-0414.220 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0697 | X=0107.090-0140.130 | Y=0165.650-0176.890 | ≤600m.
P=0697 | X=0107.090-0329.800 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0697 | X=0107.090-0414.610 | Y=0200.950-0212.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hữu Trác
P=0697 | X=0107.090-0411.880 | Y=0212.470-0223.710 | đoạn từ Ranh phường Long Khánh đến Hết ranh thửa đất số 117, tờ
P=0697 | X=0107.090-0372.030 | Y=0223.990-0235.230 | BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=0697 | X=0092.900-0104.020 | Y=0231.870-0241.190 | 88
P=0697 | X=0457.850-0474.490 | Y=0231.870-0241.190 | 240
P=0697 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 210
P=0697 | X=0107.090-0384.270 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0697 | X=0107.090-0330.280 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0697 | X=0107.090-0426.700 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0697 | X=0107.090-0423.220 | Y=0288.340-0299.580 | Lê Hữu Trác đoạn từ Ranh phường Long Khánh đến Hết ranh thửa đất
P=0697 | X=0107.090-0420.030 | Y=0299.860-0311.100 | số 117, tờ BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=0697 | X=0092.900-0104.020 | Y=0307.740-0317.060 | 89
P=0697 | X=0457.850-0474.490 | Y=0307.740-0317.060 | 400
P=0697 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 320
P=0697 | X=0107.090-0329.560 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0697 | X=0107.090-0384.040 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0697 | X=0107.090-0426.700 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0697 | X=0107.090-0423.220 | Y=0363.940-0375.180 | Lê Hữu Trác đoạn từ Ranh phường Long Khánh đến Hết ranh thửa đất
P=0697 | X=0107.090-0420.030 | Y=0375.480-0386.720 | số 117, tờ BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=0697 | X=0092.900-0329.790 | Y=0393.000-0407.320 | 90 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0697 | X=0457.850-0474.490 | Y=0398.000-0407.320 | 320
P=0697 | X=0505.390-0522.030 | Y=0398.000-0407.320 | 260
P=0697 | X=0107.090-0414.220 | Y=0410.520-0421.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0697 | X=0107.090-0140.130 | Y=0422.040-0433.280 | ≤600m.
P=0697 | X=0107.090-0329.800 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0697 | X=0107.090-0426.700 | Y=0457.340-0468.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0697 | X=0107.090-0423.220 | Y=0468.860-0480.100 | Lê Hữu Trác đoạn từ Ranh phường Long Khánh đến Hết ranh thửa đất
P=0697 | X=0107.090-0420.030 | Y=0480.380-0491.620 | số 117, tờ BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=0697 | X=0092.900-0104.020 | Y=0488.260-0497.580 | 91
P=0697 | X=0457.850-0474.490 | Y=0488.260-0497.580 | 240
P=0697 | X=0505.390-0522.030 | Y=0488.260-0497.580 | 210
P=0697 | X=0107.090-0384.270 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0697 | X=0107.090-0332.690 | Y=0515.420-0526.660 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0697 | X=0107.090-0216.590 | Y=0533.210-0544.450 | Đường Bàu Sen đi Xuân
P=0697 | X=0327.480-0414.860 | Y=0533.210-0544.450 | Đường Xuân Bình -
P=0697 | X=0234.340-0307.370 | Y=0538.970-0550.210 | Đường Bàu Sen
P=0697 | X=0092.900-0104.020 | Y=0540.850-0550.170 | 92
P=0697 | X=0457.850-0474.490 | Y=0540.850-0550.170 | 600
P=0697 | X=0505.390-0522.030 | Y=0540.850-0550.170 | 490
P=0697 | X=0107.090-0123.730 | Y=0546.370-0555.690 | Lập
P=0697 | X=0327.480-0370.070 | Y=0546.370-0555.690 | Xuân Lập
P=0697 | X=0107.090-0407.230 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu Sen đi
P=0697 | X=0107.090-0417.830 | Y=0573.770-0585.010 | Xuân Lập đoạn từ Đường Bàu Sen đến Đường Xuân Bình - Xuân Lập
P=0697 | X=0107.090-0313.940 | Y=0585.290-0596.530 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0697 | X=0092.900-0104.020 | Y=0593.170-0602.490 | 93
P=0697 | X=0457.850-0474.490 | Y=0593.170-0602.490 | 400
P=0697 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 320
P=0697 | X=0107.090-0329.560 | Y=0602.810-0614.050 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0697 | X=0107.090-0384.040 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0697 | X=0107.090-0407.250 | Y=0638.110-0649.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu Sen đi
P=0697 | X=0107.090-0417.830 | Y=0649.630-0660.870 | Xuân Lập đoạn từ Đường Bàu Sen đến Đường Xuân Bình - Xuân Lập
P=0697 | X=0107.090-0313.940 | Y=0661.150-0672.390 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0697 | X=0092.900-0104.020 | Y=0674.790-0684.110 | 94
P=0697 | X=0457.850-0474.490 | Y=0674.790-0684.110 | 320
P=0697 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 260
P=0697 | X=0107.090-0329.790 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0697 | X=0107.090-0414.220 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0697 | X=0107.090-0140.130 | Y=0707.730-0718.970 | ≤600m.
P=0698 | X=0107.090-0329.800 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0698 | X=0107.090-0407.230 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu Sen đi
P=0698 | X=0107.090-0417.830 | Y=0107.780-0119.020 | Xuân Lập đoạn từ Đường Bàu Sen đến Đường Xuân Bình - Xuân Lập
P=0698 | X=0107.090-0313.940 | Y=0119.330-0130.570 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0698 | X=0092.900-0104.020 | Y=0127.210-0136.530 | 95
P=0698 | X=0457.850-0474.490 | Y=0127.210-0136.530 | 240
P=0698 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 210
P=0698 | X=0107.090-0384.270 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0698 | X=0107.090-0330.280 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
