TABLE=046 | AREA=Xã Phú Hòa | SECTION=agricultural | SEGMENTS=1
P=1599 | X=0510.910-0522.030 | Y=0620.070-0629.390 | 70
P=1599 | X=0107.090-0360.380 | Y=0638.350-0649.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1599 | X=0107.090-0202.040 | Y=0649.870-0661.110 | >500m đến ≤1.000m.
P=1599 | X=0107.090-0330.260 | Y=0667.390-0678.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1599 | X=0107.090-0387.310 | Y=0685.390-0696.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã
P=1599 | X=0092.660-0379.420 | Y=0696.910-0708.150 | 60 Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã Định Quán đến
P=1599 | X=0446.810-0457.930 | Y=0698.790-0708.110 | 70
P=1599 | X=0510.910-0522.030 | Y=0698.790-0708.110 | 40
P=1599 | X=0107.090-0361.400 | Y=0708.450-0719.690 | Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường
P=1600 | X=0107.090-0210.200 | Y=0072.740-0083.980 | nhựa, bê tông xi măng:
P=1600 | X=0107.090-0348.180 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1600 | X=0107.090-0149.230 | Y=0103.660-0112.980 | >1.000m.
P=1600 | X=0107.090-0330.730 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1600 | X=0107.090-0380.600 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1600 | X=0107.090-0387.310 | Y=0148.850-0160.090 | ra Đường liên xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã
P=1600 | X=0107.090-0388.310 | Y=0160.370-0171.610 | Định Quán đến Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng
P=1600 | X=0092.660-0253.420 | Y=0171.650-0183.330 | 61 là đường nhựa, bê tông xi măng:
P=1600 | X=0441.050-0457.690 | Y=0174.010-0183.330 | 140
P=1600 | X=0505.150-0521.790 | Y=0174.010-0183.330 | 110
P=1600 | X=0107.090-0338.170 | Y=0189.170-0200.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1600 | X=0107.090-0384.290 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1600 | X=0107.090-0380.600 | Y=0224.710-0235.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1600 | X=0107.090-0387.310 | Y=0236.230-0247.470 | ra Đường liên xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã
P=1600 | X=0107.090-0388.310 | Y=0247.750-0258.990 | Định Quán đến Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng
P=1600 | X=0107.090-0253.420 | Y=0259.270-0270.510 | là đường nhựa, bê tông xi măng:
P=1600 | X=0092.660-0338.640 | Y=0275.790-0288.030 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1600 | X=0441.050-0457.690 | Y=0275.790-0285.110 | 110
P=1600 | X=0510.910-0522.030 | Y=0275.790-0285.110 | 70
P=1600 | X=0107.090-0360.380 | Y=0294.340-0305.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1600 | X=0107.090-0202.040 | Y=0305.860-0317.100 | >500m đến ≤1.000m.
P=1600 | X=0107.090-0330.260 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1600 | X=0107.090-0380.600 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1600 | X=0107.090-0387.310 | Y=0352.900-0364.140 | ra Đường liên xã Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã
P=1600 | X=0107.090-0388.310 | Y=0364.180-0375.420 | Định Quán đến Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng
P=1600 | X=0107.090-0253.420 | Y=0375.720-0386.960 | là đường nhựa, bê tông xi măng:
P=1600 | X=0092.660-0103.780 | Y=0383.600-0392.920 | 63
P=1600 | X=0446.810-0457.930 | Y=0383.600-0392.920 | 70
P=1600 | X=0510.910-0522.030 | Y=0383.600-0392.920 | 40
P=1600 | X=0107.090-0348.180 | Y=0393.240-0404.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1600 | X=0107.090-0149.230 | Y=0406.640-0415.960 | >1.000m.
P=1600 | X=0107.090-0330.730 | Y=0422.280-0433.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1600 | X=0107.090-0172.220 | Y=0440.280-0451.520 | Đường ngã ba
P=1600 | X=0287.860-0381.810 | Y=0446.040-0457.280 | Đường Phú Lợi - Gia
P=1600 | X=0092.660-0168.850 | Y=0453.700-0463.020 | 64 Phú Lợi - Phú
P=1600 | X=0185.830-0234.390 | Y=0453.700-0463.020 | Quốc lộ 20
P=1600 | X=0441.050-0457.690 | Y=0453.700-0463.020 | 250
P=1600 | X=0505.150-0521.790 | Y=0453.700-0463.020 | 220
P=1600 | X=0287.860-0311.720 | Y=0459.460-0468.780 | Canh
P=1600 | X=0107.090-0145.490 | Y=0463.340-0474.580 | Hòa (cũ)
P=1600 | X=0107.090-0388.770 | Y=0481.340-0492.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1600 | X=0107.090-0372.920 | Y=0492.860-0504.100 | Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20 đến Đường Phú
P=1600 | X=0107.090-0382.120 | Y=0504.380-0515.620 | Lợi - Gia Canh có hiện trạng là đường nhựa, bê tông xi măng:
P=1600 | X=0092.660-0103.780 | Y=0512.260-0521.580 | 65
P=1600 | X=0441.050-0457.690 | Y=0512.260-0521.580 | 150
P=1600 | X=0505.150-0521.790 | Y=0512.260-0521.580 | 130
P=1600 | X=0107.090-0338.170 | Y=0521.900-0533.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1600 | X=0107.090-0384.260 | Y=0539.450-0550.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1600 | X=0107.090-0388.770 | Y=0557.450-0568.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1600 | X=0107.090-0372.920 | Y=0568.970-0580.210 | Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20 đến Đường Phú
P=1600 | X=0107.090-0382.120 | Y=0580.250-0591.490 | Lợi - Gia Canh có hiện trạng là đường nhựa, bê tông xi măng:
P=1600 | X=0092.660-0338.640 | Y=0597.770-0612.090 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1600 | X=0441.050-0457.690 | Y=0602.770-0612.090 | 120
P=1600 | X=0510.910-0522.030 | Y=0602.770-0612.090 | 90
P=1600 | X=0107.090-0360.380 | Y=0615.290-0626.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1600 | X=0107.090-0202.040 | Y=0626.830-0638.070 | >500m đến ≤1.000m.
P=1600 | X=0107.090-0330.260 | Y=0644.350-0655.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1600 | X=0107.090-0388.770 | Y=0662.350-0673.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1600 | X=0107.090-0372.920 | Y=0673.870-0685.110 | Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20 đến Đường Phú
P=1600 | X=0092.660-0382.120 | Y=0684.390-0696.630 | 67 Lợi - Gia Canh có hiện trạng là đường nhựa, bê tông xi măng:
P=1600 | X=0446.810-0457.930 | Y=0684.390-0693.710 | 80
P=1600 | X=0510.910-0522.030 | Y=0684.390-0693.710 | 50
P=1600 | X=0107.090-0348.180 | Y=0702.930-0714.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1601 | X=0107.090-0149.230 | Y=0074.620-0083.940 | >1.000m.
P=1601 | X=0107.090-0330.730 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1601 | X=0107.090-0380.600 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1601 | X=0107.090-0377.740 | Y=0119.810-0131.050 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20
P=1601 | X=0107.090-0379.750 | Y=0131.330-0142.570 | đầu Đường Phú Lợi - Gia Canh có hiện trạng là đường nhựa,
P=1601 | X=0092.660-0181.170 | Y=0142.850-0154.290 | 68 bê tông xi măng:
P=1601 | X=0441.050-0457.690 | Y=0144.970-0154.290 | 150
P=1601 | X=0505.150-0521.790 | Y=0144.970-0154.290 | 130
P=1601 | X=0107.090-0338.170 | Y=0160.370-0171.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1601 | X=0107.090-0384.260 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1601 | X=0107.090-0380.600 | Y=0195.650-0206.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1601 | X=0107.090-0377.740 | Y=0207.190-0218.430 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20
P=1601 | X=0107.090-0379.750 | Y=0218.710-0229.950 | đến Đường Phú Lợi - Gia Canh có hiện trạng là đường nhựa,
P=1601 | X=0107.090-0181.170 | Y=0230.230-0241.470 | bê tông xi măng:
P=1601 | X=0092.660-0338.640 | Y=0246.990-0258.990 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1601 | X=0441.050-0457.690 | Y=0246.990-0256.310 | 120
P=1601 | X=0510.910-0522.030 | Y=0246.990-0256.310 | 90
P=1601 | X=0107.090-0360.380 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1601 | X=0107.090-0202.040 | Y=0276.790-0288.030 | >500m đến ≤1.000m.
P=1601 | X=0107.090-0330.260 | Y=0294.340-0305.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1601 | X=0107.090-0380.600 | Y=0312.340-0323.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1601 | X=0107.090-0377.740 | Y=0323.860-0335.100 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Quốc lộ 20
P=1601 | X=0107.090-0379.750 | Y=0335.380-0346.620 | đến Đường Phú Lợi - Gia Canh có hiện trạng là đường nhựa,
P=1601 | X=0107.090-0181.170 | Y=0346.900-0358.140 | bê tông xi măng:
P=1601 | X=0092.660-0103.780 | Y=0354.780-0364.100 | 70
P=1601 | X=0446.810-0457.930 | Y=0354.780-0364.100 | 80
P=1601 | X=0510.910-0522.030 | Y=0354.780-0364.100 | 50
P=1601 | X=0107.090-0348.180 | Y=0364.180-0375.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1601 | X=0107.090-0149.230 | Y=0377.600-0386.920 | >1.000m.
P=1601 | X=0107.090-0330.730 | Y=0393.240-0404.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1601 | X=0107.090-0172.220 | Y=0411.240-0422.480 | Đường ngã ba
P=1601 | X=0185.830-0368.580 | Y=0417.000-0428.240 | Đường Phú Lợi - Gia Hết UBND xã Phú
P=1601 | X=0092.660-0168.850 | Y=0424.640-0433.960 | 71 Phú Lợi - Phú
P=1601 | X=0441.050-0457.690 | Y=0424.640-0433.960 | 250
P=1601 | X=0505.150-0521.790 | Y=0424.640-0433.960 | 220
P=1601 | X=0185.830-0209.690 | Y=0430.400-0439.720 | Canh
P=1601 | X=0287.860-0306.190 | Y=0430.400-0439.720 | Hòa
P=1601 | X=0107.090-0145.490 | Y=0434.280-0445.520 | Hòa (cũ)
P=1601 | X=0107.090-0388.770 | Y=0452.300-0463.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1601 | X=0107.090-0388.790 | Y=0463.820-0475.060 | Phú Lại - Phú Hòa (cũ) đoạn từ Đường Phú Lợi - Gia Canh đến
P=1601 | X=0107.090-0387.790 | Y=0475.340-0486.580 | Hết UBND xã Phú Hòa có hiện trạng là đường nhựa, bê tông xi
P=1601 | X=0092.660-0135.090 | Y=0486.860-0498.300 | 72 măng:
P=1601 | X=0441.050-0457.690 | Y=0488.980-0498.300 | 150
P=1601 | X=0505.150-0521.790 | Y=0488.980-0498.300 | 130
P=1601 | X=0107.090-0338.170 | Y=0504.380-0515.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1601 | X=0107.090-0384.260 | Y=0521.900-0533.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1601 | X=0107.090-0388.770 | Y=0539.930-0551.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1601 | X=0107.090-0370.280 | Y=0551.450-0562.690 | Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú Lợi - Gia Canh
P=1601 | X=0107.090-0375.080 | Y=0562.970-0574.210 | đến Hết UBND xã Phú Hòa có hiện trạng là đường nhựa, bê
P=1601 | X=0107.090-0167.250 | Y=0574.250-0585.490 | tông xi măng:
P=1601 | X=0092.660-0338.640 | Y=0591.010-0603.010 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1601 | X=0441.050-0457.690 | Y=0591.010-0600.330 | 120
P=1601 | X=0510.910-0522.030 | Y=0591.010-0600.330 | 90
P=1601 | X=0107.090-0360.380 | Y=0609.290-0620.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1601 | X=0107.090-0202.040 | Y=0620.830-0632.070 | >500m đến ≤1.000m.
P=1601 | X=0107.090-0330.260 | Y=0638.350-0649.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1601 | X=0107.090-0388.770 | Y=0656.350-0667.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1601 | X=0107.090-0387.590 | Y=0667.870-0679.110 | phú Lợi - Phú Hòa (cũ) đoạn từ Đường phú Lợi - Gia Canh đến
P=1601 | X=0092.660-0387.790 | Y=0679.390-0693.470 | 74 Hết UBND xã Phú Hòa có hiện trạng là đường nhựa, bê tông xi
P=1601 | X=0446.810-0457.930 | Y=0684.150-0693.470 | 80
P=1601 | X=0510.910-0522.030 | Y=0684.150-0693.470 | 50
P=1601 | X=0107.090-0135.090 | Y=0690.910-0702.150 | măng:
P=1601 | X=0107.090-0348.180 | Y=0708.450-0719.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1602 | X=0107.090-0149.230 | Y=0074.620-0083.940 | >1.000m.
P=1602 | X=0107.090-0330.730 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1602 | X=0107.090-0380.600 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1602 | X=0107.090-0381.560 | Y=0119.810-0131.050 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú
P=1602 | X=0107.090-0366.190 | Y=0131.330-0142.570 | Lợi - Gia Canh đến hết UBND xã Phú Hòa có hiện trạng là
P=1602 | X=0092.660-0242.840 | Y=0142.850-0154.290 | 75 đường nhựa, bê tông xi măng:
P=1602 | X=0441.050-0457.690 | Y=0144.970-0154.290 | 150
P=1602 | X=0505.150-0521.790 | Y=0144.970-0154.290 | 130
P=1602 | X=0107.090-0338.200 | Y=0160.370-0171.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1602 | X=0107.090-0384.260 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1602 | X=0107.090-0380.600 | Y=0195.650-0206.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1602 | X=0107.090-0381.560 | Y=0207.190-0218.430 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú
P=1602 | X=0107.090-0366.190 | Y=0218.710-0229.950 | Lợi - Gia Canh đến hết UBND xã Phú Hòa có hiện trạng là
P=1602 | X=0107.090-0242.870 | Y=0230.230-0241.470 | đường nhựa, bê tông xi măng:
P=1602 | X=0092.660-0338.640 | Y=0246.990-0258.990 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1602 | X=0441.050-0457.690 | Y=0246.990-0256.310 | 120
P=1602 | X=0510.910-0522.030 | Y=0246.990-0256.310 | 90
P=1602 | X=0107.090-0360.380 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1602 | X=0107.090-0202.040 | Y=0276.790-0288.030 | >500m đến ≤1.000m.
P=1602 | X=0107.090-0330.260 | Y=0294.340-0305.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1602 | X=0107.090-0380.630 | Y=0312.340-0323.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1602 | X=0107.090-0381.560 | Y=0323.860-0335.100 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Đường Phú
P=1602 | X=0107.090-0366.190 | Y=0335.380-0346.620 | Lợi - Gia Canh đến hết UBND xã Phú Hòa có hiện trạng là
P=1602 | X=0107.090-0242.840 | Y=0346.900-0358.140 | đường nhựa, bê tông xi măng:
P=1602 | X=0092.660-0103.780 | Y=0354.780-0364.100 | 77
P=1602 | X=0446.810-0457.930 | Y=0354.780-0364.100 | 80
P=1602 | X=0510.910-0522.030 | Y=0354.780-0364.100 | 50
P=1602 | X=0107.090-0348.180 | Y=0364.180-0375.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1602 | X=0107.090-0149.230 | Y=0377.600-0386.920 | >1.000m.
P=1602 | X=0107.090-0330.730 | Y=0393.240-0404.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1602 | X=0107.090-0172.220 | Y=0411.240-0422.480 | Đường ngã ba
P=1602 | X=0185.830-0266.530 | Y=0418.880-0428.200 | Hết UBND xã Phú
P=1602 | X=0287.860-0388.030 | Y=0422.760-0434.000 | Hết cây xăng Phú Hòa
P=1602 | X=0092.660-0168.850 | Y=0424.640-0433.960 | 78 Phú Lợi - Phú
P=1602 | X=0441.050-0457.690 | Y=0424.640-0433.960 | 250
P=1602 | X=0505.150-0521.790 | Y=0424.640-0433.960 | 220
P=1602 | X=0185.830-0204.160 | Y=0430.400-0439.720 | Hòa
P=1602 | X=0107.090-0145.490 | Y=0434.280-0445.520 | Hòa (cũ)
P=1602 | X=0107.090-0388.770 | Y=0452.300-0463.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1602 | X=0107.090-0387.670 | Y=0463.820-0475.060 | Phú Lợi - Phú Hòa (cũ) đoạn từ Hết UBND xã Phú Hòa đến hết
P=1602 | X=0107.090-0367.870 | Y=0475.340-0486.580 | cây xăng Phú Hòa có hiện trạng là đường nhựa, bê tông xi
P=1602 | X=0092.660-0135.090 | Y=0486.860-0498.300 | 79 măng:
P=1602 | X=0441.050-0457.690 | Y=0488.980-0498.300 | 150
P=1602 | X=0505.150-0521.790 | Y=0488.980-0498.300 | 130
P=1602 | X=0107.090-0338.170 | Y=0504.380-0515.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1602 | X=0107.090-0384.260 | Y=0521.900-0533.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1602 | X=0107.090-0388.770 | Y=0539.930-0551.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1602 | X=0107.090-0389.340 | Y=0551.450-0562.690 | Phú Lợi - Phú Hòa (cũ) đoạn từ Hết UBND xã Phú Hòa đến Hết
P=1602 | X=0107.090-0367.870 | Y=0562.970-0574.210 | cây xăng Phú Hòa có hiện trạng là đường nhựa, bê tông xi
P=1602 | X=0107.090-0135.090 | Y=0574.250-0585.490 | măng:
P=1602 | X=0092.660-0338.640 | Y=0591.010-0603.010 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1602 | X=0441.050-0457.690 | Y=0591.010-0600.330 | 120
P=1602 | X=0510.910-0522.030 | Y=0591.010-0600.330 | 90
P=1602 | X=0107.090-0360.380 | Y=0609.290-0620.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1602 | X=0107.090-0202.040 | Y=0620.830-0632.070 | >500m đến ≤1.000m.
P=1602 | X=0107.090-0330.260 | Y=0638.350-0649.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1602 | X=0107.090-0388.770 | Y=0656.350-0667.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ngã ba
P=1602 | X=0107.090-0389.350 | Y=0667.870-0679.110 | Phú Lợi - Phú Hòa (cũ) đoạn từ Hết UBND xã Phú Hòa đến Hết
P=1602 | X=0092.660-0367.870 | Y=0679.390-0693.470 | 81 cây xăng Phú Hòa có hiện trạng là đường nhựa, bê tông xi
P=1602 | X=0446.810-0457.930 | Y=0684.150-0693.470 | 80
P=1602 | X=0510.910-0522.030 | Y=0684.150-0693.470 | 50
P=1602 | X=0107.090-0135.090 | Y=0690.910-0702.150 | măng:
P=1602 | X=0107.090-0348.180 | Y=0708.450-0719.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1603 | X=0107.090-0149.230 | Y=0074.620-0083.940 | >1.000m.
P=1603 | X=0107.090-0330.730 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1603 | X=0107.090-0380.600 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1603 | X=0107.090-0389.470 | Y=0119.810-0131.050 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Hết UBND xã
P=1603 | X=0107.090-0372.460 | Y=0131.330-0142.570 | Phú Hòa đến Hết cây xăng Phú Hòa có hiện trạng là đường
P=1603 | X=0092.660-0210.200 | Y=0142.850-0154.290 | 82 nhựa, bê tông xi măng:
P=1603 | X=0441.050-0457.690 | Y=0144.970-0154.290 | 150
P=1603 | X=0505.150-0521.790 | Y=0144.970-0154.290 | 130
P=1603 | X=0107.090-0338.170 | Y=0160.370-0171.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1603 | X=0107.090-0384.260 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1603 | X=0107.090-0380.600 | Y=0195.650-0206.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1603 | X=0107.090-0389.470 | Y=0207.190-0218.430 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Hết UBND xã
P=1603 | X=0107.090-0372.460 | Y=0218.710-0229.950 | Phú Hòa đến Hết cây xăng Phú Hòa có hiện trạng là đường
P=1603 | X=0107.090-0210.200 | Y=0230.230-0241.470 | nhựa, bê tông xi măng:
P=1603 | X=0092.660-0338.640 | Y=0246.990-0258.990 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1603 | X=0441.050-0457.690 | Y=0246.990-0256.310 | 120
P=1603 | X=0510.910-0522.030 | Y=0246.990-0256.310 | 90
P=1603 | X=0107.090-0360.380 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1603 | X=0107.090-0202.040 | Y=0276.790-0288.030 | >500m đến ≤1.000m.
P=1603 | X=0107.090-0330.260 | Y=0294.340-0305.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1603 | X=0107.090-0380.600 | Y=0312.340-0323.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1603 | X=0107.090-0389.470 | Y=0323.860-0335.100 | ra Đường ngã ba Phú Lợi - Phú Hòa (cũ) đoạn từ Hết UBND xã
P=1603 | X=0107.090-0372.460 | Y=0335.380-0346.620 | Phú Hòa đến Hết cây xăng Phú Hòa có hiện trạng là đường
P=1603 | X=0107.090-0210.200 | Y=0346.900-0358.140 | nhựa, bê tông xi măng:
P=1603 | X=0092.660-0103.780 | Y=0354.780-0364.100 | 84
P=1603 | X=0446.810-0457.930 | Y=0354.780-0364.100 | 80
P=1603 | X=0510.910-0522.030 | Y=0354.780-0364.100 | 50
P=1603 | X=0107.090-0348.180 | Y=0364.180-0375.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1603 | X=0107.090-0149.230 | Y=0377.600-0386.920 | >1.000m.
P=1603 | X=0107.090-0330.730 | Y=0393.240-0404.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1603 | X=0107.090-0170.770 | Y=0411.240-0422.480 | Đường liên xã
P=1603 | X=0185.830-0266.590 | Y=0417.000-0428.240 | Giáp ranh xã Định
P=1603 | X=0287.860-0373.650 | Y=0417.000-0428.240 | Đường ngã ba Phú
P=1603 | X=0092.660-0181.830 | Y=0422.760-0434.000 | 85 Định Quán - Phú
P=1603 | X=0441.050-0457.690 | Y=0424.640-0433.960 | 250
P=1603 | X=0505.150-0521.790 | Y=0424.640-0433.960 | 220
P=1603 | X=0185.830-0210.390 | Y=0430.400-0439.720 | Quán
P=1603 | X=0287.860-0350.120 | Y=0430.400-0439.720 | Lợi - Phú Hòa
P=1603 | X=0107.090-0125.420 | Y=0436.160-0445.480 | Hòa
P=1603 | X=0107.090-0387.310 | Y=0452.300-0463.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã
P=1603 | X=0107.090-0370.060 | Y=0463.820-0475.060 | Định Quán - Phú Hòa đoạn từ Giáp ranh xã Định Quán đến
P=1603 | X=0107.090-0361.400 | Y=0475.340-0486.580 | Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường
P=1603 | X=0092.660-0210.200 | Y=0486.860-0498.300 | 86 nhựa, bê tông xi măng:
P=1603 | X=0441.050-0457.690 | Y=0488.980-0498.300 | 150
P=1603 | X=0505.150-0521.790 | Y=0488.980-0498.300 | 130
P=1603 | X=0107.090-0338.170 | Y=0504.380-0515.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1603 | X=0107.090-0384.260 | Y=0521.900-0533.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1603 | X=0107.090-0387.310 | Y=0539.930-0551.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã
P=1603 | X=0107.090-0370.060 | Y=0551.450-0562.690 | Định Quán - Phú Hòa đoạn từ Giáp ranh xã Định Quán đến
P=1603 | X=0107.090-0361.400 | Y=0562.970-0574.210 | Đường ngã ba Phú Lợi - Phú Hòa cả hiện trạng là đường
P=1603 | X=0107.090-0210.200 | Y=0574.250-0585.490 | nhựa, bê tông xi măng:
P=1603 | X=0092.660-0338.640 | Y=0591.010-0603.010 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1603 | X=0441.050-0457.690 | Y=0591.010-0600.330 | 120
P=1603 | X=0510.910-0522.030 | Y=0591.010-0600.330 | 90
P=1603 | X=0107.090-0360.380 | Y=0609.290-0620.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1603 | X=0107.090-0202.040 | Y=0620.830-0632.070 | >500m đến ≤1.000m.
P=1603 | X=0107.090-0330.260 | Y=0638.350-0649.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1603 | X=0107.090-0387.310 | Y=0656.350-0667.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã
P=1603 | X=0107.090-0370.060 | Y=0667.870-0679.110 | Định Quán - Phú Hòa đoạn từ Giáp ranh xã Định Quán đến
P=1603 | X=0092.660-0361.400 | Y=0679.390-0693.470 | 88 Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường
