TABLE=038 | AREA=Xã Bình Minh | SECTION=agricultural | SEGMENTS=2
P=1354 | X=0117.170-0340.340 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1354 | X=0117.170-0402.430 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1354 | X=0097.970-0109.090 | Y=0703.860-0713.180 | 14
P=1354 | X=0453.050-0469.690 | Y=0703.860-0713.180 | 290
P=1354 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 260
P=1354 | X=0117.170-0413.460 | Y=0707.730-0718.970 | Quốc lộ 1 đoạn từ Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có
P=1355 | X=0117.170-0310.810 | Y=0072.500-0083.740 | hiện trạng là đường nhựa, bê tông xi măng:
P=1355 | X=0117.170-0402.980 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1355 | X=0117.170-0340.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1355 | X=0223.030-0306.650 | Y=0125.330-0136.570 | UBND xã Bắc Sơn
P=1355 | X=0315.240-0375.050 | Y=0131.090-0142.330 | Cầu Suối Đĩa
P=1355 | X=0097.970-0160.210 | Y=0132.970-0142.290 | 15 Quốc lộ 1
P=1355 | X=0453.050-0469.690 | Y=0132.970-0142.290 | 730
P=1355 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 650
P=1355 | X=0223.030-0240.310 | Y=0136.850-0148.090 | (cũ)
P=1355 | X=0117.170-0414.170 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1355 | X=0117.170-0406.300 | Y=0166.130-0177.370 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1355 | X=0117.170-0220.280 | Y=0177.410-0188.650 | nhựa, bê tông xi măng:
P=1355 | X=0097.970-0109.090 | Y=0185.290-0194.610 | 16
P=1355 | X=0453.050-0469.690 | Y=0185.290-0194.610 | 500
P=1355 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 450
P=1355 | X=0117.170-0348.280 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1355 | X=0117.170-0382.080 | Y=0212.470-0223.710 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1355 | X=0117.170-0414.170 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1355 | X=0117.170-0406.300 | Y=0241.750-0252.990 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1355 | X=0117.170-0220.280 | Y=0253.270-0264.510 | nhựa, bê tông xi măng:
P=1355 | X=0097.970-0348.730 | Y=0270.790-0284.870 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1355 | X=0453.050-0469.690 | Y=0275.550-0284.870 | 400
P=1355 | X=0505.390-0522.030 | Y=0275.550-0284.870 | 350
P=1355 | X=0117.170-0404.060 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1355 | X=0117.170-0178.290 | Y=0299.860-0311.100 | đến ≤1.000m.
P=1355 | X=0117.170-0340.340 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1355 | X=0117.170-0414.170 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1355 | X=0117.170-0406.300 | Y=0346.660-0357.900 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1355 | X=0117.170-0220.280 | Y=0357.940-0369.180 | nhựa, bê tông xi măng:
P=1355 | X=0097.970-0109.090 | Y=0365.820-0375.140 | 18
P=1355 | X=0453.050-0469.690 | Y=0365.820-0375.140 | 290
P=1355 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 260
P=1355 | X=0117.170-0402.980 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1355 | X=0117.170-0340.810 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1355 | X=0117.170-0402.430 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1355 | X=0117.170-0398.590 | Y=0422.280-0433.520 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có
P=1355 | X=0117.170-0310.810 | Y=0433.800-0445.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=1355 | X=0097.970-0109.090 | Y=0441.680-0451.000 | 19
P=1355 | X=0453.050-0469.690 | Y=0441.680-0451.000 | 500
P=1355 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 450
P=1355 | X=0117.170-0348.250 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1355 | X=0117.170-0394.360 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1355 | X=0117.170-0402.460 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1355 | X=0117.170-0398.590 | Y=0498.140-0509.380 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có
P=1355 | X=0117.170-0310.810 | Y=0509.660-0520.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=1355 | X=0097.970-0348.720 | Y=0527.180-0541.260 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1355 | X=0453.050-0469.690 | Y=0531.940-0541.260 | 400
P=1355 | X=0505.390-0522.030 | Y=0531.940-0541.260 | 350
P=1355 | X=0117.170-0404.060 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1355 | X=0117.170-0178.290 | Y=0556.010-0567.250 | đến ≤1.000m.
P=1355 | X=0117.170-0340.340 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1355 | X=0117.170-0402.430 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1355 | X=0117.170-0398.590 | Y=0602.810-0614.050 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có
P=1355 | X=0117.170-0310.810 | Y=0614.330-0625.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=1355 | X=0097.970-0109.090 | Y=0622.230-0631.550 | 21
P=1355 | X=0453.050-0469.690 | Y=0622.230-0631.550 | 290
P=1355 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 260
P=1355 | X=0117.170-0402.980 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1355 | X=0117.170-0340.810 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1355 | X=0315.240-0399.320 | Y=0667.150-0678.390 | Đường Võ Nguyên
P=1355 | X=0223.030-0282.870 | Y=0672.910-0684.150 | Cầu Suối Đĩa
P=1355 | X=0097.970-0160.210 | Y=0674.790-0684.110 | 22 Quốc lộ 1
P=1355 | X=0453.050-0469.690 | Y=0674.790-0684.110 | 730
P=1355 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 650
P=1355 | X=0315.240-0336.670 | Y=0680.550-0689.870 | Giáp
P=1355 | X=0117.170-0414.170 | Y=0696.430-0707.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1355 | X=0097.970-0109.090 | Y=0704.100-0713.420 | 23
P=1355 | X=0453.050-0469.690 | Y=0704.100-0713.420 | 500
P=1355 | X=0505.390-0522.030 | Y=0704.100-0713.420 | 450
P=1355 | X=0117.170-0410.870 | Y=0707.970-0719.210 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1356 | X=0117.170-0220.300 | Y=0072.500-0083.740 | nhựa, bê tông xi măng:
P=1356 | X=0117.170-0348.250 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1356 | X=0117.170-0382.080 | Y=0107.540-0118.780 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1356 | X=0117.170-0414.170 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1356 | X=0117.170-0410.870 | Y=0136.850-0148.090 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1356 | X=0117.170-0220.280 | Y=0148.370-0159.610 | nhựa, bê tông xi măng:
P=1356 | X=0097.970-0348.720 | Y=0165.650-0179.970 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1356 | X=0453.050-0469.690 | Y=0170.650-0179.970 | 400
P=1356 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 350
P=1356 | X=0117.170-0404.060 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1356 | X=0117.170-0178.290 | Y=0194.690-0205.930 | đến ≤1.000m.
P=1356 | X=0117.170-0340.340 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1356 | X=0117.170-0414.170 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1356 | X=0117.170-0410.870 | Y=0241.510-0252.750 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1356 | X=0117.170-0220.280 | Y=0253.030-0264.270 | nhựa, bê tông xi măng:
P=1356 | X=0097.970-0109.090 | Y=0260.910-0270.230 | 25
P=1356 | X=0453.050-0469.690 | Y=0260.910-0270.230 | 290
P=1356 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 260
P=1356 | X=0117.170-0402.980 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1356 | X=0117.170-0340.810 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1356 | X=0117.170-0402.430 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1356 | X=0117.170-0403.140 | Y=0317.380-0328.620 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có
P=1356 | X=0117.170-0310.810 | Y=0328.900-0340.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=1356 | X=0097.970-0109.090 | Y=0336.780-0346.100 | 26
P=1356 | X=0453.050-0469.690 | Y=0336.780-0346.100 | 500
P=1356 | X=0505.390-0522.030 | Y=0336.780-0346.100 | 450
P=1356 | X=0117.170-0348.250 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1356 | X=0117.170-0394.360 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1356 | X=0117.170-0402.430 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1356 | X=0117.170-0403.140 | Y=0393.000-0404.240 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có
P=1356 | X=0117.170-0310.810 | Y=0404.520-0415.760 | hiện trạng là đường nhựa, bê tông xi măng:
P=1356 | X=0097.970-0348.720 | Y=0422.040-0436.360 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1356 | X=0453.050-0469.690 | Y=0427.040-0436.360 | 400
P=1356 | X=0505.390-0522.030 | Y=0427.040-0436.360 | 350
P=1356 | X=0117.170-0404.060 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1356 | X=0117.170-0178.290 | Y=0451.100-0462.340 | đến ≤1.000m.
P=1356 | X=0117.170-0340.340 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1356 | X=0117.170-0402.430 | Y=0486.380-0497.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1356 | X=0117.170-0403.140 | Y=0497.900-0509.140 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có
P=1356 | X=0117.170-0310.810 | Y=0509.420-0520.660 | hiện trạng là đường nhựa, bê tông xi măng:
P=1356 | X=0097.970-0109.090 | Y=0517.300-0526.620 | 28
P=1356 | X=0453.050-0469.690 | Y=0517.300-0526.620 | 290
P=1356 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 260
P=1356 | X=0117.170-0402.980 | Y=0526.940-0538.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1356 | X=0117.170-0340.810 | Y=0544.250-0555.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1356 | X=0223.030-0401.510 | Y=0562.010-0573.250 | Đường Võ Nguyên Giáp ranh xã Trảng
P=1356 | X=0097.970-0160.210 | Y=0569.650-0578.970 | 29 Quốc lộ 1
P=1356 | X=0453.050-0469.690 | Y=0569.650-0578.970 | 730
P=1356 | X=0505.390-0522.030 | Y=0569.650-0578.970 | 650
P=1356 | X=0223.030-0244.460 | Y=0575.410-0584.730 | Giáp
P=1356 | X=0315.240-0335.870 | Y=0575.410-0584.730 | Bom
P=1356 | X=0117.170-0414.170 | Y=0591.290-0602.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1356 | X=0117.170-0391.900 | Y=0602.810-0614.050 | Đường Võ Nguyên Giáp đến Giáp ranh xã Trảng Bom có hiện
P=1356 | X=0117.170-0288.950 | Y=0614.330-0625.570 | trạng là đường nhựa, bê tông xi măng:
P=1356 | X=0097.970-0109.090 | Y=0622.230-0631.550 | 30
P=1356 | X=0453.050-0469.690 | Y=0622.230-0631.550 | 500
P=1356 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 450
P=1356 | X=0117.170-0348.250 | Y=0631.870-0643.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1356 | X=0117.170-0382.080 | Y=0649.390-0660.630 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1356 | X=0117.170-0414.170 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1356 | X=0117.170-0391.900 | Y=0678.670-0689.910 | Đường Võ Nguyên Giáp đến Giáp ranh xã Trảng Bom có hiện
P=1356 | X=0097.970-0288.950 | Y=0689.190-0701.430 | 31 trạng là đường nhựa, bê tông xi măng:
P=1356 | X=0453.050-0469.690 | Y=0689.190-0698.510 | 400
P=1356 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 350
P=1356 | X=0117.170-0348.720 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1357 | X=0117.170-0404.060 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1357 | X=0117.170-0178.290 | Y=0090.020-0101.260 | đến ≤1.000m.
P=1357 | X=0117.170-0340.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1357 | X=0117.170-0414.170 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1357 | X=0117.170-0391.900 | Y=0136.850-0148.090 | Đường Võ Nguyên Giáp đến Giáp ranh xã Trảng Bom có hiện
P=1357 | X=0117.170-0288.950 | Y=0148.370-0159.610 | trạng là đường nhựa, bê tông xi măng:
P=1357 | X=0097.970-0109.090 | Y=0156.250-0165.570 | 32
P=1357 | X=0453.050-0469.690 | Y=0156.250-0165.570 | 290
P=1357 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 260
P=1357 | X=0117.170-0402.980 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1357 | X=0117.170-0340.810 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1357 | X=0117.170-0402.430 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1357 | X=0117.170-0387.550 | Y=0212.470-0223.710 | Quốc lộ 1 đoạn từ Đường Võ Nguyên Giáp đến Giáp ranh xã
P=1357 | X=0117.170-0376.110 | Y=0223.990-0235.230 | Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1357 | X=0097.970-0109.090 | Y=0231.870-0241.190 | 33
P=1357 | X=0453.050-0469.690 | Y=0231.870-0241.190 | 500
P=1357 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 450
P=1357 | X=0117.170-0348.250 | Y=0241.510-0252.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1357 | X=0117.170-0394.360 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1357 | X=0117.170-0402.430 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1357 | X=0117.170-0387.550 | Y=0288.340-0299.580 | Quốc lộ 1 đoạn từ Đường Võ Nguyên Giáp đến Giáp ranh xã
P=1357 | X=0117.170-0376.120 | Y=0299.860-0311.100 | Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1357 | X=0097.970-0348.720 | Y=0317.380-0331.460 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1357 | X=0453.050-0469.690 | Y=0322.140-0331.460 | 400
P=1357 | X=0505.390-0522.030 | Y=0322.140-0331.460 | 350
P=1357 | X=0117.170-0404.060 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1357 | X=0117.170-0178.290 | Y=0346.420-0357.660 | đến ≤1.000m.
P=1357 | X=0117.170-0340.340 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1357 | X=0117.170-0402.460 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1357 | X=0117.170-0387.550 | Y=0393.000-0404.240 | Quốc lộ 1 đoạn từ Đường Võ Nguyên Giáp đến Giáp ranh xã
P=1357 | X=0117.170-0376.110 | Y=0404.520-0415.760 | Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1357 | X=0097.970-0109.090 | Y=0412.400-0421.720 | 35
P=1357 | X=0453.050-0469.690 | Y=0412.400-0421.720 | 290
P=1357 | X=0505.390-0522.030 | Y=0412.400-0421.720 | 260
P=1357 | X=0117.170-0402.980 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1357 | X=0117.170-0340.810 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1357 | X=0117.170-0221.670 | Y=0457.340-0468.580 | Đường Bắc Sơn - Long
P=1357 | X=0315.240-0362.940 | Y=0463.100-0474.340 | Đường sắt
P=1357 | X=0097.970-0109.090 | Y=0464.980-0474.300 | 36
P=1357 | X=0223.030-0266.100 | Y=0464.980-0474.300 | Quốc lộ 1
P=1357 | X=0453.050-0469.690 | Y=0464.980-0474.300 | 700
P=1357 | X=0505.390-0522.030 | Y=0464.980-0474.300 | 630
P=1357 | X=0117.170-0145.580 | Y=0470.740-0480.060 | Thành
P=1357 | X=0117.170-0413.420 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bắc Sơn -
P=1357 | X=0117.170-0394.770 | Y=0498.140-0509.380 | Long Thành đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là
P=1357 | X=0117.170-0252.940 | Y=0509.660-0520.900 | đường nhựa, bê tông xi măng:
P=1357 | X=0097.970-0109.090 | Y=0517.540-0526.860 | 37
P=1357 | X=0453.050-0469.690 | Y=0517.540-0526.860 | 480
P=1357 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 430
P=1357 | X=0117.170-0348.250 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1357 | X=0117.170-0382.080 | Y=0544.490-0555.730 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1357 | X=0117.170-0413.420 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bắc Sơn -
P=1357 | X=0117.170-0394.770 | Y=0573.770-0585.010 | Long Thành đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là
P=1357 | X=0117.170-0252.940 | Y=0585.290-0596.530 | đường nhựa, bê tông xi măng:
P=1357 | X=0097.970-0348.750 | Y=0602.810-0617.130 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1357 | X=0453.050-0469.690 | Y=0607.810-0617.130 | 370
P=1357 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 330
P=1357 | X=0117.170-0404.060 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1357 | X=0117.170-0178.290 | Y=0631.870-0643.110 | đến ≤1.000m.
P=1357 | X=0117.170-0340.340 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1357 | X=0117.170-0413.420 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bắc Sơn -
P=1357 | X=0117.170-0394.770 | Y=0678.670-0689.910 | Long Thành đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là
P=1357 | X=0097.970-0252.940 | Y=0689.190-0701.430 | 39 đường nhựa, bê tông xi măng:
P=1357 | X=0453.050-0469.690 | Y=0689.190-0698.510 | 250
P=1357 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 230
P=1357 | X=0117.170-0402.980 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1358 | X=0117.170-0340.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1358 | X=0117.170-0402.430 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1358 | X=0117.170-0405.420 | Y=0107.780-0119.020 | Đường Bắc Sơn - Long Thành đoạn từ Quốc lộ 1 đến Đường sắt
P=1358 | X=0117.170-0324.020 | Y=0119.330-0130.570 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1358 | X=0097.970-0109.090 | Y=0127.210-0136.530 | 40
P=1358 | X=0453.050-0469.690 | Y=0127.210-0136.530 | 480
P=1358 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 430
P=1358 | X=0117.170-0348.250 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1358 | X=0117.170-0394.360 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1358 | X=0117.170-0402.430 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1358 | X=0117.170-0405.420 | Y=0183.410-0194.650 | Đường Bắc Sơn - Long Thành đoạn từ Quốc lộ 1 đến Đường sắt
P=1358 | X=0117.170-0324.020 | Y=0194.930-0206.170 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1358 | X=0097.970-0348.720 | Y=0212.470-0226.790 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1358 | X=0453.050-0469.690 | Y=0217.470-0226.790 | 370
P=1358 | X=0505.390-0522.030 | Y=0217.470-0226.790 | 330
P=1358 | X=0117.170-0404.060 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1358 | X=0117.170-0178.290 | Y=0241.510-0252.750 | đến ≤1.000m.
P=1358 | X=0117.170-0340.350 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1358 | X=0117.170-0402.430 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1358 | X=0117.170-0405.420 | Y=0288.340-0299.580 | Đường Bắc Sơn - Long Thành đoạn từ Quốc lộ 1 đến Đường sắt
P=1358 | X=0117.170-0324.020 | Y=0299.860-0311.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1358 | X=0097.970-0109.090 | Y=0307.740-0317.060 | 42
P=1358 | X=0453.050-0469.690 | Y=0307.740-0317.060 | 250
P=1358 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 230
P=1358 | X=0117.170-0402.980 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1358 | X=0117.170-0340.810 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1358 | X=0117.170-0221.670 | Y=0352.660-0363.900 | Đường Bắc Sơn - Long
P=1358 | X=0315.240-0397.660 | Y=0352.660-0363.900 | Giáp ranh phường
P=1358 | X=0223.030-0270.740 | Y=0358.420-0369.660 | Đường sắt
P=1358 | X=0097.970-0109.090 | Y=0360.300-0369.620 | 43
P=1358 | X=0453.050-0469.690 | Y=0360.300-0369.620 | 700
P=1358 | X=0505.390-0522.030 | Y=0360.300-0369.620 | 630
P=1358 | X=0315.240-0365.960 | Y=0363.940-0375.180 | Phước Tân
P=1358 | X=0117.170-0145.580 | Y=0365.820-0375.140 | Thành
P=1358 | X=0117.170-0413.420 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bắc Sơn -
P=1358 | X=0117.170-0396.380 | Y=0393.240-0404.480 | Long Thành đoạn từ Đường sắt đến Giáp ranh phường Phước
P=1358 | X=0117.170-0344.170 | Y=0404.760-0416.000 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1358 | X=0097.970-0109.090 | Y=0412.640-0421.960 | 44
P=1358 | X=0453.050-0469.690 | Y=0412.640-0421.960 | 480
P=1358 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 430
P=1358 | X=0117.170-0348.250 | Y=0422.280-0433.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1358 | X=0117.170-0382.080 | Y=0439.800-0451.040 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1358 | X=0117.170-0413.420 | Y=0457.580-0468.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bắc Sơn -
P=1358 | X=0117.170-0396.380 | Y=0469.100-0480.340 | Long Thành đoạn từ Đường sắt đến Giáp ranh phường Phước
P=1358 | X=0117.170-0344.170 | Y=0480.620-0491.860 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1358 | X=0097.970-0348.720 | Y=0498.140-0512.220 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1358 | X=0453.050-0469.690 | Y=0502.900-0512.220 | 370
P=1358 | X=0505.390-0522.030 | Y=0502.900-0512.220 | 330
P=1358 | X=0117.170-0404.060 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1358 | X=0117.170-0178.290 | Y=0527.180-0538.420 | đến ≤1.000m.
P=1358 | X=0117.170-0340.340 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1358 | X=0117.170-0413.420 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bắc Sơn -
P=1358 | X=0117.170-0396.380 | Y=0573.770-0585.010 | Long Thành đoạn từ Đường sắt đến Giáp ranh phường Phước
