TABLE=017 | AREA=Xã Đại Phước | SECTION=agricultural | SEGMENTS=1
P=0532 | X=0126.050-0357.130 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0532 | X=0126.050-0403.240 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0532 | X=0126.050-0393.590 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0532 | X=0126.050-0401.740 | Y=0137.330-0148.570 | Trường THCS Đại Phước nhánh 2 đoạn từ Đường Lý Thái Tổ
P=0532 | X=0126.050-0384.860 | Y=0148.850-0160.090 | đến Đường vào Trường THCS Đại Phước (xã Đại Phước)
P=0532 | X=0126.050-0371.800 | Y=0160.370-0171.610 | nhánh 1 có hiện trạng là đường nhựa, bê tông xi măng:
P=0532 | X=0099.410-0357.600 | Y=0176.890-0188.890 | 108 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0532 | X=0453.530-0470.170 | Y=0176.890-0186.210 | 290
P=0532 | X=0505.390-0522.030 | Y=0176.890-0186.210 | 250
P=0532 | X=0126.050-0412.940 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0532 | X=0126.050-0187.170 | Y=0206.710-0217.950 | đến ≤1.000m.
P=0532 | X=0126.050-0349.220 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0532 | X=0126.050-0393.590 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0532 | X=0126.050-0401.740 | Y=0253.750-0264.990 | Trường THCS Đại Phước nhánh 2 đoạn từ Đường Lý Thái Tổ
P=0532 | X=0126.050-0384.860 | Y=0265.270-0276.510 | đến Đường vào Trường THCS Đại Phước (xã Đại Phước)
P=0532 | X=0099.410-0371.770 | Y=0276.790-0288.230 | 109 nhánh 1 có hiện trạng là đường nhựa, bê tông xi măng:
P=0532 | X=0453.530-0470.170 | Y=0278.910-0288.230 | 180
P=0532 | X=0505.390-0522.030 | Y=0278.910-0288.230 | 180
P=0532 | X=0126.050-0411.860 | Y=0294.340-0305.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0532 | X=0126.050-0349.710 | Y=0311.860-0323.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0532 | X=0126.050-0411.310 | Y=0329.860-0341.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0532 | X=0126.050-0405.100 | Y=0341.380-0352.620 | Đường vào Trường THCS Đại Phước nhánh 2 đoạn từ Đường
P=0532 | X=0126.050-0398.130 | Y=0352.900-0364.140 | Lý Thái Tổ đến Đường vào Trường THCS Đại Phước (xã Đại
P=0532 | X=0099.410-0408.270 | Y=0364.180-0375.860 | 110 Phước) nhánh 1 có hiện trạng là đường nhựa, bê tông xi măng:
P=0532 | X=0453.530-0470.170 | Y=0366.540-0375.860 | 400
P=0532 | X=0505.390-0522.030 | Y=0366.540-0375.860 | 360
P=0532 | X=0126.050-0357.130 | Y=0381.720-0392.960 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0532 | X=0126.050-0403.240 | Y=0399.240-0410.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0532 | X=0126.050-0411.310 | Y=0417.240-0428.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0532 | X=0126.050-0405.100 | Y=0428.760-0440.000 | Đường vào Trường THCS Đại Phước nhánh 2 đoạn từ Đường
P=0532 | X=0126.050-0398.130 | Y=0440.280-0451.520 | Lý Thái Tổ đến Đường vào Trường THCS Đại Phước (xã Đại
P=0532 | X=0126.050-0408.270 | Y=0451.820-0463.060 | Phước) nhánh 1 có hiện trạng là đường nhựa, bê tông xi măng:
P=0532 | X=0099.410-0357.600 | Y=0468.580-0480.580 | 111 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0532 | X=0453.530-0470.170 | Y=0468.580-0477.900 | 290
P=0532 | X=0505.390-0522.030 | Y=0468.580-0477.900 | 250
P=0532 | X=0126.050-0412.940 | Y=0486.860-0498.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0532 | X=0126.050-0187.170 | Y=0498.380-0509.620 | đến ≤1.000m.
P=0532 | X=0126.050-0349.240 | Y=0515.900-0527.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0532 | X=0126.050-0411.310 | Y=0533.930-0545.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0532 | X=0126.050-0405.100 | Y=0545.450-0556.690 | Đường vào Trường THCS Đại Phước nhánh 2 đoạn từ Đường
P=0532 | X=0126.050-0398.130 | Y=0556.970-0568.210 | Lý Thái Tổ đến Đường vào Trường THCS Đại Phước (xã Đại
P=0532 | X=0099.410-0408.270 | Y=0568.250-0579.690 | 112 Phước) nhánh 1 có hiện trạng là đường nhựa, bê tông xi măng:
P=0532 | X=0453.530-0470.170 | Y=0570.370-0579.690 | 180
P=0532 | X=0505.390-0522.030 | Y=0570.370-0579.690 | 180
P=0532 | X=0126.050-0411.860 | Y=0585.770-0597.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0532 | X=0126.050-0349.690 | Y=0603.290-0614.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0532 | X=0126.050-0215.680 | Y=0621.310-0632.550 | Đường Nguyễn Văn
P=0532 | X=0318.120-0396.680 | Y=0627.070-0638.310 | Đường Phan Văn
P=0532 | X=0099.410-0305.720 | Y=0632.830-0644.070 | 113 Trị (đường Cổng Đỏ Đường Lý Thái Tổ
P=0532 | X=0453.530-0470.170 | Y=0634.710-0644.030 | 670
P=0532 | X=0505.390-0522.030 | Y=0634.710-0644.030 | 600
P=0532 | X=0318.120-0341.980 | Y=0638.590-0649.830 | Đáng
P=0532 | X=0126.050-0139.970 | Y=0644.350-0655.590 | cũ)
P=0532 | X=0126.050-0411.590 | Y=0662.350-0673.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0532 | X=0126.050-0394.540 | Y=0673.870-0685.110 | Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái Tổ đến
P=0532 | X=0099.410-0116.050 | Y=0681.510-0690.830 | 114
P=0532 | X=0453.530-0470.170 | Y=0681.510-0690.830 | 450
P=0532 | X=0505.390-0522.030 | Y=0681.510-0690.830 | 400
P=0532 | X=0126.050-0410.140 | Y=0685.390-0696.630 | Đường Phan Văn Đáng có hiện trạng là đường nhựa, bê tông xi
P=0532 | X=0126.050-0154.050 | Y=0696.910-0708.150 | măng:
P=0533 | X=0126.050-0357.130 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0533 | X=0126.050-0403.240 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0533 | X=0126.050-0411.590 | Y=0114.290-0125.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0533 | X=0126.050-0394.540 | Y=0125.810-0137.050 | Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái Tổ đến
P=0533 | X=0126.050-0410.140 | Y=0137.330-0148.570 | Đường Phan Văn Đáng có hiện trạng là đường nhựa, bê tông xi
P=0533 | X=0126.050-0154.050 | Y=0148.850-0160.090 | măng:
P=0533 | X=0099.410-0357.600 | Y=0165.370-0177.610 | 115 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0533 | X=0453.530-0470.170 | Y=0165.370-0174.690 | 350
P=0533 | X=0505.390-0522.030 | Y=0165.370-0174.690 | 320
P=0533 | X=0126.050-0412.940 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0533 | X=0126.050-0187.170 | Y=0195.170-0206.410 | đến ≤1.000m.
P=0533 | X=0126.050-0349.220 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0533 | X=0126.050-0411.590 | Y=0230.710-0241.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0533 | X=0126.050-0394.540 | Y=0242.230-0253.470 | Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý Thái Tổ đến
P=0533 | X=0126.050-0410.140 | Y=0253.750-0264.990 | Đường Phan Văn Đáng có hiện trạng là đường nhựa, bê tông xi
P=0533 | X=0099.410-0154.050 | Y=0265.270-0276.710 | 116 măng:
P=0533 | X=0453.530-0470.170 | Y=0267.390-0276.710 | 220
P=0533 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 200
P=0533 | X=0126.050-0411.860 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0533 | X=0126.050-0349.690 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0533 | X=0126.050-0411.310 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0533 | X=0126.050-0410.060 | Y=0329.860-0341.100 | Đường Nguyễn Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý
P=0533 | X=0126.050-0391.180 | Y=0341.380-0352.620 | Thái Tổ đến Đường Phan Văn Đáng có hiện trạng là đường
P=0533 | X=0099.410-0229.160 | Y=0352.900-0364.340 | 117 nhựa, bê tông xi măng:
P=0533 | X=0453.530-0470.170 | Y=0355.020-0364.340 | 450
P=0533 | X=0505.390-0522.030 | Y=0355.020-0364.340 | 400
P=0533 | X=0126.050-0357.130 | Y=0370.200-0381.440 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0533 | X=0126.050-0403.240 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0533 | X=0126.050-0411.310 | Y=0405.720-0416.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0533 | X=0126.050-0410.060 | Y=0417.240-0428.480 | Đường Nguyễn Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý
P=0533 | X=0126.050-0391.180 | Y=0428.760-0440.000 | Thái Tổ đến Đường Phan Văn Đáng có hiện trạng là đường
P=0533 | X=0126.050-0229.160 | Y=0440.280-0451.520 | nhựa, bê tông xi măng:
P=0533 | X=0099.410-0357.600 | Y=0457.060-0469.060 | 118 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0533 | X=0453.530-0470.170 | Y=0457.060-0466.380 | 350
P=0533 | X=0505.390-0522.030 | Y=0457.060-0466.380 | 320
P=0533 | X=0126.050-0412.940 | Y=0475.340-0486.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0533 | X=0126.050-0187.170 | Y=0486.860-0498.100 | đến ≤1.000m.
P=0533 | X=0126.050-0349.220 | Y=0504.380-0515.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0533 | X=0126.050-0411.310 | Y=0522.380-0533.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0533 | X=0126.050-0410.060 | Y=0533.930-0545.170 | Đường Nguyễn Văn Trị (đường Cổng Đỏ cũ) đoạn từ Đường Lý
P=0533 | X=0126.050-0391.180 | Y=0545.450-0556.690 | Thái Tổ đến Đường Phan Văn Đáng có hiện trạng là đường
P=0533 | X=0099.410-0229.160 | Y=0556.970-0568.410 | 119 nhựa, bê tông xi măng:
P=0533 | X=0453.530-0470.170 | Y=0559.090-0568.410 | 220
P=0533 | X=0505.390-0522.030 | Y=0559.090-0568.410 | 200
P=0533 | X=0126.050-0411.860 | Y=0574.250-0585.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0533 | X=0126.050-0349.690 | Y=0591.770-0603.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0533 | X=0318.120-0412.150 | Y=0609.770-0621.010 | Ranh thửa đất số 92,
P=0533 | X=0099.410-0208.470 | Y=0621.310-0632.550 | 120 Đường Chòm Dầu
P=0533 | X=0223.750-0305.720 | Y=0621.310-0632.550 | Đường Lý Thái Tổ
P=0533 | X=0318.120-0399.350 | Y=0621.310-0632.550 | tờ BĐĐC số 70 xã
P=0533 | X=0453.530-0470.170 | Y=0623.190-0632.510 | 600
P=0533 | X=0505.390-0522.030 | Y=0623.190-0632.510 | 530
P=0533 | X=0318.120-0366.620 | Y=0632.830-0644.070 | Đại Phước
P=0533 | X=0126.050-0403.820 | Y=0650.830-0662.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chòm
P=0533 | X=0126.050-0394.590 | Y=0662.350-0673.590 | Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số 92, tờ
P=0533 | X=0099.410-0415.170 | Y=0673.870-0687.950 | 121 BĐĐC số 70 xã Đại Phước có hiện trạng là đường nhựa, bê tông
P=0533 | X=0453.530-0470.170 | Y=0678.630-0687.950 | 400
P=0533 | X=0505.390-0522.030 | Y=0678.630-0687.950 | 360
P=0533 | X=0126.050-0163.880 | Y=0685.390-0696.630 | xi măng:
P=0533 | X=0126.050-0357.130 | Y=0702.930-0714.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0534 | X=0126.050-0403.240 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0534 | X=0126.050-0403.820 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chòm
P=0534 | X=0126.050-0394.590 | Y=0108.260-0119.500 | Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số 92, tờ
P=0534 | X=0126.050-0415.170 | Y=0119.810-0131.050 | BĐĐC số 70 xã Đại Phước có hiện trạng là đường nhựa, bê tông
P=0534 | X=0126.050-0163.880 | Y=0131.330-0142.570 | xi măng:
P=0534 | X=0099.410-0357.640 | Y=0147.850-0160.090 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0534 | X=0453.530-0470.170 | Y=0147.850-0157.170 | 290
P=0534 | X=0505.390-0522.030 | Y=0147.850-0157.170 | 250
P=0534 | X=0126.050-0412.940 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0534 | X=0126.050-0187.170 | Y=0177.650-0188.890 | đến ≤1.000m.
P=0534 | X=0126.050-0349.220 | Y=0195.170-0206.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0534 | X=0126.050-0403.820 | Y=0213.190-0224.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chòm
P=0534 | X=0126.050-0394.590 | Y=0224.710-0235.950 | Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa đất số 92, tờ
P=0534 | X=0126.050-0415.170 | Y=0236.230-0247.470 | BĐĐC số 70 xã Đại Phước có hiện trạng là đường nhựa, bê tông
P=0534 | X=0099.410-0163.880 | Y=0247.750-0259.190 | 123 xi măng:
P=0534 | X=0453.530-0470.170 | Y=0249.870-0259.190 | 180
P=0534 | X=0505.390-0522.030 | Y=0249.870-0259.190 | 180
P=0534 | X=0126.050-0411.860 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0534 | X=0126.050-0349.690 | Y=0282.820-0294.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0534 | X=0126.050-0411.340 | Y=0300.820-0312.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0534 | X=0126.050-0399.590 | Y=0312.340-0323.580 | Đường Chòm Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa
P=0534 | X=0126.050-0408.940 | Y=0323.860-0335.100 | đất số 92, tờ BĐĐC số 70 xã Đại Phước có hiện trạng là đường
P=0534 | X=0099.410-0229.160 | Y=0335.380-0346.820 | 124 nhựa, bê tông xi măng:
P=0534 | X=0453.530-0470.170 | Y=0337.500-0346.820 | 400
P=0534 | X=0505.390-0522.030 | Y=0337.500-0346.820 | 360
P=0534 | X=0126.050-0357.130 | Y=0352.900-0364.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0534 | X=0126.050-0403.240 | Y=0370.200-0381.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0534 | X=0126.050-0411.310 | Y=0388.200-0399.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0534 | X=0126.050-0399.590 | Y=0399.720-0410.960 | Đường Chòm Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa
P=0534 | X=0126.050-0408.940 | Y=0411.240-0422.480 | đất số 92, tờ BĐĐC số 70 xã Đại Phước có hiện trạng là đường
P=0534 | X=0126.050-0229.160 | Y=0422.760-0434.000 | nhựa, bê tông xi măng:
P=0534 | X=0099.410-0357.630 | Y=0439.520-0451.520 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0534 | X=0453.530-0470.170 | Y=0439.520-0448.840 | 290
P=0534 | X=0505.390-0522.030 | Y=0439.520-0448.840 | 250
P=0534 | X=0126.050-0412.940 | Y=0457.820-0469.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0534 | X=0126.050-0187.170 | Y=0469.340-0480.580 | đến ≤1.000m.
P=0534 | X=0126.050-0349.220 | Y=0486.860-0498.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0534 | X=0126.050-0411.310 | Y=0504.860-0516.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0534 | X=0126.050-0399.590 | Y=0516.380-0527.620 | Đường Chòm Dầu đoạn từ Đường Lý Thái Tổ đến Ranh thửa
P=0534 | X=0126.050-0408.940 | Y=0527.900-0539.140 | đất số 92, tờ BĐĐC số 70 xã Đại Phước có hiện trạng là đường
P=0534 | X=0099.410-0229.160 | Y=0539.450-0550.890 | 126 nhựa, bê tông xi măng:
P=0534 | X=0453.530-0470.170 | Y=0541.570-0550.890 | 180
P=0534 | X=0505.390-0522.030 | Y=0541.570-0550.890 | 180
P=0534 | X=0126.050-0411.860 | Y=0556.970-0568.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0534 | X=0126.050-0349.690 | Y=0574.250-0585.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0534 | X=0318.120-0398.190 | Y=0592.250-0603.490 | Thửa đất số 28 tờ
P=0534 | X=0126.050-0204.610 | Y=0598.010-0609.250 | Đường Phan Văn
P=0534 | X=0223.750-0305.720 | Y=0603.770-0615.010 | Đường Lý Thái Tổ
P=0534 | X=0318.120-0413.250 | Y=0603.770-0615.010 | BĐĐC số 109, xã Đại
P=0534 | X=0099.410-0116.050 | Y=0605.650-0614.970 | 127
P=0534 | X=0453.530-0470.170 | Y=0605.650-0614.970 | 670
P=0534 | X=0505.390-0522.030 | Y=0605.650-0614.970 | 600
P=0534 | X=0126.050-0149.910 | Y=0609.530-0620.770 | Đáng
P=0534 | X=0318.120-0348.840 | Y=0615.290-0626.530 | Phước
P=0534 | X=0126.050-0400.550 | Y=0633.310-0644.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0534 | X=0126.050-0394.590 | Y=0644.830-0656.070 | Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số 28 tờ
P=0534 | X=0126.050-0401.260 | Y=0656.350-0667.590 | BĐĐC số 109, xã Đại Phước có hiện trạng là đường nhựa, bê
P=0534 | X=0099.410-0186.210 | Y=0667.870-0679.310 | 128 tông xi măng:
P=0534 | X=0453.530-0470.170 | Y=0669.990-0679.310 | 450
P=0534 | X=0505.390-0522.030 | Y=0669.990-0679.310 | 400
P=0534 | X=0126.050-0357.140 | Y=0685.390-0696.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0534 | X=0126.050-0403.240 | Y=0702.930-0714.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0535 | X=0126.050-0400.550 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0535 | X=0126.050-0394.590 | Y=0090.260-0101.500 | Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số 28 tờ
P=0535 | X=0126.050-0401.260 | Y=0101.780-0113.020 | BĐĐC số 109, xã Đại Phước có hiện trạng là đường nhựa, bê
P=0535 | X=0126.050-0186.210 | Y=0113.300-0124.540 | tông xi măng:
P=0535 | X=0099.410-0357.600 | Y=0129.850-0142.090 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0535 | X=0453.530-0470.170 | Y=0129.850-0139.170 | 350
P=0535 | X=0505.390-0522.030 | Y=0129.850-0139.170 | 320
P=0535 | X=0126.050-0412.940 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0535 | X=0126.050-0187.170 | Y=0159.650-0170.890 | đến ≤1.000m.
P=0535 | X=0126.050-0349.220 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0535 | X=0126.050-0400.550 | Y=0195.170-0206.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0535 | X=0126.050-0394.590 | Y=0206.710-0217.950 | Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa đất số 28 tờ
P=0535 | X=0126.050-0401.260 | Y=0218.230-0229.470 | BĐĐC số 109, xã Đại Phước có hiện trạng là đường nhựa, bê
P=0535 | X=0099.410-0186.210 | Y=0229.750-0241.190 | 130 tông xi măng:
P=0535 | X=0453.530-0470.170 | Y=0231.870-0241.190 | 220
P=0535 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 200
P=0535 | X=0126.050-0411.860 | Y=0247.270-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0535 | X=0126.050-0349.690 | Y=0264.790-0276.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0535 | X=0126.050-0411.310 | Y=0282.820-0294.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0535 | X=0126.050-0399.110 | Y=0294.340-0305.580 | Đường Phan Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa
P=0535 | X=0126.050-0414.460 | Y=0305.860-0317.100 | đất số 28 tờ BĐĐC số 109, xã Đại Phước có hiện trạng là đường
P=0535 | X=0099.410-0229.160 | Y=0317.380-0328.820 | 131 nhựa, bê tông xi măng:
P=0535 | X=0453.530-0470.170 | Y=0319.500-0328.820 | 450
P=0535 | X=0505.390-0522.030 | Y=0319.500-0328.820 | 400
P=0535 | X=0126.050-0357.130 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0535 | X=0126.050-0403.240 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0535 | X=0126.050-0411.310 | Y=0370.200-0381.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0535 | X=0126.050-0399.110 | Y=0381.720-0392.960 | Đường Phan Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa
P=0535 | X=0126.050-0414.460 | Y=0393.240-0404.480 | đất số 28 tờ BĐĐC số 109, xã Đại Phước có hiện trạng là đường
P=0535 | X=0126.050-0229.190 | Y=0404.760-0416.000 | nhựa, bê tông xi măng:
P=0535 | X=0099.410-0357.620 | Y=0421.520-0433.520 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0535 | X=0453.530-0470.170 | Y=0421.520-0430.840 | 350
P=0535 | X=0505.390-0522.030 | Y=0421.520-0430.840 | 320
P=0535 | X=0126.050-0412.940 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0535 | X=0126.050-0187.170 | Y=0451.340-0462.580 | đến ≤1.000m.
P=0535 | X=0126.050-0349.220 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0535 | X=0126.050-0411.310 | Y=0486.860-0498.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0535 | X=0126.050-0399.110 | Y=0498.380-0509.620 | Đường Phan Văn Đáng đoạn từ Đường Lý Thái Tổ đến Thửa
P=0535 | X=0126.050-0414.460 | Y=0509.900-0521.140 | đất số 28 tờ BĐĐC số 109, xã Đại Phước có hiện trạng là đường
P=0535 | X=0099.410-0229.160 | Y=0521.420-0532.860 | 133 nhựa, bê tông xi măng:
P=0535 | X=0453.530-0470.170 | Y=0523.540-0532.860 | 220
P=0535 | X=0505.390-0522.030 | Y=0523.540-0532.860 | 200
P=0535 | X=0126.050-0411.860 | Y=0538.970-0550.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0535 | X=0126.050-0349.690 | Y=0556.250-0567.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0535 | X=0126.050-0212.750 | Y=0574.250-0585.490 | Đường Dương Văn
P=0535 | X=0318.120-0407.740 | Y=0574.250-0585.490 | Đường Nguyễn Văn
P=0535 | X=0223.750-0305.720 | Y=0580.010-0591.250 | Đường Lý Thái Tổ
P=0535 | X=0099.410-0116.050 | Y=0581.890-0591.210 | 134
P=0535 | X=0453.530-0470.170 | Y=0581.890-0591.210 | 600
P=0535 | X=0505.390-0522.030 | Y=0581.890-0591.210 | 530
P=0535 | X=0126.050-0140.610 | Y=0587.650-0596.970 | Thì
P=0535 | X=0318.120-0329.960 | Y=0587.650-0596.970 | Trị
P=0535 | X=0126.050-0408.930 | Y=0603.770-0615.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
P=0535 | X=0126.050-0408.940 | Y=0615.290-0626.530 | Văn Thì đoạn từ Đường Lý Thái Tổ đến Đường Nguyễn Văn Trị
P=0535 | X=0126.050-0332.910 | Y=0626.830-0638.070 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0535 | X=0099.410-0116.050 | Y=0634.710-0644.030 | 135
P=0535 | X=0453.530-0470.170 | Y=0634.710-0644.030 | 400
P=0535 | X=0505.390-0522.030 | Y=0634.710-0644.030 | 360
P=0535 | X=0126.050-0357.130 | Y=0644.350-0655.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0535 | X=0126.050-0403.490 | Y=0661.870-0673.110 | - Có bề rộng từ >3m đến <5m, cách đường giao thông ≤500m.
P=0535 | X=0126.050-0408.930 | Y=0679.870-0691.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
P=0535 | X=0099.410-0408.940 | Y=0691.390-0702.630 | 136 Văn Thì đoạn từ Đường Lý Thái Tổ đến Đường Nguyễn Văn Trị
P=0535 | X=0453.530-0470.170 | Y=0693.270-0702.590 | 290
P=0535 | X=0505.390-0522.030 | Y=0693.270-0702.590 | 250
P=0535 | X=0126.050-0332.930 | Y=0702.930-0714.170 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0536 | X=0126.050-0357.600 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0536 | X=0126.050-0412.940 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0536 | X=0126.050-0187.170 | Y=0107.780-0119.020 | đến ≤1.000m.
P=0536 | X=0126.050-0349.220 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0536 | X=0126.050-0408.930 | Y=0143.330-0154.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
