TABLE=037 | AREA=Xã Bàu Hàm | SECTION=agricultural | SEGMENTS=2
P=1262 | X=0505.630-0522.270 | Y=0351.180-0360.500 | 240
P=1262 | X=0117.170-0404.060 | Y=0369.480-0380.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1262 | X=0117.170-0178.290 | Y=0381.000-0392.240 | đến ≤1.000m.
P=1262 | X=0117.170-0340.340 | Y=0398.520-0409.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1262 | X=0117.170-0391.670 | Y=0416.280-0427.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1262 | X=0117.170-0405.110 | Y=0427.800-0439.040 | Trầu - Cây Gáo - Sông Thao đoạn từ Đường Trảng Bom - Thanh
P=1262 | X=0117.170-0410.850 | Y=0439.320-0450.560 | Bình đến Đường 19 tháng 5 có hiện trạng là đường nhựa, bê tông
P=1262 | X=0095.060-0155.000 | Y=0450.860-0462.300 | 137 xi măng:
P=1262 | X=0453.050-0469.690 | Y=0452.980-0462.300 | 180
P=1262 | X=0505.630-0522.270 | Y=0452.980-0462.300 | 160
P=1262 | X=0117.170-0402.980 | Y=0468.380-0479.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1262 | X=0117.170-0340.810 | Y=0485.900-0497.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1262 | X=0117.170-0402.430 | Y=0503.660-0514.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1262 | X=0117.170-0405.340 | Y=0515.180-0526.420 | Đường Sông Trầu - Cây Gáo - Sông Thao đoạn từ Đường Trảng
P=1262 | X=0117.170-0406.300 | Y=0526.460-0537.700 | Bom - Thanh Bình đến Đường 19 tháng 5 có hiện trạng là đường
P=1262 | X=0095.060-0220.280 | Y=0538.010-0549.450 | 138 nhựa, bê tông xi măng:
P=1262 | X=0453.050-0469.690 | Y=0540.130-0549.450 | 340
P=1262 | X=0505.630-0522.270 | Y=0540.130-0549.450 | 310
P=1262 | X=0117.170-0348.250 | Y=0555.530-0566.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1262 | X=0117.170-0394.360 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1262 | X=0117.170-0402.430 | Y=0590.810-0602.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1262 | X=0117.170-0405.340 | Y=0602.330-0613.570 | Đường Sông Trầu - Cây Gáo - Sông Thao đoạn từ Đường Trảng
P=1262 | X=0117.170-0406.300 | Y=0613.850-0625.090 | Bom - Thanh Bình đến Đường 19 tháng 5 có hiện trạng là đường
P=1262 | X=0117.170-0220.280 | Y=0625.390-0636.630 | nhựa, bê tông xi măng:
P=1262 | X=0095.060-0348.720 | Y=0641.910-0654.150 | 139 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1262 | X=0453.050-0469.690 | Y=0641.910-0651.230 | 260
P=1262 | X=0505.630-0522.270 | Y=0641.910-0651.230 | 240
P=1262 | X=0117.170-0404.060 | Y=0660.430-0671.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1262 | X=0117.170-0178.290 | Y=0671.950-0683.190 | đến ≤1.000m.
P=1262 | X=0117.170-0340.340 | Y=0689.470-0700.710 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1262 | X=0095.060-0402.430 | Y=0707.250-0718.490 | 140 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1262 | X=0453.050-0469.690 | Y=0709.140-0718.460 | 180
P=1262 | X=0505.630-0522.270 | Y=0709.140-0718.460 | 160
P=1263 | X=0117.170-0405.340 | Y=0072.500-0083.740 | Đường Sông Trầu - Cây Gáo - Sông Thao đoạn từ Đường Trảng
P=1263 | X=0117.170-0406.300 | Y=0084.020-0095.260 | Bom - Thanh Bình đến Đường 19 tháng 5 có hiện trạng là đường
P=1263 | X=0117.170-0220.310 | Y=0095.540-0106.780 | nhựa, bê tông xi măng:
P=1263 | X=0117.170-0402.980 | Y=0113.060-0124.300 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1263 | X=0117.170-0340.810 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
--- PAGES=1334-1353 | LINES=1217 | HEADING=37. Xã Bàu Hàm ---
P=1334 | X=0090.020-0165.200 | Y=0399.920-0409.240 | 37. Xã Bàu Hàm
P=1334 | X=0424.970-0459.050 | Y=0415.800-0427.040 | Giá đất
P=1334 | X=0479.210-0513.310 | Y=0421.560-0432.800 | Giá đất
P=1334 | X=0419.450-0464.640 | Y=0429.200-0438.520 | trồng cây
P=1334 | X=0474.650-0518.270 | Y=0434.960-0444.280 | rừng sản
P=1334 | X=0131.570-0208.280 | Y=0438.840-0450.080 | Tên đường giao
P=1334 | X=0421.610-0462.320 | Y=0438.840-0450.080 | lâu năm,
P=1334 | X=0246.340-0291.620 | Y=0444.600-0455.840 | Điểm đầu
P=1334 | X=0340.680-0388.620 | Y=0444.600-0455.840 | Điểm cuối
P=1334 | X=0475.610-0516.910 | Y=0444.600-0455.840 | xuất, đất
P=1334 | X=0097.490-0109.890 | Y=0446.480-0455.800 | TT
P=1334 | X=0420.410-0463.770 | Y=0450.380-0461.620 | đất trồng
P=1334 | X=0156.050-0184.020 | Y=0452.260-0461.580 | thông
P=1334 | X=0471.530-0521.140 | Y=0458.020-0467.340 | nuôi trồng
P=1334 | X=0420.410-0463.990 | Y=0463.780-0473.100 | cây hằng
P=1334 | X=0475.850-0517.070 | Y=0469.540-0478.860 | thủy sản
P=1334 | X=0431.690-0452.400 | Y=0473.420-0484.660 | năm
P=1334 | X=0117.170-0207.430 | Y=0491.420-0502.660 | Đường Trảng Bom -
P=1334 | X=0223.030-0403.310 | Y=0491.420-0502.660 | Giáp ranh xã Trảng Đường vào Công ty
P=1334 | X=0100.850-0106.450 | Y=0499.060-0508.380 | 1
P=1334 | X=0453.050-0469.690 | Y=0499.060-0508.380 | 570
P=1334 | X=0505.630-0522.270 | Y=0499.060-0508.380 | 500
P=1334 | X=0315.240-0356.840 | Y=0502.940-0514.180 | Đông Nhi
P=1334 | X=0117.170-0169.080 | Y=0504.820-0514.140 | Thanh Bình
P=1334 | X=0223.030-0243.660 | Y=0504.820-0514.140 | Bom
P=1334 | X=0117.170-0394.550 | Y=0520.460-0531.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1334 | X=0117.170-0401.990 | Y=0531.980-0543.220 | Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom đến Đường
P=1334 | X=0117.170-0394.040 | Y=0543.530-0554.770 | vào Công ty Đông Nhi có hiện trạng là đường nhựa, bê tông xi
P=1334 | X=0117.170-0145.170 | Y=0555.050-0566.290 | măng:
P=1334 | X=0100.850-0106.450 | Y=0557.170-0566.490 | 2
P=1334 | X=0453.050-0469.690 | Y=0557.170-0566.490 | 400
P=1334 | X=0505.630-0522.270 | Y=0557.170-0566.490 | 350
P=1334 | X=0117.170-0348.250 | Y=0572.570-0583.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1334 | X=0117.170-0382.080 | Y=0590.090-0601.330 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1334 | X=0117.170-0394.550 | Y=0607.850-0619.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1334 | X=0117.170-0401.990 | Y=0619.390-0630.630 | Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom đến Đường
P=1334 | X=0117.170-0394.040 | Y=0630.910-0642.150 | vào Công ty Đông Nhi có hiện trạng là đường nhựa, bê tông xi
P=1334 | X=0117.170-0145.170 | Y=0642.430-0653.670 | măng:
P=1334 | X=0100.850-0106.450 | Y=0658.950-0668.270 | 3
P=1334 | X=0453.050-0469.690 | Y=0658.950-0668.270 | 310
P=1334 | X=0505.630-0522.270 | Y=0658.950-0668.270 | 290
P=1334 | X=0117.170-0348.720 | Y=0659.950-0671.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1334 | X=0117.170-0404.060 | Y=0677.470-0688.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1334 | X=0117.170-0178.290 | Y=0688.750-0699.990 | đến ≤1.000m.
P=1334 | X=0117.170-0340.340 | Y=0706.290-0717.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1335 | X=0117.170-0394.550 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1335 | X=0117.170-0401.990 | Y=0090.020-0101.260 | Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom đến Đường
P=1335 | X=0117.170-0394.040 | Y=0101.540-0112.780 | vào Công ty Đông Nhi có hiện trạng là đường nhựa, bê tông xi
P=1335 | X=0117.170-0145.170 | Y=0113.060-0124.300 | măng:
P=1335 | X=0100.850-0106.450 | Y=0115.180-0124.500 | 4
P=1335 | X=0453.050-0469.690 | Y=0115.180-0124.500 | 220
P=1335 | X=0505.630-0522.270 | Y=0115.180-0124.500 | 200
P=1335 | X=0117.170-0402.980 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1335 | X=0117.170-0340.810 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1335 | X=0117.170-0402.430 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1335 | X=0117.170-0411.250 | Y=0177.170-0188.410 | Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
P=1335 | X=0117.170-0401.590 | Y=0188.690-0199.930 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường nhựa,
P=1335 | X=0117.170-0191.250 | Y=0200.230-0211.470 | bê tông xi măng:
P=1335 | X=0100.850-0106.450 | Y=0202.350-0211.670 | 5
P=1335 | X=0453.050-0469.690 | Y=0202.350-0211.670 | 400
P=1335 | X=0505.630-0522.270 | Y=0202.350-0211.670 | 350
P=1335 | X=0117.170-0348.250 | Y=0217.750-0228.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1335 | X=0117.170-0394.360 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1335 | X=0117.170-0402.430 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1335 | X=0117.170-0411.250 | Y=0264.550-0275.790 | Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
P=1335 | X=0117.170-0401.590 | Y=0276.070-0287.310 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường nhựa,
P=1335 | X=0117.170-0191.250 | Y=0287.620-0298.860 | bê tông xi măng:
P=1335 | X=0100.850-0106.450 | Y=0304.140-0313.460 | 6
P=1335 | X=0453.050-0469.690 | Y=0304.140-0313.460 | 310
P=1335 | X=0505.630-0522.270 | Y=0304.140-0313.460 | 290
P=1335 | X=0117.170-0348.720 | Y=0305.140-0316.380 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1335 | X=0117.170-0404.060 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1335 | X=0117.170-0178.290 | Y=0333.940-0345.180 | đến ≤1.000m.
P=1335 | X=0117.170-0340.340 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1335 | X=0117.170-0402.430 | Y=0369.240-0380.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1335 | X=0117.170-0411.250 | Y=0380.760-0392.000 | Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
P=1335 | X=0117.170-0401.590 | Y=0392.280-0403.520 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường nhựa,
P=1335 | X=0117.170-0191.250 | Y=0403.800-0415.040 | bê tông xi măng:
P=1335 | X=0100.850-0106.450 | Y=0405.920-0415.240 | 7
P=1335 | X=0453.050-0469.690 | Y=0405.920-0415.240 | 220
P=1335 | X=0505.630-0522.270 | Y=0405.920-0415.240 | 200
P=1335 | X=0117.170-0402.980 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1335 | X=0117.170-0340.810 | Y=0438.840-0450.080 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1335 | X=0117.170-0207.430 | Y=0456.620-0467.860 | Đường Trảng Bom -
P=1335 | X=0223.030-0311.120 | Y=0456.620-0467.860 | Đường vào Công ty
P=1335 | X=0315.240-0385.420 | Y=0462.380-0473.620 | Ngã tư Tân Lập
P=1335 | X=0100.850-0106.450 | Y=0464.260-0473.580 | 8
P=1335 | X=0453.050-0469.690 | Y=0464.260-0473.580 | 570
P=1335 | X=0505.630-0522.270 | Y=0464.260-0473.580 | 500
P=1335 | X=0223.030-0264.630 | Y=0468.140-0479.380 | Đông Nhi
P=1335 | X=0117.170-0169.080 | Y=0470.020-0479.340 | Thanh Bình
P=1335 | X=0117.170-0394.550 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1335 | X=0117.170-0411.350 | Y=0497.420-0508.660 | Bom - Thanh Bình đoạn từ Đường vào Công ty Đông Nhi đến Ngã
P=1335 | X=0117.170-0375.630 | Y=0508.940-0520.180 | tư Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1335 | X=0100.850-0106.450 | Y=0516.820-0526.140 | 9
P=1335 | X=0453.050-0469.690 | Y=0516.820-0526.140 | 400
P=1335 | X=0505.630-0522.270 | Y=0516.820-0526.140 | 350
P=1335 | X=0117.170-0348.250 | Y=0526.220-0537.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1335 | X=0117.170-0382.080 | Y=0543.770-0555.010 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1335 | X=0117.170-0394.550 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1335 | X=0117.170-0411.350 | Y=0573.050-0584.290 | Bom - Thanh Bình đoạn từ Đường vào Công ty Đông Nhi đến Ngã
P=1335 | X=0117.170-0375.630 | Y=0584.570-0595.810 | tư Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1335 | X=0097.970-0348.720 | Y=0602.090-0616.410 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1335 | X=0453.050-0469.690 | Y=0607.090-0616.410 | 310
P=1335 | X=0505.630-0522.270 | Y=0607.090-0616.410 | 290
P=1335 | X=0117.170-0404.060 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1335 | X=0117.170-0178.290 | Y=0631.150-0642.390 | đến ≤1.000m.
P=1335 | X=0117.170-0340.340 | Y=0648.670-0659.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1335 | X=0117.170-0394.550 | Y=0666.430-0677.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1335 | X=0117.170-0411.350 | Y=0677.950-0689.190 | Bom - Thanh Bình đoạn từ Đường vào Công ty Đông Nhi đến Ngã
P=1335 | X=0097.970-0375.630 | Y=0688.470-0700.710 | 11 tư Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1335 | X=0453.050-0469.690 | Y=0688.470-0697.790 | 220
P=1335 | X=0505.630-0522.270 | Y=0688.470-0697.790 | 200
P=1335 | X=0117.170-0402.980 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1336 | X=0117.170-0340.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1336 | X=0117.170-0402.430 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1336 | X=0117.170-0389.630 | Y=0107.780-0119.020 | Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty
P=1336 | X=0117.170-0398.140 | Y=0119.330-0130.570 | Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1336 | X=0097.970-0177.330 | Y=0130.850-0142.290 | 12 tông xi măng:
P=1336 | X=0453.050-0469.690 | Y=0132.970-0142.290 | 400
P=1336 | X=0505.630-0522.270 | Y=0132.970-0142.290 | 350
P=1336 | X=0117.170-0348.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1336 | X=0117.170-0394.360 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1336 | X=0117.170-0402.430 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1336 | X=0117.170-0389.630 | Y=0194.930-0206.170 | Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty
P=1336 | X=0117.170-0398.140 | Y=0206.470-0217.710 | Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1336 | X=0117.170-0177.330 | Y=0217.990-0229.230 | tông xi măng:
P=1336 | X=0097.970-0348.730 | Y=0234.750-0246.750 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1336 | X=0453.050-0469.690 | Y=0234.750-0244.070 | 310
P=1336 | X=0505.630-0522.270 | Y=0234.750-0244.070 | 290
P=1336 | X=0117.170-0404.060 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1336 | X=0117.170-0178.290 | Y=0264.550-0275.790 | đến ≤1.000m.
P=1336 | X=0117.170-0340.340 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1336 | X=0117.170-0402.430 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1336 | X=0117.170-0389.620 | Y=0311.380-0322.620 | Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty
P=1336 | X=0117.170-0398.140 | Y=0322.900-0334.140 | Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1336 | X=0097.970-0177.330 | Y=0334.420-0345.860 | 14 tông xi măng:
P=1336 | X=0453.050-0469.690 | Y=0336.540-0345.860 | 220
P=1336 | X=0505.630-0522.270 | Y=0336.540-0345.860 | 200
P=1336 | X=0117.170-0402.980 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1336 | X=0117.170-0340.810 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1336 | X=0315.240-0412.040 | Y=0387.000-0398.240 | Đường liên ấp Lợi Hà
P=1336 | X=0315.240-0385.130 | Y=0400.400-0409.720 | - Tân Thành, từ
P=1336 | X=0117.170-0207.430 | Y=0404.280-0415.520 | Đường Trảng Bom -
P=1336 | X=0223.030-0293.220 | Y=0410.040-0421.280 | Ngã tư Tân Lập
P=1336 | X=0315.240-0403.820 | Y=0410.040-0421.280 | đường Trảng Bom -
P=1336 | X=0097.970-0109.090 | Y=0411.920-0421.240 | 15
P=1336 | X=0453.050-0469.690 | Y=0411.920-0421.240 | 570
P=1336 | X=0505.630-0522.270 | Y=0411.920-0421.240 | 500
P=1336 | X=0117.170-0169.080 | Y=0417.680-0427.000 | Thanh Bình
P=1336 | X=0315.240-0386.620 | Y=0421.560-0432.800 | Thanh Bình đến
P=1336 | X=0315.240-0371.500 | Y=0433.080-0444.320 | Hương lộ 24
P=1336 | X=0117.170-0394.550 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1336 | X=0117.170-0411.820 | Y=0462.380-0473.620 | Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường liên ấp Lợi
P=1336 | X=0117.170-0412.550 | Y=0473.900-0485.140 | Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ
P=1336 | X=0097.970-0337.940 | Y=0485.420-0496.860 | 16 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1336 | X=0453.050-0469.690 | Y=0487.540-0496.860 | 400
P=1336 | X=0505.630-0522.270 | Y=0487.540-0496.860 | 350
P=1336 | X=0117.170-0348.250 | Y=0502.940-0514.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1336 | X=0117.170-0382.080 | Y=0520.220-0531.460 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1336 | X=0117.170-0394.550 | Y=0538.010-0549.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1336 | X=0117.170-0411.820 | Y=0549.530-0560.770 | Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường liên ấp Lợi
P=1336 | X=0117.170-0412.550 | Y=0561.050-0572.290 | Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ
P=1336 | X=0117.170-0337.940 | Y=0572.570-0583.810 | 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1336 | X=0097.970-0348.720 | Y=0589.330-0601.330 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1336 | X=0453.050-0469.690 | Y=0589.330-0598.650 | 310
P=1336 | X=0505.630-0522.270 | Y=0589.330-0598.650 | 290
P=1336 | X=0117.170-0404.060 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1336 | X=0117.170-0178.290 | Y=0619.150-0630.390 | đến ≤1.000m.
P=1336 | X=0117.170-0340.340 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1336 | X=0117.170-0394.550 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1336 | X=0117.170-0411.820 | Y=0665.950-0677.190 | Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường liên ấp Lợi
P=1336 | X=0097.970-0412.550 | Y=0677.470-0691.550 | 18 Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ
P=1336 | X=0453.050-0469.690 | Y=0682.230-0691.550 | 220
P=1336 | X=0505.630-0522.270 | Y=0682.230-0691.550 | 200
P=1336 | X=0117.170-0337.940 | Y=0688.750-0699.990 | 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1336 | X=0117.170-0402.980 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1337 | X=0117.170-0340.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1337 | X=0117.170-0402.430 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1337 | X=0117.170-0391.190 | Y=0107.780-0119.020 | Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến
P=1337 | X=0117.170-0408.230 | Y=0119.330-0130.570 | Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1337 | X=0117.170-0394.990 | Y=0130.850-0142.090 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1337 | X=0097.970-0109.090 | Y=0138.730-0148.050 | 19
P=1337 | X=0453.050-0469.690 | Y=0138.730-0148.050 | 400
P=1337 | X=0505.630-0522.270 | Y=0138.730-0148.050 | 350
P=1337 | X=0117.170-0145.170 | Y=0142.370-0153.610 | măng:
P=1337 | X=0117.170-0348.250 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1337 | X=0117.170-0394.360 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1337 | X=0117.170-0402.430 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1337 | X=0117.170-0391.190 | Y=0206.470-0217.710 | Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến
P=1337 | X=0117.170-0408.230 | Y=0217.990-0229.230 | Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1337 | X=0117.170-0394.990 | Y=0229.510-0240.750 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1337 | X=0117.170-0145.170 | Y=0241.030-0252.270 | măng:
P=1337 | X=0097.970-0109.090 | Y=0251.790-0261.110 | 20
P=1337 | X=0453.050-0469.690 | Y=0251.790-0261.110 | 310
P=1337 | X=0505.630-0522.270 | Y=0251.790-0261.110 | 290
P=1337 | X=0117.170-0348.720 | Y=0258.550-0269.790 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1337 | X=0117.170-0404.060 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1337 | X=0117.170-0178.290 | Y=0287.620-0298.860 | đến ≤1.000m.
P=1337 | X=0117.170-0340.340 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1337 | X=0117.170-0402.430 | Y=0322.900-0334.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1337 | X=0117.170-0391.190 | Y=0334.420-0345.660 | Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến
P=1337 | X=0117.170-0408.230 | Y=0345.700-0356.940 | Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1337 | X=0117.170-0394.990 | Y=0357.220-0368.460 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi
P=1337 | X=0097.970-0109.090 | Y=0365.100-0374.420 | 21
P=1337 | X=0453.050-0469.690 | Y=0365.100-0374.420 | 220
P=1337 | X=0505.630-0522.270 | Y=0365.100-0374.420 | 200
P=1337 | X=0117.170-0145.170 | Y=0368.760-0380.000 | măng:
P=1337 | X=0117.170-0403.000 | Y=0386.280-0397.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1337 | X=0117.170-0340.810 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1337 | X=0223.030-0304.040 | Y=0421.560-0432.800 | Đường liên ấp Lợi
P=1337 | X=0223.030-0308.310 | Y=0434.960-0444.280 | Hà - Tân Thành, từ
P=1337 | X=0117.170-0207.430 | Y=0438.840-0450.080 | Đường Trảng Bom -
P=1337 | X=0223.030-0357.800 | Y=0444.600-0455.840 | đường Trảng Bom - Hồ Trị An
P=1337 | X=0097.970-0109.090 | Y=0446.480-0455.800 | 22
P=1337 | X=0453.050-0469.690 | Y=0446.480-0455.800 | 570
P=1337 | X=0505.630-0522.270 | Y=0446.480-0455.800 | 500
P=1337 | X=0117.170-0169.080 | Y=0452.260-0461.580 | Thanh Bình
P=1337 | X=0223.030-0294.420 | Y=0456.140-0467.380 | Thanh Bình đến
P=1337 | X=0223.030-0279.300 | Y=0467.660-0478.900 | Hương lộ 24
P=1337 | X=0117.170-0394.550 | Y=0485.420-0496.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1337 | X=0117.170-0407.450 | Y=0496.940-0508.180 | Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà - Tân Thành, từ
P=1337 | X=0117.170-0403.190 | Y=0508.220-0519.460 | đường Trảng Bom - Thanh Bình đến Hương lộ 24 đến Hồ Trị An
P=1337 | X=0097.970-0324.020 | Y=0519.740-0531.180 | 23 có hiện trạng là đường nhựa, bê tông xi măng:
P=1337 | X=0453.050-0469.690 | Y=0521.860-0531.180 | 400
P=1337 | X=0505.630-0522.270 | Y=0521.860-0531.180 | 350
