TABLE=056 | AREA=Phường Bình Phước | SECTION=agricultural | SEGMENTS=1
P=1893 | X=0121.730-0249.040 | Y=0147.650-0158.890 | Các tuyến đường giao thông
P=1893 | X=0121.730-0238.750 | Y=0159.170-0170.410 | đấu nối trực tiếp ra đường
P=1893 | X=0121.730-0249.030 | Y=0172.570-0181.890 | Quốc lộ 14 từ HLLG vào sâu
P=1893 | X=0250.900-0308.370 | Y=0176.450-0187.690 | Ngã tư Đồng
P=1893 | X=0320.760-0389.740 | Y=0176.450-0187.690 | Đường Nguyễn
P=1893 | X=0097.250-0236.420 | Y=0184.090-0193.410 | 408 trên 500m có bề rộng mặt
P=1893 | X=0414.860-0431.500 | Y=0184.090-0193.410 | 430
P=1893 | X=0459.530-0476.170 | Y=0184.090-0193.410 | 340
P=1893 | X=0505.390-0522.030 | Y=0184.090-0193.410 | 200
P=1893 | X=0250.900-0270.670 | Y=0189.850-0199.170 | Xoài
P=1893 | X=0320.760-0339.080 | Y=0189.850-0199.170 | Huệ
P=1893 | X=0121.730-0244.660 | Y=0193.730-0204.970 | đường dưới 4m chưa được
P=1893 | X=0121.730-0245.910 | Y=0205.270-0216.510 | đầu tư mặt đường nhựa, bê
P=1893 | X=0121.730-0179.170 | Y=0216.790-0228.030 | tông xi măng
P=1893 | X=0121.730-0249.040 | Y=0234.550-0245.790 | Các tuyến đường giao thông
P=1893 | X=0121.730-0238.750 | Y=0246.070-0257.310 | đấu nối trực tiếp ra đường
P=1893 | X=0121.730-0249.030 | Y=0259.470-0268.790 | Quốc lộ 14 từ HLLG vào sâu
P=1893 | X=0320.760-0378.120 | Y=0259.470-0268.790 | Hết ranh quy
P=1893 | X=0250.900-0319.880 | Y=0263.350-0274.590 | Đường Nguyễn
P=1893 | X=0320.760-0380.870 | Y=0269.110-0280.350 | hoạch đường
P=1893 | X=0097.250-0236.420 | Y=0270.990-0280.310 | 409 trên 500m có bề rộng mặt
P=1893 | X=0414.860-0431.500 | Y=0270.990-0280.310 | 430
P=1893 | X=0459.530-0476.170 | Y=0270.990-0280.310 | 340
P=1893 | X=0505.390-0522.030 | Y=0270.990-0280.310 | 200
P=1893 | X=0250.900-0269.220 | Y=0276.750-0286.070 | Huệ
P=1893 | X=0121.730-0244.660 | Y=0280.630-0291.870 | đường dưới 4m chưa được
P=1893 | X=0320.760-0339.560 | Y=0282.510-0291.830 | số 2
P=1893 | X=0121.730-0245.910 | Y=0291.940-0303.180 | đầu tư mặt đường nhựa, bê
P=1893 | X=0121.730-0179.170 | Y=0303.460-0314.700 | tông xi măng
P=1893 | X=0121.730-0249.040 | Y=0321.220-0332.460 | Các tuyến đường giao thông
P=1893 | X=0121.730-0238.750 | Y=0332.740-0343.980 | đấu nối trực tiếp ra đường
P=1893 | X=0121.730-0308.260 | Y=0346.140-0355.460 | Quốc lộ 14 từ HLLG vào sâu Hết ranh quy
P=1893 | X=0097.250-0360.700 | Y=0355.780-0367.020 | 410 trên 500m có bề rộng mặt hoạch đường Cầu số 2
P=1893 | X=0414.860-0431.500 | Y=0357.660-0366.980 | 430
P=1893 | X=0459.530-0476.170 | Y=0357.660-0366.980 | 340
P=1893 | X=0505.390-0522.030 | Y=0357.660-0366.980 | 200
P=1893 | X=0121.730-0269.700 | Y=0367.320-0378.560 | đường dưới 4m chưa được số 2
P=1893 | X=0121.730-0245.910 | Y=0378.840-0390.080 | đầu tư mặt đường nhựa, bê
P=1893 | X=0121.730-0179.170 | Y=0390.360-0401.600 | tông xi măng
P=1893 | X=0121.730-0249.040 | Y=0408.120-0419.360 | Các tuyến đường giao thông
P=1893 | X=0121.730-0238.750 | Y=0419.640-0430.880 | đấu nối trực tiếp ra đường
P=1893 | X=0121.730-0238.080 | Y=0431.160-0442.400 | Nguyễn Văn Trỗi từ HLLG
P=1893 | X=0121.730-0234.420 | Y=0442.440-0453.680 | vào sâu đến 200 m có bề
P=1893 | X=0250.900-0320.120 | Y=0442.440-0453.680 | Đường Quốc lộ
P=1893 | X=0320.760-0383.500 | Y=0448.200-0459.440 | Đường Lê Lợi
P=1893 | X=0097.250-0113.890 | Y=0450.080-0459.400 | 411
P=1893 | X=0414.860-0431.500 | Y=0450.080-0459.400 | 430
P=1893 | X=0459.530-0476.170 | Y=0450.080-0459.400 | 340
P=1893 | X=0505.390-0522.030 | Y=0450.080-0459.400 | 200
P=1893 | X=0121.730-0262.020 | Y=0453.980-0465.220 | rộng mặt đường từ 4m trở 14
P=1893 | X=0121.730-0226.790 | Y=0465.500-0476.740 | lên đã được đầu tư mặt
P=1893 | X=0121.730-0226.710 | Y=0477.020-0488.260 | đường nhựa, bê tông xi
P=1893 | X=0121.730-0147.010 | Y=0488.540-0499.780 | măng
P=1893 | X=0121.730-0249.040 | Y=0506.300-0517.540 | Các tuyến đường giao thông
P=1893 | X=0121.730-0238.750 | Y=0517.820-0529.060 | đấu nối trực tiếp ra đường
P=1893 | X=0121.730-0238.080 | Y=0529.340-0540.580 | Nguyễn Văn Trỗi từ HLLG
P=1893 | X=0121.730-0224.310 | Y=0540.890-0552.130 | vào sâu trên 200m đến
P=1893 | X=0250.900-0320.120 | Y=0540.890-0552.130 | Đường Quốc lộ
P=1893 | X=0320.760-0383.500 | Y=0546.650-0557.890 | Đường Lê Lợi
P=1893 | X=0097.250-0113.890 | Y=0548.530-0557.850 | 412
P=1893 | X=0414.860-0431.500 | Y=0548.530-0557.850 | 430
P=1893 | X=0459.530-0476.170 | Y=0548.530-0557.850 | 340
P=1893 | X=0505.390-0522.030 | Y=0548.530-0557.850 | 200
P=1893 | X=0121.730-0262.020 | Y=0552.410-0563.650 | 500m có bề rộng mặt đường 14
P=1893 | X=0121.730-0239.700 | Y=0563.930-0575.170 | từ 4m trở lên đã được đầu
P=1893 | X=0121.730-0248.550 | Y=0575.450-0586.690 | tư mặt đường nhựa, bê tông
P=1893 | X=0121.730-0157.080 | Y=0586.730-0597.970 | xi măng
P=1893 | X=0121.730-0249.060 | Y=0604.490-0615.730 | Các tuyến đường giao thông
P=1893 | X=0121.730-0238.750 | Y=0616.010-0627.250 | đấu nối trực tiếp ra đường
P=1893 | X=0121.730-0238.080 | Y=0627.550-0638.790 | Nguyễn Văn Trỗi từ HLLG
P=1893 | X=0250.900-0320.120 | Y=0639.070-0650.310 | Đường Quốc lộ
P=1893 | X=0121.730-0232.030 | Y=0640.950-0650.270 | vào sâu trên 500m có bề
P=1893 | X=0320.760-0383.500 | Y=0644.830-0656.070 | Đường Lê Lợi
P=1893 | X=0097.250-0113.890 | Y=0646.710-0656.030 | 413
P=1893 | X=0414.860-0431.500 | Y=0646.710-0656.030 | 430
P=1893 | X=0459.530-0476.170 | Y=0646.710-0656.030 | 340
P=1893 | X=0505.390-0522.030 | Y=0646.710-0656.030 | 200
P=1893 | X=0121.730-0262.020 | Y=0650.590-0661.830 | rộng mặt đường từ 4m trở 14
P=1893 | X=0121.730-0226.790 | Y=0662.110-0673.350 | lên đã được đầu tư mặt
P=1893 | X=0121.730-0226.710 | Y=0673.630-0684.870 | đường nhựa, bê tông xi
P=1893 | X=0121.730-0147.010 | Y=0685.150-0696.390 | măng
P=1893 | X=0097.250-0383.500 | Y=0702.930-0714.170 | 414 Các tuyến đường giao thông Đường Quốc lộ Đường Lê Lợi
P=1893 | X=0414.860-0431.500 | Y=0704.820-0714.140 | 430
P=1893 | X=0459.530-0476.170 | Y=0704.820-0714.140 | 340
P=1893 | X=0505.390-0522.030 | Y=0704.820-0714.140 | 200
P=1894 | X=0121.730-0262.020 | Y=0072.500-0083.740 | đấu nối trực tiếp ra đường 14
P=1894 | X=0121.730-0238.080 | Y=0084.020-0095.260 | Nguyễn Văn Trỗi từ HLLG
P=1894 | X=0121.730-0231.540 | Y=0095.540-0106.780 | vào sâu đến 200m có bề
P=1894 | X=0121.730-0248.530 | Y=0107.060-0118.300 | rộng mặt đường dưới 4m đã
P=1894 | X=0121.730-0229.600 | Y=0118.610-0129.850 | được đầu tư mặt đường
P=1894 | X=0121.730-0222.120 | Y=0130.130-0141.370 | nhựa, bê tông xi măng
P=1894 | X=0121.730-0249.040 | Y=0147.650-0158.890 | Các tuyến đường giao thông
P=1894 | X=0121.730-0238.750 | Y=0159.170-0170.410 | đấu nối trực tiếp ra đường
P=1894 | X=0121.730-0238.080 | Y=0170.690-0181.930 | Nguyễn Văn Trỗi từ HLLG
P=1894 | X=0121.730-0224.310 | Y=0182.210-0193.450 | vào sâu trên 200m đến
P=1894 | X=0250.900-0320.120 | Y=0182.210-0193.450 | Đường Quốc lộ
P=1894 | X=0320.760-0383.500 | Y=0187.970-0199.210 | Đường Lê Lợi
P=1894 | X=0097.250-0113.890 | Y=0189.850-0199.170 | 415
P=1894 | X=0414.860-0431.500 | Y=0189.850-0199.170 | 430
P=1894 | X=0459.530-0476.170 | Y=0189.850-0199.170 | 340
P=1894 | X=0505.390-0522.030 | Y=0189.850-0199.170 | 200
P=1894 | X=0121.730-0262.020 | Y=0193.730-0204.970 | 500m có bề rộng mặt đường 14
P=1894 | X=0121.730-0231.930 | Y=0205.270-0216.510 | dưới 4m đã được đầu tư
P=1894 | X=0121.730-0246.380 | Y=0216.790-0228.030 | mặt đường nhựa, bê tông xi
P=1894 | X=0121.730-0147.010 | Y=0228.310-0239.550 | măng
P=1894 | X=0121.730-0249.040 | Y=0246.070-0257.310 | Các tuyến đường giao thông
P=1894 | X=0121.730-0238.750 | Y=0257.590-0268.830 | đấu nối trực tiếp ra đường
P=1894 | X=0121.730-0238.080 | Y=0269.110-0280.350 | Nguyễn Văn Trỗi từ HLLG
P=1894 | X=0250.900-0320.120 | Y=0274.870-0286.110 | Đường Quốc lộ
P=1894 | X=0320.760-0383.500 | Y=0280.630-0291.870 | Đường Lê Lợi
P=1894 | X=0097.250-0232.030 | Y=0282.510-0291.830 | 416 vào sâu trên 500m có bề
P=1894 | X=0414.860-0431.500 | Y=0282.510-0291.830 | 430
P=1894 | X=0459.530-0476.170 | Y=0282.510-0291.830 | 340
P=1894 | X=0505.390-0522.030 | Y=0282.510-0291.830 | 200
P=1894 | X=0250.900-0262.020 | Y=0288.300-0297.620 | 14
P=1894 | X=0121.730-0248.530 | Y=0291.940-0303.180 | rộng mặt đường dưới 4m đã
P=1894 | X=0121.730-0229.600 | Y=0303.460-0314.700 | được đầu tư mặt đường
P=1894 | X=0121.730-0222.120 | Y=0314.980-0326.220 | nhựa, bê tông xi măng
P=1894 | X=0121.730-0249.040 | Y=0332.740-0343.980 | Các tuyến đường giao thông
P=1894 | X=0121.730-0238.750 | Y=0344.260-0355.500 | đấu nối trực tiếp ra đường
P=1894 | X=0121.730-0235.360 | Y=0355.780-0367.020 | Lê Quý Đôn từ HLLG vào
P=1894 | X=0121.730-0234.150 | Y=0367.320-0378.560 | sâu đến 100m có khoảng
P=1894 | X=0121.730-0234.900 | Y=0378.840-0390.080 | cách từ điểm đấu nối đến
P=1894 | X=0097.250-0229.830 | Y=0390.360-0401.600 | 417 Phú Riềng Đỏ hoặc Ngô
P=1894 | X=0250.900-0371.510 | Y=0390.360-0401.600 | Phú Riềng Đỏ Ngô Quyền
P=1894 | X=0414.860-0431.500 | Y=0392.240-0401.560 | 430
P=1894 | X=0459.530-0476.170 | Y=0392.240-0401.560 | 340
P=1894 | X=0505.390-0522.030 | Y=0392.240-0401.560 | 200
P=1894 | X=0121.730-0242.450 | Y=0403.760-0413.080 | Quyền trong phạm vi 200m
P=1894 | X=0121.730-0220.070 | Y=0415.280-0424.600 | trở lên có bề rộng mặt
P=1894 | X=0121.730-0226.230 | Y=0424.920-0436.160 | đường từ 4m trở lên đã
P=1894 | X=0121.730-0229.600 | Y=0436.200-0447.440 | được đầu tư mặt đường
P=1894 | X=0121.730-0222.120 | Y=0447.720-0458.960 | nhựa, bê tông xi măng
P=1894 | X=0121.730-0249.040 | Y=0465.500-0476.740 | Các tuyến đường giao thông
P=1894 | X=0121.730-0238.750 | Y=0477.020-0488.260 | đấu nối trực tiếp ra đường
P=1894 | X=0121.730-0235.360 | Y=0488.540-0499.780 | Lê Quý Đôn từ HLLG vào
P=1894 | X=0121.730-0234.160 | Y=0500.060-0511.300 | sâu đến 100m có khoảng
P=1894 | X=0121.730-0234.900 | Y=0511.580-0522.820 | cách từ điểm đấu nối đến
P=1894 | X=0250.900-0303.790 | Y=0517.340-0528.580 | Đường Ngô
P=1894 | X=0320.760-0372.180 | Y=0517.340-0528.580 | Ngã tư Bàu
P=1894 | X=0097.250-0231.460 | Y=0523.100-0534.340 | 418 Đường Ngô Quyền hoặc
P=1894 | X=0414.860-0431.500 | Y=0524.980-0534.300 | 430
P=1894 | X=0459.530-0476.170 | Y=0524.980-0534.300 | 340
P=1894 | X=0505.390-0522.030 | Y=0524.980-0534.300 | 200
P=1894 | X=0250.900-0280.500 | Y=0530.740-0540.060 | Quyền
P=1894 | X=0320.760-0340.910 | Y=0530.740-0540.060 | Trúc
P=1894 | X=0121.730-0248.970 | Y=0534.650-0545.890 | Ngã tư Bàu Trúc trong phạm
P=1894 | X=0121.730-0238.500 | Y=0548.050-0557.370 | vi 200m trở lên có bề rộng
P=1894 | X=0121.730-0245.670 | Y=0557.690-0568.930 | mặt đường từ 4m trở lên đã
P=1894 | X=0121.730-0229.600 | Y=0569.210-0580.450 | được đầu tư mặt đường
P=1894 | X=0121.730-0222.120 | Y=0580.490-0591.730 | nhựa, bê tông xi măng
P=1894 | X=0121.730-0249.040 | Y=0598.250-0609.490 | Các tuyến đường giao thông
P=1894 | X=0121.730-0238.740 | Y=0609.770-0621.010 | đấu nối trực tiếp ra đường
P=1894 | X=0121.730-0235.360 | Y=0621.310-0632.550 | Lê Quý Đôn từ HLLG vào
P=1894 | X=0097.250-0235.350 | Y=0632.830-0644.070 | 419 sâu đến 100m có bề rộng
P=1894 | X=0250.900-0371.510 | Y=0632.830-0644.070 | Phú Riềng Đỏ Ngô Quyền
P=1894 | X=0414.860-0431.500 | Y=0634.710-0644.030 | 430
P=1894 | X=0459.530-0476.170 | Y=0634.710-0644.030 | 340
P=1894 | X=0505.390-0522.030 | Y=0634.710-0644.030 | 200
P=1894 | X=0121.730-0245.670 | Y=0644.350-0655.590 | mặt đường từ 4m trở lên đã
P=1894 | X=0121.730-0229.600 | Y=0655.870-0667.110 | được đầu tư mặt đường
P=1894 | X=0121.730-0222.120 | Y=0667.390-0678.630 | nhựa, bê tông xi măng
P=1894 | X=0121.730-0249.040 | Y=0685.150-0696.390 | Các tuyến đường giao thông
P=1894 | X=0250.900-0303.790 | Y=0690.910-0702.150 | Đường Ngô
P=1894 | X=0320.760-0372.180 | Y=0690.910-0702.150 | Ngã tư Bàu
P=1894 | X=0097.250-0238.750 | Y=0696.670-0707.910 | 420 đấu nối trực tiếp ra đường
P=1894 | X=0414.860-0431.500 | Y=0698.550-0707.870 | 430
P=1894 | X=0459.530-0476.170 | Y=0698.550-0707.870 | 340
P=1894 | X=0505.390-0522.030 | Y=0698.550-0707.870 | 200
P=1894 | X=0250.900-0280.500 | Y=0704.340-0713.660 | Quyền
P=1894 | X=0320.760-0340.910 | Y=0704.340-0713.660 | Trúc
P=1894 | X=0121.730-0235.360 | Y=0708.210-0719.450 | Lê Quý Đôn từ HLLG vào
P=1895 | X=0121.730-0235.350 | Y=0072.500-0083.740 | sâu đến 100m có bề rộng
P=1895 | X=0121.730-0245.670 | Y=0084.020-0095.260 | mặt đường từ 4m trở lên đã
P=1895 | X=0121.730-0229.600 | Y=0095.540-0106.780 | được đầu tư mặt đường
P=1895 | X=0121.730-0222.120 | Y=0107.060-0118.300 | nhựa, bê tông xi măng
P=1895 | X=0121.730-0249.040 | Y=0124.850-0136.090 | Các tuyến đường giao thông
P=1895 | X=0121.730-0238.750 | Y=0136.370-0147.610 | đấu nối trực tiếp ra đường
P=1895 | X=0121.730-0235.360 | Y=0147.650-0158.890 | Lê Quý Đôn từ HLLG vào
P=1895 | X=0121.730-0246.620 | Y=0159.170-0170.410 | sâu trên 100m đến 200m có
P=1895 | X=0121.730-0234.900 | Y=0170.690-0181.930 | khoảng cách từ điểm đấu
P=1895 | X=0097.250-0371.510 | Y=0182.210-0193.450 | 421 nối đến Phú Riềng Đỏ hoặc Phú Riềng Đỏ Ngô Quyền
P=1895 | X=0414.860-0431.500 | Y=0184.090-0193.410 | 430
P=1895 | X=0459.530-0476.170 | Y=0184.090-0193.410 | 340
P=1895 | X=0505.390-0522.030 | Y=0184.090-0193.410 | 200
P=1895 | X=0121.730-0235.810 | Y=0195.610-0204.930 | Ngô Quyền trong phạm vi
P=1895 | X=0121.730-0247.940 | Y=0207.150-0216.470 | 200m trở lên có bề rộng mặt
P=1895 | X=0121.730-0226.230 | Y=0216.790-0228.030 | đường từ 4m trở lên đã
P=1895 | X=0121.730-0229.600 | Y=0228.310-0239.550 | được đầu tư mặt đường
P=1895 | X=0121.730-0222.120 | Y=0239.830-0251.070 | nhựa, bê tông xi măng
P=1895 | X=0121.730-0249.040 | Y=0257.590-0268.830 | Các tuyến đường giao thông
P=1895 | X=0121.730-0238.750 | Y=0269.110-0280.350 | đấu nối trực tiếp ra đường
P=1895 | X=0121.730-0235.360 | Y=0280.630-0291.870 | Lê Quý Đôn từ HLLG vào
P=1895 | X=0121.730-0246.620 | Y=0291.940-0303.180 | sâu trên 100m đến 200m có
P=1895 | X=0121.730-0234.900 | Y=0303.460-0314.700 | khoảng cách từ điểm đấu
P=1895 | X=0121.730-0303.790 | Y=0314.980-0326.220 | nối đến Đường Ngô Quyền Đường Ngô
P=1895 | X=0320.760-0372.180 | Y=0314.980-0326.220 | Ngã tư Bàu
P=1895 | X=0097.250-0113.890 | Y=0322.620-0331.940 | 422
P=1895 | X=0414.860-0431.500 | Y=0322.620-0331.940 | 430
P=1895 | X=0459.530-0476.170 | Y=0322.620-0331.940 | 340
P=1895 | X=0505.390-0522.030 | Y=0322.620-0331.940 | 200
P=1895 | X=0121.730-0280.500 | Y=0326.500-0337.740 | hoặc Ngã tư Bàu Trúc trong Quyền
P=1895 | X=0320.760-0340.910 | Y=0328.380-0337.700 | Trúc
P=1895 | X=0121.730-0243.540 | Y=0339.900-0349.220 | phạm vi 200m trở lên có bề
P=1895 | X=0121.730-0238.550 | Y=0349.540-0360.780 | rộng mặt đường từ 4m trở
P=1895 | X=0121.730-0226.790 | Y=0361.060-0372.300 | lên đã được đầu tư mặt
P=1895 | X=0121.730-0226.710 | Y=0372.600-0383.840 | đường nhựa, bê tông xi
P=1895 | X=0121.730-0147.010 | Y=0384.120-0395.360 | măng
P=1895 | X=0121.730-0249.040 | Y=0401.880-0413.120 | Các tuyến đường giao thông
P=1895 | X=0121.730-0238.750 | Y=0413.400-0424.640 | đấu nối trực tiếp ra đường
P=1895 | X=0121.730-0235.360 | Y=0424.920-0436.160 | Lê Quý Đôn từ HLLG vào
P=1895 | X=0121.730-0246.620 | Y=0436.200-0447.440 | sâu trên 100m đến 200m có
P=1895 | X=0250.900-0371.510 | Y=0441.960-0453.200 | Phú Riềng Đỏ Ngô Quyền
P=1895 | X=0097.250-0113.890 | Y=0443.840-0453.160 | 423
P=1895 | X=0414.860-0431.500 | Y=0443.840-0453.160 | 430
P=1895 | X=0459.530-0476.170 | Y=0443.840-0453.160 | 340
P=1895 | X=0505.390-0522.030 | Y=0443.840-0453.160 | 200
P=1895 | X=0121.730-0236.710 | Y=0447.720-0458.960 | bề rộng mặt đường từ 4m
P=1895 | X=0121.730-0242.420 | Y=0459.260-0470.500 | trở lên đã được đầu tư mặt
P=1895 | X=0121.730-0226.710 | Y=0470.780-0482.020 | đường nhựa, bê tông xi
P=1895 | X=0121.730-0147.010 | Y=0482.300-0493.540 | măng
P=1895 | X=0121.730-0249.040 | Y=0500.060-0511.300 | Các tuyến đường giao thông
P=1895 | X=0121.730-0238.750 | Y=0511.580-0522.820 | đấu nối trực tiếp ra đường
P=1895 | X=0121.730-0235.360 | Y=0523.100-0534.340 | Lê Quý Đôn từ HLLG vào
P=1895 | X=0121.730-0303.790 | Y=0534.650-0545.890 | sâu trên 100m đến 200m có Đường Ngô
P=1895 | X=0320.760-0372.180 | Y=0534.650-0545.890 | Ngã tư Bàu
P=1895 | X=0097.250-0113.890 | Y=0542.290-0551.610 | 424
P=1895 | X=0414.860-0431.500 | Y=0542.290-0551.610 | 430
P=1895 | X=0459.530-0476.170 | Y=0542.290-0551.610 | 340
P=1895 | X=0505.390-0522.030 | Y=0542.290-0551.610 | 200
P=1895 | X=0121.730-0280.500 | Y=0546.170-0557.410 | bề rộng mặt đường từ 4m Quyền
P=1895 | X=0320.760-0340.910 | Y=0548.050-0557.370 | Trúc
P=1895 | X=0121.730-0242.420 | Y=0557.690-0568.930 | trở lên đã được đầu tư mặt
P=1895 | X=0121.730-0226.710 | Y=0569.210-0580.450 | đường nhựa, bê tông xi
P=1895 | X=0121.730-0147.010 | Y=0580.490-0591.730 | măng
P=1895 | X=0121.730-0249.040 | Y=0598.250-0609.490 | Các tuyến đường giao thông
P=1895 | X=0121.730-0238.750 | Y=0609.770-0621.010 | đấu nối trực tiếp ra đường
P=1895 | X=0121.730-0235.360 | Y=0621.310-0632.550 | Lê Quý Đôn từ HLLG vào
P=1895 | X=0121.730-0246.620 | Y=0632.830-0644.070 | sâu trên 200m đến 500m có
P=1895 | X=0121.730-0234.900 | Y=0644.350-0655.590 | khoảng cách từ điểm đấu
P=1895 | X=0250.900-0371.510 | Y=0650.110-0661.350 | Phú Riềng Đỏ Ngô Quyền
P=1895 | X=0097.250-0113.890 | Y=0651.990-0661.310 | 425
P=1895 | X=0414.860-0431.500 | Y=0651.990-0661.310 | 430
P=1895 | X=0459.530-0476.170 | Y=0651.990-0661.310 | 340
P=1895 | X=0505.390-0522.030 | Y=0651.990-0661.310 | 200
P=1895 | X=0121.730-0244.180 | Y=0655.870-0667.110 | nối đến Phú Riềng Đỏ hoặc
P=1895 | X=0121.730-0235.810 | Y=0669.270-0678.590 | Ngô Quyền trong phạm vi
P=1895 | X=0121.730-0247.940 | Y=0680.790-0690.110 | 200m trở lên có bề rộng mặt
P=1895 | X=0121.730-0226.230 | Y=0690.430-0701.670 | đường từ 4m trở lên đã
P=1895 | X=0121.730-0229.600 | Y=0701.970-0713.210 | được đầu tư mặt đường
P=1896 | X=0121.730-0222.120 | Y=0072.500-0083.740 | nhựa, bê tông xi măng
P=1896 | X=0121.730-0249.040 | Y=0090.260-0101.500 | Các tuyến đường giao thông
P=1896 | X=0121.730-0238.750 | Y=0101.780-0113.020 | đấu nối trực tiếp ra đường
P=1896 | X=0121.730-0235.360 | Y=0113.300-0124.540 | Lê Quý Đôn từ HLLG vào
P=1896 | X=0121.730-0246.620 | Y=0124.850-0136.090 | sâu trên 200m đến 500m có
P=1896 | X=0121.730-0234.900 | Y=0136.370-0147.610 | khoảng cách từ điểm đấu
P=1896 | X=0121.730-0303.790 | Y=0147.650-0158.890 | nối đến Đường Ngô Quyền Đường Ngô
P=1896 | X=0320.760-0372.180 | Y=0147.650-0158.890 | Ngã tư Bàu
P=1896 | X=0097.250-0113.900 | Y=0155.290-0164.610 | 426
P=1896 | X=0414.860-0431.500 | Y=0155.290-0164.610 | 430
P=1896 | X=0459.530-0476.170 | Y=0155.290-0164.610 | 340
P=1896 | X=0505.390-0522.030 | Y=0155.290-0164.610 | 200
P=1896 | X=0121.730-0280.500 | Y=0159.170-0170.410 | hoặc Ngã tư Bàu Trúc trong Quyền
P=1896 | X=0320.760-0340.910 | Y=0161.050-0170.370 | Trúc
P=1896 | X=0121.730-0243.540 | Y=0172.570-0181.890 | phạm vi 200m trở lên có bề
P=1896 | X=0121.730-0238.550 | Y=0182.210-0193.450 | rộng mặt đường từ 4m trở
P=1896 | X=0121.730-0226.790 | Y=0193.730-0204.970 | lên đã được đầu tư mặt
P=1896 | X=0121.730-0226.710 | Y=0205.270-0216.510 | đường nhựa, bê tông xi
P=1896 | X=0121.730-0147.010 | Y=0216.790-0228.030 | măng
P=1896 | X=0121.730-0249.040 | Y=0234.550-0245.790 | Các tuyến đường giao thông
P=1896 | X=0121.730-0238.750 | Y=0246.070-0257.310 | đấu nối trực tiếp ra đường
P=1896 | X=0121.730-0235.360 | Y=0257.590-0268.830 | Lê Quý Đôn từ HLLG vào
P=1896 | X=0121.730-0246.620 | Y=0269.110-0280.350 | sâu trên 200m đến 500m có
P=1896 | X=0250.900-0371.510 | Y=0274.870-0286.110 | Phú Riềng Đỏ Ngô Quyền
P=1896 | X=0097.250-0113.890 | Y=0276.750-0286.070 | 427
P=1896 | X=0414.860-0431.500 | Y=0276.750-0286.070 | 430
P=1896 | X=0459.530-0476.170 | Y=0276.750-0286.070 | 340
P=1896 | X=0505.390-0522.030 | Y=0276.750-0286.070 | 200
P=1896 | X=0121.730-0236.710 | Y=0280.630-0291.870 | bề rộng mặt đường từ 4m
P=1896 | X=0121.730-0242.420 | Y=0291.940-0303.180 | trở lên đã được đầu tư mặt
P=1896 | X=0121.730-0226.710 | Y=0303.460-0314.700 | đường nhựa, bê tông xi
P=1896 | X=0121.730-0147.010 | Y=0314.980-0326.220 | măng
P=1896 | X=0121.730-0249.040 | Y=0332.740-0343.980 | Các tuyến đường giao thông
P=1896 | X=0121.730-0238.750 | Y=0344.260-0355.500 | đấu nối trực tiếp ra đường
P=1896 | X=0121.730-0235.360 | Y=0355.780-0367.020 | Lê Quý Đôn từ HLLG vào
P=1896 | X=0121.730-0303.790 | Y=0367.320-0378.560 | sâu trên 200m đến 500m có Đường Ngô
P=1896 | X=0320.760-0372.180 | Y=0367.320-0378.560 | Ngã tư Bàu
P=1896 | X=0097.250-0113.890 | Y=0374.960-0384.280 | 428
P=1896 | X=0414.860-0431.500 | Y=0374.960-0384.280 | 430
P=1896 | X=0459.530-0476.170 | Y=0374.960-0384.280 | 340
P=1896 | X=0505.390-0522.030 | Y=0374.960-0384.280 | 200
P=1896 | X=0121.730-0280.500 | Y=0378.840-0390.080 | bề rộng mặt đường từ 4m Quyền
P=1896 | X=0320.760-0340.910 | Y=0380.720-0390.040 | Trúc
P=1896 | X=0121.730-0242.420 | Y=0390.360-0401.600 | trở lên đã được đầu tư mặt
P=1896 | X=0121.730-0226.710 | Y=0401.880-0413.120 | đường nhựa, bê tông xi
P=1896 | X=0121.730-0147.010 | Y=0413.400-0424.640 | măng
P=1896 | X=0121.730-0249.040 | Y=0431.160-0442.400 | Các tuyến đường giao thông
P=1896 | X=0121.730-0238.750 | Y=0442.440-0453.680 | đấu nối trực tiếp ra đường
P=1896 | X=0121.730-0235.360 | Y=0453.980-0465.220 | Lê Quý Đôn từ HLLG vào
P=1896 | X=0121.730-0234.640 | Y=0467.380-0476.700 | sâu trên 500m có khoảng
P=1896 | X=0121.730-0234.900 | Y=0477.020-0488.260 | cách từ điểm đấu nối đến
P=1896 | X=0097.250-0229.830 | Y=0488.540-0499.780 | 429 Phú Riềng Đỏ hoặc Ngô
P=1896 | X=0250.900-0371.510 | Y=0488.540-0499.780 | Phú Riềng Đỏ Ngô Quyền
P=1896 | X=0414.860-0431.500 | Y=0490.420-0499.740 | 430
P=1896 | X=0459.530-0476.170 | Y=0490.420-0499.740 | 340
P=1896 | X=0505.390-0522.030 | Y=0490.420-0499.740 | 200
P=1896 | X=0121.730-0242.450 | Y=0501.940-0511.260 | Quyền trong phạm vi 200m
P=1896 | X=0121.730-0220.070 | Y=0513.460-0522.780 | trở lên có bề rộng mặt
P=1896 | X=0121.730-0226.230 | Y=0523.100-0534.340 | đường từ 4m trở lên đã
P=1896 | X=0121.730-0229.600 | Y=0534.650-0545.890 | được đầu tư mặt đường
P=1896 | X=0121.730-0222.120 | Y=0546.170-0557.410 | nhựa, bê tông xi măng
