TABLE=002 | AREA=Phường Trấn Biên | SECTION=agricultural | SEGMENTS=1
P=0050 | X=0113.090-0425.770 | Y=0631.870-0643.110 | đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình Phùng có hiện
P=0050 | X=0113.090-0284.870 | Y=0643.390-0654.630 | trạng là đường nhựa, bê tông xi măng:
P=0050 | X=0093.140-0336.260 | Y=0660.910-0674.990 | 256 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0050 | X=0468.890-0485.530 | Y=0665.670-0674.990 | 860
P=0050 | X=0505.390-0522.030 | Y=0665.670-0674.990 | 570
P=0050 | X=0113.090-0419.510 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0050 | X=0113.090-0146.610 | Y=0689.950-0701.190 | ≤600m.
P=0050 | X=0113.090-0336.260 | Y=0707.490-0718.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0051 | X=0113.090-0448.770 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Nghĩa
P=0051 | X=0113.090-0425.770 | Y=0090.020-0101.260 | đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình Phùng có hiện
P=0051 | X=0113.090-0284.870 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=0051 | X=0093.140-0109.780 | Y=0109.420-0118.740 | 257
P=0051 | X=0468.890-0485.530 | Y=0109.420-0118.740 | 670
P=0051 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 450
P=0051 | X=0113.090-0390.520 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0051 | X=0113.090-0336.730 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0051 | X=0113.090-0432.730 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0051 | X=0113.090-0446.140 | Y=0165.650-0176.890 | Nguyễn Văn Nghĩa đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình
P=0051 | X=0113.090-0351.620 | Y=0177.170-0188.410 | Phùng có hiện trạng là đường nhựa, bê tông xi măng:
P=0051 | X=0093.140-0109.780 | Y=0185.050-0194.370 | 258
P=0051 | X=0460.730-0485.780 | Y=0185.050-0194.370 | 1.030
P=0051 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 680
P=0051 | X=0113.090-0336.000 | Y=0194.690-0205.930 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0051 | X=0113.090-0390.280 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0051 | X=0113.090-0432.730 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0051 | X=0113.090-0446.140 | Y=0241.510-0252.750 | Nguyễn Văn Nghĩa đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình
P=0051 | X=0113.090-0351.620 | Y=0253.030-0264.270 | Phùng có hiện trạng là đường nhựa, bê tông xi măng:
P=0051 | X=0093.140-0336.260 | Y=0270.550-0284.630 | 259 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0051 | X=0468.890-0485.530 | Y=0275.310-0284.630 | 860
P=0051 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 570
P=0051 | X=0113.090-0419.510 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0051 | X=0113.090-0146.610 | Y=0299.620-0310.860 | ≤600m.
P=0051 | X=0113.090-0336.260 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0051 | X=0113.090-0432.730 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0051 | X=0113.090-0446.140 | Y=0346.420-0357.660 | Nguyễn Văn Nghĩa đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình
P=0051 | X=0113.090-0351.620 | Y=0357.700-0368.940 | Phùng có hiện trạng là đường nhựa, bê tông xi măng:
P=0051 | X=0093.140-0109.780 | Y=0365.580-0374.900 | 260
P=0051 | X=0468.890-0485.530 | Y=0365.580-0374.900 | 670
P=0051 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 450
P=0051 | X=0113.090-0390.520 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0051 | X=0113.090-0339.380 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0051 | X=0252.580-0331.630 | Y=0410.520-0421.760 | Đường Phan Chu
P=0051 | X=0346.680-0428.620 | Y=0410.520-0421.760 | Đường Phan Đình
P=0051 | X=0093.140-0217.260 | Y=0416.280-0427.520 | 261 Đường Nguyễn Văn Ký
P=0051 | X=0460.730-0485.780 | Y=0418.160-0427.480 | 1.500
P=0051 | X=0505.390-0522.030 | Y=0418.160-0427.480 | 970
P=0051 | X=0252.580-0275.680 | Y=0423.920-0433.240 | Trinh
P=0051 | X=0346.680-0375.570 | Y=0423.920-0433.240 | Phùng
P=0051 | X=0113.090-0433.810 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Ký
P=0051 | X=0113.090-0425.770 | Y=0451.340-0462.580 | đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình Phùng có hiện
P=0051 | X=0113.090-0284.870 | Y=0462.860-0474.100 | trạng là đường nhựa, bê tông xi măng:
P=0051 | X=0093.140-0109.780 | Y=0470.740-0480.060 | 262
P=0051 | X=0460.730-0485.780 | Y=0470.740-0480.060 | 1.030
P=0051 | X=0505.390-0522.030 | Y=0470.740-0480.060 | 680
P=0051 | X=0113.090-0336.000 | Y=0480.380-0491.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0051 | X=0113.090-0390.280 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0051 | X=0113.090-0433.810 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Ký
P=0051 | X=0113.090-0425.770 | Y=0527.180-0538.420 | đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình Phùng có hiện
P=0051 | X=0113.090-0284.870 | Y=0538.490-0549.730 | trạng là đường nhựa, bê tông xi măng:
P=0051 | X=0093.140-0336.260 | Y=0556.010-0570.330 | 263 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0051 | X=0468.890-0485.530 | Y=0561.010-0570.330 | 860
P=0051 | X=0505.390-0522.030 | Y=0561.010-0570.330 | 570
P=0051 | X=0113.090-0419.510 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0051 | X=0113.090-0146.610 | Y=0585.050-0596.290 | ≤600m.
P=0051 | X=0113.090-0336.260 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0051 | X=0113.090-0433.810 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Ký
P=0051 | X=0113.090-0425.770 | Y=0631.870-0643.110 | đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình Phùng có hiện
P=0051 | X=0113.090-0284.870 | Y=0643.390-0654.630 | trạng là đường nhựa, bê tông xi măng:
P=0051 | X=0093.140-0109.780 | Y=0651.270-0660.590 | 264
P=0051 | X=0468.890-0485.530 | Y=0651.270-0660.590 | 670
P=0051 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 450
P=0051 | X=0113.090-0390.520 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0051 | X=0113.090-0336.730 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0051 | X=0113.090-0432.730 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0051 | X=0093.140-0109.780 | Y=0703.860-0713.180 | 265
P=0051 | X=0460.730-0485.780 | Y=0703.860-0713.180 | 1.030
P=0051 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 680
P=0051 | X=0113.090-0431.260 | Y=0707.730-0718.970 | Nguyễn Văn Ký đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình
P=0052 | X=0113.090-0351.620 | Y=0072.500-0083.740 | Phùng có hiện trạng là đường nhựa, bê tông xi măng:
P=0052 | X=0113.090-0336.000 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0052 | X=0113.090-0390.300 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0052 | X=0113.090-0432.730 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0052 | X=0113.090-0431.260 | Y=0136.850-0148.090 | Nguyễn Văn Ký đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình
P=0052 | X=0113.090-0351.620 | Y=0148.370-0159.610 | Phùng có hiện trạng là đường nhựa, bê tông xi măng:
P=0052 | X=0093.140-0336.260 | Y=0165.650-0179.970 | 266 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0052 | X=0468.890-0485.530 | Y=0170.650-0179.970 | 860
P=0052 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 570
P=0052 | X=0113.090-0419.510 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0052 | X=0113.090-0146.610 | Y=0194.690-0205.930 | ≤600m.
P=0052 | X=0113.090-0336.260 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0052 | X=0113.090-0432.730 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0052 | X=0113.090-0431.260 | Y=0241.510-0252.750 | Nguyễn Văn Ký đoạn từ Đường Phan Chu Trinh đến Đường Phan Đình
P=0052 | X=0113.090-0351.620 | Y=0253.030-0264.270 | Phùng có hiện trạng là đường nhựa, bê tông xi măng:
P=0052 | X=0093.140-0109.780 | Y=0260.910-0270.230 | 267
P=0052 | X=0468.890-0485.530 | Y=0260.910-0270.230 | 670
P=0052 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 450
P=0052 | X=0113.090-0390.520 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0052 | X=0113.090-0339.380 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0052 | X=0093.140-0204.850 | Y=0305.860-0317.100 | 268 Đường Hà Huy Giáp
P=0052 | X=0346.680-0430.780 | Y=0305.860-0317.100 | Đường Võ Thị Sáu
P=0052 | X=0252.580-0315.380 | Y=0307.740-0317.060 | Cầu Rạch Cát
P=0052 | X=0460.730-0485.780 | Y=0307.740-0317.060 | 1.500
P=0052 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 970
P=0052 | X=0113.090-0446.660 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Huy Giáp đoạn
P=0052 | X=0113.090-0441.340 | Y=0335.140-0346.380 | từ Cầu Rạch Cát đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0052 | X=0113.090-0173.250 | Y=0346.660-0357.900 | tông xi măng:
P=0052 | X=0093.140-0109.780 | Y=0354.540-0363.860 | 269
P=0052 | X=0460.730-0485.780 | Y=0354.540-0363.860 | 1.030
P=0052 | X=0505.390-0522.030 | Y=0354.540-0363.860 | 680
P=0052 | X=0113.090-0336.000 | Y=0363.940-0375.180 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0052 | X=0113.090-0390.280 | Y=0381.480-0392.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0052 | X=0113.090-0446.660 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Huy Giáp đoạn
P=0052 | X=0113.090-0441.340 | Y=0410.760-0422.000 | từ Cầu Rạch Cát đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0052 | X=0113.090-0173.250 | Y=0422.280-0433.520 | tông xi măng:
P=0052 | X=0093.140-0336.260 | Y=0439.800-0454.120 | 270 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0052 | X=0468.890-0485.530 | Y=0444.800-0454.120 | 860
P=0052 | X=0505.390-0522.030 | Y=0444.800-0454.120 | 570
P=0052 | X=0113.090-0419.500 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0052 | X=0113.090-0146.610 | Y=0468.860-0480.100 | ≤600m.
P=0052 | X=0113.090-0336.260 | Y=0486.380-0497.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0052 | X=0113.090-0446.660 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Huy Giáp đoạn
P=0052 | X=0113.090-0441.340 | Y=0515.660-0526.900 | từ Cầu Rạch Cát đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0052 | X=0113.090-0173.250 | Y=0527.180-0538.420 | tông xi măng:
P=0052 | X=0093.140-0109.780 | Y=0535.090-0544.410 | 271
P=0052 | X=0468.890-0485.530 | Y=0535.090-0544.410 | 670
P=0052 | X=0505.390-0522.030 | Y=0535.090-0544.410 | 450
P=0052 | X=0113.090-0390.520 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0052 | X=0113.090-0336.730 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0052 | X=0113.090-0448.330 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường Hà
P=0052 | X=0113.090-0435.100 | Y=0591.290-0602.530 | Huy Giáp đoạn từ Cầu Rạch Cát đến Đường Võ Thị Sáu có hiện trạng là
P=0052 | X=0113.090-0248.900 | Y=0602.810-0614.050 | đường nhựa, bê tông xi măng:
P=0052 | X=0093.140-0109.780 | Y=0610.690-0620.010 | 272
P=0052 | X=0460.730-0485.780 | Y=0610.690-0620.010 | 1.030
P=0052 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 680
P=0052 | X=0113.090-0336.000 | Y=0620.350-0631.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0052 | X=0113.090-0390.280 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0052 | X=0113.090-0448.330 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường Hà
P=0052 | X=0113.090-0435.100 | Y=0667.150-0678.390 | Huy Giáp đoạn từ Cầu Rạch Cát đến Đường Võ Thị Sáu có hiện trạng là
P=0052 | X=0093.140-0248.860 | Y=0677.670-0689.910 | 273 đường nhựa, bê tông xi măng:
P=0052 | X=0468.890-0485.530 | Y=0677.670-0686.990 | 860
P=0052 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 570
P=0052 | X=0113.090-0336.260 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0053 | X=0113.090-0419.510 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0053 | X=0113.090-0146.610 | Y=0090.020-0101.260 | ≤600m.
P=0053 | X=0113.090-0336.260 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0053 | X=0113.090-0448.330 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường Hà
P=0053 | X=0113.090-0435.100 | Y=0136.850-0148.090 | Huy Giáp đoạn từ Cầu Rạch Cát đến Đường Võ Thị Sáu có hiện trạng là
P=0053 | X=0113.090-0248.860 | Y=0148.370-0159.610 | đường nhựa, bê tông xi măng:
P=0053 | X=0093.140-0109.780 | Y=0156.250-0165.570 | 274
P=0053 | X=0468.890-0485.530 | Y=0156.250-0165.570 | 670
P=0053 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 450
P=0053 | X=0113.090-0390.520 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0053 | X=0113.090-0339.380 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0053 | X=0093.140-0204.870 | Y=0200.950-0212.190 | 275 Đường Hà Huy Giáp
P=0053 | X=0252.580-0437.000 | Y=0200.950-0212.190 | Đường Võ Thị Sáu Ngã năm Biên Hùng
P=0053 | X=0460.730-0485.780 | Y=0202.830-0212.150 | 1.500
P=0053 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 970
P=0053 | X=0113.090-0446.660 | Y=0218.710-0229.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Huy Giáp đoạn
P=0053 | X=0113.090-0425.500 | Y=0230.230-0241.470 | từ Đường Võ Thị Sáu đến Ngã năm Biên Hùng có hiện trạng là đường
P=0053 | X=0113.090-0216.200 | Y=0241.750-0252.990 | nhựa, bê tông xi măng:
P=0053 | X=0093.140-0109.780 | Y=0249.630-0258.950 | 276
P=0053 | X=0460.730-0485.780 | Y=0249.630-0258.950 | 1.030
P=0053 | X=0505.390-0522.030 | Y=0249.630-0258.950 | 680
P=0053 | X=0113.090-0336.010 | Y=0259.270-0270.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0053 | X=0113.090-0390.280 | Y=0276.790-0288.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0053 | X=0113.090-0446.660 | Y=0294.580-0305.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Huy Giáp đoạn
P=0053 | X=0113.090-0425.500 | Y=0306.100-0317.340 | từ Đường Võ Thị Sáu đến Ngã năm Biên Hùng có hiện trạng là đường
P=0053 | X=0113.090-0216.200 | Y=0317.620-0328.860 | nhựa, bê tông xi măng:
P=0053 | X=0093.140-0336.260 | Y=0335.140-0349.220 | 277 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0053 | X=0468.890-0485.530 | Y=0339.900-0349.220 | 860
P=0053 | X=0505.390-0522.030 | Y=0339.900-0349.220 | 570
P=0053 | X=0113.090-0419.510 | Y=0352.660-0363.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0053 | X=0113.090-0146.610 | Y=0363.940-0375.180 | ≤600m.
P=0053 | X=0113.090-0336.260 | Y=0381.480-0392.720 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0053 | X=0113.090-0446.660 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà Huy Giáp đoạn
P=0053 | X=0113.090-0425.500 | Y=0410.760-0422.000 | từ Đường Võ Thị Sáu đến Ngã năm Biên Hùng có hiện trạng là đường
P=0053 | X=0113.090-0216.200 | Y=0422.280-0433.520 | nhựa, bê tông xi măng:
P=0053 | X=0093.140-0109.780 | Y=0430.160-0439.480 | 278
P=0053 | X=0468.890-0485.530 | Y=0430.160-0439.480 | 670
P=0053 | X=0505.390-0522.030 | Y=0430.160-0439.480 | 450
P=0053 | X=0113.090-0390.520 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0053 | X=0113.090-0336.730 | Y=0457.340-0468.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0053 | X=0113.090-0448.330 | Y=0475.100-0486.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường Hà
P=0053 | X=0113.090-0426.260 | Y=0486.620-0497.860 | Huy Giáp đoạn từ Đường Võ Thị Sáu đến Ngã năm Biên Hùng có hiện
P=0053 | X=0113.090-0284.870 | Y=0498.140-0509.380 | trạng là đường nhựa, bê tông xi măng:
P=0053 | X=0093.140-0109.780 | Y=0506.020-0515.340 | 279
P=0053 | X=0460.730-0485.780 | Y=0506.020-0515.340 | 1.030
P=0053 | X=0505.390-0522.030 | Y=0506.020-0515.340 | 680
P=0053 | X=0113.090-0336.000 | Y=0515.660-0526.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0053 | X=0113.090-0390.280 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0053 | X=0113.090-0448.330 | Y=0550.970-0562.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường Hà
P=0053 | X=0113.090-0426.260 | Y=0562.250-0573.490 | Huy Giáp đoạn từ Đường Võ Thị Sáu đến Ngã năm Biên Hùng có hiện
P=0053 | X=0113.090-0284.870 | Y=0573.770-0585.010 | trạng là đường nhựa, bê tông xi măng:
P=0053 | X=0093.140-0336.260 | Y=0591.290-0605.610 | 280 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0053 | X=0468.890-0485.530 | Y=0596.290-0605.610 | 860
P=0053 | X=0505.390-0522.030 | Y=0596.290-0605.610 | 570
P=0053 | X=0113.090-0419.510 | Y=0608.810-0620.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0053 | X=0113.090-0146.610 | Y=0620.350-0631.590 | ≤600m.
P=0053 | X=0113.090-0336.260 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0053 | X=0113.090-0448.330 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường Hà
P=0053 | X=0113.090-0426.260 | Y=0667.150-0678.390 | Huy Giáp đoạn từ Đường Võ Thị Sáu đến Ngã năm Biên Hùng có hiện
P=0053 | X=0093.140-0284.870 | Y=0677.670-0689.910 | 281 trạng là đường nhựa, bê tông xi măng:
P=0053 | X=0468.890-0485.530 | Y=0677.670-0686.990 | 670
P=0053 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 450
P=0053 | X=0113.090-0390.520 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0054 | X=0113.090-0339.380 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0054 | X=0346.680-0438.490 | Y=0096.260-0107.500 | Hết ranh thửa đất số
P=0054 | X=0346.680-0444.730 | Y=0107.780-0119.020 | 3, tờ BĐĐC số 217 về
P=0054 | X=0346.680-0437.980 | Y=0121.210-0130.530 | bên phải và hết ranh
P=0054 | X=0093.140-0239.940 | Y=0125.090-0136.330 | 282 Đường Nguyễn Thành Đồng
P=0054 | X=0252.580-0344.340 | Y=0125.090-0136.330 | Đường Hà Huy Giáp
P=0054 | X=0460.730-0485.780 | Y=0126.970-0136.290 | 1.500
P=0054 | X=0505.390-0522.030 | Y=0126.970-0136.290 | 970
P=0054 | X=0346.680-0431.830 | Y=0130.850-0142.090 | thửa đất số 136, tờ
P=0054 | X=0346.680-0440.890 | Y=0142.370-0153.610 | BĐĐC số 207 về bên
P=0054 | X=0346.680-0360.670 | Y=0155.530-0164.850 | trái
P=0054 | X=0113.090-0429.830 | Y=0171.410-0182.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Thành
P=0054 | X=0113.090-0437.500 | Y=0182.930-0194.170 | Đồng đoạn từ Đường Hà Huy Giáp đến Hết ranh thửa đất số 3, tờ BĐĐC
P=0054 | X=0113.090-0435.100 | Y=0194.450-0205.690 | số 217 về bên phải và hết ranh thửa đất số 136, tờ BĐĐC số 207 về bên
P=0054 | X=0093.140-0336.760 | Y=0205.990-0217.430 | 283 trái có hiện trạng là đường nhựa, bê tông xi măng:
P=0054 | X=0460.730-0485.780 | Y=0208.110-0217.430 | 1.030
P=0054 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 680
P=0054 | X=0113.090-0336.000 | Y=0223.510-0234.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0054 | X=0113.090-0390.280 | Y=0241.030-0252.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0054 | X=0113.090-0429.830 | Y=0258.790-0270.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Thành
P=0054 | X=0113.090-0437.500 | Y=0270.310-0281.550 | Đồng đoạn từ Đường Hà Huy Giáp đến Hết ranh thửa đất số 3, tờ BĐĐC
P=0054 | X=0113.090-0435.100 | Y=0281.860-0293.100 | số 217 về bên phải và hết ranh thửa đất số 136, tờ BĐĐC số 207 về bên
P=0054 | X=0113.090-0336.730 | Y=0293.380-0304.620 | trái có hiện trạng là đường nhựa, bê tông xi măng:
P=0054 | X=0093.140-0336.260 | Y=0309.900-0322.140 | 284 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0054 | X=0468.890-0485.530 | Y=0309.900-0319.220 | 860
P=0054 | X=0505.390-0522.030 | Y=0309.900-0319.220 | 570
P=0054 | X=0113.090-0419.510 | Y=0328.420-0339.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0054 | X=0113.090-0146.610 | Y=0339.700-0350.940 | ≤600m.
P=0054 | X=0113.090-0336.260 | Y=0357.220-0368.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0054 | X=0113.090-0429.830 | Y=0375.000-0386.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Thành
P=0054 | X=0113.090-0437.500 | Y=0386.520-0397.760 | Đồng đoạn từ Đường Hà Huy Giáp đến Hết ranh thửa đất số 3, tờ BĐĐC
P=0054 | X=0113.090-0435.100 | Y=0398.040-0409.280 | số 217 về bên phải và hết ranh thửa đất số 136, tờ BĐĐC số 207 về bên
P=0054 | X=0093.140-0336.730 | Y=0409.560-0421.000 | 285 trái có hiện trạng là đường nhựa, bê tông xi măng:
P=0054 | X=0468.890-0485.530 | Y=0411.680-0421.000 | 670
P=0054 | X=0505.390-0522.030 | Y=0411.680-0421.000 | 450
P=0054 | X=0113.090-0390.520 | Y=0427.080-0438.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0054 | X=0113.090-0336.730 | Y=0444.600-0455.840 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0054 | X=0113.090-0432.730 | Y=0462.380-0473.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0054 | X=0113.090-0437.850 | Y=0473.900-0485.140 | Nguyễn Thành Đồng đoạn từ Đường Hà Huy Giáp đến Hết ranh thửa đất
P=0054 | X=0113.090-0437.260 | Y=0485.420-0496.660 | số 3, tờ BĐĐC số 217 về bên phải và hết ranh thửa đất số 136, tờ BĐĐC
P=0054 | X=0093.140-0402.260 | Y=0496.940-0508.380 | 286 số 207 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=0054 | X=0460.730-0485.780 | Y=0499.060-0508.380 | 1.030
P=0054 | X=0505.390-0522.030 | Y=0499.060-0508.380 | 680
P=0054 | X=0113.090-0336.000 | Y=0514.220-0525.460 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0054 | X=0113.090-0390.280 | Y=0531.740-0542.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0054 | X=0113.090-0432.730 | Y=0549.530-0560.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0054 | X=0113.090-0437.850 | Y=0561.050-0572.290 | Nguyễn Thành Đồng đoạn từ Đường Hà Huy Giáp đến Hết ranh thửa đất
P=0054 | X=0113.090-0437.260 | Y=0572.570-0583.810 | số 3, tờ BĐĐC số 217 về bên phải và hết ranh thửa đất số 136, tờ BĐĐC
