TABLE=036 | AREA=Xã An Viễn | SECTION=agricultural | SEGMENTS=2
P=1319 | X=0246.340-0291.620 | Y=0690.430-0701.670 | Điểm đầu
P=1319 | X=0340.680-0388.620 | Y=0690.430-0701.670 | Điểm cuối
P=1319 | X=0097.250-0109.650 | Y=0692.310-0701.630 | TT
P=1319 | X=0421.610-0516.670 | Y=0696.190-0707.430 | lâu năm, xuất, đất
P=1319 | X=0156.050-0184.020 | Y=0698.070-0707.390 | thông
P=1319 | X=0420.410-0520.900 | Y=0707.730-0718.970 | đất trồng nuôi trồng
P=1320 | X=0420.410-0463.990 | Y=0074.140-0083.460 | cây hằng
P=1320 | X=0475.610-0516.830 | Y=0074.140-0083.460 | thủy sản
P=1320 | X=0431.690-0452.400 | Y=0083.780-0095.020 | năm
P=1320 | X=0117.170-0187.340 | Y=0101.780-0113.020 | Đường tỉnh 777
P=1320 | X=0117.170-0209.110 | Y=0113.300-0124.540 | (đường Trảng Bom -
P=1320 | X=0223.030-0304.270 | Y=0113.300-0124.540 | Đường Vườn Ngô
P=1320 | X=0315.240-0362.940 | Y=0113.300-0124.540 | Đường sắt
P=1320 | X=0100.610-0106.210 | Y=0115.180-0124.500 | 1
P=1320 | X=0453.050-0469.690 | Y=0115.180-0124.500 | 730
P=1320 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 670
P=1320 | X=0117.170-0173.820 | Y=0126.730-0136.050 | Long Thành)
P=1320 | X=0117.170-0403.910 | Y=0142.610-0153.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1320 | X=0117.170-0408.940 | Y=0154.130-0165.370 | (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn Ngô đến
P=1320 | X=0117.170-0374.430 | Y=0165.410-0176.650 | Đường sắt có hiện trạng là đường nhựa, bê tông xi măng:
P=1320 | X=0100.610-0106.210 | Y=0173.290-0182.610 | 2
P=1320 | X=0453.050-0469.690 | Y=0173.290-0182.610 | 500
P=1320 | X=0505.390-0522.030 | Y=0173.290-0182.610 | 450
P=1320 | X=0117.170-0348.250 | Y=0182.930-0194.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1320 | X=0117.170-0394.360 | Y=0200.470-0211.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1320 | X=0117.170-0403.910 | Y=0218.230-0229.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1320 | X=0117.170-0408.940 | Y=0229.750-0240.990 | (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn Ngô đến
P=1320 | X=0117.170-0374.430 | Y=0241.270-0252.510 | Đường sắt có hiện trạng là đường nhựa, bê tông xi măng:
P=1320 | X=0117.170-0348.720 | Y=0258.790-0270.030 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1320 | X=0100.610-0106.210 | Y=0263.550-0272.870 | 3
P=1320 | X=0453.050-0469.690 | Y=0263.550-0272.870 | 400
P=1320 | X=0505.390-0522.030 | Y=0263.550-0272.870 | 350
P=1320 | X=0117.170-0404.060 | Y=0276.310-0287.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1320 | X=0117.170-0178.290 | Y=0287.860-0299.100 | đến ≤1.000m.
P=1320 | X=0117.170-0340.340 | Y=0305.380-0316.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1320 | X=0117.170-0403.910 | Y=0323.140-0334.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1320 | X=0117.170-0408.940 | Y=0334.660-0345.900 | (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn Ngô đến
P=1320 | X=0117.170-0374.430 | Y=0345.940-0357.180 | Đường sắt có hiện trạng là đường nhựa, bê tông xi măng:
P=1320 | X=0100.610-0106.210 | Y=0353.820-0363.140 | 4
P=1320 | X=0453.050-0469.690 | Y=0353.820-0363.140 | 290
P=1320 | X=0505.390-0522.030 | Y=0353.820-0363.140 | 250
P=1320 | X=0117.170-0390.730 | Y=0363.460-0374.700 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1320 | X=0117.170-0340.810 | Y=0381.000-0392.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1320 | X=0117.170-0402.430 | Y=0398.760-0410.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1320 | X=0117.170-0413.020 | Y=0410.280-0421.520 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1320 | X=0117.170-0412.780 | Y=0421.800-0433.040 | Vườn Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=1320 | X=0117.170-0145.170 | Y=0433.320-0444.560 | măng:
P=1320 | X=0100.610-0106.210 | Y=0435.440-0444.760 | 5
P=1320 | X=0453.050-0469.690 | Y=0435.440-0444.760 | 500
P=1320 | X=0505.390-0522.030 | Y=0435.440-0444.760 | 450
P=1320 | X=0117.170-0348.250 | Y=0450.860-0462.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1320 | X=0117.170-0382.080 | Y=0468.380-0479.620 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1320 | X=0117.170-0402.430 | Y=0486.140-0497.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1320 | X=0117.170-0413.020 | Y=0497.660-0508.900 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1320 | X=0117.170-0412.780 | Y=0509.180-0520.420 | Vườn Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=1320 | X=0117.170-0145.170 | Y=0520.460-0531.700 | măng:
P=1320 | X=0100.610-0106.210 | Y=0537.250-0546.570 | 6
P=1320 | X=0453.050-0469.690 | Y=0537.250-0546.570 | 400
P=1320 | X=0505.390-0522.030 | Y=0537.250-0546.570 | 350
P=1320 | X=0117.170-0348.720 | Y=0538.010-0549.250 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1320 | X=0117.170-0404.060 | Y=0555.530-0566.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1320 | X=0117.170-0178.290 | Y=0567.050-0578.290 | đến ≤1.000m.
P=1320 | X=0117.170-0340.340 | Y=0584.570-0595.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1320 | X=0117.170-0402.430 | Y=0602.330-0613.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1320 | X=0117.170-0413.020 | Y=0613.850-0625.090 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1320 | X=0117.170-0412.780 | Y=0625.390-0636.630 | Vườn Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=1320 | X=0117.170-0145.170 | Y=0636.910-0648.150 | măng:
P=1320 | X=0100.610-0106.210 | Y=0639.030-0648.350 | 7
P=1320 | X=0453.050-0469.690 | Y=0639.030-0648.350 | 290
P=1320 | X=0505.390-0522.030 | Y=0639.030-0648.350 | 250
P=1320 | X=0117.170-0390.730 | Y=0654.430-0665.670 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1320 | X=0117.170-0340.810 | Y=0671.950-0683.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1320 | X=0117.170-0187.340 | Y=0689.710-0700.950 | Đường tỉnh 777
P=1320 | X=0315.240-0403.870 | Y=0689.710-0700.950 | Hết khu dân cư Tân
P=1320 | X=0223.030-0270.740 | Y=0695.470-0706.710 | Đường sắt
P=1320 | X=0100.610-0106.210 | Y=0697.350-0706.670 | 8
P=1320 | X=0453.050-0469.690 | Y=0697.350-0706.670 | 730
P=1320 | X=0505.390-0522.030 | Y=0697.350-0706.670 | 670
P=1320 | X=0117.170-0209.110 | Y=0701.250-0712.490 | (đường Trảng Bom -
P=1320 | X=0315.240-0401.750 | Y=0701.250-0712.490 | Hưng và Tân Thịnh
P=1321 | X=0117.170-0173.820 | Y=0074.380-0083.700 | Long Thành)
P=1321 | X=0117.170-0403.910 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1321 | X=0117.170-0413.020 | Y=0101.780-0113.020 | (đường Trảng Bom - Long Thành) đoạn từ Đường sắt đến Hết khu
P=1321 | X=0117.170-0404.380 | Y=0113.300-0124.540 | dân cư Tân Hưng và Tân Thịnh có hiện trạng là đường nhựa, bê
P=1321 | X=0117.170-0177.330 | Y=0124.850-0136.090 | tông xi măng:
P=1321 | X=0100.610-0106.210 | Y=0126.970-0136.290 | 9
P=1321 | X=0453.050-0469.690 | Y=0126.970-0136.290 | 500
P=1321 | X=0505.390-0522.030 | Y=0126.970-0136.290 | 450
P=1321 | X=0117.170-0348.250 | Y=0142.370-0153.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1321 | X=0117.170-0394.360 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1321 | X=0117.170-0403.910 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1321 | X=0117.170-0413.020 | Y=0188.930-0200.170 | (đường Trảng Bom - Long Thành) đoạn từ Đường sắt đến Hết khu
P=1321 | X=0117.170-0404.380 | Y=0200.470-0211.710 | dân cư Tân Hưng và Tân Thịnh có hiện trạng là đường nhựa, bê
P=1321 | X=0117.170-0177.330 | Y=0211.990-0223.230 | tông xi măng:
P=1321 | X=0097.970-0348.720 | Y=0228.750-0240.750 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1321 | X=0453.050-0469.690 | Y=0228.750-0238.070 | 400
P=1321 | X=0505.390-0522.030 | Y=0228.750-0238.070 | 350
P=1321 | X=0117.170-0404.060 | Y=0247.030-0258.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1321 | X=0117.170-0181.150 | Y=0258.550-0269.790 | đến ≤ 1.000m.
P=1321 | X=0117.170-0340.340 | Y=0276.070-0287.310 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1321 | X=0117.170-0403.910 | Y=0293.860-0305.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1321 | X=0117.170-0413.020 | Y=0305.380-0316.620 | (đường Trảng Bom - Long Thành) đoạn từ Đường sắt đến Hết khu
P=1321 | X=0117.170-0404.380 | Y=0316.900-0328.140 | dân cư Tân Hưng và Tân Thịnh có hiện trạng là đường nhựa, bê
P=1321 | X=0097.970-0177.330 | Y=0328.420-0339.860 | 11 tông xi măng:
P=1321 | X=0453.050-0469.690 | Y=0330.540-0339.860 | 290
P=1321 | X=0505.390-0522.030 | Y=0330.540-0339.860 | 250
P=1321 | X=0117.170-0390.730 | Y=0345.700-0356.940 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1321 | X=0117.170-0340.820 | Y=0363.220-0374.460 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1321 | X=0117.170-0402.430 | Y=0381.000-0392.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1321 | X=0117.170-0413.020 | Y=0392.520-0403.760 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1321 | X=0117.170-0401.730 | Y=0404.040-0415.280 | sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1321 | X=0097.970-0252.940 | Y=0415.560-0427.000 | 12 đường nhựa, bê tông xi măng:
P=1321 | X=0453.050-0469.690 | Y=0417.680-0427.000 | 500
P=1321 | X=0505.390-0522.030 | Y=0417.680-0427.000 | 450
P=1321 | X=0117.170-0348.250 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1321 | X=0117.170-0394.360 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1321 | X=0117.170-0402.430 | Y=0468.380-0479.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1321 | X=0117.170-0413.020 | Y=0479.900-0491.140 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1321 | X=0117.170-0401.730 | Y=0491.420-0502.660 | sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1321 | X=0117.170-0252.940 | Y=0502.940-0514.180 | đường nhựa, bê tông xi măng:
P=1321 | X=0097.970-0348.720 | Y=0519.460-0531.460 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1321 | X=0453.050-0469.690 | Y=0519.460-0528.780 | 400
P=1321 | X=0505.390-0522.030 | Y=0519.460-0528.780 | 350
P=1321 | X=0117.170-0404.060 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1321 | X=0117.170-0178.290 | Y=0549.290-0560.530 | đến ≤1.000m.
P=1321 | X=0117.170-0340.340 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1321 | X=0117.170-0402.430 | Y=0584.570-0595.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1321 | X=0117.170-0413.020 | Y=0596.090-0607.330 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1321 | X=0117.170-0401.730 | Y=0607.610-0618.850 | sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1321 | X=0097.970-0252.940 | Y=0619.150-0630.590 | 14 đường nhựa, bê tông xi măng:
P=1321 | X=0453.050-0469.690 | Y=0621.270-0630.590 | 290
P=1321 | X=0505.390-0522.030 | Y=0621.270-0630.590 | 250
P=1321 | X=0117.170-0403.010 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1321 | X=0117.170-0340.810 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1321 | X=0117.170-0187.340 | Y=0671.950-0683.190 | Đường tỉnh 777
P=1321 | X=0223.030-0311.690 | Y=0677.710-0688.950 | Hết khu dân cư Tân
P=1321 | X=0097.970-0209.110 | Y=0683.470-0694.710 | 15 (đường Trảng Bom -
P=1321 | X=0315.240-0370.290 | Y=0685.350-0694.670 | Sông Buông
P=1321 | X=0453.050-0469.690 | Y=0685.350-0694.670 | 730
P=1321 | X=0505.390-0522.030 | Y=0685.350-0694.670 | 670
P=1321 | X=0223.030-0309.570 | Y=0689.230-0700.470 | Hưng và Tân Thịnh
P=1321 | X=0117.170-0173.820 | Y=0696.630-0705.950 | Long Thành)
P=1322 | X=0117.170-0403.910 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1322 | X=0117.170-0396.910 | Y=0090.020-0101.260 | (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân cư Tân
P=1322 | X=0117.170-0413.590 | Y=0101.540-0112.780 | Hưng và Tân Thịnh đến Sông Buông có hiện trạng là đường nhựa,
P=1322 | X=0097.970-0191.250 | Y=0113.060-0124.500 | 16 bê tông xi măng:
P=1322 | X=0453.050-0469.690 | Y=0115.180-0124.500 | 500
P=1322 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 450
P=1322 | X=0117.170-0348.250 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1322 | X=0117.170-0394.360 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1322 | X=0117.170-0403.910 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1322 | X=0117.170-0396.910 | Y=0177.170-0188.410 | (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân cư Tân
P=1322 | X=0117.170-0413.590 | Y=0188.690-0199.930 | Hưng và Tân Thịnh đến Sông Buông có hiện trạng là đường nhựa,
P=1322 | X=0117.170-0191.250 | Y=0200.230-0211.470 | bê tông xi măng:
P=1322 | X=0097.970-0348.720 | Y=0216.990-0228.990 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1322 | X=0453.050-0469.690 | Y=0216.990-0226.310 | 400
P=1322 | X=0505.390-0522.030 | Y=0216.990-0226.310 | 350
P=1322 | X=0117.170-0404.060 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1322 | X=0117.170-0178.290 | Y=0246.790-0258.030 | đến ≤1.000m.
P=1322 | X=0117.170-0340.340 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1322 | X=0117.170-0403.910 | Y=0282.100-0293.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1322 | X=0117.170-0396.910 | Y=0293.620-0304.860 | (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân cư Tân
P=1322 | X=0117.170-0413.590 | Y=0305.140-0316.380 | Hưng và Tân Thịnh đến Sông Buông có hiện trạng là đường nhựa,
P=1322 | X=0097.970-0191.250 | Y=0316.660-0328.100 | 18 bê tông xi măng:
P=1322 | X=0453.050-0469.690 | Y=0318.780-0328.100 | 290
P=1322 | X=0505.390-0522.030 | Y=0318.780-0328.100 | 250
P=1322 | X=0117.170-0390.730 | Y=0333.940-0345.180 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1322 | X=0117.170-0340.810 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1322 | X=0117.170-0402.430 | Y=0369.240-0380.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1322 | X=0117.170-0397.020 | Y=0380.760-0392.000 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Hết
P=1322 | X=0117.170-0388.780 | Y=0392.280-0403.520 | khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện
P=1322 | X=0097.970-0288.950 | Y=0403.800-0415.240 | 19 trạng là đường nhựa, bê tông xi măng:
P=1322 | X=0453.050-0469.690 | Y=0405.920-0415.240 | 500
P=1322 | X=0505.390-0522.030 | Y=0405.920-0415.240 | 450
P=1322 | X=0117.170-0348.250 | Y=0421.320-0432.560 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1322 | X=0117.170-0394.360 | Y=0438.840-0450.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1322 | X=0117.170-0402.430 | Y=0456.620-0467.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1322 | X=0117.170-0397.020 | Y=0468.140-0479.380 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Hết
P=1322 | X=0117.170-0388.780 | Y=0479.660-0490.900 | khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện
P=1322 | X=0117.170-0288.950 | Y=0491.180-0502.420 | trạng là đường nhựa, bê tông xi măng:
P=1322 | X=0097.970-0348.750 | Y=0507.700-0519.700 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1322 | X=0453.050-0469.690 | Y=0507.700-0517.020 | 400
P=1322 | X=0505.390-0522.030 | Y=0507.700-0517.020 | 350
P=1322 | X=0117.170-0404.060 | Y=0525.980-0537.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1322 | X=0117.170-0178.290 | Y=0537.530-0548.770 | đến ≤1.000m.
P=1322 | X=0117.170-0340.340 | Y=0555.050-0566.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1322 | X=0117.170-0402.430 | Y=0572.810-0584.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1322 | X=0117.170-0397.020 | Y=0584.330-0595.570 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Hết
P=1322 | X=0117.170-0388.780 | Y=0595.850-0607.090 | khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện
P=1322 | X=0097.970-0288.950 | Y=0607.370-0618.810 | 21 trạng là đường nhựa, bê tông xi măng:
P=1322 | X=0453.050-0469.690 | Y=0609.490-0618.810 | 290
P=1322 | X=0505.390-0522.030 | Y=0609.490-0618.810 | 250
P=1322 | X=0117.170-0390.730 | Y=0624.910-0636.150 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1322 | X=0117.170-0340.810 | Y=0642.430-0653.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1322 | X=0117.170-0187.340 | Y=0660.190-0671.430 | Đường tỉnh 777
P=1322 | X=0315.240-0390.440 | Y=0665.950-0677.190 | Ngã ba cây xăng
P=1322 | X=0097.970-0209.110 | Y=0671.710-0682.950 | 22 (đường Trảng Bom -
P=1322 | X=0223.030-0278.080 | Y=0673.590-0682.910 | Sông Buông
P=1322 | X=0453.050-0469.690 | Y=0673.590-0682.910 | 730
P=1322 | X=0505.390-0522.030 | Y=0673.590-0682.910 | 670
P=1322 | X=0315.240-0365.020 | Y=0677.470-0688.710 | Xuân Dũng
P=1322 | X=0117.170-0173.810 | Y=0685.110-0694.430 | Long Thành)
P=1322 | X=0097.970-0403.910 | Y=0700.770-0712.010 | 23 Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1322 | X=0453.050-0469.690 | Y=0702.660-0711.980 | 500
P=1322 | X=0505.390-0522.030 | Y=0702.660-0711.980 | 450
P=1323 | X=0117.170-0404.150 | Y=0072.500-0083.740 | (đường Trảng Bom - Long Thành) đoạn từ Sông Buông đến Ngã
P=1323 | X=0117.170-0403.150 | Y=0084.020-0095.260 | ba cây xăng Xuân Dũng có hiện trạng là đường nhựa, bê tông xi
P=1323 | X=0117.170-0145.170 | Y=0095.540-0106.780 | măng:
P=1323 | X=0117.170-0348.250 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1323 | X=0117.170-0382.080 | Y=0130.610-0141.850 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1323 | X=0117.170-0403.910 | Y=0148.370-0159.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1323 | X=0117.170-0404.150 | Y=0159.650-0170.890 | (đường Trảng Bom - Long Thành) đoạn từ Sông Buông đến Ngã
P=1323 | X=0117.170-0403.150 | Y=0171.170-0182.410 | ba cây xăng Xuân Dũng có hiện trạng là đường nhựa, bê tông xi
P=1323 | X=0117.170-0145.170 | Y=0182.690-0193.930 | măng:
P=1323 | X=0097.970-0348.720 | Y=0199.470-0211.470 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1323 | X=0453.050-0469.690 | Y=0199.470-0208.790 | 400
P=1323 | X=0505.390-0522.030 | Y=0199.470-0208.790 | 350
P=1323 | X=0117.170-0404.060 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1323 | X=0117.170-0178.290 | Y=0229.270-0240.510 | đến ≤1.000m.
P=1323 | X=0117.170-0340.340 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1323 | X=0117.170-0403.910 | Y=0264.550-0275.790 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1323 | X=0117.170-0404.150 | Y=0276.070-0287.310 | (đường Trảng Bom - Long Thành) đoạn từ Sông Buông đến Ngã
P=1323 | X=0117.170-0403.150 | Y=0287.620-0298.860 | ba cây xăng Xuân Dũng có hiện trạng là đường nhựa, bê tông xi
P=1323 | X=0097.970-0145.170 | Y=0299.140-0310.580 | 25 măng:
P=1323 | X=0453.050-0469.690 | Y=0301.260-0310.580 | 290
P=1323 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 250
P=1323 | X=0117.170-0402.980 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1323 | X=0117.170-0340.840 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1323 | X=0117.170-0402.430 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1323 | X=0117.170-0404.870 | Y=0363.220-0374.460 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Sông
P=1323 | X=0117.170-0400.300 | Y=0374.760-0386.000 | Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1323 | X=0097.970-0220.280 | Y=0386.280-0397.720 | 26 nhựa, bê tông xi măng:
P=1323 | X=0453.050-0469.690 | Y=0388.400-0397.720 | 500
P=1323 | X=0505.390-0522.030 | Y=0388.400-0397.720 | 450
P=1323 | X=0117.170-0348.260 | Y=0403.800-0415.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1323 | X=0117.170-0394.360 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1323 | X=0117.170-0402.430 | Y=0439.080-0450.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1323 | X=0117.170-0404.870 | Y=0450.620-0461.860 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Sông
P=1323 | X=0117.170-0400.310 | Y=0462.140-0473.380 | Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1323 | X=0117.170-0220.280 | Y=0473.660-0484.900 | nhựa, bê tông xi măng:
P=1323 | X=0097.970-0348.720 | Y=0490.180-0502.420 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1323 | X=0453.050-0469.690 | Y=0490.180-0499.500 | 400
P=1323 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 350
P=1323 | X=0117.170-0404.060 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1323 | X=0117.170-0178.290 | Y=0519.980-0531.220 | đến ≤1.000m.
P=1323 | X=0117.170-0340.340 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1323 | X=0117.170-0402.430 | Y=0555.290-0566.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1323 | X=0117.170-0404.870 | Y=0566.810-0578.050 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Sông
P=1323 | X=0117.170-0400.300 | Y=0578.330-0589.570 | Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1323 | X=0097.970-0220.280 | Y=0589.850-0601.290 | 28 nhựa, bê tông xi măng:
P=1323 | X=0453.050-0469.690 | Y=0591.970-0601.290 | 290
P=1323 | X=0505.390-0522.030 | Y=0591.970-0601.290 | 250
P=1323 | X=0117.170-0402.980 | Y=0607.370-0618.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1323 | X=0117.170-0340.810 | Y=0624.910-0636.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1323 | X=0117.170-0187.340 | Y=0642.670-0653.910 | Đường tỉnh 777
P=1323 | X=0223.030-0298.230 | Y=0648.430-0659.670 | Ngã ba cây xăng
P=1323 | X=0315.240-0397.660 | Y=0648.430-0659.670 | Giáp ranh phường
P=1323 | X=0097.970-0209.110 | Y=0654.190-0665.430 | 29 (đường Trảng Bom -
P=1323 | X=0453.050-0469.690 | Y=0656.070-0665.390 | 730
P=1323 | X=0505.390-0522.030 | Y=0656.070-0665.390 | 670
P=1323 | X=0223.030-0272.810 | Y=0659.950-0671.190 | Xuân Dũng
P=1323 | X=0315.240-0368.780 | Y=0659.950-0671.190 | Tam Phước
P=1323 | X=0117.170-0173.820 | Y=0667.590-0676.910 | Long Thành)
