TABLE=027 | AREA=Xã Xuân Bắc | SECTION=agricultural | SEGMENTS=1
P=0945 | X=0111.170-0334.340 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0945 | X=0111.170-0419.430 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4 ấp 3B
P=0945 | X=0111.170-0415.990 | Y=0654.430-0665.670 | xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 800 (thửa đất
P=0945 | X=0095.060-0415.270 | Y=0665.950-0680.030 | 60 số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng là đường nhựa,
P=0945 | X=0458.090-0474.730 | Y=0670.710-0680.030 | 180
P=0945 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 110
P=0945 | X=0111.170-0185.250 | Y=0677.470-0688.710 | bê tông xi măng:
P=0945 | X=0111.170-0396.980 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0946 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0946 | X=0111.170-0396.430 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0946 | X=0111.170-0409.750 | Y=0107.780-0119.020 | Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết
P=0946 | X=0111.170-0417.830 | Y=0119.330-0130.570 | mét thứ 800 (thửa đất số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện
P=0946 | X=0095.060-0282.950 | Y=0130.850-0142.290 | 61 trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0458.090-0474.730 | Y=0132.970-0142.290 | 330
P=0946 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 200
P=0946 | X=0111.170-0342.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0946 | X=0111.170-0388.360 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0946 | X=0111.170-0396.430 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0946 | X=0111.170-0409.750 | Y=0194.930-0206.170 | Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết
P=0946 | X=0111.170-0417.830 | Y=0206.470-0217.710 | mét thứ 800 (thửa đất số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện
P=0946 | X=0111.170-0282.950 | Y=0217.990-0229.230 | trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.060-0342.720 | Y=0234.750-0246.750 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0946 | X=0458.090-0474.730 | Y=0234.750-0244.070 | 260
P=0946 | X=0505.390-0522.030 | Y=0234.750-0244.070 | 150
P=0946 | X=0111.170-0417.590 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0946 | X=0111.170-0152.850 | Y=0264.550-0275.790 | ≤1.000m.
P=0946 | X=0111.170-0334.340 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0946 | X=0111.170-0396.430 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0946 | X=0111.170-0409.750 | Y=0311.380-0322.620 | Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết
P=0946 | X=0111.170-0417.830 | Y=0322.900-0334.140 | mét thứ 800 (thửa đất số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện
P=0946 | X=0095.060-0282.950 | Y=0334.420-0345.860 | 63 trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0458.090-0474.730 | Y=0336.540-0345.860 | 180
P=0946 | X=0505.390-0522.030 | Y=0336.540-0345.860 | 110
P=0946 | X=0111.170-0396.980 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0946 | X=0111.170-0334.810 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0946 | X=0111.170-0242.070 | Y=0387.000-0398.240 | Đường tổ 3+4 ấp 3B xã Xuân
P=0946 | X=0334.680-0414.870 | Y=0387.000-0398.240 | Đường tổ 6 ấp 3B
P=0946 | X=0095.060-0106.180 | Y=0394.640-0403.960 | 64
P=0946 | X=0245.140-0299.220 | Y=0394.640-0403.960 | Mét thứ 800
P=0946 | X=0458.090-0474.730 | Y=0394.640-0403.960 | 470
P=0946 | X=0505.390-0522.030 | Y=0394.640-0403.960 | 330
P=0946 | X=0111.170-0128.450 | Y=0400.400-0409.720 | Bắc
P=0946 | X=0334.680-0391.580 | Y=0400.400-0409.720 | xã Xuân Bắc
P=0946 | X=0111.170-0419.430 | Y=0416.280-0427.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4 ấp 3B
P=0946 | X=0111.170-0423.740 | Y=0427.800-0439.040 | xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ 6 ấp 3B xã Xuân Bắc
P=0946 | X=0111.170-0318.020 | Y=0439.320-0450.560 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.060-0106.180 | Y=0447.200-0456.520 | 65
P=0946 | X=0458.090-0474.730 | Y=0447.200-0456.520 | 330
P=0946 | X=0505.390-0522.030 | Y=0447.200-0456.520 | 200
P=0946 | X=0111.170-0342.250 | Y=0456.860-0468.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0946 | X=0111.170-0388.360 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0946 | X=0111.170-0419.430 | Y=0492.140-0503.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4 ấp 3B
P=0946 | X=0111.170-0423.740 | Y=0503.660-0514.900 | xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ 6 ấp 3B xã Xuân Bắc
P=0946 | X=0111.170-0318.020 | Y=0515.180-0526.420 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.060-0342.720 | Y=0532.490-0546.810 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0946 | X=0458.090-0474.730 | Y=0537.490-0546.810 | 260
P=0946 | X=0505.390-0522.030 | Y=0537.490-0546.810 | 150
P=0946 | X=0111.170-0417.590 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0946 | X=0111.170-0152.850 | Y=0561.530-0572.770 | ≤1.000m.
P=0946 | X=0111.170-0334.360 | Y=0579.050-0590.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0946 | X=0111.170-0419.430 | Y=0596.810-0608.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4 ấp 3B
P=0946 | X=0111.170-0423.740 | Y=0608.330-0619.570 | xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ 6 ấp 3B xã Xuân Bắc
P=0946 | X=0111.170-0318.020 | Y=0619.870-0631.110 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.060-0106.180 | Y=0627.750-0637.070 | 67
P=0946 | X=0458.090-0474.730 | Y=0627.750-0637.070 | 180
P=0946 | X=0505.390-0522.030 | Y=0627.750-0637.070 | 110
P=0946 | X=0111.170-0397.020 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0946 | X=0111.170-0334.810 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0946 | X=0111.170-0396.430 | Y=0672.670-0683.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0946 | X=0095.060-0421.190 | Y=0684.190-0695.430 | 68 Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ
P=0946 | X=0458.090-0474.730 | Y=0686.070-0695.390 | 330
P=0946 | X=0505.390-0522.030 | Y=0686.070-0695.390 | 200
P=0946 | X=0111.170-0414.760 | Y=0695.710-0706.950 | 6 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0111.170-0342.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0947 | X=0111.170-0388.360 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0947 | X=0111.170-0396.430 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0947 | X=0111.170-0421.190 | Y=0125.330-0136.570 | Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ
P=0947 | X=0111.170-0414.760 | Y=0136.850-0148.090 | 6 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0095.060-0342.720 | Y=0154.370-0168.450 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0947 | X=0458.090-0474.730 | Y=0159.130-0168.450 | 260
P=0947 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 150
P=0947 | X=0111.170-0417.590 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0947 | X=0111.170-0152.850 | Y=0183.170-0194.410 | ≤1.000m.
P=0947 | X=0111.170-0334.340 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0947 | X=0111.170-0396.430 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0947 | X=0111.170-0421.190 | Y=0229.990-0241.230 | Đường tổ 3+4 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 800 đến Đường tổ
P=0947 | X=0111.170-0414.760 | Y=0241.510-0252.750 | 6 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0095.060-0106.180 | Y=0249.390-0258.710 | 70
P=0947 | X=0458.090-0474.730 | Y=0249.390-0258.710 | 180
P=0947 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 110
P=0947 | X=0111.170-0396.980 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0947 | X=0111.170-0334.810 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0947 | X=0334.680-0407.260 | Y=0296.220-0305.540 | Hết mét thứ 500
P=0947 | X=0111.170-0230.550 | Y=0305.860-0317.100 | Đường tổ 2 ấp 3B xã Xuân
P=0947 | X=0334.680-0423.160 | Y=0305.860-0317.100 | (thửa đất số 145, tờ
P=0947 | X=0245.140-0315.310 | Y=0311.620-0322.860 | Đường tỉnh 763
P=0947 | X=0095.060-0106.180 | Y=0313.500-0322.820 | 71
P=0947 | X=0458.090-0474.730 | Y=0313.500-0322.820 | 470
P=0947 | X=0505.390-0522.030 | Y=0313.500-0322.820 | 330
P=0947 | X=0334.680-0408.930 | Y=0317.380-0328.620 | bản đồ số 65, xã
P=0947 | X=0111.170-0128.450 | Y=0319.260-0328.580 | Bắc
P=0947 | X=0334.680-0381.260 | Y=0330.780-0340.100 | Xuân Bắc)
P=0947 | X=0111.170-0421.420 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp 3B xã
P=0947 | X=0111.170-0415.900 | Y=0357.940-0369.180 | Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 500 (thửa đất số
P=0947 | X=0111.170-0415.900 | Y=0369.480-0380.720 | 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng là đường nhựa, bê
P=0947 | X=0095.060-0171.330 | Y=0381.000-0392.440 | 72 tông xi măng:
P=0947 | X=0458.090-0474.730 | Y=0383.120-0392.440 | 330
P=0947 | X=0505.390-0522.030 | Y=0383.120-0392.440 | 200
P=0947 | X=0111.170-0342.250 | Y=0398.520-0409.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0947 | X=0111.170-0388.360 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0947 | X=0111.170-0421.420 | Y=0433.800-0445.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp 3B xã
P=0947 | X=0111.170-0415.900 | Y=0445.320-0456.560 | Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 500 (thửa đất số
P=0947 | X=0111.170-0415.900 | Y=0456.860-0468.100 | 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng là đường nhựa, bê
P=0947 | X=0111.170-0171.330 | Y=0468.380-0479.620 | tông xi măng:
P=0947 | X=0095.060-0342.720 | Y=0484.900-0497.140 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0947 | X=0458.090-0474.730 | Y=0484.900-0494.220 | 260
P=0947 | X=0505.390-0522.030 | Y=0484.900-0494.220 | 150
P=0947 | X=0111.170-0417.590 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0947 | X=0111.170-0152.850 | Y=0514.940-0526.180 | ≤1.000m.
P=0947 | X=0111.170-0334.340 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0947 | X=0111.170-0421.420 | Y=0550.010-0561.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp 3B xã
P=0947 | X=0111.170-0415.900 | Y=0561.530-0572.770 | Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 500 (thửa đất số
P=0947 | X=0111.170-0415.900 | Y=0573.050-0584.290 | 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng là đường nhựa, bê
P=0947 | X=0095.060-0171.330 | Y=0584.570-0596.010 | 74 tông xi măng:
P=0947 | X=0458.090-0474.730 | Y=0586.690-0596.010 | 180
P=0947 | X=0505.390-0522.030 | Y=0586.690-0596.010 | 110
P=0947 | X=0111.170-0396.980 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0947 | X=0111.170-0334.810 | Y=0619.630-0630.870 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0947 | X=0111.170-0396.430 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0947 | X=0111.170-0418.120 | Y=0648.910-0660.150 | Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét
P=0947 | X=0111.170-0423.830 | Y=0660.430-0671.670 | thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng
P=0947 | X=0095.060-0257.500 | Y=0671.950-0683.390 | 75 là đường nhựa, bê tông xi măng:
P=0947 | X=0458.090-0474.730 | Y=0674.070-0683.390 | 330
P=0947 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 200
P=0947 | X=0111.170-0342.250 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0947 | X=0111.170-0388.360 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0948 | X=0111.170-0396.430 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0948 | X=0111.170-0418.120 | Y=0090.020-0101.260 | Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét
P=0948 | X=0111.170-0423.830 | Y=0101.540-0112.780 | thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng
P=0948 | X=0111.170-0257.540 | Y=0113.060-0124.300 | là đường nhựa, bê tông xi măng:
P=0948 | X=0095.060-0342.720 | Y=0129.610-0141.850 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0948 | X=0458.090-0474.730 | Y=0129.610-0138.930 | 260
P=0948 | X=0505.390-0522.030 | Y=0129.610-0138.930 | 150
P=0948 | X=0111.170-0417.590 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0948 | X=0111.170-0152.850 | Y=0159.410-0170.650 | ≤1.000m.
P=0948 | X=0111.170-0334.340 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0948 | X=0111.170-0396.430 | Y=0194.690-0205.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0948 | X=0111.170-0418.120 | Y=0206.230-0217.470 | Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét
P=0948 | X=0111.170-0423.830 | Y=0217.750-0228.990 | thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng
P=0948 | X=0095.060-0257.500 | Y=0229.270-0240.710 | 77 là đường nhựa, bê tông xi măng:
P=0948 | X=0458.090-0474.730 | Y=0231.390-0240.710 | 180
P=0948 | X=0505.390-0522.030 | Y=0231.390-0240.710 | 110
P=0948 | X=0111.170-0396.980 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0948 | X=0111.170-0334.830 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0948 | X=0334.680-0413.350 | Y=0282.100-0293.340 | Hết ranh thửa đất
P=0948 | X=0334.680-0424.070 | Y=0293.620-0304.860 | số 226, tờ BĐĐC số
P=0948 | X=0245.140-0326.120 | Y=0301.260-0310.580 | Mét thứ 500 (thửa
P=0948 | X=0334.680-0413.970 | Y=0307.020-0316.340 | 65 về bên phải và
P=0948 | X=0111.170-0230.550 | Y=0310.900-0322.140 | Đường tổ 2 ấp 3B xã Xuân
P=0948 | X=0245.140-0326.360 | Y=0310.900-0322.140 | đất số 145, tờ bản
P=0948 | X=0334.680-0411.670 | Y=0316.660-0327.900 | hết ranh thửa đất
P=0948 | X=0095.060-0106.180 | Y=0318.540-0327.860 | 78
P=0948 | X=0458.090-0474.730 | Y=0318.540-0327.860 | 470
P=0948 | X=0505.390-0522.030 | Y=0318.540-0327.860 | 330
P=0948 | X=0245.140-0325.850 | Y=0322.420-0333.660 | đồ số 65, xã Xuân
P=0948 | X=0111.170-0128.450 | Y=0324.300-0333.620 | Bắc
P=0948 | X=0334.680-0424.070 | Y=0327.940-0339.180 | số 236, tờ BĐĐC số
P=0948 | X=0245.140-0265.780 | Y=0335.580-0344.900 | Bắc)
P=0948 | X=0334.680-0411.800 | Y=0341.340-0350.660 | 65 về bên trái, xã
P=0948 | X=0334.680-0377.900 | Y=0352.860-0362.180 | Xuân Bắc
P=0948 | X=0111.170-0421.420 | Y=0368.760-0380.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp 3B xã
P=0948 | X=0111.170-0416.850 | Y=0380.280-0391.520 | Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã
P=0948 | X=0111.170-0419.010 | Y=0391.800-0403.040 | Xuân Bắc) đến Hết ranh thửa đất số 226, tờ BĐĐC số 65 về bên phải
P=0948 | X=0111.170-0419.180 | Y=0403.320-0414.560 | và hết ranh thửa đất số 236, tờ BĐĐC số 65 về bên trái, xã Xuân Bắc
P=0948 | X=0095.060-0106.180 | Y=0411.200-0420.520 | 79
P=0948 | X=0458.090-0474.730 | Y=0411.200-0420.520 | 330
P=0948 | X=0505.390-0522.030 | Y=0411.200-0420.520 | 200
P=0948 | X=0111.170-0318.020 | Y=0414.840-0426.080 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0948 | X=0111.170-0342.250 | Y=0432.360-0443.600 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0948 | X=0111.170-0388.360 | Y=0449.900-0461.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0948 | X=0111.170-0421.420 | Y=0467.660-0478.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp 3B xã
P=0948 | X=0111.170-0416.850 | Y=0479.180-0490.420 | Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã
P=0948 | X=0111.170-0419.010 | Y=0490.460-0501.700 | Xuân Bắc) đến Hết ranh thửa đất số 226, tờ BĐĐC số 65 về bên phải
P=0948 | X=0111.170-0419.180 | Y=0501.980-0513.220 | và hết ranh thửa đất số 236, tờ BĐĐC số 65 về bên trái, xã Xuân Bắc
P=0948 | X=0111.170-0318.020 | Y=0513.500-0524.740 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0948 | X=0095.060-0106.180 | Y=0524.500-0533.820 | 80
P=0948 | X=0458.090-0474.730 | Y=0524.500-0533.820 | 260
P=0948 | X=0505.390-0522.030 | Y=0524.500-0533.820 | 150
P=0948 | X=0111.170-0342.740 | Y=0531.020-0542.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0948 | X=0111.170-0417.590 | Y=0548.570-0559.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0948 | X=0111.170-0152.850 | Y=0560.090-0571.330 | ≤1.000m.
P=0948 | X=0111.170-0334.340 | Y=0577.610-0588.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0948 | X=0111.170-0421.420 | Y=0595.370-0606.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 2 ấp 3B xã
P=0948 | X=0111.170-0416.850 | Y=0606.890-0618.130 | Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145, tờ bản đồ số 65, xã
P=0948 | X=0111.170-0419.010 | Y=0618.430-0629.670 | Xuân Bắc) đến Hết ranh thửa đất số 226, tờ BĐĐC số 65 về bên phải
P=0948 | X=0111.170-0419.180 | Y=0629.950-0641.190 | và hết ranh thửa đất số 236, tờ BĐĐC số 65 về bên trái, xã Xuân Bắc
P=0948 | X=0095.060-0106.180 | Y=0637.830-0647.150 | 81
P=0948 | X=0458.090-0474.730 | Y=0637.830-0647.150 | 180
P=0948 | X=0505.390-0522.030 | Y=0637.830-0647.150 | 110
P=0948 | X=0111.170-0318.020 | Y=0641.470-0652.710 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0948 | X=0111.170-0397.000 | Y=0658.750-0669.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0948 | X=0111.170-0334.810 | Y=0676.270-0687.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0948 | X=0111.170-0396.430 | Y=0694.030-0705.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0948 | X=0095.060-0106.180 | Y=0701.700-0711.020 | 82
P=0948 | X=0458.090-0474.730 | Y=0701.700-0711.020 | 330
P=0948 | X=0505.390-0522.030 | Y=0701.700-0711.020 | 200
P=0948 | X=0111.170-0423.670 | Y=0705.570-0716.810 | Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145,
P=0949 | X=0111.170-0395.070 | Y=0072.500-0083.740 | tờ bản đồ số 65, xã Xuân Bắc) đến Hết ranh thửa đất số 226, tờ
P=0949 | X=0111.170-0420.460 | Y=0084.020-0095.260 | BĐĐC số 65 về bên phải và hết ranh thửa đất số 236, tờ BĐĐC số 65
P=0949 | X=0111.170-0399.310 | Y=0095.540-0106.780 | về bên trái, xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0949 | X=0111.170-0139.170 | Y=0107.060-0118.300 | măng:
P=0949 | X=0111.170-0342.250 | Y=0124.610-0135.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0949 | X=0111.170-0388.360 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0949 | X=0111.170-0396.430 | Y=0159.650-0170.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0949 | X=0111.170-0423.670 | Y=0171.170-0182.410 | Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145,
P=0949 | X=0111.170-0395.080 | Y=0182.690-0193.930 | tờ bản đồ số 65, xã Xuân Bắc) đến Hết ranh thửa đất số 226, tờ
P=0949 | X=0111.170-0420.460 | Y=0194.210-0205.450 | BĐĐC số 65 về bên phải và hết ranh thửa đất số 236, tờ BĐĐC số 65
P=0949 | X=0111.170-0399.310 | Y=0205.750-0216.990 | về bên trái, xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0949 | X=0095.060-0139.170 | Y=0217.270-0231.830 | 83 măng:
P=0949 | X=0458.090-0474.730 | Y=0222.510-0231.830 | 260
P=0949 | X=0505.390-0522.030 | Y=0222.510-0231.830 | 150
P=0949 | X=0111.170-0342.720 | Y=0234.790-0246.030 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0949 | X=0111.170-0417.590 | Y=0252.310-0263.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0949 | X=0111.170-0152.850 | Y=0263.830-0275.070 | ≤1.000m.
P=0949 | X=0111.170-0334.340 | Y=0281.380-0292.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0949 | X=0111.170-0396.430 | Y=0299.140-0310.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0949 | X=0111.170-0423.670 | Y=0310.660-0321.900 | Đường tổ 2 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 145,
P=0949 | X=0111.170-0395.080 | Y=0321.940-0333.180 | tờ bản đồ số 65, xã Xuân Bắc) đến Hết ranh thửa đất số 226, tờ
P=0949 | X=0111.170-0420.460 | Y=0333.460-0344.700 | BĐĐC số 65 về bên phải và hết ranh thửa đất số 236, tờ BĐĐC số 65
P=0949 | X=0095.060-0399.310 | Y=0344.980-0356.420 | 84 về bên trái, xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0949 | X=0458.090-0474.730 | Y=0347.100-0356.420 | 180
P=0949 | X=0505.390-0522.030 | Y=0347.100-0356.420 | 110
P=0949 | X=0111.170-0139.170 | Y=0356.500-0367.740 | măng:
P=0949 | X=0111.170-0396.980 | Y=0374.040-0385.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0949 | X=0111.170-0334.810 | Y=0391.560-0402.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0949 | X=0111.170-0215.910 | Y=0409.320-0420.560 | Đường Xuân Bắc - Bảo
P=0949 | X=0334.680-0418.700 | Y=0409.320-0420.560 | Đường Xuân Bắc -
P=0949 | X=0245.140-0315.310 | Y=0415.080-0426.320 | Đường tỉnh 763
P=0949 | X=0095.060-0106.180 | Y=0416.960-0426.280 | 85
P=0949 | X=0458.090-0474.730 | Y=0416.960-0426.280 | 500
P=0949 | X=0505.390-0522.030 | Y=0416.960-0426.280 | 370
P=0949 | X=0111.170-0141.260 | Y=0422.720-0432.040 | Quang
P=0949 | X=0334.680-0388.540 | Y=0422.720-0432.040 | Long Khánh
P=0949 | X=0111.170-0411.740 | Y=0438.600-0449.840 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bắc -
P=0949 | X=0111.170-0403.180 | Y=0450.140-0461.380 | Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân Bắc - Long
P=0949 | X=0111.170-0349.700 | Y=0461.660-0472.900 | Khánh có hiện trạng là đường nhựa, bê tông xi măng:
