TABLE=034 | AREA=Xã Xuân Đông | SECTION=agricultural | SEGMENTS=1
P=1174 | X=0115.970-0434.260 | Y=0661.150-0672.390 | đoạn từ Đường An Dương Vương đến Thửa đất số 376, tờ BĐĐC số 8,
P=1174 | X=0115.970-0388.590 | Y=0672.670-0683.910 | xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1174 | X=0094.580-0111.220 | Y=0680.550-0689.870 | 283
P=1174 | X=0466.010-0482.650 | Y=0680.550-0689.870 | 440
P=1174 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 420
P=1174 | X=0115.970-0339.140 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1174 | X=0115.970-0422.390 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1175 | X=0115.970-0149.490 | Y=0072.500-0083.740 | ≤600m.
P=1175 | X=0115.970-0339.140 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1175 | X=0115.970-0422.850 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Đại Hành
P=1175 | X=0115.970-0434.260 | Y=0119.330-0130.570 | đoạn từ Đường An Dương Vương đến Thửa đất số 376, tờ BĐĐC số 8,
P=1175 | X=0115.970-0388.590 | Y=0130.850-0142.090 | xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1175 | X=0094.580-0111.220 | Y=0138.730-0148.050 | 284
P=1175 | X=0466.010-0482.650 | Y=0138.730-0148.050 | 320
P=1175 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 310
P=1175 | X=0115.970-0393.400 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1175 | X=0115.970-0339.610 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1175 | X=0115.970-0435.610 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1175 | X=0115.970-0437.110 | Y=0194.930-0206.170 | Lê Đại Hành đoạn từ Đường An Dương Vương đến Thửa đất số 376, tờ
P=1175 | X=0115.970-0413.500 | Y=0206.470-0217.710 | BĐĐC số 8, xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi
P=1175 | X=0094.580-0143.970 | Y=0217.990-0229.430 | 285 măng:
P=1175 | X=0466.010-0482.650 | Y=0220.110-0229.430 | 550
P=1175 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 530
P=1175 | X=0115.970-0338.880 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1175 | X=0115.970-0393.160 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1175 | X=0115.970-0435.610 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1175 | X=0115.970-0437.110 | Y=0282.340-0293.580 | Lê Đại Hành đoạn từ Đường An Dương Vương đến Thửa đất số 376, tờ
P=1175 | X=0115.970-0413.500 | Y=0293.860-0305.100 | BĐĐC số 8, xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi
P=1175 | X=0115.970-0143.970 | Y=0305.380-0316.620 | măng:
P=1175 | X=0094.580-0339.140 | Y=0321.900-0334.140 | 286 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1175 | X=0466.010-0482.650 | Y=0321.900-0331.220 | 440
P=1175 | X=0505.390-0522.030 | Y=0321.900-0331.220 | 420
P=1175 | X=0115.970-0422.390 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1175 | X=0115.970-0149.490 | Y=0351.700-0362.940 | ≤600m.
P=1175 | X=0115.970-0339.140 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1175 | X=0115.970-0435.610 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1175 | X=0115.970-0437.110 | Y=0398.520-0409.760 | Lê Đại Hành đoạn từ Đường An Dương Vương đến Thửa đất số 376, tờ
P=1175 | X=0115.970-0413.500 | Y=0410.040-0421.280 | BĐĐC số 8, xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi
P=1175 | X=0094.580-0143.970 | Y=0421.560-0433.000 | 287 măng:
P=1175 | X=0466.010-0482.650 | Y=0423.680-0433.000 | 320
P=1175 | X=0505.390-0522.030 | Y=0423.680-0433.000 | 310
P=1175 | X=0115.970-0393.400 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1175 | X=0115.970-0342.260 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1175 | X=0344.520-0423.220 | Y=0474.380-0485.620 | Bên phải, đến hết
P=1175 | X=0344.520-0437.530 | Y=0485.900-0497.140 | ranh thửa đất số 253
P=1175 | X=0344.520-0435.810 | Y=0497.420-0508.660 | tờ BĐĐC số 17; Bên
P=1175 | X=0094.580-0227.200 | Y=0508.940-0520.180 | 288 Đường Trần Quang Diệu
P=1175 | X=0344.520-0420.220 | Y=0508.940-0520.180 | trái, đến hết ranh
P=1175 | X=0254.500-0297.560 | Y=0510.820-0520.140 | Quốc lộ 1
P=1175 | X=0466.010-0482.650 | Y=0510.820-0520.140 | 780
P=1175 | X=0505.390-0522.030 | Y=0510.820-0520.140 | 710
P=1175 | X=0344.520-0424.110 | Y=0520.220-0531.460 | thửa đất số 13, tờ
P=1175 | X=0344.520-0417.090 | Y=0531.740-0542.980 | BĐĐC số 17 (xã
P=1175 | X=0344.520-0397.560 | Y=0545.170-0554.490 | Trảng Bom)
P=1175 | X=0115.970-0420.470 | Y=0561.050-0572.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Quang
P=1175 | X=0115.970-0427.980 | Y=0572.570-0583.810 | Diệu đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 253 tờ
P=1175 | X=0115.970-0430.770 | Y=0584.090-0595.330 | BĐĐC số 17; Bên trái, đến hết ranh thửa đất số 13, tờ BĐĐC số 17 (xã
P=1175 | X=0094.580-0378.280 | Y=0595.610-0607.050 | 289 Trảng Bom) có hiện trạng là đường nhựa, bê tông xi măng:
P=1175 | X=0466.010-0482.650 | Y=0597.730-0607.050 | 550
P=1175 | X=0505.390-0522.030 | Y=0597.730-0607.050 | 530
P=1175 | X=0115.970-0338.880 | Y=0613.130-0624.370 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1175 | X=0115.970-0393.160 | Y=0630.670-0641.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1175 | X=0115.970-0420.470 | Y=0648.430-0659.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Quang
P=1175 | X=0115.970-0427.980 | Y=0659.950-0671.190 | Diệu đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 253 tờ
P=1175 | X=0094.580-0430.770 | Y=0671.470-0685.550 | 290 BĐĐC số 17; Bên trái, đến hết ranh thửa đất số 13, tờ BĐĐC số 17 (xã
P=1175 | X=0466.010-0482.650 | Y=0676.230-0685.550 | 440
P=1175 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 420
P=1175 | X=0115.970-0378.280 | Y=0682.750-0693.990 | Trảng Bom) có hiện trạng là đường nhựa, bê tông xi măng:
P=1175 | X=0115.970-0339.140 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1176 | X=0115.970-0422.390 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1176 | X=0115.970-0149.490 | Y=0090.020-0101.260 | ≤600m.
P=1176 | X=0115.970-0339.140 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1176 | X=0115.970-0420.470 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Quang
P=1176 | X=0115.970-0427.980 | Y=0136.850-0148.090 | Diệu đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 253 tờ
P=1176 | X=0115.970-0430.770 | Y=0148.370-0159.610 | BĐĐC số 17; Bên trái, đến hết ranh thửa đất số 13, tờ BĐĐC số 17 (xã
P=1176 | X=0094.580-0378.280 | Y=0159.650-0171.330 | 291 Trảng Bom) có hiện trạng là đường nhựa, bê tông xi măng:
P=1176 | X=0466.010-0482.650 | Y=0162.010-0171.330 | 320
P=1176 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 310
P=1176 | X=0115.970-0393.400 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1176 | X=0115.970-0339.610 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1176 | X=0115.970-0435.610 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1176 | X=0115.970-0439.290 | Y=0223.990-0235.230 | Trần Quang Diệu đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất
P=1176 | X=0115.970-0431.740 | Y=0235.510-0246.750 | số 253 tờ BĐĐC số 17; Bên trái, đến hết ranh thửa đất số 13, tờ BĐĐC
P=1176 | X=0094.580-0422.420 | Y=0247.030-0258.470 | 292 số 17 (xã Trảng Bom) có hiện trạng là đường nhựa, bê tông xi măng:
P=1176 | X=0466.010-0482.650 | Y=0249.150-0258.470 | 550
P=1176 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 530
P=1176 | X=0115.970-0338.880 | Y=0264.550-0275.790 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1176 | X=0115.970-0393.160 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1176 | X=0115.970-0435.610 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1176 | X=0115.970-0439.290 | Y=0311.380-0322.620 | Trần Quang Diệu đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất
P=1176 | X=0115.970-0431.740 | Y=0322.900-0334.140 | số 253 tờ BĐĐC số 17; Bên trái, đến hết ranh thửa đất số 13, tờ BĐĐC
P=1176 | X=0115.970-0422.420 | Y=0334.420-0345.660 | số 17 (xã Trảng Bom) có hiện trạng là đường nhựa, bê tông xi măng:
P=1176 | X=0094.580-0339.140 | Y=0350.940-0362.940 | 293 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1176 | X=0466.010-0482.650 | Y=0350.940-0360.260 | 440
P=1176 | X=0505.390-0522.030 | Y=0350.940-0360.260 | 420
P=1176 | X=0115.970-0422.390 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1176 | X=0115.970-0149.490 | Y=0380.760-0392.000 | ≤600m.
P=1176 | X=0115.970-0339.140 | Y=0398.280-0409.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1176 | X=0115.970-0435.610 | Y=0416.040-0427.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1176 | X=0115.970-0439.290 | Y=0427.560-0438.800 | Trần Quang Diệu đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất
P=1176 | X=0115.970-0431.740 | Y=0439.080-0450.320 | số 253 tờ BĐĐC số 17; Bên trái, đến hết ranh thửa đất số 13, tờ BĐĐC
P=1176 | X=0094.580-0422.420 | Y=0450.620-0462.060 | 294 số 17 (xã Trảng Bom) có hiện trạng là đường nhựa, bê tông xi măng:
P=1176 | X=0466.010-0482.650 | Y=0452.740-0462.060 | 320
P=1176 | X=0505.390-0522.030 | Y=0452.740-0462.060 | 310
P=1176 | X=0115.970-0393.400 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1176 | X=0115.970-0342.260 | Y=0485.660-0496.900 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1176 | X=0344.520-0433.030 | Y=0503.420-0514.660 | Thửa đất số 343, tờ
P=1176 | X=0094.580-0229.360 | Y=0514.940-0526.180 | 295 Đường Trần Nguyên Hãn
P=1176 | X=0344.520-0416.610 | Y=0514.940-0526.180 | BĐĐC số 18, xã
P=1176 | X=0254.500-0297.560 | Y=0516.820-0526.140 | Quốc lộ 1
P=1176 | X=0466.010-0482.650 | Y=0516.820-0526.140 | 780
P=1176 | X=0505.390-0522.030 | Y=0516.820-0526.140 | 710
P=1176 | X=0344.520-0393.970 | Y=0528.100-0537.420 | Trảng Bom
P=1176 | X=0115.970-0425.030 | Y=0544.010-0555.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nguyên
P=1176 | X=0115.970-0431.290 | Y=0555.530-0566.770 | Hãn đoạn từ Quốc lộ 1 đến Thửa đất số 343, tờ BĐĐC số 18, xã Trảng
P=1176 | X=0115.970-0346.330 | Y=0567.050-0578.290 | Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1176 | X=0094.580-0111.220 | Y=0574.930-0584.250 | 296
P=1176 | X=0466.010-0482.650 | Y=0574.930-0584.250 | 550
P=1176 | X=0505.390-0522.030 | Y=0574.930-0584.250 | 530
P=1176 | X=0115.970-0338.880 | Y=0584.570-0595.810 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1176 | X=0115.970-0393.160 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1176 | X=0115.970-0425.030 | Y=0619.870-0631.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nguyên
P=1176 | X=0115.970-0431.300 | Y=0631.390-0642.630 | Hãn đoạn từ Quốc lộ 1 đến Thửa đất số 343, tờ BĐĐC số 18, xã Trảng
P=1176 | X=0115.970-0346.320 | Y=0642.910-0654.150 | Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1176 | X=0094.580-0339.140 | Y=0660.430-0674.510 | 297 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1176 | X=0466.010-0482.650 | Y=0665.190-0674.510 | 440
P=1176 | X=0505.390-0522.030 | Y=0665.190-0674.510 | 420
P=1176 | X=0115.970-0422.390 | Y=0677.950-0689.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1176 | X=0115.970-0149.490 | Y=0689.470-0700.710 | ≤600m.
P=1176 | X=0115.970-0339.140 | Y=0706.770-0718.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1177 | X=0115.970-0425.030 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nguyên
P=1177 | X=0115.970-0431.290 | Y=0090.020-0101.260 | Hãn đoạn từ Quốc lộ 1 đến Thửa đất số 343, tờ BĐĐC số 18, xã Trảng
P=1177 | X=0115.970-0346.320 | Y=0101.540-0112.780 | Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1177 | X=0094.580-0111.220 | Y=0109.420-0118.740 | 298
P=1177 | X=0466.010-0482.650 | Y=0109.420-0118.740 | 320
P=1177 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 310
P=1177 | X=0115.970-0393.400 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1177 | X=0115.970-0339.620 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1177 | X=0115.970-0435.610 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1177 | X=0115.970-0432.980 | Y=0165.650-0176.890 | Trần Nguyên Hãn đoạn từ Quốc lộ 1 đến Thửa đất số 343, tờ BĐĐC số
P=1177 | X=0115.970-0405.150 | Y=0177.170-0188.410 | 18, xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1177 | X=0094.580-0111.220 | Y=0185.050-0194.370 | 299
P=1177 | X=0466.010-0482.650 | Y=0185.050-0194.370 | 550
P=1177 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 530
P=1177 | X=0115.970-0338.880 | Y=0194.690-0205.930 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1177 | X=0115.970-0393.160 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1177 | X=0115.970-0435.610 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1177 | X=0115.970-0432.980 | Y=0241.510-0252.750 | Trần Nguyên Hãn đoạn từ Quốc lộ 1 đến Thửa đất số 343, tờ BĐĐC số
P=1177 | X=0115.970-0405.150 | Y=0253.030-0264.270 | 18, xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1177 | X=0094.580-0339.140 | Y=0270.550-0284.630 | 300 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1177 | X=0466.010-0482.650 | Y=0275.310-0284.630 | 440
P=1177 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 420
P=1177 | X=0115.970-0422.390 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1177 | X=0115.970-0149.490 | Y=0299.620-0310.860 | ≤600m.
P=1177 | X=0115.970-0339.140 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1177 | X=0115.970-0435.610 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1177 | X=0115.970-0432.980 | Y=0346.420-0357.660 | Trần Nguyên Hãn đoạn từ Quốc lộ 1 đến Thửa đất số 343, tờ BĐĐC số
P=1177 | X=0115.970-0405.150 | Y=0357.700-0368.940 | 18, xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1177 | X=0094.580-0111.220 | Y=0365.580-0374.900 | 301
P=1177 | X=0466.010-0482.650 | Y=0365.580-0374.900 | 320
P=1177 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 310
P=1177 | X=0115.970-0393.400 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1177 | X=0115.970-0342.260 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1177 | X=0254.500-0413.500 | Y=0410.520-0421.760 | Giáp ranh khu công Đường Nguyễn
P=1177 | X=0094.580-0208.220 | Y=0416.280-0427.520 | 302 Đường Hùng Vương
P=1177 | X=0466.010-0482.650 | Y=0418.160-0427.480 | 780
P=1177 | X=0505.390-0522.030 | Y=0418.160-0427.480 | 710
P=1177 | X=0254.500-0325.620 | Y=0423.920-0433.240 | nghiệp Bàu Xéo
P=1177 | X=0344.520-0373.900 | Y=0423.920-0433.240 | Hoàng
P=1177 | X=0115.970-0425.000 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng Vương
P=1177 | X=0115.970-0437.750 | Y=0451.340-0462.580 | đoạn từ Giáp ranh khu công nghiệp Bàu Xéo đến Đường Nguyễn Hoàng
P=1177 | X=0115.970-0322.830 | Y=0462.860-0474.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1177 | X=0094.580-0111.220 | Y=0470.740-0480.060 | 303
P=1177 | X=0466.010-0482.650 | Y=0470.740-0480.060 | 550
P=1177 | X=0505.390-0522.030 | Y=0470.740-0480.060 | 530
P=1177 | X=0115.970-0338.880 | Y=0480.380-0491.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1177 | X=0115.970-0393.160 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1177 | X=0115.970-0425.000 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng Vương
P=1177 | X=0115.970-0437.750 | Y=0527.180-0538.420 | đoạn từ Giáp ranh khu công nghiệp Bàu Xéo đến Đường Nguyễn Hoàng
P=1177 | X=0115.970-0322.820 | Y=0538.490-0549.730 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1177 | X=0094.580-0339.140 | Y=0556.010-0570.330 | 304 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1177 | X=0466.010-0482.650 | Y=0561.010-0570.330 | 440
P=1177 | X=0505.390-0522.030 | Y=0561.010-0570.330 | 420
P=1177 | X=0115.970-0422.390 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1177 | X=0115.970-0149.490 | Y=0585.050-0596.290 | ≤600m.
P=1177 | X=0115.970-0339.140 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1177 | X=0115.970-0425.000 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng Vương
P=1177 | X=0115.970-0437.750 | Y=0631.870-0643.110 | đoạn từ Giáp ranh khu công nghiệp Bàu Xéo đến Đường Nguyễn Hoàng
P=1177 | X=0115.970-0322.820 | Y=0643.390-0654.630 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1177 | X=0094.580-0111.220 | Y=0651.270-0660.590 | 305
P=1177 | X=0466.010-0482.650 | Y=0651.270-0660.590 | 320
P=1177 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 310
P=1177 | X=0115.970-0393.400 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1177 | X=0115.970-0339.640 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1177 | X=0115.970-0435.610 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1177 | X=0094.580-0111.220 | Y=0703.860-0713.180 | 306
P=1177 | X=0466.010-0482.650 | Y=0703.860-0713.180 | 550
P=1177 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 530
P=1177 | X=0115.970-0428.870 | Y=0707.730-0718.970 | Hùng Vương đoạn từ Giáp ranh khu công nghiệp Bàu Xéo đến Đường
P=1178 | X=0115.970-0392.200 | Y=0072.500-0083.740 | Nguyễn Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=1178 | X=0115.970-0338.880 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1178 | X=0115.970-0393.160 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1178 | X=0115.970-0435.610 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1178 | X=0115.970-0428.870 | Y=0136.850-0148.090 | Hùng Vương đoạn từ Giáp ranh khu công nghiệp Bàu Xéo đến Đường
P=1178 | X=0115.970-0392.220 | Y=0148.370-0159.610 | Nguyễn Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=1178 | X=0094.580-0339.140 | Y=0165.650-0179.970 | 307 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1178 | X=0466.010-0482.650 | Y=0170.650-0179.970 | 440
P=1178 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 420
P=1178 | X=0115.970-0422.390 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1178 | X=0115.970-0149.490 | Y=0194.690-0205.930 | ≤600m.
P=1178 | X=0115.970-0339.140 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1178 | X=0115.970-0435.610 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=1178 | X=0115.970-0428.870 | Y=0241.510-0252.750 | Hùng Vương đoạn từ Giáp ranh khu công nghiệp Bàu Xéo đến Đường
P=1178 | X=0115.970-0392.200 | Y=0253.030-0264.270 | Nguyễn Hoàng có hiện trạng là đường nhựa, bê tông xi măng:
P=1178 | X=0094.580-0111.220 | Y=0260.910-0270.230 | 308
P=1178 | X=0466.010-0482.650 | Y=0260.910-0270.230 | 320
P=1178 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 310
P=1178 | X=0115.970-0393.400 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1178 | X=0115.970-0342.260 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1178 | X=0254.500-0323.490 | Y=0305.860-0317.100 | Đường Nguyễn
P=1178 | X=0094.580-0208.220 | Y=0311.620-0322.860 | 309 Đường Hùng Vương
P=1178 | X=0344.520-0429.860 | Y=0311.620-0322.860 | Đường Ngô Quyền
P=1178 | X=0466.010-0482.650 | Y=0313.500-0322.820 | 780
P=1178 | X=0505.390-0522.030 | Y=0313.500-0322.820 | 710
P=1178 | X=0254.500-0283.880 | Y=0319.260-0328.580 | Hoàng
P=1178 | X=0115.970-0425.000 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng Vương
P=1178 | X=0115.970-0432.940 | Y=0346.660-0357.900 | đoạn từ Đường Nguyễn Hoàng đến Đường Ngô Quyền có hiện trạng là
P=1178 | X=0115.970-0251.740 | Y=0357.940-0369.180 | đường nhựa, bê tông xi măng:
P=1178 | X=0094.580-0111.220 | Y=0365.820-0375.140 | 310
P=1178 | X=0466.010-0482.650 | Y=0365.820-0375.140 | 550
P=1178 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 530
P=1178 | X=0115.970-0338.880 | Y=0375.480-0386.720 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1178 | X=0115.970-0393.160 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1178 | X=0115.970-0425.000 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng Vương
P=1178 | X=0115.970-0432.940 | Y=0422.280-0433.520 | đoạn từ Đường Nguyễn Hoàng đến Đường Ngô Quyền có hiện trạng là
P=1178 | X=0115.970-0251.740 | Y=0433.800-0445.040 | đường nhựa, bê tông xi măng:
P=1178 | X=0094.580-0339.150 | Y=0451.340-0465.420 | 311 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1178 | X=0466.010-0482.650 | Y=0456.100-0465.420 | 440
P=1178 | X=0505.390-0522.030 | Y=0456.100-0465.420 | 420
P=1178 | X=0115.970-0422.390 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=1178 | X=0115.970-0149.490 | Y=0480.380-0491.620 | ≤600m.
P=1178 | X=0115.970-0339.140 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1178 | X=0115.970-0425.000 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng Vương
P=1178 | X=0115.970-0432.940 | Y=0527.180-0538.420 | đoạn từ Đường Nguyễn Hoàng đến Đường Ngô Quyền có hiện trạng là
P=1178 | X=0115.970-0251.740 | Y=0538.490-0549.730 | đường nhựa, bê tông xi măng:
P=1178 | X=0094.580-0111.220 | Y=0546.370-0555.690 | 312
P=1178 | X=0466.010-0482.650 | Y=0546.370-0555.690 | 320
P=1178 | X=0505.390-0522.030 | Y=0546.370-0555.690 | 310
P=1178 | X=0115.970-0393.400 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1178 | X=0115.970-0339.610 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông >200m.
