TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=agricultural | SEGMENTS=1
P=1709 | X=0114.770-0397.900 | Y=0508.220-0519.460 | đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số 490, tờ BĐĐC
P=1709 | X=0114.770-0403.900 | Y=0519.740-0530.980 | số 6 về bên phải; hết ranh thửa đất số 376, tờ BĐĐC số 6 về bên
P=1709 | X=0114.770-0387.790 | Y=0531.260-0542.500 | trái đến Đường 600A có hiện trạng là đường nhựa, bê tông xi
P=1709 | X=0096.770-0107.890 | Y=0539.170-0548.490 | 60
P=1709 | X=0457.850-0468.970 | Y=0539.170-0548.490 | 55
P=1709 | X=0511.150-0522.270 | Y=0539.170-0548.490 | 50
P=1709 | X=0114.770-0142.770 | Y=0542.810-0554.050 | măng:
P=1709 | X=0114.770-0400.620 | Y=0560.330-0571.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1709 | X=0114.770-0338.410 | Y=0577.850-0589.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1709 | X=0114.770-0400.030 | Y=0595.610-0606.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1709 | X=0114.770-0406.540 | Y=0607.130-0618.370 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số
P=1709 | X=0114.770-0383.800 | Y=0618.670-0629.910 | 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1709 | X=0114.770-0398.380 | Y=0630.190-0641.430 | BĐĐC số 6 về bên trái đến Đường 600A có hiện trạng là đường
P=1709 | X=0096.770-0107.890 | Y=0638.070-0647.390 | 61
P=1709 | X=0452.090-0468.730 | Y=0638.070-0647.390 | 130
P=1709 | X=0505.390-0522.030 | Y=0638.070-0647.390 | 100
P=1709 | X=0114.770-0217.880 | Y=0641.710-0652.950 | nhựa, bê tông xi măng:
P=1709 | X=0114.770-0345.850 | Y=0659.230-0670.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1709 | X=0114.770-0391.960 | Y=0676.510-0687.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1709 | X=0114.770-0400.030 | Y=0694.270-0705.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1709 | X=0096.770-0107.890 | Y=0701.940-0711.260 | 62
P=1709 | X=0457.850-0468.970 | Y=0701.940-0711.260 | 90
P=1709 | X=0511.150-0522.270 | Y=0701.940-0711.260 | 70
P=1709 | X=0114.770-0406.540 | Y=0705.810-0717.050 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số
P=1710 | X=0114.770-0383.800 | Y=0072.500-0083.740 | 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1710 | X=0114.770-0398.380 | Y=0084.020-0095.260 | BĐĐC số 6 về bên trái đến Đường 600A có hiện trạng là đường
P=1710 | X=0114.770-0217.880 | Y=0095.540-0106.780 | nhựa, bê tông xi măng:
P=1710 | X=0114.770-0346.320 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1710 | X=0114.770-0401.660 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1710 | X=0114.770-0175.890 | Y=0142.130-0153.370 | đến ≤1.000m.
P=1710 | X=0114.770-0337.940 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1710 | X=0114.770-0400.030 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1710 | X=0114.770-0406.540 | Y=0188.690-0199.930 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số
P=1710 | X=0114.770-0383.800 | Y=0200.230-0211.470 | 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1710 | X=0114.770-0398.380 | Y=0211.750-0222.990 | BĐĐC số 6 về bên trái đến Đường 600A có hiện trạng là đường
P=1710 | X=0096.770-0107.890 | Y=0219.630-0228.950 | 63
P=1710 | X=0457.850-0468.970 | Y=0219.630-0228.950 | 55
P=1710 | X=0511.150-0522.270 | Y=0219.630-0228.950 | 50
P=1710 | X=0114.770-0217.880 | Y=0223.270-0234.510 | nhựa, bê tông xi măng:
P=1710 | X=0114.770-0400.580 | Y=0240.790-0252.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1710 | X=0114.770-0338.410 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1710 | X=0223.510-0382.790 | Y=0276.070-0287.310 | Đường Phú Lập đi Ngã ba (Trường
P=1710 | X=0096.770-0180.070 | Y=0281.860-0293.100 | 64 Đường 6A- 6B
P=1710 | X=0452.090-0468.730 | Y=0283.740-0293.060 | 180
P=1710 | X=0505.390-0522.030 | Y=0283.740-0293.060 | 150
P=1710 | X=0310.440-0392.300 | Y=0287.620-0298.860 | THCS Núi Tượng)
P=1710 | X=0223.510-0285.480 | Y=0289.500-0298.820 | Nam Cát Tiên
P=1710 | X=0114.770-0396.630 | Y=0305.380-0316.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 6A- 6B
P=1710 | X=0114.770-0393.580 | Y=0316.900-0328.140 | đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã ba (Trường
P=1710 | X=0114.770-0406.140 | Y=0328.420-0339.660 | THCS Núi Tượng) có hiện trạng là đường nhựa, bê tông xi măng:
P=1710 | X=0096.770-0107.890 | Y=0336.300-0345.620 | 65
P=1710 | X=0452.090-0468.730 | Y=0336.300-0345.620 | 110
P=1710 | X=0511.150-0522.270 | Y=0336.300-0345.620 | 90
P=1710 | X=0114.770-0345.850 | Y=0345.700-0356.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1710 | X=0114.770-0391.960 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1710 | X=0114.770-0396.630 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 6A- 6B
P=1710 | X=0114.770-0393.580 | Y=0392.520-0403.760 | đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã ba (Trường
P=1710 | X=0114.770-0406.110 | Y=0404.040-0415.280 | THCS Núi Tượng) có hiện trạng là đường nhựa, bê tông xi măng:
P=1710 | X=0096.770-0346.320 | Y=0421.560-0435.880 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1710 | X=0457.850-0468.970 | Y=0426.560-0435.880 | 80
P=1710 | X=0511.150-0522.270 | Y=0426.560-0435.880 | 65
P=1710 | X=0114.770-0401.660 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1710 | X=0114.770-0175.890 | Y=0450.620-0461.860 | đến ≤1.000m.
P=1710 | X=0114.770-0337.940 | Y=0468.140-0479.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1710 | X=0114.770-0396.630 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 6A- 6B
P=1710 | X=0114.770-0393.580 | Y=0497.420-0508.660 | đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã ba (Trường
P=1710 | X=0114.770-0406.110 | Y=0508.940-0520.180 | THCS Núi Tượng) có hiện trạng là đường nhựa, bê tông xi măng:
P=1710 | X=0096.770-0107.890 | Y=0516.820-0526.140 | 67
P=1710 | X=0457.850-0468.970 | Y=0516.820-0526.140 | 50
P=1710 | X=0511.150-0522.270 | Y=0516.820-0526.140 | 40
P=1710 | X=0114.770-0400.580 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1710 | X=0114.770-0338.430 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1710 | X=0114.770-0400.030 | Y=0561.530-0572.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1710 | X=0114.770-0407.030 | Y=0573.050-0584.290 | Đường 6A- 6B đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã
P=1710 | X=0114.770-0396.940 | Y=0584.570-0595.810 | ba (Trường THCS Núi Tượng) có hiện trạng là đường nhựa, bê
P=1710 | X=0096.770-0174.930 | Y=0596.090-0607.530 | 68 tông xi măng:
P=1710 | X=0452.090-0468.730 | Y=0598.210-0607.530 | 110
P=1710 | X=0511.150-0522.270 | Y=0598.210-0607.530 | 90
P=1710 | X=0114.770-0345.880 | Y=0613.610-0624.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1710 | X=0114.770-0391.960 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1710 | X=0114.770-0400.030 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1710 | X=0114.770-0407.030 | Y=0660.430-0671.670 | Đường 6A- 6B đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã
P=1710 | X=0096.770-0396.940 | Y=0671.950-0686.030 | 69 ba (Trường THCS Núi Tượng) có hiện trạng là đường nhựa, bê
P=1710 | X=0457.850-0468.970 | Y=0676.710-0686.030 | 80
P=1710 | X=0511.150-0522.270 | Y=0676.710-0686.030 | 65
P=1710 | X=0114.770-0174.920 | Y=0683.470-0694.710 | tông xi măng:
P=1710 | X=0114.770-0346.320 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1711 | X=0114.770-0401.660 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1711 | X=0114.770-0175.890 | Y=0090.020-0101.260 | đến ≤1.000m.
P=1711 | X=0114.770-0337.940 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1711 | X=0114.770-0400.030 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1711 | X=0114.770-0407.030 | Y=0136.850-0148.090 | Đường 6A- 6B đoạn từ Đường Phú Lập đi Nam Cát Tiên đến Ngã
P=1711 | X=0114.770-0396.940 | Y=0148.370-0159.610 | ba (Trường THCS Núi Tượng) có hiện trạng là đường nhựa, bê
P=1711 | X=0096.770-0174.930 | Y=0159.650-0171.330 | 70 tông xi măng:
P=1711 | X=0457.850-0468.970 | Y=0162.010-0171.330 | 50
P=1711 | X=0511.150-0522.270 | Y=0162.010-0171.330 | 40
P=1711 | X=0114.770-0400.580 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1711 | X=0114.770-0338.410 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1711 | X=0310.440-0404.410 | Y=0214.350-0223.670 | Hết ranh xã Nam Cát
P=1711 | X=0096.770-0172.620 | Y=0218.230-0229.470 | 71 Đường 600B
P=1711 | X=0223.510-0281.390 | Y=0218.230-0229.470 | Đường 600A
P=1711 | X=0452.090-0468.730 | Y=0220.110-0229.430 | 180
P=1711 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 150
P=1711 | X=0310.440-0330.190 | Y=0225.870-0235.190 | Tiên
P=1711 | X=0114.770-0389.170 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600B
P=1711 | X=0114.770-0409.190 | Y=0253.270-0264.510 | đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có hiện trạng
P=1711 | X=0114.770-0261.100 | Y=0264.790-0276.030 | là đường nhựa, bê tông xi măng:
P=1711 | X=0096.770-0107.890 | Y=0272.670-0281.990 | 72
P=1711 | X=0452.090-0468.730 | Y=0272.670-0281.990 | 110
P=1711 | X=0511.150-0522.270 | Y=0272.670-0281.990 | 90
P=1711 | X=0114.770-0345.850 | Y=0282.340-0293.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1711 | X=0114.770-0391.960 | Y=0299.860-0311.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1711 | X=0114.770-0389.170 | Y=0317.620-0328.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600B
P=1711 | X=0114.770-0409.190 | Y=0329.140-0340.380 | đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có hiện trạng
P=1711 | X=0114.770-0261.100 | Y=0340.660-0351.900 | là đường nhựa, bê tông xi măng:
P=1711 | X=0096.770-0346.340 | Y=0357.940-0372.260 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1711 | X=0457.850-0468.970 | Y=0362.940-0372.260 | 80
P=1711 | X=0511.150-0522.270 | Y=0362.940-0372.260 | 65
P=1711 | X=0114.770-0401.660 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1711 | X=0114.770-0175.890 | Y=0387.000-0398.240 | đến ≤1.000m.
P=1711 | X=0114.770-0337.940 | Y=0404.520-0415.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1711 | X=0114.770-0389.170 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600B
P=1711 | X=0114.770-0409.190 | Y=0433.800-0445.040 | đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có hiện trạng
P=1711 | X=0114.770-0261.100 | Y=0445.320-0456.560 | là đường nhựa, bê tông xi măng:
P=1711 | X=0096.770-0107.890 | Y=0453.220-0462.540 | 74
P=1711 | X=0457.850-0468.970 | Y=0453.220-0462.540 | 50
P=1711 | X=0511.150-0522.270 | Y=0453.220-0462.540 | 40
P=1711 | X=0114.770-0400.580 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1711 | X=0114.770-0338.410 | Y=0480.380-0491.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1711 | X=0114.770-0400.030 | Y=0498.140-0509.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1711 | X=0114.770-0408.890 | Y=0509.660-0520.900 | Đường 600B đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên
P=1711 | X=0114.770-0321.620 | Y=0521.180-0532.420 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1711 | X=0096.770-0107.890 | Y=0529.060-0538.380 | 75
P=1711 | X=0452.090-0468.730 | Y=0529.060-0538.380 | 110
P=1711 | X=0511.150-0522.270 | Y=0529.060-0538.380 | 90
P=1711 | X=0114.770-0345.850 | Y=0538.490-0549.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1711 | X=0114.770-0391.960 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1711 | X=0114.770-0400.030 | Y=0573.770-0585.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1711 | X=0114.770-0408.880 | Y=0585.290-0596.530 | Đường 600B đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên
P=1711 | X=0114.770-0321.620 | Y=0596.810-0608.050 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1711 | X=0096.770-0346.320 | Y=0614.330-0628.670 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1711 | X=0457.850-0468.970 | Y=0619.350-0628.670 | 80
P=1711 | X=0511.150-0522.270 | Y=0619.350-0628.670 | 65
P=1711 | X=0114.770-0401.660 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1711 | X=0114.770-0175.890 | Y=0643.390-0654.630 | đến ≤1.000m.
P=1711 | X=0114.770-0337.960 | Y=0660.910-0672.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1711 | X=0114.770-0400.030 | Y=0678.670-0689.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1711 | X=0096.770-0408.880 | Y=0690.190-0701.430 | 77 Đường 600B đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên
P=1711 | X=0457.850-0468.970 | Y=0692.070-0701.390 | 50
P=1711 | X=0511.150-0522.270 | Y=0692.070-0701.390 | 40
P=1711 | X=0114.770-0321.620 | Y=0701.730-0712.970 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1712 | X=0114.770-0400.580 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1712 | X=0114.770-0338.410 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1712 | X=0310.440-0404.410 | Y=0115.660-0124.980 | Hết ranh xã Nam Cát
P=1712 | X=0096.770-0281.390 | Y=0119.570-0130.810 | 78 Đường nhà thờ Kim Lân Đường 600A
P=1712 | X=0452.090-0468.730 | Y=0121.450-0130.770 | 180
P=1712 | X=0505.390-0522.030 | Y=0121.450-0130.770 | 150
P=1712 | X=0310.440-0330.190 | Y=0127.210-0136.530 | Tiên
P=1712 | X=0114.770-0400.350 | Y=0143.090-0154.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà thờ
P=1712 | X=0114.770-0401.170 | Y=0154.610-0165.850 | Kim Lân đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có
P=1712 | X=0114.770-0308.380 | Y=0166.130-0177.370 | hiện trạng là đường nhựa, bê tông xi măng:
P=1712 | X=0096.770-0107.890 | Y=0174.010-0183.330 | 79
P=1712 | X=0452.090-0468.730 | Y=0174.010-0183.330 | 110
P=1712 | X=0511.150-0522.270 | Y=0174.010-0183.330 | 90
P=1712 | X=0114.770-0345.850 | Y=0183.410-0194.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1712 | X=0114.770-0391.960 | Y=0200.950-0212.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1712 | X=0114.770-0400.350 | Y=0218.710-0229.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà thờ
P=1712 | X=0114.770-0401.250 | Y=0230.230-0241.470 | Kim Lân đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có
P=1712 | X=0114.770-0308.380 | Y=0241.750-0252.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=1712 | X=0096.770-0346.320 | Y=0259.270-0273.590 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1712 | X=0457.850-0468.970 | Y=0264.270-0273.590 | 80
P=1712 | X=0511.150-0522.270 | Y=0264.270-0273.590 | 65
P=1712 | X=0114.770-0401.660 | Y=0276.790-0288.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1712 | X=0114.770-0175.890 | Y=0288.340-0299.580 | đến ≤1.000m.
P=1712 | X=0114.770-0337.940 | Y=0305.860-0317.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1712 | X=0114.770-0400.350 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nhà thờ
P=1712 | X=0114.770-0401.170 | Y=0335.140-0346.380 | Kim Lân đoạn từ Đường 600A đến Hết ranh xã Nam Cát Tiên có
P=1712 | X=0114.770-0308.380 | Y=0346.660-0357.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=1712 | X=0096.770-0107.890 | Y=0354.540-0363.860 | 81
P=1712 | X=0457.850-0468.970 | Y=0354.540-0363.860 | 50
P=1712 | X=0511.150-0522.270 | Y=0354.540-0363.860 | 40
P=1712 | X=0114.770-0400.580 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1712 | X=0114.770-0338.410 | Y=0381.480-0392.720 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1712 | X=0114.770-0400.030 | Y=0399.240-0410.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1712 | X=0114.770-0395.020 | Y=0410.760-0422.000 | Đường nhà thờ Kim Lân đoạn từ Đường 600A đến Hết ranh xã
P=1712 | X=0114.770-0386.190 | Y=0422.280-0433.520 | Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1712 | X=0096.770-0107.890 | Y=0430.160-0439.480 | 82
P=1712 | X=0452.090-0468.730 | Y=0430.160-0439.480 | 110
P=1712 | X=0511.150-0522.270 | Y=0430.160-0439.480 | 90
P=1712 | X=0114.770-0345.850 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1712 | X=0114.770-0391.960 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1712 | X=0114.770-0400.030 | Y=0475.100-0486.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1712 | X=0114.770-0395.020 | Y=0486.620-0497.860 | Đường nhà thờ Kim Lân đoạn từ Đường 600A đến Hết ranh xã
P=1712 | X=0114.770-0386.190 | Y=0498.140-0509.380 | Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1712 | X=0096.770-0346.350 | Y=0515.660-0529.740 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1712 | X=0457.850-0468.970 | Y=0520.420-0529.740 | 80
P=1712 | X=0511.150-0522.270 | Y=0520.420-0529.740 | 65
P=1712 | X=0114.770-0401.660 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1712 | X=0114.770-0175.890 | Y=0544.490-0555.730 | đến ≤1.000m.
P=1712 | X=0114.770-0337.940 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1712 | X=0114.770-0400.030 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1712 | X=0114.770-0395.030 | Y=0591.290-0602.530 | Đường nhà thờ Kim Lân đoạn từ Đường 600A đến Hết ranh xã
P=1712 | X=0114.770-0386.190 | Y=0602.810-0614.050 | Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1712 | X=0096.770-0107.890 | Y=0610.690-0620.010 | 84
P=1712 | X=0457.850-0468.970 | Y=0610.690-0620.010 | 50
P=1712 | X=0511.150-0522.270 | Y=0610.690-0620.010 | 40
P=1712 | X=0114.770-0400.580 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1712 | X=0114.770-0338.410 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
